Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1261'],[' 639'],"[' 53.962s (Solving', ' 51.05s 1st Model', ' 1.45s Unsat', ' 45.85s)']",[' 53.719s'], ,[' 6342378 '],"[' 3900312  (Analyzed', ' 3877776)']","[' 8519     (Average', ' 455.19 Last', ' 346)']",[' 1440.6  '],"[' 639      (Average Length', ' 303.05 Splits', ' 0)']","[' 3877776  (Deleted', ' 3814375)']","[' 78       (Ratio', '   0.00%)']","[' 955      (Ratio', '   0.02%)']","[' 3877776  (Average Length', '   10.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3877776  (Average', '  1.43 Max', ' 1871 Sum', ' 5544019)']","[' 3877594  (Average', '  1.42 Max', ' 1871 Sum', ' 5517594 Ratio', '  99.52%)']","[' 182      (Average', ' 145.19 Max', ' 523 Sum', '  26425 Ratio', '   0.48%)']", ,[' 73068   '],[' 2847    '],[' 72920   '],[' 40851   '],"[' 122549   (Atom=Atom', ' 38752 Body=Body', ' 21922 Other', ' 61875)']",[' Yes'],"[' 3449     (Eliminated', '    0 Frozen', ' 3449)']","[' 35       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.717457'],[' 0'], ,[' 26.3834'],[' 0'],[' 0.834917'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.5005e+07'],[' 1.57402e+07'],[' 0'],[' 2.29502e+09'],[' 0'],[' 0'],[' 553 '],[' 885 '],[' 1284 '],[' 1670 '],[' 2088 '],[' 2540 '],[' 2920 '],[' 3289 '],[' 0 '],[' 8 ']
Solving...,TA52, , ,[' 1217'],[' 617'],"[' 25.503s (Solving', ' 22.56s 1st Model', ' 1.48s Unsat', ' 17.56s)']",[' 25.344s'], ,[' 3844055 '],"[' 1701350  (Analyzed', ' 1673909)']","[' 4063     (Average', ' 411.99 Last', ' 2124)']",[' 1494.6  '],"[' 617      (Average Length', ' 292.63 Splits', ' 0)']","[' 1673909  (Deleted', ' 1636014)']","[' 68       (Ratio', '   0.00%)']","[' 969      (Ratio', '   0.06%)']","[' 1673909  (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1673909  (Average', '  1.82 Max', ' 1933 Sum', ' 3054014)']","[' 1673803  (Average', '  1.82 Max', ' 1933 Sum', ' 3044613 Ratio', '  99.69%)']","[' 106      (Average', ' 88.69 Max', ' 972 Sum', '   9401 Ratio', '   0.31%)']", ,[' 73359   '],[' 2862    '],[' 73188   '],[' 41502   '],"[' 124502   (Atom=Atom', ' 39388 Body=Body', ' 21937 Other', ' 63177)']",[' Yes'],"[' 3441     (Eliminated', '    0 Frozen', ' 3441)']","[' 51       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.692969'],[' 0'], ,[' 10.4499'],[' 0'],[' 0.388026'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.71086e+07'],[' 1.27971e+07'],[' 0'],[' 6.96178e+08'],[' 0'],[' 0'],[' 578 '],[' 947 '],[' 1311 '],[' 1707 '],[' 2150 '],[' 2566 '],[' 2943 '],[' 3264 '],[' 0 '],[' 8 ']
Solving...,TA53, , ,[' 1311'],[' 664'],"[' 134.163s (Solving', ' 131.24s 1st Model', ' 1.45s Unsat', ' 0.35s)']",[' 134.000s'], ,[' 3936212 '],"[' 1829630  (Analyzed', ' 1548120)']","[' 4050     (Average', ' 382.25 Last', ' 572)']",[' 1520.0  '],"[' 664      (Average Length', ' 322.26 Splits', ' 0)']","[' 1548120  (Deleted', ' 1516929)']","[' 55       (Ratio', '   0.00%)']","[' 921      (Ratio', '   0.06%)']","[' 1548120  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1548120  (Average', '  1.83 Max', ' 2032 Sum', ' 2832972)']","[' 1548044  (Average', '  1.82 Max', ' 2032 Sum', ' 2820545 Ratio', '  99.56%)']","[' 76       (Average', ' 163.51 Max', ' 538 Sum', '  12427 Ratio', '   0.44%)']", ,[' 74377   '],[' 2908    '],[' 74264   '],[' 42335   '],"[' 127001   (Atom=Atom', ' 40175 Body=Body', ' 21983 Other', ' 64843)']",[' Yes'],"[' 3545     (Eliminated', '    0 Frozen', ' 3545)']","[' 55       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.702165'],[' 0'], ,[' 117.692'],[' 0'],[' 1.78654'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.86393e+07'],[' 1.41978e+07'],[' 0'],[' 2.09249e+10'],[' 0'],[' 0'],[' 502 '],[' 973 '],[' 1393 '],[' 1803 '],[' 2246 '],[' 2605 '],[' 3094 '],[' 3434 '],[' 1 '],[' 7 ']
Solving...,TA54, , ,[' 1193'],[' 605'],"[' 8.515s (Solving', ' 5.98s 1st Model', ' 1.32s Unsat', ' 1.58s)']",[' 8.375s'], ,[' 1512775 '],"[' 189004   (Analyzed', ' 122457)']","[' 569      (Average', ' 215.21 Last', ' 4608)']",[' 1466.7  '],"[' 605      (Average Length', ' 288.21 Splits', ' 0)']","[' 122457   (Deleted', ' 111683)']","[' 59       (Ratio', '   0.05%)']","[' 770      (Ratio', '   0.63%)']","[' 122457   (Average Length', '    8.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 122457   (Average', '  6.04 Max', ' 2027 Sum', ' 740189)']","[' 122393   (Average', '  6.03 Max', ' 2027 Sum', ' 738660 Ratio', '  99.79%)']","[' 64       (Average', ' 23.89 Max', ' 197 Sum', '   1529 Ratio', '   0.21%)']", ,[' 74395   '],[' 2912    '],[' 74216   '],[' 42300   '],"[' 126896   (Atom=Atom', ' 40136 Body=Body', ' 21987 Other', ' 64773)']",[' Yes'],"[' 3483     (Eliminated', '    0 Frozen', ' 3483)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.617094'],[' 0'], ,[' 2.44749'],[' 0'],[' 0.094651'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00465e+07'],[' 9.29769e+06'],[' 0'],[' 1.4059e+08'],[' 0'],[' 0'],[' 629 '],[' 1021 '],[' 1476 '],[' 1874 '],[' 2194 '],[' 2575 '],[' 2947 '],[' 3456 '],[' 0 '],[' 8 ']
Solving...,TA55, , ,[' 1417'],[' 717'],"[' 174.050s (Solving', ' 170.59s 1st Model', ' 1.77s Unsat', ' 40.38s)']",[' 173.781s'], ,[' 17101978'],"[' 10126113 (Analyzed', ' 10089183)']","[' 20372    (Average', ' 495.25 Last', ' 83655)']",[' 1428.8  '],"[' 717      (Average Length', ' 342.75 Splits', ' 0)']","[' 10089183 (Deleted', ' 9920320)']","[' 62       (Ratio', '   0.00%)']","[' 1592     (Ratio', '   0.02%)']","[' 10089183 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10089183 (Average', '  1.59 Max', ' 1798 Sum', ' 16067707)']","[' 10088994 (Average', '  1.59 Max', ' 1798 Sum', ' 16043061 Ratio', '  99.85%)']","[' 189      (Average', ' 130.40 Max', ' 416 Sum', '  24646 Ratio', '   0.15%)']", ,[' 73496   '],[' 2909    '],[' 73425   '],[' 41101   '],"[' 123299   (Atom=Atom', ' 38940 Body=Body', ' 21984 Other', ' 62375)']",[' Yes'],"[' 3588     (Eliminated', '    0 Frozen', ' 3588)']","[' 170      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.746231'],[' 0'], ,[' 108.189'],[' 0'],[' 2.54253'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.50075e+07'],[' 3.16372e+07'],[' 0'],[' 9.09675e+09'],[' 0'],[' 0'],[' 463 '],[' 977 '],[' 1321 '],[' 1781 '],[' 2203 '],[' 2589 '],[' 2950 '],[' 3312 '],[' 1 '],[' 7 ']
Solving...,TA56, , ,[' 969'],[' 493'],"[' 11.825s (Solving', ' 9.36s 1st Model', ' 1.17s Unsat', ' 1.11s)']",[' 11.719s'], ,[' 1374048 '],"[' 498099   (Analyzed', ' 56290)']","[' 718      (Average', ' 78.40 Last', ' 522)']",[' 1513.7  '],"[' 493      (Average Length', ' 239.16 Splits', ' 0)']","[' 56290    (Deleted', ' 45473)']","[' 88       (Ratio', '   0.16%)']","[' 807      (Ratio', '   1.43%)']","[' 56290    (Average Length', '    7.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 56290    (Average', '  5.52 Max', ' 569 Sum', ' 310552)']","[' 56200    (Average', '  5.51 Max', ' 569 Sum', ' 310354 Ratio', '  99.94%)']","[' 90       (Average', '  2.20 Max', '  37 Sum', '    198 Ratio', '   0.06%)']", ,[' 73456   '],[' 2865    '],[' 73178   '],[' 41509   '],"[' 124523   (Atom=Atom', ' 39392 Body=Body', ' 21940 Other', ' 63191)']",[' Yes'],"[' 3337     (Eliminated', '    0 Frozen', ' 3337)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.605745'],[' 0'], ,[' 6.24284'],[' 0'],[' 0.100329'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00218e+07'],[' 9.07893e+06'],[' 0'],[' 6.51073e+08'],[' 0'],[' 0'],[' 571 '],[' 1029 '],[' 1386 '],[' 1875 '],[' 2349 '],[' 2716 '],[' 3033 '],[' 3423 '],[' 0 '],[' 8 ']
Solving...,TA57, , ,[' 1013'],[' 515'],"[' 243.519s (Solving', ' 241.01s 1st Model', ' 1.24s Unsat', ' 237.03s)']",[' 243.328s'], ,[' 18535750'],"[' 12969143 (Analyzed', ' 12949657)']","[' 25578    (Average', ' 506.28 Last', ' 115106)']",[' 1421.6  '],"[' 515      (Average Length', ' 244.57 Splits', ' 0)']","[' 12949657 (Deleted', ' 12743885)']","[' 81       (Ratio', '   0.00%)']","[' 1275     (Ratio', '   0.01%)']","[' 12949657 (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12949657 (Average', '  1.36 Max', ' 1970 Sum', ' 17669480)']","[' 12949533 (Average', '  1.36 Max', ' 1970 Sum', ' 17662846 Ratio', '  99.96%)']","[' 124      (Average', ' 53.50 Max', ' 349 Sum', '   6634 Ratio', '   0.04%)']", ,[' 73883   '],[' 2884    '],[' 73617   '],[' 41582   '],"[' 124742   (Atom=Atom', ' 39446 Body=Body', ' 21959 Other', ' 63337)']",[' Yes'],"[' 3368     (Eliminated', '    0 Frozen', ' 3368)']","[' 51       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.572328'],[' 0'], ,[' 159.293'],[' 0'],[' 3.71843'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.85035e+07'],[' 2.7657e+07'],[' 0'],[' 1.86239e+10'],[' 0'],[' 0'],[' 620 '],[' 1081 '],[' 1624 '],[' 2073 '],[' 2461 '],[' 3001 '],[' 3380 '],[' 3778 '],[' 0 '],[' 8 ']
Solving...,TA58, , ,[' 1305'],[' 661'],"[' 14.079s (Solving', ' 11.15s 1st Model', ' 1.09s Unsat', ' 0.80s)']",[' 14.000s'], ,[' 1759443 '],"[' 636527   (Analyzed', ' 68966)']","[' 933      (Average', ' 73.92 Last', ' 115)']",[' 1539.8  '],"[' 661      (Average Length', ' 314.83 Splits', ' 0)']","[' 68966    (Deleted', ' 55658)']","[' 99       (Ratio', '   0.14%)']","[' 975      (Ratio', '   1.41%)']","[' 68966    (Average Length', '    8.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 68966    (Average', '  5.65 Max', ' 765 Sum', ' 389970)']","[' 68871    (Average', '  5.65 Max', ' 511 Sum', ' 389318 Ratio', '  99.83%)']","[' 95       (Average', '  6.86 Max', ' 468 Sum', '    652 Ratio', '   0.17%)']", ,[' 73673   '],[' 2880    '],[' 73537   '],[' 42020   '],"[' 126056   (Atom=Atom', ' 39888 Body=Body', ' 21955 Other', ' 64213)']",[' Yes'],"[' 3494     (Eliminated', '    0 Frozen', ' 3494)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.728098'],[' 0'], ,[' 7.12428'],[' 0'],[' 0.121985'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22779e+07'],[' 1.10587e+07'],[' 0'],[' 6.92684e+08'],[' 0'],[' 0'],[' 573 '],[' 914 '],[' 1372 '],[' 1729 '],[' 2164 '],[' 2589 '],[' 2949 '],[' 3332 '],[' 0 '],[' 8 ']
Solving...,TA59, , ,[' 1123'],[' 570'],"[' 14.494s (Solving', ' 11.59s 1st Model', ' 1.45s Unsat', ' 1.36s)']",[' 14.422s'], ,[' 1561983 '],"[' 571429   (Analyzed', ' 36795)']","[' 740      (Average', ' 49.72 Last', ' 175)']",[' 1569.6  '],"[' 570      (Average Length', ' 274.91 Splits', ' 0)']","[' 36795    (Deleted', ' 30060)']","[' 79       (Ratio', '   0.21%)']","[' 819      (Ratio', '   2.23%)']","[' 36795    (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36795    (Average', '  8.05 Max', ' 519 Sum', ' 296331)']","[' 36712    (Average', '  8.04 Max', ' 519 Sum', ' 295950 Ratio', '  99.87%)']","[' 83       (Average', '  4.59 Max', ' 124 Sum', '    381 Ratio', '   0.13%)']", ,[' 73409   '],[' 2848    '],[' 73205   '],[' 41483   '],"[' 124445   (Atom=Atom', ' 39383 Body=Body', ' 21923 Other', ' 63139)']",[' Yes'],"[' 3394     (Eliminated', '    0 Frozen', ' 3394)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.697964'],[' 0'], ,[' 7.96143'],[' 0'],[' 0.120265'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16834e+07'],[' 1.06255e+07'],[' 0'],[' 8.46678e+08'],[' 0'],[' 0'],[' 415 '],[' 782 '],[' 1199 '],[' 1570 '],[' 2120 '],[' 2482 '],[' 2863 '],[' 3245 '],[' 0 '],[' 8 ']
Solving...,TA60, , ,[' 1189'],[' 603'],"[' 132.460s (Solving', ' 129.66s 1st Model', ' 1.23s Unsat', ' 0.55s)']",[' 131.969s'], ,[' 5427312 '],"[' 3204316  (Analyzed', ' 3032351)']","[' 6695     (Average', ' 452.93 Last', ' 39666)']",[' 1474.9  '],"[' 603      (Average Length', ' 287.69 Splits', ' 0)']","[' 3032351  (Deleted', ' 2983862)']","[' 47       (Ratio', '   0.00%)']","[' 818      (Ratio', '   0.03%)']","[' 3032351  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3032351  (Average', '  1.48 Max', ' 1960 Sum', ' 4479042)']","[' 3032269  (Average', '  1.47 Max', ' 1960 Sum', ' 4466648 Ratio', '  99.72%)']","[' 82       (Average', ' 151.15 Max', ' 407 Sum', '  12394 Ratio', '   0.28%)']", ,[' 73371   '],[' 2857    '],[' 73194   '],[' 41435   '],"[' 124301   (Atom=Atom', ' 39326 Body=Body', ' 21932 Other', ' 63043)']",[' Yes'],"[' 3430     (Eliminated', '    0 Frozen', ' 3430)']","[' 66       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.652806'],[' 0'], ,[' 109.157'],[' 0'],[' 1.97706'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.15344e+07'],[' 1.4247e+07'],[' 0'],[' 1.57319e+10'],[' 0'],[' 0'],[' 535 '],[' 855 '],[' 1222 '],[' 1754 '],[' 2065 '],[' 2508 '],[' 2856 '],[' 3252 '],[' 1 '],[' 7 ']
