Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 4631+'],[' 2325'],"[' 1010.583s (Solving', ' 963.83s 1st Model', ' 118.76s Unsat', ' 0.00s)']",[' 1004.109s'], ,[' 66423327'],"[' 9957484  (Analyzed', ' 9631098)']","[' 19856    (Average', ' 485.05 Last', ' 24872)']",[' 5970.2  '],"[' 2325     (Average Length', ' 1089.62 Splits', ' 0)']","[' 9631098  (Deleted', ' 9482367)']","[' 28       (Ratio', '   0.00%)']","[' 10712    (Ratio', '   0.11%)']","[' 9631098  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9631098  (Average', '  5.73 Max', ' 8236 Sum', ' 55200722)']","[' 9629977  (Average', '  5.65 Max', ' 8236 Sum', ' 54383422 Ratio', '  98.52%)']","[' 1121     (Average', ' 729.08 Max', ' 1774 Sum', ' 817300 Ratio', '   1.48%)']", ,[' 360645  '],[' 12556   '],[' 360798  '],[' 210208  '],"[' 630620   (Atom=Atom', ' 199650 Body=Body', ' 113456 Other', ' 317514)']",[' Yes'],"[' 14709    (Eliminated', '    0 Frozen', ' 14709)']","[' 1751     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.75067'],[' 0'], ,[' 830.712'],[' 0'],[' 13.1651'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.34761e+08'],[' 3.00974e+08'],[' 0'],[' 1.01024e+11'],[' 0'],[' 0'],[' 972 '],[' 1522 '],[' 2460 '],[' 3350 '],[' 3977 '],[' 4652 '],[' 5332 '],[' 5955 '],[' 6554 '],[' 9 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 4619+'],[' 2319'],"[' 1009.405s (Solving', ' 972.16s 1st Model', ' 58.13s Unsat', ' 0.00s)']",[' 1005.125s'], ,[' 61183537'],"[' 11296776 (Analyzed', ' 11011497)']","[' 24335    (Average', ' 452.50 Last', ' 79032)']",[' 5419.4  '],"[' 2319     (Average Length', ' 1059.12 Splits', ' 0)']","[' 11011497 (Deleted', ' 10832576)']","[' 22       (Ratio', '   0.00%)']","[' 10051    (Ratio', '   0.09%)']","[' 11011497 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11011497 (Average', '  4.71 Max', ' 7536 Sum', ' 51821297)']","[' 11009860 (Average', '  4.58 Max', ' 7536 Sum', ' 50406712 Ratio', '  97.27%)']","[' 1637     (Average', ' 864.13 Max', ' 1756 Sum', ' 1414585 Ratio', '   2.73%)']", ,[' 356541  '],[' 12428   '],[' 356644  '],[' 205550  '],"[' 616646   (Atom=Atom', ' 195120 Body=Body', ' 113328 Other', ' 308198)']",[' Yes'],"[' 14531    (Eliminated', '    0 Frozen', ' 14531)']","[' 1760     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.76257'],[' 0'], ,[' 852.46'],[' 0'],[' 11.7628'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.09784e+08'],[' 2.75428e+08'],[' 0'],[' 1.21093e+11'],[' 0'],[' 0'],[' 735 '],[' 1388 '],[' 2021 '],[' 2679 '],[' 3367 '],[' 3928 '],[' 4594 '],[' 5164 '],[' 5774 '],[' 9 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 4363+'],[' 2191'],"[' 1008.847s (Solving', ' 971.61s 1st Model', ' 60.08s Unsat', ' 0.00s)']",[' 1007.422s'], ,[' 71377875'],"[' 11879680 (Analyzed', ' 11656393)']","[' 24447    (Average', ' 476.80 Last', ' 41308)']",[' 5438.3  '],"[' 2191     (Average Length', ' 1024.67 Splits', ' 0)']","[' 11656393 (Deleted', ' 11484794)']","[' 32       (Ratio', '   0.00%)']","[' 11972    (Ratio', '   0.10%)']","[' 11656393 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11656393 (Average', '  5.34 Max', ' 7252 Sum', ' 62256756)']","[' 11654633 (Average', '  5.23 Max', ' 7252 Sum', ' 61000136 Ratio', '  97.98%)']","[' 1760     (Average', ' 713.99 Max', ' 1653 Sum', ' 1256620 Ratio', '   2.02%)']", ,[' 357615  '],[' 12535   '],[' 357641  '],[' 204475  '],"[' 613421   (Atom=Atom', ' 193938 Body=Body', ' 113435 Other', ' 306048)']",[' Yes'],"[' 14561    (Eliminated', '    0 Frozen', ' 14561)']","[' 2410     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.78916'],[' 0'], ,[' 862.875'],[' 0'],[' 11.9366'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.41196e+08'],[' 3.02163e+08'],[' 0'],[' 1.26499e+11'],[' 0'],[' 0'],[' 1006 '],[' 1661 '],[' 2310 '],[' 2972 '],[' 3570 '],[' 4243 '],[' 4999 '],[' 5643 '],[' 6242 '],[' 9 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 4195+'],[' 2107'],"[' 934.562s (Solving', ' 899.99s 1st Model', ' 43.04s Unsat', ' 124.59s)']",[' 933.219s'], ,[' 77802240'],"[' 11806753 (Analyzed', ' 11592729)']","[' 24005    (Average', ' 482.93 Last', ' 49967)']",[' 5766.2  '],"[' 2107     (Average Length', ' 982.29 Splits', ' 0)']","[' 11592729 (Deleted', ' 11415202)']","[' 36       (Ratio', '   0.00%)']","[' 12442    (Ratio', '   0.11%)']","[' 11592729 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11592729 (Average', '  5.90 Max', ' 7573 Sum', ' 68440667)']","[' 11591238 (Average', '  5.78 Max', ' 7573 Sum', ' 67054687 Ratio', '  97.97%)']","[' 1491     (Average', ' 929.56 Max', ' 1606 Sum', ' 1385980 Ratio', '   2.03%)']", ,[' 359598  '],[' 12498   '],[' 359556  '],[' 210736  '],"[' 632204   (Atom=Atom', ' 200236 Body=Body', ' 113398 Other', ' 318570)']",[' Yes'],"[' 14456    (Eliminated', '    0 Frozen', ' 14456)']","[' 2342     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.3335'],[' 0'], ,[' 783.673'],[' 0'],[' 11.9228'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.61699e+08'],[' 3.20244e+08'],[' 0'],[' 1.13573e+11'],[' 0'],[' 0'],[' 860 '],[' 1428 '],[' 2093 '],[' 2828 '],[' 3432 '],[' 4061 '],[' 4681 '],[' 5271 '],[' 5931 '],[' 7 '],[' 2 ']
Solving...,TA75, , ,[' 5401'],[' 2710'],"[' 946.860s (Solving', ' 904.45s 1st Model', ' 139.52s Unsat', ' 89.84s)']",[' 945.297s'], ,[' 82748720'],"[' 10703817 (Analyzed', ' 10484906)']","[' 22187    (Average', ' 472.57 Last', ' 76942)']",[' 5479.1  '],"[' 2710     (Average Length', ' 1207.90 Splits', ' 0)']","[' 10484906 (Deleted', ' 10315890)']","[' 72       (Ratio', '   0.00%)']","[' 15770    (Ratio', '   0.15%)']","[' 10484906 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10484906 (Average', '  6.85 Max', ' 7379 Sum', ' 71864786)']","[' 10483487 (Average', '  6.72 Max', ' 7379 Sum', ' 70486282 Ratio', '  98.08%)']","[' 1419     (Average', ' 971.46 Max', ' 2093 Sum', ' 1378504 Ratio', '   1.92%)']", ,[' 360708  '],[' 12615   '],[' 361079  '],[' 209544  '],"[' 628628   (Atom=Atom', ' 198927 Body=Body', ' 113515 Other', ' 316186)']",[' Yes'],"[' 14986    (Eliminated', '    0 Frozen', ' 14986)']","[' 2672     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.88547'],[' 0'], ,[' 785.966'],[' 0'],[' 11.876'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.90896e+08'],[' 3.50068e+08'],[' 0'],[' 1.12194e+11'],[' 0'],[' 0'],[' 915 '],[' 1604 '],[' 2261 '],[' 2986 '],[' 3586 '],[' 4376 '],[' 5059 '],[' 5712 '],[' 6323 '],[' 7 '],[' 2 ']
Solving...,TA76, , ,[' 4815'],[' 2417'],"[' 978.423s (Solving', ' 939.70s 1st Model', ' 46.55s Unsat', ' 46.58s)']",[' 976.906s'], ,[' 67061380'],"[' 12664325 (Analyzed', ' 12413679)']","[' 26062    (Average', ' 476.31 Last', ' 154312)']",[' 5378.9  '],"[' 2417     (Average Length', ' 1104.93 Splits', ' 0)']","[' 12413679 (Deleted', ' 12221651)']","[' 39       (Ratio', '   0.00%)']","[' 10115    (Ratio', '   0.08%)']","[' 12413679 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12413679 (Average', '  4.63 Max', ' 7397 Sum', ' 57488814)']","[' 12412019 (Average', '  4.52 Max', ' 7397 Sum', ' 56048601 Ratio', '  97.49%)']","[' 1660     (Average', ' 867.60 Max', ' 1870 Sum', ' 1440213 Ratio', '   2.51%)']", ,[' 356806  '],[' 12454   '],[' 356982  '],[' 205346  '],"[' 616034   (Atom=Atom', ' 194890 Body=Body', ' 113354 Other', ' 307790)']",[' Yes'],"[' 14630    (Eliminated', '    0 Frozen', ' 14630)']","[' 2005     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.01232'],[' 0'], ,[' 827.542'],[' 0'],[' 12.3545'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.27224e+08'],[' 2.8808e+08'],[' 0'],[' 1.19136e+11'],[' 0'],[' 0'],[' 896 '],[' 1486 '],[' 2134 '],[' 2790 '],[' 3436 '],[' 4105 '],[' 4717 '],[' 5385 '],[' 6001 '],[' 8 '],[' 1 ']
Solving...,TA77, , ,[' 4147'],[' 2083'],"[' 991.206s (Solving', ' 956.78s 1st Model', ' 46.18s Unsat', ' 62.16s)']",[' 990.234s'], ,[' 63045788'],"[' 13667771 (Analyzed', ' 13368221)']","[' 27919    (Average', ' 478.82 Last', ' 44318)']",[' 6181.8  '],"[' 2083     (Average Length', ' 984.56 Splits', ' 0)']","[' 13368221 (Deleted', ' 13166361)']","[' 22       (Ratio', '   0.00%)']","[' 7604     (Ratio', '   0.06%)']","[' 13368221 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13368221 (Average', '  3.93 Max', ' 8341 Sum', ' 52517328)']","[' 13367075 (Average', '  3.85 Max', ' 8341 Sum', ' 51492089 Ratio', '  98.05%)']","[' 1146     (Average', ' 894.62 Max', ' 1605 Sum', ' 1025239 Ratio', '   1.95%)']", ,[' 359196  '],[' 12415   '],[' 359145  '],[' 211403  '],"[' 634205   (Atom=Atom', ' 200986 Body=Body', ' 113315 Other', ' 319904)']",[' Yes'],"[' 14364    (Eliminated', '    0 Frozen', ' 14364)']","[' 1339     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.28042'],[' 0'], ,[' 842.526'],[' 0'],[' 12.019'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.12876e+08'],[' 2.73641e+08'],[' 0'],[' 1.23018e+11'],[' 0'],[' 0'],[' 806 '],[' 1599 '],[' 2351 '],[' 3004 '],[' 3652 '],[' 4320 '],[' 4940 '],[' 5602 '],[' 6179 '],[' 8 '],[' 1 ']
Solving...,TA78, , ,[' 4549'],[' 2284'],"[' 954.892s (Solving', ' 917.81s 1st Model', ' 54.02s Unsat', ' 13.20s)']",[' 954.031s'], ,[' 75939495'],"[' 11739809 (Analyzed', ' 11470348)']","[' 23968    (Average', ' 478.57 Last', ' 25295)']",[' 5664.9  '],"[' 2284     (Average Length', ' 1053.70 Splits', ' 0)']","[' 11470348 (Deleted', ' 11307873)']","[' 42       (Ratio', '   0.00%)']","[' 11414    (Ratio', '   0.10%)']","[' 11470348 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11470348 (Average', '  5.78 Max', ' 7543 Sum', ' 66314569)']","[' 11468638 (Average', '  5.64 Max', ' 7543 Sum', ' 64653047 Ratio', '  97.49%)']","[' 1710     (Average', ' 971.65 Max', ' 1716 Sum', ' 1661522 Ratio', '   2.51%)']", ,[' 359095  '],[' 12542   '],[' 359184  '],[' 208181  '],"[' 624539   (Atom=Atom', ' 197637 Body=Body', ' 113442 Other', ' 313460)']",[' Yes'],"[' 14631    (Eliminated', '    0 Frozen', ' 14631)']","[' 2174     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.78496'],[' 0'], ,[' 805.788'],[' 0'],[' 12.3526'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.50738e+08'],[' 3.11461e+08'],[' 0'],[' 1.18351e+11'],[' 0'],[' 0'],[' 946 '],[' 1549 '],[' 2177 '],[' 2849 '],[' 3503 '],[' 4273 '],[' 4924 '],[' 5574 '],[' 6181 '],[' 8 '],[' 1 ']
Solving...,TA79, ,[' 1'],[' 4801+'],[' 2410'],"[' 1009.940s (Solving', ' 970.03s 1st Model', ' 99.23s Unsat', ' 0.00s)']",[' 1008.016s'], ,[' 75415929'],"[' 15012086 (Analyzed', ' 14697256)']","[' 29040    (Average', ' 506.10 Last', ' 283263)']",[' 5881.1  '],"[' 2410     (Average Length', ' 1091.47 Splits', ' 0)']","[' 14697256 (Deleted', ' 14486418)']","[' 16       (Ratio', '   0.00%)']","[' 9127     (Ratio', '   0.06%)']","[' 14697256 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14697256 (Average', '  4.38 Max', ' 7900 Sum', ' 64432624)']","[' 14695733 (Average', '  4.29 Max', ' 7900 Sum', ' 63046684 Ratio', '  97.85%)']","[' 1523     (Average', ' 910.01 Max', ' 1799 Sum', ' 1385940 Ratio', '   2.15%)']", ,[' 360035  '],[' 12532   '],[' 360199  '],[' 208819  '],"[' 626453   (Atom=Atom', ' 198285 Body=Body', ' 113432 Other', ' 314736)']",[' Yes'],"[' 14696    (Eliminated', '    0 Frozen', ' 14696)']","[' 1555     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.14299'],[' 0'], ,[' 844.719'],[' 0'],[' 12.1884'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.61977e+08'],[' 3.1881e+08'],[' 0'],[' 1.22904e+11'],[' 0'],[' 0'],[' 870 '],[' 1480 '],[' 2107 '],[' 2705 '],[' 3325 '],[' 3976 '],[' 4603 '],[' 5196 '],[' 5789 '],[' 9 '],[' 0 ']
Solving...,TA80, , ,[' 4341'],[' 2180'],"[' 947.461s (Solving', ' 911.34s 1st Model', ' 86.92s Unsat', ' 5.51s)']",[' 945.828s'], ,[' 69217015'],"[' 11856362 (Analyzed', ' 11652785)']","[' 24668    (Average', ' 472.38 Last', ' 60152)']",[' 5571.7  '],"[' 2180     (Average Length', ' 1015.47 Splits', ' 0)']","[' 11652785 (Deleted', ' 11473188)']","[' 33       (Ratio', '   0.00%)']","[' 13441    (Ratio', '   0.12%)']","[' 11652785 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11652785 (Average', '  5.16 Max', ' 7327 Sum', ' 60152467)']","[' 11651068 (Average', '  5.03 Max', ' 7327 Sum', ' 58610192 Ratio', '  97.44%)']","[' 1717     (Average', ' 898.24 Max', ' 1665 Sum', ' 1542275 Ratio', '   2.56%)']", ,[' 359898  '],[' 12590   '],[' 359906  '],[' 208809  '],"[' 626423   (Atom=Atom', ' 198217 Body=Body', ' 113490 Other', ' 314716)']",[' Yes'],"[' 14598    (Eliminated', '    0 Frozen', ' 14598)']","[' 2468     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.63632'],[' 0'], ,[' 801.638'],[' 0'],[' 11.6398'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.39489e+08'],[' 3.00078e+08'],[' 0'],[' 1.15376e+11'],[' 0'],[' 0'],[' 810 '],[' 1469 '],[' 2246 '],[' 2875 '],[' 3443 '],[' 4077 '],[' 4797 '],[' 5360 '],[' 5985 '],[' 8 '],[' 1 ']
