Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 943'],[' 481'],"[' 11.076s (Solving', ' 8.39s 1st Model', ' 1.05s Unsat', ' 3.63s)']",[' 10.984s'], ,[' 1517759 '],"[' 547735   (Analyzed', ' 369559)']","[' 1378     (Average', ' 268.19 Last', ' 7096)']",[' 1414.2  '],"[' 481      (Average Length', ' 230.77 Splits', ' 0)']","[' 369559   (Deleted', ' 356719)']","[' 56       (Ratio', '   0.02%)']","[' 530      (Ratio', '   0.14%)']","[' 369559   (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 369559   (Average', '  2.09 Max', ' 1756 Sum', ' 772978)']","[' 369503   (Average', '  2.09 Max', ' 1756 Sum', ' 772587 Ratio', '  99.95%)']","[' 56       (Average', '  6.98 Max', ' 237 Sum', '    391 Ratio', '   0.05%)']", ,[' 72357   '],[' 2586    '],[' 72060   '],[' 40771   '],"[' 122309   (Atom=Atom', ' 38933 Body=Body', ' 21661 Other', ' 61715)']",[' Yes'],"[' 3039     (Eliminated', '    0 Frozen', ' 3039)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.588616'],[' 0'], ,[' 4.12418'],[' 0'],[' 0.132567'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10727e+07'],[' 9.69747e+06'],[' 0'],[' 3.08638e+08'],[' 0'],[' 0'],[' 508 '],[' 875 '],[' 1323 '],[' 1757 '],[' 2124 '],[' 2518 '],[' 2868 '],[' 3187 '],[' 3521 '],[' 0 '],[' 9 ']
Solving...,TA52, , ,[' 935'],[' 477'],"[' 117.484s (Solving', ' 115.05s 1st Model', ' 1.02s Unsat', ' 0.94s)']",[' 117.219s'], ,[' 15463329'],"[' 10586036 (Analyzed', ' 10573980)']","[' 18916    (Average', ' 559.00 Last', ' 1349)']",[' 1278.6  '],"[' 477      (Average Length', ' 228.30 Splits', ' 0)']","[' 10573980 (Deleted', ' 10411736)']","[' 77       (Ratio', '   0.00%)']","[' 917      (Ratio', '   0.01%)']","[' 10573980 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10573980 (Average', '  1.39 Max', ' 1710 Sum', ' 14721221)']","[' 10573865 (Average', '  1.39 Max', ' 1710 Sum', ' 14716385 Ratio', '  99.97%)']","[' 115      (Average', ' 42.05 Max', ' 300 Sum', '   4836 Ratio', '   0.03%)']", ,[' 72377   '],[' 2624    '],[' 72076   '],[' 40763   '],"[' 122285   (Atom=Atom', ' 38887 Body=Body', ' 21699 Other', ' 61699)']",[' Yes'],"[' 3073     (Eliminated', '    0 Frozen', ' 3073)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.527537'],[' 0'], ,[' 50.8091'],[' 0'],[' 1.78313'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.08065e+07'],[' 2.54618e+07'],[' 0'],[' 3.29714e+09'],[' 0'],[' 0'],[' 559 '],[' 901 '],[' 1337 '],[' 1681 '],[' 2055 '],[' 2403 '],[' 2766 '],[' 3112 '],[' 3416 '],[' 1 '],[' 8 ']
Solving...,TA53, , ,[' 1169'],[' 594'],"[' 50.785s (Solving', ' 48.45s 1st Model', ' 1.11s Unsat', ' 44.78s)']",[' 50.531s'], ,[' 1803860 '],"[' 554882   (Analyzed', ' 533251)']","[' 1493     (Average', ' 357.17 Last', ' 501)']",[' 1245.5  '],"[' 594      (Average Length', ' 280.16 Splits', ' 0)']","[' 533251   (Deleted', ' 518523)']","[' 78       (Ratio', '   0.01%)']","[' 750      (Ratio', '   0.14%)']","[' 533251   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 533251   (Average', '  2.27 Max', ' 1699 Sum', ' 1209339)']","[' 533150   (Average', '  2.26 Max', ' 1699 Sum', ' 1203606 Ratio', '  99.53%)']","[' 101      (Average', ' 56.76 Max', ' 492 Sum', '   5733 Ratio', '   0.47%)']", ,[' 73099   '],[' 2620    '],[' 72906   '],[' 41176   '],"[' 123524   (Atom=Atom', ' 39304 Body=Body', ' 21695 Other', ' 62525)']",[' Yes'],"[' 3177     (Eliminated', '    0 Frozen', ' 3177)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.576361'],[' 0'], ,[' 42.7128'],[' 0'],[' 0.604189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07271e+07'],[' 9.11085e+06'],[' 0'],[' 8.2258e+09'],[' 0'],[' 0'],[' 502 '],[' 839 '],[' 1195 '],[' 1532 '],[' 1998 '],[' 2342 '],[' 2657 '],[' 3117 '],[' 3430 '],[' 0 '],[' 9 ']
Solving...,TA54, , ,[' 973'],[' 496'],"[' 7.306s (Solving', ' 5.08s 1st Model', ' 0.70s Unsat', ' 0.08s)']",[' 7.219s'], ,[' 933319  '],"[' 244683   (Analyzed', ' 11960)']","[' 499      (Average', ' 23.97 Last', ' 117)']",[' 1223.0  '],"[' 496      (Average Length', ' 236.99 Splits', ' 0)']","[' 11960    (Deleted', ' 6421)']","[' 76       (Ratio', '   0.64%)']","[' 371      (Ratio', '   3.10%)']","[' 11960    (Average Length', '    7.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11960    (Average', ' 18.52 Max', ' 1007 Sum', ' 221500)']","[' 11882    (Average', ' 18.40 Max', ' 1007 Sum', ' 220046 Ratio', '  99.34%)']","[' 78       (Average', ' 18.64 Max', ' 439 Sum', '   1454 Ratio', '   0.66%)']", ,[' 73232   '],[' 2643    '],[' 72954   '],[' 41569   '],"[' 124703   (Atom=Atom', ' 39674 Body=Body', ' 21718 Other', ' 63311)']",[' Yes'],"[' 3115     (Eliminated', '    0 Frozen', ' 3115)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.496861'],[' 0'], ,[' 2.91893'],[' 0'],[' 0.0540021'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.43867e+06'],[' 6.88968e+06'],[' 0'],[' 2.68108e+08'],[' 0'],[' 0'],[' 546 '],[' 813 '],[' 1252 '],[' 1667 '],[' 2034 '],[' 2298 '],[' 2661 '],[' 2961 '],[' 3470 '],[' 0 '],[' 9 ']
Solving...,TA55, , ,[' 1175'],[' 597'],"[' 62.680s (Solving', ' 60.21s 1st Model', ' 1.05s Unsat', ' 56.56s)']",[' 62.500s'], ,[' 9589025 '],"[' 5209843  (Analyzed', ' 5190966)']","[' 10393    (Average', ' 499.47 Last', ' 81273)']",[' 1236.2  '],"[' 597      (Average Length', ' 288.43 Splits', ' 0)']","[' 5190966  (Deleted', ' 5080400)']","[' 84       (Ratio', '   0.00%)']","[' 1190     (Ratio', '   0.02%)']","[' 5190966  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5190966  (Average', '  1.72 Max', ' 1753 Sum', ' 8905959)']","[' 5190861  (Average', '  1.72 Max', ' 1753 Sum', ' 8902871 Ratio', '  99.97%)']","[' 105      (Average', ' 29.41 Max', ' 344 Sum', '   3088 Ratio', '   0.03%)']", ,[' 72962   '],[' 2660    '],[' 72782   '],[' 41465   '],"[' 124391   (Atom=Atom', ' 39553 Body=Body', ' 21735 Other', ' 63103)']",[' Yes'],"[' 3230     (Eliminated', '    0 Frozen', ' 3230)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.57516'],[' 0'], ,[' 30.6131'],[' 0'],[' 1.02225'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.1419e+07'],[' 1.93636e+07'],[' 0'],[' 2.2206e+09'],[' 0'],[' 0'],[' 463 '],[' 872 '],[' 1237 '],[' 1655 '],[' 2112 '],[' 2527 '],[' 2876 '],[' 3213 '],[' 3542 '],[' 0 '],[' 9 ']
Solving...,TA56, , ,[' 717'],[' 368'],"[' 86.175s (Solving', ' 84.22s 1st Model', ' 0.72s Unsat', ' 81.39s)']",[' 85.875s'], ,[' 2449431 '],"[' 1244741  (Analyzed', ' 1190646)']","[' 2909     (Average', ' 409.30 Last', ' 2973)']",[' 1277.5  '],"[' 368      (Average Length', ' 178.72 Splits', ' 0)']","[' 1190646  (Deleted', ' 1168267)']","[' 97       (Ratio', '   0.01%)']","[' 1090     (Ratio', '   0.09%)']","[' 1190646  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1190646  (Average', '  1.66 Max', ' 1733 Sum', ' 1976081)']","[' 1190528  (Average', '  1.65 Max', ' 1733 Sum', ' 1969882 Ratio', '  99.69%)']","[' 118      (Average', ' 52.53 Max', ' 288 Sum', '   6199 Ratio', '   0.31%)']", ,[' 72224   '],[' 2610    '],[' 71829   '],[' 40702   '],"[' 122102   (Atom=Atom', ' 38840 Body=Body', ' 21685 Other', ' 61577)']",[' Yes'],"[' 2965     (Eliminated', '    0 Frozen', ' 2965)']","[' 27       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.454846'],[' 0'], ,[' 74.9572'],[' 0'],[' 1.1363'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21113e+07'],[' 8.87085e+06'],[' 0'],[' 1.40673e+10'],[' 0'],[' 0'],[' 571 '],[' 969 '],[' 1261 '],[' 1633 '],[' 2064 '],[' 2475 '],[' 2851 '],[' 3141 '],[' 3522 '],[' 0 '],[' 9 ']
Solving...,TA57, , ,[' 939'],[' 479'],"[' 8.696s (Solving', ' 6.40s 1st Model', ' 0.74s Unsat', ' 2.29s)']",[' 8.547s'], ,[' 1049181 '],"[' 239387   (Analyzed', ' 70987)']","[' 632      (Average', ' 112.32 Last', ' 197)']",[' 1294.2  '],"[' 479      (Average Length', ' 231.78 Splits', ' 0)']","[' 70987    (Deleted', ' 63352)']","[' 71       (Ratio', '   0.10%)']","[' 688      (Ratio', '   0.97%)']","[' 70987    (Average Length', '    8.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 70987    (Average', '  5.46 Max', ' 1743 Sum', ' 387341)']","[' 70887    (Average', '  5.35 Max', ' 1743 Sum', ' 379443 Ratio', '  97.96%)']","[' 100      (Average', ' 78.98 Max', ' 365 Sum', '   7898 Ratio', '   2.04%)']", ,[' 72683   '],[' 2635    '],[' 72395   '],[' 41134   '],"[' 123398   (Atom=Atom', ' 39247 Body=Body', ' 21710 Other', ' 62441)']",[' Yes'],"[' 3097     (Eliminated', '    0 Frozen', ' 3097)']","[' 4        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.520581'],[' 0'], ,[' 3.89192'],[' 0'],[' 0.084849'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.25727e+06'],[' 7.60914e+06'],[' 0'],[' 4.66745e+08'],[' 0'],[' 0'],[' 609 '],[' 958 '],[' 1401 '],[' 1859 '],[' 2207 '],[' 2604 '],[' 3083 '],[' 3458 '],[' 3775 '],[' 0 '],[' 9 ']
Solving...,TA58, , ,[' 1073'],[' 546'],"[' 96.127s (Solving', ' 94.19s 1st Model', ' 1.00s Unsat', ' 90.20s)']",[' 95.813s'], ,[' 12319760'],"[' 8782092  (Analyzed', ' 8761932)']","[' 16575    (Average', ' 528.62 Last', ' 11026)']",[' 1300.5  '],"[' 546      (Average Length', ' 262.99 Splits', ' 0)']","[' 8761932  (Deleted', ' 8645439)']","[' 77       (Ratio', '   0.00%)']","[' 773      (Ratio', '   0.01%)']","[' 8761932  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8761932  (Average', '  1.32 Max', ' 1770 Sum', ' 11565191)']","[' 8761847  (Average', '  1.32 Max', ' 1770 Sum', ' 11564022 Ratio', '  99.99%)']","[' 85       (Average', ' 13.75 Max', ' 105 Sum', '   1169 Ratio', '   0.01%)']", ,[' 72621   '],[' 2637    '],[' 72393   '],[' 41319   '],"[' 123953   (Atom=Atom', ' 39430 Body=Body', ' 21712 Other', ' 62811)']",[' Yes'],"[' 3159     (Eliminated', '    0 Frozen', ' 3159)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.558835'],[' 0'], ,[' 40.6007'],[' 0'],[' 1.42905'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.92807e+07'],[' 1.91508e+07'],[' 0'],[' 2.7267e+09'],[' 0'],[' 0'],[' 533 '],[' 820 '],[' 1275 '],[' 1607 '],[' 2036 '],[' 2542 '],[' 2909 '],[' 3244 '],[' 3593 '],[' 0 '],[' 9 ']
Solving...,TA59, , ,[' 1005'],[' 512'],"[' 8.011s (Solving', ' 5.18s 1st Model', ' 1.07s Unsat', ' 0.37s)']",[' 7.938s'], ,[' 1133905 '],"[' 211769   (Analyzed', ' 20273)']","[' 457      (Average', ' 44.36 Last', ' 126)']",[' 1371.2  '],"[' 512      (Average Length', ' 246.49 Splits', ' 0)']","[' 20273    (Deleted', ' 11168)']","[' 69       (Ratio', '   0.34%)']","[' 622      (Ratio', '   3.07%)']","[' 20273    (Average Length', '    7.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20273    (Average', ' 18.78 Max', ' 1739 Sum', ' 380752)']","[' 20190    (Average', ' 18.57 Max', ' 1739 Sum', ' 376512 Ratio', '  98.89%)']","[' 83       (Average', ' 51.08 Max', ' 346 Sum', '   4240 Ratio', '   1.11%)']", ,[' 72336   '],[' 2600    '],[' 72075   '],[' 40818   '],"[' 122450   (Atom=Atom', ' 38966 Body=Body', ' 21675 Other', ' 61809)']",[' Yes'],"[' 3089     (Eliminated', '    0 Frozen', ' 3089)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.611088'],[' 0'], ,[' 2.7423'],[' 0'],[' 0.0675087'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.6142e+06'],[' 9.01071e+06'],[' 0'],[' 2.35473e+08'],[' 0'],[' 0'],[' 415 '],[' 713 '],[' 1080 '],[' 1480 '],[' 1872 '],[' 2306 '],[' 2661 '],[' 2967 '],[' 3326 '],[' 0 '],[' 9 ']
Solving...,TA60, , ,[' 1011'],[' 515'],"[' 10.437s (Solving', ' 7.84s 1st Model', ' 0.69s Unsat', ' 2.01s)']",[' 10.344s'], ,[' 1106858 '],"[' 396187   (Analyzed', ' 69100)']","[' 752      (Average', ' 91.89 Last', ' 71)']",[' 1278.2  '],"[' 515      (Average Length', ' 247.26 Splits', ' 0)']","[' 69100    (Deleted', ' 56590)']","[' 85       (Ratio', '   0.12%)']","[' 663      (Ratio', '   0.96%)']","[' 69100    (Average Length', '    8.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 69100    (Average', '  3.70 Max', ' 733 Sum', ' 255363)']","[' 69011    (Average', '  3.69 Max', ' 733 Sum', ' 255086 Ratio', '  99.89%)']","[' 89       (Average', '  3.11 Max', '  69 Sum', '    277 Ratio', '   0.11%)']", ,[' 72609   '],[' 2616    '],[' 72353   '],[' 41073   '],"[' 123215   (Atom=Atom', ' 39205 Body=Body', ' 21691 Other', ' 62319)']",[' Yes'],"[' 3110     (Eliminated', '    0 Frozen', ' 3110)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.547977'],[' 0'], ,[' 5.36119'],[' 0'],[' 0.0933202'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.94574e+06'],[' 8.13502e+06'],[' 0'],[' 6.08602e+08'],[' 0'],[' 0'],[' 518 '],[' 816 '],[' 1118 '],[' 1637 '],[' 1988 '],[' 2297 '],[' 2673 '],[' 2957 '],[' 3355 '],[' 0 '],[' 9 ']
