Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1285'],[' 653'],"[' 13.148s (Solving', ' 8.21s 1st Model', ' 1.84s Unsat', ' 0.18s)']",[' 13.063s'], ,[' 1327133 '],"[' 75657    (Analyzed', ' 5681)']","[' 100      (Average', ' 56.81 Last', ' 97)']",[' 1461.6  '],"[' 653      (Average Length', ' 309.15 Splits', ' 0)']","[' 5681     (Deleted', ' 0)']","[' 67       (Ratio', '   1.18%)']","[' 312      (Ratio', '   5.49%)']","[' 5681     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5681     (Average', ' 91.80 Max', ' 2130 Sum', ' 521529)']","[' 5594     (Average', ' 90.84 Max', ' 2130 Sum', ' 516062 Ratio', '  98.95%)']","[' 87       (Average', ' 62.84 Max', ' 446 Sum', '   5467 Ratio', '   1.05%)']", ,[' 95188   '],[' 3200    '],[' 94807   '],[' 53581   '],"[' 160739   (Atom=Atom', ' 51379 Body=Body', ' 28650 Other', ' 80710)']",[' Yes'],"[' 3819     (Eliminated', '    0 Frozen', ' 3819)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12519'],[' 0'], ,[' 3.29156'],[' 0'],[' 0.127806'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23454e+07'],[' 1.17689e+07'],[' 0'],[' 1.22068e+08'],[' 0'],[' 0'],[' 490 '],[' 818 '],[' 1145 '],[' 1479 '],[' 1865 '],[' 2201 '],[' 2547 '],[' 2993 '],[' 3344 '],[' 3684 '],[' 0 '],[' 10 ']
Solving...,TA62, , ,[' 1757'],[' 889'],"[' 17.365s (Solving', ' 11.09s 1st Model', ' 3.01s Unsat', ' 0.48s)']",[' 17.016s'], ,[' 1908584 '],"[' 60856    (Analyzed', ' 24952)']","[' 254      (Average', ' 98.24 Last', ' 436)']",[' 1637.7  '],"[' 889      (Average Length', ' 422.92 Splits', ' 0)']","[' 24952    (Deleted', ' 14719)']","[' 98       (Ratio', '   0.39%)']","[' 635      (Ratio', '   2.54%)']","[' 24952    (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24952    (Average', ' 32.91 Max', ' 2123 Sum', ' 821276)']","[' 24808    (Average', ' 32.23 Max', ' 2123 Sum', ' 804278 Ratio', '  97.93%)']","[' 144      (Average', ' 118.04 Max', ' 688 Sum', '  16998 Ratio', '   2.07%)']", ,[' 96120   '],[' 3243    '],[' 95955   '],[' 54124   '],"[' 162368   (Atom=Atom', ' 51879 Body=Body', ' 28693 Other', ' 81796)']",[' Yes'],"[' 4078     (Eliminated', '    0 Frozen', ' 4078)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.46834'],[' 0'], ,[' 3.93863'],[' 0'],[' 0.172505'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81028e+07'],[' 1.73039e+07'],[' 0'],[' 1.15031e+08'],[' 0'],[' 0'],[' 475 '],[' 822 '],[' 1262 '],[' 1618 '],[' 1961 '],[' 2297 '],[' 2584 '],[' 2943 '],[' 3348 '],[' 3766 '],[' 0 '],[' 10 ']
Solving...,TA63, , ,[' 1367'],[' 694'],"[' 19.927s (Solving', ' 14.99s 1st Model', ' 1.68s Unsat', ' 0.06s)']",[' 19.719s'], ,[' 1571384 '],"[' 433457   (Analyzed', ' 7078)']","[' 668      (Average', ' 10.60 Last', ' 167)']",[' 1569.0  '],"[' 694      (Average Length', ' 330.18 Splits', ' 0)']","[' 7078     (Deleted', ' 1198)']","[' 59       (Ratio', '   0.83%)']","[' 357      (Ratio', '   5.04%)']","[' 7078     (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7078     (Average', ' 42.26 Max', ' 1038 Sum', ' 299133)']","[' 7020     (Average', ' 42.06 Max', ' 1038 Sum', ' 297704 Ratio', '  99.52%)']","[' 58       (Average', ' 24.64 Max', ' 234 Sum', '   1429 Ratio', '   0.48%)']", ,[' 95283   '],[' 3188    '],[' 94939   '],[' 53638   '],"[' 160910   (Atom=Atom', ' 51448 Body=Body', ' 28638 Other', ' 80824)']",[' Yes'],"[' 3844     (Eliminated', '    0 Frozen', ' 3844)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.19151'],[' 0'], ,[' 9.23723'],[' 0'],[' 0.165453'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.53123e+07'],[' 1.43139e+07'],[' 0'],[' 6.5423e+08'],[' 0'],[' 0'],[' 496 '],[' 858 '],[' 1185 '],[' 1549 '],[' 1843 '],[' 2154 '],[' 2548 '],[' 2904 '],[' 3172 '],[' 3569 '],[' 0 '],[' 10 ']
Solving...,TA64, , ,[' 1379'],[' 700'],"[' 113.560s (Solving', ' 108.57s 1st Model', ' 2.05s Unsat', ' 0.35s)']",[' 112.375s'], ,[' 7137842 '],"[' 4211315  (Analyzed', ' 4182339)']","[' 8382     (Average', ' 498.97 Last', ' 89747)']",[' 1622.7  '],"[' 700      (Average Length', ' 331.25 Splits', ' 0)']","[' 4182339  (Deleted', ' 4104882)']","[' 54       (Ratio', '   0.00%)']","[' 725      (Ratio', '   0.02%)']","[' 4182339  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4182339  (Average', '  1.46 Max', ' 2091 Sum', ' 6111583)']","[' 4182249  (Average', '  1.46 Max', ' 2091 Sum', ' 6105128 Ratio', '  99.89%)']","[' 90       (Average', ' 71.72 Max', ' 569 Sum', '   6455 Ratio', '   0.11%)']", ,[' 95324   '],[' 3226    '],[' 94981   '],[' 53730   '],"[' 161186   (Atom=Atom', ' 51502 Body=Body', ' 28676 Other', ' 81008)']",[' Yes'],"[' 3883     (Eliminated', '    0 Frozen', ' 3883)']","[' 30       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26751'],[' 0'], ,[' 70.5712'],[' 0'],[' 1.61241'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.19985e+07'],[' 2.15189e+07'],[' 0'],[' 5.16892e+09'],[' 0'],[' 0'],[' 466 '],[' 936 '],[' 1351 '],[' 1680 '],[' 2007 '],[' 2345 '],[' 2748 '],[' 3062 '],[' 3347 '],[' 3666 '],[' 1 '],[' 9 ']
Solving...,TA65, , ,[' 1441'],[' 731'],"[' 20.627s (Solving', ' 15.51s 1st Model', ' 1.78s Unsat', ' 0.17s)']",[' 20.344s'], ,[' 1641825 '],"[' 440310   (Analyzed', ' 9906)']","[' 716      (Average', ' 13.84 Last', ' 479)']",[' 1522.2  '],"[' 731      (Average Length', ' 341.68 Splits', ' 0)']","[' 9906     (Deleted', ' 2541)']","[' 84       (Ratio', '   0.85%)']","[' 396      (Ratio', '   4.00%)']","[' 9906     (Average Length', '    7.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9906     (Average', ' 37.68 Max', ' 1074 Sum', ' 373213)']","[' 9804     (Average', ' 36.37 Max', ' 1074 Sum', ' 360289 Ratio', '  96.54%)']","[' 102      (Average', ' 126.71 Max', ' 598 Sum', '  12924 Ratio', '   3.46%)']", ,[' 95258   '],[' 3203    '],[' 94939   '],[' 53830   '],"[' 161486   (Atom=Atom', ' 51625 Body=Body', ' 28653 Other', ' 81208)']",[' Yes'],"[' 3884     (Eliminated', '    0 Frozen', ' 3884)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.21746'],[' 0'], ,[' 9.54051'],[' 0'],[' 0.167838'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52421e+07'],[' 1.42225e+07'],[' 0'],[' 6.62478e+08'],[' 0'],[' 0'],[' 448 '],[' 780 '],[' 1138 '],[' 1472 '],[' 1829 '],[' 2181 '],[' 2540 '],[' 2934 '],[' 3263 '],[' 3601 '],[' 0 '],[' 10 ']
Solving...,TA66, , ,[' 1509'],[' 765'],"[' 16.238s (Solving', ' 10.75s 1st Model', ' 2.48s Unsat', ' 0.28s)']",[' 16.094s'], ,[' 1744272 '],"[' 169550   (Analyzed', ' 8543)']","[' 395      (Average', ' 21.63 Last', ' 143)']",[' 1638.6  '],"[' 765      (Average Length', ' 364.66 Splits', ' 0)']","[' 8543     (Deleted', ' 0)']","[' 96       (Ratio', '   1.12%)']","[' 412      (Ratio', '   4.82%)']","[' 8543     (Average Length', '    6.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8543     (Average', ' 73.43 Max', ' 2159 Sum', ' 627351)']","[' 8434     (Average', ' 72.58 Max', ' 2159 Sum', ' 620009 Ratio', '  98.83%)']","[' 109      (Average', ' 67.36 Max', ' 485 Sum', '   7342 Ratio', '   1.17%)']", ,[' 95911   '],[' 3235    '],[' 95633   '],[' 54378   '],"[' 163130   (Atom=Atom', ' 52141 Body=Body', ' 28685 Other', ' 82304)']",[' Yes'],"[' 3957     (Eliminated', '    0 Frozen', ' 3957)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.34589'],[' 0'], ,[' 4.50789'],[' 0'],[' 0.15903'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.64931e+07'],[' 1.56966e+07'],[' 0'],[' 2.10669e+08'],[' 0'],[' 0'],[' 452 '],[' 815 '],[' 1136 '],[' 1512 '],[' 1929 '],[' 2311 '],[' 2758 '],[' 3066 '],[' 3405 '],[' 3802 '],[' 0 '],[' 10 ']
Solving...,TA67, , ,[' 1485'],[' 753'],"[' 17.784s (Solving', ' 12.29s 1st Model', ' 2.41s Unsat', ' 3.35s)']",[' 17.469s'], ,[' 1993574 '],"[' 240033   (Analyzed', ' 217560)']","[' 760      (Average', ' 286.26 Last', ' 695)']",[' 1598.6  '],"[' 753      (Average Length', ' 359.50 Splits', ' 0)']","[' 217560   (Deleted', ' 205025)']","[' 79       (Ratio', '   0.04%)']","[' 772      (Ratio', '   0.35%)']","[' 217560   (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 217560   (Average', '  4.84 Max', ' 2162 Sum', ' 1051916)']","[' 217464   (Average', '  4.80 Max', ' 2162 Sum', ' 1044620 Ratio', '  99.31%)']","[' 96       (Average', ' 76.00 Max', ' 641 Sum', '   7296 Ratio', '   0.69%)']", ,[' 97117   '],[' 3303    '],[' 96831   '],[' 55370   '],"[' 166106   (Atom=Atom', ' 53065 Body=Body', ' 28753 Other', ' 84288)']",[' Yes'],"[' 4017     (Eliminated', '    0 Frozen', ' 4017)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3168'],[' 0'], ,[' 4.81461'],[' 0'],[' 0.206752'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62762e+07'],[' 1.51703e+07'],[' 0'],[' 1.99987e+08'],[' 0'],[' 0'],[' 507 '],[' 959 '],[' 1295 '],[' 1680 '],[' 2064 '],[' 2406 '],[' 2812 '],[' 3242 '],[' 3570 '],[' 3897 '],[' 0 '],[' 10 ']
Solving...,TA68, , ,[' 1341'],[' 681'],"[' 23.328s (Solving', ' 17.97s 1st Model', ' 1.83s Unsat', ' 1.74s)']",[' 23.203s'], ,[' 1771187 '],"[' 568991   (Analyzed', ' 131904)']","[' 1054     (Average', ' 125.15 Last', ' 215)']",[' 1600.2  '],"[' 681      (Average Length', ' 323.57 Splits', ' 0)']","[' 131904   (Deleted', ' 121723)']","[' 71       (Ratio', '   0.05%)']","[' 523      (Ratio', '   0.40%)']","[' 131904   (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 131904   (Average', '  3.67 Max', ' 1020 Sum', ' 484062)']","[' 131814   (Average', '  3.60 Max', ' 1020 Sum', ' 475257 Ratio', '  98.18%)']","[' 90       (Average', ' 97.83 Max', ' 575 Sum', '   8805 Ratio', '   1.82%)']", ,[' 94943   '],[' 3168    '],[' 94584   '],[' 53477   '],"[' 160427   (Atom=Atom', ' 51307 Body=Body', ' 28618 Other', ' 80502)']",[' Yes'],"[' 3809     (Eliminated', '    0 Frozen', ' 3809)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.29001'],[' 0'], ,[' 10.8468'],[' 0'],[' 0.20586'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63528e+07'],[' 1.505e+07'],[' 0'],[' 7.25855e+08'],[' 0'],[' 0'],[' 424 '],[' 707 '],[' 1020 '],[' 1442 '],[' 1776 '],[' 2142 '],[' 2548 '],[' 2859 '],[' 3202 '],[' 3561 '],[' 0 '],[' 10 ']
Solving...,TA69, , ,[' 1387'],[' 704'],"[' 67.492s (Solving', ' 62.68s 1st Model', ' 2.06s Unsat', ' 54.93s)']",[' 66.797s'], ,[' 6516140 '],"[' 3958968  (Analyzed', ' 3933153)']","[' 8330     (Average', ' 472.17 Last', ' 80840)']",[' 1523.8  '],"[' 704      (Average Length', ' 330.05 Splits', ' 0)']","[' 3933153  (Deleted', ' 3865011)']","[' 78       (Ratio', '   0.00%)']","[' 740      (Ratio', '   0.02%)']","[' 3933153  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3933153  (Average', '  1.42 Max', ' 2126 Sum', ' 5578038)']","[' 3933048  (Average', '  1.42 Max', ' 2126 Sum', ' 5574622 Ratio', '  99.94%)']","[' 105      (Average', ' 32.53 Max', ' 448 Sum', '   3416 Ratio', '   0.06%)']", ,[' 95973   '],[' 3257    '],[' 95635   '],[' 54447   '],"[' 163337   (Atom=Atom', ' 52188 Body=Body', ' 28707 Other', ' 82442)']",[' Yes'],"[' 3919     (Eliminated', '    0 Frozen', ' 3919)']","[' 7        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1453'],[' 0'], ,[' 28.5702'],[' 0'],[' 1.00078'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.88307e+07'],[' 1.91774e+07'],[' 0'],[' 1.41401e+09'],[' 0'],[' 0'],[' 648 '],[' 1001 '],[' 1377 '],[' 1784 '],[' 2127 '],[' 2522 '],[' 2925 '],[' 3261 '],[' 3607 '],[' 4040 '],[' 0 '],[' 10 ']
Solving...,TA70, , ,[' 1873'],[' 947'],"[' 28.168s (Solving', ' 21.47s 1st Model', ' 2.17s Unsat', ' 0.19s)']",[' 27.672s'], ,[' 2230354 '],"[' 680278   (Analyzed', ' 12896)']","[' 901      (Average', ' 14.31 Last', ' 885)']",[' 1679.6  '],"[' 947      (Average Length', ' 440.82 Splits', ' 0)']","[' 12896    (Deleted', ' 4564)']","[' 105      (Ratio', '   0.81%)']","[' 515      (Ratio', '   3.99%)']","[' 12896    (Average Length', '    7.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12896    (Average', ' 31.48 Max', ' 972 Sum', ' 405920)']","[' 12793    (Average', ' 31.16 Max', ' 972 Sum', ' 401795 Ratio', '  98.98%)']","[' 103      (Average', ' 40.05 Max', ' 273 Sum', '   4125 Ratio', '   1.02%)']", ,[' 97109   '],[' 3303    '],[' 96978   '],[' 55446   '],"[' 166334   (Atom=Atom', ' 53141 Body=Body', ' 28753 Other', ' 84440)']",[' Yes'],"[' 4172     (Eliminated', '    0 Frozen', ' 4172)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.60816'],[' 0'], ,[' 13.5573'],[' 0'],[' 0.227883'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.04478e+07'],[' 1.90231e+07'],[' 0'],[' 9.46054e+08'],[' 0'],[' 0'],[' 544 '],[' 915 '],[' 1370 '],[' 1792 '],[' 2305 '],[' 2775 '],[' 3208 '],[' 3592 '],[' 4018 '],[' 4345 '],[' 0 '],[' 10 ']
