Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 10187+'],[' 5100'],"[' 1021.027s (Solving', ' 929.17s 1st Model', ' 449.77s Unsat', ' 0.00s)']",[' 1015.328s'], ,[' 407871218'],"[' 7406859  (Analyzed', ' 6974004)']","[' 15231    (Average', ' 457.88 Last', ' 132530)']",[' 10198.9 '],"[' 5100     (Average Length', ' 2290.31 Splits', ' 0)']","[' 6974004  (Deleted', ' 6838899)']","[' 1790     (Ratio', '   0.03%)']","[' 65399    (Ratio', '   0.94%)']","[' 6974004  (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6974004  (Average', ' 53.36 Max', ' 13407 Sum', ' 372117093)']","[' 6971300  (Average', ' 52.57 Max', ' 13407 Sum', ' 366638687 Ratio', '  98.53%)']","[' 2704     (Average', ' 2026.04 Max', ' 4285 Sum', ' 5478406 Ratio', '   1.47%)']", ,[' 284888  '],[' 23605   '],[' 287183  '],[' 179144  '],"[' 537428   (Atom=Atom', ' 157537 Body=Body', ' 124505 Other', ' 255386)']",[' Yes'],"[' 27900    (Eliminated', '    0 Frozen', ' 27900)']","[' 10436    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.7032'],[' 0'], ,[' 534.957'],[' 0'],[' 26.766'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.9922e+08'],[' 8.92944e+08'],[' 0'],[' 3.10751e+10'],[' 0'],[' 0'],[' 1254 '],[' 2339 '],[' 3363 '],[' 4348 '],[' 5287 '],[' 6232 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 11459+'],[' 5736'],"[' 1021.837s (Solving', ' 922.09s 1st Model', ' 509.53s Unsat', ' 0.00s)']",[' 1016.703s'], ,[' 439533841'],"[' 4271837  (Analyzed', ' 3890387)']","[' 10546    (Average', ' 368.90 Last', ' 62623)']",[' 9361.9  '],"[' 5736     (Average Length', ' 2503.42 Splits', ' 0)']","[' 3890387  (Deleted', ' 3762581)']","[' 1661     (Ratio', '   0.04%)']","[' 77663    (Ratio', '   2.00%)']","[' 3890387  (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3890387  (Average', ' 103.99 Max', ' 10526 Sum', ' 404559589)']","[' 3888102  (Average', ' 102.66 Max', ' 10526 Sum', ' 399406374 Ratio', '  98.73%)']","[' 2285     (Average', ' 2255.24 Max', ' 5505 Sum', ' 5153215 Ratio', '   1.27%)']", ,[' 284301  '],[' 23327   '],[' 286907  '],[' 178819  '],"[' 536453   (Atom=Atom', ' 157490 Body=Body', ' 124227 Other', ' 254736)']",[' Yes'],"[' 27933    (Eliminated', '    0 Frozen', ' 27933)']","[' 12190    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.9649'],[' 0'], ,[' 476.539'],[' 0'],[' 27.2527'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22919e+09'],[' 1.09249e+09'],[' 0'],[' 2.60202e+10'],[' 0'],[' 0'],[' 960 '],[' 1930 '],[' 2883 '],[' 3719 '],[' 4675 '],[' 5637 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 10825+'],[' 5419'],"[' 1022.725s (Solving', ' 924.08s 1st Model', ' 422.01s Unsat', ' 0.00s)']",[' 1017.547s'], ,[' 404921302'],"[' 7227576  (Analyzed', ' 6642263)']","[' 14494    (Average', ' 458.28 Last', ' 111725)']",[' 10261.5 '],"[' 5419     (Average Length', ' 2367.73 Splits', ' 0)']","[' 6642263  (Deleted', ' 6507063)']","[' 1636     (Ratio', '   0.02%)']","[' 64123    (Ratio', '   0.97%)']","[' 6642263  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6642263  (Average', ' 55.10 Max', ' 13092 Sum', ' 365995200)']","[' 6639749  (Average', ' 54.36 Max', ' 13092 Sum', ' 361061770 Ratio', '  98.65%)']","[' 2514     (Average', ' 1962.38 Max', ' 4469 Sum', ' 4933430 Ratio', '   1.35%)']", ,[' 284734  '],[' 23487   '],[' 287217  '],[' 179147  '],"[' 537437   (Atom=Atom', ' 157658 Body=Body', ' 124387 Other', ' 255392)']",[' Yes'],"[' 27970    (Eliminated', '    0 Frozen', ' 27970)']","[' 10439    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.7063'],[' 0'], ,[' 537.594'],[' 0'],[' 26.4442'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.83728e+08'],[' 8.77001e+08'],[' 0'],[' 3.16317e+10'],[' 0'],[' 0'],[' 1306 '],[' 2304 '],[' 3274 '],[' 4188 '],[' 5192 '],[' 6117 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 10029+'],[' 5021'],"[' 1020.103s (Solving', ' 931.77s 1st Model', ' 321.91s Unsat', ' 0.00s)']",[' 1016.063s'], ,[' 423240486'],"[' 5225814  (Analyzed', ' 4746609)']","[' 11802    (Average', ' 402.19 Last', ' 43492)']",[' 9165.4  '],"[' 5021     (Average Length', ' 2203.41 Splits', ' 0)']","[' 4746609  (Deleted', ' 4619092)']","[' 2035     (Ratio', '   0.04%)']","[' 73108    (Ratio', '   1.54%)']","[' 4746609  (Average Length', '   20.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4746609  (Average', ' 82.78 Max', ' 10802 Sum', ' 392923727)']","[' 4743992  (Average', ' 81.60 Max', ' 10802 Sum', ' 387339070 Ratio', '  98.58%)']","[' 2617     (Average', ' 2133.99 Max', ' 4116 Sum', ' 5584657 Ratio', '   1.42%)']", ,[' 283961  '],[' 23477   '],[' 286091  '],[' 178559  '],"[' 535673   (Atom=Atom', ' 157080 Body=Body', ' 124377 Other', ' 254216)']",[' Yes'],"[' 27607    (Eliminated', '    0 Frozen', ' 27607)']","[' 12026    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.5729'],[' 0'], ,[' 522.018'],[' 0'],[' 26.7812'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12472e+09'],[' 1.0014e+09'],[' 0'],[' 3.05383e+10'],[' 0'],[' 0'],[' 1152 '],[' 1962 '],[' 3023 '],[' 3936 '],[' 4882 '],[' 5788 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 7865+'],[' 3939'],"[' 1017.319s (Solving', ' 946.26s 1st Model', ' 240.15s Unsat', ' 0.00s)']",[' 1013.875s'], ,[' 295559317'],"[' 5441042  (Analyzed', ' 5123649)']","[' 12942    (Average', ' 395.89 Last', ' 56880)']",[' 11385.2 '],"[' 3939     (Average Length', ' 1889.54 Splits', ' 0)']","[' 5123649  (Deleted', ' 5014581)']","[' 1234     (Ratio', '   0.02%)']","[' 47172    (Ratio', '   0.92%)']","[' 5123649  (Average Length', '   29.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5123649  (Average', ' 50.58 Max', ' 15708 Sum', ' 259145175)']","[' 5122388  (Average', ' 50.22 Max', ' 15708 Sum', ' 257329708 Ratio', '  99.30%)']","[' 1261     (Average', ' 1439.70 Max', ' 3666 Sum', ' 1815467 Ratio', '   0.70%)']", ,[' 283640  '],[' 23629   '],[' 285318  '],[' 178045  '],"[' 534131   (Atom=Atom', ' 156414 Body=Body', ' 124529 Other', ' 253188)']",[' Yes'],"[' 27307    (Eliminated', '    0 Frozen', ' 27307)']","[' 7722     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4457'],[' 0'], ,[' 637.461'],[' 0'],[' 21.5937'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.01761e+08'],[' 7.03189e+08'],[' 0'],[' 4.56654e+10'],[' 0'],[' 0'],[' 1205 '],[' 2094 '],[' 8888 '],[' 9259 '],[' 10863 '],[' 11664 '],[' 6 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 11155+'],[' 5584'],"[' 1023.582s (Solving', ' 922.36s 1st Model', ' 612.90s Unsat', ' 0.00s)']",[' 1018.859s'], ,[' 442625287'],"[' 6143775  (Analyzed', ' 5286778)']","[' 13854    (Average', ' 381.61 Last', ' 92269)']",[' 9451.2  '],"[' 5584     (Average Length', ' 2461.51 Splits', ' 0)']","[' 5286778  (Deleted', ' 5148438)']","[' 1731     (Ratio', '   0.03%)']","[' 78041    (Ratio', '   1.48%)']","[' 5286778  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5286778  (Average', ' 77.08 Max', ' 10489 Sum', ' 407514173)']","[' 5284395  (Average', ' 76.08 Max', ' 10489 Sum', ' 402213582 Ratio', '  98.70%)']","[' 2383     (Average', ' 2224.34 Max', ' 4666 Sum', ' 5300591 Ratio', '   1.30%)']", ,[' 284391  '],[' 23463   '],[' 287068  '],[' 179044  '],"[' 537128   (Atom=Atom', ' 157579 Body=Body', ' 124363 Other', ' 255186)']",[' Yes'],"[' 28140    (Eliminated', '    0 Frozen', ' 28140)']","[' 13106    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.9739'],[' 0'], ,[' 468.704'],[' 0'],[' 28.2757'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23171e+09'],[' 1.10178e+09'],[' 0'],[' 2.45501e+10'],[' 0'],[' 0'],[' 1131 '],[' 2066 '],[' 2987 '],[' 3867 '],[' 4800 '],[' 5754 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 10697+'],[' 5355'],"[' 1021.508s (Solving', ' 929.16s 1st Model', ' 514.67s Unsat', ' 0.00s)']",[' 1014.797s'], ,[' 416944851'],"[' 7049891  (Analyzed', ' 6569881)']","[' 14701    (Average', ' 446.90 Last', ' 77675)']",[' 9248.4  '],"[' 5355     (Average Length', ' 2354.09 Splits', ' 0)']","[' 6569881  (Deleted', ' 6426568)']","[' 1735     (Ratio', '   0.03%)']","[' 71733    (Ratio', '   1.09%)']","[' 6569881  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6569881  (Average', ' 58.64 Max', ' 12729 Sum', ' 385251321)']","[' 6567116  (Average', ' 57.70 Max', ' 12729 Sum', ' 379064912 Ratio', '  98.39%)']","[' 2765     (Average', ' 2237.40 Max', ' 4431 Sum', ' 6186409 Ratio', '   1.61%)']", ,[' 284033  '],[' 23426   '],[' 286467  '],[' 178728  '],"[' 536180   (Atom=Atom', ' 157300 Body=Body', ' 124326 Other', ' 254554)']",[' Yes'],"[' 27860    (Eliminated', '    0 Frozen', ' 27860)']","[' 11638    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.4577'],[' 0'], ,[' 511.777'],[' 0'],[' 27.2948'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06021e+09'],[' 9.4457e+08'],[' 0'],[' 2.80024e+10'],[' 0'],[' 0'],[' 1068 '],[' 2024 '],[' 2912 '],[' 3903 '],[' 4913 '],[' 5825 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 10941+'],[' 5477'],"[' 1022.121s (Solving', ' 927.26s 1st Model', ' 543.10s Unsat', ' 0.00s)']",[' 1015.859s'], ,[' 443177922'],"[' 6747802  (Analyzed', ' 6309692)']","[' 14202    (Average', ' 444.28 Last', ' 207797)']",[' 9666.4  '],"[' 5477     (Average Length', ' 2385.82 Splits', ' 0)']","[' 6309692  (Deleted', ' 6170356)']","[' 1774     (Ratio', '   0.03%)']","[' 74940    (Ratio', '   1.19%)']","[' 6309692  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6309692  (Average', ' 64.56 Max', ' 11164 Sum', ' 407375718)']","[' 6307432  (Average', ' 63.77 Max', ' 11164 Sum', ' 402342926 Ratio', '  98.76%)']","[' 2260     (Average', ' 2226.90 Max', ' 4460 Sum', ' 5032792 Ratio', '   1.24%)']", ,[' 284873  '],[' 23562   '],[' 287346  '],[' 179359  '],"[' 538073   (Atom=Atom', ' 157795 Body=Body', ' 124462 Other', ' 255816)']",[' Yes'],"[' 28035    (Eliminated', '    0 Frozen', ' 28035)']","[' 11864    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.006'],[' 0'], ,[' 493.16'],[' 0'],[' 27.5893'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12934e+09'],[' 1.00292e+09'],[' 0'],[' 2.75038e+10'],[' 0'],[' 0'],[' 1276 '],[' 2101 '],[' 3024 '],[' 3970 '],[' 4962 '],[' 5884 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 10433+'],[' 5223'],"[' 1022.028s (Solving', ' 926.62s 1st Model', ' 346.89s Unsat', ' 0.00s)']",[' 1015.953s'], ,[' 382155802'],"[' 4641068  (Analyzed', ' 4250786)']","[' 10938    (Average', ' 388.63 Last', ' 31130)']",[' 9625.0  '],"[' 5223     (Average Length', ' 2325.57 Splits', ' 0)']","[' 4250786  (Deleted', ' 4132998)']","[' 1627     (Ratio', '   0.04%)']","[' 65299    (Ratio', '   1.54%)']","[' 4250786  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4250786  (Average', ' 81.77 Max', ' 12968 Sum', ' 347595949)']","[' 4248811  (Average', ' 80.74 Max', ' 12968 Sum', ' 343226354 Ratio', '  98.74%)']","[' 1975     (Average', ' 2212.45 Max', ' 4386 Sum', ' 4369595 Ratio', '   1.26%)']", ,[' 284778  '],[' 23566   '],[' 287175  '],[' 179078  '],"[' 537230   (Atom=Atom', ' 157510 Body=Body', ' 124466 Other', ' 255254)']",[' Yes'],"[' 27963    (Eliminated', '    0 Frozen', ' 27963)']","[' 10344    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.6975'],[' 0'], ,[' 528.823'],[' 0'],[' 25.47'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08563e+09'],[' 9.6478e+08'],[' 0'],[' 2.96537e+10'],[' 0'],[' 0'],[' 1147 '],[' 2022 '],[' 2899 '],[' 5276 '],[' 5983 '],[' 6838 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 10665+'],[' 5339'],"[' 1022.587s (Solving', ' 926.32s 1st Model', ' 475.06s Unsat', ' 0.00s)']",[' 1017.781s'], ,[' 428890314'],"[' 5495330  (Analyzed', ' 5136341)']","[' 12399    (Average', ' 414.25 Last', ' 84240)']",[' 9869.6  '],"[' 5339     (Average Length', ' 2350.54 Splits', ' 0)']","[' 5136341  (Deleted', ' 5003710)']","[' 1562     (Ratio', '   0.03%)']","[' 74388    (Ratio', '   1.45%)']","[' 5136341  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5136341  (Average', ' 76.59 Max', ' 11142 Sum', ' 393388459)']","[' 5133883  (Average', ' 75.53 Max', ' 11142 Sum', ' 387931313 Ratio', '  98.61%)']","[' 2458     (Average', ' 2220.16 Max', ' 4351 Sum', ' 5457146 Ratio', '   1.39%)']", ,[' 284999  '],[' 23691   '],[' 287349  '],[' 179645  '],"[' 538931   (Atom=Atom', ' 157952 Body=Body', ' 124591 Other', ' 256388)']",[' Yes'],"[' 28041    (Eliminated', '    0 Frozen', ' 28041)']","[' 12569    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.0261'],[' 0'], ,[' 508.403'],[' 0'],[' 26.9716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12506e+09'],[' 1.00227e+09'],[' 0'],[' 2.83696e+10'],[' 0'],[' 0'],[' 1136 '],[' 2153 '],[' 3038 '],[' 3916 '],[' 4779 '],[' 5743 '],[' 6 '],[' 0 ']
