Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 8049+'],[' 4031'],"[' 1016.973s (Solving', ' 946.75s 1st Model', ' 178.69s Unsat', ' 0.00s)']",[' 1012.797s'], ,[' 316094432'],"[' 8798484  (Analyzed', ' 8037852)']","[' 16174    (Average', ' 496.96 Last', ' 19246)']",[' 9416.4  '],"[' 4031     (Average Length', ' 1830.10 Splits', ' 0)']","[' 8037852  (Deleted', ' 7903135)']","[' 942      (Ratio', '   0.01%)']","[' 47714    (Ratio', '   0.59%)']","[' 8037852  (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8037852  (Average', ' 35.87 Max', ' 11314 Sum', ' 288354152)']","[' 8035199  (Average', ' 35.36 Max', ' 11314 Sum', ' 284211546 Ratio', '  98.56%)']","[' 2653     (Average', ' 1561.48 Max', ' 3493 Sum', ' 4142606 Ratio', '   1.44%)']", ,[' 268563  '],[' 20863   '],[' 270072  '],[' 166480  '],"[' 499436   (Atom=Atom', ' 147615 Body=Body', ' 121763 Other', ' 230058)']",[' Yes'],"[' 24372    (Eliminated', '    0 Frozen', ' 24372)']","[' 6749     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6671'],[' 0'], ,[' 651.272'],[' 0'],[' 23.7303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.62347e+08'],[' 5.79999e+08'],[' 0'],[' 4.55093e+10'],[' 0'],[' 0'],[' 1254 '],[' 2500 '],[' 3613 '],[' 4612 '],[' 5551 '],[' 6473 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 9067+'],[' 4540'],"[' 1017.728s (Solving', ' 941.86s 1st Model', ' 406.79s Unsat', ' 0.00s)']",[' 1015.578s'], ,[' 399651113'],"[' 4941734  (Analyzed', ' 4515633)']","[' 11455    (Average', ' 394.21 Last', ' 129462)']",[' 8000.5  '],"[' 4540     (Average Length', ' 1994.94 Splits', ' 0)']","[' 4515633  (Deleted', ' 4382417)']","[' 630      (Ratio', '   0.01%)']","[' 74584    (Ratio', '   1.65%)']","[' 4515633  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4515633  (Average', ' 83.26 Max', ' 9357 Sum', ' 375961848)']","[' 4513287  (Average', ' 82.26 Max', ' 9357 Sum', ' 371471905 Ratio', '  98.81%)']","[' 2346     (Average', ' 1913.87 Max', ' 3772 Sum', ' 4489943 Ratio', '   1.19%)']", ,[' 267969  '],[' 20625   '],[' 269748  '],[' 166210  '],"[' 498626   (Atom=Atom', ' 147583 Body=Body', ' 121525 Other', ' 229518)']",[' Yes'],"[' 24404    (Eliminated', '    0 Frozen', ' 24404)']","[' 13317    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.7815'],[' 0'], ,[' 534.895'],[' 0'],[' 25.3899'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10309e+09'],[' 9.63696e+08'],[' 0'],[' 3.54821e+10'],[' 0'],[' 0'],[' 960 '],[' 1938 '],[' 2889 '],[' 3750 '],[' 4741 '],[' 5675 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 8539+'],[' 4276'],"[' 1016.855s (Solving', ' 947.09s 1st Model', ' 337.51s Unsat', ' 0.00s)']",[' 1014.578s'], ,[' 364653328'],"[' 8054937  (Analyzed', ' 7558612)']","[' 15640    (Average', ' 483.29 Last', ' 307709)']",[' 8678.3  '],"[' 4276     (Average Length', ' 1921.84 Splits', ' 0)']","[' 7558612  (Deleted', ' 7413637)']","[' 896      (Ratio', '   0.01%)']","[' 61320    (Ratio', '   0.81%)']","[' 7558612  (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7558612  (Average', ' 44.85 Max', ' 9944 Sum', ' 339014529)']","[' 7555984  (Average', ' 44.28 Max', ' 9944 Sum', ' 334698779 Ratio', '  98.73%)']","[' 2628     (Average', ' 1642.22 Max', ' 3661 Sum', ' 4315750 Ratio', '   1.27%)']", ,[' 268342  '],[' 20774   '],[' 270004  '],[' 166509  '],"[' 499523   (Atom=Atom', ' 147733 Body=Body', ' 121674 Other', ' 230116)']",[' Yes'],"[' 24436    (Eliminated', '    0 Frozen', ' 24436)']","[' 10055    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4778'],[' 0'], ,[' 620.593'],[' 0'],[' 23.991'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.31489e+08'],[' 7.27017e+08'],[' 0'],[' 4.54213e+10'],[' 0'],[' 0'],[' 1306 '],[' 2304 '],[' 3274 '],[' 4283 '],[' 5281 '],[' 6171 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 8219+'],[' 4116'],"[' 1015.787s (Solving', ' 948.49s 1st Model', ' 326.58s Unsat', ' 0.00s)']",[' 1013.422s'], ,[' 347627061'],"[' 5905784  (Analyzed', ' 5544015)']","[' 13197    (Average', ' 420.10 Last', ' 40009)']",[' 8340.4  '],"[' 4116     (Average Length', ' 1830.57 Splits', ' 0)']","[' 5544015  (Deleted', ' 5414653)']","[' 881      (Ratio', '   0.02%)']","[' 63236    (Ratio', '   1.14%)']","[' 5544015  (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5544015  (Average', ' 58.53 Max', ' 9846 Sum', ' 324492798)']","[' 5541467  (Average', ' 57.72 Max', ' 9846 Sum', ' 320008644 Ratio', '  98.62%)']","[' 2548     (Average', ' 1759.87 Max', ' 3492 Sum', ' 4484154 Ratio', '   1.38%)']", ,[' 267940  '],[' 20742   '],[' 269444  '],[' 166129  '],"[' 498383   (Atom=Atom', ' 147385 Body=Body', ' 121642 Other', ' 229356)']",[' Yes'],"[' 24246    (Eliminated', '    0 Frozen', ' 24246)']","[' 10919    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2286'],[' 0'], ,[' 614.399'],[' 0'],[' 23.5127'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.6423e+08'],[' 7.54568e+08'],[' 0'],[' 4.50765e+10'],[' 0'],[' 0'],[' 1152 '],[' 2013 '],[' 3069 '],[' 4051 '],[' 4978 '],[' 5884 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 9339+'],[' 4676'],"[' 1017.493s (Solving', ' 941.31s 1st Model', ' 555.40s Unsat', ' 0.00s)']",[' 1014.750s'], ,[' 406429861'],"[' 4879119  (Analyzed', ' 4344506)']","[' 11694    (Average', ' 371.52 Last', ' 106439)']",[' 8243.3  '],"[' 4676     (Average Length', ' 2066.95 Splits', ' 0)']","[' 4344506  (Deleted', ' 4216040)']","[' 771      (Ratio', '   0.02%)']","[' 79066    (Ratio', '   1.82%)']","[' 4344506  (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4344506  (Average', ' 87.71 Max', ' 9420 Sum', ' 381053927)']","[' 4342229  (Average', ' 86.67 Max', ' 9420 Sum', ' 376529681 Ratio', '  98.81%)']","[' 2277     (Average', ' 1986.93 Max', ' 3949 Sum', ' 4524246 Ratio', '   1.19%)']", ,[' 269037  '],[' 20885   '],[' 271001  '],[' 167136  '],"[' 501404   (Atom=Atom', ' 148249 Body=Body', ' 121785 Other', ' 231370)']",[' Yes'],"[' 24849    (Eliminated', '    0 Frozen', ' 24849)']","[' 14253    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.8519'],[' 0'], ,[' 530.231'],[' 0'],[' 25.2582'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10584e+09'],[' 9.7143e+08'],[' 0'],[' 3.21074e+10'],[' 0'],[' 0'],[' 1205 '],[' 2112 '],[' 3122 '],[' 4201 '],[' 5144 '],[' 6087 '],[' 6 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 9043+'],[' 4528'],"[' 1017.336s (Solving', ' 944.66s 1st Model', ' 603.46s Unsat', ' 0.00s)']",[' 1014.266s'], ,[' 416285608'],"[' 6354321  (Analyzed', ' 5677112)']","[' 14622    (Average', ' 388.26 Last', ' 79907)']",[' 7921.4  '],"[' 4528     (Average Length', ' 2001.67 Splits', ' 0)']","[' 5677112  (Deleted', ' 5524869)']","[' 764      (Ratio', '   0.01%)']","[' 80431    (Ratio', '   1.42%)']","[' 5677112  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5677112  (Average', ' 69.12 Max', ' 8841 Sum', ' 392380478)']","[' 5674796  (Average', ' 68.37 Max', ' 8841 Sum', ' 388140040 Ratio', '  98.92%)']","[' 2316     (Average', ' 1830.93 Max', ' 3784 Sum', ' 4240438 Ratio', '   1.08%)']", ,[' 268148  '],[' 20706   '],[' 269940  '],[' 166397  '],"[' 499187   (Atom=Atom', ' 147689 Body=Body', ' 121606 Other', ' 229892)']",[' Yes'],"[' 24498    (Eliminated', '    0 Frozen', ' 24498)']","[' 14609    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.2366'],[' 0'], ,[' 519.858'],[' 0'],[' 26.7179'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14627e+09'],[' 1.00587e+09'],[' 0'],[' 3.28881e+10'],[' 0'],[' 0'],[' 1131 '],[' 2066 '],[' 2979 '],[' 3881 '],[' 4784 '],[' 5724 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 8575+'],[' 4294'],"[' 1017.100s (Solving', ' 949.26s 1st Model', ' 499.18s Unsat', ' 0.00s)']",[' 1013.797s'], ,[' 366781934'],"[' 8163013  (Analyzed', ' 7821174)']","[' 16567    (Average', ' 472.09 Last', ' 254972)']",[' 8273.4  '],"[' 4294     (Average Length', ' 1919.36 Splits', ' 0)']","[' 7821174  (Deleted', ' 7667141)']","[' 696      (Ratio', '   0.01%)']","[' 65304    (Ratio', '   0.83%)']","[' 7821174  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7821174  (Average', ' 43.88 Max', ' 9632 Sum', ' 343170454)']","[' 7818665  (Average', ' 43.30 Max', ' 9632 Sum', ' 338636105 Ratio', '  98.68%)']","[' 2509     (Average', ' 1807.23 Max', ' 3628 Sum', ' 4534349 Ratio', '   1.32%)']", ,[' 267826  '],[' 20663   '],[' 269460  '],[' 166077  '],"[' 498227   (Atom=Atom', ' 147412 Body=Body', ' 121563 Other', ' 229252)']",[' Yes'],"[' 24297    (Eliminated', '    0 Frozen', ' 24297)']","[' 11047    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.3611'],[' 0'], ,[' 605.158'],[' 0'],[' 24.6785'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.52868e+08'],[' 7.45376e+08'],[' 0'],[' 4.27726e+10'],[' 0'],[' 0'],[' 1068 '],[' 2140 '],[' 3019 '],[' 4008 '],[' 5022 '],[' 5888 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 8417+'],[' 4215'],"[' 1016.198s (Solving', ' 947.13s 1st Model', ' 428.64s Unsat', ' 0.00s)']",[' 1013.328s'], ,[' 373996081'],"[' 7772114  (Analyzed', ' 7185970)']","[' 15582    (Average', ' 461.17 Last', ' 75735)']",[' 8618.2  '],"[' 4215     (Average Length', ' 1880.53 Splits', ' 0)']","[' 7185970  (Deleted', ' 7051305)']","[' 688      (Ratio', '   0.01%)']","[' 64422    (Ratio', '   0.90%)']","[' 7185970  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7185970  (Average', ' 48.44 Max', ' 9967 Sum', ' 348087537)']","[' 7183574  (Average', ' 47.92 Max', ' 9967 Sum', ' 344370907 Ratio', '  98.93%)']","[' 2396     (Average', ' 1551.18 Max', ' 3565 Sum', ' 3716630 Ratio', '   1.07%)']", ,[' 268335  '],[' 20817   '],[' 269907  '],[' 166513  '],"[' 499535   (Atom=Atom', ' 147694 Body=Body', ' 121717 Other', ' 230124)']",[' Yes'],"[' 24389    (Eliminated', '    0 Frozen', ' 24389)']","[' 10200    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4596'],[' 0'], ,[' 604.3'],[' 0'],[' 24.5248'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.59475e+08'],[' 7.49693e+08'],[' 0'],[' 4.22424e+10'],[' 0'],[' 0'],[' 1276 '],[' 2180 '],[' 3056 '],[' 4117 '],[' 5096 '],[' 6010 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 9143+'],[' 4578'],"[' 1016.814s (Solving', ' 945.62s 1st Model', ' 526.80s Unsat', ' 0.00s)']",[' 1013.578s'], ,[' 408585791'],"[' 5282078  (Analyzed', ' 4663375)']","[' 11734    (Average', ' 397.42 Last', ' 152823)']",[' 7792.5  '],"[' 4578     (Average Length', ' 1997.24 Splits', ' 0)']","[' 4663375  (Deleted', ' 4526939)']","[' 737      (Ratio', '   0.02%)']","[' 81126    (Ratio', '   1.74%)']","[' 4663375  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4663375  (Average', ' 82.60 Max', ' 8941 Sum', ' 385208703)']","[' 4661117  (Average', ' 81.69 Max', ' 8941 Sum', ' 380934950 Ratio', '  98.89%)']","[' 2258     (Average', ' 1892.72 Max', ' 3774 Sum', ' 4273753 Ratio', '   1.11%)']", ,[' 268866  '],[' 20805   '],[' 270653  '],[' 166786  '],"[' 500354   (Atom=Atom', ' 147979 Body=Body', ' 121705 Other', ' 230670)']",[' Yes'],"[' 24592    (Eliminated', '    0 Frozen', ' 24592)']","[' 13711    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8073'],[' 0'], ,[' 539.63'],[' 0'],[' 25.4231'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0934e+09'],[' 9.56573e+08'],[' 0'],[' 3.56608e+10'],[' 0'],[' 0'],[' 1147 '],[' 2022 '],[' 2938 '],[' 3852 '],[' 4775 '],[' 5685 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 8427+'],[' 4220'],"[' 1017.131s (Solving', ' 946.39s 1st Model', ' 465.62s Unsat', ' 0.00s)']",[' 1014.922s'], ,[' 397482337'],"[' 5984579  (Analyzed', ' 5746354)']","[' 13165    (Average', ' 436.49 Last', ' 80756)']",[' 8346.6  '],"[' 4220     (Average Length', ' 1894.02 Splits', ' 0)']","[' 5746354  (Deleted', ' 5606615)']","[' 739      (Ratio', '   0.01%)']","[' 75953    (Ratio', '   1.32%)']","[' 5746354  (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5746354  (Average', ' 65.00 Max', ' 9415 Sum', ' 373509711)']","[' 5743957  (Average', ' 64.31 Max', ' 9415 Sum', ' 369526884 Ratio', '  98.93%)']","[' 2397     (Average', ' 1661.59 Max', ' 6362 Sum', ' 3982827 Ratio', '   1.07%)']", ,[' 268661  '],[' 20949   '],[' 270229  '],[' 166914  '],"[' 500738   (Atom=Atom', ' 147963 Body=Body', ' 121849 Other', ' 230926)']",[' Yes'],"[' 24517    (Eliminated', '    0 Frozen', ' 24517)']","[' 13222    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7743'],[' 0'], ,[' 561.03'],[' 0'],[' 26.044'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01559e+09'],[' 8.89301e+08'],[' 0'],[' 3.74011e+10'],[' 0'],[' 0'],[' 1136 '],[' 2153 '],[' 3049 '],[' 3936 '],[' 4802 '],[' 5746 '],[' 6 '],[' 0 ']
