Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 5911+'],[' 2960'],"[' 1005.831s (Solving', ' 975.98s 1st Model', ' 213.81s Unsat', ' 0.00s)']",[' 996.875s'], ,[' 196223979'],"[' 12939936 (Analyzed', ' 12721003)']","[' 25449    (Average', ' 499.86 Last', ' 255047)']",[' 5040.9  '],"[' 2960     (Average Length', ' 1369.54 Splits', ' 0)']","[' 12721003 (Deleted', ' 12532729)']","[' 814      (Ratio', '   0.01%)']","[' 32807    (Ratio', '   0.26%)']","[' 12721003 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12721003 (Average', ' 14.59 Max', ' 6383 Sum', ' 185544528)']","[' 12720265 (Average', ' 14.51 Max', ' 6383 Sum', ' 184616337 Ratio', '  99.50%)']","[' 738      (Average', ' 1257.71 Max', ' 2603 Sum', ' 928191 Ratio', '   0.50%)']", ,[' 98669   '],[' 9703    '],[' 100275  '],[' 58802   '],"[' 176402   (Atom=Atom', ' 50097 Body=Body', ' 35153 Other', ' 91152)']",[' Yes'],"[' 12309    (Eliminated', '    0 Frozen', ' 12309)']","[' 4473     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.21199'],[' 0'], ,[' 640.347'],[' 0'],[' 20.8159'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.56006e+08'],[' 4.61538e+08'],[' 0'],[' 3.21265e+10'],[' 0'],[' 0'],[' 936 '],[' 1816 '],[' 2607 '],[' 3344 '],[' 4 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 5501+'],[' 2755'],"[' 1005.625s (Solving', ' 977.84s 1st Model', ' 464.68s Unsat', ' 0.00s)']",[' 995.172s'], ,[' 197119147'],"[' 7059447  (Analyzed', ' 6867736)']","[' 14947    (Average', ' 459.47 Last', ' 196297)']",[' 4465.6  '],"[' 2755     (Average Length', ' 1277.49 Splits', ' 0)']","[' 6867736  (Deleted', ' 6756307)']","[' 672      (Ratio', '   0.01%)']","[' 31623    (Ratio', '   0.46%)']","[' 6867736  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6867736  (Average', ' 27.45 Max', ' 4677 Sum', ' 188523345)']","[' 6867074  (Average', ' 27.33 Max', ' 4677 Sum', ' 187697436 Ratio', '  99.56%)']","[' 662      (Average', ' 1247.60 Max', ' 1927 Sum', ' 825909 Ratio', '   0.44%)']", ,[' 98790   '],[' 9787    '],[' 100276  '],[' 58867   '],"[' 176597   (Atom=Atom', ' 50078 Body=Body', ' 35237 Other', ' 91282)']",[' Yes'],"[' 12273    (Eliminated', '    0 Frozen', ' 12273)']","[' 5161     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.75871'],[' 0'], ,[' 607.84'],[' 0'],[' 20.7158'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.34511e+08'],[' 5.30057e+08'],[' 0'],[' 2.23299e+10'],[' 0'],[' 0'],[' 942 '],[' 1790 '],[' 2569 '],[' 5756 '],[' 4 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 6273+'],[' 3141'],"[' 1004.396s (Solving', ' 981.45s 1st Model', ' 709.60s Unsat', ' 0.00s)']",[' 998.047s'], ,[' 289681818'],"[' 8659996  (Analyzed', ' 8488157)']","[' 20466    (Average', ' 414.74 Last', ' 179095)']",[' 4709.5  '],"[' 3141     (Average Length', ' 1446.56 Splits', ' 0)']","[' 8488157  (Deleted', ' 8366056)']","[' 750      (Ratio', '   0.01%)']","[' 38081    (Ratio', '   0.45%)']","[' 8488157  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8488157  (Average', ' 32.95 Max', ' 4722 Sum', ' 279691478)']","[' 8487492  (Average', ' 32.84 Max', ' 4722 Sum', ' 278744783 Ratio', '  99.66%)']","[' 665      (Average', ' 1423.60 Max', ' 2724 Sum', ' 946695 Ratio', '   0.34%)']", ,[' 98764   '],[' 9666    '],[' 100488  '],[' 58812   '],"[' 176432   (Atom=Atom', ' 50144 Body=Body', ' 35116 Other', ' 91172)']",[' Yes'],"[' 12390    (Eliminated', '    0 Frozen', ' 12390)']","[' 5354     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.05149'],[' 0'], ,[' 576.62'],[' 0'],[' 24.2229'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00781e+09'],[' 8.57467e+08'],[' 0'],[' 3.14396e+10'],[' 0'],[' 0'],[' 885 '],[' 1601 '],[' 2310 '],[' 3035 '],[' 4 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 6417+'],[' 3213'],"[' 1004.070s (Solving', ' 981.46s 1st Model', ' 633.50s Unsat', ' 0.00s)']",[' 1003.344s'], ,[' 317546874'],"[' 15593166 (Analyzed', ' 15243806)']","[' 30923    (Average', ' 492.96 Last', ' 694335)']",[' 4912.5  '],"[' 3213     (Average Length', ' 1460.32 Splits', ' 0)']","[' 15243806 (Deleted', ' 15082138)']","[' 785      (Ratio', '   0.01%)']","[' 37730    (Ratio', '   0.25%)']","[' 15243806 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15243806 (Average', ' 20.09 Max', ' 4786 Sum', ' 306215835)']","[' 15243116 (Average', ' 20.03 Max', ' 4786 Sum', ' 305317083 Ratio', '  99.71%)']","[' 690      (Average', ' 1302.54 Max', ' 2748 Sum', ' 898752 Ratio', '   0.29%)']", ,[' 99084   '],[' 9722    '],[' 100850  '],[' 59094   '],"[' 177278   (Atom=Atom', ' 50370 Body=Body', ' 35172 Other', ' 91736)']",[' Yes'],"[' 12488    (Eliminated', '    0 Frozen', ' 12488)']","[' 5341     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.80523'],[' 0'], ,[' 602.94'],[' 0'],[' 23.3239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06639e+09'],[' 8.94937e+08'],[' 0'],[' 3.80398e+10'],[' 0'],[' 0'],[' 998 '],[' 1643 '],[' 2365 '],[' 3051 '],[' 4 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 6633+'],[' 3321'],"[' 1004.745s (Solving', ' 981.55s 1st Model', ' 679.02s Unsat', ' 0.00s)']",[' 1002.922s'], ,[' 358557526'],"[' 10716202 (Analyzed', ' 10434809)']","[' 23370    (Average', ' 446.50 Last', ' 267358)']",[' 4836.1  '],"[' 3321     (Average Length', ' 1545.46 Splits', ' 0)']","[' 10434809 (Deleted', ' 10305239)']","[' 782      (Ratio', '   0.01%)']","[' 40183    (Ratio', '   0.39%)']","[' 10434809 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10434809 (Average', ' 33.32 Max', ' 5837 Sum', ' 347687757)']","[' 10434066 (Average', ' 33.22 Max', ' 5833 Sum', ' 346647668 Ratio', '  99.70%)']","[' 743      (Average', ' 1399.85 Max', ' 2908 Sum', ' 1040089 Ratio', '   0.30%)']", ,[' 99044   '],[' 9662    '],[' 100966  '],[' 59057   '],"[' 177167   (Atom=Atom', ' 50393 Body=Body', ' 35112 Other', ' 91662)']",[' Yes'],"[' 12584    (Eliminated', '    0 Frozen', ' 12584)']","[' 5962     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.02875'],[' 0'], ,[' 577.375'],[' 0'],[' 25.2997'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26253e+09'],[' 1.06824e+09'],[' 0'],[' 3.53401e+10'],[' 0'],[' 0'],[' 820 '],[' 1556 '],[' 2327 '],[' 3084 '],[' 4 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 7077+'],[' 3543'],"[' 1004.531s (Solving', ' 979.61s 1st Model', ' 612.22s Unsat', ' 0.00s)']",[' 1001.063s'], ,[' 358937533'],"[' 8420317  (Analyzed', ' 8243309)']","[' 19103    (Average', ' 431.52 Last', ' 199855)']",[' 4816.6  '],"[' 3543     (Average Length', ' 1613.58 Splits', ' 0)']","[' 8243309  (Deleted', ' 8146419)']","[' 997      (Ratio', '   0.01%)']","[' 41042    (Ratio', '   0.50%)']","[' 8243309  (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8243309  (Average', ' 42.21 Max', ' 4687 Sum', ' 347984699)']","[' 8242560  (Average', ' 42.07 Max', ' 4687 Sum', ' 346796410 Ratio', '  99.66%)']","[' 749      (Average', ' 1586.50 Max', ' 3113 Sum', ' 1188289 Ratio', '   0.34%)']", ,[' 99453   '],[' 9736    '],[' 101465  '],[' 59524   '],"[' 178568   (Atom=Atom', ' 50786 Body=Body', ' 35186 Other', ' 92596)']",[' Yes'],"[' 12748    (Eliminated', '    0 Frozen', ' 12748)']","[' 6198     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.36959'],[' 0'], ,[' 543.002'],[' 0'],[' 25.347'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34252e+09'],[' 1.14314e+09'],[' 0'],[' 2.99945e+10'],[' 0'],[' 0'],[' 827 '],[' 1549 '],[' 2333 '],[' 3141 '],[' 4 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 6079+'],[' 3044'],"[' 1004.019s (Solving', ' 982.85s 1st Model', ' 328.39s Unsat', ' 0.00s)']",[' 1002.250s'], ,[' 294092491'],"[' 14979671 (Analyzed', ' 14777289)']","[' 28665    (Average', ' 515.52 Last', ' 206983)']",[' 4856.3  '],"[' 3044     (Average Length', ' 1394.31 Splits', ' 0)']","[' 14777289 (Deleted', ' 14609465)']","[' 790      (Ratio', '   0.01%)']","[' 36541    (Ratio', '   0.25%)']","[' 14777289 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14777289 (Average', ' 19.18 Max', ' 5476 Sum', ' 283469675)']","[' 14776623 (Average', ' 19.12 Max', ' 5476 Sum', ' 282603740 Ratio', '  99.69%)']","[' 666      (Average', ' 1300.20 Max', ' 3081 Sum', ' 865935 Ratio', '   0.31%)']", ,[' 98883   '],[' 9723    '],[' 100525  '],[' 58984   '],"[' 176948   (Atom=Atom', ' 50259 Body=Body', ' 35173 Other', ' 91516)']",[' Yes'],"[' 12365    (Eliminated', '    0 Frozen', ' 12365)']","[' 5295     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.6615'],[' 0'], ,[' 640.679'],[' 0'],[' 22.363'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.3284e+08'],[' 7.8061e+08'],[' 0'],[' 4.17865e+10'],[' 0'],[' 0'],[' 967 '],[' 1716 '],[' 2616 '],[' 3300 '],[' 4 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 6717+'],[' 3363'],"[' 1004.711s (Solving', ' 979.50s 1st Model', ' 338.31s Unsat', ' 0.00s)']",[' 1001.031s'], ,[' 247372248'],"[' 17484555 (Analyzed', ' 17129621)']","[' 32697    (Average', ' 523.89 Last', ' 111598)']",[' 5427.3  '],"[' 3363     (Average Length', ' 1558.49 Splits', ' 0)']","[' 17129621 (Deleted', ' 16895789)']","[' 694      (Ratio', '   0.00%)']","[' 31396    (Ratio', '   0.18%)']","[' 17129621 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17129621 (Average', ' 13.68 Max', ' 5204 Sum', ' 234314518)']","[' 17128944 (Average', ' 13.62 Max', ' 5204 Sum', ' 233350520 Ratio', '  99.59%)']","[' 677      (Average', ' 1423.93 Max', ' 2920 Sum', ' 963998 Ratio', '   0.41%)']", ,[' 98911   '],[' 9644    '],[' 100841  '],[' 59027   '],"[' 177077   (Atom=Atom', ' 50381 Body=Body', ' 35094 Other', ' 91602)']",[' Yes'],"[' 12574    (Eliminated', '    0 Frozen', ' 12574)']","[' 3958     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.51022'],[' 0'], ,[' 667.094'],[' 0'],[' 20.966'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.23295e+08'],[' 6.00759e+08'],[' 0'],[' 4.28758e+10'],[' 0'],[' 0'],[' 865 '],[' 1693 '],[' 2401 '],[' 3147 '],[' 4 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 7199+'],[' 3604'],"[' 1004.821s (Solving', ' 979.95s 1st Model', ' 637.01s Unsat', ' 0.00s)']",[' 1003.141s'], ,[' 304431333'],"[' 13698331 (Analyzed', ' 13451895)']","[' 28034    (Average', ' 479.84 Last', ' 784275)']",[' 5109.3  '],"[' 3604     (Average Length', ' 1654.43 Splits', ' 0)']","[' 13451895 (Deleted', ' 13294256)']","[' 939      (Ratio', '   0.01%)']","[' 38499    (Ratio', '   0.29%)']","[' 13451895 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13451895 (Average', ' 21.71 Max', ' 5701 Sum', ' 292099825)']","[' 13451222 (Average', ' 21.63 Max', ' 5701 Sum', ' 291028746 Ratio', '  99.63%)']","[' 673      (Average', ' 1591.50 Max', ' 3075 Sum', ' 1071079 Ratio', '   0.37%)']", ,[' 99469   '],[' 9714    '],[' 101551  '],[' 59460   '],"[' 178376   (Atom=Atom', ' 50744 Body=Body', ' 35164 Other', ' 92468)']",[' Yes'],"[' 12796    (Eliminated', '    0 Frozen', ' 12796)']","[' 5208     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.48771'],[' 0'], ,[' 613.115'],[' 0'],[' 23.2538'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03573e+09'],[' 8.75015e+08'],[' 0'],[' 3.78702e+10'],[' 0'],[' 0'],[' 1048 '],[' 1821 '],[' 2541 '],[' 3328 '],[' 4 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 6441+'],[' 3225'],"[' 1004.427s (Solving', ' 980.10s 1st Model', ' 577.74s Unsat', ' 0.00s)']",[' 1000.891s'], ,[' 297504896'],"[' 12083849 (Analyzed', ' 11893211)']","[' 26042    (Average', ' 456.69 Last', ' 455186)']",[' 4985.8  '],"[' 3225     (Average Length', ' 1509.41 Splits', ' 0)']","[' 11893211 (Deleted', ' 11759388)']","[' 954      (Ratio', '   0.01%)']","[' 36957    (Ratio', '   0.31%)']","[' 11893211 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11893211 (Average', ' 24.08 Max', ' 4873 Sum', ' 286391273)']","[' 11892516 (Average', ' 24.00 Max', ' 4873 Sum', ' 285426419 Ratio', '  99.66%)']","[' 695      (Average', ' 1388.28 Max', ' 2872 Sum', ' 964854 Ratio', '   0.34%)']", ,[' 99201   '],[' 9730    '],[' 101077  '],[' 59198   '],"[' 177590   (Atom=Atom', ' 50466 Body=Body', ' 35180 Other', ' 91944)']",[' Yes'],"[' 12606    (Eliminated', '    0 Frozen', ' 12606)']","[' 5217     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.23742'],[' 0'], ,[' 608.142'],[' 0'],[' 23.1081'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01102e+09'],[' 8.49931e+08'],[' 0'],[' 3.58736e+10'],[' 0'],[' 0'],[' 1039 '],[' 1742 '],[' 2612 '],[' 3332 '],[' 4 '],[' 0 ']
