Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 12147+'],[' 6080'],"[' 1029.387s (Solving', ' 904.76s 1st Model', ' 542.42s Unsat', ' 0.00s)']",[' 1021.563s'], ,[' 414403807'],"[' 6688326  (Analyzed', ' 6152589)']","[' 14015    (Average', ' 439.00 Last', ' 127595)']",[' 11671.9 '],"[' 6080     (Average Length', ' 2691.08 Splits', ' 0)']","[' 6152589  (Deleted', ' 6034383)']","[' 3293     (Ratio', '   0.05%)']","[' 56498    (Ratio', '   0.92%)']","[' 6152589  (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6152589  (Average', ' 59.31 Max', ' 13918 Sum', ' 364910204)']","[' 6150146  (Average', ' 58.33 Max', ' 13918 Sum', ' 358874094 Ratio', '  98.35%)']","[' 2443     (Average', ' 2470.78 Max', ' 4982 Sum', ' 6036110 Ratio', '   1.65%)']", ,[' 301951  '],[' 26478   '],[' 304932  '],[' 192636  '],"[' 577904   (Atom=Atom', ' 168156 Body=Body', ' 127378 Other', ' 282370)']",[' Yes'],"[' 31459    (Eliminated', '    0 Frozen', ' 31459)']","[' 8653     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.7823'],[' 0'], ,[' 453.66'],[' 0'],[' 30.0372'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02946e+09'],[' 9.32433e+08'],[' 0'],[' 1.87341e+10'],[' 0'],[' 0'],[' 1254 '],[' 2280 '],[' 3298 '],[' 4282 '],[' 5243 '],[' 6179 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 12187+'],[' 6100'],"[' 1031.799s (Solving', ' 891.39s 1st Model', ' 427.08s Unsat', ' 0.00s)']",[' 1020.109s'], ,[' 350675808'],"[' 3427144  (Analyzed', ' 2933936)']","[' 9148     (Average', ' 320.72 Last', ' 66582)']",[' 12962.4 '],"[' 6100     (Average Length', ' 2814.73 Splits', ' 0)']","[' 2933936  (Deleted', ' 2839916)']","[' 1941     (Ratio', '   0.07%)']","[' 48091    (Ratio', '   1.64%)']","[' 2933936  (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2933936  (Average', ' 99.82 Max', ' 15903 Sum', ' 292873803)']","[' 2932157  (Average', ' 98.16 Max', ' 15903 Sum', ' 287986098 Ratio', '  98.33%)']","[' 1779     (Average', ' 2747.45 Max', ' 5320 Sum', ' 4887705 Ratio', '   1.67%)']", ,[' 300844  '],[' 26242   '],[' 304175  '],[' 191848  '],"[' 575540   (Atom=Atom', ' 167604 Body=Body', ' 127142 Other', ' 280794)']",[' Yes'],"[' 31573    (Eliminated', '    0 Frozen', ' 31573)']","[' 7999     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.2069'],[' 0'], ,[' 455.555'],[' 0'],[' 27.6985'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.4526e+08'],[' 8.49644e+08'],[' 0'],[' 1.83298e+10'],[' 0'],[' 0'],[' 960 '],[' 1965 '],[' 5658 '],[' 6073 '],[' 7017 '],[' 8026 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 13095+'],[' 6554'],"[' 1035.452s (Solving', ' 881.61s 1st Model', ' 492.62s Unsat', ' 0.00s)']",[' 1024.969s'], ,[' 372627762'],"[' 5432832  (Analyzed', ' 4857625)']","[' 12086    (Average', ' 401.92 Last', ' 121255)']",[' 12603.5 '],"[' 6554     (Average Length', ' 2896.86 Splits', ' 0)']","[' 4857625  (Deleted', ' 4726209)']","[' 2753     (Ratio', '   0.06%)']","[' 47775    (Ratio', '   0.98%)']","[' 4857625  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4857625  (Average', ' 64.22 Max', ' 15715 Sum', ' 311943208)']","[' 4855831  (Average', ' 63.42 Max', ' 15715 Sum', ' 308077535 Ratio', '  98.76%)']","[' 1794     (Average', ' 2154.78 Max', ' 5376 Sum', ' 3865673 Ratio', '   1.24%)']", ,[' 302021  '],[' 26341   '],[' 305396  '],[' 192878  '],"[' 578630   (Atom=Atom', ' 168535 Body=Body', ' 127241 Other', ' 282854)']",[' Yes'],"[' 31716    (Eliminated', '    0 Frozen', ' 31716)']","[' 6021     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.0686'],[' 0'], ,[' 431.812'],[' 0'],[' 30.1238'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.28946e+08'],[' 8.42303e+08'],[' 0'],[' 1.54257e+10'],[' 0'],[' 0'],[' 1306 '],[' 2304 '],[' 3283 '],[' 4224 '],[' 5373 '],[' 6386 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 12329+'],[' 6171'],"[' 1031.463s (Solving', ' 895.61s 1st Model', ' 448.60s Unsat', ' 0.00s)']",[' 1021.813s'], ,[' 353350313'],"[' 3551910  (Analyzed', ' 3183761)']","[' 8826     (Average', ' 360.73 Last', ' 37936)']",[' 11059.5 '],"[' 6171     (Average Length', ' 2766.07 Splits', ' 0)']","[' 3183761  (Deleted', ' 3071234)']","[' 2342     (Ratio', '   0.07%)']","[' 53680    (Ratio', '   1.69%)']","[' 3183761  (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3183761  (Average', ' 96.25 Max', ' 15002 Sum', ' 306430753)']","[' 3181705  (Average', ' 94.71 Max', ' 15002 Sum', ' 301520793 Ratio', '  98.40%)']","[' 2056     (Average', ' 2388.11 Max', ' 5177 Sum', ' 4909960 Ratio', '   1.60%)']", ,[' 301251  '],[' 26287   '],[' 304446  '],[' 192101  '],"[' 576299   (Atom=Atom', ' 167812 Body=Body', ' 127187 Other', ' 281300)']",[' Yes'],"[' 31482    (Eliminated', '    0 Frozen', ' 31482)']","[' 9055     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.0519'],[' 0'], ,[' 451.384'],[' 0'],[' 28.3639'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.66209e+08'],[' 8.73831e+08'],[' 0'],[' 1.69035e+10'],[' 0'],[' 0'],[' 1152 '],[' 1962 '],[' 2995 '],[' 3904 '],[' 7326 '],[' 7938 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 10223+'],[' 5118'],"[' 1027.263s (Solving', ' 909.59s 1st Model', ' 427.51s Unsat', ' 0.00s)']",[' 1016.734s'], ,[' 343364993'],"[' 3545712  (Analyzed', ' 3071079)']","[' 9532     (Average', ' 322.19 Last', ' 96506)']",[' 12595.0 '],"[' 5118     (Average Length', ' 2413.13 Splits', ' 0)']","[' 3071079  (Deleted', ' 2974576)']","[' 1934     (Ratio', '   0.06%)']","[' 51477    (Ratio', '   1.68%)']","[' 3071079  (Average Length', '   29.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3071079  (Average', ' 96.04 Max', ' 16172 Sum', ' 294951827)']","[' 3069207  (Average', ' 94.58 Max', ' 16172 Sum', ' 290452489 Ratio', '  98.47%)']","[' 1872     (Average', ' 2403.49 Max', ' 4559 Sum', ' 4499338 Ratio', '   1.53%)']", ,[' 300827  '],[' 26397   '],[' 303385  '],[' 191541  '],"[' 574619   (Atom=Atom', ' 167142 Body=Body', ' 127297 Other', ' 280180)']",[' Yes'],"[' 30955    (Eliminated', '    0 Frozen', ' 30955)']","[' 8112     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.0937'],[' 0'], ,[' 492.367'],[' 0'],[' 27.6517'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.91648e+08'],[' 8.01099e+08'],[' 0'],[' 2.1161e+10'],[' 0'],[' 0'],[' 1205 '],[' 2108 '],[' 8894 '],[' 9173 '],[' 10120 '],[' 11115 '],[' 6 '],[' 0 ']
Solving...,TA76, , ,[' 11239+'],[' 5626'],"[' 904.673s (Solving', ' 777.79s 1st Model', ' 459.14s Unsat', ' 0.00s)']",[' 896.297s'], ,[' 346403554'],"[' 4190383  (Analyzed', ' 3601353)']","[' 10063    (Average', ' 357.88 Last', ' 82801)']",[' 12239.2 '],"[' 5626     (Average Length', ' 2550.64 Splits', ' 0)']","[' 3601353  (Deleted', ' 3504289)']","[' 2438     (Ratio', '   0.07%)']","[' 47632    (Ratio', '   1.32%)']","[' 3601353  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3601353  (Average', ' 82.25 Max', ' 15617 Sum', ' 296219698)']","[' 3599347  (Average', ' 80.81 Max', ' 15617 Sum', ' 291013353 Ratio', '  98.24%)']","[' 2006     (Average', ' 2595.39 Max', ' 4731 Sum', ' 5206345 Ratio', '   1.76%)']", ,[' 300531  '],[' 26284   '],[' 303272  '],[' 191438  '],"[' 574310   (Atom=Atom', ' 167152 Body=Body', ' 127184 Other', ' 279974)']",[' Yes'],"[' 31025    (Eliminated', '    0 Frozen', ' 31025)']","[' 7855     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.2025'],[' 0'], ,[' 365.176'],[' 0'],[' 27.836'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.7933e+08'],[' 7.95622e+08'],[' 0'],[' 1.15662e+10'],[' 0'],[' 0'],[' 1131 '],[' 2069 '],[' 4275 '],[' 4865 '],[' 5810 '],[' 6824 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 11789+'],[' 5901'],"[' 1024.628s (Solving', ' 916.87s 1st Model', ' 477.30s Unsat', ' 0.00s)']",[' 1017.719s'], ,[' 391204883'],"[' 5669867  (Analyzed', ' 5225487)']","[' 13340    (Average', ' 391.72 Last', ' 85316)']",[' 10263.0 '],"[' 5901     (Average Length', ' 2618.78 Splits', ' 0)']","[' 5225487  (Deleted', ' 5107310)']","[' 2885     (Ratio', '   0.06%)']","[' 61174    (Ratio', '   1.17%)']","[' 5225487  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5225487  (Average', ' 67.36 Max', ' 12348 Sum', ' 351962843)']","[' 5222920  (Average', ' 66.07 Max', ' 12348 Sum', ' 345224231 Ratio', '  98.09%)']","[' 2567     (Average', ' 2625.09 Max', ' 4481 Sum', ' 6738612 Ratio', '   1.91%)']", ,[' 300612  '],[' 26187   '],[' 303573  '],[' 191475  '],"[' 574421   (Atom=Atom', ' 167286 Body=Body', ' 127087 Other', ' 280048)']",[' Yes'],"[' 31148    (Eliminated', '    0 Frozen', ' 31148)']","[' 10001    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.5891'],[' 0'], ,[' 510.24'],[' 0'],[' 26.6895'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0467e+09'],[' 9.45684e+08'],[' 0'],[' 2.57173e+10'],[' 0'],[' 0'],[' 1068 '],[' 2024 '],[' 2938 '],[' 3936 '],[' 4923 '],[' 9508 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 12027+'],[' 6020'],"[' 1030.298s (Solving', ' 891.95s 1st Model', ' 565.89s Unsat', ' 0.00s)']",[' 1019.266s'], ,[' 395305080'],"[' 4728114  (Analyzed', ' 4213430)']","[' 10736    (Average', ' 392.46 Last', ' 93558)']",[' 11626.0 '],"[' 6020     (Average Length', ' 2634.40 Splits', ' 0)']","[' 4213430  (Deleted', ' 4106270)']","[' 3118     (Ratio', '   0.07%)']","[' 56528    (Ratio', '   1.34%)']","[' 4213430  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4213430  (Average', ' 81.87 Max', ' 14356 Sum', ' 344965889)']","[' 4211452  (Average', ' 80.77 Max', ' 14356 Sum', ' 340301291 Ratio', '  98.65%)']","[' 1978     (Average', ' 2358.24 Max', ' 4914 Sum', ' 4664598 Ratio', '   1.35%)']", ,[' 301497  '],[' 26392   '],[' 304412  '],[' 192373  '],"[' 577115   (Atom=Atom', ' 167979 Body=Body', ' 127292 Other', ' 281844)']",[' Yes'],"[' 31307    (Eliminated', '    0 Frozen', ' 31307)']","[' 7882     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.1619'],[' 0'], ,[' 414.807'],[' 0'],[' 30.7643'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.94455e+08'],[' 9.01355e+08'],[' 0'],[' 1.36191e+10'],[' 0'],[' 0'],[' 1276 '],[' 2096 '],[' 3008 '],[' 3985 '],[' 4951 '],[' 5892 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 12841+'],[' 6426'],"[' 1032.922s (Solving', ' 886.67s 1st Model', ' 521.64s Unsat', ' 0.00s)']",[' 1019.000s'], ,[' 353494988'],"[' 3111589  (Analyzed', ' 2620246)']","[' 8289     (Average', ' 316.11 Last', ' 110743)']",[' 12141.2 '],"[' 6426     (Average Length', ' 2789.62 Splits', ' 0)']","[' 2620246  (Deleted', ' 2524767)']","[' 2724     (Ratio', '   0.10%)']","[' 49038    (Ratio', '   1.87%)']","[' 2620246  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2620246  (Average', ' 112.97 Max', ' 16034 Sum', ' 296019650)']","[' 2618822  (Average', ' 111.68 Max', ' 16034 Sum', ' 292631285 Ratio', '  98.86%)']","[' 1424     (Average', ' 2379.47 Max', ' 5199 Sum', ' 3388365 Ratio', '   1.14%)']", ,[' 301911  '],[' 26318   '],[' 305109  '],[' 192483  '],"[' 577445   (Atom=Atom', ' 168163 Body=Body', ' 127218 Other', ' 282064)']",[' Yes'],"[' 31516    (Eliminated', '    0 Frozen', ' 31516)']","[' 7118     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.5487'],[' 0'], ,[' 434.347'],[' 0'],[' 29.287'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.32049e+08'],[' 8.44841e+08'],[' 0'],[' 1.52842e+10'],[' 0'],[' 0'],[' 1147 '],[' 2025 '],[' 3431 '],[' 4198 '],[' 5186 '],[' 6153 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 11287+'],[' 5650'],"[' 1029.025s (Solving', ' 897.88s 1st Model', ' 499.05s Unsat', ' 0.00s)']",[' 1016.328s'], ,[' 376375494'],"[' 3681331  (Analyzed', ' 3349259)']","[' 8759     (Average', ' 382.38 Last', ' 74047)']",[' 10933.9 '],"[' 5650     (Average Length', ' 2500.65 Splits', ' 0)']","[' 3349259  (Deleted', ' 3241981)']","[' 3319     (Ratio', '   0.10%)']","[' 59297    (Ratio', '   1.77%)']","[' 3349259  (Average Length', '   21.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3349259  (Average', ' 99.88 Max', ' 13700 Sum', ' 334534946)']","[' 3346663  (Average', ' 97.96 Max', ' 13700 Sum', ' 328105584 Ratio', '  98.08%)']","[' 2596     (Average', ' 2476.64 Max', ' 4653 Sum', ' 6429362 Ratio', '   1.92%)']", ,[' 301261  '],[' 26482   '],[' 303914  '],[' 192253  '],"[' 576755   (Atom=Atom', ' 167769 Body=Body', ' 127382 Other', ' 281604)']",[' Yes'],"[' 31135    (Eliminated', '    0 Frozen', ' 31135)']","[' 9404     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.048'],[' 0'], ,[' 424.864'],[' 0'],[' 30.9885'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.72116e+08'],[' 8.78996e+08'],[' 0'],[' 1.32976e+10'],[' 0'],[' 0'],[' 1136 '],[' 2124 '],[' 3045 '],[' 3987 '],[' 4896 '],[' 5891 '],[' 6 '],[' 0 ']
