Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 4321+'],[' 2163'],"[' 603.170s (Solving', ' 590.58s 1st Model', ' 286.96s Unsat', ' 0.00s)']",[' 600.375s'], ,[' 311240956'],"[' 3350008  (Analyzed', ' 2273080)']","[' 6422     (Average', ' 353.95 Last', ' 189616)']",[' 6116.2  '],"[' 2163     (Average Length', ' 1068.94 Splits', ' 0)']","[' 2273080  (Deleted', ' 2199235)']","[' 325      (Ratio', '   0.01%)']","[' 57114    (Ratio', '   2.51%)']","[' 2273080  (Average Length', '   26.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2273080  (Average', ' 131.77 Max', ' 6878 Sum', ' 299529731)']","[' 2272567  (Average', ' 131.49 Max', ' 6503 Sum', ' 298887981 Ratio', '  99.79%)']","[' 513      (Average', ' 1250.97 Max', ' 1253 Sum', ' 641750 Ratio', '   0.21%)']", ,[' 111243  '],[' 9230    '],[' 108706  '],[' 50576   '],"[' 181857   (Atom=Atom', ' 51613 Body=Body', ' 29595 Other', ' 100649)']",[' Yes'],"[' 11307    (Eliminated', '    0 Frozen', ' 11307)']","[' 6357     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.51751'],[' 0'], ,[' 225.746'],[' 0'],[' 19.5068'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.94535e+08'],[' 8.94117e+08'],[' 0'],[' 8.58723e+09'],[' 0'],[' 0'],[' 1677 '],[' 3622 '],[' 2 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 4317+'],[' 2161'],"[' 603.373s (Solving', ' 589.46s 1st Model', ' 253.67s Unsat', ' 0.00s)']",[' 600.234s'], ,[' 294687548'],"[' 3265432  (Analyzed', ' 1922903)']","[' 5941     (Average', ' 323.67 Last', ' 232102)']",[' 6276.2  '],"[' 2161     (Average Length', ' 1065.32 Splits', ' 0)']","[' 1922903  (Deleted', ' 1848641)']","[' 385      (Ratio', '   0.02%)']","[' 60542    (Ratio', '   3.15%)']","[' 1922903  (Average Length', '   26.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1922903  (Average', ' 146.89 Max', ' 7245 Sum', ' 282456207)']","[' 1922352  (Average', ' 146.56 Max', ' 6506 Sum', ' 281814292 Ratio', '  99.77%)']","[' 551      (Average', ' 1165.00 Max', ' 1165 Sum', ' 641915 Ratio', '   0.23%)']", ,[' 111982  '],[' 9344    '],[' 109382  '],[' 51144   '],"[' 183448   (Atom=Atom', ' 51953 Body=Body', ' 29937 Other', ' 101558)']",[' Yes'],"[' 11415    (Eliminated', '    0 Frozen', ' 11415)']","[' 6693     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.89275'],[' 0'], ,[' 214.09'],[' 0'],[' 19.369'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.39368e+08'],[' 8.44585e+08'],[' 0'],[' 7.4612e+09'],[' 0'],[' 0'],[' 1860 '],[' 3581 '],[' 2 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 4243+'],[' 2124'],"[' 603.513s (Solving', ' 589.34s 1st Model', ' 170.50s Unsat', ' 0.00s)']",[' 600.422s'], ,[' 307698747'],"[' 3104073  (Analyzed', ' 1898474)']","[' 5741     (Average', ' 330.69 Last', ' 123713)']",[' 6200.9  '],"[' 2124     (Average Length', ' 1038.92 Splits', ' 0)']","[' 1898474  (Deleted', ' 1824576)']","[' 313      (Ratio', '   0.02%)']","[' 56274    (Ratio', '   2.96%)']","[' 1898474  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1898474  (Average', ' 155.76 Max', ' 6713 Sum', ' 295711895)']","[' 1897951  (Average', ' 155.47 Max', ' 6350 Sum', ' 295151239 Ratio', '  99.81%)']","[' 523      (Average', ' 1072.00 Max', ' 1072 Sum', ' 560656 Ratio', '   0.19%)']", ,[' 110333  '],[' 9096    '],[' 107814  '],[' 49867   '],"[' 179865   (Atom=Atom', ' 51172 Body=Body', ' 29193 Other', ' 99500)']",[' Yes'],"[' 11124    (Eliminated', '    0 Frozen', ' 11124)']","[' 6130     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.00383'],[' 0'], ,[' 209.563'],[' 0'],[' 19.7883'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.99452e+08'],[' 8.97951e+08'],[' 0'],[' 6.8555e+09'],[' 0'],[' 0'],[' 1570 '],[' 3243 '],[' 2 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 4897+'],[' 2451'],"[' 603.974s (Solving', ' 587.67s 1st Model', ' 421.26s Unsat', ' 0.00s)']",[' 597.766s'], ,[' 288125922'],"[' 2957276  (Analyzed', ' 1545449)']","[' 5958     (Average', ' 259.39 Last', ' 204411)']",[' 6341.7  '],"[' 2451     (Average Length', ' 1193.42 Splits', ' 0)']","[' 1545449  (Deleted', ' 1477797)']","[' 280      (Ratio', '   0.02%)']","[' 57090    (Ratio', '   3.69%)']","[' 1545449  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1545449  (Average', ' 177.60 Max', ' 6757 Sum', ' 274477310)']","[' 1544879  (Average', ' 177.13 Max', ' 6757 Sum', ' 273751130 Ratio', '  99.74%)']","[' 570      (Average', ' 1274.00 Max', ' 1274 Sum', ' 726180 Ratio', '   0.26%)']", ,[' 111232  '],[' 9184    '],[' 108930  '],[' 50634   '],"[' 182078   (Atom=Atom', ' 51763 Body=Body', ' 29457 Other', ' 100858)']",[' Yes'],"[' 11473    (Eliminated', '    0 Frozen', ' 11473)']","[' 6266     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.27911'],[' 0'], ,[' 203.178'],[' 0'],[' 18.9688'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.3497e+08'],[' 8.40096e+08'],[' 0'],[' 6.24981e+09'],[' 0'],[' 0'],[' 1679 '],[' 3239 '],[' 2 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 4021+'],[' 2013'],"[' 603.094s (Solving', ' 590.24s 1st Model', ' 408.46s Unsat', ' 0.00s)']",[' 595.875s'], ,[' 286218268'],"[' 2801132  (Analyzed', ' 1684767)']","[' 5714     (Average', ' 294.85 Last', ' 460397)']",[' 6229.7  '],"[' 2013     (Average Length', ' 990.88 Splits', ' 0)']","[' 1684767  (Deleted', ' 1612014)']","[' 365      (Ratio', '   0.02%)']","[' 59719    (Ratio', '   3.54%)']","[' 1684767  (Average Length', '   24.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1684767  (Average', ' 163.09 Max', ' 6842 Sum', ' 274767907)']","[' 1684251  (Average', ' 162.77 Max', ' 5802 Sum', ' 274231267 Ratio', '  99.80%)']","[' 516      (Average', ' 1040.00 Max', ' 1040 Sum', ' 536640 Ratio', '   0.20%)']", ,[' 111938  '],[' 9360    '],[' 109180  '],[' 51076   '],"[' 183228   (Atom=Atom', ' 51853 Body=Body', ' 29985 Other', ' 101390)']",[' Yes'],"[' 11281    (Eliminated', '    0 Frozen', ' 11281)']","[' 6361     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.60909'],[' 0'], ,[' 205.563'],[' 0'],[' 19.501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.33668e+08'],[' 8.37606e+08'],[' 0'],[' 6.08025e+09'],[' 0'],[' 0'],[' 1831 '],[' 3456 '],[' 2 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 4355+'],[' 2180'],"[' 603.675s (Solving', ' 588.43s 1st Model', ' 243.49s Unsat', ' 0.00s)']",[' 599.109s'], ,[' 275768757'],"[' 3592644  (Analyzed', ' 2091852)']","[' 6130     (Average', ' 341.25 Last', ' 206717)']",[' 6367.8  '],"[' 2180     (Average Length', ' 1062.08 Splits', ' 0)']","[' 2091852  (Deleted', ' 2018897)']","[' 347      (Ratio', '   0.02%)']","[' 53136    (Ratio', '   2.54%)']","[' 2091852  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2091852  (Average', ' 125.64 Max', ' 6816 Sum', ' 262817259)']","[' 2091390  (Average', ' 125.42 Max', ' 5873 Sum', ' 262362651 Ratio', '  99.83%)']","[' 462      (Average', ' 984.00 Max', ' 984 Sum', ' 454608 Ratio', '   0.17%)']", ,[' 110896  '],[' 9174    '],[' 108369  '],[' 50313   '],"[' 181125   (Atom=Atom', ' 51462 Body=Body', ' 29427 Other', ' 100236)']",[' Yes'],"[' 11233    (Eliminated', '    0 Frozen', ' 11233)']","[' 5825     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.1371'],[' 0'], ,[' 215.393'],[' 0'],[' 19.0973'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.37188e+08'],[' 7.46285e+08'],[' 0'],[' 6.38335e+09'],[' 0'],[' 0'],[' 1946 '],[' 3441 '],[' 2 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 4349+'],[' 2177'],"[' 604.961s (Solving', ' 586.35s 1st Model', ' 49.43s Unsat', ' 0.00s)']",[' 603.406s'], ,[' 258202964'],"[' 3184537  (Analyzed', ' 1697379)']","[' 4855     (Average', ' 349.61 Last', ' 7254)']",[' 6402.8  '],"[' 2177     (Average Length', ' 1063.48 Splits', ' 0)']","[' 1697379  (Deleted', ' 1628591)']","[' 311      (Ratio', '   0.02%)']","[' 52176    (Ratio', '   3.07%)']","[' 1697379  (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1697379  (Average', ' 144.57 Max', ' 6731 Sum', ' 245389250)']","[' 1696813  (Average', ' 144.25 Max', ' 6262 Sum', ' 244847022 Ratio', '  99.78%)']","[' 566      (Average', ' 958.00 Max', ' 958 Sum', ' 542228 Ratio', '   0.22%)']", ,[' 111400  '],[' 9252    '],[' 108832  '],[' 50700   '],"[' 182207   (Atom=Atom', ' 51693 Body=Body', ' 29661 Other', ' 100853)']",[' Yes'],"[' 11309    (Eliminated', '    0 Frozen', ' 11309)']","[' 6024     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.89519'],[' 0'], ,[' 217.807'],[' 0'],[' 19.1956'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.4568e+08'],[' 6.72289e+08'],[' 0'],[' 6.39356e+09'],[' 0'],[' 0'],[' 2035 '],[' 3653 '],[' 2 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 3765+'],[' 1885'],"[' 603.463s (Solving', ' 589.70s 1st Model', ' 294.96s Unsat', ' 0.00s)']",[' 600.406s'], ,[' 253713816'],"[' 2694400  (Analyzed', ' 1449966)']","[' 4620     (Average', ' 313.85 Last', ' 187616)']",[' 6097.0  '],"[' 1885     (Average Length', ' 926.63 Splits', ' 0)']","[' 1449966  (Deleted', ' 1382113)']","[' 294      (Ratio', '   0.02%)']","[' 52157    (Ratio', '   3.60%)']","[' 1449966  (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1449966  (Average', ' 167.66 Max', ' 6796 Sum', ' 243095805)']","[' 1449395  (Average', ' 167.25 Max', ' 5776 Sum', ' 242513385 Ratio', '  99.76%)']","[' 571      (Average', ' 1020.00 Max', ' 1020 Sum', ' 582420 Ratio', '   0.24%)']", ,[' 110874  '],[' 9216    '],[' 108074  '],[' 50228   '],"[' 180828   (Atom=Atom', ' 51293 Body=Body', ' 29553 Other', ' 99982)']",[' Yes'],"[' 11023    (Eliminated', '    0 Frozen', ' 11023)']","[' 5813     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.84478'],[' 0'], ,[' 216.272'],[' 0'],[' 19.8637'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.35731e+08'],[' 6.60594e+08'],[' 0'],[' 5.88675e+09'],[' 0'],[' 0'],[' 1770 '],[' 3706 '],[' 2 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 4117+'],[' 2061'],"[' 604.070s (Solving', ' 588.74s 1st Model', ' 272.25s Unsat', ' 0.00s)']",[' 600.625s'], ,[' 266279070'],"[' 2587214  (Analyzed', ' 1337132)']","[' 4928     (Average', ' 271.33 Last', ' 94282)']",[' 6167.6  '],"[' 2061     (Average Length', ' 1013.36 Splits', ' 0)']","[' 1337132  (Deleted', ' 1267744)']","[' 292      (Ratio', '   0.02%)']","[' 55150    (Ratio', '   4.12%)']","[' 1337132  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1337132  (Average', ' 190.51 Max', ' 6824 Sum', ' 254739902)']","[' 1336612  (Average', ' 190.09 Max', ' 6395 Sum', ' 254169982 Ratio', '  99.78%)']","[' 520      (Average', ' 1096.00 Max', ' 1096 Sum', ' 569920 Ratio', '   0.22%)']", ,[' 110920  '],[' 9196    '],[' 108300  '],[' 50304   '],"[' 181075   (Atom=Atom', ' 51409 Body=Body', ' 29493 Other', ' 100173)']",[' Yes'],"[' 11173    (Eliminated', '    0 Frozen', ' 11173)']","[' 6086     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.20489'],[' 0'], ,[' 203.358'],[' 0'],[' 19.2325'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.554e+08'],[' 7.71682e+08'],[' 0'],[' 5.28558e+09'],[' 0'],[' 0'],[' 1617 '],[' 3348 '],[' 2 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 4997+'],[' 2501'],"[' 604.294s (Solving', ' 587.54s 1st Model', ' 473.34s Unsat', ' 0.00s)']",[' 601.391s'], ,[' 288681698'],"[' 2683135  (Analyzed', ' 1421518)']","[' 5641     (Average', ' 252.00 Last', ' 131524)']",[' 6308.8  '],"[' 2501     (Average Length', ' 1221.02 Splits', ' 0)']","[' 1421518  (Deleted', ' 1352969)']","[' 269      (Ratio', '   0.02%)']","[' 57769    (Ratio', '   4.06%)']","[' 1421518  (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1421518  (Average', ' 193.53 Max', ' 7323 Sum', ' 275107532)']","[' 1420998  (Average', ' 193.05 Max', ' 6001 Sum', ' 274420092 Ratio', '  99.75%)']","[' 520      (Average', ' 1322.00 Max', ' 1322 Sum', ' 687440 Ratio', '   0.25%)']", ,[' 111425  '],[' 9206    '],[' 109180  '],[' 50794   '],"[' 182536   (Atom=Atom', ' 51879 Body=Body', ' 29523 Other', ' 101134)']",[' Yes'],"[' 11563    (Eliminated', '    0 Frozen', ' 11563)']","[' 6089     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.41126'],[' 0'], ,[' 195.554'],[' 0'],[' 19.7408'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.72267e+08'],[' 8.78465e+08'],[' 0'],[' 5.74435e+09'],[' 0'],[' 0'],[' 1687 '],[' 3273 '],[' 2 '],[' 0 ']
