Optimal Found Or Timeout,Instances,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 8733+'],[' 4369'],"[' 623.892s (Solving', ' 543.65s 1st Model', ' 239.14s Unsat', ' 0.00s)']",[' 619.672s'], ,[' 333241663'],"[' 5323675  (Analyzed', ' 155522)']","[' 2690     (Average', ' 57.81 Last', ' 53079)']",[' 19740.1 '],"[' 4370     (Average Length', ' 2271.02 Splits', ' 0)']","[' 155522   (Deleted', ' 125635)']","[' 51       (Ratio', '   0.03%)']","[' 20541    (Ratio', '  13.21%)']","[' 155522   (Average Length', '   35.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 155522   (Average', ' 1656.45 Max', ' 27975 Sum', ' 257614589)']","[' 153318   (Average', ' 1616.67 Max', ' 27975 Sum', ' 251427961 Ratio', '  97.60%)']","[' 2204     (Average', ' 2807.00 Max', ' 2807 Sum', ' 6186628 Ratio', '   2.40%)']", ,[' 464194  '],[' 33570   '],[' 424796  '],[' 202621  '],"[' 592009   (Atom=Atom', ' 150001 Body=Body', ' 106086 Other', ' 335922)']",[' Yes'],"[' 38346    (Eliminated', '    0 Frozen', ' 38346)']","[' 4469     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8049'],[' 0'], ,[' 193.528'],[' 0'],[' 17.5268'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.56148e+08'],[' 4.18052e+08'],[' 0'],[' 9.80424e+09'],[' 0'],[' 0'],[' 2765 '],[' 7993 '],[' 12608 '],[' 3 '],[' 0 ']
Solving...,TA72, , ,[' 8251+'],[' 4128'],"[' 623.721s (Solving', ' 541.71s 1st Model', ' 261.87s Unsat', ' 0.00s)']",[' 614.969s'], ,[' 293436635'],"[' 5154994  (Analyzed', ' 141655)']","[' 2592     (Average', ' 54.65 Last', ' 17503)']",[' 18949.4 '],"[' 4129     (Average Length', ' 2191.87 Splits', ' 0)']","[' 141655   (Deleted', ' 116440)']","[' 26       (Ratio', '   0.02%)']","[' 18158    (Ratio', '  12.82%)']","[' 141655   (Average Length', '   31.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 141655   (Average', ' 1576.58 Max', ' 28237 Sum', ' 223330771)']","[' 140092   (Average', ' 1545.58 Max', ' 28237 Sum', ' 218938741 Ratio', '  98.03%)']","[' 1563     (Average', ' 2810.00 Max', ' 2810 Sum', ' 4392030 Ratio', '   1.97%)']", ,[' 460000  '],[' 33008   '],[' 420664  '],[' 199862  '],"[' 583032   (Atom=Atom', ' 147512 Body=Body', ' 104400 Other', ' 331120)']",[' Yes'],"[' 37711    (Eliminated', '    0 Frozen', ' 37711)']","[' 3312     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5134'],[' 0'], ,[' 190.768'],[' 0'],[' 16.9687'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.97928e+08'],[' 3.62847e+08'],[' 0'],[' 8.76406e+09'],[' 0'],[' 0'],[' 2275 '],[' 10501 '],[' 14950 '],[' 3 '],[' 0 ']
Solving...,TA73, , ,[' 7355+'],[' 3681'],"[' 621.435s (Solving', ' 548.32s 1st Model', ' 273.30s Unsat', ' 0.00s)']",[' 616.109s'], ,[' 303534316'],"[' 5643018  (Analyzed', ' 153315)']","[' 2452     (Average', ' 62.53 Last', ' 40721)']",[' 19861.3 '],"[' 3682     (Average Length', ' 1964.08 Splits', ' 0)']","[' 153315   (Deleted', ' 123593)']","[' 47       (Ratio', '   0.03%)']","[' 19690    (Ratio', '  12.84%)']","[' 153315   (Average Length', '   32.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 153315   (Average', ' 1524.75 Max', ' 28835 Sum', ' 233766772)']","[' 152534   (Average', ' 1512.31 Max', ' 28835 Sum', ' 231860021 Ratio', '  99.18%)']","[' 781      (Average', ' 2441.42 Max', ' 2521 Sum', ' 1906751 Ratio', '   0.82%)']", ,[' 461314  '],[' 33207   '],[' 421371  '],[' 200456  '],"[' 584474   (Atom=Atom', ' 147860 Body=Body', ' 104997 Other', ' 331617)']",[' Yes'],"[' 37426    (Eliminated', '    0 Frozen', ' 37426)']","[' 1589     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9169'],[' 0'], ,[' 206.057'],[' 0'],[' 17.4403'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.15778e+08'],[' 3.80205e+08'],[' 0'],[' 1.05149e+10'],[' 0'],[' 0'],[' 2645 '],[' 9595 '],[' 14569 '],[' 3 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 8119+'],[' 4062'],"[' 623.540s (Solving', ' 544.39s 1st Model', ' 260.06s Unsat', ' 0.00s)']",[' 619.859s'], ,[' 293489271'],"[' 5673052  (Analyzed', ' 140712)']","[' 2632     (Average', ' 53.46 Last', ' 39313)']",[' 20184.7 '],"[' 4062     (Average Length', ' 2139.59 Splits', ' 0)']","[' 140712   (Deleted', ' 115379)']","[' 26       (Ratio', '   0.02%)']","[' 18761    (Ratio', '  13.33%)']","[' 140712   (Average Length', '   30.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 140712   (Average', ' 1532.62 Max', ' 28845 Sum', ' 215658600)']","[' 140263   (Average', ' 1524.40 Max', ' 28845 Sum', ' 214501976 Ratio', '  99.46%)']","[' 449      (Average', ' 2576.00 Max', ' 2576 Sum', ' 1156624 Ratio', '   0.54%)']", ,[' 460488  '],[' 33085   '],[' 420994  '],[' 200149  '],"[' 583967   (Atom=Atom', ' 147755 Body=Body', ' 104631 Other', ' 331581)']",[' Yes'],"[' 37652    (Eliminated', '    0 Frozen', ' 37652)']","[' 1225     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.086'],[' 0'], ,[' 200.073'],[' 0'],[' 16.4879'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.01978e+08'],[' 3.66692e+08'],[' 0'],[' 1.06825e+10'],[' 0'],[' 0'],[' 2298 '],[' 8069 '],[' 11506 '],[' 3 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 8055+'],[' 4030'],"[' 622.832s (Solving', ' 544.14s 1st Model', ' 219.40s Unsat', ' 0.00s)']",[' 617.703s'], ,[' 311641897'],"[' 4437668  (Analyzed', ' 154747)']","[' 2397     (Average', ' 64.56 Last', ' 15106)']",[' 19331.0 '],"[' 4030     (Average Length', ' 2092.92 Splits', ' 0)']","[' 154747   (Deleted', ' 124780)']","[' 46       (Ratio', '   0.03%)']","[' 19838    (Ratio', '  12.82%)']","[' 154747   (Average Length', '   33.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 154747   (Average', ' 1570.25 Max', ' 27954 Sum', ' 242991557)']","[' 152833   (Average', ' 1536.18 Max', ' 27954 Sum', ' 237718487 Ratio', '  97.83%)']","[' 1914     (Average', ' 2755.00 Max', ' 2755 Sum', ' 5273070 Ratio', '   2.17%)']", ,[' 461344  '],[' 33165   '],[' 421719  '],[' 200697  '],"[' 585053   (Atom=Atom', ' 148043 Body=Body', ' 104871 Other', ' 332139)']",[' Yes'],"[' 37731    (Eliminated', '    0 Frozen', ' 37731)']","[' 4280     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8535'],[' 0'], ,[' 197.314'],[' 0'],[' 17.4075'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.24636e+08'],[' 3.88838e+08'],[' 0'],[' 8.32707e+09'],[' 0'],[' 0'],[' 2537 '],[' 10533 '],[' 15485 '],[' 3 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 6191+'],[' 3098'],"[' 487.653s (Solving', ' 433.75s 1st Model', ' 202.48s Unsat', ' 0.00s)']",[' 483.625s'], ,[' 254321221'],"[' 4708754  (Analyzed', ' 142283)']","[' 2088     (Average', ' 68.14 Last', ' 19440)']",[' 16778.0 '],"[' 3097     (Average Length', ' 1701.40 Splits', ' 0)']","[' 142283   (Deleted', ' 118729)']","[' 16       (Ratio', '   0.01%)']","[' 18696    (Ratio', '  13.14%)']","[' 142283   (Average Length', '   31.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 142283   (Average', ' 1460.20 Max', ' 28006 Sum', ' 207761731)']","[' 140350   (Average', ' 1425.96 Max', ' 28006 Sum', ' 202890571 Ratio', '  97.66%)']","[' 1933     (Average', ' 2520.00 Max', ' 2520 Sum', ' 4871160 Ratio', '   2.34%)']", ,[' 459917  '],[' 33152   '],[' 419573  '],[' 199461  '],"[' 582101   (Atom=Atom', ' 147059 Body=Body', ' 104832 Other', ' 330210)']",[' Yes'],"[' 36873    (Eliminated', '    0 Frozen', ' 36873)']","[' 4008     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.57804'],[' 0'], ,[' 175.439'],[' 0'],[' 14.894'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.50005e+08'],[' 3.17568e+08'],[' 0'],[' 8.629e+09'],[' 0'],[' 0'],[' 2354 '],[' 10127 '],[' 19841 '],[' 3 '],[' 0 ']
Solving...,TA77, , ,[' 8587+'],[' 4296'],"[' 624.274s (Solving', ' 542.32s 1st Model', ' 222.49s Unsat', ' 0.00s)']",[' 619.688s'], ,[' 310350253'],"[' 5368754  (Analyzed', ' 150834)']","[' 2488     (Average', ' 60.62 Last', ' 40622)']",[' 19332.4 '],"[' 4297     (Average Length', ' 2249.28 Splits', ' 0)']","[' 150834   (Deleted', ' 121083)']","[' 33       (Ratio', '   0.02%)']","[' 18448    (Ratio', '  12.23%)']","[' 150834   (Average Length', '   29.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 150834   (Average', ' 1571.83 Max', ' 28059 Sum', ' 237085136)']","[' 148883   (Average', ' 1534.80 Max', ' 28059 Sum', ' 231499423 Ratio', '  97.64%)']","[' 1951     (Average', ' 2863.00 Max', ' 2863 Sum', ' 5585713 Ratio', '   2.36%)']", ,[' 460033  '],[' 32989   '],[' 420829  '],[' 199942  '],"[' 583254   (Atom=Atom', ' 147604 Body=Body', ' 104343 Other', ' 331307)']",[' Yes'],"[' 37818    (Eliminated', '    0 Frozen', ' 37818)']","[' 3971     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1901'],[' 0'], ,[' 197.555'],[' 0'],[' 17.5457'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.15222e+08'],[' 3.79331e+08'],[' 0'],[' 9.87502e+09'],[' 0'],[' 0'],[' 2283 '],[' 10815 '],[' 15696 '],[' 3 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 7933+'],[' 3969'],"[' 623.459s (Solving', ' 544.09s 1st Model', ' 263.58s Unsat', ' 0.00s)']",[' 617.953s'], ,[' 297892960'],"[' 5614064  (Analyzed', ' 137908)']","[' 2332     (Average', ' 59.14 Last', ' 34235)']",[' 19548.1 '],"[' 3969     (Average Length', ' 2096.16 Splits', ' 0)']","[' 137908   (Deleted', ' 111529)']","[' 37       (Ratio', '   0.03%)']","[' 17786    (Ratio', '  12.90%)']","[' 137908   (Average Length', '   30.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 137908   (Average', ' 1647.98 Max', ' 28066 Sum', ' 227270010)']","[' 136222   (Average', ' 1616.84 Max', ' 28066 Sum', ' 222975768 Ratio', '  98.11%)']","[' 1686     (Average', ' 2547.00 Max', ' 2547 Sum', ' 4294242 Ratio', '   1.89%)']", ,[' 459295  '],[' 32875   '],[' 419749  '],[' 199184  '],"[' 580330   (Atom=Atom', ' 146822 Body=Body', ' 104001 Other', ' 329507)']",[' Yes'],"[' 37374    (Eliminated', '    0 Frozen', ' 37374)']","[' 3428     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8024'],[' 0'], ,[' 197.261'],[' 0'],[' 17.5008'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.00495e+08'],[' 3.66023e+08'],[' 0'],[' 9.90984e+09'],[' 0'],[' 0'],[' 2383 '],[' 8245 '],[' 13607 '],[' 3 '],[' 0 ']
Solving...,TA79, , ,[' 8177+'],[' 4091'],"[' 623.097s (Solving', ' 544.58s 1st Model', ' 250.45s Unsat', ' 0.00s)']",[' 619.797s'], ,[' 301508677'],"[' 5188880  (Analyzed', ' 130886)']","[' 2385     (Average', ' 54.88 Last', ' 37154)']",[' 19682.6 '],"[' 4092     (Average Length', ' 2138.93 Splits', ' 0)']","[' 130886   (Deleted', ' 103477)']","[' 36       (Ratio', '   0.03%)']","[' 17398    (Ratio', '  13.29%)']","[' 130886   (Average Length', '   32.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 130886   (Average', ' 1754.76 Max', ' 28139 Sum', ' 229673060)']","[' 128917   (Average', ' 1714.67 Max', ' 28139 Sum', ' 224425675 Ratio', '  97.72%)']","[' 1969     (Average', ' 2665.00 Max', ' 2665 Sum', ' 5247385 Ratio', '   2.28%)']", ,[' 461052  '],[' 33131   '],[' 421552  '],[' 200413  '],"[' 584559   (Atom=Atom', ' 147967 Body=Body', ' 104769 Other', ' 331823)']",[' Yes'],"[' 37718    (Eliminated', '    0 Frozen', ' 37718)']","[' 3616     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6387'],[' 0'], ,[' 198'],[' 0'],[' 17.5798'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.00414e+08'],[' 3.662e+08'],[' 0'],[' 9.43969e+09'],[' 0'],[' 0'],[' 2349 '],[' 9043 '],[' 13643 '],[' 3 '],[' 0 ']
Solving...,TA80, , ,[' 6833+'],[' 3419'],"[' 622.676s (Solving', ' 545.67s 1st Model', ' 202.07s Unsat', ' 0.00s)']",[' 616.375s'], ,[' 273831858'],"[' 3703174  (Analyzed', ' 137847)']","[' 2063     (Average', ' 66.82 Last', ' 15092)']",[' 18991.4 '],"[' 3420     (Average Length', ' 1818.03 Splits', ' 0)']","[' 137847   (Deleted', ' 112242)']","[' 39       (Ratio', '   0.03%)']","[' 18628    (Ratio', '  13.51%)']","[' 137847   (Average Length', '   31.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 137847   (Average', ' 1569.74 Max', ' 27993 Sum', ' 216384504)']","[' 135762   (Average', ' 1533.06 Max', ' 27993 Sum', ' 211328379 Ratio', '  97.66%)']","[' 2085     (Average', ' 2425.00 Max', ' 2425 Sum', ' 5056125 Ratio', '   2.34%)']", ,[' 459726  '],[' 33035   '],[' 419660  '],[' 199373  '],"[' 581205   (Atom=Atom', ' 146911 Body=Body', ' 104481 Other', ' 329813)']",[' Yes'],"[' 37064    (Eliminated', '    0 Frozen', ' 37064)']","[' 3980     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6559'],[' 0'], ,[' 195.966'],[' 0'],[' 17.5149'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.74408e+08'],[' 3.42849e+08'],[' 0'],[' 6.97189e+09'],[' 0'],[' 0'],[' 2411 '],[' 11168 '],[' 15906 '],[' 3 '],[' 0 ']
