Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA51, ,[' 1'],[' 2725+'],[' 1366'],"[' 601.934s (Solving', ' 595.15s 1st Model', ' 10.10s Unsat', ' 0.00s)']", 598.344s, ,[' 161860332'],"[' 11785116 (Analyzed', ' 11390499)']","[' 20886    (Average', ' 545.37 Last', ' 100012)']",[' 3535.4  '],"[' 1366     (Average Length', ' 756.31 Splits', ' 0)']","[' 11390499 (Deleted', ' 11280533)']","[' 183      (Ratio', '   0.00%)']","[' 27683    (Ratio', '   0.24%)']","[' 11390499 (Average Length', '   20.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11390499 (Average', ' 13.82 Max', ' 3612 Sum', ' 157374756)']","[' 11389932 (Average', ' 13.77 Max', ' 3612 Sum', ' 156890244 Ratio', '  99.69%)']","[' 567      (Average', ' 854.52 Max', ' 976 Sum', ' 484512 Ratio', '   0.31%)']", ,[' 93512   '],[' 6166    '],[' 86816   '],[' 39591   '],"[' 116554   (Atom=Atom', ' 30289 Body=Body', ' 20528 Other', ' 65737)']",[' Yes'],"[' 7681     (Eliminated', '    0 Frozen', ' 7681)']","[' 4086     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.41272'],[' 0'], ,[' 380.006'],[' 0'],[' 16.3418'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.96728e+08'],[' 3.16428e+08'],[' 0'],[' 2.25742e+10'],[' 0'],[' 0'],1325,2556,3931,3,0
Solving...,TA52, ,[' 1'],[' 3067+'],[' 1537'],"[' 600.179s (Solving', ' 589.57s 1st Model', ' 20.18s Unsat', ' 0.00s)']", 590.813s, ,[' 173873272'],"[' 8504544  (Analyzed', ' 8177201)']","[' 15764    (Average', ' 518.73 Last', ' 51264)']",[' 3535.8  '],"[' 1537     (Average Length', ' 808.12 Splits', ' 0)']","[' 8177201  (Deleted', ' 8079498)']","[' 212      (Ratio', '   0.00%)']","[' 32948    (Ratio', '   0.40%)']","[' 8177201  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8177201  (Average', ' 20.70 Max', ' 3503 Sum', ' 169292979)']","[' 8176645  (Average', ' 20.64 Max', ' 3476 Sum', ' 168794863 Ratio', '  99.71%)']","[' 556      (Average', ' 895.89 Max', ' 960 Sum', ' 498116 Ratio', '   0.29%)']", ,[' 94203   '],[' 6253    '],[' 87652   '],[' 40140   '],"[' 118419   (Atom=Atom', ' 30808 Body=Body', ' 20789 Other', ' 66822)']",[' Yes'],"[' 7928     (Eliminated', '    0 Frozen', ' 7928)']","[' 5430     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.36415'],[' 0'], ,[' 332.445'],[' 0'],[' 16.3884'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.01655e+08'],[' 4.15345e+08'],[' 0'],[' 1.71947e+10'],[' 0'],[' 0'],1344,2531,3693,3,0
Solving...,TA53, ,[' 1'],[' 3063+'],[' 1535'],"[' 598.700s (Solving', ' 588.77s 1st Model', ' 15.80s Unsat', ' 0.00s)']", 591.797s, ,[' 163610099'],"[' 12332523 (Analyzed', ' 12026257)']","[' 21971    (Average', ' 547.37 Last', ' 5581)']",[' 3444.8  '],"[' 1535     (Average Length', ' 808.74 Splits', ' 0)']","[' 12026257 (Deleted', ' 11898843)']","[' 200      (Ratio', '   0.00%)']","[' 25833    (Ratio', '   0.21%)']","[' 12026257 (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12026257 (Average', ' 13.23 Max', ' 3366 Sum', ' 159091329)']","[' 12025740 (Average', ' 13.19 Max', ' 3366 Sum', ' 158618205 Ratio', '  99.70%)']","[' 517      (Average', ' 915.13 Max', ' 980 Sum', ' 473124 Ratio', '   0.30%)']", ,[' 92544   '],[' 6009    '],[' 86088   '],[' 38984   '],"[' 114679   (Atom=Atom', ' 29830 Body=Body', ' 20057 Other', ' 64792)']",[' Yes'],"[' 7690     (Eliminated', '    0 Frozen', ' 7690)']","[' 4740     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.46313'],[' 0'], ,[' 356.989'],[' 0'],[' 16.0764'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.25454e+08'],[' 3.39749e+08'],[' 0'],[' 2.02741e+10'],[' 0'],[' 0'],1161,2232,3416,3,0
Solving...,TA54, ,[' 1'],[' 2395+'],[' 1201'],"[' 415.226s (Solving', ' 407.38s 1st Model', ' 11.32s Unsat', ' 0.00s)']", 411.891s, ,[' 96908418'],"[' 8512659  (Analyzed', ' 8235568)']","[' 15462    (Average', ' 532.63 Last', ' 3629)']",[' 3875.5  '],"[' 1200     (Average Length', ' 655.53 Splits', ' 0)']","[' 8235568  (Deleted', ' 8152696)']","[' 89       (Ratio', '   0.00%)']","[' 15574    (Ratio', '   0.19%)']","[' 8235568  (Average Length', '   21.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8235568  (Average', ' 11.22 Max', ' 4773 Sum', ' 92435579)']","[' 8235274  (Average', ' 11.20 Max', ' 4773 Sum', ' 92221253 Ratio', '  99.77%)']","[' 294      (Average', ' 729.00 Max', ' 729 Sum', ' 214326 Ratio', '   0.23%)']", ,[' 93569   '],[' 6200    '],[' 86758   '],[' 39554   '],"[' 116539   (Atom=Atom', ' 30260 Body=Body', ' 20630 Other', ' 65649)']",[' Yes'],"[' 7596     (Eliminated', '    0 Frozen', ' 7596)']","[' 2503     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.88077'],[' 0'], ,[' 258.879'],[' 0'],[' 10.6945'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24034e+08'],[' 1.74399e+08'],[' 0'],[' 1.45725e+10'],[' 0'],[' 0'],1355,3897,4932,3,0
Solving...,TA55, ,[' 1'],[' 3113+'],[' 1560'],"[' 598.789s (Solving', ' 588.70s 1st Model', ' 18.63s Unsat', ' 0.00s)']", 593.188s, ,[' 172964627'],"[' 10003898 (Analyzed', ' 9715090)']","[' 17748    (Average', ' 547.39 Last', ' 171597)']",[' 3444.3  '],"[' 1560     (Average Length', ' 831.30 Splits', ' 0)']","[' 9715090  (Deleted', ' 9610731)']","[' 253      (Ratio', '   0.00%)']","[' 30646    (Ratio', '   0.32%)']","[' 9715090  (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9715090  (Average', ' 17.35 Max', ' 3533 Sum', ' 168532647)']","[' 9714529  (Average', ' 17.29 Max', ' 3533 Sum', ' 167974270 Ratio', '  99.67%)']","[' 561      (Average', ' 995.32 Max', ' 1094 Sum', ' 558377 Ratio', '   0.33%)']", ,[' 93686   '],[' 6162    '],[' 87150   '],[' 39801   '],"[' 117120   (Atom=Atom', ' 30467 Body=Body', ' 20516 Other', ' 66137)']",[' Yes'],"[' 7853     (Eliminated', '    0 Frozen', ' 7853)']","[' 4566     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.38431'],[' 0'], ,[' 349.159'],[' 0'],[' 16.1137'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.79988e+08'],[' 3.95182e+08'],[' 0'],[' 1.98214e+10'],[' 0'],[' 0'],1150,2445,3606,3,0
Solving...,TA56, ,[' 1'],[' 2871+'],[' 1439'],"[' 598.637s (Solving', ' 589.00s 1st Model', ' 14.11s Unsat', ' 0.00s)']", 592.813s, ,[' 172484722'],"[' 13443696 (Analyzed', ' 13052437)']","[' 23789    (Average', ' 548.68 Last', ' 35267)']",[' 3746.3  '],"[' 1439     (Average Length', ' 767.33 Splits', ' 0)']","[' 13052437 (Deleted', ' 12934022)']","[' 230      (Ratio', '   0.00%)']","[' 26278    (Ratio', '   0.20%)']","[' 13052437 (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13052437 (Average', ' 12.83 Max', ' 3822 Sum', ' 167497487)']","[' 13051806 (Average', ' 12.79 Max', ' 3822 Sum', ' 166994204 Ratio', '  99.70%)']","[' 631      (Average', ' 797.60 Max', ' 1965 Sum', ' 503283 Ratio', '   0.30%)']", ,[' 92888   '],[' 6068    '],[' 86314   '],[' 39178   '],"[' 115271   (Atom=Atom', ' 29970 Body=Body', ' 20234 Other', ' 65067)']",[' Yes'],"[' 7658     (Eliminated', '    0 Frozen', ' 7658)']","[' 3116     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.3498'],[' 0'], ,[' 362.396'],[' 0'],[' 15.8858'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.7922e+08'],[' 2.98166e+08'],[' 0'],[' 1.99718e+10'],[' 0'],[' 0'],1524,2816,3897,3,0
Solving...,TA57, ,[' 1'],[' 2557+'],[' 1282'],"[' 598.985s (Solving', ' 590.53s 1st Model', ' 17.68s Unsat', ' 0.00s)']", 594.000s, ,[' 160781803'],"[' 11790805 (Analyzed', ' 11504456)']","[' 21449    (Average', ' 536.36 Last', ' 52372)']",[' 3394.2  '],"[' 1282     (Average Length', ' 712.59 Splits', ' 0)']","[' 11504456 (Deleted', ' 11380342)']","[' 192      (Ratio', '   0.00%)']","[' 27420    (Ratio', '   0.24%)']","[' 11504456 (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11504456 (Average', ' 13.63 Max', ' 3413 Sum', ' 156783464)']","[' 11503942 (Average', ' 13.59 Max', ' 3413 Sum', ' 156383901 Ratio', '  99.75%)']","[' 514      (Average', ' 777.36 Max', ' 3073 Sum', ' 399563 Ratio', '   0.25%)']", ,[' 92719   '],[' 6063    '],[' 85992   '],[' 39011   '],"[' 114722   (Atom=Atom', ' 29793 Body=Body', ' 20219 Other', ' 64710)']",[' Yes'],"[' 7505     (Eliminated', '    0 Frozen', ' 7505)']","[' 4596     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.04024'],[' 0'], ,[' 357.609'],[' 0'],[' 15.6357'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.27304e+08'],[' 3.44466e+08'],[' 0'],[' 2.00589e+10'],[' 0'],[' 0'],1312,2410,3622,3,0
Solving...,TA58, ,[' 1'],[' 3081+'],[' 1544'],"[' 598.384s (Solving', ' 589.05s 1st Model', ' 18.65s Unsat', ' 0.00s)']", 593.313s, ,[' 184685464'],"[' 10989098 (Analyzed', ' 10723649)']","[' 20388    (Average', ' 525.98 Last', ' 5868)']",[' 3495.0  '],"[' 1544     (Average Length', ' 821.65 Splits', ' 0)']","[' 10723649 (Deleted', ' 10606930)']","[' 273      (Ratio', '   0.00%)']","[' 31368    (Ratio', '   0.29%)']","[' 10723649 (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10723649 (Average', ' 16.80 Max', ' 3522 Sum', ' 180156024)']","[' 10723085 (Average', ' 16.75 Max', ' 3522 Sum', ' 179616197 Ratio', '  99.70%)']","[' 564      (Average', ' 957.14 Max', ' 1048 Sum', ' 539827 Ratio', '   0.30%)']", ,[' 93455   '],[' 6136    '],[' 86960   '],[' 39571   '],"[' 116576   (Atom=Atom', ' 30347 Body=Body', ' 20438 Other', ' 65791)']",[' Yes'],"[' 7813     (Eliminated', '    0 Frozen', ' 7813)']","[' 4457     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.30838'],[' 0'], ,[' 345.514'],[' 0'],[' 16.3158'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.69083e+08'],[' 3.81152e+08'],[' 0'],[' 1.88138e+10'],[' 0'],[' 0'],1337,2587,3746,3,0
Solving...,TA59, ,[' 1'],[' 2901+'],[' 1454'],"[' 598.230s (Solving', ' 589.10s 1st Model', ' 14.70s Unsat', ' 0.00s)']", 592.125s, ,[' 163432838'],"[' 10903193 (Analyzed', ' 10568744)']","[' 19476    (Average', ' 542.65 Last', ' 4731)']",[' 3499.3  '],"[' 1454     (Average Length', ' 783.07 Splits', ' 0)']","[' 10568744 (Deleted', ' 10461659)']","[' 272      (Ratio', '   0.00%)']","[' 30476    (Ratio', '   0.29%)']","[' 10568744 (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10568744 (Average', ' 15.04 Max', ' 3269 Sum', ' 159002499)']","[' 10568145 (Average', ' 15.00 Max', ' 3269 Sum', ' 158497454 Ratio', '  99.68%)']","[' 599      (Average', ' 843.15 Max', ' 940 Sum', ' 505045 Ratio', '   0.32%)']", ,[' 93037   '],[' 6097    '],[' 86482   '],[' 39267   '],"[' 115728   (Atom=Atom', ' 30101 Body=Body', ' 20321 Other', ' 65306)']",[' Yes'],"[' 7685     (Eliminated', '    0 Frozen', ' 7685)']","[' 5032     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.27925'],[' 0'], ,[' 358.382'],[' 0'],[' 15.9102'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.29253e+08'],[' 3.47446e+08'],[' 0'],[' 1.95099e+10'],[' 0'],[' 0'],1251,2388,3644,3,0
