Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 4641+'],[' 2324'],"[' 599.127s (Solving', ' 578.93s 1st Model', ' 114.38s Unsat', ' 0.01s)']",[' 594.000s'], ,[' 247427169'],"[' 6274074  (Analyzed', ' 5442976)']","[' 12579    (Average', ' 432.70 Last', ' 202092)']",[' 4831.7  '],"[' 2324     (Average Length', ' 1230.36 Splits', ' 0)']","[' 5442976  (Deleted', ' 5357905)']","[' 310      (Ratio', '   0.01%)']","[' 38464    (Ratio', '   0.71%)']","[' 5442976  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5442976  (Average', ' 43.87 Max', ' 4763 Sum', ' 238774288)']","[' 5442280  (Average', ' 43.69 Max', ' 4763 Sum', ' 237823219 Ratio', '  99.60%)']","[' 696      (Average', ' 1366.48 Max', ' 1588 Sum', ' 951069 Ratio', '   0.40%)']", ,[' 124046  '],[' 8045    '],[' 115572  '],[' 52427   '],"[' 154243   (Atom=Atom', ' 40194 Body=Body', ' 26847 Other', ' 87202)']",[' Yes'],"[' 10468    (Eliminated', '    0 Frozen', ' 10468)']","[' 5559     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.63773'],[' 0'], ,[' 269.239'],[' 0'],[' 18.4341'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.57115e+08'],[' 5.502e+08'],[' 0'],[' 1.14832e+10'],[' 0'],[' 0'],[' 1360 '],[' 2506 '],[' 3588 '],[' 3 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 4991+'],[' 2499'],"[' 600.495s (Solving', ' 578.49s 1st Model', ' 44.55s Unsat', ' 0.00s)']",[' 594.609s'], ,[' 246826645'],"[' 6221816  (Analyzed', ' 5269460)']","[' 11281    (Average', ' 467.11 Last', ' 27766)']",[' 5138.8  '],"[' 2499     (Average Length', ' 1307.57 Splits', ' 0)']","[' 5269460  (Deleted', ' 5181634)']","[' 328      (Ratio', '   0.01%)']","[' 41563    (Ratio', '   0.79%)']","[' 5269460  (Average Length', '   19.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5269460  (Average', ' 44.92 Max', ' 4921 Sum', ' 236703460)']","[' 5268753  (Average', ' 44.73 Max', ' 4921 Sum', ' 235701209 Ratio', '  99.58%)']","[' 707      (Average', ' 1417.61 Max', ' 1649 Sum', ' 1002251 Ratio', '   0.42%)']", ,[' 125383  '],[' 8202    '],[' 116986  '],[' 53388   '],"[' 157140   (Atom=Atom', ' 40997 Body=Body', ' 27318 Other', ' 88825)']",[' Yes'],"[' 10781    (Eliminated', '    0 Frozen', ' 10781)']","[' 5860     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.89432'],[' 0'], ,[' 265.523'],[' 0'],[' 18.3591'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.36438e+08'],[' 5.40867e+08'],[' 0'],[' 1.15154e+10'],[' 0'],[' 0'],[' 1508 '],[' 2786 '],[' 3954 '],[' 3 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 4597+'],[' 2302'],"[' 599.363s (Solving', ' 579.29s 1st Model', ' 182.29s Unsat', ' 0.00s)']",[' 594.469s'], ,[' 245927555'],"[' 5256259  (Analyzed', ' 4589189)']","[' 11024    (Average', ' 416.29 Last', ' 336807)']",[' 4872.5  '],"[' 2302     (Average Length', ' 1208.25 Splits', ' 0)']","[' 4589189  (Deleted', ' 4523059)']","[' 265      (Ratio', '   0.01%)']","[' 35255    (Ratio', '   0.77%)']","[' 4589189  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4589189  (Average', ' 51.73 Max', ' 4915 Sum', ' 237381331)']","[' 4588521  (Average', ' 51.53 Max', ' 4915 Sum', ' 236470824 Ratio', '  99.62%)']","[' 668      (Average', ' 1363.03 Max', ' 1519 Sum', ' 910507 Ratio', '   0.38%)']", ,[' 124830  '],[' 8179    '],[' 116315  '],[' 53069   '],"[' 156377   (Atom=Atom', ' 40708 Body=Body', ' 27249 Other', ' 88420)']",[' Yes'],"[' 10625    (Eliminated', '    0 Frozen', ' 10625)']","[' 5290     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.48152'],[' 0'], ,[' 277.45'],[' 0'],[' 18.4474'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.65097e+08'],[' 5.65236e+08'],[' 0'],[' 1.24277e+10'],[' 0'],[' 0'],[' 1172 '],[' 2396 '],[' 3472 '],[' 3 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 4737+'],[' 2372'],"[' 599.704s (Solving', ' 578.65s 1st Model', ' 59.78s Unsat', ' 0.00s)']",[' 594.094s'], ,[' 237013545'],"[' 6168928  (Analyzed', ' 5441152)']","[' 11799    (Average', ' 461.15 Last', ' 48204)']",[' 5018.7  '],"[' 2372     (Average Length', ' 1226.23 Splits', ' 0)']","[' 5441152  (Deleted', ' 5356790)']","[' 275      (Ratio', '   0.01%)']","[' 36773    (Ratio', '   0.68%)']","[' 5441152  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5441152  (Average', ' 41.87 Max', ' 4895 Sum', ' 227836896)']","[' 5440430  (Average', ' 41.70 Max', ' 4895 Sum', ' 226901111 Ratio', '  99.59%)']","[' 722      (Average', ' 1296.10 Max', ' 2320 Sum', ' 935785 Ratio', '   0.41%)']", ,[' 124288  '],[' 8080    '],[' 115828  '],[' 52637   '],"[' 154961   (Atom=Atom', ' 40382 Body=Body', ' 26952 Other', ' 87627)']",[' Yes'],"[' 10528    (Eliminated', '    0 Frozen', ' 10528)']","[' 5199     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.71165'],[' 0'], ,[' 275.898'],[' 0'],[' 18.2716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.9704e+08'],[' 4.9795e+08'],[' 0'],[' 1.14556e+10'],[' 0'],[' 0'],[' 1335 '],[' 2488 '],[' 3504 '],[' 3 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 4997+'],[' 2502'],"[' 599.721s (Solving', ' 577.64s 1st Model', ' 72.32s Unsat', ' 0.00s)']",[' 592.656s'], ,[' 209810464'],"[' 5348048  (Analyzed', ' 4343191)']","[' 9793     (Average', ' 443.50 Last', ' 162198)']",[' 5030.0  '],"[' 2502     (Average Length', ' 1319.06 Splits', ' 0)']","[' 4343191  (Deleted', ' 4267563)']","[' 226      (Ratio', '   0.01%)']","[' 35883    (Ratio', '   0.83%)']","[' 4343191  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4343191  (Average', ' 46.05 Max', ' 4947 Sum', ' 200024482)']","[' 4342537  (Average', ' 45.83 Max', ' 4814 Sum', ' 199045714 Ratio', '  99.51%)']","[' 654      (Average', ' 1496.59 Max', ' 1742 Sum', ' 978768 Ratio', '   0.49%)']", ,[' 125182  '],[' 8205    '],[' 116851  '],[' 53301   '],"[' 157263   (Atom=Atom', ' 41012 Body=Body', ' 27327 Other', ' 88924)']",[' Yes'],"[' 10799    (Eliminated', '    0 Frozen', ' 10799)']","[' 5724     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.99893'],[' 0'], ,[' 279.478'],[' 0'],[' 18.0543'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.40297e+08'],[' 4.58315e+08'],[' 0'],[' 1.10119e+10'],[' 0'],[' 0'],[' 1257 '],[' 2370 '],[' 3602 '],[' 3 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 5397+'],[' 2702'],"[' 3992.283s (Solving', ' 3971.36s 1st Model', ' 228.66s Unsat', ' 0.00s)']",[' 590.297s'], ,[' 237814773'],"[' 4168635  (Analyzed', ' 3399706)']","[' 9099     (Average', ' 373.64 Last', ' 154812)']",[' 5200.8  '],"[' 2702     (Average Length', ' 1398.66 Splits', ' 0)']","[' 3399706  (Deleted', ' 3334841)']","[' 262      (Ratio', '   0.01%)']","[' 39027    (Ratio', '   1.15%)']","[' 3399706  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3399706  (Average', ' 66.90 Max', ' 4961 Sum', ' 227430893)']","[' 3399015  (Average', ' 66.60 Max', ' 4961 Sum', ' 226428333 Ratio', '  99.56%)']","[' 691      (Average', ' 1450.88 Max', ' 1712 Sum', ' 1002560 Ratio', '   0.44%)']", ,[' 125475  '],[' 8212    '],[' 117283  '],[' 53577   '],"[' 157989   (Atom=Atom', ' 41240 Body=Body', ' 27348 Other', ' 89401)']",[' Yes'],"[' 10969    (Eliminated', '    0 Frozen', ' 10969)']","[' 5289     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.68621'],[' 0'], ,[' 252.919'],[' 0'],[' 18.6457'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.57983e+08'],[' 5.60169e+08'],[' 0'],[' 9.46897e+09'],[' 0'],[' 0'],[' 1280 '],[' 2444 '],[' 3535 '],[' 3 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 4351+'],[' 2179'],"[' 603.126s (Solving', ' 590.78s 1st Model', ' 26.28s Unsat', ' 0.00s)']",[' 601.484s'], ,[' 270943389'],"[' 7121298  (Analyzed', ' 6536643)']","[' 13800    (Average', ' 473.67 Last', ' 35792)']",[' 4858.2  '],"[' 2179     (Average Length', ' 1160.70 Splits', ' 0)']","[' 6536643  (Deleted', ' 6448280)']","[' 321      (Ratio', '   0.00%)']","[' 36759    (Ratio', '   0.56%)']","[' 6536643  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6536643  (Average', ' 40.18 Max', ' 4780 Sum', ' 262649655)']","[' 6535977  (Average', ' 40.06 Max', ' 4780 Sum', ' 261825946 Ratio', '  99.69%)']","[' 666      (Average', ' 1236.80 Max', ' 1408 Sum', ' 823709 Ratio', '   0.31%)']", ,[' 124382  '],[' 8144    '],[' 115839  '],[' 52654   '],"[' 155370   (Atom=Atom', ' 40445 Body=Body', ' 27144 Other', ' 87781)']",[' Yes'],"[' 10486    (Eliminated', '    0 Frozen', ' 10486)']","[' 5782     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.61826'],[' 0'], ,[' 309.821'],[' 0'],[' 18.5478'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.19018e+08'],[' 6.10374e+08'],[' 0'],[' 1.69074e+10'],[' 0'],[' 0'],[' 1342 '],[' 2718 '],[' 3883 '],[' 3 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 4983+'],[' 2495'],"[' 603.618s (Solving', ' 589.12s 1st Model', ' 45.43s Unsat', ' 0.00s)']",[' 602.188s'], ,[' 286062413'],"[' 8441064  (Analyzed', ' 7729591)']","[' 16191    (Average', ' 477.40 Last', ' 38797)']",[' 5045.5  '],"[' 2495     (Average Length', ' 1286.90 Splits', ' 0)']","[' 7729591  (Deleted', ' 7625339)']","[' 307      (Ratio', '   0.00%)']","[' 38182    (Ratio', '   0.49%)']","[' 7729591  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7729591  (Average', ' 35.75 Max', ' 4834 Sum', ' 276362167)']","[' 7728935  (Average', ' 35.64 Max', ' 4834 Sum', ' 275510168 Ratio', '  99.69%)']","[' 656      (Average', ' 1298.78 Max', ' 1480 Sum', ' 851999 Ratio', '   0.31%)']", ,[' 124168  '],[' 8048    '],[' 115866  '],[' 52566   '],"[' 154802   (Atom=Atom', ' 40377 Body=Body', ' 26856 Other', ' 87569)']",[' Yes'],"[' 10621    (Eliminated', '    0 Frozen', ' 10621)']","[' 5231     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.05815'],[' 0'], ,[' 287.763'],[' 0'],[' 18.8639'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.6494e+08'],[' 6.39554e+08'],[' 0'],[' 1.42932e+10'],[' 0'],[' 0'],[' 1209 '],[' 2299 '],[' 3417 '],[' 3 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 4417+'],[' 2212'],"[' 603.196s (Solving', ' 590.50s 1st Model', ' 22.87s Unsat', ' 0.00s)']",[' 601.313s'], ,[' 269696688'],"[' 7203226  (Analyzed', ' 6485658)']","[' 11602    (Average', ' 559.01 Last', ' 27231)']",[' 4959.2  '],"[' 2212     (Average Length', ' 1152.59 Splits', ' 0)']","[' 6485658  (Deleted', ' 6396509)']","[' 321      (Ratio', '   0.00%)']","[' 41727    (Ratio', '   0.64%)']","[' 6485658  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6485658  (Average', ' 40.27 Max', ' 4976 Sum', ' 261168629)']","[' 6484845  (Average', ' 40.11 Max', ' 4976 Sum', ' 260138418 Ratio', '  99.61%)']","[' 813      (Average', ' 1267.17 Max', ' 1378 Sum', ' 1030211 Ratio', '   0.39%)']", ,[' 125090  '],[' 8223    '],[' 116475  '],[' 53155   '],"[' 156681   (Atom=Atom', ' 40794 Body=Body', ' 27381 Other', ' 88506)']",[' Yes'],"[' 10569    (Eliminated', '    0 Frozen', ' 10569)']","[' 5663     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.73242'],[' 0'], ,[' 305.751'],[' 0'],[' 18.607'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.02323e+08'],[' 5.96483e+08'],[' 0'],[' 1.63192e+10'],[' 0'],[' 0'],[' 1442 '],[' 2789 '],[' 4057 '],[' 3 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 4533+'],[' 2270'],"[' 603.146s (Solving', ' 590.58s 1st Model', ' 74.43s Unsat', ' 0.00s)']",[' 601.656s'], ,[' 265070185'],"[' 6294604  (Analyzed', ' 5785516)']","[' 13191    (Average', ' 438.60 Last', ' 66257)']",[' 4821.0  '],"[' 2270     (Average Length', ' 1194.09 Splits', ' 0)']","[' 5785516  (Deleted', ' 5701202)']","[' 272      (Ratio', '   0.00%)']","[' 37543    (Ratio', '   0.65%)']","[' 5785516  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5785516  (Average', ' 44.38 Max', ' 4919 Sum', ' 256758542)']","[' 5784881  (Average', ' 44.23 Max', ' 4919 Sum', ' 255899497 Ratio', '  99.67%)']","[' 635      (Average', ' 1352.83 Max', ' 1503 Sum', ' 859045 Ratio', '   0.33%)']", ,[' 125210  '],[' 8227    '],[' 116657  '],[' 53249   '],"[' 156907   (Atom=Atom', ' 40868 Body=Body', ' 27393 Other', ' 88646)']",[' Yes'],"[' 10645    (Eliminated', '    0 Frozen', ' 10645)']","[' 5778     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.68236'],[' 0'], ,[' 306.509'],[' 0'],[' 18.7186'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.40519e+08'],[' 6.30831e+08'],[' 0'],[' 1.61503e+10'],[' 0'],[' 0'],[' 1196 '],[' 2505 '],[' 3845 '],[' 3 '],[' 0 ']
