Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 2277+'],[' 1144'],"[' 591.710s (Solving', ' 586.37s 1st Model', ' 4.34s Unsat', ' 104.50s)']",[' 589.672s'], ,[' 59723560'],"[' 23053603 (Analyzed', ' 22942239)']","[' 42496    (Average', ' 539.87 Last', ' 21471)']",[' 2948.0  '],"[' 1144     (Average Length', ' 663.29 Splits', ' 0)']","[' 22942239 (Deleted', ' 22684745)']","[' 39       (Ratio', '   0.00%)']","[' 5849     (Ratio', '   0.03%)']","[' 22942239 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22942239 (Average', '  2.47 Max', ' 3642 Sum', ' 56683407)']","[' 22941653 (Average', '  2.45 Max', ' 3642 Sum', ' 56304432 Ratio', '  99.33%)']","[' 586      (Average', ' 646.72 Max', ' 859 Sum', ' 378975 Ratio', '   0.67%)']", ,[' 98991   '],[' 4801    '],[' 90438   '],[' 36558   '],"[' 97254    (Atom=Atom', ' 26960 Body=Body', ' 17283 Other', ' 53011)']",[' Yes'],"[' 6460     (Eliminated', '    0 Frozen', ' 6460)']","[' 1000     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1207'],[' 0'], ,[' 414.595'],[' 0'],[' 10.5737'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48106e+08'],[' 8.53087e+07'],[' 0'],[' 2.8371e+10'],[' 0'],[' 0'],[' 932 '],[' 1855 '],[' 2582 '],[' 3323 '],[' 4022 '],[' 4 '],[' 1 ']
Solving...,TA62, ,[' 1'],[' 2945+'],[' 1478'],"[' 572.219s (Solving', ' 565.37s 1st Model', ' 7.17s Unsat', ' 87.17s)']",[' 568.719s'], ,[' 57130204'],"[' 18260371 (Analyzed', ' 18113527)']","[' 35169    (Average', ' 515.04 Last', ' 196286)']",[' 2868.1  '],"[' 1478     (Average Length', ' 798.15 Splits', ' 0)']","[' 18113527 (Deleted', ' 17902475)']","[' 54       (Ratio', '   0.00%)']","[' 7195     (Ratio', '   0.04%)']","[' 18113527 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18113527 (Average', '  2.98 Max', ' 3524 Sum', ' 53994609)']","[' 18112842 (Average', '  2.95 Max', ' 3524 Sum', ' 53352352 Ratio', '  98.81%)']","[' 685      (Average', ' 937.60 Max', ' 1117 Sum', ' 642257 Ratio', '   1.19%)']", ,[' 99858   '],[' 4883    '],[' 91581   '],[' 37269   '],"[' 99491    (Atom=Atom', ' 27622 Body=Body', ' 17529 Other', ' 54340)']",[' Yes'],"[' 6814     (Eliminated', '    0 Frozen', ' 6814)']","[' 1157     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.48461'],[' 0'], ,[' 403.733'],[' 0'],[' 11.2789'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36193e+08'],[' 8.38155e+07'],[' 0'],[' 2.48674e+10'],[' 0'],[' 0'],[' 805 '],[' 1661 '],[' 2402 '],[' 3187 '],[' 3977 '],[' 4 '],[' 1 ']
Solving...,TA63, ,[' 1'],[' 2811+'],[' 1411'],"[' 601.813s (Solving', ' 595.51s 1st Model', ' 5.12s Unsat', ' 0.00s)']",[' 599.203s'], ,[' 62825862'],"[' 24179074 (Analyzed', ' 24003380)']","[' 47055    (Average', ' 510.11 Last', ' 45291)']",[' 3063.4  '],"[' 1411     (Average Length', ' 782.36 Splits', ' 0)']","[' 24003380 (Deleted', ' 23715627)']","[' 36       (Ratio', '   0.00%)']","[' 6360     (Ratio', '   0.03%)']","[' 24003380 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24003380 (Average', '  2.46 Max', ' 3699 Sum', ' 59112758)']","[' 24002800 (Average', '  2.44 Max', ' 3699 Sum', ' 58667585 Ratio', '  99.25%)']","[' 580      (Average', ' 767.54 Max', ' 1036 Sum', ' 445173 Ratio', '   0.75%)']", ,[' 99528   '],[' 4874    '],[' 91292   '],[' 37121   '],"[' 99110    (Atom=Atom', ' 27519 Body=Body', ' 17502 Other', ' 54089)']",[' Yes'],"[' 6772     (Eliminated', '    0 Frozen', ' 6772)']","[' 1165     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.34702'],[' 0'], ,[' 424.096'],[' 0'],[' 11.412'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46522e+08'],[' 8.29694e+07'],[' 0'],[' 2.914e+10'],[' 0'],[' 0'],[' 935 '],[' 1653 '],[' 2568 '],[' 3183 '],[' 3934 '],[' 5 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 2387+'],[' 1199'],"[' 601.602s (Solving', ' 595.99s 1st Model', ' 4.77s Unsat', ' 0.00s)']",[' 600.375s'], ,[' 66237286'],"[' 22387412 (Analyzed', ' 22258390)']","[' 42132    (Average', ' 528.30 Last', ' 70825)']",[' 2868.5  '],"[' 1199     (Average Length', ' 671.95 Splits', ' 0)']","[' 22258390 (Deleted', ' 21998896)']","[' 43       (Ratio', '   0.00%)']","[' 6852     (Ratio', '   0.03%)']","[' 22258390 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22258390 (Average', '  2.84 Max', ' 3410 Sum', ' 63195348)']","[' 22257691 (Average', '  2.82 Max', ' 3410 Sum', ' 62746344 Ratio', '  99.29%)']","[' 699      (Average', ' 642.35 Max', ' 827 Sum', ' 449004 Ratio', '   0.71%)']", ,[' 98904   '],[' 4810    '],[' 90477   '],[' 36567   '],"[' 97497    (Atom=Atom', ' 27051 Body=Body', ' 17310 Other', ' 53136)']",[' Yes'],"[' 6507     (Eliminated', '    0 Frozen', ' 6507)']","[' 1388     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1909'],[' 0'], ,[' 431.314'],[' 0'],[' 12.3474'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61056e+08'],[' 9.8511e+07'],[' 0'],[' 3.13819e+10'],[' 0'],[' 0'],[' 1059 '],[' 1774 '],[' 2483 '],[' 3299 '],[' 3783 '],[' 5 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 2805+'],[' 1408'],"[' 514.490s (Solving', ' 508.55s 1st Model', ' 4.95s Unsat', ' 30.81s)']",[' 512.922s'], ,[' 46145321'],"[' 16893705 (Analyzed', ' 16679609)']","[' 33174    (Average', ' 502.79 Last', ' 13378)']",[' 2949.9  '],"[' 1408     (Average Length', ' 784.21 Splits', ' 0)']","[' 16679609 (Deleted', ' 16481127)']","[' 40       (Ratio', '   0.00%)']","[' 4866     (Ratio', '   0.03%)']","[' 16679609 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16679609 (Average', '  2.58 Max', ' 3656 Sum', ' 43037067)']","[' 16678860 (Average', '  2.54 Max', ' 3656 Sum', ' 42365142 Ratio', '  98.44%)']","[' 749      (Average', ' 897.10 Max', ' 1108 Sum', ' 671925 Ratio', '   1.56%)']", ,[' 99606   '],[' 4850    '],[' 91234   '],[' 37116   '],"[' 98704    (Atom=Atom', ' 27420 Body=Body', ' 17430 Other', ' 53854)']",[' Yes'],"[' 6718     (Eliminated', '    0 Frozen', ' 6718)']","[' 739      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24177'],[' 0'], ,[' 383.888'],[' 0'],[' 10.7174'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05309e+08'],[' 6.29598e+07'],[' 0'],[' 2.77888e+10'],[' 0'],[' 0'],[' 791 '],[' 1536 '],[' 2296 '],[' 3052 '],[' 3814 '],[' 4 '],[' 1 ']
Solving...,TA66, ,[' 1'],[' 2595+'],[' 1303'],"[' 601.657s (Solving', ' 595.95s 1st Model', ' 4.71s Unsat', ' 0.00s)']",[' 600.609s'], ,[' 71188864'],"[' 22425000 (Analyzed', ' 22268665)']","[' 41455    (Average', ' 537.18 Last', ' 25547)']",[' 2786.2  '],"[' 1303     (Average Length', ' 727.40 Splits', ' 0)']","[' 22268665 (Deleted', ' 22043281)']","[' 49       (Ratio', '   0.00%)']","[' 8161     (Ratio', '   0.04%)']","[' 22268665 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22268665 (Average', '  3.06 Max', ' 3332 Sum', ' 68149960)']","[' 22267930 (Average', '  3.03 Max', ' 3332 Sum', ' 67552313 Ratio', '  99.12%)']","[' 735      (Average', ' 813.13 Max', ' 975 Sum', ' 597647 Ratio', '   0.88%)']", ,[' 99453   '],[' 4883    '],[' 91115   '],[' 36980   '],"[' 98902    (Atom=Atom', ' 27447 Body=Body', ' 17529 Other', ' 53926)']",[' Yes'],"[' 6671     (Eliminated', '    0 Frozen', ' 6671)']","[' 1593     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20882'],[' 0'], ,[' 430.325'],[' 0'],[' 11.8897'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69686e+08'],[' 1.06258e+08'],[' 0'],[' 2.9387e+10'],[' 0'],[' 0'],[' 912 '],[' 1664 '],[' 2413 '],[' 3153 '],[' 3927 '],[' 5 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 2649+'],[' 1330'],"[' 601.645s (Solving', ' 595.77s 1st Model', ' 4.29s Unsat', ' 0.00s)']",[' 599.750s'], ,[' 59214454'],"[' 22442514 (Analyzed', ' 22270169)']","[' 41610    (Average', ' 535.21 Last', ' 189857)']",[' 2939.7  '],"[' 1330     (Average Length', ' 737.16 Splits', ' 0)']","[' 22270169 (Deleted', ' 22042525)']","[' 23       (Ratio', '   0.00%)']","[' 5124     (Ratio', '   0.02%)']","[' 22270169 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22270169 (Average', '  2.51 Max', ' 3577 Sum', ' 55896822)']","[' 22269452 (Average', '  2.49 Max', ' 3577 Sum', ' 55362190 Ratio', '  99.04%)']","[' 717      (Average', ' 745.65 Max', ' 979 Sum', ' 534632 Ratio', '   0.96%)']", ,[' 99361   '],[' 4853    '],[' 90995   '],[' 36919   '],"[' 98503    (Atom=Atom', ' 27354 Body=Body', ' 17439 Other', ' 53710)']",[' Yes'],"[' 6639     (Eliminated', '    0 Frozen', ' 6639)']","[' 924      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24951'],[' 0'], ,[' 435.1'],[' 0'],[' 11.7828'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42592e+08'],[' 8.29324e+07'],[' 0'],[' 3.05633e+10'],[' 0'],[' 0'],[' 1055 '],[' 1728 '],[' 2603 '],[' 3300 '],[' 3954 '],[' 5 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 2573+'],[' 1292'],"[' 490.440s (Solving', ' 484.62s 1st Model', ' 5.14s Unsat', ' 2.91s)']",[' 489.344s'], ,[' 42981085'],"[' 20127781 (Analyzed', ' 19904039)']","[' 38191    (Average', ' 521.17 Last', ' 185419)']",[' 3238.2  '],"[' 1292     (Average Length', ' 715.65 Splits', ' 0)']","[' 19904039 (Deleted', ' 19640397)']","[' 10       (Ratio', '   0.00%)']","[' 3134     (Ratio', '   0.02%)']","[' 19904039 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19904039 (Average', '  1.97 Max', ' 4000 Sum', ' 39182378)']","[' 19903616 (Average', '  1.95 Max', ' 4000 Sum', ' 38910432 Ratio', '  99.31%)']","[' 423      (Average', ' 642.90 Max', ' 2052 Sum', ' 271946 Ratio', '   0.69%)']", ,[' 98618   '],[' 4751    '],[' 90251   '],[' 36439   '],"[' 96851    (Atom=Atom', ' 26908 Body=Body', ' 17133 Other', ' 52810)']",[' Yes'],"[' 6505     (Eliminated', '    0 Frozen', ' 6505)']","[' 481      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26101'],[' 0'], ,[' 341.725'],[' 0'],[' 8.45387'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07438e+08'],[' 5.78601e+07'],[' 0'],[' 2.32864e+10'],[' 0'],[' 0'],[' 960 '],[' 1524 '],[' 2258 '],[' 2891 '],[' 3627 '],[' 4 '],[' 1 ']
Solving...,TA69, ,[' 1'],[' 2379+'],[' 1195'],"[' 601.579s (Solving', ' 596.16s 1st Model', ' 4.73s Unsat', ' 0.00s)']",[' 600.641s'], ,[' 71690002'],"[' 22885058 (Analyzed', ' 22732250)']","[' 42127    (Average', ' 539.61 Last', ' 116253)']",[' 2949.5  '],"[' 1195     (Average Length', ' 674.77 Splits', ' 0)']","[' 22732250 (Deleted', ' 22503589)']","[' 26       (Ratio', '   0.00%)']","[' 7067     (Ratio', '   0.03%)']","[' 22732250 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22732250 (Average', '  3.01 Max', ' 3594 Sum', ' 68498800)']","[' 22731557 (Average', '  2.99 Max', ' 3594 Sum', ' 68011191 Ratio', '  99.29%)']","[' 693      (Average', ' 703.62 Max', ' 864 Sum', ' 487609 Ratio', '   0.71%)']", ,[' 99610   '],[' 4916    '],[' 91178   '],[' 37088   '],"[' 99031    (Atom=Atom', ' 27471 Body=Body', ' 17628 Other', ' 53932)']",[' Yes'],"[' 6618     (Eliminated', '    0 Frozen', ' 6618)']","[' 1339     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.16918'],[' 0'], ,[' 430.28'],[' 0'],[' 11.4813'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62262e+08'],[' 1.01797e+08'],[' 0'],[' 2.91322e+10'],[' 0'],[' 0'],[' 1135 '],[' 1828 '],[' 2793 '],[' 3518 '],[' 4267 '],[' 5 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 2635+'],[' 1323'],"[' 601.716s (Solving', ' 596.05s 1st Model', ' 4.90s Unsat', ' 0.00s)']",[' 600.422s'], ,[' 67047352'],"[' 23030254 (Analyzed', ' 22865526)']","[' 43664    (Average', ' 523.67 Last', ' 37483)']",[' 2955.8  '],"[' 1323     (Average Length', ' 744.39 Splits', ' 0)']","[' 22865526 (Deleted', ' 22603832)']","[' 20       (Ratio', '   0.00%)']","[' 6727     (Ratio', '   0.03%)']","[' 22865526 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22865526 (Average', '  2.79 Max', ' 3836 Sum', ' 63700463)']","[' 22864895 (Average', '  2.76 Max', ' 3836 Sum', ' 63163978 Ratio', '  99.16%)']","[' 631      (Average', ' 850.21 Max', ' 1049 Sum', ' 536485 Ratio', '   0.84%)']", ,[' 100416  '],[' 4994    '],[' 92047   '],[' 37573   '],"[' 100849   (Atom=Atom', ' 27911 Body=Body', ' 17862 Other', ' 55076)']",[' Yes'],"[' 6849     (Eliminated', '    0 Frozen', ' 6849)']","[' 1143     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.15167'],[' 0'], ,[' 433.328'],[' 0'],[' 12.0587'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48733e+08'],[' 8.78345e+07'],[' 0'],[' 3.01555e+10'],[' 0'],[' 0'],[' 766 '],[' 1789 '],[' 2877 '],[' 3675 '],[' 4562 '],[' 5 '],[' 0 ']
