Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 5761+'],[' 2887'],"[' 610.006s (Solving', ' 576.47s 1st Model', ' 50.28s Unsat', ' 0.00s)']",[' 607.984s'], ,[' 231745096'],"[' 6626750  (Analyzed', ' 5982551)']","[' 13381    (Average', ' 447.09 Last', ' 84527)']",[' 7689.9  '],"[' 2887     (Average Length', ' 1538.98 Splits', ' 0)']","[' 5982551  (Deleted', ' 5872230)']","[' 91       (Ratio', '   0.00%)']","[' 41386    (Ratio', '   0.69%)']","[' 5982551  (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5982551  (Average', ' 36.25 Max', ' 10394 Sum', ' 216874541)']","[' 5980004  (Average', ' 35.56 Max', ' 10394 Sum', ' 212751142 Ratio', '  98.10%)']","[' 2547     (Average', ' 1618.92 Max', ' 2131 Sum', ' 4123399 Ratio', '   1.90%)']", ,[' 329106  '],[' 16725   '],[' 295718  '],[' 120263  '],"[' 307733   (Atom=Atom', ' 83488 Body=Body', ' 55953 Other', ' 168292)']",[' Yes'],"[' 20644    (Eliminated', '    0 Frozen', ' 20644)']","[' 7856     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.04016'],[' 0'], ,[' 303.081'],[' 0'],[' 16.2821'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.43306e+08'],[' 3.8186e+08'],[' 0'],[' 1.80809e+10'],[' 0'],[' 0'],[' 1559 '],[' 2814 '],[' 4072 '],[' 5211 '],[' 6406 '],[' 7466 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 5315+'],[' 2664'],"[' 608.906s (Solving', ' 580.11s 1st Model', ' 70.37s Unsat', ' 0.00s)']",[' 606.891s'], ,[' 201679231'],"[' 7283838  (Analyzed', ' 6784160)']","[' 15368    (Average', ' 441.45 Last', ' 135143)']",[' 7437.3  '],"[' 2664     (Average Length', ' 1432.00 Splits', ' 0)']","[' 6784160  (Deleted', ' 6691680)']","[' 88       (Ratio', '   0.00%)']","[' 31843    (Ratio', '   0.47%)']","[' 6784160  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6784160  (Average', ' 27.87 Max', ' 10991 Sum', ' 189106925)']","[' 6781487  (Average', ' 27.22 Max', ' 10991 Sum', ' 184668144 Ratio', '  97.65%)']","[' 2673     (Average', ' 1660.60 Max', ' 2057 Sum', ' 4438781 Ratio', '   2.35%)']", ,[' 326455  '],[' 16480   '],[' 293248  '],[' 118639  '],"[' 303015   (Atom=Atom', ' 82285 Body=Body', ' 55218 Other', ' 165512)']",[' Yes'],"[' 20205    (Eliminated', '    0 Frozen', ' 20205)']","[' 6066     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.22507'],[' 0'], ,[' 329.875'],[' 0'],[' 15.2111'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.04966e+08'],[' 3.44635e+08'],[' 0'],[' 2.01231e+10'],[' 0'],[' 0'],[' 1144 '],[' 2417 '],[' 3686 '],[' 4793 '],[' 5989 '],[' 7014 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 4727+'],[' 2370'],"[' 608.730s (Solving', ' 581.39s 1st Model', ' 38.08s Unsat', ' 0.00s)']",[' 606.219s'], ,[' 197639910'],"[' 9640713  (Analyzed', ' 8823912)']","[' 18781    (Average', ' 469.83 Last', ' 50354)']",[' 8568.4  '],"[' 2370     (Average Length', ' 1338.57 Splits', ' 0)']","[' 8823912  (Deleted', ' 8713638)']","[' 31       (Ratio', '   0.00%)']","[' 19265    (Ratio', '   0.22%)']","[' 8823912  (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8823912  (Average', ' 20.69 Max', ' 12115 Sum', ' 182539234)']","[' 8821344  (Average', ' 20.29 Max', ' 12115 Sum', ' 179059487 Ratio', '  98.09%)']","[' 2568     (Average', ' 1355.04 Max', ' 1862 Sum', ' 3479747 Ratio', '   1.91%)']", ,[' 326918  '],[' 16566   '],[' 293427  '],[' 118788  '],"[' 303674   (Atom=Atom', ' 82335 Body=Body', ' 55476 Other', ' 165863)']",[' Yes'],"[' 20049    (Eliminated', '    0 Frozen', ' 20049)']","[' 3355     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.94743'],[' 0'], ,[' 361.552'],[' 0'],[' 15.6381'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.81676e+08'],[' 2.35114e+08'],[' 0'],[' 2.29883e+10'],[' 0'],[' 0'],[' 1749 '],[' 3166 '],[' 4314 '],[' 5617 '],[' 6726 '],[' 7930 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 5419+'],[' 2716'],"[' 610.199s (Solving', ' 576.41s 1st Model', ' 49.92s Unsat', ' 0.00s)']",[' 608.578s'], ,[' 177348319'],"[' 8416043  (Analyzed', ' 7816103)']","[' 16832    (Average', ' 464.36 Last', ' 6673)']",[' 8231.6  '],"[' 2716     (Average Length', ' 1472.12 Splits', ' 0)']","[' 7816103  (Deleted', ' 7709058)']","[' 63       (Ratio', '   0.00%)']","[' 25008    (Ratio', '   0.32%)']","[' 7816103  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7816103  (Average', ' 20.73 Max', ' 11265 Sum', ' 162031315)']","[' 7813327  (Average', ' 20.18 Max', ' 11265 Sum', ' 157751341 Ratio', '  97.36%)']","[' 2776     (Average', ' 1541.78 Max', ' 2043 Sum', ' 4279974 Ratio', '   2.64%)']", ,[' 327018  '],[' 16616   '],[' 294047  '],[' 119107  '],"[' 305384   (Atom=Atom', ' 82881 Body=Body', ' 55626 Other', ' 166877)']",[' Yes'],"[' 20405    (Eliminated', '    0 Frozen', ' 20405)']","[' 4906     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.27589'],[' 0'], ,[' 337.442'],[' 0'],[' 14.8461'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.97054e+08'],[' 2.47423e+08'],[' 0'],[' 1.94246e+10'],[' 0'],[' 0'],[' 1264 '],[' 2586 '],[' 4081 '],[' 5157 '],[' 6452 '],[' 7399 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 5037+'],[' 2525'],"[' 609.164s (Solving', ' 580.03s 1st Model', ' 42.61s Unsat', ' 0.00s)']",[' 606.844s'], ,[' 186044118'],"[' 8384046  (Analyzed', ' 7824139)']","[' 15972    (Average', ' 489.87 Last', ' 158640)']",[' 8333.4  '],"[' 2525     (Average Length', ' 1392.38 Splits', ' 0)']","[' 7824139  (Deleted', ' 7720451)']","[' 38       (Ratio', '   0.00%)']","[' 21651    (Ratio', '   0.28%)']","[' 7824139  (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7824139  (Average', ' 21.79 Max', ' 12176 Sum', ' 170506794)']","[' 7821815  (Average', ' 21.39 Max', ' 12176 Sum', ' 167367534 Ratio', '  98.16%)']","[' 2324     (Average', ' 1350.80 Max', ' 2126 Sum', ' 3139260 Ratio', '   1.84%)']", ,[' 327816  '],[' 16714   '],[' 294543  '],[' 119508  '],"[' 306207   (Atom=Atom', ' 83082 Body=Body', ' 55920 Other', ' 167205)']",[' Yes'],"[' 20349    (Eliminated', '    0 Frozen', ' 20349)']","[' 4526     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.29171'],[' 0'], ,[' 356.1'],[' 0'],[' 15.4854'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.8248e+08'],[' 2.38623e+08'],[' 0'],[' 2.23676e+10'],[' 0'],[' 0'],[' 1576 '],[' 2969 '],[' 4247 '],[' 5554 '],[' 6971 '],[' 8074 '],[' 6 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 5481+'],[' 2747'],"[' 609.463s (Solving', ' 578.80s 1st Model', ' 40.17s Unsat', ' 0.00s)']",[' 606.797s'], ,[' 180112982'],"[' 10297996 (Analyzed', ' 9769347)']","[' 19831    (Average', ' 492.63 Last', ' 129068)']",[' 7930.7  '],"[' 2747     (Average Length', ' 1492.95 Splits', ' 0)']","[' 9769347  (Deleted', ' 9652762)']","[' 53       (Ratio', '   0.00%)']","[' 22842    (Ratio', '   0.23%)']","[' 9769347  (Average Length', '   21.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9769347  (Average', ' 16.99 Max', ' 11355 Sum', ' 165939328)']","[' 9766541  (Average', ' 16.51 Max', ' 11355 Sum', ' 161279159 Ratio', '  97.19%)']","[' 2806     (Average', ' 1660.79 Max', ' 2162 Sum', ' 4660169 Ratio', '   2.81%)']", ,[' 326541  '],[' 16501   '],[' 293524  '],[' 118776  '],"[' 303593   (Atom=Atom', ' 82452 Body=Body', ' 55281 Other', ' 165860)']",[' Yes'],"[' 20359    (Eliminated', '    0 Frozen', ' 20359)']","[' 4398     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.5568'],[' 0'], ,[' 350.001'],[' 0'],[' 14.2486'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.94842e+08'],[' 2.42819e+08'],[' 0'],[' 2.23183e+10'],[' 0'],[' 0'],[' 1286 '],[' 2555 '],[' 3824 '],[' 5194 '],[' 6340 '],[' 7557 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 5091+'],[' 2552'],"[' 608.621s (Solving', ' 581.24s 1st Model', ' 39.63s Unsat', ' 0.00s)']",[' 607.328s'], ,[' 176964014'],"[' 10648579 (Analyzed', ' 9726078)']","[' 20118    (Average', ' 483.45 Last', ' 37950)']",[' 8073.0  '],"[' 2552     (Average Length', ' 1377.28 Splits', ' 0)']","[' 9726078  (Deleted', ' 9611403)']","[' 24       (Ratio', '   0.00%)']","[' 17509    (Ratio', '   0.18%)']","[' 9726078  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9726078  (Average', ' 16.67 Max', ' 12111 Sum', ' 162153999)']","[' 9723535  (Average', ' 16.28 Max', ' 12111 Sum', ' 158315618 Ratio', '  97.63%)']","[' 2543     (Average', ' 1509.39 Max', ' 1983 Sum', ' 3838381 Ratio', '   2.37%)']", ,[' 326157  '],[' 16489   '],[' 292987  '],[' 118403  '],"[' 302837   (Atom=Atom', ' 82209 Body=Body', ' 55245 Other', ' 165383)']",[' Yes'],"[' 20108    (Eliminated', '    0 Frozen', ' 20108)']","[' 3490     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.93924'],[' 0'], ,[' 368.363'],[' 0'],[' 14.0814'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.57874e+08'],[' 2.10936e+08'],[' 0'],[' 2.26017e+10'],[' 0'],[' 0'],[' 1575 '],[' 2644 '],[' 3824 '],[' 5174 '],[' 6466 '],[' 7584 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 5553+'],[' 2783'],"[' 609.099s (Solving', ' 579.97s 1st Model', ' 44.42s Unsat', ' 0.00s)']",[' 607.375s'], ,[' 182411517'],"[' 9375681  (Analyzed', ' 8750724)']","[' 17993    (Average', ' 486.34 Last', ' 194291)']",[' 7669.2  '],"[' 2783     (Average Length', ' 1484.68 Splits', ' 0)']","[' 8750724  (Deleted', ' 8641649)']","[' 47       (Ratio', '   0.00%)']","[' 23838    (Ratio', '   0.27%)']","[' 8750724  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8750724  (Average', ' 19.21 Max', ' 11289 Sum', ' 168086229)']","[' 8748295  (Average', ' 18.73 Max', ' 11289 Sum', ' 163923513 Ratio', '  97.52%)']","[' 2429     (Average', ' 1713.76 Max', ' 2184 Sum', ' 4162716 Ratio', '   2.48%)']", ,[' 326252  '],[' 16475   '],[' 293269  '],[' 118619  '],"[' 303346   (Atom=Atom', ' 82384 Body=Body', ' 55203 Other', ' 165759)']",[' Yes'],"[' 20271    (Eliminated', '    0 Frozen', ' 20271)']","[' 4557     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.32625'],[' 0'], ,[' 349.628'],[' 0'],[' 14.9983'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.02636e+08'],[' 2.51748e+08'],[' 0'],[' 2.20268e+10'],[' 0'],[' 0'],[' 1294 '],[' 2449 '],[' 3611 '],[' 4554 '],[' 6022 '],[' 7187 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 5679+'],[' 2846'],"[' 609.612s (Solving', ' 577.57s 1st Model', ' 42.08s Unsat', ' 0.00s)']",[' 606.891s'], ,[' 167478710'],"[' 9395644  (Analyzed', ' 8769922)']","[' 18417    (Average', ' 476.19 Last', ' 11199)']",[' 7995.7  '],"[' 2846     (Average Length', ' 1529.73 Splits', ' 0)']","[' 8769922  (Deleted', ' 8653627)']","[' 54       (Ratio', '   0.00%)']","[' 24026    (Ratio', '   0.27%)']","[' 8769922  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8769922  (Average', ' 17.31 Max', ' 11471 Sum', ' 151836237)']","[' 8767497  (Average', ' 16.87 Max', ' 11471 Sum', ' 147917634 Ratio', '  97.42%)']","[' 2425     (Average', ' 1615.92 Max', ' 2160 Sum', ' 3918603 Ratio', '   2.58%)']", ,[' 327044  '],[' 16489   '],[' 293865  '],[' 119004  '],"[' 303896   (Atom=Atom', ' 82503 Body=Body', ' 55245 Other', ' 166148)']",[' Yes'],"[' 20381    (Eliminated', '    0 Frozen', ' 20381)']","[' 4578     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.9805'],[' 0'], ,[' 341.671'],[' 0'],[' 13.8106'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.96813e+08'],[' 2.47145e+08'],[' 0'],[' 2.08346e+10'],[' 0'],[' 0'],[' 1252 '],[' 2400 '],[' 3499 '],[' 4792 '],[' 5922 '],[' 7038 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 5285+'],[' 2649'],"[' 609.375s (Solving', ' 578.45s 1st Model', ' 45.76s Unsat', ' 0.00s)']",[' 606.500s'], ,[' 192209475'],"[' 8137408  (Analyzed', ' 7515774)']","[' 16071    (Average', ' 467.66 Last', ' 47860)']",[' 8397.9  '],"[' 2649     (Average Length', ' 1440.21 Splits', ' 0)']","[' 7515774  (Deleted', ' 7408842)']","[' 41       (Ratio', '   0.00%)']","[' 27076    (Ratio', '   0.36%)']","[' 7515774  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7515774  (Average', ' 23.37 Max', ' 11780 Sum', ' 175626078)']","[' 7513571  (Average', ' 22.95 Max', ' 11780 Sum', ' 172517784 Ratio', '  98.23%)']","[' 2203     (Average', ' 1410.94 Max', ' 1974 Sum', ' 3108294 Ratio', '   1.77%)']", ,[' 327344  '],[' 16610   '],[' 294115  '],[' 119208  '],"[' 304866   (Atom=Atom', ' 82790 Body=Body', ' 55608 Other', ' 166468)']",[' Yes'],"[' 20313    (Eliminated', '    0 Frozen', ' 20313)']","[' 5135     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.69945'],[' 0'], ,[' 342.748'],[' 0'],[' 15.2092'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.13492e+08'],[' 2.63949e+08'],[' 0'],[' 2.09799e+10'],[' 0'],[' 0'],[' 1597 '],[' 2863 '],[' 3992 '],[' 5061 '],[' 6275 '],[' 7380 '],[' 6 '],[' 0 ']
