Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 4205+'],[' 2110'],"[' 607.512s (Solving', ' 583.08s 1st Model', ' 30.27s Unsat', ' 0.00s)']",[' 605.078s'], ,[' 148301265'],"[' 10830453 (Analyzed', ' 10552397)']","[' 21952    (Average', ' 480.70 Last', ' 26625)']",[' 6808.9  '],"[' 2110     (Average Length', ' 1178.08 Splits', ' 0)']","[' 10552397 (Deleted', ' 10424648)']","[' 47       (Ratio', '   0.00%)']","[' 22791    (Ratio', '   0.22%)']","[' 10552397 (Average Length', '   21.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10552397 (Average', ' 13.09 Max', ' 9844 Sum', ' 138153053)']","[' 10550162 (Average', ' 12.83 Max', ' 9844 Sum', ' 135429995 Ratio', '  98.03%)']","[' 2235     (Average', ' 1218.37 Max', ' 1663 Sum', ' 2723058 Ratio', '   1.97%)']", ,[' 306139  '],[' 14305   '],[' 275690  '],[' 105893  '],"[' 266799   (Atom=Atom', ' 73352 Body=Body', ' 48755 Other', ' 144692)']",[' Yes'],"[' 17708    (Eliminated', '    0 Frozen', ' 17708)']","[' 4671     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.5343'],[' 0'], ,[' 370.275'],[' 0'],[' 13.3317'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.59878e+08'],[' 2.08492e+08'],[' 0'],[' 2.20699e+10'],[' 0'],[' 0'],[' 1380 '],[' 2626 '],[' 3601 '],[' 4820 '],[' 5828 '],[' 6859 '],[' 7852 '],[' 7 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 4713+'],[' 2364'],"[' 608.256s (Solving', ' 581.37s 1st Model', ' 34.45s Unsat', ' 0.00s)']",[' 604.313s'], ,[' 115807624'],"[' 10237822 (Analyzed', ' 9930451)']","[' 20512    (Average', ' 484.13 Last', ' 7654)']",[' 7005.4  '],"[' 2364     (Average Length', ' 1286.10 Splits', ' 0)']","[' 9930451  (Deleted', ' 9812138)']","[' 55       (Ratio', '   0.00%)']","[' 16508    (Ratio', '   0.17%)']","[' 9930451  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9930451  (Average', ' 10.48 Max', ' 10213 Sum', ' 104051940)']","[' 9928476  (Average', ' 10.21 Max', ' 10213 Sum', ' 101401845 Ratio', '  97.45%)']","[' 1975     (Average', ' 1341.82 Max', ' 1886 Sum', ' 2650095 Ratio', '   2.55%)']", ,[' 303399  '],[' 13961   '],[' 273531  '],[' 104310  '],"[' 262144   (Atom=Atom', ' 72230 Body=Body', ' 47723 Other', ' 142191)']",[' Yes'],"[' 17532    (Eliminated', '    0 Frozen', ' 17532)']","[' 3173     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.17787'],[' 0'], ,[' 375.923'],[' 0'],[' 12.4875'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95318e+08'],[' 1.52767e+08'],[' 0'],[' 2.12657e+10'],[' 0'],[' 0'],[' 1087 '],[' 2127 '],[' 2997 '],[' 3975 '],[' 4952 '],[' 5961 '],[' 6788 '],[' 7 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 4583+'],[' 2299'],"[' 607.798s (Solving', ' 582.34s 1st Model', ' 30.65s Unsat', ' 0.00s)']",[' 605.594s'], ,[' 124639551'],"[' 11030842 (Analyzed', ' 10536540)']","[' 21345    (Average', ' 493.63 Last', ' 92062)']",[' 7189.5  '],"[' 2299     (Average Length', ' 1262.81 Splits', ' 0)']","[' 10536540 (Deleted', ' 10420477)']","[' 20       (Ratio', '   0.00%)']","[' 13089    (Ratio', '   0.12%)']","[' 10536540 (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10536540 (Average', ' 10.76 Max', ' 10127 Sum', ' 113395815)']","[' 10533941 (Average', ' 10.43 Max', ' 10127 Sum', ' 109944708 Ratio', '  96.96%)']","[' 2599     (Average', ' 1327.86 Max', ' 1823 Sum', ' 3451107 Ratio', '   3.04%)']", ,[' 305063  '],[' 14120   '],[' 274782  '],[' 105262  '],"[' 264433   (Atom=Atom', ' 72801 Body=Body', ' 48200 Other', ' 143432)']",[' Yes'],"[' 17635    (Eliminated', '    0 Frozen', ' 17635)']","[' 2523     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.81775'],[' 0'], ,[' 389.529'],[' 0'],[' 13.1205'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.90994e+08'],[' 1.50202e+08'],[' 0'],[' 2.4075e+10'],[' 0'],[' 0'],[' 1512 '],[' 2485 '],[' 3402 '],[' 4394 '],[' 5267 '],[' 6304 '],[' 7294 '],[' 7 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 4139+'],[' 2077'],"[' 607.398s (Solving', ' 584.00s 1st Model', ' 25.28s Unsat', ' 0.00s)']",[' 604.719s'], ,[' 121268823'],"[' 11795552 (Analyzed', ' 11391780)']","[' 23797    (Average', ' 478.71 Last', ' 4416)']",[' 7098.2  '],"[' 2077     (Average Length', ' 1184.25 Splits', ' 0)']","[' 11391780 (Deleted', ' 11245717)']","[' 28       (Ratio', '   0.00%)']","[' 15016    (Ratio', '   0.13%)']","[' 11391780 (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11391780 (Average', '  9.73 Max', ' 10007 Sum', ' 110852243)']","[' 11389357 (Average', '  9.48 Max', ' 10007 Sum', ' 107940602 Ratio', '  97.37%)']","[' 2423     (Average', ' 1201.67 Max', ' 1648 Sum', ' 2911641 Ratio', '   2.63%)']", ,[' 304247  '],[' 14134   '],[' 274142  '],[' 104807  '],"[' 263929   (Atom=Atom', ' 72635 Body=Body', ' 48242 Other', ' 143052)']",[' Yes'],"[' 17525    (Eliminated', '    0 Frozen', ' 17525)']","[' 2967     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.38453'],[' 0'], ,[' 389.979'],[' 0'],[' 12.8861'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.93837e+08'],[' 1.51679e+08'],[' 0'],[' 2.32921e+10'],[' 0'],[' 0'],[' 1200 '],[' 2287 '],[' 3405 '],[' 4536 '],[' 5647 '],[' 6678 '],[' 7496 '],[' 7 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 4171+'],[' 2093'],"[' 606.935s (Solving', ' 585.39s 1st Model', ' 26.61s Unsat', ' 0.00s)']",[' 604.469s'], ,[' 129156900'],"[' 11601093 (Analyzed', ' 11284765)']","[' 23102    (Average', ' 488.48 Last', ' 134705)']",[' 7010.5  '],"[' 2093     (Average Length', ' 1165.04 Splits', ' 0)']","[' 11284765 (Deleted', ' 11153711)']","[' 19       (Ratio', '   0.00%)']","[' 16270    (Ratio', '   0.14%)']","[' 11284765 (Average Length', '   21.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11284765 (Average', ' 10.47 Max', ' 10903 Sum', ' 118196826)']","[' 11282952 (Average', ' 10.28 Max', ' 10903 Sum', ' 115981947 Ratio', '  98.13%)']","[' 1813     (Average', ' 1221.67 Max', ' 1764 Sum', ' 2214879 Ratio', '   1.87%)']", ,[' 305837  '],[' 14339   '],[' 275564  '],[' 105793  '],"[' 267157   (Atom=Atom', ' 73471 Body=Body', ' 48857 Other', ' 144829)']",[' Yes'],"[' 17688    (Eliminated', '    0 Frozen', ' 17688)']","[' 3298     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.05255'],[' 0'], ,[' 389.868'],[' 0'],[' 12.4345'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.18564e+08'],[' 1.74671e+08'],[' 0'],[' 2.47598e+10'],[' 0'],[' 0'],[' 1330 '],[' 2851 '],[' 3671 '],[' 4649 '],[' 5854 '],[' 7097 '],[' 8019 '],[' 7 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 3823+'],[' 1919'],"[' 606.535s (Solving', ' 586.34s 1st Model', ' 22.95s Unsat', ' 0.00s)']",[' 603.922s'], ,[' 113831737'],"[' 13786062 (Analyzed', ' 13330250)']","[' 26579    (Average', ' 501.53 Last', ' 43011)']",[' 7085.5  '],"[' 1919     (Average Length', ' 1112.01 Splits', ' 0)']","[' 13330250 (Deleted', ' 13180838)']","[' 17       (Ratio', '   0.00%)']","[' 12465    (Ratio', '   0.09%)']","[' 13330250 (Average Length', '   19.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13330250 (Average', '  7.76 Max', ' 10697 Sum', ' 103478076)']","[' 13328245 (Average', '  7.59 Max', ' 10697 Sum', ' 101239648 Ratio', '  97.84%)']","[' 2005     (Average', ' 1116.42 Max', ' 1597 Sum', ' 2238428 Ratio', '   2.16%)']", ,[' 304027  '],[' 14099   '],[' 273682  '],[' 104573  '],"[' 262901   (Atom=Atom', ' 72337 Body=Body', ' 48137 Other', ' 142427)']",[' Yes'],"[' 17334    (Eliminated', '    0 Frozen', ' 17334)']","[' 2486     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.74286'],[' 0'], ,[' 404.054'],[' 0'],[' 11.2482'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84564e+08'],[' 1.39188e+08'],[' 0'],[' 2.54487e+10'],[' 0'],[' 0'],[' 1218 '],[' 2277 '],[' 3472 '],[' 4555 '],[' 5643 '],[' 6598 '],[' 7634 '],[' 7 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 4081+'],[' 2048'],"[' 607.344s (Solving', ' 583.66s 1st Model', ' 27.03s Unsat', ' 0.00s)']",[' 605.859s'], ,[' 123256407'],"[' 11996411 (Analyzed', ' 11447847)']","[' 22735    (Average', ' 503.53 Last', ' 76088)']",[' 7352.5  '],"[' 2048     (Average Length', ' 1171.67 Splits', ' 0)']","[' 11447847 (Deleted', ' 11320311)']","[' 21       (Ratio', '   0.00%)']","[' 14268    (Ratio', '   0.12%)']","[' 11447847 (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11447847 (Average', '  9.77 Max', ' 10447 Sum', ' 111794167)']","[' 11445655 (Average', '  9.56 Max', ' 10447 Sum', ' 109421648 Ratio', '  97.88%)']","[' 2192     (Average', ' 1082.35 Max', ' 1650 Sum', ' 2372519 Ratio', '   2.12%)']", ,[' 304275  '],[' 14140   '],[' 274103  '],[' 104771  '],"[' 263871   (Atom=Atom', ' 72630 Body=Body', ' 48260 Other', ' 142981)']",[' Yes'],"[' 17485    (Eliminated', '    0 Frozen', ' 17485)']","[' 2763     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.49372'],[' 0'], ,[' 388.38'],[' 0'],[' 12.5138'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9366e+08'],[' 1.5069e+08'],[' 0'],[' 2.37526e+10'],[' 0'],[' 0'],[' 1535 '],[' 2388 '],[' 3671 '],[' 4595 '],[' 5700 '],[' 6826 '],[' 7783 '],[' 7 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 4139+'],[' 2077'],"[' 606.769s (Solving', ' 586.03s 1st Model', ' 22.01s Unsat', ' 0.00s)']",[' 605.813s'], ,[' 135523782'],"[' 12233408 (Analyzed', ' 11897902)']","[' 24093    (Average', ' 493.83 Last', ' 44498)']",[' 6412.4  '],"[' 2077     (Average Length', ' 1152.99 Splits', ' 0)']","[' 11897902 (Deleted', ' 11756524)']","[' 25       (Ratio', '   0.00%)']","[' 17232    (Ratio', '   0.14%)']","[' 11897902 (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11897902 (Average', ' 10.63 Max', ' 10108 Sum', ' 126502163)']","[' 11895701 (Average', ' 10.38 Max', ' 10108 Sum', ' 123558945 Ratio', '  97.67%)']","[' 2201     (Average', ' 1337.22 Max', ' 1748 Sum', ' 2943218 Ratio', '   2.33%)']", ,[' 303828  '],[' 14099   '],[' 273764  '],[' 104567  '],"[' 263384   (Atom=Atom', ' 72495 Body=Body', ' 48137 Other', ' 142752)']",[' Yes'],"[' 17452    (Eliminated', '    0 Frozen', ' 17452)']","[' 3444     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.81962'],[' 0'], ,[' 398.658'],[' 0'],[' 13.3952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20748e+08'],[' 1.72809e+08'],[' 0'],[' 2.48811e+10'],[' 0'],[' 0'],[' 1147 '],[' 2194 '],[' 3274 '],[' 4135 '],[' 5359 '],[' 6622 '],[' 7565 '],[' 7 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 4543+'],[' 2279'],"[' 607.330s (Solving', ' 583.56s 1st Model', ' 28.09s Unsat', ' 0.00s)']",[' 605.594s'], ,[' 117255357'],"[' 12503493 (Analyzed', ' 12149396)']","[' 25211    (Average', ' 481.91 Last', ' 46666)']",[' 6986.9  '],"[' 2279     (Average Length', ' 1249.34 Splits', ' 0)']","[' 12149396 (Deleted', ' 12013017)']","[' 23       (Ratio', '   0.00%)']","[' 13737    (Ratio', '   0.11%)']","[' 12149396 (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12149396 (Average', '  8.69 Max', ' 10562 Sum', ' 105562321)']","[' 12147489 (Average', '  8.50 Max', ' 10562 Sum', ' 103216320 Ratio', '  97.78%)']","[' 1907     (Average', ' 1230.21 Max', ' 1810 Sum', ' 2346001 Ratio', '   2.22%)']", ,[' 304192  '],[' 14046   '],[' 274107  '],[' 104736  '],"[' 263251   (Atom=Atom', ' 72485 Body=Body', ' 47978 Other', ' 142788)']",[' Yes'],"[' 17585    (Eliminated', '    0 Frozen', ' 17585)']","[' 2737     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.53388'],[' 0'], ,[' 393.477'],[' 0'],[' 12.1854'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.88401e+08'],[' 1.44209e+08'],[' 0'],[' 2.42814e+10'],[' 0'],[' 0'],[' 1071 '],[' 2009 '],[' 3037 '],[' 4055 '],[' 5097 '],[' 6213 '],[' 7220 '],[' 7 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 4571+'],[' 2293'],"[' 607.820s (Solving', ' 582.42s 1st Model', ' 34.07s Unsat', ' 0.00s)']",[' 605.750s'], ,[' 139743529'],"[' 10611541 (Analyzed', ' 10276206)']","[' 20620    (Average', ' 498.36 Last', ' 60596)']",[' 7327.9  '],"[' 2293     (Average Length', ' 1255.18 Splits', ' 0)']","[' 10276206 (Deleted', ' 10161716)']","[' 48       (Ratio', '   0.00%)']","[' 21874    (Ratio', '   0.21%)']","[' 10276206 (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10276206 (Average', ' 12.39 Max', ' 10284 Sum', ' 127335244)']","[' 10274173 (Average', ' 12.15 Max', ' 10284 Sum', ' 124843003 Ratio', '  98.04%)']","[' 2033     (Average', ' 1225.89 Max', ' 4081 Sum', ' 2492241 Ratio', '   1.96%)']", ,[' 305623  '],[' 14307   '],[' 275584  '],[' 105768  '],"[' 267036   (Atom=Atom', ' 73543 Body=Body', ' 48761 Other', ' 144732)']",[' Yes'],"[' 17813    (Eliminated', '    0 Frozen', ' 17813)']","[' 4296     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.85639'],[' 0'], ,[' 376.109'],[' 0'],[' 13.1403'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.35122e+08'],[' 1.86597e+08'],[' 0'],[' 2.34715e+10'],[' 0'],[' 0'],[' 1458 '],[' 2424 '],[' 3432 '],[' 4331 '],[' 5244 '],[' 6344 '],[' 7169 '],[' 7 '],[' 0 ']
