Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 2757+'],[' 1388'],"[' 604.777s (Solving', ' 591.25s 1st Model', ' 12.03s Unsat', ' 0.00s)']",[' 602.719s'], ,[' 83028364'],"[' 15753980 (Analyzed', ' 15613588)']","[' 31023    (Average', ' 503.29 Last', ' 44884)']",[' 5588.1  '],"[' 1388     (Average Length', ' 833.80 Splits', ' 0)']","[' 15613588 (Deleted', ' 15430531)']","[' 19       (Ratio', '   0.00%)']","[' 12248    (Ratio', '   0.08%)']","[' 15613588 (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15613588 (Average', '  4.91 Max', ' 8593 Sum', ' 76614247)']","[' 15612250 (Average', '  4.84 Max', ' 8593 Sum', ' 75538534 Ratio', '  98.60%)']","[' 1338     (Average', ' 803.97 Max', ' 1249 Sum', ' 1075713 Ratio', '   1.40%)']", ,[' 276440  '],[' 11154   '],[' 250585  '],[' 86984   '],"[' 215316   (Atom=Atom', ' 60500 Body=Body', ' 39420 Other', ' 115396)']",[' Yes'],"[' 14046    (Eliminated', '    0 Frozen', ' 14046)']","[' 2330     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.49467'],[' 0'], ,[' 437.409'],[' 0'],[' 11.5476'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47912e+08'],[' 1.02485e+08'],[' 0'],[' 2.88002e+10'],[' 0'],[' 0'],[' 1077 '],[' 2255 '],[' 3188 '],[' 4225 '],[' 5039 '],[' 5902 '],[' 6690 '],[' 7588 '],[' 8250 '],[' 9 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 2993+'],[' 1506'],"[' 604.852s (Solving', ' 591.13s 1st Model', ' 11.22s Unsat', ' 0.00s)']",[' 602.781s'], ,[' 67534125'],"[' 18117595 (Analyzed', ' 17971185)']","[' 36745    (Average', ' 489.08 Last', ' 124520)']",[' 5676.6  '],"[' 1506     (Average Length', ' 897.74 Splits', ' 0)']","[' 17971185 (Deleted', ' 17762337)']","[' 10       (Ratio', '   0.00%)']","[' 6968     (Ratio', '   0.04%)']","[' 17971185 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17971185 (Average', '  3.35 Max', ' 9231 Sum', ' 60271602)']","[' 17970267 (Average', '  3.31 Max', ' 9231 Sum', ' 59452024 Ratio', '  98.64%)']","[' 918      (Average', ' 892.79 Max', ' 1452 Sum', ' 819578 Ratio', '   1.36%)']", ,[' 274189  '],[' 10914   '],[' 248886  '],[' 85680   '],"[' 211814   (Atom=Atom', ' 59658 Body=Body', ' 38700 Other', ' 113456)']",[' Yes'],"[' 13927    (Eliminated', '    0 Frozen', ' 13927)']","[' 1097     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.51175'],[' 0'], ,[' 431.72'],[' 0'],[' 9.92581'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23996e+08'],[' 7.71012e+07'],[' 0'],[' 2.84247e+10'],[' 0'],[' 0'],[' 964 '],[' 2053 '],[' 2892 '],[' 3816 '],[' 4698 '],[' 5486 '],[' 6249 '],[' 7140 '],[' 7745 '],[' 9 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 2827+'],[' 1423'],"[' 604.763s (Solving', ' 591.33s 1st Model', ' 11.01s Unsat', ' 0.00s)']",[' 603.938s'], ,[' 74075036'],"[' 17551074 (Analyzed', ' 17311224)']","[' 35262    (Average', ' 490.93 Last', ' 138316)']",[' 5579.7  '],"[' 1423     (Average Length', ' 849.97 Splits', ' 0)']","[' 17311224 (Deleted', ' 17118012)']","[' 19       (Ratio', '   0.00%)']","[' 9590     (Ratio', '   0.06%)']","[' 17311224 (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17311224 (Average', '  3.89 Max', ' 8814 Sum', ' 67288336)']","[' 17310061 (Average', '  3.83 Max', ' 8814 Sum', ' 66351689 Ratio', '  98.61%)']","[' 1163     (Average', ' 805.37 Max', ' 1333 Sum', ' 936647 Ratio', '   1.39%)']", ,[' 275046  '],[' 11015   '],[' 249460  '],[' 86231   '],"[' 213034   (Atom=Atom', ' 59979 Body=Body', ' 39003 Other', ' 114052)']",[' Yes'],"[' 13939    (Eliminated', '    0 Frozen', ' 13939)']","[' 1802     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.48965'],[' 0'], ,[' 426.839'],[' 0'],[' 9.88005'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38848e+08'],[' 8.93747e+07'],[' 0'],[' 2.84423e+10'],[' 0'],[' 0'],[' 1342 '],[' 2089 '],[' 3112 '],[' 3822 '],[' 4802 '],[' 5520 '],[' 6357 '],[' 7374 '],[' 8067 '],[' 9 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 2849+'],[' 1434'],"[' 604.701s (Solving', ' 591.86s 1st Model', ' 11.64s Unsat', ' 0.00s)']",[' 602.875s'], ,[' 65954402'],"[' 16730938 (Analyzed', ' 16564614)']","[' 33610    (Average', ' 492.85 Last', ' 171711)']",[' 5285.9  '],"[' 1434     (Average Length', ' 851.38 Splits', ' 0)']","[' 16564614 (Deleted', ' 16359507)']","[' 11       (Ratio', '   0.00%)']","[' 8391     (Ratio', '   0.05%)']","[' 16564614 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16564614 (Average', '  3.62 Max', ' 8589 Sum', ' 60033747)']","[' 16563259 (Average', '  3.55 Max', ' 8589 Sum', ' 58765140 Ratio', '  97.89%)']","[' 1355     (Average', ' 936.24 Max', ' 1354 Sum', ' 1268607 Ratio', '   2.11%)']", ,[' 274543  '],[' 10973   '],[' 249129  '],[' 85854   '],"[' 212479   (Atom=Atom', ' 59822 Body=Body', ' 38877 Other', ' 113780)']",[' Yes'],"[' 13910    (Eliminated', '    0 Frozen', ' 13910)']","[' 1653     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.33611'],[' 0'], ,[' 439.814'],[' 0'],[' 10.7423'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21522e+08'],[' 7.78825e+07'],[' 0'],[' 2.91981e+10'],[' 0'],[' 0'],[' 944 '],[' 1880 '],[' 2707 '],[' 3550 '],[' 4370 '],[' 5248 '],[' 6157 '],[' 6954 '],[' 7632 '],[' 9 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 2907+'],[' 1463'],"[' 604.788s (Solving', ' 591.19s 1st Model', ' 11.50s Unsat', ' 0.00s)']",[' 603.141s'], ,[' 76168374'],"[' 16009778 (Analyzed', ' 15862429)']","[' 32269    (Average', ' 491.57 Last', ' 13832)']",[' 5301.3  '],"[' 1463     (Average Length', ' 869.14 Splits', ' 0)']","[' 15862429 (Deleted', ' 15685805)']","[' 15       (Ratio', '   0.00%)']","[' 10833    (Ratio', '   0.07%)']","[' 15862429 (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15862429 (Average', '  4.43 Max', ' 8503 Sum', ' 70285173)']","[' 15860783 (Average', '  4.34 Max', ' 8503 Sum', ' 68817431 Ratio', '  97.91%)']","[' 1646     (Average', ' 891.70 Max', ' 1411 Sum', ' 1467742 Ratio', '   2.09%)']", ,[' 276293  '],[' 11179   '],[' 250681  '],[' 87016   '],"[' 215765   (Atom=Atom', ' 60675 Body=Body', ' 39495 Other', ' 115595)']",[' Yes'],"[' 14150    (Eliminated', '    0 Frozen', ' 14150)']","[' 1933     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.48282'],[' 0'], ,[' 436.118'],[' 0'],[' 11.3523'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36681e+08'],[' 9.12682e+07'],[' 0'],[' 3.00728e+10'],[' 0'],[' 0'],[' 1051 '],[' 2192 '],[' 3093 '],[' 3932 '],[' 4767 '],[' 5721 '],[' 6495 '],[' 7422 '],[' 8093 '],[' 9 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 2635+'],[' 1327'],"[' 604.565s (Solving', ' 592.01s 1st Model', ' 10.51s Unsat', ' 0.00s)']",[' 602.984s'], ,[' 79663398'],"[' 19006337 (Analyzed', ' 18860636)']","[' 37353    (Average', ' 504.93 Last', ' 66986)']",[' 5317.3  '],"[' 1327     (Average Length', ' 797.19 Splits', ' 0)']","[' 18860636 (Deleted', ' 18651549)']","[' 20       (Ratio', '   0.00%)']","[' 10287    (Ratio', '   0.05%)']","[' 18860636 (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18860636 (Average', '  3.92 Max', ' 8582 Sum', ' 73922355)']","[' 18859190 (Average', '  3.85 Max', ' 8582 Sum', ' 72690646 Ratio', '  98.33%)']","[' 1446     (Average', ' 851.80 Max', ' 1227 Sum', ' 1231709 Ratio', '   1.67%)']", ,[' 275143  '],[' 11067   '],[' 249547  '],[' 86251   '],"[' 213731   (Atom=Atom', ' 60091 Body=Body', ' 39159 Other', ' 114481)']",[' Yes'],"[' 13907    (Eliminated', '    0 Frozen', ' 13907)']","[' 1961     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.29715'],[' 0'], ,[' 428.726'],[' 0'],[' 8.90413'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46161e+08'],[' 9.40286e+07'],[' 0'],[' 2.82846e+10'],[' 0'],[' 0'],[' 938 '],[' 1888 '],[' 2690 '],[' 3594 '],[' 4534 '],[' 5473 '],[' 6281 '],[' 7142 '],[' 7842 '],[' 9 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 2635+'],[' 1327'],"[' 604.501s (Solving', ' 592.01s 1st Model', ' 10.34s Unsat', ' 0.00s)']",[' 602.563s'], ,[' 70844509'],"[' 17318529 (Analyzed', ' 17106042)']","[' 34404    (Average', ' 497.21 Last', ' 27326)']",[' 5566.8  '],"[' 1327     (Average Length', ' 812.80 Splits', ' 0)']","[' 17106042 (Deleted', ' 16917288)']","[' 17       (Ratio', '   0.00%)']","[' 9007     (Ratio', '   0.05%)']","[' 17106042 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17106042 (Average', '  3.77 Max', ' 8787 Sum', ' 64535130)']","[' 17104875 (Average', '  3.72 Max', ' 8787 Sum', ' 63580736 Ratio', '  98.52%)']","[' 1167     (Average', ' 817.82 Max', ' 1267 Sum', ' 954394 Ratio', '   1.48%)']", ,[' 274432  '],[' 10972   '],[' 248863  '],[' 85794   '],"[' 212118   (Atom=Atom', ' 59711 Body=Body', ' 38874 Other', ' 113533)']",[' Yes'],"[' 13808    (Eliminated', '    0 Frozen', ' 13808)']","[' 1616     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.29837'],[' 0'], ,[' 436.32'],[' 0'],[' 10.1434'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32224e+08'],[' 8.39588e+07'],[' 0'],[' 2.92277e+10'],[' 0'],[' 0'],[' 1345 '],[' 2036 '],[' 2976 '],[' 3907 '],[' 4617 '],[' 5552 '],[' 6494 '],[' 7360 '],[' 8059 '],[' 9 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 2797+'],[' 1408'],"[' 604.612s (Solving', ' 591.82s 1st Model', ' 11.29s Unsat', ' 0.00s)']",[' 602.344s'], ,[' 76908404'],"[' 17459904 (Analyzed', ' 17305600)']","[' 34307    (Average', ' 504.43 Last', ' 64756)']",[' 5521.0  '],"[' 1408     (Average Length', ' 846.36 Splits', ' 0)']","[' 17305600 (Deleted', ' 17115935)']","[' 6        (Ratio', '   0.00%)']","[' 9692     (Ratio', '   0.06%)']","[' 17305600 (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17305600 (Average', '  4.06 Max', ' 9078 Sum', ' 70234505)']","[' 17304677 (Average', '  4.01 Max', ' 9078 Sum', ' 69418024 Ratio', '  98.84%)']","[' 923      (Average', ' 884.59 Max', ' 1350 Sum', ' 816481 Ratio', '   1.16%)']", ,[' 274265  '],[' 10949   '],[' 248852  '],[' 85753   '],"[' 212097   (Atom=Atom', ' 59700 Body=Body', ' 38805 Other', ' 113592)']",[' Yes'],"[' 13852    (Eliminated', '    0 Frozen', ' 13852)']","[' 1815     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.34022'],[' 0'], ,[' 431.974'],[' 0'],[' 10.2329'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38208e+08'],[' 9.18589e+07'],[' 0'],[' 2.83418e+10'],[' 0'],[' 0'],[' 1104 '],[' 1917 '],[' 2734 '],[' 3664 '],[' 4467 '],[' 5269 '],[' 6248 '],[' 7172 '],[' 7862 '],[' 9 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 3015+'],[' 1517'],"[' 604.847s (Solving', ' 591.04s 1st Model', ' 12.28s Unsat', ' 0.00s)']",[' 603.016s'], ,[' 64622980'],"[' 17587180 (Analyzed', ' 17371063)']","[' 36693    (Average', ' 473.42 Last', ' 81733)']",[' 5869.7  '],"[' 1517     (Average Length', ' 893.23 Splits', ' 0)']","[' 17371063 (Deleted', ' 17159936)']","[' 12       (Ratio', '   0.00%)']","[' 7119     (Ratio', '   0.04%)']","[' 17371063 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17371063 (Average', '  3.28 Max', ' 9333 Sum', ' 56951652)']","[' 17370205 (Average', '  3.23 Max', ' 9333 Sum', ' 56157923 Ratio', '  98.61%)']","[' 858      (Average', ' 925.09 Max', ' 1373 Sum', ' 793729 Ratio', '   1.39%)']", ,[' 274318  '],[' 10909   '],[' 248932  '],[' 85767   '],"[' 211836   (Atom=Atom', ' 59649 Body=Body', ' 38685 Other', ' 113502)']",[' Yes'],"[' 13923    (Eliminated', '    0 Frozen', ' 13923)']","[' 1247     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.59126'],[' 0'], ,[' 432.246'],[' 0'],[' 9.93716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1928e+08'],[' 7.38655e+07'],[' 0'],[' 2.81826e+10'],[' 0'],[' 0'],[' 959 '],[' 1791 '],[' 2590 '],[' 3355 '],[' 4123 '],[' 4965 '],[' 5807 '],[' 6743 '],[' 7386 '],[' 9 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 2915+'],[' 1467'],"[' 604.701s (Solving', ' 591.51s 1st Model', ' 12.13s Unsat', ' 0.00s)']",[' 602.938s'], ,[' 71793699'],"[' 17268275 (Analyzed', ' 17093798)']","[' 34131    (Average', ' 500.83 Last', ' 26318)']",[' 5291.9  '],"[' 1467     (Average Length', ' 873.93 Splits', ' 0)']","[' 17093798 (Deleted', ' 16877487)']","[' 16       (Ratio', '   0.00%)']","[' 9289     (Ratio', '   0.05%)']","[' 17093798 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17093798 (Average', '  3.83 Max', ' 8863 Sum', ' 65501582)']","[' 17092631 (Average', '  3.77 Max', ' 8863 Sum', ' 64414945 Ratio', '  98.34%)']","[' 1167     (Average', ' 931.14 Max', ' 1546 Sum', ' 1086637 Ratio', '   1.66%)']", ,[' 275547  '],[' 11095   '],[' 250063  '],[' 86527   '],"[' 214519   (Atom=Atom', ' 60343 Body=Body', ' 39243 Other', ' 114933)']",[' Yes'],"[' 14075    (Eliminated', '    0 Frozen', ' 14075)']","[' 1639     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.42104'],[' 0'], ,[' 434.266'],[' 0'],[' 9.84784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30787e+08'],[' 8.41176e+07'],[' 0'],[' 2.83668e+10'],[' 0'],[' 0'],[' 1092 '],[' 2009 '],[' 2964 '],[' 3887 '],[' 4602 '],[' 5434 '],[' 6222 '],[' 7124 '],[' 7782 '],[' 9 '],[' 0 ']
