Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 2469+'],[' 1245'],"[' 604.651s (Solving', ' 591.70s 1st Model', ' 10.60s Unsat', ' 0.00s)']",[' 601.313s'], ,[' 58189286'],"[' 16363361 (Analyzed', ' 16246298)']","[' 34644    (Average', ' 468.95 Last', ' 60115)']",[' 4939.9  '],"[' 1245     (Average Length', ' 734.99 Splits', ' 0)']","[' 16246298 (Deleted', ' 16054180)']","[' 6        (Ratio', '   0.00%)']","[' 8641     (Ratio', '   0.05%)']","[' 16246298 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16246298 (Average', '  3.26 Max', ' 7967 Sum', ' 52980445)']","[' 16245209 (Average', '  3.21 Max', ' 7967 Sum', ' 52133318 Ratio', '  98.40%)']","[' 1089     (Average', ' 777.89 Max', ' 1120 Sum', ' 847127 Ratio', '   1.60%)']", ,[' 265196  '],[' 9967    '],[' 241480  '],[' 79782   '],"[' 196346   (Atom=Atom', ' 55720 Body=Body', ' 35881 Other', ' 104745)']",[' Yes'],"[' 12763    (Eliminated', '    0 Frozen', ' 12763)']","[' 1656     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.49423'],[' 0'], ,[' 433.618'],[' 0'],[' 9.43502'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13869e+08'],[' 6.98906e+07'],[' 0'],[' 2.59852e+10'],[' 0'],[' 0'],[' 949 '],[' 1871 '],[' 2602 '],[' 3457 '],[' 4591 '],[' 5443 '],[' 6029 '],[' 6696 '],[' 7589 '],[' 8177 '],[' 10 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 2515+'],[' 1268'],"[' 604.150s (Solving', ' 592.78s 1st Model', ' 8.59s Unsat', ' 0.00s)']",[' 602.484s'], ,[' 55244237'],"[' 17831199 (Analyzed', ' 17670238)']","[' 37704    (Average', ' 468.66 Last', ' 37098)']",[' 5043.7  '],"[' 1268     (Average Length', ' 757.67 Splits', ' 0)']","[' 17670238 (Deleted', ' 17454679)']","[' 16       (Ratio', '   0.00%)']","[' 6942     (Ratio', '   0.04%)']","[' 17670238 (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17670238 (Average', '  2.80 Max', ' 8303 Sum', ' 49515159)']","[' 17669492 (Average', '  2.77 Max', ' 8303 Sum', ' 48926554 Ratio', '  98.81%)']","[' 746      (Average', ' 789.01 Max', ' 1172 Sum', ' 588605 Ratio', '   1.19%)']", ,[' 262806  '],[' 9720    '],[' 239568  '],[' 78349   '],"[' 192451   (Atom=Atom', ' 54755 Body=Body', ' 35140 Other', ' 102556)']",[' Yes'],"[' 12541    (Eliminated', '    0 Frozen', ' 12541)']","[' 1062     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.17369'],[' 0'], ,[' 443.445'],[' 0'],[' 9.54408'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08972e+08'],[' 6.27997e+07'],[' 0'],[' 2.73294e+10'],[' 0'],[' 0'],[' 886 '],[' 1599 '],[' 2526 '],[' 3252 '],[' 4196 '],[' 4929 '],[' 5599 '],[' 6302 '],[' 7005 '],[' 7696 '],[' 10 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 2251+'],[' 1136'],"[' 604.136s (Solving', ' 592.74s 1st Model', ' 8.67s Unsat', ' 0.00s)']",[' 602.547s'], ,[' 69326993'],"[' 18668041 (Analyzed', ' 18565422)']","[' 38793    (Average', ' 478.58 Last', ' 108632)']",[' 5333.4  '],"[' 1136     (Average Length', ' 701.43 Splits', ' 0)']","[' 18565422 (Deleted', ' 18344845)']","[' 19       (Ratio', '   0.00%)']","[' 8720     (Ratio', '   0.05%)']","[' 18565422 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18565422 (Average', '  3.44 Max', ' 7981 Sum', ' 63877183)']","[' 18564361 (Average', '  3.40 Max', ' 7981 Sum', ' 63153135 Ratio', '  98.87%)']","[' 1061     (Average', ' 682.42 Max', ' 1049 Sum', ' 724048 Ratio', '   1.13%)']", ,[' 264654  '],[' 9987    '],[' 241084  '],[' 79521   '],"[' 196070   (Atom=Atom', ' 55691 Body=Body', ' 35941 Other', ' 104438)']",[' Yes'],"[' 12690    (Eliminated', '    0 Frozen', ' 12690)']","[' 1586     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.12973'],[' 0'], ,[' 436.194'],[' 0'],[' 9.18709'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28313e+08'],[' 7.90799e+07'],[' 0'],[' 2.73628e+10'],[' 0'],[' 0'],[' 1247 '],[' 1958 '],[' 3125 '],[' 3910 '],[' 4588 '],[' 5434 '],[' 6072 '],[' 6824 '],[' 7716 '],[' 8313 '],[' 10 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 2027+'],[' 1024'],"[' 601.329s (Solving', ' 591.75s 1st Model', ' 6.62s Unsat', ' 0.00s)']",[' 603.375s'], ,[' 55094266'],"[' 17943172 (Analyzed', ' 17842640)']","[' 36309    (Average', ' 491.41 Last', ' 62470)']",[' 4804.6  '],"[' 1024     (Average Length', ' 641.44 Splits', ' 0)']","[' 17842640 (Deleted', ' 17640490)']","[' 9        (Ratio', '   0.00%)']","[' 8451     (Ratio', '   0.05%)']","[' 17842640 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17842640 (Average', '  2.83 Max', ' 8168 Sum', ' 50563875)']","[' 17841737 (Average', '  2.80 Max', ' 8168 Sum', ' 49987825 Ratio', '  98.86%)']","[' 903      (Average', ' 637.93 Max', ' 1022 Sum', ' 576050 Ratio', '   1.14%)']", ,[' 263885  '],[' 9909    '],[' 240309  '],[' 78953   '],"[' 194595   (Atom=Atom', ' 55267 Body=Body', ' 35707 Other', ' 103621)']",[' Yes'],"[' 12496    (Eliminated', '    0 Frozen', ' 12496)']","[' 1640     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.74614'],[' 0'], ,[' 451.087'],[' 0'],[' 9.83209'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11735e+08'],[' 6.56088e+07'],[' 0'],[' 2.83298e+10'],[' 0'],[' 0'],[' 934 '],[' 1818 '],[' 2648 '],[' 3536 '],[' 4530 '],[' 5267 '],[' 5933 '],[' 6684 '],[' 7397 '],[' 8089 '],[' 10 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 2197+'],[' 1109'],"[' 602.318s (Solving', ' 592.24s 1st Model', ' 7.55s Unsat', ' 0.00s)']",[' 602.594s'], ,[' 62182707'],"[' 18878080 (Analyzed', ' 18782141)']","[' 37947    (Average', ' 494.96 Last', ' 19525)']",[' 4464.3  '],"[' 1109     (Average Length', ' 663.76 Splits', ' 0)']","[' 18782141 (Deleted', ' 18567777)']","[' 23       (Ratio', '   0.00%)']","[' 9398     (Ratio', '   0.05%)']","[' 18782141 (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18782141 (Average', '  3.09 Max', ' 7747 Sum', ' 57959119)']","[' 18780958 (Average', '  3.04 Max', ' 7747 Sum', ' 57057471 Ratio', '  98.44%)']","[' 1183     (Average', ' 762.17 Max', ' 1066 Sum', ' 901648 Ratio', '   1.56%)']", ,[' 264828  '],[' 10027   '],[' 241285  '],[' 79600   '],"[' 196737   (Atom=Atom', ' 55824 Body=Body', ' 36061 Other', ' 104852)']",[' Yes'],"[' 12697    (Eliminated', '    0 Frozen', ' 12697)']","[' 1622     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82052'],[' 0'], ,[' 444.072'],[' 0'],[' 8.70977'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24399e+08'],[' 7.45509e+07'],[' 0'],[' 2.82096e+10'],[' 0'],[' 0'],[' 911 '],[' 1865 '],[' 2736 '],[' 3445 '],[' 4523 '],[' 5495 '],[' 6126 '],[' 6892 '],[' 7680 '],[' 8313 '],[' 10 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 2459+'],[' 1240'],"[' 603.889s (Solving', ' 592.36s 1st Model', ' 8.27s Unsat', ' 0.00s)']",[' 602.422s'], ,[' 55688503'],"[' 19037388 (Analyzed', ' 18949499)']","[' 38930    (Average', ' 486.76 Last', ' 57539)']",[' 5069.0  '],"[' 1240     (Average Length', ' 748.80 Splits', ' 0)']","[' 18949499 (Deleted', ' 18716787)']","[' 10       (Ratio', '   0.00%)']","[' 7029     (Ratio', '   0.04%)']","[' 18949499 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18949499 (Average', '  2.66 Max', ' 7894 Sum', ' 50385049)']","[' 18948416 (Average', '  2.61 Max', ' 7894 Sum', ' 49507809 Ratio', '  98.26%)']","[' 1083     (Average', ' 810.01 Max', ' 1160 Sum', ' 877240 Ratio', '   1.74%)']", ,[' 263218  '],[' 9761    '],[' 239856  '],[' 78582   '],"[' 193102   (Atom=Atom', ' 54891 Body=Body', ' 35263 Other', ' 102948)']",[' Yes'],"[' 12572    (Eliminated', '    0 Frozen', ' 12572)']","[' 1327     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.23854'],[' 0'], ,[' 438.801'],[' 0'],[' 7.99906'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11307e+08'],[' 6.43131e+07'],[' 0'],[' 2.69991e+10'],[' 0'],[' 0'],[' 912 '],[' 1707 '],[' 2715 '],[' 3321 '],[' 4100 '],[' 4844 '],[' 5585 '],[' 6252 '],[' 7030 '],[' 7711 '],[' 10 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 2111+'],[' 1066'],"[' 604.472s (Solving', ' 592.30s 1st Model', ' 9.94s Unsat', ' 0.00s)']",[' 602.359s'], ,[' 72369471'],"[' 17766116 (Analyzed', ' 17674063)']","[' 36063    (Average', ' 490.09 Last', ' 108186)']",[' 5395.6  '],"[' 1066     (Average Length', ' 672.04 Splits', ' 0)']","[' 17674063 (Deleted', ' 17469065)']","[' 13       (Ratio', '   0.00%)']","[' 9830     (Ratio', '   0.06%)']","[' 17674063 (Average Length', '   17.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17674063 (Average', '  3.80 Max', ' 7796 Sum', ' 67190789)']","[' 17672943 (Average', '  3.76 Max', ' 7796 Sum', ' 66428101 Ratio', '  98.86%)']","[' 1120     (Average', ' 680.97 Max', ' 1044 Sum', ' 762688 Ratio', '   1.14%)']", ,[' 264619  '],[' 10057   '],[' 241141  '],[' 79512   '],"[' 196934   (Atom=Atom', ' 55901 Body=Body', ' 36151 Other', ' 104882)']",[' Yes'],"[' 12688    (Eliminated', '    0 Frozen', ' 12688)']","[' 1901     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.34556'],[' 0'], ,[' 432.821'],[' 0'],[' 10.0135'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33961e+08'],[' 8.44184e+07'],[' 0'],[' 2.60292e+10'],[' 0'],[' 0'],[' 1221 '],[' 2141 '],[' 3001 '],[' 4088 '],[' 4987 '],[' 5675 '],[' 6467 '],[' 7142 '],[' 7923 '],[' 8542 '],[' 10 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 2691+'],[' 1356'],"[' 604.496s (Solving', ' 592.18s 1st Model', ' 9.23s Unsat', ' 0.00s)']",[' 602.609s'], ,[' 55356295'],"[' 16779448 (Analyzed', ' 16663277)']","[' 34326    (Average', ' 485.44 Last', ' 136413)']",[' 4662.0  '],"[' 1356     (Average Length', ' 798.89 Splits', ' 0)']","[' 16663277 (Deleted', ' 16452656)']","[' 11       (Ratio', '   0.00%)']","[' 7259     (Ratio', '   0.04%)']","[' 16663277 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16663277 (Average', '  3.02 Max', ' 7899 Sum', ' 50329024)']","[' 16662118 (Average', '  2.96 Max', ' 7899 Sum', ' 49357854 Ratio', '  98.07%)']","[' 1159     (Average', ' 837.94 Max', ' 1306 Sum', ' 971170 Ratio', '   1.93%)']", ,[' 263863  '],[' 9867    '],[' 240652  '],[' 79092   '],"[' 194984   (Atom=Atom', ' 55431 Body=Body', ' 35581 Other', ' 103972)']",[' Yes'],"[' 12765    (Eliminated', '    0 Frozen', ' 12765)']","[' 1271     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.24567'],[' 0'], ,[' 436.45'],[' 0'],[' 9.38214'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0838e+08'],[' 6.5164e+07'],[' 0'],[' 2.6296e+10'],[' 0'],[' 0'],[' 938 '],[' 1534 '],[' 2296 '],[' 2977 '],[' 3674 '],[' 4393 '],[' 5178 '],[' 5815 '],[' 6666 '],[' 7233 '],[' 10 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 2897+'],[' 1459'],"[' 604.676s (Solving', ' 590.86s 1st Model', ' 10.46s Unsat', ' 0.00s)']",[' 603.594s'], ,[' 52392230'],"[' 17652447 (Analyzed', ' 17522138)']","[' 36684    (Average', ' 477.65 Last', ' 71288)']",[' 5488.5  '],"[' 1459     (Average Length', ' 852.61 Splits', ' 0)']","[' 17522138 (Deleted', ' 17294666)']","[' 10       (Ratio', '   0.00%)']","[' 6148     (Ratio', '   0.04%)']","[' 17522138 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17522138 (Average', '  2.60 Max', ' 8289 Sum', ' 45638656)']","[' 17521208 (Average', '  2.56 Max', ' 8289 Sum', ' 44897780 Ratio', '  98.38%)']","[' 930      (Average', ' 796.64 Max', ' 1301 Sum', ' 740876 Ratio', '   1.62%)']", ,[' 264052  '],[' 9884    '],[' 240928  '],[' 79237   '],"[' 195551   (Atom=Atom', ' 55602 Body=Body', ' 35632 Other', ' 104317)']",[' Yes'],"[' 12872    (Eliminated', '    0 Frozen', ' 12872)']","[' 1086     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.72692'],[' 0'], ,[' 429.662'],[' 0'],[' 9.11809'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0475e+08'],[' 6.07641e+07'],[' 0'],[' 2.5922e+10'],[' 0'],[' 0'],[' 808 '],[' 1684 '],[' 2427 '],[' 3183 '],[' 3887 '],[' 4479 '],[' 5183 '],[' 5869 '],[' 6635 '],[' 7233 '],[' 10 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 2253+'],[' 1137'],"[' 604.054s (Solving', ' 593.19s 1st Model', ' 8.54s Unsat', ' 0.00s)']",[' 602.031s'], ,[' 52700780'],"[' 18054381 (Analyzed', ' 17955995)']","[' 37562    (Average', ' 478.04 Last', ' 110023)']",[' 5091.2  '],"[' 1137     (Average Length', ' 706.65 Splits', ' 0)']","[' 17955995 (Deleted', ' 17725729)']","[' 6        (Ratio', '   0.00%)']","[' 6916     (Ratio', '   0.04%)']","[' 17955995 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17955995 (Average', '  2.64 Max', ' 8326 Sum', ' 47336650)']","[' 17955308 (Average', '  2.61 Max', ' 8326 Sum', ' 46933039 Ratio', '  99.15%)']","[' 687      (Average', ' 587.50 Max', ' 1116 Sum', ' 403611 Ratio', '   0.85%)']", ,[' 263721  '],[' 9832    '],[' 240184  '],[' 78832   '],"[' 193853   (Atom=Atom', ' 55072 Body=Body', ' 35476 Other', ' 103305)']",[' Yes'],"[' 12535    (Eliminated', '    0 Frozen', ' 12535)']","[' 1249     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.02186'],[' 0'], ,[' 443.328'],[' 0'],[' 8.71325'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06893e+08'],[' 6.17616e+07'],[' 0'],[' 2.69723e+10'],[' 0'],[' 0'],[' 1084 '],[' 1804 '],[' 2525 '],[' 3321 '],[' 4132 '],[' 4791 '],[' 5486 '],[' 6186 '],[' 6885 '],[' 7588 '],[' 10 '],[' 0 ']
