Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 701'],[' 361'],"[' 189.235s (Solving', ' 187.54s 1st Model', ' 0.54s Unsat', ' 4.25s)']",[' 188.188s'], ,[' 15251746'],"[' 10661131 (Analyzed', ' 10641951)']","[' 22706    (Average', ' 468.68 Last', ' 81113)']",[' 1242.2  '],"[' 361      (Average Length', ' 243.22 Splits', ' 0)']","[' 10641951 (Deleted', ' 10488515)']","[' 20       (Ratio', '   0.00%)']","[' 1605     (Ratio', '   0.02%)']","[' 10641951 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10641951 (Average', '  1.38 Max', ' 2031 Sum', ' 14635596)']","[' 10641779 (Average', '  1.37 Max', ' 2031 Sum', ' 14599458 Ratio', '  99.75%)']","[' 172      (Average', ' 210.10 Max', ' 382 Sum', '  36138 Ratio', '   0.25%)']", ,[' 77947   '],[' 2378    '],[' 72323   '],[' 22495   '],"[' 57263    (Atom=Atom', ' 17168 Body=Body', ' 10210 Other', ' 29885)']",[' Yes'],"[' 3525     (Eliminated', '    0 Frozen', ' 3525)']","[' 185      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.276554'],[' 0'], ,[' 113.687'],[' 0'],[' 2.77398'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.13326e+07'],[' 1.68991e+07'],[' 0'],[' 6.98064e+09'],[' 0'],[' 0'],[' 477 '],[' 988 '],[' 1586 '],[' 1936 '],[' 2431 '],[' 3047 '],[' 3431 '],[' 3785 '],[' 4271 '],[' 4604 '],[' 3 '],[' 7 ']
Solving...,TA62, , ,[' 917'],[' 469'],"[' 69.729s (Solving', ' 67.52s 1st Model', ' 0.73s Unsat', ' 1.68s)']",[' 69.078s'], ,[' 4177772 '],"[' 2390337  (Analyzed', ' 2384761)']","[' 5499     (Average', ' 433.67 Last', ' 36022)']",[' 1463.6  '],"[' 469      (Average Length', ' 300.70 Splits', ' 0)']","[' 2384761  (Deleted', ' 2322797)']","[' 21       (Ratio', '   0.00%)']","[' 888      (Ratio', '   0.04%)']","[' 2384761  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2384761  (Average', '  1.51 Max', ' 2186 Sum', ' 3608554)']","[' 2384613  (Average', '  1.50 Max', ' 2186 Sum', ' 3573191 Ratio', '  99.02%)']","[' 148      (Average', ' 238.94 Max', ' 464 Sum', '  35363 Ratio', '   0.98%)']", ,[' 78434   '],[' 2419    '],[' 72863   '],[' 22844   '],"[' 58242    (Atom=Atom', ' 17443 Body=Body', ' 10334 Other', ' 30465)']",[' Yes'],"[' 3665     (Eliminated', '    0 Frozen', ' 3665)']","[' 61       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.42157'],[' 0'], ,[' 43.963'],[' 0'],[' 0.780608'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0719e+07'],[' 4.85148e+06'],[' 0'],[' 2.5623e+09'],[' 0'],[' 0'],[' 592 '],[' 962 '],[' 1348 '],[' 1741 '],[' 2176 '],[' 2577 '],[' 3073 '],[' 3510 '],[' 3989 '],[' 4262 '],[' 1 '],[' 9 ']
Solving...,TA63, , ,[' 887'],[' 454'],"[' 124.388s (Solving', ' 122.35s 1st Model', ' 0.71s Unsat', ' 55.85s)']",[' 123.422s'], ,[' 6687660 '],"[' 4554868  (Analyzed', ' 4504485)']","[' 9761     (Average', ' 461.48 Last', ' 3663)']",[' 1434.3  '],"[' 454      (Average Length', ' 294.38 Splits', ' 0)']","[' 4504485  (Deleted', ' 4423223)']","[' 22       (Ratio', '   0.00%)']","[' 640      (Ratio', '   0.01%)']","[' 4504485  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4504485  (Average', '  1.34 Max', ' 2277 Sum', ' 6033451)']","[' 4504397  (Average', '  1.34 Max', ' 2277 Sum', ' 6019001 Ratio', '  99.76%)']","[' 88       (Average', ' 164.20 Max', ' 408 Sum', '  14450 Ratio', '   0.24%)']", ,[' 78388   '],[' 2428    '],[' 72848   '],[' 22816   '],"[' 58244    (Atom=Atom', ' 17460 Body=Body', ' 10359 Other', ' 30425)']",[' Yes'],"[' 3658     (Eliminated', '    0 Frozen', ' 3658)']","[' 77       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.379622'],[' 0'], ,[' 83.3385'],[' 0'],[' 1.60416'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.68622e+07'],[' 6.45756e+06'],[' 0'],[' 4.87166e+09'],[' 0'],[' 0'],[' 534 '],[' 935 '],[' 1401 '],[' 1722 '],[' 2295 '],[' 2654 '],[' 2956 '],[' 3320 '],[' 3773 '],[' 4073 '],[' 1 '],[' 9 ']
Solving...,TA64, , ,[' 805'],[' 413'],"[' 231.691s (Solving', ' 229.72s 1st Model', ' 0.84s Unsat', ' 44.97s)']",[' 230.453s'], ,[' 17746721'],"[' 12041951 (Analyzed', ' 12029315)']","[' 25238    (Average', ' 476.64 Last', ' 3376)']",[' 1349.9  '],"[' 413      (Average Length', ' 276.24 Splits', ' 0)']","[' 12029315 (Deleted', ' 11839519)']","[' 11       (Ratio', '   0.00%)']","[' 1857     (Ratio', '   0.02%)']","[' 12029315 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12029315 (Average', '  1.41 Max', ' 1947 Sum', ' 16965426)']","[' 12029187 (Average', '  1.41 Max', ' 1947 Sum', ' 16943309 Ratio', '  99.87%)']","[' 128      (Average', ' 172.79 Max', ' 442 Sum', '  22117 Ratio', '   0.13%)']", ,[' 78489   '],[' 2474    '],[' 72955   '],[' 22902   '],"[' 58859    (Atom=Atom', ' 17602 Body=Body', ' 10489 Other', ' 30768)']",[' Yes'],"[' 3663     (Eliminated', '    0 Frozen', ' 3663)']","[' 211      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.350453'],[' 0'], ,[' 140.015'],[' 0'],[' 3.64857'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.86659e+07'],[' 2.09957e+07'],[' 0'],[' 7.8634e+09'],[' 0'],[' 0'],[' 782 '],[' 1255 '],[' 1654 '],[' 2116 '],[' 2492 '],[' 2881 '],[' 3402 '],[' 3748 '],[' 4093 '],[' 4372 '],[' 3 '],[' 7 ']
Solving...,TA65, , ,[' 721'],[' 371'],"[' 207.259s (Solving', ' 205.60s 1st Model', ' 0.52s Unsat', ' 141.01s)']",[' 207.063s'], ,[' 12128530'],"[' 8753391  (Analyzed', ' 8702103)']","[' 18887    (Average', ' 460.75 Last', ' 156855)']",[' 1326.8  '],"[' 371      (Average Length', ' 256.23 Splits', ' 0)']","[' 8702103  (Deleted', ' 8560858)']","[' 24       (Ratio', '   0.00%)']","[' 1503     (Ratio', '   0.02%)']","[' 8702103  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8702103  (Average', '  1.32 Max', ' 2179 Sum', ' 11519855)']","[' 8701990  (Average', '  1.32 Max', ' 2179 Sum', ' 11499901 Ratio', '  99.83%)']","[' 113      (Average', ' 176.58 Max', ' 419 Sum', '  19954 Ratio', '   0.17%)']", ,[' 78299   '],[' 2410    '],[' 72628   '],[' 22717   '],"[' 57764    (Atom=Atom', ' 17318 Body=Body', ' 10310 Other', ' 30136)']",[' Yes'],"[' 3566     (Eliminated', '    0 Frozen', ' 3566)']","[' 84       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.276466'],[' 0'], ,[' 144.458'],[' 0'],[' 3.52485'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.20578e+07'],[' 1.19128e+07'],[' 0'],[' 9.62952e+09'],[' 0'],[' 0'],[' 546 '],[' 1019 '],[' 1553 '],[' 1890 '],[' 2340 '],[' 2760 '],[' 3186 '],[' 3597 '],[' 4112 '],[' 4482 '],[' 1 '],[' 9 ']
Solving...,TA66, , ,[' 807'],[' 414'],"[' 135.183s (Solving', ' 133.31s 1st Model', ' 0.62s Unsat', ' 9.44s)']",[' 134.672s'], ,[' 7811576 '],"[' 5036835  (Analyzed', ' 4919210)']","[' 11143    (Average', ' 441.46 Last', ' 25960)']",[' 1445.6  '],"[' 414      (Average Length', ' 277.56 Splits', ' 0)']","[' 4919210  (Deleted', ' 4831363)']","[' 18       (Ratio', '   0.00%)']","[' 1629     (Ratio', '   0.03%)']","[' 4919210  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4919210  (Average', '  1.45 Max', ' 2196 Sum', ' 7117429)']","[' 4919103  (Average', '  1.44 Max', ' 2196 Sum', ' 7095821 Ratio', '  99.70%)']","[' 107      (Average', ' 201.94 Max', ' 416 Sum', '  21608 Ratio', '   0.30%)']", ,[' 78440   '],[' 2443    '],[' 72850   '],[' 22885   '],"[' 58391    (Atom=Atom', ' 17491 Body=Body', ' 10408 Other', ' 30492)']",[' Yes'],"[' 3642     (Eliminated', '    0 Frozen', ' 3642)']","[' 136      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.337921'],[' 0'], ,[' 95.3773'],[' 0'],[' 1.60621'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.17987e+07'],[' 9.9096e+06'],[' 0'],[' 5.92591e+09'],[' 0'],[' 0'],[' 546 '],[' 912 '],[' 1291 '],[' 1616 '],[' 2013 '],[' 2408 '],[' 2838 '],[' 3249 '],[' 3671 '],[' 4138 '],[' 2 '],[' 8 ']
Solving...,TA67, , ,[' 779'],[' 400'],"[' 151.643s (Solving', ' 149.80s 1st Model', ' 0.61s Unsat', ' 24.91s)']",[' 151.141s'], ,[' 12922305'],"[' 8689831  (Analyzed', ' 8674990)']","[' 17967    (Average', ' 482.83 Last', ' 22817)']",[' 1401.5  '],"[' 400      (Average Length', ' 265.31 Splits', ' 0)']","[' 8674990  (Deleted', ' 8530110)']","[' 14       (Ratio', '   0.00%)']","[' 1326     (Ratio', '   0.02%)']","[' 8674990  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8674990  (Average', '  1.41 Max', ' 2103 Sum', ' 12269639)']","[' 8674875  (Average', '  1.41 Max', ' 2103 Sum', ' 12252162 Ratio', '  99.86%)']","[' 115      (Average', ' 151.97 Max', ' 398 Sum', '  17477 Ratio', '   0.14%)']", ,[' 78194   '],[' 2420    '],[' 72632   '],[' 22710   '],"[' 57993    (Atom=Atom', ' 17385 Body=Body', ' 10339 Other', ' 30269)']",[' Yes'],"[' 3601     (Eliminated', '    0 Frozen', ' 3601)']","[' 86       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.324389'],[' 0'], ,[' 89.0472'],[' 0'],[' 2.11217'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.59278e+07'],[' 1.54375e+07'],[' 0'],[' 5.29549e+09'],[' 0'],[' 0'],[' 783 '],[' 1207 '],[' 1611 '],[' 1978 '],[' 2485 '],[' 3000 '],[' 3431 '],[' 3795 '],[' 4230 '],[' 4527 '],[' 2 '],[' 8 ']
Solving...,TA68, , ,[' 823'],[' 422'],"[' 16.532s (Solving', ' 14.51s 1st Model', ' 0.51s Unsat', ' 3.60s)']",[' 16.453s'], ,[' 1164531 '],"[' 504589   (Analyzed', ' 138072)']","[' 898      (Average', ' 153.76 Last', ' 2910)']",[' 1472.0  '],"[' 422      (Average Length', ' 274.85 Splits', ' 0)']","[' 138072   (Deleted', ' 116725)']","[' 15       (Ratio', '   0.01%)']","[' 838      (Ratio', '   0.61%)']","[' 138072   (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 138072   (Average', '  2.19 Max', ' 726 Sum', ' 302492)']","[' 138006   (Average', '  2.15 Max', ' 448 Sum', ' 297193 Ratio', '  98.25%)']","[' 66       (Average', ' 80.29 Max', ' 374 Sum', '   5299 Ratio', '   1.75%)']", ,[' 77831   '],[' 2391    '],[' 72393   '],[' 22512   '],"[' 57653    (Atom=Atom', ' 17285 Body=Body', ' 10251 Other', ' 30117)']",[' Yes'],"[' 3592     (Eliminated', '    0 Frozen', ' 3592)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.391792'],[' 0'], ,[' 7.65457'],[' 0'],[' 0.148664'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74921e+06'],[' 1.78743e+06'],[' 0'],[' 4.85019e+08'],[' 0'],[' 0'],[' 492 '],[' 1000 '],[' 1335 '],[' 1673 '],[' 2058 '],[' 2471 '],[' 2820 '],[' 3160 '],[' 3596 '],[' 4047 '],[' 0 '],[' 10 ']
Solving...,TA69, , ,[' 857'],[' 439'],"[' 74.200s (Solving', ' 72.06s 1st Model', ' 0.77s Unsat', ' 65.33s)']",[' 73.641s'], ,[' 5712718 '],"[' 3837023  (Analyzed', ' 3818711)']","[' 8652     (Average', ' 441.37 Last', ' 49649)']",[' 1438.7  '],"[' 439      (Average Length', ' 276.21 Splits', ' 0)']","[' 3818711  (Deleted', ' 3744759)']","[' 32       (Ratio', '   0.00%)']","[' 887      (Ratio', '   0.02%)']","[' 3818711  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3818711  (Average', '  1.35 Max', ' 2226 Sum', ' 5138744)']","[' 3818578  (Average', '  1.34 Max', ' 2226 Sum', ' 5117326 Ratio', '  99.58%)']","[' 133      (Average', ' 161.04 Max', ' 420 Sum', '  21418 Ratio', '   0.42%)']", ,[' 78449   '],[' 2415    '],[' 72846   '],[' 22834   '],"[' 58116    (Atom=Atom', ' 17406 Body=Body', ' 10325 Other', ' 30385)']",[' Yes'],"[' 3631     (Eliminated', '    0 Frozen', ' 3631)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.391367'],[' 0'], ,[' 40.0522'],[' 0'],[' 0.83314'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47072e+07'],[' 5.92321e+06'],[' 0'],[' 2.30273e+09'],[' 0'],[' 0'],[' 574 '],[' 1135 '],[' 1482 '],[' 1797 '],[' 2394 '],[' 2799 '],[' 3190 '],[' 3688 '],[' 4186 '],[' 4494 '],[' 0 '],[' 10 ']
Solving...,TA70, , ,[' 613'],[' 317'],"[' 271.092s (Solving', ' 269.70s 1st Model', ' 0.36s Unsat', ' 27.44s)']",[' 270.063s'], ,[' 17580090'],"[' 12790568 (Analyzed', ' 12776944)']","[' 27665    (Average', ' 461.85 Last', ' 19301)']",[' 1075.4  '],"[' 317      (Average Length', ' 221.47 Splits', ' 0)']","[' 12776944 (Deleted', ' 12569302)']","[' 21       (Ratio', '   0.00%)']","[' 1549     (Ratio', '   0.01%)']","[' 12776944 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12776944 (Average', '  1.33 Max', ' 2193 Sum', ' 16961251)']","[' 12776826 (Average', '  1.33 Max', ' 2193 Sum', ' 16936211 Ratio', '  99.85%)']","[' 118      (Average', ' 212.20 Max', ' 391 Sum', '  25040 Ratio', '   0.15%)']", ,[' 78775   '],[' 2471    '],[' 72970   '],[' 23011   '],"[' 58490    (Atom=Atom', ' 17500 Body=Body', ' 10489 Other', ' 30501)']",[' Yes'],"[' 3575     (Eliminated', '    0 Frozen', ' 3575)']","[' 251      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.207128'],[' 0'], ,[' 187.677'],[' 0'],[' 3.39565'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.45797e+07'],[' 1.5946e+07'],[' 0'],[' 1.23898e+10'],[' 0'],[' 0'],[' 481 '],[' 810 '],[' 1391 '],[' 1835 '],[' 2359 '],[' 3022 '],[' 3282 '],[' 3915 '],[' 4571 '],[' 4870 '],[' 4 '],[' 6 ']
