Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 8925+'],[' 4465'],"[' 610.459s (Solving', ' 567.57s 1st Model', ' 380.84s Unsat', ' 0.00s)']",[' 606.438s'], ,[' 360769542'],"[' 2753941  (Analyzed', ' 934255)']","[' 5492     (Average', ' 170.11 Last', ' 116401)']",[' 11520.2 '],"[' 4465     (Average Length', ' 2174.47 Splits', ' 0)']","[' 934255   (Deleted', ' 880344)']","[' 215      (Ratio', '   0.02%)']","[' 42780    (Ratio', '   4.58%)']","[' 934255   (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 934255   (Average', ' 340.26 Max', ' 12853 Sum', ' 317886822)']","[' 933753   (Average', ' 339.22 Max', ' 12040 Sum', ' 316913444 Ratio', '  99.69%)']","[' 502      (Average', ' 1939.00 Max', ' 1939 Sum', ' 973378 Ratio', '   0.31%)']", ,[' 170265  '],[' 15890   '],[' 171484  '],[' 93105   '],"[' 313603   (Atom=Atom', ' 86321 Body=Body', ' 55827 Other', ' 171455)']",[' Yes'],"[' 20068    (Eliminated', '    0 Frozen', ' 20068)']","[' 5000     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.13338'],[' 0'], ,[' 182.935'],[' 0'],[' 20.2696'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.27084e+08'],[' 7.41796e+08'],[' 0'],[' 4.89826e+09'],[' 0'],[' 0'],[' 1824 '],[' 3653 '],[' 2 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 7151+'],[' 3578'],"[' 608.285s (Solving', ' 574.02s 1st Model', ' 433.50s Unsat', ' 0.00s)']",[' 604.078s'], ,[' 385118132'],"[' 1635626  (Analyzed', ' 953467)']","[' 5083     (Average', ' 187.58 Last', ' 86625)']",[' 11050.4 '],"[' 3578     (Average Length', ' 1751.39 Splits', ' 0)']","[' 953467   (Deleted', ' 900381)']","[' 202      (Ratio', '   0.02%)']","[' 47447    (Ratio', '   4.98%)']","[' 953467   (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 953467   (Average', ' 368.99 Max', ' 11946 Sum', ' 351821738)']","[' 952920   (Average', ' 368.11 Max', ' 11946 Sum', ' 350981546 Ratio', '  99.76%)']","[' 547      (Average', ' 1536.00 Max', ' 1536 Sum', ' 840192 Ratio', '   0.24%)']", ,[' 170244  '],[' 16023   '],[' 170609  '],[' 92892   '],"[' 312679   (Atom=Atom', ' 85766 Body=Body', ' 56154 Other', ' 170759)']",[' Yes'],"[' 19412    (Eliminated', '    0 Frozen', ' 19412)']","[' 5269     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.50273'],[' 0'], ,[' 176.321'],[' 0'],[' 21.6755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.09491e+08'],[' 8.2169e+08'],[' 0'],[' 3.78206e+09'],[' 0'],[' 0'],[' 1849 '],[' 3712 '],[' 2 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 8211+'],[' 4108'],"[' 610.246s (Solving', ' 570.40s 1st Model', ' 453.66s Unsat', ' 0.00s)']",[' 605.984s'], ,[' 378343785'],"[' 1696145  (Analyzed', ' 938371)']","[' 5226     (Average', ' 179.56 Last', ' 212487)']",[' 11097.8 '],"[' 4108     (Average Length', ' 2006.28 Splits', ' 0)']","[' 938371   (Deleted', ' 883473)']","[' 187      (Ratio', '   0.02%)']","[' 46299    (Ratio', '   4.93%)']","[' 938371   (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 938371   (Average', ' 363.41 Max', ' 12214 Sum', ' 341012930)']","[' 937824   (Average', ' 362.37 Max', ' 11844 Sum', ' 340033800 Ratio', '  99.71%)']","[' 547      (Average', ' 1790.00 Max', ' 1790 Sum', ' 979130 Ratio', '   0.29%)']", ,[' 169223  '],[' 15787   '],[' 170164  '],[' 92173   '],"[' 311042   (Atom=Atom', ' 85661 Body=Body', ' 55526 Other', ' 169855)']",[' Yes'],"[' 19651    (Eliminated', '    0 Frozen', ' 19651)']","[' 5245     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.38061'],[' 0'], ,[' 173.387'],[' 0'],[' 21.3535'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.84446e+08'],[' 7.99086e+08'],[' 0'],[' 3.75889e+09'],[' 0'],[' 0'],[' 1767 '],[' 3493 '],[' 2 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 8437+'],[' 4221'],"[' 610.830s (Solving', ' 568.38s 1st Model', ' 459.76s Unsat', ' 0.00s)']",[' 607.281s'], ,[' 369226139'],"[' 1828938  (Analyzed', ' 931458)']","[' 5466     (Average', ' 170.41 Last', ' 118035)']",[' 11413.7 '],"[' 4221     (Average Length', ' 2047.50 Splits', ' 0)']","[' 931458   (Deleted', ' 881487)']","[' 194      (Ratio', '   0.02%)']","[' 44372    (Ratio', '   4.76%)']","[' 931458   (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 931458   (Average', ' 353.63 Max', ' 12142 Sum', ' 329391111)']","[' 930983   (Average', ' 352.77 Max', ' 12142 Sum', ' 328593111 Ratio', '  99.76%)']","[' 475      (Average', ' 1680.00 Max', ' 1680 Sum', ' 798000 Ratio', '   0.24%)']", ,[' 170284  '],[' 15925   '],[' 171319  '],[' 93016   '],"[' 313373   (Atom=Atom', ' 86198 Body=Body', ' 55948 Other', ' 171227)']",[' Yes'],"[' 19901    (Eliminated', '    0 Frozen', ' 19901)']","[' 5197     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.92516'],[' 0'], ,[' 172.599'],[' 0'],[' 20.8894'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.58951e+08'],[' 7.7516e+08'],[' 0'],[' 3.80734e+09'],[' 0'],[' 0'],[' 1805 '],[' 3490 '],[' 2 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 7757+'],[' 3881'],"[' 608.962s (Solving', ' 573.87s 1st Model', ' 472.85s Unsat', ' 0.00s)']",[' 605.688s'], ,[' 378708664'],"[' 1635552  (Analyzed', ' 907806)']","[' 4953     (Average', ' 183.28 Last', ' 90991)']",[' 10476.4 '],"[' 3881     (Average Length', ' 1903.97 Splits', ' 0)']","[' 907806   (Deleted', ' 850456)']","[' 196      (Ratio', '   0.02%)']","[' 49125    (Ratio', '   5.41%)']","[' 907806   (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 907806   (Average', ' 380.79 Max', ' 11869 Sum', ' 345679704)']","[' 907234   (Average', ' 379.51 Max', ' 11869 Sum', ' 344523120 Ratio', '  99.67%)']","[' 572      (Average', ' 2022.00 Max', ' 2022 Sum', ' 1156584 Ratio', '   0.33%)']", ,[' 169655  '],[' 15890   '],[' 170330  '],[' 92481   '],"[' 311815   (Atom=Atom', ' 85739 Body=Body', ' 55827 Other', ' 170249)']",[' Yes'],"[' 19550    (Eliminated', '    0 Frozen', ' 19550)']","[' 5430     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.69658'],[' 0'], ,[' 175.961'],[' 0'],[' 21.591'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.93396e+08'],[' 8.0844e+08'],[' 0'],[' 3.71115e+09'],[' 0'],[' 0'],[' 1724 '],[' 3583 '],[' 2 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 7873+'],[' 3939'],"[' 609.794s (Solving', ' 572.70s 1st Model', ' 447.78s Unsat', ' 0.00s)']",[' 605.953s'], ,[' 377295313'],"[' 1288242  (Analyzed', ' 930441)']","[' 4824     (Average', ' 192.88 Last', ' 66217)']",[' 10516.0 '],"[' 3939     (Average Length', ' 1924.46 Splits', ' 0)']","[' 930441   (Deleted', ' 873913)']","[' 167      (Ratio', '   0.02%)']","[' 48294    (Ratio', '   5.19%)']","[' 930441   (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 930441   (Average', ' 369.68 Max', ' 11791 Sum', ' 343966361)']","[' 929892   (Average', ' 368.55 Max', ' 11791 Sum', ' 342918320 Ratio', '  99.70%)']","[' 549      (Average', ' 1909.00 Max', ' 1909 Sum', ' 1048041 Ratio', '   0.30%)']", ,[' 170036  '],[' 15936   '],[' 170726  '],[' 92802   '],"[' 312572   (Atom=Atom', ' 85888 Body=Body', ' 55915 Other', ' 170769)']",[' Yes'],"[' 19610    (Eliminated', '    0 Frozen', ' 19610)']","[' 5291     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.94591'],[' 0'], ,[' 172.838'],[' 0'],[' 21.5204'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.89702e+08'],[' 8.039e+08'],[' 0'],[' 3.39403e+09'],[' 0'],[' 0'],[' 1776 '],[' 3571 '],[' 2 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 9023+'],[' 4513'],"[' 34818.043s (Solving', ' 34764.28s 1st Model', ' 34630.16s Unsat', ' 0.00s)']",[' 561.281s'], ,[' 292725090'],"[' 1516304  (Analyzed', ' 681839)']","[' 4876     (Average', ' 139.84 Last', ' 128795)']",[' 11953.1 '],"[' 4513     (Average Length', ' 2185.75 Splits', ' 0)']","[' 681839   (Deleted', ' 642223)']","[' 154      (Ratio', '   0.02%)']","[' 34964    (Ratio', '   5.13%)']","[' 681839   (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 681839   (Average', ' 363.23 Max', ' 12867 Sum', ' 247663274)']","[' 681839   (Average', ' 363.23 Max', ' 12867 Sum', ' 247663274 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 170026  '],[' 15850   '],[' 171268  '],[' 92922   '],"[' 312884   (Atom=Atom', ' 86113 Body=Body', ' 55570 Other', ' 171201)']",[' Yes'],"[' 20059    (Eliminated', '    0 Frozen', ' 20059)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.73592'],[' 0'], ,[' 151.885'],[' 0'],[' 17.8887'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.08904e+08'],[' 5.46447e+08'],[' 0'],[' 2.93438e+09'],[' 0'],[' 0'],[' 1881 '],[' 3613 '],[' 2 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 7027+'],[' 3516'],"[' 609.699s (Solving', ' 574.35s 1st Model', ' 432.73s Unsat', ' 0.00s)']",[' 598.250s'], ,[' 353268324'],"[' 1205275  (Analyzed', ' 807816)']","[' 4361     (Average', ' 185.24 Last', ' 75200)']",[' 10376.3 '],"[' 3516     (Average Length', ' 1719.18 Splits', ' 0)']","[' 807816   (Deleted', ' 755627)']","[' 191      (Ratio', '   0.02%)']","[' 44450    (Ratio', '   5.50%)']","[' 807816   (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 807816   (Average', ' 400.19 Max', ' 11614 Sum', ' 323279386)']","[' 807230   (Average', ' 398.96 Max', ' 11614 Sum', ' 322284358 Ratio', '  99.69%)']","[' 586      (Average', ' 1698.00 Max', ' 1698 Sum', ' 995028 Ratio', '   0.31%)']", ,[' 169153  '],[' 15865   '],[' 169562  '],[' 92037   '],"[' 310512   (Atom=Atom', ' 85347 Body=Body', ' 55806 Other', ' 169359)']",[' Yes'],"[' 19221    (Eliminated', '    0 Frozen', ' 19221)']","[' 4891     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.60807'],[' 0'], ,[' 175.14'],[' 0'],[' 21.8693'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.81799e+08'],[' 7.06901e+08'],[' 0'],[' 3.04792e+09'],[' 0'],[' 0'],[' 1768 '],[' 3479 '],[' 2 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 8529+'],[' 4267'],"[' 613.109s (Solving', ' 564.13s 1st Model', ' 424.42s Unsat', ' 0.00s)']",[' 608.109s'], ,[' 332753532'],"[' 1848634  (Analyzed', ' 782821)']","[' 4882     (Average', ' 160.35 Last', ' 93327)']",[' 11695.1 '],"[' 4267     (Average Length', ' 2085.04 Splits', ' 0)']","[' 782821   (Deleted', ' 735488)']","[' 186      (Ratio', '   0.02%)']","[' 42313    (Ratio', '   5.41%)']","[' 782821   (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 782821   (Average', ' 372.09 Max', ' 11881 Sum', ' 291283456)']","[' 782338   (Average', ' 371.10 Max', ' 11881 Sum', ' 290505343 Ratio', '  99.73%)']","[' 483      (Average', ' 1611.00 Max', ' 1611 Sum', ' 778113 Ratio', '   0.27%)']", ,[' 170347  '],[' 15934   '],[' 171391  '],[' 93092   '],"[' 313348   (Atom=Atom', ' 86134 Body=Body', ' 55835 Other', ' 171379)']",[' Yes'],"[' 19965    (Eliminated', '    0 Frozen', ' 19965)']","[' 4764     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.08542'],[' 0'], ,[' 170.289'],[' 0'],[' 20.3479'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.42674e+08'],[' 6.71101e+08'],[' 0'],[' 3.57233e+09'],[' 0'],[' 0'],[' 1947 '],[' 3835 '],[' 2 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 7847+'],[' 3926'],"[' 610.447s (Solving', ' 569.55s 1st Model', ' 349.95s Unsat', ' 0.00s)']",[' 606.734s'], ,[' 357856356'],"[' 1588152  (Analyzed', ' 877160)']","[' 4774     (Average', ' 183.74 Last', ' 173301)']",[' 11289.2 '],"[' 3926     (Average Length', ' 1918.70 Splits', ' 0)']","[' 877160   (Deleted', ' 820767)']","[' 245      (Ratio', '   0.03%)']","[' 48564    (Ratio', '   5.54%)']","[' 877160   (Average Length', '   25.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 877160   (Average', ' 366.14 Max', ' 12100 Sum', ' 321161207)']","[' 876576   (Average', ' 365.03 Max', ' 12100 Sum', ' 320192935 Ratio', '  99.70%)']","[' 584      (Average', ' 1658.00 Max', ' 1658 Sum', ' 968272 Ratio', '   0.30%)']", ,[' 171168  '],[' 16115   '],[' 171805  '],[' 93646   '],"[' 314821   (Atom=Atom', ' 86322 Body=Body', ' 56364 Other', ' 172135)']",[' Yes'],"[' 19844    (Eliminated', '    0 Frozen', ' 19844)']","[' 5683     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.70867'],[' 0'], ,[' 174.962'],[' 0'],[' 21.2879'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.961e+08'],[' 7.21098e+08'],[' 0'],[' 3.55264e+09'],[' 0'],[' 0'],[' 2054 '],[' 4007 '],[' 2 '],[' 0 ']
