Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 10541+'],[' 5275'],"[' 1028.513s (Solving', ' 927.63s 1st Model', ' 464.35s Unsat', ' 0.00s)']",[' 1020.188s'], ,[' 531145166'],"[' 1960580  (Analyzed', ' 950730)']","[' 4777     (Average', ' 199.02 Last', ' 97273)']",[' 14887.3 '],"[' 5275     (Average Length', ' 2750.29 Splits', ' 0)']","[' 950730   (Deleted', ' 866362)']","[' 323      (Ratio', '   0.03%)']","[' 59880    (Ratio', '   6.30%)']","[' 950730   (Average Length', '   31.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 950730   (Average', ' 499.45 Max', ' 18437 Sum', ' 474841654)']","[' 947317   (Average', ' 490.01 Max', ' 18437 Sum', ' 465864947 Ratio', '  98.11%)']","[' 3413     (Average', ' 2630.15 Max', ' 3592 Sum', ' 8976707 Ratio', '   1.89%)']", ,[' 433480  '],[' 28878   '],[' 395189  '],[' 194966  '],"[' 521987   (Atom=Atom', ' 137306 Body=Body', ' 97036 Other', ' 287645)']",[' Yes'],"[' 34523    (Eliminated', '    0 Frozen', ' 34523)']","[' 11566    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.5883'],[' 0'], ,[' 247.585'],[' 0'],[' 33.5697'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.49702e+08'],[' 8.70437e+08'],[' 0'],[' 4.31483e+09'],[' 0'],[' 0'],[' 2286 '],[' 4070 '],[' 5710 '],[' 7400 '],[' 4 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 10665+'],[' 5337'],"[' 1028.436s (Solving', ' 926.11s 1st Model', ' 249.70s Unsat', ' 0.00s)']",[' 1023.938s'], ,[' 522284609'],"[' 4053203  (Analyzed', ' 1770182)']","[' 6074     (Average', ' 291.44 Last', ' 10917)']",[' 15192.2 '],"[' 5337     (Average Length', ' 2754.08 Splits', ' 0)']","[' 1770182  (Deleted', ' 1679903)']","[' 285      (Ratio', '   0.02%)']","[' 57502    (Ratio', '   3.25%)']","[' 1770182  (Average Length', '   29.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1770182  (Average', ' 261.23 Max', ' 18261 Sum', ' 462424393)']","[' 1766740  (Average', ' 255.98 Max', ' 18261 Sum', ' 453126300 Ratio', '  97.99%)']","[' 3442     (Average', ' 2701.36 Max', ' 3541 Sum', ' 9298093 Ratio', '   2.01%)']", ,[' 430926  '],[' 28548   '],[' 392905  '],[' 193456  '],"[' 517265   (Atom=Atom', ' 136126 Body=Body', ' 95987 Other', ' 285152)']",[' Yes'],"[' 34285    (Eliminated', '    0 Frozen', ' 34285)']","[' 10708    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.8285'],[' 0'], ,[' 282.365'],[' 0'],[' 32.8129'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.96914e+08'],[' 8.10067e+08'],[' 0'],[' 7.56953e+09'],[' 0'],[' 0'],[' 1934 '],[' 3698 '],[' 5366 '],[' 6959 '],[' 4 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 10403+'],[' 5206'],"[' 1027.535s (Solving', ' 927.04s 1st Model', ' 278.19s Unsat', ' 0.00s)']",[' 1020.609s'], ,[' 539641141'],"[' 5377164  (Analyzed', ' 2315189)']","[' 7455     (Average', ' 310.56 Last', ' 14453)']",[' 15414.1 '],"[' 5206     (Average Length', ' 2748.61 Splits', ' 0)']","[' 2315189  (Deleted', ' 2233497)']","[' 325      (Ratio', '   0.01%)']","[' 51188    (Ratio', '   2.21%)']","[' 2315189  (Average Length', '   31.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2315189  (Average', ' 207.47 Max', ' 18521 Sum', ' 480335947)']","[' 2311078  (Average', ' 202.89 Max', ' 18521 Sum', ' 469720635 Ratio', '  97.79%)']","[' 4111     (Average', ' 2582.17 Max', ' 17804 Sum', ' 10615312 Ratio', '   2.21%)']", ,[' 430793  '],[' 28551   '],[' 392634  '],[' 193129  '],"[' 517239   (Atom=Atom', ' 136034 Body=Body', ' 96061 Other', ' 285144)']",[' Yes'],"[' 34154    (Eliminated', '    0 Frozen', ' 34154)']","[' 9669     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.5303'],[' 0'], ,[' 298.678'],[' 0'],[' 32.8605'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.55643e+08'],[' 7.7158e+08'],[' 0'],[' 9.24606e+09'],[' 0'],[' 0'],[' 2247 '],[' 3806 '],[' 5455 '],[' 7068 '],[' 4 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 10029+'],[' 5019'],"[' 1024.251s (Solving', ' 934.11s 1st Model', ' 459.17s Unsat', ' 0.00s)']",[' 1020.516s'], ,[' 557026678'],"[' 2620581  (Analyzed', ' 930218)']","[' 5167     (Average', ' 180.03 Last', ' 88470)']",[' 14181.7 '],"[' 5019     (Average Length', ' 2659.57 Splits', ' 0)']","[' 930218   (Deleted', ' 849056)']","[' 286      (Ratio', '   0.03%)']","[' 61877    (Ratio', '   6.65%)']","[' 930218   (Average Length', '   28.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 930218   (Average', ' 545.09 Max', ' 18026 Sum', ' 507049248)']","[' 926635   (Average', ' 534.44 Max', ' 18026 Sum', ' 497144737 Ratio', '  98.05%)']","[' 3583     (Average', ' 2764.31 Max', ' 3655 Sum', ' 9904511 Ratio', '   1.95%)']", ,[' 430636  '],[' 28486   '],[' 392324  '],[' 193002  '],"[' 515427   (Atom=Atom', ' 135547 Body=Body', ' 95735 Other', ' 284145)']",[' Yes'],"[' 33981    (Eliminated', '    0 Frozen', ' 33981)']","[' 11408    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7493'],[' 0'], ,[' 265.19'],[' 0'],[' 34.294'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05614e+09'],[' 9.70227e+08'],[' 0'],[' 5.95439e+09'],[' 0'],[' 0'],[' 1686 '],[' 3586 '],[' 5547 '],[' 6934 '],[' 4 '],[' 0 ']
Solving...,TA75, , ,[' 10991+'],[' 5500'],"[' 1028.391s (Solving', ' 926.29s 1st Model', ' 269.48s Unsat', ' 0.00s)']",[' 1022.375s'], ,[' 509349593'],"[' 3626727  (Analyzed', ' 949197)']","[' 5180     (Average', ' 183.24 Last', ' 14222)']",[' 14845.1 '],"[' 5501     (Average Length', ' 2823.53 Splits', ' 0)']","[' 949197   (Deleted', ' 861708)']","[' 313      (Ratio', '   0.03%)']","[' 57443    (Ratio', '   6.05%)']","[' 949197   (Average Length', '   28.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 949197   (Average', ' 474.58 Max', ' 18031 Sum', ' 450471977)']","[' 945575   (Average', ' 463.66 Max', ' 18031 Sum', ' 440107249 Ratio', '  97.70%)']","[' 3622     (Average', ' 2861.60 Max', ' 3579 Sum', ' 10364728 Ratio', '   2.30%)']", ,[' 431946  '],[' 28644   '],[' 393915  '],[' 193993  '],"[' 519357   (Atom=Atom', ' 136665 Body=Body', ' 96425 Other', ' 286267)']",[' Yes'],"[' 34494    (Eliminated', '    0 Frozen', ' 34494)']","[' 11379    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.6545'],[' 0'], ,[' 267.393'],[' 0'],[' 31.3349'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.68268e+08'],[' 8.86961e+08'],[' 0'],[' 7.24231e+09'],[' 0'],[' 0'],[' 1920 '],[' 3546 '],[' 5597 '],[' 7224 '],[' 4 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 11861+'],[' 5935'],"[' 1030.824s (Solving', ' 918.76s 1st Model', ' 449.43s Unsat', ' 0.00s)']",[' 1019.547s'], ,[' 476253415'],"[' 3201575  (Analyzed', ' 655784)']","[' 4942     (Average', ' 132.70 Last', ' 112419)']",[' 14701.7 '],"[' 5935     (Average Length', ' 3027.91 Splits', ' 0)']","[' 655784   (Deleted', ' 569316)']","[' 269      (Ratio', '   0.04%)']","[' 54009    (Ratio', '   8.24%)']","[' 655784   (Average Length', '   26.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 655784   (Average', ' 635.57 Max', ' 17920 Sum', ' 416795273)']","[' 651833   (Average', ' 616.07 Max', ' 17920 Sum', ' 404008148 Ratio', '  96.93%)']","[' 3951     (Average', ' 3236.43 Max', ' 3998 Sum', ' 12787125 Ratio', '   3.07%)']", ,[' 432167  '],[' 28658   '],[' 394556  '],[' 194444  '],"[' 520628   (Atom=Atom', ' 137181 Body=Body', ' 96314 Other', ' 287133)']",[' Yes'],"[' 34864    (Eliminated', '    0 Frozen', ' 34864)']","[' 11133    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.4824'],[' 0'], ,[' 243.256'],[' 0'],[' 30.3779'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.19018e+08'],[' 8.42882e+08'],[' 0'],[' 5.70526e+09'],[' 0'],[' 0'],[' 1796 '],[' 3409 '],[' 5199 '],[' 7013 '],[' 4 '],[' 0 ']
Solving...,TA77, , ,[' 10191+'],[' 5100'],"[' 1026.827s (Solving', ' 929.77s 1st Model', ' 287.47s Unsat', ' 0.00s)']",[' 1020.203s'], ,[' 524428300'],"[' 3501762  (Analyzed', ' 1906422)']","[' 6277     (Average', ' 303.72 Last', ' 36773)']",[' 14811.3 '],"[' 5101     (Average Length', ' 2620.49 Splits', ' 0)']","[' 1906422  (Deleted', ' 1813989)']","[' 337      (Ratio', '   0.02%)']","[' 57754    (Ratio', '   3.03%)']","[' 1906422  (Average Length', '   30.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1906422  (Average', ' 246.01 Max', ' 18226 Sum', ' 468996699)']","[' 1903025  (Average', ' 241.40 Max', ' 18226 Sum', ' 460217206 Ratio', '  98.13%)']","[' 3397     (Average', ' 2584.48 Max', ' 3320 Sum', ' 8779493 Ratio', '   1.87%)']", ,[' 430028  '],[' 28455   '],[' 391774  '],[' 192491  '],"[' 514949   (Atom=Atom', ' 135444 Body=Body', ' 95660 Other', ' 283845)']",[' Yes'],"[' 33969    (Eliminated', '    0 Frozen', ' 33969)']","[' 11505    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.179'],[' 0'], ,[' 284.967'],[' 0'],[' 33.2541'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.0054e+08'],[' 8.10923e+08'],[' 0'],[' 6.99283e+09'],[' 0'],[' 0'],[' 2052 '],[' 3914 '],[' 5666 '],[' 7420 '],[' 4 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 10683+'],[' 5346'],"[' 1027.024s (Solving', ' 928.36s 1st Model', ' 332.67s Unsat', ' 0.00s)']",[' 1022.500s'], ,[' 535676590'],"[' 1795656  (Analyzed', ' 1095336)']","[' 4800     (Average', ' 228.19 Last', ' 38307)']",[' 14505.7 '],"[' 5346     (Average Length', ' 2780.74 Splits', ' 0)']","[' 1095336  (Deleted', ' 1010806)']","[' 307      (Ratio', '   0.03%)']","[' 62551    (Ratio', '   5.71%)']","[' 1095336  (Average Length', '   26.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1095336  (Average', ' 440.14 Max', ' 17771 Sum', ' 482098636)']","[' 1091738  (Average', ' 431.02 Max', ' 17771 Sum', ' 472106290 Ratio', '  97.93%)']","[' 3598     (Average', ' 2777.19 Max', ' 3641 Sum', ' 9992346 Ratio', '   2.07%)']", ,[' 430202  '],[' 28403   '],[' 392142  '],[' 192789  '],"[' 515278   (Atom=Atom', ' 135588 Body=Body', ' 95582 Other', ' 284108)']",[' Yes'],"[' 34121    (Eliminated', '    0 Frozen', ' 34121)']","[' 11850    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.3767'],[' 0'], ,[' 245.252'],[' 0'],[' 33.1634'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01829e+09'],[' 9.30158e+08'],[' 0'],[' 4.52866e+09'],[' 0'],[' 0'],[' 1841 '],[' 3409 '],[' 5217 '],[' 6743 '],[' 4 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 11485+'],[' 5747'],"[' 1029.966s (Solving', ' 918.85s 1st Model', ' 446.93s Unsat', ' 0.00s)']",[' 1021.109s'], ,[' 481010174'],"[' 2327241  (Analyzed', ' 543849)']","[' 4530     (Average', ' 120.05 Last', ' 76357)']",[' 14737.0 '],"[' 5747     (Average Length', ' 2954.24 Splits', ' 0)']","[' 543849   (Deleted', ' 462004)']","[' 255      (Ratio', '   0.05%)']","[' 52844    (Ratio', '   9.72%)']","[' 543849   (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 543849   (Average', ' 776.36 Max', ' 18239 Sum', ' 422222676)']","[' 540161   (Average', ' 756.23 Max', ' 18239 Sum', ' 411275935 Ratio', '  97.41%)']","[' 3688     (Average', ' 2968.21 Max', ' 3897 Sum', ' 10946741 Ratio', '   2.59%)']", ,[' 431559  '],[' 28570   '],[' 393876  '],[' 193846  '],"[' 518914   (Atom=Atom', ' 136640 Body=Body', ' 95983 Other', ' 286291)']",[' Yes'],"[' 34669    (Eliminated', '    0 Frozen', ' 34669)']","[' 10701    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.6094'],[' 0'], ,[' 236.697'],[' 0'],[' 31.016'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.87004e+08'],[' 8.15692e+08'],[' 0'],[' 4.28885e+09'],[' 0'],[' 0'],[' 1629 '],[' 3210 '],[' 5028 '],[' 6637 '],[' 4 '],[' 0 ']
Solving...,TA80, , ,[' 11377+'],[' 5693'],"[' 1034.090s (Solving', ' 911.17s 1st Model', ' 316.63s Unsat', ' 0.00s)']",[' 1031.500s'], ,[' 414925070'],"[' 3609666  (Analyzed', ' 647436)']","[' 4827     (Average', ' 134.13 Last', ' 36237)']",[' 15697.7 '],"[' 5694     (Average Length', ' 2938.23 Splits', ' 0)']","[' 647436   (Deleted', ' 570607)']","[' 284      (Ratio', '   0.04%)']","[' 45613    (Ratio', '   7.05%)']","[' 647436   (Average Length', '   29.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 647436   (Average', ' 537.67 Max', ' 19460 Sum', ' 348106658)']","[' 644116   (Average', ' 523.54 Max', ' 19460 Sum', ' 338959044 Ratio', '  97.37%)']","[' 3320     (Average', ' 2755.31 Max', ' 3858 Sum', ' 9147614 Ratio', '   2.63%)']", ,[' 431836  '],[' 28615   '],[' 393984  '],[' 194084  '],"[' 519158   (Atom=Atom', ' 136744 Body=Body', ' 96163 Other', ' 286251)']",[' Yes'],"[' 34593    (Eliminated', '    0 Frozen', ' 34593)']","[' 9249     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.9551'],[' 0'], ,[' 246.478'],[' 0'],[' 28.8939'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.40991e+08'],[' 6.74782e+08'],[' 0'],[' 5.86223e+09'],[' 0'],[' 0'],[' 2062 '],[' 3584 '],[' 5218 '],[' 6925 '],[' 4 '],[' 0 ']
