Optimal Found Or Timeout,Instances,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 11469+'],[' 5738'],"[' 1034.443s (Solving', ' 913.25s 1st Model', ' 396.95s Unsat', ' 0.00s)']",[' 1027.469s'], ,[' 518802675'],"[' 2338109  (Analyzed', ' 930878)']","[' 5341     (Average', ' 174.29 Last', ' 97273)']",[' 19333.0 '],"[' 5739     (Average Length', ' 3157.52 Splits', ' 0)']","[' 930878   (Deleted', ' 854524)']","[' 654      (Ratio', '   0.07%)']","[' 48491    (Ratio', '   5.21%)']","[' 930878   (Average Length', '   33.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 930878   (Average', ' 461.85 Max', ' 27944 Sum', ' 429929794)']","[' 928390   (Average', ' 455.80 Max', ' 27944 Sum', ' 424291537 Ratio', '  98.69%)']","[' 2488     (Average', ' 2266.18 Max', ' 3266 Sum', ' 5638257 Ratio', '   1.31%)']", ,[' 492073  '],[' 36441   '],[' 455048  '],[' 250415  '],"[' 662305   (Atom=Atom', ' 175509 Body=Body', ' 128964 Other', ' 357832)']",[' Yes'],"[' 42865    (Eliminated', '    0 Frozen', ' 42865)']","[' 7550     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.3945'],[' 0'], ,[' 233.857'],[' 0'],[' 31.2537'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.25788e+08'],[' 8.50569e+08'],[' 0'],[' 4.45873e+09'],[' 0'],[' 0'],[' 2286 '],[' 3938 '],[' 7751 '],[' 12419 '],[' 4 '],[' 0 ']
Solving...,TA72, , ,[' 11723+'],[' 5865'],"[' 1034.534s (Solving', ' 914.19s 1st Model', ' 374.78s Unsat', ' 0.00s)']",[' 1028.297s'], ,[' 524742505'],"[' 2705017  (Analyzed', ' 1671035)']","[' 6565     (Average', ' 254.54 Last', ' 16428)']",[' 19495.8 '],"[' 5866     (Average Length', ' 3167.87 Splits', ' 0)']","[' 1671035  (Deleted', ' 1590393)']","[' 368      (Ratio', '   0.02%)']","[' 44372    (Ratio', '   2.66%)']","[' 1671035  (Average Length', '   29.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1671035  (Average', ' 257.73 Max', ' 28043 Sum', ' 430667732)']","[' 1669631  (Average', ' 255.91 Max', ' 28043 Sum', ' 427638616 Ratio', '  99.30%)']","[' 1404     (Average', ' 2157.49 Max', ' 3328 Sum', ' 3029116 Ratio', '   0.70%)']", ,[' 487913  '],[' 35972   '],[' 451352  '],[' 247660  '],"[' 657215   (Atom=Atom', ' 174254 Body=Body', ' 127859 Other', ' 355102)']",[' Yes'],"[' 42555    (Eliminated', '    0 Frozen', ' 42555)']","[' 6075     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.4889'],[' 0'], ,[' 247.253'],[' 0'],[' 31.8172'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.66584e+08'],[' 7.89691e+08'],[' 0'],[' 4.8441e+09'],[' 0'],[' 0'],[' 1934 '],[' 3456 '],[' 6113 '],[' 12368 '],[' 4 '],[' 0 ']
Solving...,TA73, , ,[' 12019+'],[' 6013'],"[' 1035.751s (Solving', ' 910.62s 1st Model', ' 346.84s Unsat', ' 0.00s)']",[' 1029.844s'], ,[' 523807152'],"[' 2830283  (Analyzed', ' 2180001)']","[' 7403     (Average', ' 294.48 Last', ' 10684)']",[' 20095.1 '],"[' 6014     (Average Length', ' 3318.55 Splits', ' 0)']","[' 2180001  (Deleted', ' 2100118)']","[' 480      (Ratio', '   0.02%)']","[' 36657    (Ratio', '   1.68%)']","[' 2180001  (Average Length', '   32.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2180001  (Average', ' 195.69 Max', ' 28960 Sum', ' 426609173)']","[' 2178024  (Average', ' 193.59 Max', ' 28960 Sum', ' 422016697 Ratio', '  98.92%)']","[' 1977     (Average', ' 2322.95 Max', ' 3583 Sum', ' 4592476 Ratio', '   1.08%)']", ,[' 489923  '],[' 36161   '],[' 453389  '],[' 249156  '],"[' 660421   (Atom=Atom', ' 175111 Body=Body', ' 128451 Other', ' 356859)']",[' Yes'],"[' 42848    (Eliminated', '    0 Frozen', ' 42848)']","[' 5512     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.0701'],[' 0'], ,[' 252.829'],[' 0'],[' 31.6952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.89733e+08'],[' 7.19129e+08'],[' 0'],[' 5.29943e+09'],[' 0'],[' 0'],[' 2247 '],[' 3831 '],[' 7831 '],[' 12999 '],[' 4 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 11571+'],[' 5789'],"[' 1034.566s (Solving', ' 914.09s 1st Model', ' 539.31s Unsat', ' 0.00s)']",[' 1028.391s'], ,[' 527013089'],"[' 1622650  (Analyzed', ' 559214)']","[' 4945     (Average', ' 113.09 Last', ' 88470)']",[' 18736.1 '],"[' 5789     (Average Length', ' 3150.49 Splits', ' 0)']","[' 559214   (Deleted', ' 483928)']","[' 545      (Ratio', '   0.10%)']","[' 46893    (Ratio', '   8.39%)']","[' 559214   (Average Length', '   25.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 559214   (Average', ' 788.73 Max', ' 27253 Sum', ' 441068156)']","[' 556974   (Average', ' 778.90 Max', ' 27253 Sum', ' 435569867 Ratio', '  98.75%)']","[' 2240     (Average', ' 2454.59 Max', ' 3313 Sum', ' 5498289 Ratio', '   1.25%)']", ,[' 487845  '],[' 35935   '],[' 451143  '],[' 247456  '],"[' 656974   (Atom=Atom', ' 174153 Body=Body', ' 127781 Other', ' 355040)']",[' Yes'],"[' 42521    (Eliminated', '    0 Frozen', ' 42521)']","[' 7139     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.6175'],[' 0'], ,[' 219.685'],[' 0'],[' 31.9107'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.77838e+08'],[' 9.04196e+08'],[' 0'],[' 3.17834e+09'],[' 0'],[' 0'],[' 1685 '],[' 3476 '],[' 6077 '],[' 12601 '],[' 4 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 12119+'],[' 6064'],"[' 1034.754s (Solving', ' 910.81s 1st Model', ' 356.36s Unsat', ' 0.00s)']",[' 1025.766s'], ,[' 481266081'],"[' 2390927  (Analyzed', ' 582770)']","[' 4846     (Average', ' 120.26 Last', ' 6591)']",[' 19637.2 '],"[' 6064     (Average Length', ' 3279.96 Splits', ' 0)']","[' 582770   (Deleted', ' 515889)']","[' 279      (Ratio', '   0.05%)']","[' 40429    (Ratio', '   6.94%)']","[' 582770   (Average Length', '   28.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 582770   (Average', ' 656.12 Max', ' 29731 Sum', ' 382367009)']","[' 581730   (Average', ' 652.19 Max', ' 29731 Sum', ' 380077361 Ratio', '  99.40%)']","[' 1040     (Average', ' 2201.58 Max', ' 4571 Sum', ' 2289648 Ratio', '   0.60%)']", ,[' 490737  '],[' 36278   '],[' 454035  '],[' 249682  '],"[' 661872   (Atom=Atom', ' 175535 Body=Body', ' 128734 Other', ' 357603)']",[' Yes'],"[' 42932    (Eliminated', '    0 Frozen', ' 42932)']","[' 5463     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.4979'],[' 0'], ,[' 227.16'],[' 0'],[' 30.551'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.36669e+08'],[' 7.72664e+08'],[' 0'],[' 3.91379e+09'],[' 0'],[' 0'],[' 1920 '],[' 3663 '],[' 5864 '],[' 11558 '],[' 4 '],[' 0 ']
Solving...,TA76, , ,[' 11046+'],[' 5527'],"[' 1035.673s (Solving', ' 909.71s 1st Model', ' 521.16s Unsat', ' 0.00s)']",[' 1027.641s'], ,[' 472825993'],"[' 1005112  (Analyzed', ' 504820)']","[' 4175     (Average', ' 120.91 Last', ' 112419)']",[' 18357.7 '],"[' 5528     (Average Length', ' 3030.28 Splits', ' 0)']","[' 504820   (Deleted', ' 436686)']","[' 873      (Ratio', '   0.17%)']","[' 44450    (Ratio', '   8.81%)']","[' 504820   (Average Length', '   26.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 504820   (Average', ' 780.65 Max', ' 28226 Sum', ' 394088959)']","[' 501905   (Average', ' 767.57 Max', ' 28226 Sum', ' 387486329 Ratio', '  98.32%)']","[' 2915     (Average', ' 2265.05 Max', ' 4220 Sum', ' 6602630 Ratio', '   1.68%)']", ,[' 488260  '],[' 36080   '],[' 451475  '],[' 247836  '],"[' 658283   (Atom=Atom', ' 174482 Body=Body', ' 128321 Other', ' 355480)']",[' Yes'],"[' 42540    (Eliminated', '    0 Frozen', ' 42540)']","[' 7671     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.4252'],[' 0'], ,[' 215.648'],[' 0'],[' 31.5834'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.73565e+08'],[' 8.07889e+08'],[' 0'],[' 2.30156e+09'],[' 0'],[' 0'],[' 1796 '],[' 3395 '],[' 10667 '],[' 13290 '],[' 4 '],[' 0 ']
Solving...,TA77, , ,[' 12317+'],[' 6163'],"[' 1034.713s (Solving', ' 910.59s 1st Model', ' 365.27s Unsat', ' 0.00s)']",[' 1028.609s'], ,[' 524068755'],"[' 2197536  (Analyzed', ' 1541595)']","[' 5830     (Average', ' 264.42 Last', ' 25656)']",[' 18926.0 '],"[' 6164     (Average Length', ' 3246.91 Splits', ' 0)']","[' 1541595  (Deleted', ' 1464516)']","[' 694      (Ratio', '   0.05%)']","[' 42760    (Ratio', '   2.77%)']","[' 1541595  (Average Length', '   30.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1541595  (Average', ' 280.50 Max', ' 27582 Sum', ' 432421946)']","[' 1539162  (Average', ' 276.72 Max', ' 27582 Sum', ' 426593409 Ratio', '  98.65%)']","[' 2433     (Average', ' 2395.62 Max', ' 4475 Sum', ' 5828537 Ratio', '   1.35%)']", ,[' 489728  '],[' 36124   '],[' 453031  '],[' 248981  '],"[' 659440   (Atom=Atom', ' 174957 Body=Body', ' 128119 Other', ' 356364)']",[' Yes'],"[' 42747    (Eliminated', '    0 Frozen', ' 42747)']","[' 7273     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.2747'],[' 0'], ,[' 241.576'],[' 0'],[' 32.0624'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.4419e+08'],[' 7.68832e+08'],[' 0'],[' 4.22645e+09'],[' 0'],[' 0'],[' 2052 '],[' 3705 '],[' 5756 '],[' 13208 '],[' 4 '],[' 0 ']
Solving...,TA78, , ,[' 11851+'],[' 5930'],"[' 1035.158s (Solving', ' 909.94s 1st Model', ' 314.61s Unsat', ' 0.00s)']",[' 1028.703s'], ,[' 514380097'],"[' 1526064  (Analyzed', ' 878332)']","[' 4736     (Average', ' 185.46 Last', ' 15232)']",[' 18754.2 '],"[' 5931     (Average Length', ' 3238.85 Splits', ' 0)']","[' 878332   (Deleted', ' 794800)']","[' 747      (Ratio', '   0.09%)']","[' 47492    (Ratio', '   5.41%)']","[' 878332   (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 878332   (Average', ' 487.71 Max', ' 26187 Sum', ' 428369167)']","[' 875465   (Average', ' 480.01 Max', ' 26187 Sum', ' 421608961 Ratio', '  98.42%)']","[' 2867     (Average', ' 2357.94 Max', ' 11525 Sum', ' 6760206 Ratio', '   1.58%)']", ,[' 488854  '],[' 36051   '],[' 452326  '],[' 248353  '],"[' 658494   (Atom=Atom', ' 174611 Body=Body', ' 128145 Other', ' 355738)']",[' Yes'],"[' 42758    (Eliminated', '    0 Frozen', ' 42758)']","[' 8407     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.3318'],[' 0'], ,[' 220.513'],[' 0'],[' 31.3183'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.41586e+08'],[' 8.64963e+08'],[' 0'],[' 3.19694e+09'],[' 0'],[' 0'],[' 1841 '],[' 3380 '],[' 8517 '],[' 15898 '],[' 4 '],[' 0 ']
Solving...,TA79, , ,[' 12145+'],[' 6076'],"[' 1035.517s (Solving', ' 912.72s 1st Model', ' 590.96s Unsat', ' 0.00s)']",[' 1028.688s'], ,[' 526150367'],"[' 1056808  (Analyzed', ' 529464)']","[' 4407     (Average', ' 120.14 Last', ' 227908)']",[' 18756.9 '],"[' 6077     (Average Length', ' 3273.73 Splits', ' 0)']","[' 529464   (Deleted', ' 456303)']","[' 469      (Ratio', '   0.09%)']","[' 46296    (Ratio', '   8.74%)']","[' 529464   (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 529464   (Average', ' 822.20 Max', ' 28087 Sum', ' 435324099)']","[' 527778   (Average', ' 814.86 Max', ' 28087 Sum', ' 431440276 Ratio', '  99.11%)']","[' 1686     (Average', ' 2303.57 Max', ' 3649 Sum', ' 3883823 Ratio', '   0.89%)']", ,[' 489936  '],[' 36160   '],[' 453424  '],[' 249226  '],"[' 660727   (Atom=Atom', ' 175204 Body=Body', ' 128485 Other', ' 357038)']",[' Yes'],"[' 42942    (Eliminated', '    0 Frozen', ' 42942)']","[' 6221     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.802'],[' 0'], ,[' 210.717'],[' 0'],[' 31.6709'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.70295e+08'],[' 8.99428e+08'],[' 0'],[' 2.46506e+09'],[' 0'],[' 0'],[' 1626 '],[' 3284 '],[' 5854 '],[' 11503 '],[' 4 '],[' 0 ']
Solving...,TA80, , ,[' 11875+'],[' 5940'],"[' 1034.735s (Solving', ' 915.56s 1st Model', ' 417.77s Unsat', ' 0.00s)']",[' 1030.172s'], ,[' 524168836'],"[' 1441288  (Analyzed', ' 844960)']","[' 4857     (Average', ' 173.97 Last', ' 36237)']",[' 19385.9 '],"[' 5941     (Average Length', ' 3220.67 Splits', ' 0)']","[' 844960   (Deleted', ' 773459)']","[' 276      (Ratio', '   0.03%)']","[' 46632    (Ratio', '   5.52%)']","[' 844960   (Average Length', '   31.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 844960   (Average', ' 506.97 Max', ' 29211 Sum', ' 428369814)']","[' 844242   (Average', ' 505.84 Max', ' 29211 Sum', ' 427411712 Ratio', '  99.78%)']","[' 718      (Average', ' 1334.40 Max', ' 1718 Sum', ' 958102 Ratio', '   0.22%)']", ,[' 489518  '],[' 36177   '],[' 452862  '],[' 248831  '],"[' 660192   (Atom=Atom', ' 175143 Body=Body', ' 128414 Other', ' 356635)']",[' Yes'],"[' 42780    (Eliminated', '    0 Frozen', ' 42780)']","[' 5464     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.5566'],[' 0'], ,[' 223.314'],[' 0'],[' 31.8753'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.18599e+08'],[' 8.46293e+08'],[' 0'],[' 3.15909e+09'],[' 0'],[' 0'],[' 2062 '],[' 3509 '],[' 6609 '],[' 13065 '],[' 4 '],[' 0 ']
