Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 5345+'],[' 2676'],"[' 1004.036s (Solving', ' 981.92s 1st Model', ' 854.18s Unsat', ' 0.00s)']",[' 1000.234s'], ,[' 352370597'],"[' 5173851  (Analyzed', ' 4633589)']","[' 14130    (Average', ' 327.93 Last', ' 484560)']",[' 4757.0  '],"[' 2676     (Average Length', ' 1277.08 Splits', ' 0)']","[' 4633589  (Deleted', ' 4570057)']","[' 290      (Ratio', '   0.01%)']","[' 39329    (Ratio', '   0.85%)']","[' 4633589  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4633589  (Average', ' 73.99 Max', ' 4564 Sum', ' 342855296)']","[' 4632910  (Average', ' 73.80 Max', ' 4564 Sum', ' 341959099 Ratio', '  99.74%)']","[' 679      (Average', ' 1319.88 Max', ' 1657 Sum', ' 896197 Ratio', '   0.26%)']", ,[' 115918  '],[' 8957    '],[' 117367  '],[' 67838   '],"[' 203510   (Atom=Atom', ' 59879 Body=Body', ' 34407 Other', ' 109224)']",[' Yes'],"[' 11406    (Eliminated', '    0 Frozen', ' 11406)']","[' 6173     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.84357'],[' 0'], ,[' 532.976'],[' 0'],[' 25.4638'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24547e+09'],[' 1.0697e+09'],[' 0'],[' 3.88932e+10'],[' 0'],[' 0'],[' 1155 '],[' 2285 '],[' 3231 '],[' 3 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 5195+'],[' 2601'],"[' 1003.998s (Solving', ' 985.07s 1st Model', ' 856.59s Unsat', ' 0.00s)']",[' 999.172s'], ,[' 336092367'],"[' 5296257  (Analyzed', ' 4597202)']","[' 13838    (Average', ' 332.22 Last', ' 322939)']",[' 4689.1  '],"[' 2601     (Average Length', ' 1232.62 Splits', ' 0)']","[' 4597202  (Deleted', ' 4533876)']","[' 325      (Ratio', '   0.01%)']","[' 40033    (Ratio', '   0.87%)']","[' 4597202  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4597202  (Average', ' 71.08 Max', ' 4733 Sum', ' 326780583)']","[' 4596574  (Average', ' 70.89 Max', ' 4733 Sum', ' 325901301 Ratio', '  99.73%)']","[' 628      (Average', ' 1400.13 Max', ' 3446 Sum', ' 879282 Ratio', '   0.27%)']", ,[' 116026  '],[' 8960    '],[' 117343  '],[' 67988   '],"[' 203960   (Atom=Atom', ' 60026 Body=Body', ' 34410 Other', ' 109524)']",[' Yes'],"[' 11277    (Eliminated', '    0 Frozen', ' 11277)']","[' 5612     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.15907'],[' 0'], ,[' 543.715'],[' 0'],[' 25.2218'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1784e+09'],[' 1.0152e+09'],[' 0'],[' 3.66136e+10'],[' 0'],[' 0'],[' 1178 '],[' 2406 '],[' 3411 '],[' 3 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 5469+'],[' 2738'],"[' 1004.295s (Solving', ' 985.15s 1st Model', ' 943.44s Unsat', ' 0.00s)']",[' 1002.000s'], ,[' 375465280'],"[' 6451313  (Analyzed', ' 5809888)']","[' 17341    (Average', ' 335.04 Last', ' 259965)']",[' 4737.2  '],"[' 2738     (Average Length', ' 1289.94 Splits', ' 0)']","[' 5809888  (Deleted', ' 5743402)']","[' 374      (Ratio', '   0.01%)']","[' 39547    (Ratio', '   0.68%)']","[' 5809888  (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5809888  (Average', ' 62.94 Max', ' 4529 Sum', ' 365678721)']","[' 5809225  (Average', ' 62.79 Max', ' 4499 Sum', ' 364803619 Ratio', '  99.76%)']","[' 663      (Average', ' 1319.91 Max', ' 1682 Sum', ' 875102 Ratio', '   0.24%)']", ,[' 115958  '],[' 8945    '],[' 117390  '],[' 67840   '],"[' 203516   (Atom=Atom', ' 59893 Body=Body', ' 34395 Other', ' 109228)']",[' Yes'],"[' 11377    (Eliminated', '    0 Frozen', ' 11377)']","[' 5699     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.15701'],[' 0'], ,[' 553.189'],[' 0'],[' 26.0974'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2799e+09'],[' 1.08903e+09'],[' 0'],[' 4.34175e+10'],[' 0'],[' 0'],[' 1192 '],[' 2211 '],[' 3150 '],[' 3 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 4957+'],[' 2482'],"[' 1003.255s (Solving', ' 984.06s 1st Model', ' 684.88s Unsat', ' 0.00s)']",[' 1000.719s'], ,[' 330798339'],"[' 7624533  (Analyzed', ' 6993744)']","[' 16465    (Average', ' 424.76 Last', ' 263654)']",[' 4771.3  '],"[' 2482     (Average Length', ' 1179.78 Splits', ' 0)']","[' 6993744  (Deleted', ' 6903487)']","[' 314      (Ratio', '   0.00%)']","[' 40215    (Ratio', '   0.58%)']","[' 6993744  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6993744  (Average', ' 45.96 Max', ' 4678 Sum', ' 321450999)']","[' 6993100  (Average', ' 45.85 Max', ' 4678 Sum', ' 320689741 Ratio', '  99.76%)']","[' 644      (Average', ' 1182.08 Max', ' 1543 Sum', ' 761258 Ratio', '   0.24%)']", ,[' 115945  '],[' 8996    '],[' 117172  '],[' 67893   '],"[' 203675   (Atom=Atom', ' 59895 Body=Body', ' 34446 Other', ' 109334)']",[' Yes'],"[' 11223    (Eliminated', '    0 Frozen', ' 11223)']","[' 5842     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.33336'],[' 0'], ,[' 561.787'],[' 0'],[' 24.9792'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07082e+09'],[' 9.11396e+08'],[' 0'],[' 3.84111e+10'],[' 0'],[' 0'],[' 1311 '],[' 2332 '],[' 3216 '],[' 3 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 5163+'],[' 2585'],"[' 1003.756s (Solving', ' 983.70s 1st Model', ' 796.67s Unsat', ' 0.00s)']",[' 1001.250s'], ,[' 348004392'],"[' 5346815  (Analyzed', ' 4683045)']","[' 13724    (Average', ' 341.23 Last', ' 287824)']",[' 4734.4  '],"[' 2585     (Average Length', ' 1230.01 Splits', ' 0)']","[' 4683045  (Deleted', ' 4615277)']","[' 307      (Ratio', '   0.01%)']","[' 40354    (Ratio', '   0.86%)']","[' 4683045  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4683045  (Average', ' 72.30 Max', ' 4538 Sum', ' 338603789)']","[' 4682372  (Average', ' 72.13 Max', ' 4538 Sum', ' 337793622 Ratio', '  99.76%)']","[' 673      (Average', ' 1203.81 Max', ' 1583 Sum', ' 810167 Ratio', '   0.24%)']", ,[' 115861  '],[' 8980    '],[' 117211  '],[' 67874   '],"[' 203618   (Atom=Atom', ' 59892 Body=Body', ' 34430 Other', ' 109296)']",[' Yes'],"[' 11330    (Eliminated', '    0 Frozen', ' 11330)']","[' 6116     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.45981'],[' 0'], ,[' 536.245'],[' 0'],[' 25.6194'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21986e+09'],[' 1.04886e+09'],[' 0'],[' 3.75753e+10'],[' 0'],[' 0'],[' 1104 '],[' 2243 '],[' 3216 '],[' 3 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 5951+'],[' 2979'],"[' 1004.077s (Solving', ' 980.63s 1st Model', ' 900.88s Unsat', ' 0.00s)']",[' 1000.922s'], ,[' 353782352'],"[' 5851655  (Analyzed', ' 5100244)']","[' 15946    (Average', ' 319.84 Last', ' 311691)']",[' 4962.5  '],"[' 2979     (Average Length', ' 1394.98 Splits', ' 0)']","[' 5100244  (Deleted', ' 5036434)']","[' 334      (Ratio', '   0.01%)']","[' 38037    (Ratio', '   0.75%)']","[' 5100244  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5100244  (Average', ' 67.17 Max', ' 4686 Sum', ' 342605921)']","[' 5099658  (Average', ' 67.01 Max', ' 4686 Sum', ' 341774452 Ratio', '  99.76%)']","[' 586      (Average', ' 1418.89 Max', ' 1851 Sum', ' 831469 Ratio', '   0.24%)']", ,[' 116647  '],[' 9035    '],[' 118270  '],[' 68579   '],"[' 205733   (Atom=Atom', ' 60542 Body=Body', ' 34485 Other', ' 110706)']",[' Yes'],"[' 11658    (Eliminated', '    0 Frozen', ' 11658)']","[' 5562     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.0458'],[' 0'], ,[' 536.435'],[' 0'],[' 25.6471'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20894e+09'],[' 1.03207e+09'],[' 0'],[' 3.85194e+10'],[' 0'],[' 0'],[' 1162 '],[' 2191 '],[' 3244 '],[' 3 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 5407+'],[' 2707'],"[' 1004.054s (Solving', ' 982.63s 1st Model', ' 633.72s Unsat', ' 0.00s)']",[' 999.266s'], ,[' 326871711'],"[' 7683793  (Analyzed', ' 6840772)']","[' 16330    (Average', ' 418.91 Last', ' 189264)']",[' 4968.1  '],"[' 2707     (Average Length', ' 1281.54 Splits', ' 0)']","[' 6840772  (Deleted', ' 6750951)']","[' 339      (Ratio', '   0.00%)']","[' 38334    (Ratio', '   0.56%)']","[' 6840772  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6840772  (Average', ' 46.24 Max', ' 4677 Sum', ' 316290540)']","[' 6840108  (Average', ' 46.11 Max', ' 4677 Sum', ' 315432139 Ratio', '  99.73%)']","[' 664      (Average', ' 1292.77 Max', ' 1607 Sum', ' 858401 Ratio', '   0.27%)']", ,[' 116259  '],[' 9007    '],[' 117677  '],[' 68241   '],"[' 204719   (Atom=Atom', ' 60232 Body=Body', ' 34457 Other', ' 110030)']",[' Yes'],"[' 11425    (Eliminated', '    0 Frozen', ' 11425)']","[' 5657     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.75635'],[' 0'], ,[' 553.46'],[' 0'],[' 24.9191'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05528e+09'],[' 8.96507e+08'],[' 0'],[' 3.69183e+10'],[' 0'],[' 0'],[' 1300 '],[' 2439 '],[' 3318 '],[' 3 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 5323+'],[' 2665'],"[' 1004.065s (Solving', ' 981.04s 1st Model', ' 750.07s Unsat', ' 0.00s)']",[' 998.438s'], ,[' 332427870'],"[' 6519623  (Analyzed', ' 5758451)']","[' 16056    (Average', ' 358.65 Last', ' 429214)']",[' 4847.0  '],"[' 2665     (Average Length', ' 1263.00 Splits', ' 0)']","[' 5758451  (Deleted', ' 5678969)']","[' 331      (Ratio', '   0.01%)']","[' 36455    (Ratio', '   0.63%)']","[' 5758451  (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5758451  (Average', ' 55.99 Max', ' 4753 Sum', ' 322406923)']","[' 5757822  (Average', ' 55.85 Max', ' 4753 Sum', ' 321609815 Ratio', '  99.75%)']","[' 629      (Average', ' 1267.26 Max', ' 1676 Sum', ' 797108 Ratio', '   0.25%)']", ,[' 115986  '],[' 8949    '],[' 117377  '],[' 67851   '],"[' 203549   (Atom=Atom', ' 59900 Body=Body', ' 34399 Other', ' 109250)']",[' Yes'],"[' 11340    (Eliminated', '    0 Frozen', ' 11340)']","[' 5429     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.05038'],[' 0'], ,[' 545.09'],[' 0'],[' 25.7833'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06336e+09'],[' 8.99629e+08'],[' 0'],[' 3.48989e+10'],[' 0'],[' 0'],[' 1118 '],[' 2172 '],[' 3163 '],[' 3 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 4783+'],[' 2395'],"[' 1003.601s (Solving', ' 983.98s 1st Model', ' 633.94s Unsat', ' 0.00s)']",[' 997.828s'], ,[' 318660473'],"[' 5746480  (Analyzed', ' 5061289)']","[' 12828    (Average', ' 394.55 Last', ' 275373)']",[' 4646.0  '],"[' 2395     (Average Length', ' 1130.55 Splits', ' 0)']","[' 5061289  (Deleted', ' 4986624)']","[' 329      (Ratio', '   0.01%)']","[' 40400    (Ratio', '   0.80%)']","[' 5061289  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5061289  (Average', ' 61.23 Max', ' 4653 Sum', ' 309878310)']","[' 5060617  (Average', ' 61.07 Max', ' 4653 Sum', ' 309089631 Ratio', '  99.75%)']","[' 672      (Average', ' 1173.63 Max', ' 1552 Sum', ' 788679 Ratio', '   0.25%)']", ,[' 115966  '],[' 9014    '],[' 117097  '],[' 67808   '],"[' 203420   (Atom=Atom', ' 59792 Body=Body', ' 34464 Other', ' 109164)']",[' Yes'],"[' 11145    (Eliminated', '    0 Frozen', ' 11145)']","[' 6265     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.31216'],[' 0'], ,[' 546.894'],[' 0'],[' 24.6284'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.09299e+09'],[' 9.38651e+08'],[' 0'],[' 3.5822e+10'],[' 0'],[' 0'],[' 1369 '],[' 2455 '],[' 3436 '],[' 3 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 4623+'],[' 2315'],"[' 1003.334s (Solving', ' 984.63s 1st Model', ' 559.45s Unsat', ' 0.00s)']",[' 999.406s'], ,[' 288726158'],"[' 6574562  (Analyzed', ' 5982560)']","[' 16003    (Average', ' 373.84 Last', ' 454969)']",[' 4675.7  '],"[' 2315     (Average Length', ' 1116.07 Splits', ' 0)']","[' 5982560  (Deleted', ' 5906472)']","[' 395      (Ratio', '   0.01%)']","[' 34547    (Ratio', '   0.58%)']","[' 5982560  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5982560  (Average', ' 46.83 Max', ' 4827 Sum', ' 280137981)']","[' 5981932  (Average', ' 46.70 Max', ' 4827 Sum', ' 279374778 Ratio', '  99.73%)']","[' 628      (Average', ' 1215.29 Max', ' 1491 Sum', ' 763203 Ratio', '   0.27%)']", ,[' 115920  '],[' 8984    '],[' 117059  '],[' 67796   '],"[' 203384   (Atom=Atom', ' 59810 Body=Body', ' 34434 Other', ' 109140)']",[' Yes'],"[' 11123    (Eliminated', '    0 Frozen', ' 11123)']","[' 5075     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.06122'],[' 0'], ,[' 619.419'],[' 0'],[' 23.4405'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.4767e+08'],[' 8.14846e+08'],[' 0'],[' 4.73221e+10'],[' 0'],[' 0'],[' 1207 '],[' 2611 '],[' 3611 '],[' 3 '],[' 0 ']
