Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 2663+'],[' 1336'],"[' 783.514s (Solving', ' 775.85s 1st Model', ' 22.38s Unsat', ' 19.38s)']",[' 780.516s'], ,[' 74346542'],"[' 18094686 (Analyzed', ' 17942566)']","[' 33132    (Average', ' 541.55 Last', ' 59771)']",[' 2550.1  '],"[' 1336     (Average Length', ' 622.94 Splits', ' 0)']","[' 17942566 (Deleted', ' 17689173)']","[' 79       (Ratio', '   0.00%)']","[' 11799    (Ratio', '   0.07%)']","[' 17942566 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17942566 (Average', '  3.98 Max', ' 2776 Sum', ' 71343723)']","[' 17942035 (Average', '  3.96 Max', ' 2776 Sum', ' 71019826 Ratio', '  99.55%)']","[' 531      (Average', ' 609.98 Max', ' 884 Sum', ' 323897 Ratio', '   0.45%)']", ,[' 81687   '],[' 5221    '],[' 82120   '],[' 46588   '],"[' 139760   (Atom=Atom', ' 42115 Body=Body', ' 24296 Other', ' 73349)']",[' Yes'],"[' 6404     (Eliminated', '    0 Frozen', ' 6404)']","[' 1890     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.70744'],[' 0'], ,[' 598.33'],[' 0'],[' 11.7015'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.16018e+08'],[' 1.53045e+08'],[' 0'],[' 6.45608e+10'],[' 0'],[' 0'],[' 948 '],[' 1637 '],[' 2421 '],[' 3029 '],[' 3 '],[' 1 ']
Solving...,TA52, ,[' 1'],[' 2589+'],[' 1299'],"[' 1001.792s (Solving', ' 993.98s 1st Model', ' 12.69s Unsat', ' 0.00s)']",[' 996.188s'], ,[' 120609201'],"[' 15106336 (Analyzed', ' 14954168)']","[' 28082    (Average', ' 532.52 Last', ' 28477)']",[' 2443.1  '],"[' 1299     (Average Length', ' 615.66 Splits', ' 0)']","[' 14954168 (Deleted', ' 14786602)']","[' 193      (Ratio', '   0.00%)']","[' 16241    (Ratio', '   0.11%)']","[' 14954168 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14954168 (Average', '  7.87 Max', ' 2565 Sum', ' 117679762)']","[' 14953713 (Average', '  7.85 Max', ' 2565 Sum', ' 117405348 Ratio', '  99.77%)']","[' 455      (Average', ' 603.11 Max', ' 912 Sum', ' 274414 Ratio', '   0.23%)']", ,[' 81709   '],[' 5233    '],[' 82149   '],[' 46597   '],"[' 139787   (Atom=Atom', ' 42112 Body=Body', ' 24308 Other', ' 73367)']",[' Yes'],"[' 6423     (Eliminated', '    0 Frozen', ' 6423)']","[' 2985     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.76883'],[' 0'], ,[' 752.037'],[' 0'],[' 15.5497'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.00204e+08'],[' 3.05105e+08'],[' 0'],[' 6.7121e+10'],[' 0'],[' 0'],[' 921 '],[' 1793 '],[' 2533 '],[' 3146 '],[' 4 '],[' 0 ']
Solving...,TA53, , ,[' 2763'],[' 1386'],"[' 838.748s (Solving', ' 830.03s 1st Model', ' 10.41s Unsat', ' 75.44s)']",[' 834.016s'], ,[' 63421786'],"[' 18018331 (Analyzed', ' 17811241)']","[' 33094    (Average', ' 538.20 Last', ' 109798)']",[' 2548.7  '],"[' 1386     (Average Length', ' 656.28 Splits', ' 0)']","[' 17811241 (Deleted', ' 17550171)']","[' 101      (Ratio', '   0.00%)']","[' 11411    (Ratio', '   0.06%)']","[' 17811241 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17811241 (Average', '  3.39 Max', ' 2683 Sum', ' 60433437)']","[' 17810627 (Average', '  3.37 Max', ' 2683 Sum', ' 60028709 Ratio', '  99.33%)']","[' 614      (Average', ' 659.17 Max', ' 963 Sum', ' 404728 Ratio', '   0.67%)']", ,[' 81894   '],[' 5206    '],[' 82404   '],[' 46425   '],"[' 139271   (Atom=Atom', ' 41967 Body=Body', ' 24281 Other', ' 73023)']",[' Yes'],"[' 6466     (Eliminated', '    0 Frozen', ' 6466)']","[' 2004     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.0159'],[' 0'], ,[' 633.783'],[' 0'],[' 12.0179'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75163e+08'],[' 1.18036e+08'],[' 0'],[' 4.92019e+10'],[' 0'],[' 0'],[' 870 '],[' 1594 '],[' 2367 '],[' 3006 '],[' 3 '],[' 1 ']
Solving...,TA54, ,[' 1'],[' 2633+'],[' 1321'],"[' 1001.741s (Solving', ' 994.29s 1st Model', ' 14.63s Unsat', ' 0.00s)']",[' 996.672s'], ,[' 100249959'],"[' 19559321 (Analyzed', ' 19376973)']","[' 35634    (Average', ' 543.78 Last', ' 48685)']",[' 2500.7  '],"[' 1321     (Average Length', ' 624.92 Splits', ' 0)']","[' 19376973 (Deleted', ' 19112006)']","[' 119      (Ratio', '   0.00%)']","[' 15550    (Ratio', '   0.08%)']","[' 19376973 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19376973 (Average', '  5.01 Max', ' 2660 Sum', ' 97134949)']","[' 19376546 (Average', '  5.00 Max', ' 2660 Sum', ' 96877447 Ratio', '  99.73%)']","[' 427      (Average', ' 603.05 Max', ' 912 Sum', ' 257502 Ratio', '   0.27%)']", ,[' 81998   '],[' 5213    '],[' 82429   '],[' 46753   '],"[' 140255   (Atom=Atom', ' 42288 Body=Body', ' 24288 Other', ' 73679)']",[' Yes'],"[' 6394     (Eliminated', '    0 Frozen', ' 6394)']","[' 2450     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.71438'],[' 0'], ,[' 780.733'],[' 0'],[' 15.1142'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.9325e+08'],[' 2.17103e+08'],[' 0'],[' 7.65307e+10'],[' 0'],[' 0'],[' 971 '],[' 1741 '],[' 2467 '],[' 3089 '],[' 4 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 2871+'],[' 1440'],"[' 1001.855s (Solving', ' 993.03s 1st Model', ' 92.59s Unsat', ' 0.00s)']",[' 993.938s'], ,[' 141633966'],"[' 16809630 (Analyzed', ' 16657385)']","[' 30941    (Average', ' 538.36 Last', ' 171764)']",[' 2353.4  '],"[' 1440     (Average Length', ' 675.69 Splits', ' 0)']","[' 16657385 (Deleted', ' 16462619)']","[' 278      (Ratio', '   0.00%)']","[' 18843    (Ratio', '   0.11%)']","[' 16657385 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16657385 (Average', '  8.33 Max', ' 2268 Sum', ' 138718221)']","[' 16656835 (Average', '  8.31 Max', ' 2268 Sum', ' 138350683 Ratio', '  99.74%)']","[' 550      (Average', ' 668.25 Max', ' 1012 Sum', ' 367538 Ratio', '   0.26%)']", ,[' 81393   '],[' 5186    '],[' 81932   '],[' 46081   '],"[' 138239   (Atom=Atom', ' 41643 Body=Body', ' 24261 Other', ' 72335)']",[' Yes'],"[' 6475     (Eliminated', '    0 Frozen', ' 6475)']","[' 3322     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.00046'],[' 0'], ,[' 711.861'],[' 0'],[' 16.1528'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.05565e+08'],[' 3.87816e+08'],[' 0'],[' 6.37059e+10'],[' 0'],[' 0'],[' 849 '],[' 1572 '],[' 2334 '],[' 2928 '],[' 4 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 2465+'],[' 1237'],"[' 1002.105s (Solving', ' 993.96s 1st Model', ' 33.42s Unsat', ' 0.00s)']",[' 995.953s'], ,[' 85293298'],"[' 18270007 (Analyzed', ' 18117510)']","[' 33690    (Average', ' 537.77 Last', ' 37482)']",[' 2484.5  '],"[' 1237     (Average Length', ' 578.36 Splits', ' 0)']","[' 18117510 (Deleted', ' 17875492)']","[' 112      (Ratio', '   0.00%)']","[' 14118    (Ratio', '   0.08%)']","[' 18117510 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18117510 (Average', '  4.55 Max', ' 2645 Sum', ' 82495451)']","[' 18116931 (Average', '  4.54 Max', ' 2645 Sum', ' 82167707 Ratio', '  99.60%)']","[' 579      (Average', ' 566.05 Max', ' 827 Sum', ' 327744 Ratio', '   0.40%)']", ,[' 81347   '],[' 5176    '],[' 81690   '],[' 45922   '],"[' 137762   (Atom=Atom', ' 41494 Body=Body', ' 24251 Other', ' 72017)']",[' Yes'],"[' 6269     (Eliminated', '    0 Frozen', ' 6269)']","[' 2193     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.69917'],[' 0'], ,[' 774.608'],[' 0'],[' 14.1378'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.50369e+08'],[' 1.79135e+08'],[' 0'],[' 7.17865e+10'],[' 0'],[' 0'],[' 951 '],[' 1804 '],[' 2478 '],[' 3116 '],[' 4 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 2335+'],[' 1172'],"[' 1001.646s (Solving', ' 994.15s 1st Model', ' 68.60s Unsat', ' 0.00s)']",[' 995.859s'], ,[' 102429349'],"[' 18719164 (Analyzed', ' 18554052)']","[' 33869    (Average', ' 547.82 Last', ' 256071)']",[' 2341.4  '],"[' 1172     (Average Length', ' 552.10 Splits', ' 0)']","[' 18554052 (Deleted', ' 18329677)']","[' 126      (Ratio', '   0.00%)']","[' 15512    (Ratio', '   0.08%)']","[' 18554052 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18554052 (Average', '  5.38 Max', ' 2446 Sum', ' 99733378)']","[' 18553527 (Average', '  5.36 Max', ' 2446 Sum', ' 99453985 Ratio', '  99.72%)']","[' 525      (Average', ' 532.18 Max', ' 818 Sum', ' 279393 Ratio', '   0.28%)']", ,[' 81398   '],[' 5200    '],[' 81701   '],[' 45849   '],"[' 137543   (Atom=Atom', ' 41397 Body=Body', ' 24275 Other', ' 71871)']",[' Yes'],"[' 6253     (Eliminated', '    0 Frozen', ' 6253)']","[' 2711     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.63742'],[' 0'], ,[' 751.876'],[' 0'],[' 14.4959'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.101e+08'],[' 2.26419e+08'],[' 0'],[' 6.86475e+10'],[' 0'],[' 0'],[' 1052 '],[' 1887 '],[' 2585 '],[' 3228 '],[' 4 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 2677+'],[' 1343'],"[' 1001.556s (Solving', ' 994.33s 1st Model', ' 33.92s Unsat', ' 0.00s)']",[' 996.359s'], ,[' 98656306'],"[' 18548159 (Analyzed', ' 18370880)']","[' 31808    (Average', ' 577.56 Last', ' 666808)']",[' 2522.8  '],"[' 1343     (Average Length', ' 631.27 Splits', ' 0)']","[' 18370880 (Deleted', ' 18175377)']","[' 139      (Ratio', '   0.00%)']","[' 14532    (Ratio', '   0.08%)']","[' 18370880 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18370880 (Average', '  5.21 Max', ' 2912 Sum', ' 95626144)']","[' 18370343 (Average', '  5.18 Max', ' 2912 Sum', ' 95248901 Ratio', '  99.61%)']","[' 537      (Average', ' 702.50 Max', ' 929 Sum', ' 377243 Ratio', '   0.39%)']", ,[' 81924   '],[' 5224    '],[' 82369   '],[' 46570   '],"[' 139706   (Atom=Atom', ' 42094 Body=Body', ' 24299 Other', ' 73313)']",[' Yes'],"[' 6419     (Eliminated', '    0 Frozen', ' 6419)']","[' 1980     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.66719'],[' 0'], ,[' 774.114'],[' 0'],[' 15.0342'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.14206e+08'],[' 2.34414e+08'],[' 0'],[' 7.41418e+10'],[' 0'],[' 0'],[' 960 '],[' 1727 '],[' 2662 '],[' 3314 '],[' 4 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 3023+'],[' 1516'],"[' 1001.929s (Solving', ' 993.18s 1st Model', ' 58.80s Unsat', ' 0.00s)']",[' 998.078s'], ,[' 103393602'],"[' 19995930 (Analyzed', ' 19826604)']","[' 36292    (Average', ' 546.31 Last', ' 82564)']",[' 2487.9  '],"[' 1516     (Average Length', ' 714.76 Splits', ' 0)']","[' 19826604 (Deleted', ' 19558118)']","[' 168      (Ratio', '   0.00%)']","[' 16025    (Ratio', '   0.08%)']","[' 19826604 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19826604 (Average', '  5.05 Max', ' 2516 Sum', ' 100221623)']","[' 19826130 (Average', '  5.04 Max', ' 2516 Sum', ' 99874231 Ratio', '  99.65%)']","[' 474      (Average', ' 732.89 Max', ' 1047 Sum', ' 347392 Ratio', '   0.35%)']", ,[' 81785   '],[' 5143    '],[' 82419   '],[' 46560   '],"[' 139676   (Atom=Atom', ' 42165 Body=Body', ' 24218 Other', ' 73293)']",[' Yes'],"[' 6527     (Eliminated', '    0 Frozen', ' 6527)']","[' 2632     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.95719'],[' 0'], ,[' 765.648'],[' 0'],[' 14.539'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.23427e+08'],[' 2.35921e+08'],[' 0'],[' 7.44714e+10'],[' 0'],[' 0'],[' 819 '],[' 1503 '],[' 2285 '],[' 2941 '],[' 4 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 2473+'],[' 1241'],"[' 1001.881s (Solving', ' 994.76s 1st Model', ' 47.63s Unsat', ' 0.00s)']",[' 997.500s'], ,[' 152263924'],"[' 17521077 (Analyzed', ' 17376932)']","[' 30816    (Average', ' 563.89 Last', ' 176382)']",[' 2258.5  '],"[' 1241     (Average Length', ' 582.82 Splits', ' 0)']","[' 17376932 (Deleted', ' 17190134)']","[' 254      (Ratio', '   0.00%)']","[' 21247    (Ratio', '   0.12%)']","[' 17376932 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17376932 (Average', '  8.61 Max', ' 2301 Sum', ' 149554081)']","[' 17376395 (Average', '  8.59 Max', ' 2301 Sum', ' 149234805 Ratio', '  99.79%)']","[' 537      (Average', ' 594.55 Max', ' 845 Sum', ' 319276 Ratio', '   0.21%)']", ,[' 81543   '],[' 5200    '],[' 81921   '],[' 46110   '],"[' 138326   (Atom=Atom', ' 41658 Body=Body', ' 24275 Other', ' 72393)']",[' Yes'],"[' 6328     (Eliminated', '    0 Frozen', ' 6328)']","[' 3364     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.58727'],[' 0'], ,[' 724.663'],[' 0'],[' 17.1016'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.10694e+08'],[' 3.90406e+08'],[' 0'],[' 7.2156e+10'],[' 0'],[' 0'],[' 887 '],[' 1685 '],[' 2440 '],[' 3034 '],[' 4 '],[' 0 ']
