Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 3355'],[' 1683'],"[' 519.533s (Solving', ' 507.64s 1st Model', ' 39.33s Unsat', ' 68.47s)']",[' 517.750s'], ,[' 48050084'],"[' 13334697 (Analyzed', ' 13143479)']","[' 25749    (Average', ' 510.45 Last', ' 221834)']",[' 2751.6  '],"[' 1683     (Average Length', ' 785.60 Splits', ' 0)']","[' 13143479 (Deleted', ' 12899520)']","[' 104      (Ratio', '   0.00%)']","[' 9288     (Ratio', '   0.07%)']","[' 13143479 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13143479 (Average', '  3.38 Max', ' 3374 Sum', ' 44447824)']","[' 13143022 (Average', '  3.36 Max', ' 3204 Sum', ' 44166742 Ratio', '  99.37%)']","[' 457      (Average', ' 615.06 Max', ' 1235 Sum', ' 281082 Ratio', '   0.63%)']", ,[' 104579  '],[' 5656    '],[' 105077  '],[' 58632   '],"[' 175892   (Atom=Atom', ' 53974 Body=Body', ' 31106 Other', ' 90812)']",[' Yes'],"[' 7154     (Eliminated', '    0 Frozen', ' 7154)']","[' 1413     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.93076'],[' 0'], ,[' 364.888'],[' 0'],[' 8.06304'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50174e+08'],[' 1.04942e+08'],[' 0'],[' 2.81645e+10'],[' 0'],[' 0'],[' 754 '],[' 1428 '],[' 2120 '],[' 2729 '],[' 3250 '],[' 2 '],[' 3 ']
Solving...,TA62, , ,[' 3195'],[' 1603'],"[' 602.736s (Solving', ' 593.11s 1st Model', ' 13.87s Unsat', ' 183.81s)']",[' 601.891s'], ,[' 49854214'],"[' 10687249 (Analyzed', ' 10526803)']","[' 21179    (Average', ' 497.04 Last', ' 8520)']",[' 2975.2  '],"[' 1603     (Average Length', ' 738.56 Splits', ' 0)']","[' 10526803 (Deleted', ' 10348458)']","[' 130      (Ratio', '   0.00%)']","[' 7696     (Ratio', '   0.07%)']","[' 10526803 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10526803 (Average', '  4.39 Max', ' 3352 Sum', ' 46225325)']","[' 10526267 (Average', '  4.35 Max', ' 3352 Sum', ' 45831635 Ratio', '  99.15%)']","[' 536      (Average', ' 734.50 Max', ' 1112 Sum', ' 393690 Ratio', '   0.85%)']", ,[' 105006  '],[' 5656    '],[' 105410  '],[' 59304   '],"[' 177908   (Atom=Atom', ' 54646 Body=Body', ' 31106 Other', ' 92156)']",[' Yes'],"[' 7060     (Eliminated', '    0 Frozen', ' 7060)']","[' 1303     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.38151'],[' 0'], ,[' 484.018'],[' 0'],[' 9.07698'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6236e+08'],[' 1.22524e+08'],[' 0'],[' 5.83063e+10'],[' 0'],[' 0'],[' 831 '],[' 1555 '],[' 2266 '],[' 2916 '],[' 3482 '],[' 2 '],[' 3 ']
Solving...,TA63, , ,[' 3231'],[' 1621'],"[' 609.869s (Solving', ' 601.17s 1st Model', ' 17.78s Unsat', ' 180.10s)']",[' 609.016s'], ,[' 49995411'],"[' 15909008 (Analyzed', ' 15718703)']","[' 29669    (Average', ' 529.80 Last', ' 42698)']",[' 2682.7  '],"[' 1621     (Average Length', ' 745.51 Splits', ' 0)']","[' 15718703 (Deleted', ' 15479528)']","[' 123      (Ratio', '   0.00%)']","[' 8132     (Ratio', '   0.05%)']","[' 15718703 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15718703 (Average', '  2.97 Max', ' 3086 Sum', ' 46652466)']","[' 15718070 (Average', '  2.94 Max', ' 3086 Sum', ' 46206072 Ratio', '  99.04%)']","[' 633      (Average', ' 705.20 Max', ' 1165 Sum', ' 446394 Ratio', '   0.96%)']", ,[' 104306  '],[' 5650    '],[' 104726  '],[' 58422   '],"[' 175262   (Atom=Atom', ' 53770 Body=Body', ' 31100 Other', ' 90392)']",[' Yes'],"[' 7070     (Eliminated', '    0 Frozen', ' 7070)']","[' 1554     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.07913'],[' 0'], ,[' 472.504'],[' 0'],[' 8.87319'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72286e+08'],[' 1.18674e+08'],[' 0'],[' 5.93296e+10'],[' 0'],[' 0'],[' 779 '],[' 1391 '],[' 1965 '],[' 2605 '],[' 3111 '],[' 2 '],[' 3 ']
Solving...,TA64, , ,[' 3109'],[' 1560'],"[' 816.566s (Solving', ' 807.51s 1st Model', ' 12.11s Unsat', ' 4.05s)']",[' 814.719s'], ,[' 67772985'],"[' 20686806 (Analyzed', ' 20459509)']","[' 36716    (Average', ' 557.24 Last', ' 262199)']",[' 2929.7  '],"[' 1560     (Average Length', ' 699.70 Splits', ' 0)']","[' 20459509 (Deleted', ' 20105001)']","[' 56       (Ratio', '   0.00%)']","[' 6892     (Ratio', '   0.03%)']","[' 20459509 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20459509 (Average', '  3.12 Max', ' 3420 Sum', ' 63873623)']","[' 20458926 (Average', '  3.10 Max', ' 3420 Sum', ' 63514648 Ratio', '  99.44%)']","[' 583      (Average', ' 615.74 Max', ' 1085 Sum', ' 358975 Ratio', '   0.56%)']", ,[' 104987  '],[' 5690    '],[' 105321  '],[' 58849   '],"[' 176543   (Atom=Atom', ' 54157 Body=Body', ' 31140 Other', ' 91246)']",[' Yes'],"[' 7024     (Eliminated', '    0 Frozen', ' 7024)']","[' 1192     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.21492'],[' 0'], ,[' 644.481'],[' 0'],[' 11.5471'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.16817e+08'],[' 1.46267e+08'],[' 0'],[' 7.34741e+10'],[' 0'],[' 0'],[' 1092 '],[' 1759 '],[' 2308 '],[' 2945 '],[' 3374 '],[' 4 '],[' 1 ']
Solving...,TA65, , ,[' 3237'],[' 1624'],"[' 485.201s (Solving', ' 474.72s 1st Model', ' 18.10s Unsat', ' 51.21s)']",[' 483.047s'], ,[' 52023501'],"[' 13936655 (Analyzed', ' 13754999)']","[' 25267    (Average', ' 544.39 Last', ' 55037)']",[' 2841.2  '],"[' 1624     (Average Length', ' 754.84 Splits', ' 0)']","[' 13754999 (Deleted', ' 13529471)']","[' 97       (Ratio', '   0.00%)']","[' 7922     (Ratio', '   0.06%)']","[' 13754999 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13754999 (Average', '  3.52 Max', ' 3347 Sum', ' 48462416)']","[' 13754483 (Average', '  3.49 Max', ' 3347 Sum', ' 48072769 Ratio', '  99.20%)']","[' 516      (Average', ' 755.13 Max', ' 1184 Sum', ' 389647 Ratio', '   0.80%)']", ,[' 104904  '],[' 5704    '],[' 105340  '],[' 59297   '],"[' 177887   (Atom=Atom', ' 54591 Body=Body', ' 31154 Other', ' 92142)']",[' Yes'],"[' 7140     (Eliminated', '    0 Frozen', ' 7140)']","[' 1324     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.56144'],[' 0'], ,[' 347.319'],[' 0'],[' 6.87876'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.64892e+08'],[' 1.1661e+08'],[' 0'],[' 3.70231e+10'],[' 0'],[' 0'],[' 750 '],[' 1400 '],[' 2017 '],[' 2777 '],[' 3306 '],[' 2 '],[' 3 ']
Solving...,TA66, , ,[' 3469'],[' 1740'],"[' 550.118s (Solving', ' 539.46s 1st Model', ' 63.62s Unsat', ' 79.45s)']",[' 547.797s'], ,[' 35409724'],"[' 8729920  (Analyzed', ' 8505325)']","[' 18687    (Average', ' 455.15 Last', ' 193476)']",[' 2878.9  '],"[' 1740     (Average Length', ' 789.81 Splits', ' 0)']","[' 8505325  (Deleted', ' 8344021)']","[' 99       (Ratio', '   0.00%)']","[' 7008     (Ratio', '   0.08%)']","[' 8505325  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8505325  (Average', '  3.74 Max', ' 3347 Sum', ' 31794653)']","[' 8504703  (Average', '  3.68 Max', ' 3347 Sum', ' 31300124 Ratio', '  98.44%)']","[' 622      (Average', ' 795.06 Max', ' 1453 Sum', ' 494529 Ratio', '   1.56%)']", ,[' 104863  '],[' 5651    '],[' 105364  '],[' 58892   '],"[' 176672   (Atom=Atom', ' 54239 Body=Body', ' 31101 Other', ' 91332)']",[' Yes'],"[' 7152     (Eliminated', '    0 Frozen', ' 7152)']","[' 1133     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.4954'],[' 0'], ,[' 450.216'],[' 0'],[' 7.24264'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18756e+08'],[' 8.85674e+07'],[' 0'],[' 4.97559e+10'],[' 0'],[' 0'],[' 812 '],[' 1404 '],[' 2032 '],[' 2725 '],[' 3273 '],[' 2 '],[' 3 ']
Solving...,TA67, , ,[' 3261'],[' 1636'],"[' 497.387s (Solving', ' 486.78s 1st Model', ' 15.98s Unsat', ' 68.26s)']",[' 495.125s'], ,[' 44565412'],"[' 14364599 (Analyzed', ' 14137152)']","[' 25913    (Average', ' 545.56 Last', ' 42466)']",[' 2762.6  '],"[' 1636     (Average Length', ' 753.17 Splits', ' 0)']","[' 14137152 (Deleted', ' 13939985)']","[' 81       (Ratio', '   0.00%)']","[' 6432     (Ratio', '   0.05%)']","[' 14137152 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14137152 (Average', '  2.91 Max', ' 3263 Sum', ' 41185768)']","[' 14136479 (Average', '  2.88 Max', ' 3263 Sum', ' 40693486 Ratio', '  98.80%)']","[' 673      (Average', ' 731.47 Max', ' 1200 Sum', ' 492282 Ratio', '   1.20%)']", ,[' 104933  '],[' 5741    '],[' 105356  '],[' 58796   '],"[' 176384   (Atom=Atom', ' 54053 Body=Body', ' 31191 Other', ' 91140)']",[' Yes'],"[' 7164     (Eliminated', '    0 Frozen', ' 7164)']","[' 1253     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.45074'],[' 0'], ,[' 358.983'],[' 0'],[' 7.10807'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38104e+08'],[' 9.28724e+07'],[' 0'],[' 3.6204e+10'],[' 0'],[' 0'],[' 876 '],[' 1498 '],[' 2217 '],[' 2799 '],[' 3387 '],[' 2 '],[' 3 ']
Solving...,TA68, ,[' 1'],[' 3313+'],[' 1662'],"[' 600.506s (Solving', ' 589.46s 1st Model', ' 97.32s Unsat', ' 90.99s)']",[' 596.469s'], ,[' 41619342'],"[' 13276359 (Analyzed', ' 13067960)']","[' 25888    (Average', ' 504.79 Last', ' 247826)']",[' 2996.7  '],"[' 1662     (Average Length', ' 766.36 Splits', ' 0)']","[' 13067960 (Deleted', ' 12841782)']","[' 84       (Ratio', '   0.00%)']","[' 6549     (Ratio', '   0.05%)']","[' 13067960 (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13067960 (Average', '  2.88 Max', ' 3381 Sum', ' 37632460)']","[' 13067477 (Average', '  2.86 Max', ' 3381 Sum', ' 37359807 Ratio', '  99.28%)']","[' 483      (Average', ' 564.50 Max', ' 1193 Sum', ' 272653 Ratio', '   0.72%)']", ,[' 104533  '],[' 5623    '],[' 104998  '],[' 58588   '],"[' 175760   (Atom=Atom', ' 53963 Body=Body', ' 31073 Other', ' 90724)']",[' Yes'],"[' 7088     (Eliminated', '    0 Frozen', ' 7088)']","[' 734      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.69686'],[' 0'], ,[' 446.499'],[' 0'],[' 8.00429'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37336e+08'],[' 9.53856e+07'],[' 0'],[' 4.58096e+10'],[' 0'],[' 0'],[' 781 '],[' 1364 '],[' 1983 '],[' 2509 '],[' 3095 '],[' 2 '],[' 3 ']
Solving...,TA69, ,[' 1'],[' 3353+'],[' 1682'],"[' 811.378s (Solving', ' 800.01s 1st Model', ' 15.00s Unsat', ' 2.97s)']",[' 808.516s'], ,[' 70007694'],"[' 18485190 (Analyzed', ' 18312780)']","[' 33842    (Average', ' 541.13 Last', ' 457887)']",[' 2910.9  '],"[' 1682     (Average Length', ' 777.46 Splits', ' 0)']","[' 18312780 (Deleted', ' 18062198)']","[' 115      (Ratio', '   0.00%)']","[' 8970     (Ratio', '   0.05%)']","[' 18312780 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18312780 (Average', '  3.60 Max', ' 3283 Sum', ' 66009863)']","[' 18312283 (Average', '  3.59 Max', ' 3283 Sum', ' 65666302 Ratio', '  99.48%)']","[' 497      (Average', ' 691.27 Max', ' 1180 Sum', ' 343561 Ratio', '   0.52%)']", ,[' 104950  '],[' 5725    '],[' 105423  '],[' 58960   '],"[' 176876   (Atom=Atom', ' 54233 Body=Body', ' 31175 Other', ' 91468)']",[' Yes'],"[' 7198     (Eliminated', '    0 Frozen', ' 7198)']","[' 1449     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.7171'],[' 0'], ,[' 620.727'],[' 0'],[' 11.121'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.19962e+08'],[' 1.56289e+08'],[' 0'],[' 6.02741e+10'],[' 0'],[' 0'],[' 978 '],[' 1705 '],[' 2383 '],[' 3069 '],[' 3595 '],[' 4 '],[' 1 ']
Solving...,TA70, , ,[' 3387'],[' 1699'],"[' 555.955s (Solving', ' 545.49s 1st Model', ' 20.89s Unsat', ' 117.39s)']",[' 553.844s'], ,[' 43082311'],"[' 12820809 (Analyzed', ' 12579864)']","[' 24172    (Average', ' 520.43 Last', ' 228486)']",[' 2863.1  '],"[' 1699     (Average Length', ' 793.35 Splits', ' 0)']","[' 12579864 (Deleted', ' 12360398)']","[' 121      (Ratio', '   0.00%)']","[' 6101     (Ratio', '   0.05%)']","[' 12579864 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12579864 (Average', '  3.13 Max', ' 3523 Sum', ' 39355556)']","[' 12579366 (Average', '  3.10 Max', ' 3523 Sum', ' 38989201 Ratio', '  99.07%)']","[' 498      (Average', ' 735.65 Max', ' 1222 Sum', ' 366355 Ratio', '   0.93%)']", ,[' 105092  '],[' 5712    '],[' 105605  '],[' 59366   '],"[' 178094   (Atom=Atom', ' 54652 Body=Body', ' 31162 Other', ' 92280)']",[' Yes'],"[' 7225     (Eliminated', '    0 Frozen', ' 7225)']","[' 1028     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.48967'],[' 0'], ,[' 412.932'],[' 0'],[' 8.19044'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36028e+08'],[' 9.59589e+07'],[' 0'],[' 3.90149e+10'],[' 0'],[' 0'],[' 880 '],[' 1529 '],[' 2405 '],[' 3142 '],[' 3695 '],[' 2 '],[' 3 ']
