Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 6919+'],[' 3466'],"[' 1016.733s (Solving', ' 944.11s 1st Model', ' 484.76s Unsat', ' 0.00s)']",[' 1010.531s'], ,[' 269492569'],"[' 5564587  (Analyzed', ' 4949546)']","[' 11207    (Average', ' 441.65 Last', ' 79796)']",[' 7006.0  '],"[' 3466     (Average Length', ' 1545.91 Splits', ' 0)']","[' 4949546  (Deleted', ' 4836368)']","[' 92       (Ratio', '   0.00%)']","[' 56410    (Ratio', '   1.14%)']","[' 4949546  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4949546  (Average', ' 50.89 Max', ' 8834 Sum', ' 251876227)']","[' 4947885  (Average', ' 50.41 Max', ' 8834 Sum', ' 249519663 Ratio', '  99.06%)']","[' 1661     (Average', ' 1418.76 Max', ' 2436 Sum', ' 2356564 Ratio', '   0.94%)']", ,[' 382141  '],[' 18101   '],[' 383107  '],[' 224417  '],"[' 673247   (Atom=Atom', ' 208314 Body=Body', ' 119001 Other', ' 345932)']",[' Yes'],"[' 21067    (Eliminated', '    0 Frozen', ' 21067)']","[' 9638     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.2297'],[' 0'], ,[' 618.418'],[' 0'],[' 22.8632'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.72084e+08'],[' 8.85967e+08'],[' 0'],[' 4.23466e+10'],[' 0'],[' 0'],[' 1358 '],[' 2554 '],[' 3531 '],[' 4495 '],[' 5473 '],[' 6280 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 7297+'],[' 3655'],"[' 1016.572s (Solving', ' 943.66s 1st Model', ' 454.32s Unsat', ' 0.00s)']",[' 1009.734s'], ,[' 288504763'],"[' 4619937  (Analyzed', ' 4072698)']","[' 10506    (Average', ' 387.65 Last', ' 40990)']",[' 6632.5  '],"[' 3655     (Average Length', ' 1601.99 Splits', ' 0)']","[' 4072698  (Deleted', ' 3961230)']","[' 95       (Ratio', '   0.00%)']","[' 59196    (Ratio', '   1.45%)']","[' 4072698  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4072698  (Average', ' 66.92 Max', ' 7933 Sum', ' 272560772)']","[' 4070672  (Average', ' 66.07 Max', ' 7933 Sum', ' 269076742 Ratio', '  98.72%)']","[' 2026     (Average', ' 1719.66 Max', ' 2560 Sum', ' 3484030 Ratio', '   1.28%)']", ,[' 380084  '],[' 17957   '],[' 381114  '],[' 222804  '],"[' 668408   (Atom=Atom', ' 206845 Body=Body', ' 118857 Other', ' 342706)']",[' Yes'],"[' 20987    (Eliminated', '    0 Frozen', ' 20987)']","[' 11189    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.2151'],[' 0'], ,[' 599.797'],[' 0'],[' 23.6261'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06379e+09'],[' 9.67103e+08'],[' 0'],[' 4.37032e+10'],[' 0'],[' 0'],[' 1122 '],[' 2057 '],[' 2928 '],[' 3851 '],[' 4776 '],[' 5602 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 6645+'],[' 3329'],"[' 1014.980s (Solving', ' 952.80s 1st Model', ' 402.56s Unsat', ' 0.00s)']",[' 1009.203s'], ,[' 305977875'],"[' 5867858  (Analyzed', ' 5285814)']","[' 12442    (Average', ' 424.84 Last', ' 87140)']",[' 6783.4  '],"[' 3329     (Average Length', ' 1491.69 Splits', ' 0)']","[' 5285814  (Deleted', ' 5160957)']","[' 94       (Ratio', '   0.00%)']","[' 62564    (Ratio', '   1.18%)']","[' 5285814  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5285814  (Average', ' 54.93 Max', ' 8034 Sum', ' 290349296)']","[' 5283648  (Average', ' 54.33 Max', ' 8034 Sum', ' 287187721 Ratio', '  98.91%)']","[' 2166     (Average', ' 1459.64 Max', ' 2373 Sum', ' 3161575 Ratio', '   1.09%)']", ,[' 380727  '],[' 18053   '],[' 381562  '],[' 222416  '],"[' 667244   (Atom=Atom', ' 206361 Body=Body', ' 118953 Other', ' 341930)']",[' Yes'],"[' 20888    (Eliminated', '    0 Frozen', ' 20888)']","[' 11615    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2223'],[' 0'], ,[' 619.621'],[' 0'],[' 23.6785'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13144e+09'],[' 1.0319e+09'],[' 0'],[' 5.85187e+10'],[' 0'],[' 0'],[' 1399 '],[' 2384 '],[' 3298 '],[' 4333 '],[' 5329 '],[' 6145 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 6969+'],[' 3491'],"[' 1016.633s (Solving', ' 940.37s 1st Model', ' 442.62s Unsat', ' 0.00s)']",[' 1006.344s'], ,[' 258343907'],"[' 4709054  (Analyzed', ' 4235358)']","[' 10058    (Average', ' 421.09 Last', ' 169077)']",[' 6838.4  '],"[' 3491     (Average Length', ' 1558.99 Splits', ' 0)']","[' 4235358  (Deleted', ' 4124555)']","[' 90       (Ratio', '   0.00%)']","[' 53775    (Ratio', '   1.27%)']","[' 4235358  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4235358  (Average', ' 57.29 Max', ' 8225 Sum', ' 242663742)']","[' 4233043  (Average', ' 56.42 Max', ' 8225 Sum', ' 238952558 Ratio', '  98.47%)']","[' 2315     (Average', ' 1603.10 Max', ' 5084 Sum', ' 3711184 Ratio', '   1.53%)']", ,[' 379283  '],[' 17946   '],[' 380214  '],[' 220701  '],"[' 662099   (Atom=Atom', ' 204753 Body=Body', ' 118846 Other', ' 338500)']",[' Yes'],"[' 20877    (Eliminated', '    0 Frozen', ' 20877)']","[' 10022    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.1782'],[' 0'], ,[' 613.291'],[' 0'],[' 23.2265'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.41068e+08'],[' 8.59109e+08'],[' 0'],[' 4.35588e+10'],[' 0'],[' 0'],[' 1224 '],[' 2239 '],[' 3125 '],[' 4074 '],[' 5012 '],[' 5836 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 7249+'],[' 3631'],"[' 1017.454s (Solving', ' 938.82s 1st Model', ' 659.27s Unsat', ' 0.00s)']",[' 1008.047s'], ,[' 292935992'],"[' 2931194  (Analyzed', ' 2539476)']","[' 7677     (Average', ' 330.79 Last', ' 143965)']",[' 6783.8  '],"[' 3631     (Average Length', ' 1616.20 Splits', ' 0)']","[' 2539476  (Deleted', ' 2441623)']","[' 104      (Ratio', '   0.00%)']","[' 63438    (Ratio', '   2.50%)']","[' 2539476  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2539476  (Average', ' 109.00 Max', ' 7999 Sum', ' 276809520)']","[' 2537400  (Average', ' 107.69 Max', ' 7999 Sum', ' 273483074 Ratio', '  98.80%)']","[' 2076     (Average', ' 1602.33 Max', ' 2563 Sum', ' 3326446 Ratio', '   1.20%)']", ,[' 381838  '],[' 18171   '],[' 382921  '],[' 223612  '],"[' 670832   (Atom=Atom', ' 207439 Body=Body', ' 119071 Other', ' 344322)']",[' Yes'],"[' 21254    (Eliminated', '    0 Frozen', ' 21254)']","[' 11816    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.5549'],[' 0'], ,[' 555.879'],[' 0'],[' 24.8917'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12045e+09'],[' 1.02223e+09'],[' 0'],[' 4.00776e+10'],[' 0'],[' 0'],[' 1246 '],[' 2242 '],[' 3203 '],[' 4229 '],[' 5126 '],[' 5915 '],[' 6 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 6919+'],[' 3466'],"[' 882.945s (Solving', ' 810.78s 1st Model', ' 524.88s Unsat', ' 0.00s)']",[' 874.828s'], ,[' 254682850'],"[' 4879157  (Analyzed', ' 4262349)']","[' 10573    (Average', ' 403.14 Last', ' 139777)']",[' 7276.7  '],"[' 3465     (Average Length', ' 1530.89 Splits', ' 0)']","[' 4262349  (Deleted', ' 4157007)']","[' 89       (Ratio', '   0.00%)']","[' 49770    (Ratio', '   1.17%)']","[' 4262349  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4262349  (Average', ' 55.46 Max', ' 9346 Sum', ' 236390119)']","[' 4260583  (Average', ' 54.83 Max', ' 9346 Sum', ' 233699720 Ratio', '  98.86%)']","[' 1766     (Average', ' 1523.44 Max', ' 2472 Sum', ' 2690399 Ratio', '   1.14%)']", ,[' 380331  '],[' 17926   '],[' 381243  '],[' 222498  '],"[' 667490   (Atom=Atom', ' 206570 Body=Body', ' 118826 Other', ' 342094)']",[' Yes'],"[' 20838    (Eliminated', '    0 Frozen', ' 20838)']","[' 8838     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.3316'],[' 0'], ,[' 506.528'],[' 0'],[' 21.5805'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.09535e+08'],[' 8.25994e+08'],[' 0'],[' 3.74317e+10'],[' 0'],[' 0'],[' 1144 '],[' 2155 '],[' 3156 '],[' 4067 '],[' 4982 '],[' 5848 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 6625+'],[' 3319'],"[' 878.506s (Solving', ' 812.81s 1st Model', ' 327.82s Unsat', ' 0.00s)']",[' 871.031s'], ,[' 217568266'],"[' 6979071  (Analyzed', ' 6007934)']","[' 13890    (Average', ' 432.54 Last', ' 93957)']",[' 7493.3  '],"[' 3318     (Average Length', ' 1481.50 Splits', ' 0)']","[' 6007934  (Deleted', ' 5903530)']","[' 55       (Ratio', '   0.00%)']","[' 38015    (Ratio', '   0.63%)']","[' 6007934  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6007934  (Average', ' 33.03 Max', ' 10728 Sum', ' 198465142)']","[' 6006273  (Average', ' 32.64 Max', ' 10728 Sum', ' 196128866 Ratio', '  98.82%)']","[' 1661     (Average', ' 1406.55 Max', ' 2378 Sum', ' 2336276 Ratio', '   1.18%)']", ,[' 380705  '],[' 17961   '],[' 381559  '],[' 223974  '],"[' 671918   (Atom=Atom', ' 208011 Body=Body', ' 118861 Other', ' 345046)']",[' Yes'],"[' 20815    (Eliminated', '    0 Frozen', ' 20815)']","[' 6825     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8393'],[' 0'], ,[' 550.958'],[' 0'],[' 19.0073'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.57824e+08'],[' 6.84034e+08'],[' 0'],[' 4.55045e+10'],[' 0'],[' 0'],[' 1374 '],[' 2278 '],[' 3219 '],[' 4684 '],[' 5664 '],[' 6440 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 6861+'],[' 3437'],"[' 1015.982s (Solving', ' 945.84s 1st Model', ' 419.27s Unsat', ' 0.00s)']",[' 1010.328s'], ,[' 276115521'],"[' 5558198  (Analyzed', ' 4976377)']","[' 11840    (Average', ' 420.30 Last', ' 167294)']",[' 6943.9  '],"[' 3437     (Average Length', ' 1535.48 Splits', ' 0)']","[' 4976377  (Deleted', ' 4865243)']","[' 116      (Ratio', '   0.00%)']","[' 56741    (Ratio', '   1.14%)']","[' 4976377  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4976377  (Average', ' 52.22 Max', ' 8397 Sum', ' 259855773)']","[' 4974149  (Average', ' 51.52 Max', ' 8397 Sum', ' 256404258 Ratio', '  98.67%)']","[' 2228     (Average', ' 1549.15 Max', ' 2514 Sum', ' 3451515 Ratio', '   1.33%)']", ,[' 380896  '],[' 18106   '],[' 381852  '],[' 222653  '],"[' 667955   (Atom=Atom', ' 206545 Body=Body', ' 119006 Other', ' 342404)']",[' Yes'],"[' 21062    (Eliminated', '    0 Frozen', ' 21062)']","[' 10460    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.7807'],[' 0'], ,[' 625.792'],[' 0'],[' 22.8186'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0248e+09'],[' 9.32688e+08'],[' 0'],[' 5.24597e+10'],[' 0'],[' 0'],[' 1306 '],[' 2225 '],[' 3178 '],[' 4255 '],[' 5147 '],[' 5986 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 7115+'],[' 3564'],"[' 1016.603s (Solving', ' 942.51s 1st Model', ' 472.01s Unsat', ' 0.00s)']",[' 1012.313s'], ,[' 297904457'],"[' 4809069  (Analyzed', ' 4164096)']","[' 10183    (Average', ' 408.93 Last', ' 82517)']",[' 6788.4  '],"[' 3564     (Average Length', ' 1598.28 Splits', ' 0)']","[' 4164096  (Deleted', ' 4048475)']","[' 113      (Ratio', '   0.00%)']","[' 63022    (Ratio', '   1.51%)']","[' 4164096  (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4164096  (Average', ' 67.72 Max', ' 7972 Sum', ' 282006324)']","[' 4161858  (Average', ' 66.84 Max', ' 7972 Sum', ' 278331682 Ratio', '  98.70%)']","[' 2238     (Average', ' 1641.93 Max', ' 2461 Sum', ' 3674642 Ratio', '   1.30%)']", ,[' 382372  '],[' 18134   '],[' 383440  '],[' 223812  '],"[' 671432   (Atom=Atom', ' 207676 Body=Body', ' 119034 Other', ' 344722)']",[' Yes'],"[' 21202    (Eliminated', '    0 Frozen', ' 21202)']","[' 11816    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.627'],[' 0'], ,[' 588.72'],[' 0'],[' 24.0126'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13329e+09'],[' 1.03515e+09'],[' 0'],[' 4.70046e+10'],[' 0'],[' 0'],[' 1217 '],[' 2076 '],[' 3096 '],[' 4085 '],[' 5060 '],[' 5901 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 6741+'],[' 3377'],"[' 1016.646s (Solving', ' 941.08s 1st Model', ' 359.66s Unsat', ' 0.00s)']",[' 1006.625s'], ,[' 237074578'],"[' 4340678  (Analyzed', ' 3869672)']","[' 9427     (Average', ' 410.49 Last', ' 62925)']",[' 7532.6  '],"[' 3377     (Average Length', ' 1514.25 Splits', ' 0)']","[' 3869672  (Deleted', ' 3767350)']","[' 97       (Ratio', '   0.00%)']","[' 47455    (Ratio', '   1.23%)']","[' 3869672  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3869672  (Average', ' 56.66 Max', ' 9332 Sum', ' 219270962)']","[' 3867384  (Average', ' 55.80 Max', ' 9332 Sum', ' 215929344 Ratio', '  98.48%)']","[' 2288     (Average', ' 1460.50 Max', ' 2353 Sum', ' 3341618 Ratio', '   1.52%)']", ,[' 381740  '],[' 18111   '],[' 382635  '],[' 223562  '],"[' 670682   (Atom=Atom', ' 207449 Body=Body', ' 119011 Other', ' 344222)']",[' Yes'],"[' 21006    (Eliminated', '    0 Frozen', ' 21006)']","[' 8731     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.2424'],[' 0'], ,[' 643.761'],[' 0'],[' 21.8218'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.99245e+08'],[' 8.22947e+08'],[' 0'],[' 4.82985e+10'],[' 0'],[' 0'],[' 1214 '],[' 2366 '],[' 3376 '],[' 4279 '],[' 5223 '],[' 5992 '],[' 6 '],[' 0 ']
