Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1749'],[' 881'],"[' 183.299s (Solving', ' 178.74s 1st Model', ' 3.39s Unsat', ' 3.81s)']",[' 181.516s'], ,[' 24529812'],"[' 11102608 (Analyzed', ' 11054172)']","[' 18873    (Average', ' 585.71 Last', ' 19558)']",[' 2029.1  '],"[' 881      (Average Length', ' 413.32 Splits', ' 0)']","[' 11054172 (Deleted', ' 10858786)']","[' 60       (Ratio', '   0.00%)']","[' 1405     (Ratio', '   0.01%)']","[' 11054172 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11054172 (Average', '  2.06 Max', ' 2637 Sum', ' 22826027)']","[' 11054041 (Average', '  2.06 Max', ' 2637 Sum', ' 22805163 Ratio', '  99.91%)']","[' 131      (Average', ' 159.27 Max', ' 591 Sum', '  20864 Ratio', '   0.09%)']", ,[' 76255   '],[' 3627    '],[' 76312   '],[' 43319   '],"[' 129953   (Atom=Atom', ' 40440 Body=Body', ' 22702 Other', ' 66811)']",[' Yes'],"[' 4434     (Eliminated', '    0 Frozen', ' 4434)']","[' 115      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.04847'],[' 0'], ,[' 89.0397'],[' 0'],[' 2.98187'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.09223e+07'],[' 3.87698e+07'],[' 0'],[' 4.94885e+09'],[' 0'],[' 0'],[' 761 '],[' 1349 '],[' 1822 '],[' 2370 '],[' 2869 '],[' 3251 '],[' 1 '],[' 5 ']
Solving...,TA52, , ,[' 1891'],[' 952'],"[' 577.825s (Solving', ' 572.83s 1st Model', ' 3.27s Unsat', ' 69.14s)']",[' 573.750s'], ,[' 30877912'],"[' 16436547 (Analyzed', ' 16379650)']","[' 30118    (Average', ' 543.85 Last', ' 7343)']",[' 1800.3  '],"[' 952      (Average Length', ' 443.35 Splits', ' 0)']","[' 16379650 (Deleted', ' 16109331)']","[' 40       (Ratio', '   0.00%)']","[' 2792     (Ratio', '   0.02%)']","[' 16379650 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16379650 (Average', '  1.79 Max', ' 2221 Sum', ' 29266275)']","[' 16379285 (Average', '  1.78 Max', ' 2221 Sum', ' 29124667 Ratio', '  99.52%)']","[' 365      (Average', ' 387.97 Max', ' 719 Sum', ' 141608 Ratio', '   0.48%)']", ,[' 76271   '],[' 3678    '],[' 76390   '],[' 42535   '],"[' 127601   (Atom=Atom', ' 39605 Body=Body', ' 22753 Other', ' 65243)']",[' Yes'],"[' 4547     (Eliminated', '    0 Frozen', ' 4547)']","[' 523      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1094'],[' 0'], ,[' 443.633'],[' 0'],[' 8.37814'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.20288e+07'],[' 5.07423e+07'],[' 0'],[' 5.2259e+10'],[' 0'],[' 0'],[' 758 '],[' 1352 '],[' 1921 '],[' 2502 '],[' 3018 '],[' 3355 '],[' 3 '],[' 3 ']
Solving...,TA53, ,[' 1'],[' 1853+'],[' 933'],"[' 598.709s (Solving', ' 593.56s 1st Model', ' 3.41s Unsat', ' 93.05s)']",[' 594.172s'], ,[' 15433874'],"[' 7609734  (Analyzed', ' 7543245)']","[' 16548    (Average', ' 455.84 Last', ' 10143)']",[' 1935.0  '],"[' 933      (Average Length', ' 439.25 Splits', ' 0)']","[' 7543245  (Deleted', ' 7406362)']","[' 60       (Ratio', '   0.00%)']","[' 2703     (Ratio', '   0.04%)']","[' 7543245  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7543245  (Average', '  1.85 Max', ' 2390 Sum', ' 13921622)']","[' 7542938  (Average', '  1.83 Max', ' 2390 Sum', ' 13794273 Ratio', '  99.09%)']","[' 307      (Average', ' 414.82 Max', ' 696 Sum', ' 127349 Ratio', '   0.91%)']", ,[' 76792   '],[' 3678    '],[' 76907   '],[' 43436   '],"[' 130304   (Atom=Atom', ' 40506 Body=Body', ' 22753 Other', ' 67045)']",[' Yes'],"[' 4543     (Eliminated', '    0 Frozen', ' 4543)']","[' 312      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1845'],[' 0'], ,[' 513.645'],[' 0'],[' 7.0381'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.37213e+07'],[' 3.38524e+07'],[' 0'],[' 6.60423e+10'],[' 0'],[' 0'],[' 644 '],[' 1175 '],[' 1627 '],[' 2191 '],[' 2668 '],[' 3068 '],[' 3 '],[' 3 ']
Solving...,TA54, , ,[' 1885'],[' 949'],"[' 216.303s (Solving', ' 211.24s 1st Model', ' 4.04s Unsat', ' 37.16s)']",[' 214.375s'], ,[' 8162766 '],"[' 3328415  (Analyzed', ' 3243681)']","[' 7146     (Average', ' 453.92 Last', ' 8194)']",[' 2063.4  '],"[' 949      (Average Length', ' 446.99 Splits', ' 0)']","[' 3243681  (Deleted', ' 3176986)']","[' 54       (Ratio', '   0.00%)']","[' 1871     (Ratio', '   0.06%)']","[' 3243681  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3243681  (Average', '  2.04 Max', ' 2457 Sum', ' 6609482)']","[' 3243419  (Average', '  2.00 Max', ' 2457 Sum', ' 6476182 Ratio', '  97.98%)']","[' 262      (Average', ' 508.78 Max', ' 757 Sum', ' 133300 Ratio', '   2.02%)']", ,[' 77338   '],[' 3687    '],[' 77460   '],[' 44121   '],"[' 132359   (Atom=Atom', ' 41182 Body=Body', ' 22762 Other', ' 68415)']",[' Yes'],"[' 4559     (Eliminated', '    0 Frozen', ' 4559)']","[' 151      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.21283'],[' 0'], ,[' 176.551'],[' 0'],[' 2.89319'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.24192e+07'],[' 2.37787e+07'],[' 0'],[' 2.16944e+10'],[' 0'],[' 0'],[' 729 '],[' 1194 '],[' 1695 '],[' 2192 '],[' 2637 '],[' 3052 '],[' 1 '],[' 5 ']
Solving...,TA55, ,[' 1'],[' 1775+'],[' 894'],"[' 405.102s (Solving', ' 399.57s 1st Model', ' 4.44s Unsat', ' 60.23s)']",[' 401.219s'], ,[' 26568393'],"[' 12269342 (Analyzed', ' 12216865)']","[' 22753    (Average', ' 536.93 Last', ' 16783)']",[' 1799.7  '],"[' 894      (Average Length', ' 418.06 Splits', ' 0)']","[' 12216865 (Deleted', ' 11996735)']","[' 38       (Ratio', '   0.00%)']","[' 2822     (Ratio', '   0.02%)']","[' 12216865 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12216865 (Average', '  2.05 Max', ' 2286 Sum', ' 25062379)']","[' 12216563 (Average', '  2.04 Max', ' 2286 Sum', ' 24972207 Ratio', '  99.64%)']","[' 302      (Average', ' 298.58 Max', ' 666 Sum', '  90172 Ratio', '   0.36%)']", ,[' 75855   '],[' 3645    '],[' 75933   '],[' 42230   '],"[' 126686   (Atom=Atom', ' 39333 Body=Body', ' 22720 Other', ' 64633)']",[' Yes'],"[' 4473     (Eliminated', '    0 Frozen', ' 4473)']","[' 347      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.2384'],[' 0'], ,[' 289.497'],[' 0'],[' 5.89995'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.35253e+07'],[' 4.50488e+07'],[' 0'],[' 3.26156e+10'],[' 0'],[' 0'],[' 657 '],[' 1191 '],[' 1695 '],[' 2239 '],[' 2740 '],[' 3140 '],[' 2 '],[' 4 ']
Solving...,TA56, , ,[' 1621'],[' 817'],"[' 626.924s (Solving', ' 622.57s 1st Model', ' 3.27s Unsat', ' 118.89s)']",[' 624.938s'], ,[' 21484632'],"[' 12556197 (Analyzed', ' 12496436)']","[' 25703    (Average', ' 486.19 Last', ' 60409)']",[' 1878.6  '],"[' 817      (Average Length', ' 386.44 Splits', ' 0)']","[' 12496436 (Deleted', ' 12299824)']","[' 62       (Ratio', '   0.00%)']","[' 2578     (Ratio', '   0.02%)']","[' 12496436 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12496436 (Average', '  1.60 Max', ' 2337 Sum', ' 20001372)']","[' 12496071 (Average', '  1.59 Max', ' 2337 Sum', ' 19887414 Ratio', '  99.43%)']","[' 365      (Average', ' 312.21 Max', ' 594 Sum', ' 113958 Ratio', '   0.57%)']", ,[' 75829   '],[' 3630    '],[' 75835   '],[' 42446   '],"[' 127334   (Atom=Atom', ' 39564 Body=Body', ' 22705 Other', ' 65065)']",[' Yes'],"[' 4386     (Eliminated', '    0 Frozen', ' 4386)']","[' 276      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.04323'],[' 0'], ,[' 518.481'],[' 0'],[' 8.24263'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.82722e+07'],[' 3.87105e+07'],[' 0'],[' 6.49199e+10'],[' 0'],[' 0'],[' 708 '],[' 1397 '],[' 1902 '],[' 2384 '],[' 2893 '],[' 3311 '],[' 3 '],[' 3 ']
Solving...,TA57, , ,[' 1589'],[' 801'],"[' 293.714s (Solving', ' 289.00s 1st Model', ' 3.40s Unsat', ' 115.30s)']",[' 292.438s'], ,[' 13550851'],"[' 5766543  (Analyzed', ' 5714583)']","[' 12474    (Average', ' 458.12 Last', ' 30711)']",[' 1897.0  '],"[' 801      (Average Length', ' 382.36 Splits', ' 0)']","[' 5714583  (Deleted', ' 5602536)']","[' 64       (Ratio', '   0.00%)']","[' 2250     (Ratio', '   0.04%)']","[' 5714583  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5714583  (Average', '  2.14 Max', ' 2504 Sum', ' 12206980)']","[' 5714356  (Average', '  2.13 Max', ' 2504 Sum', ' 12160217 Ratio', '  99.62%)']","[' 227      (Average', ' 206.00 Max', ' 613 Sum', '  46763 Ratio', '   0.38%)']", ,[' 76276   '],[' 3677    '],[' 76276   '],[' 43045   '],"[' 129131   (Atom=Atom', ' 40116 Body=Body', ' 22752 Other', ' 66263)']",[' Yes'],"[' 4427     (Eliminated', '    0 Frozen', ' 4427)']","[' 219      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.05233'],[' 0'], ,[' 236.417'],[' 0'],[' 3.88158'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.53317e+07'],[' 2.84659e+07'],[' 0'],[' 2.78307e+10'],[' 0'],[' 0'],[' 765 '],[' 1248 '],[' 1850 '],[' 2475 '],[' 3011 '],[' 3403 '],[' 1 '],[' 5 ']
Solving...,TA58, , ,[' 1887'],[' 950'],"[' 428.121s (Solving', ' 423.31s 1st Model', ' 3.42s Unsat', ' 82.49s)']",[' 426.750s'], ,[' 35555686'],"[' 21335997 (Analyzed', ' 21273619)']","[' 36775    (Average', ' 578.48 Last', ' 391479)']",[' 1822.2  '],"[' 950      (Average Length', ' 445.85 Splits', ' 0)']","[' 21273619 (Deleted', ' 20953005)']","[' 58       (Ratio', '   0.00%)']","[' 2148     (Ratio', '   0.01%)']","[' 21273619 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21273619 (Average', '  1.59 Max', ' 2407 Sum', ' 33815063)']","[' 21273334 (Average', '  1.59 Max', ' 2407 Sum', ' 33748950 Ratio', '  99.80%)']","[' 285      (Average', ' 231.98 Max', ' 761 Sum', '  66113 Ratio', '   0.20%)']", ,[' 76126   '],[' 3658    '],[' 76240   '],[' 42347   '],"[' 127037   (Atom=Atom', ' 39437 Body=Body', ' 22733 Other', ' 64867)']",[' Yes'],"[' 4522     (Eliminated', '    0 Frozen', ' 4522)']","[' 275      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.10326'],[' 0'], ,[' 255.513'],[' 0'],[' 5.5576'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.09112e+08'],[' 5.88364e+07'],[' 0'],[' 2.24882e+10'],[' 0'],[' 0'],[' 645 '],[' 1228 '],[' 1768 '],[' 2365 '],[' 2856 '],[' 3295 '],[' 2 '],[' 4 ']
Solving...,TA59, , ,[' 1827'],[' 920'],"[' 128.108s (Solving', ' 123.52s 1st Model', ' 6.95s Unsat', ' 110.71s)']",[' 127.125s'], ,[' 14809070'],"[' 7135280  (Analyzed', ' 7089418)']","[' 13126    (Average', ' 540.10 Last', ' 33170)']",[' 1771.1  '],"[' 920      (Average Length', ' 435.03 Splits', ' 0)']","[' 7089418  (Deleted', ' 6973704)']","[' 71       (Ratio', '   0.00%)']","[' 2524     (Ratio', '   0.04%)']","[' 7089418  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7089418  (Average', '  1.90 Max', ' 2210 Sum', ' 13493973)']","[' 7089078  (Average', '  1.89 Max', ' 2210 Sum', ' 13397494 Ratio', '  99.29%)']","[' 340      (Average', ' 283.76 Max', ' 722 Sum', '  96479 Ratio', '   0.71%)']", ,[' 75774   '],[' 3608    '],[' 75873   '],[' 41991   '],"[' 125969   (Atom=Atom', ' 39131 Body=Body', ' 22683 Other', ' 64155)']",[' Yes'],"[' 4457     (Eliminated', '    0 Frozen', ' 4457)']","[' 330      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.07222'],[' 0'], ,[' 63.0581'],[' 0'],[' 1.92466'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.1796e+07'],[' 3.25578e+07'],[' 0'],[' 4.22011e+09'],[' 0'],[' 0'],[' 614 '],[' 1096 '],[' 1593 '],[' 2123 '],[' 2629 '],[' 3064 '],[' 0 '],[' 6 ']
Solving...,TA60, , ,[' 1767'],[' 890'],"[' 142.016s (Solving', ' 137.55s 1st Model', ' 3.08s Unsat', ' 129.24s)']",[' 141.438s'], ,[' 5975810 '],"[' 2140046  (Analyzed', ' 2066360)']","[' 5181     (Average', ' 398.83 Last', ' 1931)']",[' 1829.6  '],"[' 890      (Average Length', ' 424.78 Splits', ' 0)']","[' 2066360  (Deleted', ' 2020422)']","[' 71       (Ratio', '   0.00%)']","[' 1544     (Ratio', '   0.07%)']","[' 2066360  (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2066360  (Average', '  2.27 Max', ' 2554 Sum', ' 4684764)']","[' 2066090  (Average', '  2.23 Max', ' 2554 Sum', ' 4609064 Ratio', '  98.38%)']","[' 270      (Average', ' 280.37 Max', ' 581 Sum', '  75700 Ratio', '   1.62%)']", ,[' 76384   '],[' 3673    '],[' 76474   '],[' 43226   '],"[' 129674   (Atom=Atom', ' 40301 Body=Body', ' 22748 Other', ' 66625)']",[' Yes'],"[' 4513     (Eliminated', '    0 Frozen', ' 4513)']","[' 111      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.996956'],[' 0'], ,[' 116.196'],[' 0'],[' 1.76398'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.29703e+07'],[' 1.72697e+07'],[' 0'],[' 1.45869e+10'],[' 0'],[' 0'],[' 683 '],[' 1134 '],[' 1688 '],[' 2289 '],[' 2747 '],[' 3149 '],[' 0 '],[' 6 ']
