Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 5579+'],[' 2797'],"[' 1012.037s (Solving', ' 959.54s 1st Model', ' 92.04s Unsat', ' 0.00s)']",[' 1004.000s'], ,[' 142017735'],"[' 8475054  (Analyzed', ' 8070185)']","[' 16305    (Average', ' 494.95 Last', ' 25804)']",[' 6238.3  '],"[' 2797     (Average Length', ' 1277.30 Splits', ' 0)']","[' 8070185  (Deleted', ' 7941963)']","[' 74       (Ratio', '   0.00%)']","[' 26221    (Ratio', '   0.32%)']","[' 8070185  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8070185  (Average', ' 16.17 Max', ' 8252 Sum', ' 130479475)']","[' 8067849  (Average', ' 15.77 Max', ' 8252 Sum', ' 127286645 Ratio', '  97.55%)']","[' 2336     (Average', ' 1366.79 Max', ' 2135 Sum', ' 3192830 Ratio', '   2.45%)']", ,[' 371546  '],[' 15710   '],[' 371989  '],[' 215554  '],"[' 646658   (Atom=Atom', ' 201842 Body=Body', ' 116610 Other', ' 328206)']",[' Yes'],"[' 18153    (Eliminated', '    0 Frozen', ' 18153)']","[' 5330     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3927'],[' 0'], ,[' 778.169'],[' 0'],[' 15.6323'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.40645e+08'],[' 4.91445e+08'],[' 0'],[' 7.79716e+10'],[' 0'],[' 0'],[' 1187 '],[' 2257 '],[' 3220 '],[' 4098 '],[' 4894 '],[' 5753 '],[' 6432 '],[' 7 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 5843+'],[' 2929'],"[' 1012.321s (Solving', ' 957.95s 1st Model', ' 295.36s Unsat', ' 0.00s)']",[' 1007.719s'], ,[' 186072610'],"[' 8647190  (Analyzed', ' 8299123)']","[' 18537    (Average', ' 447.71 Last', ' 119945)']",[' 5718.6  '],"[' 2929     (Average Length', ' 1315.61 Splits', ' 0)']","[' 8299123  (Deleted', ' 8150284)']","[' 81       (Ratio', '   0.00%)']","[' 38187    (Ratio', '   0.46%)']","[' 8299123  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8299123  (Average', ' 21.09 Max', ' 7427 Sum', ' 175052364)']","[' 8297106  (Average', ' 20.76 Max', ' 7427 Sum', ' 172259866 Ratio', '  98.40%)']","[' 2017     (Average', ' 1384.48 Max', ' 2149 Sum', ' 2792498 Ratio', '   1.60%)']", ,[' 370261  '],[' 15558   '],[' 370803  '],[' 215370  '],"[' 646106   (Atom=Atom', ' 201810 Body=Body', ' 116458 Other', ' 327838)']",[' Yes'],"[' 18100    (Eliminated', '    0 Frozen', ' 18100)']","[' 7637     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.1174'],[' 0'], ,[' 719.267'],[' 0'],[' 17.5066'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.31577e+08'],[' 6.53748e+08'],[' 0'],[' 7.30564e+10'],[' 0'],[' 0'],[' 1006 '],[' 1811 '],[' 2572 '],[' 3308 '],[' 4189 '],[' 4956 '],[' 5621 '],[' 7 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 5609+'],[' 2812'],"[' 1012.368s (Solving', ' 959.15s 1st Model', ' 351.23s Unsat', ' 0.00s)']",[' 1008.891s'], ,[' 188733877'],"[' 7780551  (Analyzed', ' 7418971)']","[' 16667    (Average', ' 445.13 Last', ' 154661)']",[' 6079.4  '],"[' 2812     (Average Length', ' 1260.30 Splits', ' 0)']","[' 7418971  (Deleted', ' 7284772)']","[' 79       (Ratio', '   0.00%)']","[' 39650    (Ratio', '   0.53%)']","[' 7418971  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7418971  (Average', ' 23.85 Max', ' 7410 Sum', ' 176925667)']","[' 7416893  (Average', ' 23.49 Max', ' 7410 Sum', ' 174303842 Ratio', '  98.52%)']","[' 2078     (Average', ' 1261.71 Max', ' 2146 Sum', ' 2621825 Ratio', '   1.48%)']", ,[' 371668  '],[' 15672   '],[' 372099  '],[' 216121  '],"[' 648359   (Atom=Atom', ' 202447 Body=Body', ' 116572 Other', ' 329340)']",[' Yes'],"[' 18103    (Eliminated', '    0 Frozen', ' 18103)']","[' 7739     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.7299'],[' 0'], ,[' 736.614'],[' 0'],[' 18.3445'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.22579e+08'],[' 6.52724e+08'],[' 0'],[' 7.38887e+10'],[' 0'],[' 0'],[' 1246 '],[' 2132 '],[' 2910 '],[' 3774 '],[' 4607 '],[' 5390 '],[' 6066 '],[' 7 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 5475+'],[' 2745'],"[' 1012.008s (Solving', ' 960.89s 1st Model', ' 85.05s Unsat', ' 0.00s)']",[' 1008.109s'], ,[' 111241892'],"[' 8796027  (Analyzed', ' 8384935)']","[' 17035    (Average', ' 492.22 Last', ' 17124)']",[' 6806.1  '],"[' 2745     (Average Length', ' 1252.20 Splits', ' 0)']","[' 8384935  (Deleted', ' 8243412)']","[' 51       (Ratio', '   0.00%)']","[' 16877    (Ratio', '   0.20%)']","[' 8384935  (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8384935  (Average', ' 11.64 Max', ' 9522 Sum', ' 97639076)']","[' 8382981  (Average', ' 11.35 Max', ' 9522 Sum', ' 95155949 Ratio', '  97.46%)']","[' 1954     (Average', ' 1270.79 Max', ' 2096 Sum', ' 2483127 Ratio', '   2.54%)']", ,[' 371449  '],[' 15627   '],[' 371875  '],[' 216829  '],"[' 650483   (Atom=Atom', ' 203200 Body=Body', ' 116527 Other', ' 330756)']",[' Yes'],"[' 18053    (Eliminated', '    0 Frozen', ' 18053)']","[' 3320     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.2832'],[' 0'], ,[' 806.221'],[' 0'],[' 14.5381'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.56938e+08'],[' 4.161e+08'],[' 0'],[' 8.54289e+10'],[' 0'],[' 0'],[' 1107 '],[' 1978 '],[' 2841 '],[' 3779 '],[' 4569 '],[' 5414 '],[' 6094 '],[' 7 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 6137+'],[' 3076'],"[' 1013.484s (Solving', ' 953.11s 1st Model', ' 361.26s Unsat', ' 0.00s)']",[' 1009.609s'], ,[' 189014110'],"[' 6157122  (Analyzed', ' 5735398)']","[' 14171    (Average', ' 404.73 Last', ' 82015)']",[' 5752.0  '],"[' 3076     (Average Length', ' 1382.63 Splits', ' 0)']","[' 5735398  (Deleted', ' 5607782)']","[' 104      (Ratio', '   0.00%)']","[' 45335    (Ratio', '   0.79%)']","[' 5735398  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5735398  (Average', ' 31.03 Max', ' 7142 Sum', ' 177951320)']","[' 5733222  (Average', ' 30.46 Max', ' 7142 Sum', ' 174701535 Ratio', '  98.17%)']","[' 2176     (Average', ' 1493.47 Max', ' 2268 Sum', ' 3249785 Ratio', '   1.83%)']", ,[' 372134  '],[' 15823   '],[' 372812  '],[' 215918  '],"[' 647750   (Atom=Atom', ' 202093 Body=Body', ' 116723 Other', ' 328934)']",[' Yes'],"[' 18501    (Eliminated', '    0 Frozen', ' 18501)']","[' 8453     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9773'],[' 0'], ,[' 701.122'],[' 0'],[' 18.8319'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.60286e+08'],[' 6.91606e+08'],[' 0'],[' 6.6374e+10'],[' 0'],[' 0'],[' 1157 '],[' 2028 '],[' 2943 '],[' 3819 '],[' 4637 '],[' 5443 '],[' 6076 '],[' 7 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 5789+'],[' 2902'],"[' 1012.084s (Solving', ' 958.44s 1st Model', ' 294.43s Unsat', ' 0.01s)']",[' 1008.109s'], ,[' 157685356'],"[' 7211109  (Analyzed', ' 6809150)']","[' 15580    (Average', ' 437.04 Last', ' 271023)']",[' 5923.1  '],"[' 2902     (Average Length', ' 1312.30 Splits', ' 0)']","[' 6809150  (Deleted', ' 6687645)']","[' 69       (Ratio', '   0.00%)']","[' 31122    (Ratio', '   0.46%)']","[' 6809150  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6809150  (Average', ' 21.47 Max', ' 8207 Sum', ' 146196218)']","[' 6807199  (Average', ' 21.07 Max', ' 8207 Sum', ' 143443532 Ratio', '  98.12%)']","[' 1951     (Average', ' 1410.91 Max', ' 2248 Sum', ' 2752686 Ratio', '   1.88%)']", ,[' 370849  '],[' 15587   '],[' 371389  '],[' 215350  '],"[' 646046   (Atom=Atom', ' 201761 Body=Body', ' 116487 Other', ' 327798)']",[' Yes'],"[' 18127    (Eliminated', '    0 Frozen', ' 18127)']","[' 6157     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.8869'],[' 0'], ,[' 749.915'],[' 0'],[' 16.7824'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.11486e+08'],[' 5.46636e+08'],[' 0'],[' 7.37936e+10'],[' 0'],[' 0'],[' 1032 '],[' 1864 '],[' 2749 '],[' 3665 '],[' 4514 '],[' 5286 '],[' 6030 '],[' 7 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 5741+'],[' 2878'],"[' 1012.625s (Solving', ' 957.40s 1st Model', ' 362.57s Unsat', ' 0.00s)']",[' 1009.109s'], ,[' 180370546'],"[' 8892769  (Analyzed', ' 8459488)']","[' 17711    (Average', ' 477.64 Last', ' 178680)']",[' 6150.6  '],"[' 2878     (Average Length', ' 1312.09 Splits', ' 0)']","[' 8459488  (Deleted', ' 8327235)']","[' 54       (Ratio', '   0.00%)']","[' 35448    (Ratio', '   0.42%)']","[' 8459488  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8459488  (Average', ' 19.88 Max', ' 7685 Sum', ' 168214624)']","[' 8457406  (Average', ' 19.57 Max', ' 7685 Sum', ' 165539311 Ratio', '  98.41%)']","[' 2082     (Average', ' 1284.97 Max', ' 2192 Sum', ' 2675313 Ratio', '   1.59%)']", ,[' 369746  '],[' 15593   '],[' 370274  '],[' 214348  '],"[' 643040   (Atom=Atom', ' 200753 Body=Body', ' 116493 Other', ' 325794)']",[' Yes'],"[' 18121    (Eliminated', '    0 Frozen', ' 18121)']","[' 7023     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9994'],[' 0'], ,[' 735.794'],[' 0'],[' 17.6867'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.70571e+08'],[' 6.02912e+08'],[' 0'],[' 7.2855e+10'],[' 0'],[' 0'],[' 1216 '],[' 2096 '],[' 2852 '],[' 3708 '],[' 4612 '],[' 5420 '],[' 6072 '],[' 7 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 5597+'],[' 2806'],"[' 1012.049s (Solving', ' 959.65s 1st Model', ' 103.86s Unsat', ' 0.00s)']",[' 1006.859s'], ,[' 162235682'],"[' 7824805  (Analyzed', ' 7403730)']","[' 16287    (Average', ' 454.58 Last', ' 71202)']",[' 5819.4  '],"[' 2806     (Average Length', ' 1265.13 Splits', ' 0)']","[' 7403730  (Deleted', ' 7269320)']","[' 90       (Ratio', '   0.00%)']","[' 34106    (Ratio', '   0.46%)']","[' 7403730  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7403730  (Average', ' 20.42 Max', ' 8018 Sum', ' 151170045)']","[' 7401643  (Average', ' 20.06 Max', ' 8018 Sum', ' 148527061 Ratio', '  98.25%)']","[' 2087     (Average', ' 1266.40 Max', ' 2151 Sum', ' 2642984 Ratio', '   1.75%)']", ,[' 370298  '],[' 15691   '],[' 370741  '],[' 213694  '],"[' 641078   (Atom=Atom', ' 200001 Body=Body', ' 116591 Other', ' 324486)']",[' Yes'],"[' 18134    (Eliminated', '    0 Frozen', ' 18134)']","[' 6552     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.7158'],[' 0'], ,[' 769.5'],[' 0'],[' 16.0944'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.26849e+08'],[' 5.65247e+08'],[' 0'],[' 9.24366e+10'],[' 0'],[' 0'],[' 1194 '],[' 2021 '],[' 2844 '],[' 3792 '],[' 4578 '],[' 5420 '],[' 6102 '],[' 7 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 5675+'],[' 2845'],"[' 1011.739s (Solving', ' 965.72s 1st Model', ' 122.07s Unsat', ' 0.00s)']",[' 1010.094s'], ,[' 185582128'],"[' 8166697  (Analyzed', ' 7862889)']","[' 16930    (Average', ' 464.44 Last', ' 104514)']",[' 5958.6  '],"[' 2845     (Average Length', ' 1277.73 Splits', ' 0)']","[' 7862889  (Deleted', ' 7729090)']","[' 81       (Ratio', '   0.00%)']","[' 38479    (Ratio', '   0.49%)']","[' 7862889  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7862889  (Average', ' 22.13 Max', ' 7710 Sum', ' 174029117)']","[' 7860930  (Average', ' 21.81 Max', ' 7710 Sum', ' 171468966 Ratio', '  98.53%)']","[' 1959     (Average', ' 1306.87 Max', ' 5616 Sum', ' 2560151 Ratio', '   1.47%)']", ,[' 372555  '],[' 15736   '],[' 373042  '],[' 216656  '],"[' 649964   (Atom=Atom', ' 202918 Body=Body', ' 116636 Other', ' 330410)']",[' Yes'],"[' 18223    (Eliminated', '    0 Frozen', ' 18223)']","[' 7972     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.22064'],[' 0'], ,[' 773.782'],[' 0'],[' 16.3848'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.50211e+08'],[' 6.75101e+08'],[' 0'],[' 9.70717e+10'],[' 0'],[' 0'],[' 1051 '],[' 1836 '],[' 2737 '],[' 3699 '],[' 4494 '],[' 5310 '],[' 6005 '],[' 7 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 5451+'],[' 2733'],"[' 1010.523s (Solving', ' 967.86s 1st Model', ' 74.94s Unsat', ' 0.00s)']",[' 1009.141s'], ,[' 152053737'],"[' 9532915  (Analyzed', ' 9170718)']","[' 18601    (Average', ' 493.02 Last', ' 14984)']",[' 5953.9  '],"[' 2733     (Average Length', ' 1228.94 Splits', ' 0)']","[' 9170718  (Deleted', ' 9023452)']","[' 91       (Ratio', '   0.00%)']","[' 29597    (Ratio', '   0.32%)']","[' 9170718  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9170718  (Average', ' 15.38 Max', ' 8483 Sum', ' 141072441)']","[' 9168559  (Average', ' 15.08 Max', ' 8483 Sum', ' 138280431 Ratio', '  98.02%)']","[' 2159     (Average', ' 1293.20 Max', ' 6556 Sum', ' 2792010 Ratio', '   1.98%)']", ,[' 372214  '],[' 15793   '],[' 372609  '],[' 215505  '],"[' 646511   (Atom=Atom', ' 201710 Body=Body', ' 116693 Other', ' 328108)']",[' Yes'],"[' 18188    (Eliminated', '    0 Frozen', ' 18188)']","[' 5849     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.58864'],[' 0'], ,[' 806.133'],[' 0'],[' 14.6273'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.00944e+08'],[' 5.39845e+08'],[' 0'],[' 1.05872e+11'],[' 0'],[' 0'],[' 1047 '],[' 2056 '],[' 2818 '],[' 3616 '],[' 4520 '],[' 5334 '],[' 5964 '],[' 7 '],[' 0 ']
