Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1959'],[' 987'],"[' 23.034s (Solving', ' 17.86s 1st Model', ' 3.35s Unsat', ' 8.04s)']",[' 22.875s'], ,[' 4485652 '],"[' 652435   (Analyzed', ' 594936)']","[' 1636     (Average', ' 363.65 Last', ' 4675)']",[' 2132.4  '],"[' 987      (Average Length', ' 463.59 Splits', ' 0)']","[' 594936   (Deleted', ' 570542)']","[' 74       (Ratio', '   0.01%)']","[' 1138     (Ratio', '   0.19%)']","[' 594936   (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 594936   (Average', '  4.75 Max', ' 2884 Sum', ' 2826228)']","[' 594672   (Average', '  4.67 Max', ' 2884 Sum', ' 2776373 Ratio', '  98.24%)']","[' 264      (Average', ' 188.84 Max', ' 763 Sum', '  49855 Ratio', '   1.76%)']", ,[' 99223   '],[' 4261    '],[' 99135   '],[' 55221   '],"[' 165659   (Atom=Atom', ' 51958 Body=Body', ' 29711 Other', ' 83990)']",[' Yes'],"[' 5173     (Eliminated', '    0 Frozen', ' 5173)']","[' 85       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.29221'],[' 0'], ,[' 8.52804'],[' 0'],[' 0.327953'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.5634e+07'],[' 2.30803e+07'],[' 0'],[' 5.71882e+08'],[' 0'],[' 0'],[' 587 '],[' 1099 '],[' 1657 '],[' 2195 '],[' 2609 '],[' 3039 '],[' 3388 '],[' 0 '],[' 7 ']
Solving...,TA62, , ,[' 2199'],[' 1107'],"[' 164.510s (Solving', ' 159.26s 1st Model', ' 4.19s Unsat', ' 6.03s)']",[' 164.063s'], ,[' 13253557'],"[' 5687844  (Analyzed', ' 5532754)']","[' 10544    (Average', ' 524.73 Last', ' 3741)']",[' 2157.9  '],"[' 1107     (Average Length', ' 515.71 Splits', ' 0)']","[' 5532754  (Deleted', ' 5438533)']","[' 94       (Ratio', '   0.00%)']","[' 2284     (Ratio', '   0.04%)']","[' 5532754  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5532754  (Average', '  2.03 Max', ' 2871 Sum', ' 11214348)']","[' 5532556  (Average', '  2.02 Max', ' 2871 Sum', ' 11160282 Ratio', '  99.52%)']","[' 198      (Average', ' 273.06 Max', ' 734 Sum', '  54066 Ratio', '   0.48%)']", ,[' 99931   '],[' 4293    '],[' 99950   '],[' 56289   '],"[' 168863   (Atom=Atom', ' 52994 Body=Body', ' 29743 Other', ' 86126)']",[' Yes'],"[' 5312     (Eliminated', '    0 Frozen', ' 5312)']","[' 188      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.38025'],[' 0'], ,[' 117.909'],[' 0'],[' 2.36914'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.38999e+07'],[' 3.82177e+07'],[' 0'],[' 1.14986e+10'],[' 0'],[' 0'],[' 650 '],[' 1122 '],[' 1728 '],[' 2197 '],[' 2682 '],[' 3152 '],[' 3528 '],[' 1 '],[' 6 ']
Solving...,TA63, , ,[' 2305'],[' 1160'],"[' 20.077s (Solving', ' 14.10s 1st Model', ' 3.55s Unsat', ' 0.45s)']",[' 19.813s'], ,[' 4127221 '],"[' 409614   (Analyzed', ' 23141)']","[' 658      (Average', ' 35.17 Last', ' 2942)']",[' 2222.7  '],"[' 1160     (Average Length', ' 535.59 Splits', ' 0)']","[' 23141    (Deleted', ' 1847)']","[' 106      (Ratio', '   0.46%)']","[' 891      (Ratio', '   3.85%)']","[' 23141    (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23141    (Average', ' 78.89 Max', ' 3008 Sum', ' 1825689)']","[' 22985    (Average', ' 77.53 Max', ' 3008 Sum', ' 1794012 Ratio', '  98.26%)']","[' 156      (Average', ' 203.06 Max', ' 769 Sum', '  31677 Ratio', '   1.74%)']", ,[' 99985   '],[' 4250    '],[' 100036  '],[' 56613   '],"[' 169835   (Atom=Atom', ' 53361 Body=Body', ' 29700 Other', ' 86774)']",[' Yes'],"[' 5301     (Eliminated', '    0 Frozen', ' 5301)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.46347'],[' 0'], ,[' 6.43057'],[' 0'],[' 0.222147'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.52771e+07'],[' 2.37118e+07'],[' 0'],[' 4.88361e+08'],[' 0'],[' 0'],[' 670 '],[' 1113 '],[' 1587 '],[' 2012 '],[' 2536 '],[' 2938 '],[' 3289 '],[' 0 '],[' 7 ']
Solving...,TA64, , ,[' 2047'],[' 1031'],"[' 158.465s (Solving', ' 153.00s 1st Model', ' 3.30s Unsat', ' 142.64s)']",[' 157.750s'], ,[' 9489926 '],"[' 4214075  (Analyzed', ' 4166822)']","[' 9276     (Average', ' 449.20 Last', ' 7635)']",[' 2265.0  '],"[' 1031     (Average Length', ' 484.88 Splits', ' 0)']","[' 4166822  (Deleted', ' 4075292)']","[' 81       (Ratio', '   0.00%)']","[' 1549     (Ratio', '   0.04%)']","[' 4166822  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4166822  (Average', '  1.82 Max', ' 2897 Sum', ' 7598033)']","[' 4166587  (Average', '  1.80 Max', ' 2897 Sum', ' 7517321 Ratio', '  98.94%)']","[' 235      (Average', ' 343.46 Max', ' 826 Sum', '  80712 Ratio', '   1.06%)']", ,[' 99948   '],[' 4274    '],[' 99889   '],[' 56174   '],"[' 168518   (Atom=Atom', ' 52898 Body=Body', ' 29724 Other', ' 85896)']",[' Yes'],"[' 5215     (Eliminated', '    0 Frozen', ' 5215)']","[' 108      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.38031'],[' 0'], ,[' 122.935'],[' 0'],[' 1.95279'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.16096e+07'],[' 3.06967e+07'],[' 0'],[' 1.83178e+10'],[' 0'],[' 0'],[' 768 '],[' 1345 '],[' 1902 '],[' 2333 '],[' 2772 '],[' 3260 '],[' 3558 '],[' 0 '],[' 7 ']
Solving...,TA65, , ,[' 2235'],[' 1125'],"[' 159.929s (Solving', ' 154.10s 1st Model', ' 3.70s Unsat', ' 0.59s)']",[' 159.266s'], ,[' 6202479 '],"[' 1997207  (Analyzed', ' 1631635)']","[' 4384     (Average', ' 372.18 Last', ' 2060)']",[' 2267.7  '],"[' 1125     (Average Length', ' 523.85 Splits', ' 0)']","[' 1631635  (Deleted', ' 1593564)']","[' 40       (Ratio', '   0.00%)']","[' 933      (Ratio', '   0.06%)']","[' 1631635  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1631635  (Average', '  2.39 Max', ' 3048 Sum', ' 3906338)']","[' 1631512  (Average', '  2.36 Max', ' 3048 Sum', ' 3846424 Ratio', '  98.47%)']","[' 123      (Average', ' 487.11 Max', ' 883 Sum', '  59914 Ratio', '   1.53%)']", ,[' 100292  '],[' 4274    '],[' 100307  '],[' 57056   '],"[' 171164   (Atom=Atom', ' 53780 Body=Body', ' 29724 Other', ' 87660)']",[' Yes'],"[' 5289     (Eliminated', '    0 Frozen', ' 5289)']","[' 88       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.42139'],[' 0'], ,[' 136.428'],[' 0'],[' 2.0272'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.14257e+07'],[' 2.62606e+07'],[' 0'],[' 2.13996e+10'],[' 0'],[' 0'],[' 623 '],[' 1139 '],[' 1662 '],[' 2104 '],[' 2781 '],[' 3221 '],[' 3541 '],[' 1 '],[' 6 ']
Solving...,TA66, , ,[' 2241'],[' 1128'],"[' 19.113s (Solving', ' 13.25s 1st Model', ' 3.80s Unsat', ' 2.37s)']",[' 19.016s'], ,[' 4031485 '],"[' 121188   (Analyzed', ' 47212)']","[' 423      (Average', ' 111.61 Last', ' 868)']",[' 2217.4  '],"[' 1128     (Average Length', ' 534.86 Splits', ' 0)']","[' 47212    (Deleted', ' 39153)']","[' 64       (Ratio', '   0.14%)']","[' 931      (Ratio', '   1.97%)']","[' 47212    (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 47212    (Average', ' 44.78 Max', ' 3017 Sum', ' 2114181)']","[' 47050    (Average', ' 43.81 Max', ' 3017 Sum', ' 2068557 Ratio', '  97.84%)']","[' 162      (Average', ' 281.63 Max', ' 905 Sum', '  45624 Ratio', '   2.16%)']", ,[' 99958   '],[' 4266    '],[' 100003  '],[' 56493   '],"[' 169475   (Atom=Atom', ' 53225 Body=Body', ' 29716 Other', ' 86534)']",[' Yes'],"[' 5311     (Eliminated', '    0 Frozen', ' 5311)']","[' 45       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39992'],[' 0'], ,[' 5.96492'],[' 0'],[' 0.233341'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.46266e+07'],[' 2.33518e+07'],[' 0'],[' 4.9724e+08'],[' 0'],[' 0'],[' 645 '],[' 1133 '],[' 1592 '],[' 2127 '],[' 2580 '],[' 3126 '],[' 3482 '],[' 0 '],[' 7 ']
Solving...,TA67, , ,[' 2633'],[' 1324'],"[' 21.176s (Solving', ' 14.56s 1st Model', ' 3.90s Unsat', ' 2.17s)']",[' 20.938s'], ,[' 4509245 '],"[' 199889   (Analyzed', ' 71462)']","[' 629      (Average', ' 113.61 Last', ' 698)']",[' 2249.3  '],"[' 1324     (Average Length', ' 600.03 Splits', ' 0)']","[' 71462    (Deleted', ' 62850)']","[' 63       (Ratio', '   0.09%)']","[' 1102     (Ratio', '   1.54%)']","[' 71462    (Average Length', '    8.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 71462    (Average', ' 32.77 Max', ' 2931 Sum', ' 2341995)']","[' 71217    (Average', ' 30.85 Max', ' 2931 Sum', ' 2204844 Ratio', '  94.14%)']","[' 245      (Average', ' 559.80 Max', ' 1036 Sum', ' 137151 Ratio', '   5.86%)']", ,[' 100537  '],[' 4309    '],[' 100695  '],[' 57036   '],"[' 171104   (Atom=Atom', ' 53725 Body=Body', ' 29759 Other', ' 87620)']",[' Yes'],"[' 5467     (Eliminated', '    0 Frozen', ' 5467)']","[' 55       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.58787'],[' 0'], ,[' 6.32943'],[' 0'],[' 0.26028'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.72515e+07'],[' 2.56767e+07'],[' 0'],[' 4.60274e+08'],[' 0'],[' 0'],[' 706 '],[' 1132 '],[' 1663 '],[' 2196 '],[' 2615 '],[' 3054 '],[' 3405 '],[' 0 '],[' 7 ']
Solving...,TA68, , ,[' 1997'],[' 1006'],"[' 18.087s (Solving', ' 13.06s 1st Model', ' 3.55s Unsat', ' 3.12s)']",[' 17.938s'], ,[' 3871165 '],"[' 114925   (Analyzed', ' 44454)']","[' 382      (Average', ' 116.37 Last', ' 591)']",[' 2254.5  '],"[' 1006     (Average Length', ' 474.14 Splits', ' 0)']","[' 44454    (Deleted', ' 38029)']","[' 61       (Ratio', '   0.14%)']","[' 818      (Ratio', '   1.84%)']","[' 44454    (Average Length', '    8.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 44454    (Average', ' 47.02 Max', ' 3036 Sum', ' 2090292)']","[' 44303    (Average', ' 45.46 Max', ' 3036 Sum', ' 2020955 Ratio', '  96.68%)']","[' 151      (Average', ' 459.19 Max', ' 802 Sum', '  69337 Ratio', '   3.32%)']", ,[' 99792   '],[' 4236    '],[' 99718   '],[' 56763   '],"[' 170285   (Atom=Atom', ' 53525 Body=Body', ' 29686 Other', ' 87074)']",[' Yes'],"[' 5162     (Eliminated', '    0 Frozen', ' 5162)']","[' 27       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.29709'],[' 0'], ,[' 6.34435'],[' 0'],[' 0.235382'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.33655e+07'],[' 2.22316e+07'],[' 0'],[' 6.25602e+08'],[' 0'],[' 0'],[' 583 '],[' 1067 '],[' 1547 '],[' 2073 '],[' 2477 '],[' 2915 '],[' 3316 '],[' 0 '],[' 7 ']
Solving...,TA69, ,[' 1'],[' 2719+'],[' 1367'],"[' 306.613s (Solving', ' 300.00s 1st Model', ' 5.92s Unsat', ' 4.78s)']",[' 306.188s'], ,[' 21950077'],"[' 11718523 (Analyzed', ' 11618145)']","[' 20749    (Average', ' 559.94 Last', ' 27768)']",[' 2187.4  '],"[' 1367     (Average Length', ' 624.87 Splits', ' 0)']","[' 11618145 (Deleted', ' 11445606)']","[' 88       (Ratio', '   0.00%)']","[' 2781     (Ratio', '   0.02%)']","[' 11618145 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11618145 (Average', '  1.68 Max', ' 2872 Sum', ' 19570149)']","[' 11617880 (Average', '  1.67 Max', ' 2872 Sum', ' 19449217 Ratio', '  99.38%)']","[' 265      (Average', ' 456.35 Max', ' 1072 Sum', ' 120932 Ratio', '   0.62%)']", ,[' 100510  '],[' 4308    '],[' 100715  '],[' 56586   '],"[' 169754   (Atom=Atom', ' 53276 Body=Body', ' 29758 Other', ' 86720)']",[' Yes'],"[' 5513     (Eliminated', '    0 Frozen', ' 5513)']","[' 247      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.61233'],[' 0'], ,[' 222.176'],[' 0'],[' 4.37654'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.25865e+07'],[' 5.31668e+07'],[' 0'],[' 3.07935e+10'],[' 0'],[' 0'],[' 760 '],[' 1186 '],[' 1639 '],[' 2151 '],[' 2602 '],[' 3133 '],[' 3504 '],[' 2 '],[' 5 ']
Solving...,TA70, , ,[' 2165'],[' 1090'],"[' 19.634s (Solving', ' 13.90s 1st Model', ' 3.87s Unsat', ' 2.73s)']",[' 19.578s'], ,[' 4319273 '],"[' 180234   (Analyzed', ' 89751)']","[' 608      (Average', ' 147.62 Last', ' 748)']",[' 2326.9  '],"[' 1090     (Average Length', ' 516.56 Splits', ' 0)']","[' 89751    (Deleted', ' 76499)']","[' 71       (Ratio', '   0.08%)']","[' 1083     (Ratio', '   1.21%)']","[' 89751    (Average Length', '    8.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 89751    (Average', ' 25.42 Max', ' 3071 Sum', ' 2281912)']","[' 89642    (Average', ' 25.24 Max', ' 3071 Sum', ' 2264897 Ratio', '  99.25%)']","[' 109      (Average', ' 156.10 Max', ' 718 Sum', '  17015 Ratio', '   0.75%)']", ,[' 100342  '],[' 4289    '],[' 100347  '],[' 56966   '],"[' 170894   (Atom=Atom', ' 53675 Body=Body', ' 29739 Other', ' 87480)']",[' Yes'],"[' 5294     (Eliminated', '    0 Frozen', ' 5294)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.43718'],[' 0'], ,[' 6.33102'],[' 0'],[' 0.263155'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.59848e+07'],[' 2.45852e+07'],[' 0'],[' 4.61512e+08'],[' 0'],[' 0'],[' 700 '],[' 1210 '],[' 1882 '],[' 2544 '],[' 3084 '],[' 3521 '],[' 3898 '],[' 0 '],[' 7 ']
