Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 4369+'],[' 2194'],"[' 1008.560s (Solving', ' 973.82s 1st Model', ' 120.88s Unsat', ' 0.00s)']",[' 1004.672s'], ,[' 74677981'],"[' 9956155  (Analyzed', ' 9722054)']","[' 19734    (Average', ' 492.66 Last', ' 362032)']",[' 4599.6  '],"[' 2194     (Average Length', ' 998.62 Splits', ' 0)']","[' 9722054  (Deleted', ' 9570734)']","[' 48       (Ratio', '   0.00%)']","[' 15693    (Ratio', '   0.16%)']","[' 9722054  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9722054  (Average', '  6.96 Max', ' 7174 Sum', ' 67675945)']","[' 9720530  (Average', '  6.80 Max', ' 7174 Sum', ' 66122982 Ratio', '  97.71%)']","[' 1524     (Average', ' 1019.00 Max', ' 1825 Sum', ' 1552963 Ratio', '   2.29%)']", ,[' 358965  '],[' 12591   '],[' 358941  '],[' 207476  '],"[' 622424   (Atom=Atom', ' 196883 Body=Body', ' 113491 Other', ' 312050)']",[' Yes'],"[' 14567    (Eliminated', '    0 Frozen', ' 14567)']","[' 3194     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.97995'],[' 0'], ,[' 847.304'],[' 0'],[' 12.3039'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.25758e+08'],[' 2.84922e+08'],[' 0'],[' 9.88967e+10'],[' 0'],[' 0'],[' 1042 '],[' 1753 '],[' 2509 '],[' 3169 '],[' 4107 '],[' 4678 '],[' 5468 '],[' 6097 '],[' 6598 '],[' 9 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 4659+'],[' 2339'],"[' 886.668s (Solving', ' 845.10s 1st Model', ' 49.43s Unsat', ' 86.45s)']",[' 882.906s'], ,[' 63335945'],"[' 9437504  (Analyzed', ' 9240255)']","[' 19779    (Average', ' 467.18 Last', ' 33281)']",[' 5478.7  '],"[' 2339     (Average Length', ' 1078.69 Splits', ' 0)']","[' 9240255  (Deleted', ' 9080011)']","[' 71       (Ratio', '   0.00%)']","[' 10384    (Ratio', '   0.11%)']","[' 9240255  (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9240255  (Average', '  5.85 Max', ' 7619 Sum', ' 54090314)']","[' 9238705  (Average', '  5.68 Max', ' 7619 Sum', ' 52481828 Ratio', '  97.03%)']","[' 1550     (Average', ' 1037.73 Max', ' 1863 Sum', ' 1608486 Ratio', '   2.97%)']", ,[' 357739  '],[' 12445   '],[' 357878  '],[' 208189  '],"[' 624563   (Atom=Atom', ' 197742 Body=Body', ' 113345 Other', ' 313476)']",[' Yes'],"[' 14584    (Eliminated', '    0 Frozen', ' 14584)']","[' 2112     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.58512'],[' 0'], ,[' 733.18'],[' 0'],[' 10.9262'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.14536e+08'],[' 2.8198e+08'],[' 0'],[' 9.71414e+10'],[' 0'],[' 0'],[' 805 '],[' 1416 '],[' 2138 '],[' 2750 '],[' 3330 '],[' 3915 '],[' 4602 '],[' 5249 '],[' 5744 '],[' 7 '],[' 2 ']
Solving...,TA73, ,[' 1'],[' 4281+'],[' 2150'],"[' 1009.249s (Solving', ' 971.62s 1st Model', ' 94.74s Unsat', ' 0.00s)']",[' 1006.266s'], ,[' 70072213'],"[' 11176554 (Analyzed', ' 10903920)']","[' 22391    (Average', ' 486.98 Last', ' 60611)']",[' 5632.2  '],"[' 2150     (Average Length', ' 995.67 Splits', ' 0)']","[' 10903920 (Deleted', ' 10729466)']","[' 17       (Ratio', '   0.00%)']","[' 10314    (Ratio', '   0.09%)']","[' 10903920 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10903920 (Average', '  5.57 Max', ' 7779 Sum', ' 60749522)']","[' 10902548 (Average', '  5.45 Max', ' 7779 Sum', ' 59457386 Ratio', '  97.87%)']","[' 1372     (Average', ' 941.79 Max', ' 1775 Sum', ' 1292136 Ratio', '   2.13%)']", ,[' 360035  '],[' 12530   '],[' 359986  '],[' 210155  '],"[' 630461   (Atom=Atom', ' 199623 Body=Body', ' 113430 Other', ' 317408)']",[' Yes'],"[' 14481    (Eliminated', '    0 Frozen', ' 14481)']","[' 1910     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.85199'],[' 0'], ,[' 842.276'],[' 0'],[' 12.6948'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.21529e+08'],[' 2.83165e+08'],[' 0'],[' 1.09173e+11'],[' 0'],[' 0'],[' 1118 '],[' 1783 '],[' 2432 '],[' 3066 '],[' 3678 '],[' 4484 '],[' 5114 '],[' 5701 '],[' 6252 '],[' 9 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 4229+'],[' 2124'],"[' 1008.489s (Solving', ' 973.78s 1st Model', ' 34.17s Unsat', ' 0.00s)']",[' 1004.641s'], ,[' 55881146'],"[' 10263171 (Analyzed', ' 10079406)']","[' 21721    (Average', ' 464.04 Last', ' 66795)']",[' 5265.0  '],"[' 2124     (Average Length', ' 968.86 Splits', ' 0)']","[' 10079406 (Deleted', ' 9900499)']","[' 25       (Ratio', '   0.00%)']","[' 8829     (Ratio', '   0.09%)']","[' 10079406 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10079406 (Average', '  4.69 Max', ' 8043 Sum', ' 47300001)']","[' 10078153 (Average', '  4.59 Max', ' 8043 Sum', ' 46226125 Ratio', '  97.73%)']","[' 1253     (Average', ' 857.04 Max', ' 1728 Sum', ' 1073876 Ratio', '   2.27%)']", ,[' 358575  '],[' 12498   '],[' 358503  '],[' 208951  '],"[' 626849   (Atom=Atom', ' 198451 Body=Body', ' 113398 Other', ' 315000)']",[' Yes'],"[' 14426    (Eliminated', '    0 Frozen', ' 14426)']","[' 1662     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.08247'],[' 0'], ,[' 856.902'],[' 0'],[' 11.3175'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.68269e+08'],[' 2.33433e+08'],[' 0'],[' 1.07529e+11'],[' 0'],[' 0'],[' 894 '],[' 1518 '],[' 2242 '],[' 2893 '],[' 3605 '],[' 4239 '],[' 4852 '],[' 5550 '],[' 6046 '],[' 9 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 5369+'],[' 2694'],"[' 945.246s (Solving', ' 901.63s 1st Model', ' 80.78s Unsat', ' 27.77s)']",[' 942.422s'], ,[' 78668569'],"[' 10185651 (Analyzed', ' 9955628)']","[' 21173    (Average', ' 470.20 Last', ' 230987)']",[' 4782.6  '],"[' 2694     (Average Length', ' 1219.13 Splits', ' 0)']","[' 9955628  (Deleted', ' 9799204)']","[' 97       (Ratio', '   0.00%)']","[' 18846    (Ratio', '   0.19%)']","[' 9955628  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9955628  (Average', '  7.07 Max', ' 6672 Sum', ' 70431685)']","[' 9953990  (Average', '  6.87 Max', ' 6672 Sum', ' 68437756 Ratio', '  97.17%)']","[' 1638     (Average', ' 1217.29 Max', ' 2757 Sum', ' 1993929 Ratio', '   2.83%)']", ,[' 359453  '],[' 12657   '],[' 359801  '],[' 207660  '],"[' 622976   (Atom=Atom', ' 197001 Body=Body', ' 113557 Other', ' 312418)']",[' Yes'],"[' 15005    (Eliminated', '    0 Frozen', ' 15005)']","[' 3752     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.90434'],[' 0'], ,[' 762.665'],[' 0'],[' 12.1456'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.76414e+08'],[' 3.36353e+08'],[' 0'],[' 9.80389e+10'],[' 0'],[' 0'],[' 929 '],[' 1649 '],[' 2359 '],[' 2997 '],[' 3687 '],[' 4453 '],[' 5036 '],[' 5663 '],[' 6173 '],[' 8 '],[' 1 ']
Solving...,TA76, ,[' 1'],[' 4629+'],[' 2324'],"[' 1009.823s (Solving', ' 970.38s 1st Model', ' 40.17s Unsat', ' 0.00s)']",[' 1006.266s'], ,[' 57118250'],"[' 11118987 (Analyzed', ' 10849776)']","[' 22867    (Average', ' 474.47 Last', ' 64241)']",[' 5240.3  '],"[' 2324     (Average Length', ' 1059.81 Splits', ' 0)']","[' 10849776 (Deleted', ' 10676990)']","[' 19       (Ratio', '   0.00%)']","[' 7775     (Ratio', '   0.07%)']","[' 10849776 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10849776 (Average', '  4.49 Max', ' 7419 Sum', ' 48765977)']","[' 10847949 (Average', '  4.31 Max', ' 7419 Sum', ' 46768578 Ratio', '  95.90%)']","[' 1827     (Average', ' 1093.27 Max', ' 1903 Sum', ' 1997399 Ratio', '   4.10%)']", ,[' 356965  '],[' 12400   '],[' 357063  '],[' 205971  '],"[' 617909   (Atom=Atom', ' 195569 Body=Body', ' 113300 Other', ' 309040)']",[' Yes'],"[' 14498    (Eliminated', '    0 Frozen', ' 14498)']","[' 1624     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.15173'],[' 0'], ,[' 849.693'],[' 0'],[' 12.107'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.82738e+08'],[' 2.51273e+08'],[' 0'],[' 1.0843e+11'],[' 0'],[' 0'],[' 917 '],[' 1552 '],[' 2196 '],[' 2853 '],[' 3536 '],[' 4144 '],[' 4825 '],[' 5467 '],[' 5998 '],[' 9 '],[' 0 ']
Solving...,TA77, , ,[' 4323'],[' 2171'],"[' 937.911s (Solving', ' 891.91s 1st Model', ' 53.65s Unsat', ' 5.30s)']",[' 933.844s'], ,[' 53364813'],"[' 10267552 (Analyzed', ' 10044834)']","[' 20740    (Average', ' 484.32 Last', ' 58810)']",[' 5811.1  '],"[' 2171     (Average Length', ' 999.17 Splits', ' 0)']","[' 10044834 (Deleted', ' 9884311)']","[' 23       (Ratio', '   0.00%)']","[' 6368     (Ratio', '   0.06%)']","[' 10044834 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10044834 (Average', '  4.33 Max', ' 8353 Sum', ' 43487041)']","[' 10043645 (Average', '  4.22 Max', ' 8353 Sum', ' 42398383 Ratio', '  97.50%)']","[' 1189     (Average', ' 915.61 Max', ' 1716 Sum', ' 1088658 Ratio', '   2.50%)']", ,[' 358918  '],[' 12434   '],[' 358890  '],[' 210638  '],"[' 631910   (Atom=Atom', ' 200202 Body=Body', ' 113334 Other', ' 318374)']",[' Yes'],"[' 14406    (Eliminated', '    0 Frozen', ' 14406)']","[' 1259     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.569'],[' 0'], ,[' 763.712'],[' 0'],[' 11.892'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.73025e+08'],[' 2.42036e+08'],[' 0'],[' 6.86096e+10'],[' 0'],[' 0'],[' 950 '],[' 1635 '],[' 2253 '],[' 2903 '],[' 3627 '],[' 4221 '],[' 4937 '],[' 5616 '],[' 6088 '],[' 8 '],[' 1 ']
Solving...,TA78, ,[' 1'],[' 4135+'],[' 2077'],"[' 917.514s (Solving', ' 874.78s 1st Model', ' 40.43s Unsat', ' 6.52s)']",[' 911.047s'], ,[' 55317005'],"[' 8503273  (Analyzed', ' 8310716)']","[' 16870    (Average', ' 492.63 Last', ' 365356)']",[' 5420.5  '],"[' 2077     (Average Length', ' 965.25 Splits', ' 0)']","[' 8310716  (Deleted', ' 8189077)']","[' 21       (Ratio', '   0.00%)']","[' 7905     (Ratio', '   0.10%)']","[' 8310716  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8310716  (Average', '  5.63 Max', ' 8099 Sum', ' 46825917)']","[' 8309271  (Average', '  5.48 Max', ' 8099 Sum', ' 45528990 Ratio', '  97.23%)']","[' 1445     (Average', ' 897.53 Max', ' 1705 Sum', ' 1296927 Ratio', '   2.77%)']", ,[' 359554  '],[' 12536   '],[' 359460  '],[' 209090  '],"[' 627266   (Atom=Atom', ' 198552 Body=Body', ' 113436 Other', ' 315278)']",[' Yes'],"[' 14442    (Eliminated', '    0 Frozen', ' 14442)']","[' 1401     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.54959'],[' 0'], ,[' 749.793'],[' 0'],[' 11.2752'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.55021e+08'],[' 2.27591e+08'],[' 0'],[' 8.15125e+10'],[' 0'],[' 0'],[' 985 '],[' 1659 '],[' 2402 '],[' 3012 '],[' 3874 '],[' 4454 '],[' 5098 '],[' 5743 '],[' 6253 '],[' 8 '],[' 1 ']
Solving...,TA79, ,[' 1'],[' 4647+'],[' 2333'],"[' 1010.746s (Solving', ' 966.92s 1st Model', ' 52.47s Unsat', ' 0.00s)']",[' 1003.938s'], ,[' 62710458'],"[' 9393743  (Analyzed', ' 9110946)']","[' 18637    (Average', ' 488.86 Last', ' 35662)']",[' 5458.6  '],"[' 2333     (Average Length', ' 1056.59 Splits', ' 0)']","[' 9110946  (Deleted', ' 8962342)']","[' 17       (Ratio', '   0.00%)']","[' 9521     (Ratio', '   0.10%)']","[' 9110946  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9110946  (Average', '  5.80 Max', ' 8127 Sum', ' 52877567)']","[' 9109716  (Average', '  5.69 Max', ' 8127 Sum', ' 51833535 Ratio', '  98.03%)']","[' 1230     (Average', ' 848.81 Max', ' 1903 Sum', ' 1044032 Ratio', '   1.97%)']", ,[' 360333  '],[' 12579   '],[' 360425  '],[' 210163  '],"[' 630485   (Atom=Atom', ' 199582 Body=Body', ' 113479 Other', ' 317424)']",[' Yes'],"[' 14671    (Eliminated', '    0 Frozen', ' 14671)']","[' 1813     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.92028'],[' 0'], ,[' 833.067'],[' 0'],[' 11.9464'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.97561e+08'],[' 2.65884e+08'],[' 0'],[' 9.5809e+10'],[' 0'],[' 0'],[' 954 '],[' 1587 '],[' 2218 '],[' 2847 '],[' 3471 '],[' 4132 '],[' 4767 '],[' 5415 '],[' 5916 '],[' 9 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 4415+'],[' 2217'],"[' 1009.934s (Solving', ' 969.04s 1st Model', ' 51.21s Unsat', ' 0.00s)']",[' 1005.984s'], ,[' 69889609'],"[' 8177809  (Analyzed', ' 7983862)']","[' 17873    (Average', ' 446.70 Last', ' 33272)']",[' 5231.2  '],"[' 2217     (Average Length', ' 1006.96 Splits', ' 0)']","[' 7983862  (Deleted', ' 7857480)']","[' 58       (Ratio', '   0.00%)']","[' 12156    (Ratio', '   0.15%)']","[' 7983862  (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7983862  (Average', '  7.66 Max', ' 7787 Sum', ' 61184424)']","[' 7982591  (Average', '  7.51 Max', ' 7787 Sum', ' 59963800 Ratio', '  98.01%)']","[' 1271     (Average', ' 960.37 Max', ' 1741 Sum', ' 1220624 Ratio', '   1.99%)']", ,[' 360653  '],[' 12540   '],[' 360650  '],[' 209446  '],"[' 628334   (Atom=Atom', ' 198904 Body=Body', ' 113440 Other', ' 315990)']",[' Yes'],"[' 14537    (Eliminated', '    0 Frozen', ' 14537)']","[' 2357     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.33599'],[' 0'], ,[' 838.931'],[' 0'],[' 12.3169'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.33899e+08'],[' 2.9174e+08'],[' 0'],[' 1.00714e+11'],[' 0'],[' 0'],[' 856 '],[' 1669 '],[' 2409 '],[' 3027 '],[' 3579 '],[' 4198 '],[' 4848 '],[' 5514 '],[' 5993 '],[' 9 '],[' 0 ']
