Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1463'],[' 742'],"[' 16.231s (Solving', ' 10.47s 1st Model', ' 2.35s Unsat', ' 0.14s)']",[' 16.125s'], ,[' 1550548 '],"[' 152276   (Analyzed', ' 7276)']","[' 290      (Average', ' 25.09 Last', ' 352)']",[' 1510.3  '],"[' 742      (Average Length', ' 348.17 Splits', ' 0)']","[' 7276     (Deleted', ' 0)']","[' 94       (Ratio', '   1.29%)']","[' 480      (Ratio', '   6.60%)']","[' 7276     (Average Length', '    6.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7276     (Average', ' 77.27 Max', ' 2086 Sum', ' 562187)']","[' 7168     (Average', ' 76.25 Max', ' 2086 Sum', ' 554786 Ratio', '  98.68%)']","[' 108      (Average', ' 68.53 Max', ' 351 Sum', '   7401 Ratio', '   1.32%)']", ,[' 94976   '],[' 3180    '],[' 94667   '],[' 53352   '],"[' 160052   (Atom=Atom', ' 51170 Body=Body', ' 28630 Other', ' 80252)']",[' Yes'],"[' 3871     (Eliminated', '    0 Frozen', ' 3871)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.33706'],[' 0'], ,[' 4.46367'],[' 0'],[' 0.149487'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48175e+07'],[' 1.40822e+07'],[' 0'],[' 1.81727e+08'],[' 0'],[' 0'],[' 542 '],[' 837 '],[' 1172 '],[' 1546 '],[' 2064 '],[' 2458 '],[' 2828 '],[' 3103 '],[' 3381 '],[' 3620 '],[' 0 '],[' 10 ']
Solving...,TA62, , ,[' 1307'],[' 664'],"[' 20.476s (Solving', ' 15.69s 1st Model', ' 1.76s Unsat', ' 0.66s)']",[' 20.344s'], ,[' 1463826 '],"[' 462664   (Analyzed', ' 15437)']","[' 474      (Average', ' 32.57 Last', ' 335)']",[' 1441.1  '],"[' 664      (Average Length', ' 317.67 Splits', ' 0)']","[' 15437    (Deleted', ' 7124)']","[' 76       (Ratio', '   0.49%)']","[' 521      (Ratio', '   3.38%)']","[' 15437    (Average Length', '    7.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15437    (Average', ' 18.27 Max', ' 857 Sum', ' 281993)']","[' 15360    (Average', ' 18.21 Max', ' 857 Sum', ' 281179 Ratio', '  99.71%)']","[' 77       (Average', ' 10.57 Max', ' 536 Sum', '    814 Ratio', '   0.29%)']", ,[' 95324   '],[' 3204    '],[' 94956   '],[' 53708   '],"[' 161120   (Atom=Atom', ' 51502 Body=Body', ' 28654 Other', ' 80964)']",[' Yes'],"[' 3836     (Eliminated', '    0 Frozen', ' 3836)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.13819'],[' 0'], ,[' 10.1237'],[' 0'],[' 0.178063'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28974e+07'],[' 1.19074e+07'],[' 0'],[' 7.33866e+08'],[' 0'],[' 0'],[' 583 '],[' 945 '],[' 1249 '],[' 1706 '],[' 2082 '],[' 2447 '],[' 2787 '],[' 3190 '],[' 3522 '],[' 3787 '],[' 0 '],[' 10 ']
Solving...,TA63, , ,[' 1383'],[' 702'],"[' 34.414s (Solving', ' 29.35s 1st Model', ' 1.83s Unsat', ' 15.82s)']",[' 34.203s'], ,[' 1618409 '],"[' 476484   (Analyzed', ' 119311)']","[' 756      (Average', ' 157.82 Last', ' 138)']",[' 1441.0  '],"[' 702      (Average Length', ' 328.84 Splits', ' 0)']","[' 119311   (Deleted', ' 112372)']","[' 97       (Ratio', '   0.08%)']","[' 695      (Ratio', '   0.58%)']","[' 119311   (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 119311   (Average', '  4.13 Max', ' 2161 Sum', ' 492182)']","[' 119205   (Average', '  4.08 Max', ' 2161 Sum', ' 487256 Ratio', '  99.00%)']","[' 106      (Average', ' 46.47 Max', ' 557 Sum', '   4926 Ratio', '   1.00%)']", ,[' 95005   '],[' 3226    '],[' 94659   '],[' 53776   '],"[' 161324   (Atom=Atom', ' 51548 Body=Body', ' 28676 Other', ' 81100)']",[' Yes'],"[' 3880     (Eliminated', '    0 Frozen', ' 3880)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.21225'],[' 0'], ,[' 22.3408'],[' 0'],[' 0.372556'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34767e+07'],[' 1.23262e+07'],[' 0'],[' 2.37592e+09'],[' 0'],[' 0'],[' 602 '],[' 920 '],[' 1259 '],[' 1610 '],[' 1928 '],[' 2259 '],[' 2607 '],[' 3080 '],[' 3367 '],[' 3581 '],[' 0 '],[' 10 ']
Solving...,TA64, , ,[' 1245'],[' 633'],"[' 14.522s (Solving', ' 9.24s 1st Model', ' 2.04s Unsat', ' 0.41s)']",[' 14.219s'], ,[' 1369938 '],"[' 103417   (Analyzed', ' 15703)']","[' 271      (Average', ' 57.94 Last', ' 373)']",[' 1529.9  '],"[' 633      (Average Length', ' 307.91 Splits', ' 0)']","[' 15703    (Deleted', ' 9211)']","[' 62       (Ratio', '   0.39%)']","[' 437      (Ratio', '   2.78%)']","[' 15703    (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15703    (Average', ' 33.20 Max', ' 2110 Sum', ' 521336)']","[' 15635    (Average', ' 33.12 Max', ' 2110 Sum', ' 520054 Ratio', '  99.75%)']","[' 68       (Average', ' 18.85 Max', ' 426 Sum', '   1282 Ratio', '   0.25%)']", ,[' 95610   '],[' 3218    '],[' 95217   '],[' 53899   '],"[' 161693   (Atom=Atom', ' 51679 Body=Body', ' 28668 Other', ' 81346)']",[' Yes'],"[' 3825     (Eliminated', '    0 Frozen', ' 3825)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.30119'],[' 0'], ,[' 3.77729'],[' 0'],[' 0.14236'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29877e+07'],[' 1.2369e+07'],[' 0'],[' 1.26945e+08'],[' 0'],[' 0'],[' 515 '],[' 1092 '],[' 1505 '],[' 1848 '],[' 2146 '],[' 2527 '],[' 2848 '],[' 3156 '],[' 3431 '],[' 3641 '],[' 0 '],[' 10 ']
Solving...,TA65, , ,[' 1341'],[' 681'],"[' 14.471s (Solving', ' 9.27s 1st Model', ' 2.23s Unsat', ' 0.27s)']",[' 14.297s'], ,[' 1431243 '],"[' 66602    (Analyzed', ' 7493)']","[' 132      (Average', ' 56.77 Last', ' 64)']",[' 1493.8  '],"[' 681      (Average Length', ' 323.36 Splits', ' 0)']","[' 7493     (Deleted', ' 0)']","[' 60       (Ratio', '   0.80%)']","[' 415      (Ratio', '   5.54%)']","[' 7493     (Average Length', '    6.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7493     (Average', ' 78.76 Max', ' 2130 Sum', ' 590114)']","[' 7420     (Average', ' 78.29 Max', ' 2130 Sum', ' 586657 Ratio', '  99.41%)']","[' 73       (Average', ' 47.36 Max', ' 463 Sum', '   3457 Ratio', '   0.59%)']", ,[' 95636   '],[' 3222    '],[' 95274   '],[' 53863   '],"[' 161585   (Atom=Atom', ' 51639 Body=Body', ' 28672 Other', ' 81274)']",[' Yes'],"[' 3860     (Eliminated', '    0 Frozen', ' 3860)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.29372'],[' 0'], ,[' 3.38724'],[' 0'],[' 0.139933'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3359e+07'],[' 1.27547e+07'],[' 0'],[' 1.08528e+08'],[' 0'],[' 0'],[' 463 '],[' 859 '],[' 1240 '],[' 1563 '],[' 2028 '],[' 2369 '],[' 2804 '],[' 3136 '],[' 3505 '],[' 3709 '],[' 0 '],[' 10 ']
Solving...,TA66, , ,[' 1525'],[' 773'],"[' 16.264s (Solving', ' 12.29s 1st Model', ' 1.61s Unsat', ' 0.05s)']",[' 16.156s'], ,[' 1633057 '],"[' 375516   (Analyzed', ' 4531)']","[' 320      (Average', ' 14.16 Last', ' 76)']",[' 1499.9  '],"[' 773      (Average Length', ' 362.10 Splits', ' 0)']","[' 4531     (Deleted', ' 0)']","[' 127      (Ratio', '   2.80%)']","[' 402      (Ratio', '   8.87%)']","[' 4531     (Average Length', '    6.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4531     (Average', ' 88.42 Max', ' 1271 Sum', ' 400645)']","[' 4401     (Average', ' 86.91 Max', ' 1271 Sum', ' 393788 Ratio', '  98.29%)']","[' 130      (Average', ' 52.75 Max', ' 655 Sum', '   6857 Ratio', '   1.71%)']", ,[' 95507   '],[' 3189    '],[' 95224   '],[' 53776   '],"[' 161324   (Atom=Atom', ' 51585 Body=Body', ' 28639 Other', ' 81100)']",[' Yes'],"[' 3906     (Eliminated', '    0 Frozen', ' 3906)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03235'],[' 0'], ,[' 7.26195'],[' 0'],[' 0.121759'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5217e+07'],[' 1.42585e+07'],[' 0'],[' 6.1823e+08'],[' 0'],[' 0'],[' 554 '],[' 881 '],[' 1226 '],[' 1542 '],[' 1923 '],[' 2291 '],[' 2633 '],[' 3013 '],[' 3338 '],[' 3584 '],[' 0 '],[' 10 ']
Solving...,TA67, , ,[' 1483'],[' 752'],"[' 12.412s (Solving', ' 8.05s 1st Model', ' 1.47s Unsat', ' 1.77s)']",[' 12.203s'], ,[' 1650824 '],"[' 112570   (Analyzed', ' 86964)']","[' 417      (Average', ' 208.55 Last', ' 3438)']",[' 1494.5  '],"[' 752      (Average Length', ' 358.63 Splits', ' 0)']","[' 86964    (Deleted', ' 79873)']","[' 106      (Ratio', '   0.12%)']","[' 588      (Ratio', '   0.68%)']","[' 86964    (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 86964    (Average', '  9.02 Max', ' 2114 Sum', ' 784426)']","[' 86821    (Average', '  8.97 Max', ' 2114 Sum', ' 780174 Ratio', '  99.46%)']","[' 143      (Average', ' 29.73 Max', ' 152 Sum', '   4252 Ratio', '   0.54%)']", ,[' 95733   '],[' 3249    '],[' 95438   '],[' 53821   '],"[' 161459   (Atom=Atom', ' 51570 Body=Body', ' 28699 Other', ' 81190)']",[' Yes'],"[' 3954     (Eliminated', '    0 Frozen', ' 3954)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.07698'],[' 0'], ,[' 3.5375'],[' 0'],[' 0.12478'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48015e+07'],[' 1.4004e+07'],[' 0'],[' 2.24403e+08'],[' 0'],[' 0'],[' 541 '],[' 951 '],[' 1293 '],[' 1684 '],[' 2182 '],[' 2491 '],[' 2779 '],[' 3115 '],[' 3460 '],[' 3698 '],[' 0 '],[' 10 ']
Solving...,TA68, , ,[' 1477'],[' 749'],"[' 15.405s (Solving', ' 11.65s 1st Model', ' 1.52s Unsat', ' 0.05s)']",[' 15.188s'], ,[' 1626788 '],"[' 411202   (Analyzed', ' 5924)']","[' 544      (Average', ' 10.89 Last', ' 165)']",[' 1495.2  '],"[' 749      (Average Length', ' 351.58 Splits', ' 0)']","[' 5924     (Deleted', ' 0)']","[' 79       (Ratio', '   1.33%)']","[' 398      (Ratio', '   6.72%)']","[' 5924     (Average Length', '    6.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5924     (Average', ' 63.85 Max', ' 1258 Sum', ' 378253)']","[' 5844     (Average', ' 63.47 Max', ' 1258 Sum', ' 375997 Ratio', '  99.40%)']","[' 80       (Average', ' 28.20 Max', ' 643 Sum', '   2256 Ratio', '   0.60%)']", ,[' 94990   '],[' 3184    '],[' 94684   '],[' 53693   '],"[' 161075   (Atom=Atom', ' 51507 Body=Body', ' 28634 Other', ' 80934)']",[' Yes'],"[' 3878     (Eliminated', '    0 Frozen', ' 3878)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.995151'],[' 0'], ,[' 6.83501'],[' 0'],[' 0.110991'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48912e+07'],[' 1.3915e+07'],[' 0'],[' 5.96524e+08'],[' 0'],[' 0'],[' 450 '],[' 904 '],[' 1266 '],[' 1674 '],[' 2054 '],[' 2334 '],[' 2625 '],[' 2945 '],[' 3301 '],[' 3607 '],[' 0 '],[' 10 ']
Solving...,TA69, , ,[' 1659'],[' 840'],"[' 11.778s (Solving', ' 7.64s 1st Model', ' 1.59s Unsat', ' 0.45s)']",[' 11.703s'], ,[' 1738678 '],"[' 154213   (Analyzed', ' 34239)']","[' 470      (Average', ' 72.85 Last', ' 1002)']",[' 1551.0  '],"[' 840      (Average Length', ' 394.03 Splits', ' 0)']","[' 34239    (Deleted', ' 25762)']","[' 77       (Ratio', '   0.22%)']","[' 585      (Ratio', '   1.71%)']","[' 34239    (Average Length', '    8.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34239    (Average', ' 19.42 Max', ' 2096 Sum', ' 664893)']","[' 34144    (Average', ' 19.20 Max', ' 2096 Sum', ' 657398 Ratio', '  98.87%)']","[' 95       (Average', ' 78.89 Max', ' 714 Sum', '   7495 Ratio', '   1.13%)']", ,[' 96064   '],[' 3248    '],[' 95840   '],[' 54304   '],"[' 162908   (Atom=Atom', ' 52054 Body=Body', ' 28698 Other', ' 82156)']",[' Yes'],"[' 4024     (Eliminated', '    0 Frozen', ' 4024)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.04194'],[' 0'], ,[' 2.96121'],[' 0'],[' 0.103069'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58882e+07'],[' 1.50641e+07'],[' 0'],[' 1.45201e+08'],[' 0'],[' 0'],[' 662 '],[' 1052 '],[' 1495 '],[' 1868 '],[' 2289 '],[' 2708 '],[' 3018 '],[' 3427 '],[' 3742 '],[' 4000 '],[' 0 '],[' 10 ']
Solving...,TA70, , ,[' 1521'],[' 771'],"[' 12.106s (Solving', ' 8.29s 1st Model', ' 1.49s Unsat', ' 0.22s)']",[' 11.922s'], ,[' 1608916 '],"[' 326413   (Analyzed', ' 16653)']","[' 646      (Average', ' 25.78 Last', ' 76)']",[' 1478.0  '],"[' 771      (Average Length', ' 362.30 Splits', ' 0)']","[' 16653    (Deleted', ' 6470)']","[' 117      (Ratio', '   0.70%)']","[' 544      (Ratio', '   3.27%)']","[' 16653    (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16653    (Average', ' 27.15 Max', ' 2203 Sum', ' 452084)']","[' 16532    (Average', ' 26.98 Max', ' 2203 Sum', ' 449356 Ratio', '  99.40%)']","[' 121      (Average', ' 22.55 Max', ' 514 Sum', '   2728 Ratio', '   0.60%)']", ,[' 96396   '],[' 3288    '],[' 96112   '],[' 55101   '],"[' 165299   (Atom=Atom', ' 52811 Body=Body', ' 28738 Other', ' 83750)']",[' Yes'],"[' 4004     (Eliminated', '    0 Frozen', ' 4004)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.903415'],[' 0'], ,[' 4.38165'],[' 0'],[' 0.0973626'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32145e+07'],[' 1.23283e+07'],[' 0'],[' 3.63127e+08'],[' 0'],[' 0'],[' 623 '],[' 1026 '],[' 1556 '],[' 1929 '],[' 2359 '],[' 2842 '],[' 3285 '],[' 3680 '],[' 4138 '],[' 4389 '],[' 0 '],[' 10 ']
