Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 9207+'],[' 4610'],"[' 1021.684s (Solving', ' 926.65s 1st Model', ' 617.09s Unsat', ' 0.00s)']",[' 1008.266s'], ,[' 334744371'],"[' 5037373  (Analyzed', ' 4334289)']","[' 10750    (Average', ' 403.19 Last', ' 136620)']",[' 8278.0  '],"[' 4610     (Average Length', ' 2018.51 Splits', ' 0)']","[' 4334289  (Deleted', ' 4209014)']","[' 645      (Ratio', '   0.01%)']","[' 66084    (Ratio', '   1.52%)']","[' 4334289  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4334289  (Average', ' 71.40 Max', ' 9654 Sum', ' 309456991)']","[' 4331913  (Average', ' 70.30 Max', ' 9654 Sum', ' 304703500 Ratio', '  98.46%)']","[' 2376     (Average', ' 2000.63 Max', ' 3829 Sum', ' 4753491 Ratio', '   1.54%)']", ,[' 268980  '],[' 20847   '],[' 270809  '],[' 166930  '],"[' 500786   (Atom=Atom', ' 148081 Body=Body', ' 121747 Other', ' 230958)']",[' Yes'],"[' 24676    (Eliminated', '    0 Frozen', ' 24676)']","[' 11822    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.824'],[' 0'], ,[' 495.205'],[' 0'],[' 26.63'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.23457e+08'],[' 7.2565e+08'],[' 0'],[' 2.24666e+10'],[' 0'],[' 0'],[' 1358 '],[' 2447 '],[' 3433 '],[' 4415 '],[' 5387 '],[' 6189 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 9293+'],[' 4653'],"[' 1021.975s (Solving', ' 924.73s 1st Model', ' 489.01s Unsat', ' 0.00s)']",[' 1007.313s'], ,[' 327722517'],"[' 3689347  (Analyzed', ' 3300800)']","[' 9233     (Average', ' 357.50 Last', ' 111749)']",[' 8049.6  '],"[' 4653     (Average Length', ' 2042.92 Splits', ' 0)']","[' 3300800  (Deleted', ' 3187424)']","[' 636      (Ratio', '   0.02%)']","[' 64557    (Ratio', '   1.96%)']","[' 3300800  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3300800  (Average', ' 92.18 Max', ' 9399 Sum', ' 304275018)']","[' 3298282  (Average', ' 90.60 Max', ' 9399 Sum', ' 299039595 Ratio', '  98.28%)']","[' 2518     (Average', ' 2079.20 Max', ' 3807 Sum', ' 5235423 Ratio', '   1.72%)']", ,[' 268137  '],[' 20680   '],[' 269943  '],[' 166445  '],"[' 499331   (Atom=Atom', ' 147763 Body=Body', ' 121580 Other', ' 229988)']",[' Yes'],"[' 24486    (Eliminated', '    0 Frozen', ' 24486)']","[' 11443    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.4995'],[' 0'], ,[' 485.575'],[' 0'],[' 26.8207'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.19091e+08'],[' 7.2117e+08'],[' 0'],[' 2.11636e+10'],[' 0'],[' 0'],[' 1122 '],[' 2057 '],[' 2936 '],[' 3870 '],[' 4794 '],[' 5616 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 8457+'],[' 4235'],"[' 1019.233s (Solving', ' 940.38s 1st Model', ' 410.03s Unsat', ' 0.00s)']",[' 1007.891s'], ,[' 334917334'],"[' 4741649  (Analyzed', ' 4168193)']","[' 10154    (Average', ' 410.50 Last', ' 38570)']",[' 8258.0  '],"[' 4235     (Average Length', ' 1891.96 Splits', ' 0)']","[' 4168193  (Deleted', ' 4049012)']","[' 677      (Ratio', '   0.02%)']","[' 64991    (Ratio', '   1.56%)']","[' 4168193  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4168193  (Average', ' 74.70 Max', ' 9947 Sum', ' 311351584)']","[' 4165815  (Average', ' 73.63 Max', ' 9947 Sum', ' 306917589 Ratio', '  98.58%)']","[' 2378     (Average', ' 1864.59 Max', ' 3535 Sum', ' 4433995 Ratio', '   1.42%)']", ,[' 268336  '],[' 20821   '],[' 269887  '],[' 166498  '],"[' 499490   (Atom=Atom', ' 147675 Body=Body', ' 121721 Other', ' 230094)']",[' Yes'],"[' 24372    (Eliminated', '    0 Frozen', ' 24372)']","[' 10921    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.0647'],[' 0'], ,[' 544.87'],[' 0'],[' 25.591'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.93153e+08'],[' 7.00328e+08'],[' 0'],[' 2.96002e+10'],[' 0'],[' 0'],[' 1399 '],[' 2384 '],[' 3261 '],[' 4321 '],[' 5322 '],[' 6093 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 8521+'],[' 4267'],"[' 1016.029s (Solving', ' 948.75s 1st Model', ' 445.24s Unsat', ' 0.00s)']",[' 1010.516s'], ,[' 388436433'],"[' 5212676  (Analyzed', ' 4668859)']","[' 11872    (Average', ' 393.27 Last', ' 79169)']",[' 7649.4  '],"[' 4267     (Average Length', ' 1869.57 Splits', ' 0)']","[' 4668859  (Deleted', ' 4532374)']","[' 785      (Ratio', '   0.02%)']","[' 74559    (Ratio', '   1.60%)']","[' 4668859  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4668859  (Average', ' 78.65 Max', ' 9103 Sum', ' 367224477)']","[' 4666554  (Average', ' 77.72 Max', ' 9103 Sum', ' 362841598 Ratio', '  98.81%)']","[' 2305     (Average', ' 1901.47 Max', ' 3504 Sum', ' 4382879 Ratio', '   1.19%)']", ,[' 267913  '],[' 20694   '],[' 269423  '],[' 166154  '],"[' 498458   (Atom=Atom', ' 147458 Body=Body', ' 121594 Other', ' 229406)']",[' Yes'],"[' 24204    (Eliminated', '    0 Frozen', ' 24204)']","[' 12509    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2635'],[' 0'], ,[' 555.563'],[' 0'],[' 25.3569'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.8986e+08'],[' 8.71744e+08'],[' 0'],[' 3.61777e+10'],[' 0'],[' 0'],[' 1224 '],[' 2151 '],[' 3101 '],[' 4041 '],[' 4979 '],[' 5807 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 9457+'],[' 4735'],"[' 1017.925s (Solving', ' 942.32s 1st Model', ' 615.97s Unsat', ' 0.00s)']",[' 1013.719s'], ,[' 430737717'],"[' 3847350  (Analyzed', ' 3232759)']","[' 10005    (Average', ' 323.11 Last', ' 93761)']",[' 8110.5  '],"[' 4735     (Average Length', ' 2080.12 Splits', ' 0)']","[' 3232759  (Deleted', ' 3114676)']","[' 622      (Ratio', '   0.02%)']","[' 80600    (Ratio', '   2.49%)']","[' 3232759  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3232759  (Average', ' 125.49 Max', ' 9305 Sum', ' 405686943)']","[' 3230618  (Average', ' 124.10 Max', ' 9305 Sum', ' 401169718 Ratio', '  98.89%)']","[' 2141     (Average', ' 2109.87 Max', ' 3839 Sum', ' 4517225 Ratio', '   1.11%)']", ,[' 269082  '],[' 20880   '],[' 270943  '],[' 167303  '],"[' 501905   (Atom=Atom', ' 148421 Body=Body', ' 121780 Other', ' 231704)']",[' Yes'],"[' 24741    (Eliminated', '    0 Frozen', ' 24741)']","[' 14296    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.7936'],[' 0'], ,[' 495.283'],[' 0'],[' 26.5596'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2024e+09'],[' 1.06156e+09'],[' 0'],[' 3.09521e+10'],[' 0'],[' 0'],[' 1246 '],[' 2217 '],[' 3164 '],[' 4156 '],[' 5073 '],[' 5865 '],[' 6 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 8533+'],[' 4273'],"[' 1015.436s (Solving', ' 948.06s 1st Model', ' 517.35s Unsat', ' 0.00s)']",[' 1010.625s'], ,[' 393891505'],"[' 6272553  (Analyzed', ' 5627521)']","[' 14107    (Average', ' 398.92 Last', ' 61693)']",[' 7986.1  '],"[' 4273     (Average Length', ' 1880.43 Splits', ' 0)']","[' 5627521  (Deleted', ' 5483760)']","[' 494      (Ratio', '   0.01%)']","[' 74435    (Ratio', '   1.32%)']","[' 5627521  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5627521  (Average', ' 65.88 Max', ' 9396 Sum', ' 370720215)']","[' 5625249  (Average', ' 65.14 Max', ' 9396 Sum', ' 366594184 Ratio', '  98.89%)']","[' 2272     (Average', ' 1816.03 Max', ' 3520 Sum', ' 4126031 Ratio', '   1.11%)']", ,[' 267870  '],[' 20653   '],[' 269397  '],[' 165997  '],"[' 497987   (Atom=Atom', ' 147342 Body=Body', ' 121553 Other', ' 229092)']",[' Yes'],"[' 24180    (Eliminated', '    0 Frozen', ' 24180)']","[' 13225    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2379'],[' 0'], ,[' 546'],[' 0'],[' 27.3546'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03134e+09'],[' 9.01423e+08'],[' 0'],[' 3.5321e+10'],[' 0'],[' 0'],[' 1144 '],[' 2162 '],[' 3113 '],[' 4055 '],[' 4966 '],[' 5836 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 9003+'],[' 4508'],"[' 1016.774s (Solving', ' 946.43s 1st Model', ' 469.41s Unsat', ' 0.00s)']",[' 1010.375s'], ,[' 378525912'],"[' 7559665  (Analyzed', ' 6683142)']","[' 14377    (Average', ' 464.85 Last', ' 323481)']",[' 8295.9  '],"[' 4508     (Average Length', ' 1962.99 Splits', ' 0)']","[' 6683142  (Deleted', ' 6539879)']","[' 712      (Ratio', '   0.01%)']","[' 67896    (Ratio', '   1.02%)']","[' 6683142  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6683142  (Average', ' 52.86 Max', ' 9615 Sum', ' 353255062)']","[' 6680711  (Average', ' 52.15 Max', ' 9615 Sum', ' 348535041 Ratio', '  98.66%)']","[' 2431     (Average', ' 1941.60 Max', ' 3654 Sum', ' 4720021 Ratio', '   1.34%)']", ,[' 268093  '],[' 20707   '],[' 269765  '],[' 166430  '],"[' 499286   (Atom=Atom', ' 147721 Body=Body', ' 121607 Other', ' 229958)']",[' Yes'],"[' 24379    (Eliminated', '    0 Frozen', ' 24379)']","[' 11243    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8476'],[' 0'], ,[' 562.385'],[' 0'],[' 25.3699'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.15436e+08'],[' 8.0076e+08'],[' 0'],[' 3.56152e+10'],[' 0'],[' 0'],[' 1374 '],[' 2263 '],[' 3212 '],[' 4256 '],[' 5219 '],[' 5974 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 9035+'],[' 4524'],"[' 1017.154s (Solving', ' 943.76s 1st Model', ' 320.68s Unsat', ' 0.00s)']",[' 1011.719s'], ,[' 367932308'],"[' 5570922  (Analyzed', ' 5300513)']","[' 12213    (Average', ' 434.01 Last', ' 80618)']",[' 8123.5  '],"[' 4524     (Average Length', ' 1970.90 Splits', ' 0)']","[' 5300513  (Deleted', ' 5174432)']","[' 744      (Ratio', '   0.01%)']","[' 69869    (Ratio', '   1.32%)']","[' 5300513  (Average Length', '   20.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5300513  (Average', ' 64.90 Max', ' 9677 Sum', ' 344025249)']","[' 5298148  (Average', ' 64.03 Max', ' 9677 Sum', ' 339407018 Ratio', '  98.66%)']","[' 2365     (Average', ' 1952.74 Max', ' 3637 Sum', ' 4618231 Ratio', '   1.34%)']", ,[' 268725  '],[' 20819   '],[' 270375  '],[' 166856  '],"[' 500564   (Atom=Atom', ' 148035 Body=Body', ' 121719 Other', ' 230810)']",[' Yes'],"[' 24469    (Eliminated', '    0 Frozen', ' 24469)']","[' 11357    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3254'],[' 0'], ,[' 563.754'],[' 0'],[' 24.9323'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.03292e+08'],[' 7.93689e+08'],[' 0'],[' 3.54064e+10'],[' 0'],[' 0'],[' 1306 '],[' 2225 '],[' 3178 '],[' 4255 '],[' 5140 '],[' 5981 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 9643+'],[' 4828'],"[' 1018.659s (Solving', ' 940.66s 1st Model', ' 587.43s Unsat', ' 0.00s)']",[' 1013.672s'], ,[' 400762951'],"[' 4761081  (Analyzed', ' 4298593)']","[' 11297    (Average', ' 380.51 Last', ' 86578)']",[' 8027.9  '],"[' 4828     (Average Length', ' 2088.85 Splits', ' 0)']","[' 4298593  (Deleted', ' 4167895)']","[' 699      (Ratio', '   0.02%)']","[' 79093    (Ratio', '   1.84%)']","[' 4298593  (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4298593  (Average', ' 87.52 Max', ' 9175 Sum', ' 376213485)']","[' 4296190  (Average', ' 86.35 Max', ' 9175 Sum', ' 371184018 Ratio', '  98.66%)']","[' 2403     (Average', ' 2093.00 Max', ' 3867 Sum', ' 5029467 Ratio', '   1.34%)']", ,[' 269289  '],[' 20855   '],[' 271173  '],[' 167243  '],"[' 501725   (Atom=Atom', ' 148386 Body=Body', ' 121755 Other', ' 231584)']",[' Yes'],"[' 24739    (Eliminated', '    0 Frozen', ' 24739)']","[' 13632    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.359'],[' 0'], ,[' 513.925'],[' 0'],[' 26.6916'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07581e+09'],[' 9.48569e+08'],[' 0'],[' 3.15683e+10'],[' 0'],[' 0'],[' 1217 '],[' 2091 '],[' 3059 '],[' 3976 '],[' 4919 '],[' 5762 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 7791+'],[' 3902'],"[' 1015.563s (Solving', ' 952.26s 1st Model', ' 206.83s Unsat', ' 0.00s)']",[' 1012.078s'], ,[' 306008927'],"[' 5135163  (Analyzed', ' 4571436)']","[' 11444    (Average', ' 399.46 Last', ' 29449)']",[' 8930.3  '],"[' 3902     (Average Length', ' 1780.00 Splits', ' 0)']","[' 4571436  (Deleted', ' 4454256)']","[' 821      (Ratio', '   0.02%)']","[' 53616    (Ratio', '   1.17%)']","[' 4571436  (Average Length', '   21.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4571436  (Average', ' 61.46 Max', ' 11623 Sum', ' 280964248)']","[' 4569205  (Average', ' 60.61 Max', ' 11623 Sum', ' 277086079 Ratio', '  98.62%)']","[' 2231     (Average', ' 1738.31 Max', ' 3407 Sum', ' 3878169 Ratio', '   1.38%)']", ,[' 268362  '],[' 20863   '],[' 269768  '],[' 166361  '],"[' 499079   (Atom=Atom', ' 147496 Body=Body', ' 121763 Other', ' 229820)']",[' Yes'],"[' 24269    (Eliminated', '    0 Frozen', ' 24269)']","[' 8048     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5621'],[' 0'], ,[' 646.48'],[' 0'],[' 21.6613'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.34483e+08'],[' 6.41852e+08'],[' 0'],[' 4.72734e+10'],[' 0'],[' 0'],[' 1214 '],[' 2366 '],[' 3305 '],[' 5310 '],[' 6170 '],[' 6942 '],[' 6 '],[' 0 ']
