Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 
Solving...,TA41, ,[' 1'],[' 5593+'],[' 2798'],"[' 802.161s (Solving', ' 781.02s 1st Model', ' 689.37s Unsat', ' 0.00s)']",[' 799.875s'], ,[' 411958243'],"[' 2071030  (Analyzed', ' 1732779)']","[' 6618     (Average', ' 261.83 Last', ' 117515)']",[' 9739.5  '],"[' 2798     (Average Length', ' 1398.50 Splits', ' 0)']","[' 1732779  (Deleted', ' 1692456)']","[' 456      (Ratio', '   0.03%)']","[' 36138    (Ratio', '   2.09%)']","[' 1732779  (Average Length', '   26.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1732779  (Average', ' 223.91 Max', ' 8650 Sum', ' 387988523)']","[' 1732779  (Average', ' 223.91 Max', ' 8650 Sum', ' 387988523 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53507   '],[' 9300    '],[' 55703   '],[' 38767   '],"[' 116297   (Atom=Atom', ' 30065 Body=Body', ' 18570 Other', ' 67662)']",[' Yes'],"[' 12096    (Eliminated', '    0 Frozen', ' 12096)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.31874'],[' 0'], ,[' 258.628'],[' 0'],[' 26.7842'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33348e+09'],[' 1.2048e+09'],[' 0'],[' 6.56314e+09'],[' 0'],[' 0'],[' 2554 ']
Solving...,TA42, ,[' 1'],[' 4685+'],[' 2344'],"[' 668.201s (Solving', ' 652.37s 1st Model', ' 566.12s Unsat', ' 0.00s)']",[' 665.000s'], ,[' 372906304'],"[' 1854425  (Analyzed', ' 1501556)']","[' 6126     (Average', ' 245.11 Last', ' 89063)']",[' 9548.6  '],"[' 2344     (Average Length', ' 1171.50 Splits', ' 0)']","[' 1501556  (Deleted', ' 1462632)']","[' 422      (Ratio', '   0.03%)']","[' 33927    (Ratio', '   2.26%)']","[' 1501556  (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1501556  (Average', ' 234.86 Max', ' 8645 Sum', ' 352655339)']","[' 1501556  (Average', ' 234.86 Max', ' 8645 Sum', ' 352655339 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53053   '],[' 9300    '],[' 54795   '],[' 38313   '],"[' 114935   (Atom=Atom', ' 29611 Body=Body', ' 18570 Other', ' 66754)']",[' Yes'],"[' 11642    (Eliminated', '    0 Frozen', ' 11642)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.21842'],[' 0'], ,[' 218.636'],[' 0'],[' 23.7412'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15368e+09'],[' 1.04641e+09'],[' 0'],[' 5.57559e+09'],[' 0'],[' 0'],[' 2450 ']
Solving...,TA43, ,[' 1'],[' 5651+'],[' 2827'],"[' 547.944s (Solving', ' 527.96s 1st Model', ' 439.83s Unsat', ' 0.00s)']",[' 545.875s'], ,[' 316630368'],"[' 1515357  (Analyzed', ' 1206654)']","[' 5363     (Average', ' 225.00 Last', ' 91902)']",[' 9733.3  '],"[' 2827     (Average Length', ' 1413.00 Splits', ' 0)']","[' 1206654  (Deleted', ' 1170239)']","[' 347      (Ratio', '   0.03%)']","[' 30730    (Ratio', '   2.55%)']","[' 1206654  (Average Length', '   26.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1206654  (Average', ' 242.47 Max', ' 8614 Sum', ' 292581402)']","[' 1206654  (Average', ' 242.47 Max', ' 8614 Sum', ' 292581402 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53536   '],[' 9300    '],[' 55761   '],[' 38796   '],"[' 116384   (Atom=Atom', ' 30094 Body=Body', ' 18570 Other', ' 67720)']",[' Yes'],"[' 12125    (Eliminated', '    0 Frozen', ' 12125)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.92422'],[' 0'], ,[' 176.656'],[' 0'],[' 19.7353'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.05912e+08'],[' 8.16165e+08'],[' 0'],[' 4.42129e+09'],[' 0'],[' 0'],[' 2371 ']
Solving...,TA44, ,[' 1'],[' 4517+'],[' 2260'],"[' 452.185s (Solving', ' 436.67s 1st Model', ' 351.05s Unsat', ' 0.00s)']",[' 450.141s'], ,[' 279328387'],"[' 1359869  (Analyzed', ' 948267)']","[' 4412     (Average', ' 214.93 Last', ' 96182)']",[' 9465.3  '],"[' 2260     (Average Length', ' 1129.50 Splits', ' 0)']","[' 948267   (Deleted', ' 912516)']","[' 342      (Ratio', '   0.04%)']","[' 30615    (Ratio', '   3.23%)']","[' 948267   (Average Length', '   27.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 948267   (Average', ' 274.09 Max', ' 8630 Sum', ' 259908051)']","[' 948266   (Average', ' 274.09 Max', ' 8630 Sum', ' 259907722 Ratio', ' 100.00%)']","[' 1        (Average', ' 329.00 Max', ' 329 Sum', '    329 Ratio', '   0.00%)']", ,[' 52969   '],[' 9300    '],[' 54627   '],[' 38229   '],"[' 114683   (Atom=Atom', ' 29527 Body=Body', ' 18570 Other', ' 66586)']",[' Yes'],"[' 11558    (Eliminated', '    0 Frozen', ' 11558)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.15933'],[' 0'], ,[' 147.053'],[' 0'],[' 16.8757'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.43752e+08'],[' 6.72972e+08'],[' 0'],[' 3.66261e+09'],[' 0'],[' 0'],[' 2552 ']
Solving...,TA45, ,[' 1'],[' 4973+'],[' 2488'],"[' 757.443s (Solving', ' 739.82s 1st Model', ' 654.44s Unsat', ' 0.00s)']",[' 754.953s'], ,[' 396368086'],"[' 2008450  (Analyzed', ' 1676436)']","[' 6358     (Average', ' 263.67 Last', ' 100835)']",[' 9637.8  '],"[' 2488     (Average Length', ' 1243.50 Splits', ' 0)']","[' 1676436  (Deleted', ' 1637683)']","[' 432      (Ratio', '   0.03%)']","[' 34371    (Ratio', '   2.05%)']","[' 1676436  (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1676436  (Average', ' 223.61 Max', ' 8648 Sum', ' 374871519)']","[' 1676436  (Average', ' 223.61 Max', ' 8648 Sum', ' 374871519 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53197   '],[' 9300    '],[' 55083   '],[' 38457   '],"[' 115367   (Atom=Atom', ' 29755 Body=Body', ' 18570 Other', ' 67042)']",[' Yes'],"[' 11786    (Eliminated', '    0 Frozen', ' 11786)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.42643'],[' 0'], ,[' 245.329'],[' 0'],[' 25.8257'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31336e+09'],[' 1.18926e+09'],[' 0'],[' 6.21571e+09'],[' 0'],[' 0'],[' 2483 ']
Solving...,TA46, ,[' 1'],[' 4347+'],[' 2175'],"[' 514.663s (Solving', ' 500.08s 1st Model', ' 418.01s Unsat', ' 0.00s)']",[' 512.516s'], ,[' 307008887'],"[' 1357501  (Analyzed', ' 1115057)']","[' 4590     (Average', ' 242.93 Last', ' 101958)']",[' 9498.5  '],"[' 2175     (Average Length', ' 1087.00 Splits', ' 0)']","[' 1115057  (Deleted', ' 1077474)']","[' 376      (Ratio', '   0.03%)']","[' 33183    (Ratio', '   2.98%)']","[' 1115057  (Average Length', '   27.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1115057  (Average', ' 258.53 Max', ' 8639 Sum', ' 288271743)']","[' 1115056  (Average', ' 258.53 Max', ' 8639 Sum', ' 288271412 Ratio', ' 100.00%)']","[' 1        (Average', ' 331.00 Max', ' 331 Sum', '    331 Ratio', '   0.00%)']", ,[' 52884   '],[' 9300    '],[' 54457   '],[' 38144   '],"[' 114428   (Atom=Atom', ' 29442 Body=Body', ' 18570 Other', ' 66416)']",[' Yes'],"[' 11473    (Eliminated', '    0 Frozen', ' 11473)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.99165'],[' 0'], ,[' 166.543'],[' 0'],[' 18.9288'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.64201e+08'],[' 7.82406e+08'],[' 0'],[' 4.17508e+09'],[' 0'],[' 0'],[' 2552 ']
Solving...,TA47, ,[' 1'],[' 5231+'],[' 2617'],"[' 625.752s (Solving', ' 607.70s 1st Model', ' 520.76s Unsat', ' 0.00s)']",[' 623.813s'], ,[' 355223060'],"[' 1720012  (Analyzed', ' 1433475)']","[' 5706     (Average', ' 251.22 Last', ' 89165)']",[' 9680.1  '],"[' 2617     (Average Length', ' 1308.00 Splits', ' 0)']","[' 1433475  (Deleted', ' 1397871)']","[' 359      (Ratio', '   0.03%)']","[' 31261    (Ratio', '   2.18%)']","[' 1433475  (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1433475  (Average', ' 232.15 Max', ' 8640 Sum', ' 332783337)']","[' 1433475  (Average', ' 232.15 Max', ' 8640 Sum', ' 332783337 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53326   '],[' 9300    '],[' 55341   '],[' 38586   '],"[' 115754   (Atom=Atom', ' 29884 Body=Body', ' 18570 Other', ' 67300)']",[' Yes'],"[' 11915    (Eliminated', '    0 Frozen', ' 11915)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.5756'],[' 0'], ,[' 204.842'],[' 0'],[' 22.3171'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05228e+09'],[' 9.48383e+08'],[' 0'],[' 5.21311e+09'],[' 0'],[' 0'],[' 2391 ']
Solving...,TA48, ,[' 1'],[' 4509+'],[' 2256'],"[' 925.319s (Solving', ' 909.82s 1st Model', ' 826.82s Unsat', ' 0.00s)']",[' 922.453s'], ,[' 462509690'],"[' 2293746  (Analyzed', ' 2041071)']","[' 7154     (Average', ' 285.30 Last', ' 96240)']",[' 9509.3  '],"[' 2256     (Average Length', ' 1127.50 Splits', ' 0)']","[' 2041071  (Deleted', ' 1997457)']","[' 502      (Ratio', '   0.02%)']","[' 38569    (Ratio', '   1.89%)']","[' 2041071  (Average Length', '   26.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2041071  (Average', ' 217.04 Max', ' 8610 Sum', ' 442998850)']","[' 2041071  (Average', ' 217.04 Max', ' 8610 Sum', ' 442998850 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 52965   '],[' 9300    '],[' 54619   '],[' 38225   '],"[' 114671   (Atom=Atom', ' 29523 Body=Body', ' 18570 Other', ' 66578)']",[' Yes'],"[' 11554    (Eliminated', '    0 Frozen', ' 11554)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.11528'],[' 0'], ,[' 298.725'],[' 0'],[' 30.8419'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63262e+09'],[' 1.48511e+09'],[' 0'],[' 7.64048e+09'],[' 0'],[' 0'],[' 2452 ']
Solving...,TA49, ,[' 1'],[' 4851+'],[' 2427'],"[' 472.697s (Solving', ' 456.19s 1st Model', ' 372.35s Unsat', ' 0.00s)']",[' 470.875s'], ,[' 276096296'],"[' 1258516  (Analyzed', ' 998757)']","[' 4137     (Average', ' 241.42 Last', ' 100987)']",[' 9655.3  '],"[' 2427     (Average Length', ' 1213.00 Splits', ' 0)']","[' 998757   (Deleted', ' 961928)']","[' 349      (Ratio', '   0.03%)']","[' 31466    (Ratio', '   3.15%)']","[' 998757   (Average Length', '   27.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 998757   (Average', ' 255.50 Max', ' 8651 Sum', ' 255178290)']","[' 998757   (Average', ' 255.50 Max', ' 8651 Sum', ' 255178290 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53136   '],[' 9300    '],[' 54961   '],[' 38396   '],"[' 115184   (Atom=Atom', ' 29694 Body=Body', ' 18570 Other', ' 66920)']",[' Yes'],"[' 11725    (Eliminated', '    0 Frozen', ' 11725)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.31418'],[' 0'], ,[' 152.209'],[' 0'],[' 17.2164'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.73816e+08'],[' 7.00896e+08'],[' 0'],[' 3.69148e+09'],[' 0'],[' 0'],[' 2563 ']
Solving...,TA50, ,[' 1'],[' 5541+'],[' 2772'],"[' 788.071s (Solving', ' 768.89s 1st Model', ' 679.11s Unsat', ' 0.00s)']",[' 784.891s'], ,[' 414223114'],"[' 2170661  (Analyzed', ' 1773082)']","[' 6999     (Average', ' 253.33 Last', ' 102730)']",[' 9739.9  '],"[' 2772     (Average Length', ' 1385.50 Splits', ' 0)']","[' 1773082  (Deleted', ' 1732658)']","[' 443      (Ratio', '   0.02%)']","[' 34987    (Ratio', '   1.97%)']","[' 1773082  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1773082  (Average', ' 220.16 Max', ' 8647 Sum', ' 390364515)']","[' 1773082  (Average', ' 220.16 Max', ' 8647 Sum', ' 390364515 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53481   '],[' 9300    '],[' 55651   '],[' 38741   '],"[' 116219   (Atom=Atom', ' 30039 Body=Body', ' 18570 Other', ' 67610)']",[' Yes'],"[' 12070    (Eliminated', '    0 Frozen', ' 12070)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.81116'],[' 0'], ,[' 257.372'],[' 0'],[' 26.9638'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32692e+09'],[' 1.20019e+09'],[' 0'],[' 6.60285e+09'],[' 0'],[' 0'],[' 2450 ']
