Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA71, ,[' 1'],[' 14801+'],[' 7403'],"[' 2972.249s (Solving', ' 2703.20s 1st Model', ' 1026.94s Unsat', ' 0.00s)']",[' 2957.891s'], ,[' 1105517369'],"[' 46282202 (Analyzed', ' 180352)']","[' 6589     (Average', ' 27.37 Last', ' 4305)']",[' 42256.9 '],"[' 7403     (Average Length', ' 3591.62 Splits', ' 0)']","[' 180352   (Deleted', ' 153025)']","[' 64       (Ratio', '   0.04%)']","[' 24953    (Ratio', '  13.84%)']","[' 180352   (Average Length', '   50.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 180352   (Average', ' 4284.20 Max', ' 47635 Sum', ' 772663873)']","[' 180352   (Average', ' 4284.20 Max', ' 47635 Sum', ' 772663873 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 480963  '],[' 51874   '],[' 485877  '],[' 309797  '],"[' 929387   (Atom=Atom', ' 259921 Body=Body', ' 152774 Other', ' 516692)']",[' Yes'],"[' 58788    (Eliminated', '    0 Frozen', ' 58788)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 45.5865'],[' 0'], ,[' 1856.3'],[' 0'],[' 80.8609'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89085e+09'],[' 1.77535e+09'],[' 0'],[' 1.48962e+11'],[' 0'],[' 0'],[' 6519 '],[' 9684 ']
Solving...,TA72, ,[' 1'],[' 10295+'],[' 5150'],"[' 883.120s (Solving', ' 780.01s 1st Model', ' 571.97s Unsat', ' 0.00s)']",[' 880.641s'], ,[' 773923057'],"[' 774392   (Analyzed', ' 227610)']","[' 3806     (Average', ' 59.80 Last', ' 17666)']",[' 26194.6 '],"[' 5150     (Average Length', ' 2574.50 Splits', ' 0)']","[' 227610   (Deleted', ' 191919)']","[' 55       (Ratio', '   0.02%)']","[' 31659    (Ratio', '  13.91%)']","[' 227610   (Average Length', '   49.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 227610   (Average', ' 2923.26 Max', ' 32682 Sum', ' 665362740)']","[' 224944   (Average', ' 2862.96 Max', ' 32682 Sum', ' 651638172 Ratio', '  97.94%)']","[' 2666     (Average', ' 5148.00 Max', ' 5148 Sum', ' 13724568 Ratio', '   2.06%)']", ,[' 477156  '],[' 51356   '],[' 480303  '],[' 305472  '],"[' 916412   (Atom=Atom', ' 256114 Body=Body', ' 152256 Other', ' 508042)']",[' Yes'],"[' 56503    (Eliminated', '    0 Frozen', ' 56503)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7075'],[' 0'], ,[' 254.972'],[' 0'],[' 40.6913'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.78765e+08'],[' 9.14984e+08'],[' 0'],[' 3.94239e+09'],[' 0'],[' 0'],[' 3484 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 7895+'],[' 3950'],"[' 636.675s (Solving', ' 554.77s 1st Model', ' 360.53s Unsat', ' 0.00s)']",[' 632.906s'], ,[' 494498616'],"[' 739384   (Analyzed', ' 118720)']","[' 3194     (Average', ' 37.17 Last', ' 17671)']",[' 26366.4 '],"[' 3950     (Average Length', ' 1974.50 Splits', ' 0)']","[' 118720   (Deleted', ' 97142)']","[' 45       (Ratio', '   0.04%)']","[' 16936    (Ratio', '  14.27%)']","[' 118720   (Average Length', '   47.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 118720   (Average', ' 3448.69 Max', ' 31582 Sum', ' 409428802)']","[' 115701   (Average', ' 3348.30 Max', ' 31527 Sum', ' 397509790 Ratio', '  97.09%)']","[' 3019     (Average', ' 3948.00 Max', ' 3948 Sum', ' 11919012 Ratio', '   2.91%)']", ,[' 477516  '],[' 51876   '],[' 479463  '],[' 306352  '],"[' 919052   (Atom=Atom', ' 256474 Body=Body', ' 152776 Other', ' 509802)']",[' Yes'],"[' 55823    (Eliminated', '    0 Frozen', ' 55823)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.8158'],[' 0'], ,[' 192.664'],[' 0'],[' 31.8533'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.80588e+08'],[' 5.44129e+08'],[' 0'],[' 2.67711e+09'],[' 0'],[' 0'],[' 3765 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 10241+'],[' 5123'],"[' 862.700s (Solving', ' 762.10s 1st Model', ' 552.17s Unsat', ' 0.00s)']",[' 859.594s'], ,[' 754446087'],"[' 790267   (Analyzed', ' 208451)']","[' 3781     (Average', ' 55.13 Last', ' 15927)']",[' 26249.7 '],"[' 5123     (Average Length', ' 2561.00 Splits', ' 0)']","[' 208451   (Deleted', ' 174296)']","[' 71       (Ratio', '   0.03%)']","[' 28987    (Ratio', '  13.91%)']","[' 208451   (Average Length', '   49.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 208451   (Average', ' 3101.64 Max', ' 32473 Sum', ' 646539717)']","[' 205697   (Average', ' 3033.98 Max', ' 32427 Sum', ' 632436483 Ratio', '  97.82%)']","[' 2754     (Average', ' 5121.00 Max', ' 5121 Sum', ' 14103234 Ratio', '   2.18%)']", ,[' 477633  '],[' 51524   '],[' 480753  '],[' 306117  '],"[' 918347   (Atom=Atom', ' 256591 Body=Body', ' 152424 Other', ' 509332)']",[' Yes'],"[' 56644    (Eliminated', '    0 Frozen', ' 56644)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.3436'],[' 0'], ,[' 252.212'],[' 0'],[' 40.3358'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.32619e+08'],[' 8.73218e+08'],[' 0'],[' 3.92554e+09'],[' 0'],[' 0'],[' 3557 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 5983+'],[' 2994'],"[' 465.001s (Solving', ' 405.13s 1st Model', ' 226.92s Unsat', ' 0.00s)']",[' 462.516s'], ,[' 406205434'],"[' 627490   (Analyzed', ' 88007)']","[' 2447     (Average', ' 35.97 Last', ' 7517)']",[' 26134.6 '],"[' 2994     (Average Length', ' 1496.50 Splits', ' 0)']","[' 88007    (Deleted', ' 70810)']","[' 32       (Ratio', '   0.04%)']","[' 13179    (Ratio', '  14.97%)']","[' 88007    (Average Length', '   47.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 88007    (Average', ' 3846.70 Max', ' 29905 Sum', ' 338536719)']","[' 85780    (Average', ' 3770.99 Max', ' 29899 Sum', ' 331873535 Ratio', '  98.03%)']","[' 2227     (Average', ' 2992.00 Max', ' 2992 Sum', ' 6663184 Ratio', '   1.97%)']", ,[' 476512  '],[' 51860   '],[' 477503  '],[' 305332  '],"[' 915992   (Atom=Atom', ' 255470 Body=Body', ' 152760 Other', ' 507762)']",[' Yes'],"[' 54851    (Eliminated', '    0 Frozen', ' 54851)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.04194'],[' 0'], ,[' 142.8'],[' 0'],[' 22.1977'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.64305e+08'],[' 4.3489e+08'],[' 0'],[' 2.79459e+09'],[' 0'],[' 0'],[' 3722 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 10041+'],[' 5023'],"[' 658.033s (Solving', ' 555.60s 1st Model', ' 343.87s Unsat', ' 0.00s)']",[' 655.828s'], ,[' 543054334'],"[' 665548   (Analyzed', ' 124476)']","[' 3297     (Average', ' 37.75 Last', ' 2326)']",[' 26517.8 '],"[' 5023     (Average Length', ' 2511.00 Splits', ' 0)']","[' 124476   (Deleted', ' 103289)']","[' 43       (Ratio', '   0.03%)']","[' 16609    (Ratio', '  13.34%)']","[' 124476   (Average Length', '   51.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 124476   (Average', ' 3489.02 Max', ' 32472 Sum', ' 434299081)']","[' 121999   (Average', ' 3389.10 Max', ' 32348 Sum', ' 421862064 Ratio', '  97.14%)']","[' 2477     (Average', ' 5021.00 Max', ' 5021 Sum', ' 12437017 Ratio', '   2.86%)']", ,[' 477299  '],[' 51446   '],[' 480319  '],[' 305705  '],"[' 917111   (Atom=Atom', ' 256257 Body=Body', ' 152346 Other', ' 508508)']",[' Yes'],"[' 56466    (Eliminated', '    0 Frozen', ' 56466)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.6273'],[' 0'], ,[' 189.007'],[' 0'],[' 29.1708'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.27751e+08'],[' 5.87903e+08'],[' 0'],[' 3.20118e+09'],[' 0'],[' 0'],[' 3559 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 8941+'],[' 4473'],"[' 881.146s (Solving', ' 790.95s 1st Model', ' 593.10s Unsat', ' 0.00s)']",[' 878.109s'], ,[' 778350095'],"[' 721959   (Analyzed', ' 235137)']","[' 3506     (Average', ' 67.07 Last', ' 14834)']",[' 25917.1 '],"[' 4473     (Average Length', ' 2236.00 Splits', ' 0)']","[' 235137   (Deleted', ' 197756)']","[' 44       (Ratio', '   0.02%)']","[' 32785    (Ratio', '  13.94%)']","[' 235137   (Average Length', '   46.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 235137   (Average', ' 2906.14 Max', ' 31504 Sum', ' 683342086)']","[' 232563   (Average', ' 2857.20 Max', ' 31393 Sum', ' 671833732 Ratio', '  98.32%)']","[' 2574     (Average', ' 4471.00 Max', ' 4471 Sum', ' 11508354 Ratio', '   1.68%)']", ,[' 476251  '],[' 51280   '],[' 478721  '],[' 304491  '],"[' 913469   (Atom=Atom', ' 255209 Body=Body', ' 152180 Other', ' 506080)']",[' Yes'],"[' 55750    (Eliminated', '    0 Frozen', ' 55750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6017'],[' 0'], ,[' 260.435'],[' 0'],[' 42.1371'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.83751e+08'],[' 9.1811e+08'],[' 0'],[' 3.89453e+09'],[' 0'],[' 0'],[' 3403 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 8535+'],[' 4270'],"[' 683.922s (Solving', ' 597.22s 1st Model', ' 400.01s Unsat', ' 0.00s)']",[' 681.328s'], ,[' 601426156'],"[' 750354   (Analyzed', ' 150966)']","[' 3388     (Average', ' 44.56 Last', ' 18221)']",[' 26146.4 '],"[' 4270     (Average Length', ' 2134.50 Splits', ' 0)']","[' 150966   (Deleted', ' 125611)']","[' 66       (Ratio', '   0.04%)']","[' 20834    (Ratio', '  13.80%)']","[' 150966   (Average Length', '   48.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 150966   (Average', ' 3383.19 Max', ' 31965 Sum', ' 510746893)']","[' 148034   (Average', ' 3300.30 Max', ' 31918 Sum', ' 498233117 Ratio', '  97.55%)']","[' 2932     (Average', ' 4268.00 Max', ' 4268 Sum', ' 12513776 Ratio', '   2.45%)']", ,[' 476546  '],[' 51446   '],[' 478813  '],[' 304952  '],"[' 914852   (Atom=Atom', ' 255504 Body=Body', ' 152346 Other', ' 507002)']",[' Yes'],"[' 55713    (Eliminated', '    0 Frozen', ' 55713)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0443'],[' 0'], ,[' 203.568'],[' 0'],[' 32.1601'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.15518e+08'],[' 6.69241e+08'],[' 0'],[' 3.37813e+09'],[' 0'],[' 0'],[' 3529 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 10011+'],[' 5008'],"[' 711.919s (Solving', ' 608.79s 1st Model', ' 398.70s Unsat', ' 0.00s)']",[' 709.594s'], ,[' 602958720'],"[' 759101   (Analyzed', ' 148765)']","[' 3734     (Average', ' 39.84 Last', ' 2402)']",[' 26493.3 '],"[' 5008     (Average Length', ' 2503.50 Splits', ' 0)']","[' 148765   (Deleted', ' 124158)']","[' 44       (Ratio', '   0.03%)']","[' 19501    (Ratio', '  13.11%)']","[' 148765   (Average Length', '   49.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 148765   (Average', ' 3336.83 Max', ' 33095 Sum', ' 496403990)']","[' 145920   (Average', ' 3241.10 Max', ' 32590 Sum', ' 482161920 Ratio', '  97.13%)']","[' 2845     (Average', ' 5006.00 Max', ' 5006 Sum', ' 14242070 Ratio', '   2.87%)']", ,[' 478250  '],[' 51768   '],[' 481255  '],[' 306978  '],"[' 920930   (Atom=Atom', ' 257208 Body=Body', ' 152668 Other', ' 511054)']",[' Yes'],"[' 56773    (Eliminated', '    0 Frozen', ' 56773)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.9265'],[' 0'], ,[' 206.798'],[' 0'],[' 32.1168'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.13353e+08'],[' 6.67735e+08'],[' 0'],[' 3.47833e+09'],[' 0'],[' 0'],[' 3480 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 6625+'],[' 3315'],"[' 628.057s (Solving', ' 561.86s 1st Model', ' 381.76s Unsat', ' 0.00s)']",[' 625.531s'], ,[' 573552466'],"[' 652308   (Analyzed', ' 156883)']","[' 2759     (Average', ' 56.86 Last', ' 22606)']",[' 26011.4 '],"[' 3315     (Average Length', ' 1657.00 Splits', ' 0)']","[' 156883   (Deleted', ' 129363)']","[' 49       (Ratio', '   0.03%)']","[' 22737    (Ratio', '  14.49%)']","[' 156883   (Average Length', '   44.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 156883   (Average', ' 3199.46 Max', ' 30821 Sum', ' 501940260)']","[' 153971   (Average', ' 3137.96 Max', ' 30686 Sum', ' 492292804 Ratio', '  98.08%)']","[' 2912     (Average', ' 3313.00 Max', ' 3313 Sum', ' 9647456 Ratio', '   1.92%)']", ,[' 475891  '],[' 51546   '],[' 477203  '],[' 304397  '],"[' 913187   (Atom=Atom', ' 254849 Body=Body', ' 152446 Other', ' 505892)']",[' Yes'],"[' 54858    (Eliminated', '    0 Frozen', ' 54858)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.64713'],[' 0'], ,[' 190.509'],[' 0'],[' 30.8532'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.95287e+08'],[' 6.48517e+08'],[' 0'],[' 3.17336e+09'],[' 0'],[' 0'],[' 3429 '],[' 0 ']
