Optimal Found Or Timeout,Instances,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Optimum Found,Optimum Found,Optimum Found,Completion Time for Window 1 is 714,Completion Time for Window 2 is 1195,Completion Time for Window 3 is 1737,Completion Time for Window 4 is 2264
Choices      ,TA31,"[' 10840    (Average', ' 498.91 Last', ' 21688)']",[' 1213.8  '],"[' 590      (Average Length', ' 282.39 Splits', ' 0)']","[' 5408214  (Deleted', ' 5315003)']","[' 38       (Ratio', '   0.00%)']","[' 1213     (Ratio', '   0.02%)']","[' 5408214  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5408214  (Average', '  1.54 Max', ' 1405 Sum', ' 8330977)']","[' 5408094  (Average', '  1.54 Max', ' 1405 Sum', ' 8308670 Ratio', '  99.73%)']","[' 120      (Average', ' 185.89 Max', ' 412 Sum', '  22307 Ratio', '   0.27%)']", ,[' 32256   '],[' 2080    '],[' 32358   '],[' 17587   '],"[' 52757    (Atom=Atom', ' 15955 Body=Body', ' 9025 Other', ' 27777)']",[' Yes'],"[' 2632     (Eliminated', '    0 Frozen', ' 2632)']","[' 45       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.322529'],[' 0'], ,[' 36.0706'],[' 0'],[' 1.20856'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.60653e+07'],[' 1.37848e+07'],[' 0'],[' 2.56821e+09'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' ']
,TA32,"[' 4226022  (Analyzed', ' 4118223)']","[' 8996     (Average', ' 457.78 Last', ' 29012)']",[' 1192.7  '],"[' 474      (Average Length', ' 232.20 Splits', ' 0)']","[' 4118223  (Deleted', ' 4034735)']","[' 31       (Ratio', '   0.00%)']","[' 1858     (Ratio', '   0.05%)']","[' 4118223  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4118223  (Average', '  2.15 Max', ' 1401 Sum', ' 8855107)']","[' 4118049  (Average', '  2.14 Max', ' 1401 Sum', ' 8815177 Ratio', '  99.55%)']","[' 174      (Average', ' 229.48 Max', ' 315 Sum', '  39930 Ratio', '   0.45%)']", ,[' 32677   '],[' 2136    '],[' 32688   '],[' 17895   '],"[' 53681    (Atom=Atom', ' 16207 Body=Body', ' 9081 Other', ' 28393)']",[' Yes'],"[' 2597     (Eliminated', '    0 Frozen', ' 2597)']","[' 297      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.286897'],[' 0'], ,[' 102.573'],[' 0'],[' 2.08337'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.8147e+07'],[' 1.64217e+07'],[' 0'],[' 1.16945e+10'],[' 0'],[' 0'], , , ,[' '],[' '],[' '],[' ']
Choices      ,TA33,"[' 8102     (Average', ' 470.79 Last', ' 61268)']",[' 1115.0  '],"[' 551      (Average Length', ' 270.15 Splits', ' 0)']","[' 3814349  (Deleted', ' 3749245)']","[' 36       (Ratio', '   0.00%)']","[' 2274     (Ratio', '   0.06%)']","[' 3814349  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3814349  (Average', '  2.16 Max', ' 1224 Sum', ' 8242456)']","[' 3814092  (Average', '  2.14 Max', ' 1224 Sum', ' 8178671 Ratio', '  99.23%)']","[' 257      (Average', ' 248.19 Max', ' 398 Sum', '  63785 Ratio', '   0.77%)']", ,[' 32197   '],[' 2095    '],[' 32282   '],[' 17405   '],"[' 52211    (Atom=Atom', ' 15758 Body=Body', ' 9040 Other', ' 27413)']",[' Yes'],"[' 2630     (Eliminated', '    0 Frozen', ' 2630)']","[' 391      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.309527'],[' 0'], ,[' 85.9075'],[' 0'],[' 1.69481'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.60147e+07'],[' 1.62041e+07'],[' 0'],[' 9.2996e+09'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' ']
Choices      ,TA34,"[' 12199    (Average', ' 518.42 Last', ' 8892)']",[' 1143.8  '],"[' 497      (Average Length', ' 240.49 Splits', ' 0)']","[' 6324245  (Deleted', ' 6217909)']","[' 37       (Ratio', '   0.00%)']","[' 1368     (Ratio', '   0.02%)']","[' 6324245  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6324245  (Average', '  1.57 Max', ' 1338 Sum', ' 9901172)']","[' 6324076  (Average', '  1.56 Max', ' 1338 Sum', ' 9873835 Ratio', '  99.72%)']","[' 169      (Average', ' 161.76 Max', ' 343 Sum', '  27337 Ratio', '   0.28%)']", ,[' 31886   '],[' 2054    '],[' 31911   '],[' 17108   '],"[' 51320    (Atom=Atom', ' 15502 Body=Body', ' 8999 Other', ' 26819)']",[' Yes'],"[' 2529     (Eliminated', '    0 Frozen', ' 2529)']","[' 159      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.291912'],[' 0'], ,[' 78.4176'],[' 0'],[' 1.67411'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.17132e+07'],[' 1.66343e+07'],[' 0'],[' 9.12917e+09'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' ']
CPU Time     ,TA35,[' 14867516'],"[' 9527438  (Analyzed', ' 9498544)']","[' 20064    (Average', ' 473.41 Last', ' 31921)']",[' 1068.3  '],"[' 442      (Average Length', ' 215.39 Splits', ' 0)']","[' 9498544  (Deleted', ' 9322405)']","[' 21       (Ratio', '   0.00%)']","[' 1604     (Ratio', '   0.02%)']","[' 9498544  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9498544  (Average', '  1.50 Max', ' 1284 Sum', ' 14252945)']","[' 9498367  (Average', '  1.50 Max', ' 1284 Sum', ' 14218020 Ratio', '  99.75%)']","[' 177      (Average', ' 197.32 Max', ' 337 Sum', '  34925 Ratio', '   0.25%)']", ,[' 31965   '],[' 2045    '],[' 31943   '],[' 17028   '],"[' 51080    (Atom=Atom', ' 15431 Body=Body', ' 8990 Other', ' 26659)']",[' Yes'],"[' 2473     (Eliminated', '    0 Frozen', ' 2473)']","[' 189      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.257867'],[' 0'], ,[' 161.977'],[' 0'],[' 3.15495'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.24735e+07'],[' 2.0662e+07'],[' 0'],[' 1.92311e+10'],[' 0'],[' 0'], , ,[' '],[' '],[' '],[' ']
,TA36,"[' 7068415  (Analyzed', ' 7033404)']","[' 14521    (Average', ' 484.36 Last', ' 37114)']",[' 1062.3  '],"[' 475      (Average Length', ' 231.62 Splits', ' 0)']","[' 7033404  (Deleted', ' 6902556)']","[' 26       (Ratio', '   0.00%)']","[' 1389     (Ratio', '   0.02%)']","[' 7033404  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7033404  (Average', '  1.43 Max', ' 1253 Sum', ' 10049292)']","[' 7033215  (Average', '  1.42 Max', ' 1253 Sum', ' 10012357 Ratio', '  99.63%)']","[' 189      (Average', ' 195.42 Max', ' 339 Sum', '  36935 Ratio', '   0.37%)']", ,[' 31933   '],[' 2030    '],[' 31940   '],[' 17020   '],"[' 51056    (Atom=Atom', ' 15438 Body=Body', ' 8975 Other', ' 26643)']",[' Yes'],"[' 2487     (Eliminated', '    0 Frozen', ' 2487)']","[' 137      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.269828'],[' 0'], ,[' 86.7246'],[' 0'],[' 1.96473'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.16687e+07'],[' 1.54496e+07'],[' 0'],[' 9.00127e+09'],[' 0'],[' 0'], , , ,[' '],[' '],[' '],[' ']
,TA37,"[' 3021882  (Analyzed', ' 2964817)']","[' 7140     (Average', ' 415.24 Last', ' 5313)']",[' 1156.2  '],"[' 553      (Average Length', ' 268.95 Splits', ' 0)']","[' 2964817  (Deleted', ' 2899925)']","[' 31       (Ratio', '   0.00%)']","[' 1346     (Ratio', '   0.05%)']","[' 2964817  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2964817  (Average', '  1.71 Max', ' 1383 Sum', ' 5070066)']","[' 2964702  (Average', '  1.70 Max', ' 1383 Sum', ' 5043613 Ratio', '  99.48%)']","[' 115      (Average', ' 230.03 Max', ' 413 Sum', '  26453 Ratio', '   0.52%)']", ,[' 31960   '],[' 2041    '],[' 32036   '],[' 17313   '],"[' 51935    (Atom=Atom', ' 15720 Body=Body', ' 8986 Other', ' 27229)']",[' Yes'],"[' 2567     (Eliminated', '    0 Frozen', ' 2567)']","[' 81       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.302762'],[' 0'], ,[' 107.254'],[' 0'],[' 1.89582'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74772e+07'],[' 1.00977e+07'],[' 0'],[' 1.47748e+10'],[' 0'],[' 0'], , , ,[' '],[' '],[' '],[' ']
Choices      ,TA38,"[' 8716     (Average', ' 434.55 Last', ' 827)']",[' 1044.2  '],"[' 490      (Average Length', ' 237.34 Splits', ' 0)']","[' 3787547  (Deleted', ' 3716104)']","[' 44       (Ratio', '   0.00%)']","[' 1427     (Ratio', '   0.04%)']","[' 3787547  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3787547  (Average', '  1.55 Max', ' 1208 Sum', ' 5880741)']","[' 3787313  (Average', '  1.54 Max', ' 1208 Sum', ' 5829400 Ratio', '  99.13%)']","[' 234      (Average', ' 219.41 Max', ' 369 Sum', '  51341 Ratio', '   0.87%)']", ,[' 31686   '],[' 2024    '],[' 31705   '],[' 17009   '],"[' 51023    (Atom=Atom', ' 15433 Body=Body', ' 8969 Other', ' 26621)']",[' Yes'],"[' 2493     (Eliminated', '    0 Frozen', ' 2493)']","[' 153      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.274366'],[' 0'], ,[' 77.2452'],[' 0'],[' 1.45927'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.96432e+07'],[' 1.05907e+07'],[' 0'],[' 8.94072e+09'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' ']
CPU Time     ,TA39,[' 17515316'],"[' 9389542  (Analyzed', ' 9357867)']","[' 18595    (Average', ' 503.25 Last', ' 2585)']",[' 1082.1  '],"[' 445      (Average Length', ' 215.35 Splits', ' 0)']","[' 9357867  (Deleted', ' 9223374)']","[' 16       (Ratio', '   0.00%)']","[' 2060     (Ratio', '   0.02%)']","[' 9357867  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9357867  (Average', '  1.80 Max', ' 1220 Sum', ' 16825870)']","[' 9357669  (Average', '  1.79 Max', ' 1220 Sum', ' 16791046 Ratio', '  99.79%)']","[' 198      (Average', ' 175.88 Max', ' 843 Sum', '  34824 Ratio', '   0.21%)']", ,[' 32120   '],[' 2092    '],[' 32092   '],[' 17268   '],"[' 51800    (Atom=Atom', ' 15624 Body=Body', ' 9037 Other', ' 27139)']",[' Yes'],"[' 2514     (Eliminated', '    0 Frozen', ' 2514)']","[' 397      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.264416'],[' 0'], ,[' 130.856'],[' 0'],[' 2.76862'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.9442e+07'],[' 2.65046e+07'],[' 0'],[' 1.31887e+10'],[' 0'],[' 0'], , ,[' '],[' '],[' '],[' ']
Conflicts    ,TA40,[' 1153.0  '],"[' 534      (Average Length', ' 257.66 Splits', ' 0)']","[' 474793   (Deleted', ' 459263)']","[' 40       (Ratio', '   0.01%)']","[' 1083     (Ratio', '   0.23%)']","[' 474793   (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 474793   (Average', '  2.59 Max', ' 1380 Sum', ' 1230032)']","[' 474667   (Average', '  2.55 Max', ' 1380 Sum', ' 1213039 Ratio', '  98.62%)']","[' 126      (Average', ' 134.87 Max', ' 248 Sum', '  16993 Ratio', '   1.38%)']", ,[' 31911   '],[' 2016    '],[' 31973   '],[' 17049   '],"[' 51143    (Atom=Atom', ' 15481 Body=Body', ' 8961 Other', ' 26701)']",[' Yes'],"[' 2528     (Eliminated', '    0 Frozen', ' 2528)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.308647'],[' 0'], ,[' 20.3673'],[' 0'],[' 0.359482'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.25894e+06'],[' 4.81021e+06'],[' 0'],[' 2.80123e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' ']
