Optimal Found Or Timeout,Instances,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1521,Completion Time for Window 2 is 2499,Completion Time for Window 3 is 3666,Completion Time for Window 4 is 5298
Time         ,swv11, ,[' 62791621'],"[' 5339189  (Analyzed', ' 5267324)']","[' 10377    (Average', ' 507.60 Last', ' 15470)']",[' 2201.4  '],"[' 642      (Average Length', ' 314.11 Splits', ' 0)']","[' 5267324  (Deleted', ' 5184213)']","[' 103      (Ratio', '   0.00%)']","[' 27028    (Ratio', '   0.51%)']","[' 5267324  (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5267324  (Average', ' 11.65 Max', ' 2688 Sum', ' 61340058)']","[' 5266592  (Average', ' 11.60 Max', ' 2688 Sum', ' 61097703 Ratio', '  99.60%)']","[' 732      (Average', ' 331.09 Max', ' 444 Sum', ' 242355 Ratio', '   0.40%)']", ,[' 72336   '],[' 5609    '],[' 72464   '],[' 41927   '],"[' 125777   (Atom=Atom', ' 36816 Body=Body', ' 18309 Other', ' 70652)']",[' Yes'],"[' 6237     (Eliminated', '    0 Frozen', ' 6237)']","[' 4001     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.596897'],[' 0'], ,[' 178.211'],[' 0'],[' 4.76656'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.19627e+08'],[' 1.89416e+08'],[' 0'],[' 2.2005e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,swv12, ,[' 61354480'],"[' 5152064  (Analyzed', ' 5107705)']","[' 11057    (Average', ' 461.94 Last', ' 12140)']",[' 2331.2  '],"[' 533      (Average Length', ' 264.37 Splits', ' 0)']","[' 5107705  (Deleted', ' 5021641)']","[' 86       (Ratio', '   0.00%)']","[' 28510    (Ratio', '   0.56%)']","[' 5107705  (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5107705  (Average', ' 11.73 Max', ' 2956 Sum', ' 59938108)']","[' 5107034  (Average', ' 11.70 Max', ' 2956 Sum', ' 59778339 Ratio', '  99.73%)']","[' 671      (Average', ' 238.11 Max', ' 327 Sum', ' 159769 Ratio', '   0.27%)']", ,[' 71759   '],[' 5549    '],[' 71787   '],[' 41686   '],"[' 125054   (Atom=Atom', ' 36635 Body=Body', ' 18249 Other', ' 70170)']",[' Yes'],"[' 6077     (Eliminated', '    0 Frozen', ' 6077)']","[' 4145     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.55368'],[' 0'], ,[' 177.622'],[' 0'],[' 4.77311'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24573e+08'],[' 1.94901e+08'],[' 0'],[' 2.28433e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,swv13, ,[' 58802011'],"[' 5842575  (Analyzed', ' 5756271)']","[' 11180    (Average', ' 514.87 Last', ' 76637)']",[' 2349.8  '],"[' 567      (Average Length', ' 278.67 Splits', ' 0)']","[' 5756271  (Deleted', ' 5679817)']","[' 45       (Ratio', '   0.00%)']","[' 18195    (Ratio', '   0.32%)']","[' 5756271  (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5756271  (Average', '  9.96 Max', ' 3096 Sum', ' 57304163)']","[' 5755532  (Average', '  9.92 Max', ' 3096 Sum', ' 57089316 Ratio', '  99.63%)']","[' 739      (Average', ' 290.73 Max', ' 390 Sum', ' 214847 Ratio', '   0.37%)']", ,[' 71877   '],[' 5595    '],[' 71933   '],[' 41578   '],"[' 124730   (Atom=Atom', ' 36481 Body=Body', ' 18295 Other', ' 69954)']",[' Yes'],"[' 6151     (Eliminated', '    0 Frozen', ' 6151)']","[' 2707     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.519234'],[' 0'], ,[' 188.977'],[' 0'],[' 4.5906'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57307e+08'],[' 1.32379e+08'],[' 0'],[' 2.48289e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,swv14, ,[' 56958657'],"[' 4876787  (Analyzed', ' 4813714)']","[' 9734     (Average', ' 494.53 Last', ' 17860)']",[' 2355.3  '],"[' 537      (Average Length', ' 262.98 Splits', ' 0)']","[' 4813714  (Deleted', ' 4731957)']","[' 101      (Ratio', '   0.00%)']","[' 26333    (Ratio', '   0.55%)']","[' 4813714  (Average Length', '   26.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4813714  (Average', ' 11.53 Max', ' 2900 Sum', ' 55517735)']","[' 4813073  (Average', ' 11.50 Max', ' 2900 Sum', ' 55358995 Ratio', '  99.71%)']","[' 641      (Average', ' 247.64 Max', ' 332 Sum', ' 158740 Ratio', '   0.29%)']", ,[' 71787   '],[' 5596    '],[' 71813   '],[' 41919   '],"[' 125753   (Atom=Atom', ' 36821 Body=Body', ' 18296 Other', ' 70636)']",[' Yes'],"[' 6122     (Eliminated', '    0 Frozen', ' 6122)']","[' 3868     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.528398'],[' 0'], ,[' 182.997'],[' 0'],[' 4.55887'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.00181e+08'],[' 1.73472e+08'],[' 0'],[' 2.33901e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,swv15, ,[' 57561703'],"[' 5794677  (Analyzed', ' 5708467)']","[' 11263    (Average', ' 506.83 Last', ' 27830)']",[' 2374.5  '],"[' 555      (Average Length', ' 272.73 Splits', ' 0)']","[' 5708467  (Deleted', ' 5631199)']","[' 45       (Ratio', '   0.00%)']","[' 20815    (Ratio', '   0.36%)']","[' 5708467  (Average Length', '   25.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5708467  (Average', '  9.82 Max', ' 3072 Sum', ' 56051424)']","[' 5707797  (Average', '  9.79 Max', ' 3072 Sum', ' 55876447 Ratio', '  99.69%)']","[' 670      (Average', ' 261.16 Max', ' 369 Sum', ' 174977 Ratio', '   0.31%)']", ,[' 72470   '],[' 5621    '],[' 72514   '],[' 42146   '],"[' 126434   (Atom=Atom', ' 37023 Body=Body', ' 18321 Other', ' 71090)']",[' Yes'],"[' 6165     (Eliminated', '    0 Frozen', ' 6165)']","[' 3275     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.541136'],[' 0'], ,[' 185.218'],[' 0'],[' 4.56277'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69962e+08'],[' 1.43433e+08'],[' 0'],[' 2.39383e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,swv16, ,[' 25236953'],"[' 9393458  (Analyzed', ' 9356542)']","[' 18112    (Average', ' 516.59 Last', ' 17892)']",[' 1789.1  '],"[' 416      (Average Length', ' 205.36 Splits', ' 0)']","[' 9356542  (Deleted', ' 9248953)']","[' 14       (Ratio', '   0.00%)']","[' 4773     (Ratio', '   0.05%)']","[' 9356542  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9356542  (Average', '  2.58 Max', ' 2110 Sum', ' 24184293)']","[' 9356012  (Average', '  2.58 Max', ' 2110 Sum', ' 24100342 Ratio', '  99.65%)']","[' 530      (Average', ' 158.40 Max', ' 261 Sum', '  83951 Ratio', '   0.35%)']", ,[' 53942   '],[' 3511    '],[' 53849   '],[' 30475   '],"[' 91421    (Atom=Atom', ' 27462 Body=Body', ' 16211 Other', ' 47748)']",[' Yes'],"[' 3918     (Eliminated', '    0 Frozen', ' 3918)']","[' 938      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.381675'],[' 0'], ,[' 193.909'],[' 0'],[' 3.42736'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.0116e+07'],[' 3.55401e+07'],[' 0'],[' 2.50582e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,swv17, ,[' 23970409'],"[' 8922553  (Analyzed', ' 8857104)']","[' 16478    (Average', ' 537.51 Last', ' 2431)']",[' 1765.4  '],"[' 494      (Average Length', ' 241.48 Splits', ' 0)']","[' 8857104  (Deleted', ' 8755974)']","[' 5        (Ratio', '   0.00%)']","[' 4702     (Ratio', '   0.05%)']","[' 8857104  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8857104  (Average', '  2.58 Max', ' 2248 Sum', ' 22855874)']","[' 8856689  (Average', '  2.57 Max', ' 2248 Sum', ' 22768666 Ratio', '  99.62%)']","[' 415      (Average', ' 210.14 Max', ' 333 Sum', '  87208 Ratio', '   0.38%)']", ,[' 54315   '],[' 3514    '],[' 54296   '],[' 30710   '],"[' 92126    (Atom=Atom', ' 27694 Body=Body', ' 16214 Other', ' 48218)']",[' Yes'],"[' 3995     (Eliminated', '    0 Frozen', ' 3995)']","[' 721      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.394388'],[' 0'], ,[' 195.122'],[' 0'],[' 3.43647'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.00028e+07'],[' 3.67839e+07'],[' 0'],[' 2.41751e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,swv18, ,[' 25548057'],"[' 8521656  (Analyzed', ' 8462954)']","[' 16372    (Average', ' 516.92 Last', ' 4529)']",[' 1884.2  '],"[' 561      (Average Length', ' 274.88 Splits', ' 0)']","[' 8462954  (Deleted', ' 8363711)']","[' 9        (Ratio', '   0.00%)']","[' 5008     (Ratio', '   0.06%)']","[' 8462954  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8462954  (Average', '  2.87 Max', ' 2142 Sum', ' 24311483)']","[' 8462433  (Average', '  2.86 Max', ' 2142 Sum', ' 24201419 Ratio', '  99.55%)']","[' 521      (Average', ' 211.26 Max', ' 324 Sum', ' 110064 Ratio', '   0.45%)']", ,[' 54647   '],[' 3618    '],[' 54696   '],[' 31263   '],"[' 93785    (Atom=Atom', ' 28143 Body=Body', ' 16318 Other', ' 49324)']",[' Yes'],"[' 4167     (Eliminated', '    0 Frozen', ' 4167)']","[' 845      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.49737'],[' 0'], ,[' 196.444'],[' 0'],[' 3.74396'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.13863e+07'],[' 3.86025e+07'],[' 0'],[' 2.38553e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,swv19, ,[' 26749718'],"[' 8350145  (Analyzed', ' 8287795)']","[' 15587    (Average', ' 531.71 Last', ' 164950)']",[' 1751.1  '],"[' 514      (Average Length', ' 254.21 Splits', ' 0)']","[' 8287795  (Deleted', ' 8192128)']","[' 17       (Ratio', '   0.00%)']","[' 5954     (Ratio', '   0.07%)']","[' 8287795  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8287795  (Average', '  3.09 Max', ' 2150 Sum', ' 25624571)']","[' 8287367  (Average', '  3.08 Max', ' 2150 Sum', ' 25544063 Ratio', '  99.69%)']","[' 428      (Average', ' 188.10 Max', ' 351 Sum', '  80508 Ratio', '   0.31%)']", ,[' 54268   '],[' 3563    '],[' 54274   '],[' 30583   '],"[' 91745    (Atom=Atom', ' 27518 Body=Body', ' 16263 Other', ' 47964)']",[' Yes'],"[' 4069     (Eliminated', '    0 Frozen', ' 4069)']","[' 993      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.421382'],[' 0'], ,[' 194.825'],[' 0'],[' 3.66388'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.69845e+07'],[' 4.42935e+07'],[' 0'],[' 2.41543e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,swv20, ,[' 23263861'],"[' 9786862  (Analyzed', ' 9728593)']","[' 18700    (Average', ' 520.25 Last', ' 2339)']",[' 1655.5  '],"[' 579      (Average Length', ' 280.96 Splits', ' 0)']","[' 9728593  (Deleted', ' 9612285)']","[' 11       (Ratio', '   0.00%)']","[' 4358     (Ratio', '   0.04%)']","[' 9728593  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9728593  (Average', '  2.27 Max', ' 2011 Sum', ' 22116779)']","[' 9728063  (Average', '  2.26 Max', ' 2011 Sum', ' 21979872 Ratio', '  99.38%)']","[' 530      (Average', ' 258.32 Max', ' 413 Sum', ' 136907 Ratio', '   0.62%)']", ,[' 54046   '],[' 3512    '],[' 54101   '],[' 30351   '],"[' 91049    (Atom=Atom', ' 27337 Body=Body', ' 16212 Other', ' 47500)']",[' Yes'],"[' 4067     (Eliminated', '    0 Frozen', ' 4067)']","[' 788      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.660496'],[' 0'], ,[' 189.331'],[' 0'],[' 3.55624'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.7362e+07'],[' 3.27755e+07'],[' 0'],[' 2.04177e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
