Optimal Found Or Timeout,Instances,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1694,Completion Time for Window 2 is 3169,Completion Time for Window 3 is 4588,Completion Time for Window 4 is 6092,Completion Time for Window 5 is 7528
CPU Time     ,TA71,[' 198036836'],"[' 2701315  (Analyzed', ' 1393663)']","[' 4326     (Average', ' 322.16 Last', ' 9919)']",[' 10542.8 '],"[' 3385     (Average Length', ' 1561.36 Splits', ' 0)']","[' 1393663  (Deleted', ' 1332121)']","[' 63       (Ratio', '   0.00%)']","[' 26844    (Ratio', '   1.93%)']","[' 1393663  (Average Length', '   27.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1393663  (Average', ' 122.30 Max', ' 13892 Sum', ' 170451223)']","[' 1390692  (Average', ' 119.22 Max', ' 13892 Sum', ' 166146493 Ratio', '  97.47%)']","[' 2971     (Average', ' 1448.92 Max', ' 2288 Sum', ' 4304730 Ratio', '   2.53%)']", ,[' 397843  '],[' 22053   '],[' 398870  '],[' 235805  '],"[' 707411   (Atom=Atom', ' 215750 Body=Body', ' 122953 Other', ' 368708)']",[' Yes'],"[' 25080    (Eliminated', '    0 Frozen', ' 25080)']","[' 5091     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.6535'],[' 0'], ,[' 379.333'],[' 0'],[' 20.5377'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.6766e+08'],[' 6.32625e+08'],[' 0'],[' 2.0412e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA72,[' 205526050'],"[' 4148982  (Analyzed', ' 2417682)']","[' 6330     (Average', ' 381.94 Last', ' 17478)']",[' 10209.2 '],"[' 3247     (Average Length', ' 1510.80 Splits', ' 0)']","[' 2417682  (Deleted', ' 2354675)']","[' 34       (Ratio', '   0.00%)']","[' 25039    (Ratio', '   1.04%)']","[' 2417682  (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2417682  (Average', ' 74.44 Max', ' 13582 Sum', ' 179980101)']","[' 2414516  (Average', ' 72.48 Max', ' 13582 Sum', ' 175242350 Ratio', '  97.37%)']","[' 3166     (Average', ' 1496.45 Max', ' 2275 Sum', ' 4737751 Ratio', '   2.63%)']", ,[' 394579  '],[' 21860   '],[' 395495  '],[' 233760  '],"[' 701276   (Atom=Atom', ' 213898 Body=Body', ' 122760 Other', ' 364618)']",[' Yes'],"[' 24776    (Eliminated', '    0 Frozen', ' 24776)']","[' 5114     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.0795'],[' 0'], ,[' 311.78'],[' 0'],[' 12.5796'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.45367e+08'],[' 6.09164e+08'],[' 0'],[' 3.14768e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA73,[' 206086197'],"[' 3724720  (Analyzed', ' 2196056)']","[' 6052     (Average', ' 362.86 Last', ' 6311)']",[' 10707.7 '],"[' 3614     (Average Length', ' 1666.35 Splits', ' 0)']","[' 2196056  (Deleted', ' 2138460)']","[' 35       (Ratio', '   0.00%)']","[' 23402    (Ratio', '   1.07%)']","[' 2196056  (Average Length', '   27.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2196056  (Average', ' 80.43 Max', ' 13974 Sum', ' 176634563)']","[' 2192690  (Average', ' 78.11 Max', ' 13974 Sum', ' 171532509 Ratio', '  97.11%)']","[' 3366     (Average', ' 1515.76 Max', ' 2449 Sum', ' 5102054 Ratio', '   2.89%)']", ,[' 396219  '],[' 21935   '],[' 397409  '],[' 233460  '],"[' 700376   (Atom=Atom', ' 213523 Body=Body', ' 122835 Other', ' 364018)']",[' Yes'],"[' 25125    (Eliminated', '    0 Frozen', ' 25125)']","[' 4299     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6186'],[' 0'], ,[' 321.651'],[' 0'],[' 12.6244'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.65378e+08'],[' 6.29475e+08'],[' 0'],[' 3.15092e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA74,[' 242398879'],"[' 2010058  (Analyzed', ' 1221506)']","[' 4427     (Average', ' 275.92 Last', ' 37386)']",[' 9744.9  '],"[' 3300     (Average Length', ' 1534.09 Splits', ' 0)']","[' 1221506  (Deleted', ' 1144866)']","[' 73       (Ratio', '   0.01%)']","[' 39625    (Ratio', '   3.24%)']","[' 1221506  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1221506  (Average', ' 179.04 Max', ' 13146 Sum', ' 218701618)']","[' 1218512  (Average', ' 175.49 Max', ' 13146 Sum', ' 214360468 Ratio', '  98.02%)']","[' 2994     (Average', ' 1449.95 Max', ' 2248 Sum', ' 4341150 Ratio', '   1.98%)']", ,[' 393985  '],[' 21875   '],[' 394948  '],[' 232634  '],"[' 697898   (Atom=Atom', ' 212757 Body=Body', ' 122775 Other', ' 362366)']",[' Yes'],"[' 24838    (Eliminated', '    0 Frozen', ' 24838)']","[' 6430     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.073'],[' 0'], ,[' 342.975'],[' 0'],[' 15.4189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.24348e+08'],[' 7.7606e+08'],[' 0'],[' 3.11215e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA75,[' 227699289'],"[' 2033789  (Analyzed', ' 1308290)']","[' 4367     (Average', ' 299.59 Last', ' 17897)']",[' 10040.1 '],"[' 3227     (Average Length', ' 1500.84 Splits', ' 0)']","[' 1308290  (Deleted', ' 1241096)']","[' 53       (Ratio', '   0.00%)']","[' 35872    (Ratio', '   2.74%)']","[' 1308290  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1308290  (Average', ' 155.89 Max', ' 13438 Sum', ' 203943390)']","[' 1305107  (Average', ' 152.26 Max', ' 13438 Sum', ' 199203902 Ratio', '  97.68%)']","[' 3183     (Average', ' 1489.00 Max', ' 2262 Sum', ' 4739488 Ratio', '   2.32%)']", ,[' 396763  '],[' 22148   '],[' 397672  '],[' 235200  '],"[' 705596   (Atom=Atom', ' 215050 Body=Body', ' 123048 Other', ' 367498)']",[' Yes'],"[' 25057    (Eliminated', '    0 Frozen', ' 25057)']","[' 5967     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.8503'],[' 0'], ,[' 314.604'],[' 0'],[' 14.3417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.74279e+08'],[' 7.33763e+08'],[' 0'],[' 2.98684e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA76,[' 219868264'],"[' 2392608  (Analyzed', ' 1382345)']","[' 4617     (Average', ' 299.40 Last', ' 24790)']",[' 9408.1  '],"[' 3360     (Average Length', ' 1569.39 Splits', ' 0)']","[' 1382345  (Deleted', ' 1307777)']","[' 50       (Ratio', '   0.00%)']","[' 36686    (Ratio', '   2.65%)']","[' 1382345  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1382345  (Average', ' 142.75 Max', ' 12254 Sum', ' 197333311)']","[' 1379151  (Average', ' 139.13 Max', ' 12254 Sum', ' 192320543 Ratio', '  97.46%)']","[' 3194     (Average', ' 1569.43 Max', ' 2435 Sum', ' 5012768 Ratio', '   2.54%)']", ,[' 393981  '],[' 21680   '],[' 395012  '],[' 231923  '],"[' 695765   (Atom=Atom', ' 212241 Body=Body', ' 122580 Other', ' 360944)']",[' Yes'],"[' 24711    (Eliminated', '    0 Frozen', ' 24711)']","[' 7157     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.8468'],[' 0'], ,[' 299.659'],[' 0'],[' 13.6697'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.65561e+08'],[' 7.19281e+08'],[' 0'],[' 2.84076e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA77,[' 281662828'],"[' 3889067  (Analyzed', ' 2398627)']","[' 6885     (Average', ' 348.38 Last', ' 68118)']",[' 10423.3 '],"[' 3619     (Average Length', ' 1686.38 Splits', ' 0)']","[' 2398627  (Deleted', ' 2328636)']","[' 57       (Ratio', '   0.00%)']","[' 37786    (Ratio', '   1.58%)']","[' 2398627  (Average Length', '   24.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2398627  (Average', ' 105.35 Max', ' 12635 Sum', ' 252692992)']","[' 2395634  (Average', ' 103.48 Max', ' 12635 Sum', ' 248212784 Ratio', '  98.23%)']","[' 2993     (Average', ' 1496.90 Max', ' 2647 Sum', ' 4480208 Ratio', '   1.77%)']", ,[' 393996  '],[' 21798   '],[' 395217  '],[' 232702  '],"[' 698102   (Atom=Atom', ' 212902 Body=Body', ' 122698 Other', ' 362502)']",[' Yes'],"[' 25019    (Eliminated', '    0 Frozen', ' 25019)']","[' 6913     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.1024'],[' 0'], ,[' 445.674'],[' 0'],[' 19.9708'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.79516e+08'],[' 8.26263e+08'],[' 0'],[' 3.84814e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA78,[' 189147495'],"[' 3151653  (Analyzed', ' 2014738)']","[' 5744     (Average', ' 350.76 Last', ' 7345)']",[' 10304.0 '],"[' 3316     (Average Length', ' 1541.63 Splits', ' 0)']","[' 2014738  (Deleted', ' 1952205)']","[' 57       (Ratio', '   0.00%)']","[' 23024    (Ratio', '   1.14%)']","[' 2014738  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2014738  (Average', ' 81.39 Max', ' 13451 Sum', ' 163972344)']","[' 2011128  (Average', ' 78.78 Max', ' 13451 Sum', ' 158717607 Ratio', '  96.80%)']","[' 3610     (Average', ' 1455.61 Max', ' 2264 Sum', ' 5254737 Ratio', '   3.20%)']", ,[' 393660  '],[' 21732   '],[' 394648  '],[' 231215  '],"[' 693641   (Atom=Atom', ' 211481 Body=Body', ' 122632 Other', ' 359528)']",[' Yes'],"[' 24720    (Eliminated', '    0 Frozen', ' 24720)']","[' 4182     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.7215'],[' 0'], ,[' 326.61'],[' 0'],[' 14.3161'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.2823e+08'],[' 5.94998e+08'],[' 0'],[' 2.74206e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA79,[' 249478864'],"[' 2722357  (Analyzed', ' 1278187)']","[' 4594     (Average', ' 278.23 Last', ' 12506)']",[' 9700.3  '],"[' 3759     (Average Length', ' 1716.64 Splits', ' 0)']","[' 1278187  (Deleted', ' 1206196)']","[' 52       (Ratio', '   0.00%)']","[' 40767    (Ratio', '   3.19%)']","[' 1278187  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1278187  (Average', ' 174.23 Max', ' 11878 Sum', ' 222693814)']","[' 1275154  (Average', ' 170.37 Max', ' 11878 Sum', ' 217759846 Ratio', '  97.78%)']","[' 3033     (Average', ' 1626.76 Max', ' 2543 Sum', ' 4933968 Ratio', '   2.22%)']", ,[' 395373  '],[' 21813   '],[' 396689  '],[' 233593  '],"[' 700775   (Atom=Atom', ' 213778 Body=Body', ' 122713 Other', ' 364284)']",[' Yes'],"[' 25129    (Eliminated', '    0 Frozen', ' 25129)']","[' 8290     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.8229'],[' 0'], ,[' 315.015'],[' 0'],[' 17.2571'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.31599e+08'],[' 7.8214e+08'],[' 0'],[' 2.37498e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA80,[' 201056661'],"[' 2843161  (Analyzed', ' 1460846)']","[' 4954     (Average', ' 294.88 Last', ' 14323)']",[' 10452.8 '],"[' 2639     (Average Length', ' 1270.32 Splits', ' 0)']","[' 1460846  (Deleted', ' 1396384)']","[' 61       (Ratio', '   0.00%)']","[' 35698    (Ratio', '   2.44%)']","[' 1460846  (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1460846  (Average', ' 121.74 Max', ' 14244 Sum', ' 177849206)']","[' 1458622  (Average', ' 119.89 Max', ' 14244 Sum', ' 175138062 Ratio', '  98.48%)']","[' 2224     (Average', ' 1219.04 Max', ' 1716 Sum', ' 2711144 Ratio', '   1.52%)']", ,[' 395784  '],[' 21841   '],[' 396291  '],[' 235364  '],"[' 706088   (Atom=Atom', ' 215521 Body=Body', ' 122741 Other', ' 367826)']",[' Yes'],"[' 24348    (Eliminated', '    0 Frozen', ' 24348)']","[' 5887     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9714'],[' 0'], ,[' 259.452'],[' 0'],[' 13.6409'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.57216e+08'],[' 6.1553e+08'],[' 0'],[' 2.04024e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
