Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 is 647,Completion Time for Window 2 is 1329,Completion Time for Window 3 is 1719,Completion Time for Window 4 is 2414,Completion Time for Window 5 is 2975,Completion Time for Window 6 is 3530,Completion Time for Window 7 is 4271
Solving...,TA51, ,[' 1'],[' 865+'],[' 440'],"[' 365.360s (Solving', ' 363.13s 1st Model', ' 1.01s Unsat', ' 0.20s)']",[' 364.922s'], ,[' 20138643'],"[' 12573655 (Analyzed', ' 12554021)']","[' 25781    (Average', ' 486.95 Last', ' 70172)']",[' 1445.5  '],"[' 440      (Average Length', ' 214.84 Splits', ' 0)']","[' 12554021 (Deleted', ' 12368696)']","[' 18       (Ratio', '   0.00%)']","[' 3201     (Ratio', '   0.03%)']","[' 12554021 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12554021 (Average', '  1.53 Max', ' 2082 Sum', ' 19250377)']","[' 12553776 (Average', '  1.53 Max', ' 2082 Sum', ' 19204455 Ratio', '  99.76%)']","[' 245      (Average', ' 187.44 Max', ' 365 Sum', '  45922 Ratio', '   0.24%)']", ,[' 75881   '],[' 3364    '],[' 75558   '],[' 42410   '],"[' 127226   (Atom=Atom', ' 39794 Body=Body', ' 22439 Other', ' 64993)']",[' Yes'],"[' 3791     (Eliminated', '    0 Frozen', ' 3791)']","[' 495      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.475967'],[' 0'], ,[' 295.808'],[' 0'],[' 5.04764'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.96962e+07'],[' 3.0741e+07'],[' 0'],[' 4.77358e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA52, , ,[' 825'],[' 420'],"[' 366.669s (Solving', ' 364.33s 1st Model', ' 1.45s Unsat', ' 0.27s)']",[' 366.047s'], ,[' 19801784'],"[' 12704958 (Analyzed', ' 12684747)']","[' 26084    (Average', ' 486.30 Last', ' 59093)']",[' 1588.9  '],"[' 420      (Average Length', ' 205.08 Splits', ' 0)']","[' 12684747 (Deleted', ' 12506413)']","[' 23       (Ratio', '   0.00%)']","[' 2652     (Ratio', '   0.02%)']","[' 12684747 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12684747 (Average', '  1.49 Max', ' 2152 Sum', ' 18842595)']","[' 12684478 (Average', '  1.48 Max', ' 2152 Sum', ' 18805624 Ratio', '  99.80%)']","[' 269      (Average', ' 137.44 Max', ' 310 Sum', '  36971 Ratio', '   0.20%)']", ,[' 76700   '],[' 3425    '],[' 76358   '],[' 42767   '],"[' 128297   (Atom=Atom', ' 40090 Body=Body', ' 22500 Other', ' 65707)']",[' Yes'],"[' 3833     (Eliminated', '    0 Frozen', ' 3833)']","[' 516      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.580364'],[' 0'], ,[' 293.98'],[' 0'],[' 5.72471'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.74021e+07'],[' 2.82975e+07'],[' 0'],[' 3.77074e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA53, , ,[' 931'],[' 473'],"[' 254.981s (Solving', ' 252.53s 1st Model', ' 1.23s Unsat', ' 8.64s)']",[' 254.609s'], ,[' 12220529'],"[' 7580879  (Analyzed', ' 7559440)']","[' 17336    (Average', ' 436.05 Last', ' 23268)']",[' 1783.5  '],"[' 473      (Average Length', ' 229.53 Splits', ' 0)']","[' 7559440  (Deleted', ' 7435679)']","[' 31       (Ratio', '   0.00%)']","[' 1845     (Ratio', '   0.02%)']","[' 7559440  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7559440  (Average', '  1.49 Max', ' 2277 Sum', ' 11267516)']","[' 7559312  (Average', '  1.49 Max', ' 2277 Sum', ' 11249734 Ratio', '  99.84%)']","[' 128      (Average', ' 138.92 Max', ' 357 Sum', '  17782 Ratio', '   0.16%)']", ,[' 75697   '],[' 3334    '],[' 75403   '],[' 42983   '],"[' 128945   (Atom=Atom', ' 40397 Body=Body', ' 22409 Other', ' 66139)']",[' Yes'],"[' 3790     (Eliminated', '    0 Frozen', ' 3790)']","[' 151      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.575146'],[' 0'], ,[' 210.193'],[' 0'],[' 3.87542'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.90545e+07'],[' 2.14942e+07'],[' 0'],[' 3.16337e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA54, ,[' 1'],[' 913+'],[' 464'],"[' 311.951s (Solving', ' 309.74s 1st Model', ' 0.86s Unsat', ' 6.66s)']",[' 311.672s'], ,[' 13964504'],"[' 8604047  (Analyzed', ' 8578595)']","[' 19102    (Average', ' 449.09 Last', ' 20299)']",[' 1441.5  '],"[' 464      (Average Length', ' 224.55 Splits', ' 0)']","[' 8578595  (Deleted', ' 8430996)']","[' 36       (Ratio', '   0.00%)']","[' 2441     (Ratio', '   0.03%)']","[' 8578595  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8578595  (Average', '  1.54 Max', ' 2152 Sum', ' 13179774)']","[' 8578352  (Average', '  1.53 Max', ' 2152 Sum', ' 13127217 Ratio', '  99.60%)']","[' 243      (Average', ' 216.28 Max', ' 378 Sum', '  52557 Ratio', '   0.40%)']", ,[' 76467   '],[' 3376    '],[' 76165   '],[' 42822   '],"[' 128462   (Atom=Atom', ' 40194 Body=Body', ' 22451 Other', ' 65817)']",[' Yes'],"[' 3824     (Eliminated', '    0 Frozen', ' 3824)']","[' 284      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.469577'],[' 0'], ,[' 262.358'],[' 0'],[' 4.23161'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.38554e+07'],[' 2.37724e+07'],[' 0'],[' 4.16757e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA55, ,[' 1'],[' 873+'],[' 444'],"[' 333.028s (Solving', ' 331.07s 1st Model', ' 0.95s Unsat', ' 27.82s)']",[' 332.734s'], ,[' 20527749'],"[' 13346408 (Analyzed', ' 13323817)']","[' 27418    (Average', ' 485.95 Last', ' 4978)']",[' 1501.4  '],"[' 444      (Average Length', ' 215.55 Splits', ' 0)']","[' 13323817 (Deleted', ' 13124905)']","[' 34       (Ratio', '   0.00%)']","[' 2496     (Ratio', '   0.02%)']","[' 13323817 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13323817 (Average', '  1.47 Max', ' 2217 Sum', ' 19553271)']","[' 13323596 (Average', '  1.46 Max', ' 2217 Sum', ' 19516918 Ratio', '  99.81%)']","[' 221      (Average', ' 164.49 Max', ' 369 Sum', '  36353 Ratio', '   0.19%)']", ,[' 76344   '],[' 3414    '],[' 76023   '],[' 43380   '],"[' 130136   (Atom=Atom', ' 40714 Body=Body', ' 22489 Other', ' 66933)']",[' Yes'],"[' 3843     (Eliminated', '    0 Frozen', ' 3843)']","[' 335      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.464914'],[' 0'], ,[' 263.705'],[' 0'],[' 4.72733'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.83931e+07'],[' 2.74758e+07'],[' 0'],[' 3.97133e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA56, ,[' 1'],[' 837+'],[' 426'],"[' 212.692s (Solving', ' 210.66s 1st Model', ' 1.06s Unsat', ' 26.99s)']",[' 212.203s'], ,[' 16652278'],"[' 10679522 (Analyzed', ' 10653037)']","[' 22049    (Average', ' 483.15 Last', ' 7448)']",[' 1747.2  '],"[' 426      (Average Length', ' 208.20 Splits', ' 0)']","[' 10653037 (Deleted', ' 10515330)']","[' 64       (Ratio', '   0.00%)']","[' 2256     (Ratio', '   0.02%)']","[' 10653037 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10653037 (Average', '  1.47 Max', ' 2341 Sum', ' 15649059)']","[' 10652871 (Average', '  1.47 Max', ' 2341 Sum', ' 15640308 Ratio', '  99.94%)']","[' 166      (Average', ' 52.72 Max', ' 330 Sum', '   8751 Ratio', '   0.06%)']", ,[' 76547   '],[' 3412    '],[' 76214   '],[' 43592   '],"[' 130772   (Atom=Atom', ' 40928 Body=Body', ' 22487 Other', ' 67357)']",[' Yes'],"[' 3829     (Eliminated', '    0 Frozen', ' 3829)']","[' 156      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.519154'],[' 0'], ,[' 156.28'],[' 0'],[' 3.24415'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.85208e+07'],[' 2.36822e+07'],[' 0'],[' 2.099e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA57, , ,[' 785'],[' 400'],"[' 295.960s (Solving', ' 293.90s 1st Model', ' 1.26s Unsat', ' 50.28s)']",[' 295.156s'], ,[' 18693355'],"[' 12273978 (Analyzed', ' 12260664)']","[' 25289    (Average', ' 484.82 Last', ' 37927)']",[' 1687.1  '],"[' 400      (Average Length', ' 194.25 Splits', ' 0)']","[' 12260664 (Deleted', ' 12080072)']","[' 46       (Ratio', '   0.00%)']","[' 2059     (Ratio', '   0.02%)']","[' 12260664 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12260664 (Average', '  1.45 Max', ' 2245 Sum', ' 17757682)']","[' 12260421 (Average', '  1.45 Max', ' 2245 Sum', ' 17732838 Ratio', '  99.86%)']","[' 243      (Average', ' 102.24 Max', ' 300 Sum', '  24844 Ratio', '   0.14%)']", ,[' 75582   '],[' 3382    '],[' 75217   '],[' 42396   '],"[' 127184   (Atom=Atom', ' 39762 Body=Body', ' 22457 Other', ' 64965)']",[' Yes'],"[' 3767     (Eliminated', '    0 Frozen', ' 3767)']","[' 303      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.508298'],[' 0'], ,[' 230.018'],[' 0'],[' 4.22126'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.41537e+07'],[' 2.58009e+07'],[' 0'],[' 3.45592e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA58, ,[' 1'],[' 913+'],[' 464'],"[' 406.601s (Solving', ' 404.55s 1st Model', ' 1.09s Unsat', ' 41.32s)']",[' 406.391s'], ,[' 26045734'],"[' 18916109 (Analyzed', ' 18898001)']","[' 40213    (Average', ' 469.95 Last', ' 3397)']",[' 1478.6  '],"[' 464      (Average Length', ' 226.71 Splits', ' 0)']","[' 18898001 (Deleted', ' 18604810)']","[' 20       (Ratio', '   0.00%)']","[' 2004     (Ratio', '   0.01%)']","[' 18898001 (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18898001 (Average', '  1.32 Max', ' 2184 Sum', ' 24983493)']","[' 18897810 (Average', '  1.32 Max', ' 2184 Sum', ' 24943920 Ratio', '  99.84%)']","[' 191      (Average', ' 207.19 Max', ' 372 Sum', '  39573 Ratio', '   0.16%)']", ,[' 75910   '],[' 3356    '],[' 75610   '],[' 42550   '],"[' 127646   (Atom=Atom', ' 39942 Body=Body', ' 22431 Other', ' 65273)']",[' Yes'],"[' 3806     (Eliminated', '    0 Frozen', ' 3806)']","[' 230      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.477622'],[' 0'], ,[' 303.202'],[' 0'],[' 4.99722'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.52175e+07'],[' 3.22001e+07'],[' 0'],[' 4.36368e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA59, ,[' 1'],[' 825+'],[' 420'],"[' 314.738s (Solving', ' 312.57s 1st Model', ' 0.87s Unsat', ' 9.54s)']",[' 314.203s'], ,[' 18541441'],"[' 11644742 (Analyzed', ' 11619119)']","[' 24389    (Average', ' 476.41 Last', ' 35797)']",[' 1539.6  '],"[' 420      (Average Length', ' 205.62 Splits', ' 0)']","[' 11619119 (Deleted', ' 11440538)']","[' 26       (Ratio', '   0.00%)']","[' 2754     (Ratio', '   0.02%)']","[' 11619119 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11619119 (Average', '  1.52 Max', ' 2229 Sum', ' 17641508)']","[' 11618965 (Average', '  1.52 Max', ' 2229 Sum', ' 17616078 Ratio', '  99.86%)']","[' 154      (Average', ' 165.13 Max', ' 337 Sum', '  25430 Ratio', '   0.14%)']", ,[' 75837   '],[' 3356    '],[' 75497   '],[' 43046   '],"[' 129134   (Atom=Atom', ' 40438 Body=Body', ' 22431 Other', ' 66265)']",[' Yes'],"[' 3766     (Eliminated', '    0 Frozen', ' 3766)']","[' 391      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.462624'],[' 0'], ,[' 250.868'],[' 0'],[' 4.67074'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.42752e+07'],[' 2.82004e+07'],[' 0'],[' 3.94226e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA60, , ,[' 1163'],[' 589'],"[' 202.185s (Solving', ' 199.36s 1st Model', ' 1.28s Unsat', ' 14.72s)']",[' 201.813s'], ,[' 14370211'],"[' 8739892  (Analyzed', ' 8705829)']","[' 18263    (Average', ' 476.69 Last', ' 7628)']",[' 1765.7  '],"[' 589      (Average Length', ' 284.13 Splits', ' 0)']","[' 8705829  (Deleted', ' 8574258)']","[' 48       (Ratio', '   0.00%)']","[' 2210     (Ratio', '   0.03%)']","[' 8705829  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8705829  (Average', '  1.52 Max', ' 2246 Sum', ' 13255023)']","[' 8705571  (Average', '  1.52 Max', ' 2246 Sum', ' 13212296 Ratio', '  99.68%)']","[' 258      (Average', ' 165.61 Max', ' 434 Sum', '  42727 Ratio', '   0.32%)']", ,[' 76474   '],[' 3406    '],[' 76290   '],[' 43405   '],"[' 130211   (Atom=Atom', ' 40747 Body=Body', ' 22481 Other', ' 66983)']",[' Yes'],"[' 3972     (Eliminated', '    0 Frozen', ' 3972)']","[' 196      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.698314'],[' 0'], ,[' 151.801'],[' 0'],[' 2.8405'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.56254e+07'],[' 2.53241e+07'],[' 0'],[' 2.28686e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
