Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 is 326,Completion Time for Window 2 is 714,Completion Time for Window 3 is 914,Completion Time for Window 4 is 1239,Completion Time for Window 5 is 1590,Completion Time for Window 6 is 1841,Completion Time for Window 7 is 2249,Completion Time for Window 8 is 2544
Solving...,TA31, , ,[' 277'],[' 147'],"[' 0.993s (Solving', ' 0.66s 1st Model', ' 0.12s Unsat', ' 0.16s)']",[' 0.953s'], ,[' 108320  '],"[' 9271     (Analyzed', ' 8358)']","[' 53       (Average', ' 157.70 Last', ' 104)']",[' 461.8   '],"[' 147      (Average Length', ' 69.64 Splits', ' 0)']","[' 8358     (Deleted', ' 3519)']","[' 68       (Ratio', '   0.81%)']","[' 395      (Ratio', '   4.73%)']","[' 8358     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8358     (Average', '  6.56 Max', ' 708 Sum', '  54837)']","[' 8254     (Average', '  6.26 Max', ' 708 Sum', '  52337 Ratio', '  95.44%)']","[' 104      (Average', ' 24.04 Max', ' 114 Sum', '   2500 Ratio', '   4.56%)']", ,[' 29392   '],[' 1247    '],[' 29080   '],[' 15321   '],"[' 45959    (Atom=Atom', ' 14522 Body=Body', ' 8192 Other', ' 23245)']",[' Yes'],"[' 1385     (Eliminated', '    0 Frozen', ' 1385)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0941786'],[' 0'], ,[' 0.236505'],[' 0'],[' 0.0073357'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 881853'],[' 809864'],[' 0'],[' 2.32619e+07'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA32, , ,[' 287'],[' 152'],"[' 62.292s (Solving', ' 61.68s 1st Model', ' 0.14s Unsat', ' 0.98s)']",[' 62.016s'], ,[' 3050724 '],"[' 1781881  (Analyzed', ' 1780743)']","[' 4321     (Average', ' 412.11 Last', ' 16164)']",[' 554.9   '],"[' 152      (Average Length', ' 70.58 Splits', ' 0)']","[' 1780743  (Deleted', ' 1732614)']","[' 66       (Ratio', '   0.00%)']","[' 871      (Ratio', '   0.05%)']","[' 1780743  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1780743  (Average', '  1.64 Max', ' 716 Sum', ' 2923619)']","[' 1780655  (Average', '  1.64 Max', ' 716 Sum', ' 2922981 Ratio', '  99.98%)']","[' 88       (Average', '  7.25 Max', ' 117 Sum', '    638 Ratio', '   0.02%)']", ,[' 30258   '],[' 1288    '],[' 29950   '],[' 15755   '],"[' 47261    (Atom=Atom', ' 14915 Body=Body', ' 8233 Other', ' 24113)']",[' Yes'],"[' 1430     (Eliminated', '    0 Frozen', ' 1430)']","[' 18       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.135476'],[' 0'], ,[' 49.7527'],[' 0'],[' 0.970609'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.50197e+06'],[' 5.52613e+06'],[' 0'],[' 7.72868e+09'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA33, , ,[' 277'],[' 147'],"[' 61.244s (Solving', ' 60.62s 1st Model', ' 0.08s Unsat', ' 0.02s)']",[' 60.734s'], ,[' 3448924 '],"[' 2494612  (Analyzed', ' 2493513)']","[' 5131     (Average', ' 485.97 Last', ' 3959)']",[' 525.5   '],"[' 147      (Average Length', ' 67.82 Splits', ' 0)']","[' 2493513  (Deleted', ' 2454567)']","[' 47       (Ratio', '   0.00%)']","[' 510      (Ratio', '   0.02%)']","[' 2493513  (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2493513  (Average', '  1.33 Max', ' 688 Sum', ' 3311870)']","[' 2493435  (Average', '  1.33 Max', ' 688 Sum', ' 3310590 Ratio', '  99.96%)']","[' 78       (Average', ' 16.41 Max', '  74 Sum', '   1280 Ratio', '   0.04%)']", ,[' 29597   '],[' 1254    '],[' 29283   '],[' 15396   '],"[' 46184    (Atom=Atom', ' 14590 Body=Body', ' 8199 Other', ' 23395)']",[' Yes'],"[' 1390     (Eliminated', '    0 Frozen', ' 1390)']","[' 61       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.127242'],[' 0'], ,[' 46.4606'],[' 0'],[' 1.13382'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.75228e+06'],[' 4.10678e+06'],[' 0'],[' 6.34114e+09'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA34, , ,[' 297'],[' 157'],"[' 1.081s (Solving', ' 0.59s 1st Model', ' 0.11s Unsat', ' 0.11s)']",[' 1.047s'], ,[' 124311  '],"[' 8630     (Analyzed', ' 7186)']","[' 56       (Average', ' 128.32 Last', ' 176)']",[' 491.9   '],"[' 157      (Average Length', ' 73.15 Splits', ' 0)']","[' 7186     (Deleted', ' 0)']","[' 57       (Ratio', '   0.79%)']","[' 375      (Ratio', '   5.22%)']","[' 7186     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7186     (Average', '  8.50 Max', ' 683 Sum', '  61070)']","[' 7094     (Average', '  8.34 Max', ' 683 Sum', '  59935 Ratio', '  98.14%)']","[' 92       (Average', ' 12.34 Max', ' 101 Sum', '   1135 Ratio', '   1.86%)']", ,[' 29246   '],[' 1246    '],[' 28942   '],[' 15212   '],"[' 45632    (Atom=Atom', ' 14414 Body=Body', ' 8191 Other', ' 23027)']",[' Yes'],"[' 1392     (Eliminated', '    0 Frozen', ' 1392)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.108741'],[' 0'], ,[' 0.223759'],[' 0'],[' 0.0074584'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06111e+06'],[' 983763'],[' 0'],[' 1.43739e+07'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA35, , ,[' 349'],[' 183'],"[' 11.090s (Solving', ' 10.61s 1st Model', ' 0.12s Unsat', ' 9.99s)']",[' 11.031s'], ,[' 456221  '],"[' 249431   (Analyzed', ' 247907)']","[' 753      (Average', ' 329.23 Last', ' 264)']",[' 523.9   '],"[' 183      (Average Length', ' 85.72 Splits', ' 0)']","[' 247907   (Deleted', ' 237949)']","[' 81       (Ratio', '   0.03%)']","[' 734      (Ratio', '   0.30%)']","[' 247907   (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 247907   (Average', '  1.51 Max', ' 715 Sum', ' 374189)']","[' 247807   (Average', '  1.51 Max', ' 715 Sum', ' 373227 Ratio', '  99.74%)']","[' 100      (Average', '  9.62 Max', ' 112 Sum', '    962 Ratio', '   0.26%)']", ,[' 29513   '],[' 1266    '],[' 29234   '],[' 15560   '],"[' 46676    (Atom=Atom', ' 14742 Body=Body', ' 8211 Other', ' 23723)']",[' Yes'],"[' 1437     (Eliminated', '    0 Frozen', ' 1437)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.125718'],[' 0'], ,[' 8.67539'],[' 0'],[' 0.163424'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.10237e+06'],[' 1.47157e+06'],[' 0'],[' 1.48085e+09'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA36, , ,[' 235'],[' 126'],"[' 1.172s (Solving', ' 0.74s 1st Model', ' 0.08s Unsat', ' 0.09s)']",[' 1.141s'], ,[' 114775  '],"[' 9520     (Analyzed', ' 6765)']","[' 60       (Average', ' 112.75 Last', ' 468)']",[' 592.6   '],"[' 126      (Average Length', ' 57.83 Splits', ' 0)']","[' 6765     (Deleted', ' 1910)']","[' 57       (Ratio', '   0.84%)']","[' 316      (Ratio', '   4.67%)']","[' 6765     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6765     (Average', '  7.27 Max', ' 724 Sum', '  49167)']","[' 6692     (Average', '  7.23 Max', ' 724 Sum', '  48916 Ratio', '  99.49%)']","[' 73       (Average', '  3.44 Max', '  27 Sum', '    251 Ratio', '   0.51%)']", ,[' 29364   '],[' 1226    '],[' 29031   '],[' 15321   '],"[' 45959    (Atom=Atom', ' 14543 Body=Body', ' 8171 Other', ' 23245)']",[' Yes'],"[' 1343     (Eliminated', '    0 Frozen', ' 1343)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.11651'],[' 0'], ,[' 0.214766'],[' 0'],[' 0.0078534'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10595e+06'],[' 1.03389e+06'],[' 0'],[' 8.6828e+06'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA37, , ,[' 339'],[' 178'],"[' 1.156s (Solving', ' 0.64s 1st Model', ' 0.15s Unsat', ' 0.09s)']",[' 1.125s'], ,[' 143793  '],"[' 5237     (Analyzed', ' 3925)']","[' 29       (Average', ' 135.34 Last', ' 128)']",[' 494.4   '],"[' 178      (Average Length', ' 84.99 Splits', ' 0)']","[' 3925     (Deleted', ' 0)']","[' 52       (Ratio', '   1.32%)']","[' 245      (Ratio', '   6.24%)']","[' 3925     (Average Length', '    5.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3925     (Average', ' 18.73 Max', ' 683 Sum', '  73497)']","[' 3855     (Average', ' 18.53 Max', ' 683 Sum', '  72747 Ratio', '  98.98%)']","[' 70       (Average', ' 10.71 Max', ' 109 Sum', '    750 Ratio', '   1.02%)']", ,[' 29085   '],[' 1245    '],[' 28804   '],[' 15210   '],"[' 45626    (Atom=Atom', ' 14413 Body=Body', ' 8190 Other', ' 23023)']",[' Yes'],"[' 1414     (Eliminated', '    0 Frozen', ' 1414)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.116443'],[' 0'], ,[' 0.215722'],[' 0'],[' 0.0086731'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13505e+06'],[' 1.05943e+06'],[' 0'],[' 1.20449e+07'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA38, , ,[' 347'],[' 182'],"[' 1.854s (Solving', ' 1.31s 1st Model', ' 0.18s Unsat', ' 0.28s)']",[' 1.719s'], ,[' 172467  '],"[' 18128    (Analyzed', ' 14934)']","[' 110      (Average', ' 135.76 Last', ' 251)']",[' 616.9   '],"[' 182      (Average Length', ' 86.16 Splits', ' 0)']","[' 14934    (Deleted', ' 8661)']","[' 67       (Ratio', '   0.45%)']","[' 381      (Ratio', '   2.55%)']","[' 14934    (Average Length', '    7.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14934    (Average', '  5.15 Max', ' 777 Sum', '  76839)']","[' 14857    (Average', '  5.13 Max', ' 777 Sum', '  76672 Ratio', '  99.78%)']","[' 77       (Average', '  2.17 Max', '  10 Sum', '    167 Ratio', '   0.22%)']", ,[' 29566   '],[' 1283    '],[' 29288   '],[' 15800   '],"[' 47396    (Atom=Atom', ' 14965 Body=Body', ' 8228 Other', ' 24203)']",[' Yes'],"[' 1455     (Eliminated', '    0 Frozen', ' 1455)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.150346'],[' 0'], ,[' 0.431604'],[' 0'],[' 0.0146169'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45629e+06'],[' 1.34592e+06'],[' 0'],[' 3.23546e+07'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA39, , ,[' 211'],[' 114'],"[' 66.868s (Solving', ' 66.42s 1st Model', ' 0.03s Unsat', ' 6.09s)']",[' 66.500s'], ,[' 2982602 '],"[' 2225233  (Analyzed', ' 2223265)']","[' 5565     (Average', ' 399.51 Last', ' 61)']",[' 470.0   '],"[' 114      (Average Length', ' 52.89 Splits', ' 0)']","[' 2223265  (Deleted', ' 2180008)']","[' 84       (Ratio', '   0.00%)']","[' 917      (Ratio', '   0.04%)']","[' 2223265  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2223265  (Average', '  1.29 Max', ' 632 Sum', ' 2879018)']","[' 2223141  (Average', '  1.29 Max', ' 632 Sum', ' 2878027 Ratio', '  99.97%)']","[' 124      (Average', '  7.99 Max', '  83 Sum', '    991 Ratio', '   0.03%)']", ,[' 29714   '],[' 1290    '],[' 29369   '],[' 15537   '],"[' 46607    (Atom=Atom', ' 14695 Body=Body', ' 8235 Other', ' 23677)']",[' Yes'],"[' 1395     (Eliminated', '    0 Frozen', ' 1395)']","[' 51       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0934229'],[' 0'], ,[' 53.0086'],[' 0'],[' 1.04416'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.66308e+06'],[' 3.64865e+06'],[' 0'],[' 8.09146e+09'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA40, , ,[' 335'],[' 176'],"[' 1.443s (Solving', ' 0.93s 1st Model', ' 0.12s Unsat', ' 0.17s)']",[' 1.453s'], ,[' 133837  '],"[' 14966    (Analyzed', ' 12040)']","[' 94       (Average', ' 128.09 Last', ' 201)']",[' 501.5   '],"[' 176      (Average Length', ' 83.92 Splits', ' 0)']","[' 12040    (Deleted', ' 5897)']","[' 54       (Ratio', '   0.45%)']","[' 369      (Ratio', '   3.06%)']","[' 12040    (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12040    (Average', '  5.08 Max', ' 700 Sum', '  61157)']","[' 11969    (Average', '  5.02 Max', ' 700 Sum', '  60484 Ratio', '  98.90%)']","[' 71       (Average', '  9.48 Max', ' 140 Sum', '    673 Ratio', '   1.10%)']", ,[' 29117   '],[' 1228    '],[' 28833   '],[' 15287   '],"[' 45857    (Atom=Atom', ' 14507 Body=Body', ' 8173 Other', ' 23177)']",[' Yes'],"[' 1394     (Eliminated', '    0 Frozen', ' 1394)']","[' 30       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.135238'],[' 0'], ,[' 0.309149'],[' 0'],[' 0.0101217'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12502e+06'],[' 1.03134e+06'],[' 0'],[' 1.98193e+07'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
