Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 is 941,Completion Time for Window 2 is 1671,Completion Time for Window 3 is 2206,Completion Time for Window 4 is 2600,Completion Time for Window 5 is 3122,Completion Time for Window 6 is 3863,Completion Time for Window 7 is 4719,Completion Time for Window 8 is 5456
Solving...,swv11, ,[' 1'],[' 451+'],[' 234'],"[' 464.398s (Solving', ' 463.06s 1st Model', ' 0.74s Unsat', ' 41.21s)']",[' 460.859s'], ,[' 28310942'],"[' 16125528 (Analyzed', ' 16111983)']","[' 31833    (Average', ' 506.14 Last', ' 37760)']",[' 1382.6  '],"[' 234      (Average Length', ' 112.29 Splits', ' 0)']","[' 16111983 (Deleted', ' 15904058)']","[' 22       (Ratio', '   0.00%)']","[' 4686     (Ratio', '   0.03%)']","[' 16111983 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16111983 (Average', '  1.70 Max', ' 1748 Sum', ' 27395733)']","[' 16111640 (Average', '  1.70 Max', ' 1748 Sum', ' 27368357 Ratio', '  99.90%)']","[' 343      (Average', ' 79.81 Max', ' 168 Sum', '  27376 Ratio', '   0.10%)']", ,[' 68976   '],[' 3084    '],[' 68701   '],[' 37278   '],"[' 111830   (Atom=Atom', ' 34692 Body=Body', ' 15784 Other', ' 61354)']",[' Yes'],"[' 3309     (Eliminated', '    0 Frozen', ' 3309)']","[' 647      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.328533'],[' 0'], ,[' 376.206'],[' 0'],[' 5.86198'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.87705e+07'],[' 4.15318e+07'],[' 0'],[' 6.28105e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv12, ,[' 1'],[' 339+'],[' 178'],"[' 482.275s (Solving', ' 481.15s 1st Model', ' 0.42s Unsat', ' 0.00s)']",[' 479.047s'], ,[' 33305108'],"[' 21057665 (Analyzed', ' 21047982)']","[' 41382    (Average', ' 508.63 Last', ' 137320)']",[' 1267.8  '],"[' 178      (Average Length', ' 84.60 Splits', ' 0)']","[' 21047982 (Deleted', ' 20782243)']","[' 2        (Ratio', '   0.00%)']","[' 4346     (Ratio', '   0.02%)']","[' 21047982 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21047982 (Average', '  1.54 Max', ' 1758 Sum', ' 32346699)']","[' 21047733 (Average', '  1.54 Max', ' 1758 Sum', ' 32331110 Ratio', '  99.95%)']","[' 249      (Average', ' 62.61 Max', ' 141 Sum', '  15589 Ratio', '   0.05%)']", ,[' 68360   '],[' 3004    '],[' 68029   '],[' 36626   '],"[' 109874   (Atom=Atom', ' 34120 Body=Body', ' 15704 Other', ' 60050)']",[' Yes'],"[' 3173     (Eliminated', '    0 Frozen', ' 3173)']","[' 632      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.253807'],[' 0'], ,[' 368.292'],[' 0'],[' 5.75166'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.79831e+07'],[' 3.99153e+07'],[' 0'],[' 5.76166e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv13, ,[' 1'],[' 253+'],[' 135'],"[' 482.005s (Solving', ' 481.31s 1st Model', ' 0.58s Unsat', ' 0.00s)']",[' 479.906s'], ,[' 36334284'],"[' 21229005 (Analyzed', ' 21220279)']","[' 40924    (Average', ' 518.53 Last', ' 85723)']",[' 1271.9  '],"[' 135      (Average Length', ' 63.06 Splits', ' 0)']","[' 21220279 (Deleted', ' 20979810)']","[' 8        (Ratio', '   0.00%)']","[' 5237     (Ratio', '   0.02%)']","[' 21220279 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21220279 (Average', '  1.67 Max', ' 1807 Sum', ' 35339634)']","[' 21220039 (Average', '  1.66 Max', ' 1807 Sum', ' 35328339 Ratio', '  99.97%)']","[' 240      (Average', ' 47.06 Max', ' 107 Sum', '  11295 Ratio', '   0.03%)']", ,[' 68499   '],[' 3050    '],[' 68125   '],[' 36639   '],"[' 109913   (Atom=Atom', ' 34087 Body=Body', ' 15750 Other', ' 60076)']",[' Yes'],"[' 3176     (Eliminated', '    0 Frozen', ' 3176)']","[' 452      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.22175'],[' 0'], ,[' 370.513'],[' 0'],[' 5.93931'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03138e+08'],[' 5.29417e+07'],[' 0'],[' 5.97136e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv14, ,[' 1'],[' 329+'],[' 173'],"[' 388.389s (Solving', ' 386.85s 1st Model', ' 0.85s Unsat', ' 25.13s)']",[' 386.484s'], ,[' 32650873'],"[' 17908370 (Analyzed', ' 17899693)']","[' 33526    (Average', ' 533.90 Last', ' 6732)']",[' 1642.5  '],"[' 173      (Average Length', ' 80.98 Splits', ' 0)']","[' 17899693 (Deleted', ' 17700326)']","[' 33       (Ratio', '   0.00%)']","[' 5021     (Ratio', '   0.03%)']","[' 17899693 (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17899693 (Average', '  1.77 Max', ' 2006 Sum', ' 31682839)']","[' 17899503 (Average', '  1.77 Max', ' 2006 Sum', ' 31674992 Ratio', '  99.98%)']","[' 190      (Average', ' 41.30 Max', ' 116 Sum', '   7847 Ratio', '   0.02%)']", ,[' 69202   '],[' 3046    '],[' 68866   '],[' 38085   '],"[' 114251   (Atom=Atom', ' 35537 Body=Body', ' 15746 Other', ' 62968)']",[' Yes'],"[' 3210     (Eliminated', '    0 Frozen', ' 3210)']","[' 375      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.332743'],[' 0'], ,[' 293.57'],[' 0'],[' 4.85495'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.84547e+07'],[' 4.56584e+07'],[' 0'],[' 4.51393e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv15, ,[' 1'],[' 313+'],[' 165'],"[' 434.304s (Solving', ' 433.17s 1st Model', ' 0.58s Unsat', ' 11.91s)']",[' 433.234s'], ,[' 33156562'],"[' 18072231 (Analyzed', ' 18064653)']","[' 35192    (Average', ' 513.32 Last', ' 33804)']",[' 1434.0  '],"[' 165      (Average Length', ' 77.38 Splits', ' 0)']","[' 18064653 (Deleted', ' 17857217)']","[' 18       (Ratio', '   0.00%)']","[' 5462     (Ratio', '   0.03%)']","[' 18064653 (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18064653 (Average', '  1.78 Max', ' 1821 Sum', ' 32190957)']","[' 18064311 (Average', '  1.78 Max', ' 1821 Sum', ' 32173010 Ratio', '  99.94%)']","[' 342      (Average', ' 52.48 Max', ' 109 Sum', '  17947 Ratio', '   0.06%)']", ,[' 69340   '],[' 3126    '],[' 68996   '],[' 37761   '],"[' 113279   (Atom=Atom', ' 35133 Body=Body', ' 15826 Other', ' 62320)']",[' Yes'],"[' 3282     (Eliminated', '    0 Frozen', ' 3282)']","[' 596      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.267908'],[' 0'], ,[' 338.815'],[' 0'],[' 5.5606'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.27429e+07'],[' 5.04701e+07'],[' 0'],[' 5.95345e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv16, , ,[' 199'],[' 108'],"[' 247.282s (Solving', ' 246.62s 1st Model', ' 0.15s Unsat', ' 65.91s)']",[' 246.797s'], ,[' 17692562'],"[' 13710478 (Analyzed', ' 13694472)']","[' 29195    (Average', ' 469.07 Last', ' 29850)']",[' 1104.4  '],"[' 108      (Average Length', ' 48.63 Splits', ' 0)']","[' 13694472 (Deleted', ' 13508063)']","[' 67       (Ratio', '   0.00%)']","[' 1806     (Ratio', '   0.01%)']","[' 13694472 (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13694472 (Average', '  1.26 Max', ' 1301 Sum', ' 17192777)']","[' 13694363 (Average', '  1.26 Max', ' 1301 Sum', ' 17190893 Ratio', '  99.99%)']","[' 109      (Average', ' 17.28 Max', '  67 Sum', '   1884 Ratio', '   0.01%)']", ,[' 49826   '],[' 2013    '],[' 49425   '],[' 28689   '],"[' 86063    (Atom=Atom', ' 27174 Body=Body', ' 14713 Other', ' 44176)']",[' Yes'],"[' 2112     (Eliminated', '    0 Frozen', ' 2112)']","[' 41       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.161746'],[' 0'], ,[' 175.657'],[' 0'],[' 3.70814'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.7458e+07'],[' 1.72728e+07'],[' 0'],[' 2.65406e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,swv17, , ,[' 263'],[' 140'],"[' 213.016s (Solving', ' 212.33s 1st Model', ' 0.22s Unsat', ' 31.58s)']",[' 212.391s'], ,[' 12300358'],"[' 8554962  (Analyzed', ' 8545788)']","[' 19654    (Average', ' 434.81 Last', ' 9211)']",[' 936.6   '],"[' 140      (Average Length', ' 65.56 Splits', ' 0)']","[' 8545788  (Deleted', ' 8424412)']","[' 67       (Ratio', '   0.00%)']","[' 2188     (Ratio', '   0.03%)']","[' 8545788  (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8545788  (Average', '  1.39 Max', ' 1300 Sum', ' 11909641)']","[' 8545665  (Average', '  1.39 Max', ' 1300 Sum', ' 11905078 Ratio', '  99.96%)']","[' 123      (Average', ' 37.10 Max', '  92 Sum', '   4563 Ratio', '   0.04%)']", ,[' 50085   '],[' 2031    '],[' 49716   '],[' 28795   '],"[' 86381    (Atom=Atom', ' 27262 Body=Body', ' 14731 Other', ' 44388)']",[' Yes'],"[' 2162     (Eliminated', '    0 Frozen', ' 2162)']","[' 102      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.162349'],[' 0'], ,[' 164.024'],[' 0'],[' 2.80395'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.49341e+07'],[' 1.59125e+07'],[' 0'],[' 2.369e+10'],[' 0'],[' 0'],[' 478 '],[' 996 '],[' 1375 '],[' 1858 '],[' 2421 '],[' 2734 '],[' 3311 '],[' 3638 ']
Solving...,swv18, , ,[' 249'],[' 133'],"[' 211.963s (Solving', ' 211.26s 1st Model', ' 0.14s Unsat', ' 30.51s)']",[' 211.391s'], ,[' 12090442'],"[' 9099404  (Analyzed', ' 9085733)']","[' 20164    (Average', ' 450.59 Last', ' 28512)']",[' 1018.5  '],"[' 133      (Average Length', ' 61.67 Splits', ' 0)']","[' 9085733  (Deleted', ' 8952225)']","[' 61       (Ratio', '   0.00%)']","[' 1719     (Ratio', '   0.02%)']","[' 9085733  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9085733  (Average', '  1.29 Max', ' 1298 Sum', ' 11721610)']","[' 9085615  (Average', '  1.29 Max', ' 1298 Sum', ' 11718144 Ratio', '  99.97%)']","[' 118      (Average', ' 29.37 Max', '  99 Sum', '   3466 Ratio', '   0.03%)']", ,[' 50732   '],[' 2045    '],[' 50356   '],[' 28876   '],"[' 86624    (Atom=Atom', ' 27329 Body=Body', ' 14745 Other', ' 44550)']",[' Yes'],"[' 2169     (Eliminated', '    0 Frozen', ' 2169)']","[' 23       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.162676'],[' 0'], ,[' 160.767'],[' 0'],[' 3.30323'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38814e+07'],[' 1.36472e+07'],[' 0'],[' 2.49475e+10'],[' 0'],[' 0'],[' 579 '],[' 1137 '],[' 1525 '],[' 2178 '],[' 2599 '],[' 2985 '],[' 3345 '],[' 3737 ']
Solving...,swv19, ,[' 1'],[' 211+'],[' 114'],"[' 195.005s (Solving', ' 194.35s 1st Model', ' 0.17s Unsat', ' 13.78s)']",[' 194.578s'], ,[' 19523585'],"[' 13561666 (Analyzed', ' 13548375)']","[' 26948    (Average', ' 502.76 Last', ' 37718)']",[' 928.4   '],"[' 114      (Average Length', ' 52.44 Splits', ' 0)']","[' 13548375 (Deleted', ' 13369746)']","[' 74       (Ratio', '   0.00%)']","[' 2048     (Ratio', '   0.02%)']","[' 13548375 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13548375 (Average', '  1.40 Max', ' 1313 Sum', ' 18983011)']","[' 13548252 (Average', '  1.40 Max', ' 1313 Sum', ' 18980586 Ratio', '  99.99%)']","[' 123      (Average', ' 19.72 Max', '  89 Sum', '   2425 Ratio', '   0.01%)']", ,[' 50345   '],[' 2050    '],[' 49950   '],[' 28700   '],"[' 86096    (Atom=Atom', ' 27148 Body=Body', ' 14750 Other', ' 44198)']",[' Yes'],"[' 2155     (Eliminated', '    0 Frozen', ' 2155)']","[' 94       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.144772'],[' 0'], ,[' 127.827'],[' 0'],[' 2.51284'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.17385e+07'],[' 2.09309e+07'],[' 0'],[' 1.86421e+10'],[' 0'],[' 0'],[' 719 '],[' 1080 '],[' 1574 '],[' 2331 '],[' 2750 '],[' 3090 '],[' 3484 '],[' 4101 ']
Solving...,swv20, , ,[' 259'],[' 138'],"[' 118.394s (Solving', ' 117.64s 1st Model', ' 0.10s Unsat', ' 56.33s)']",[' 118.219s'], ,[' 4109349 '],"[' 3136949  (Analyzed', ' 3053255)']","[' 7816     (Average', ' 390.64 Last', ' 398)']",[' 913.0   '],"[' 138      (Average Length', ' 64.80 Splits', ' 0)']","[' 3053255  (Deleted', ' 2998911)']","[' 110      (Ratio', '   0.00%)']","[' 1672     (Ratio', '   0.05%)']","[' 3053255  (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3053255  (Average', '  1.26 Max', ' 1202 Sum', ' 3841857)']","[' 3053146  (Average', '  1.26 Max', ' 1202 Sum', ' 3841686 Ratio', ' 100.00%)']","[' 109      (Average', '  1.57 Max', '  63 Sum', '    171 Ratio', '   0.00%)']", ,[' 49654   '],[' 1974    '],[' 49283   '],[' 28336   '],"[' 85004    (Atom=Atom', ' 26860 Body=Body', ' 14674 Other', ' 43470)']",[' Yes'],"[' 2103     (Eliminated', '    0 Frozen', ' 2103)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.180751'],[' 0'], ,[' 98.5935'],[' 0'],[' 1.75643'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23522e+07'],[' 5.33399e+06'],[' 0'],[' 1.64937e+10'],[' 0'],[' 0'],[' 500 '],[' 992 '],[' 1409 '],[' 1800 '],[' 2242 '],[' 2627 '],[' 3239 '],[' 3570 ']
