Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 
Solving...,TA61, , ,[' 1223'],[' 620'],"[' 276.579s (Solving', ' 272.85s 1st Model', ' 2.11s Unsat', ' 25.99s)']",[' 275.313s'], ,[' 12405354'],"[' 7665406  (Analyzed', ' 7629250)']","[' 16651    (Average', ' 458.19 Last', ' 11015)']",[' 1947.2  '],"[' 620      (Average Length', ' 303.70 Splits', ' 0)']","[' 7629250  (Deleted', ' 7499630)']","[' 54       (Ratio', '   0.00%)']","[' 1993     (Ratio', '   0.03%)']","[' 7629250  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7629250  (Average', '  1.47 Max', ' 2655 Sum', ' 11193415)']","[' 7629083  (Average', '  1.46 Max', ' 2655 Sum', ' 11166450 Ratio', '  99.76%)']","[' 167      (Average', ' 161.47 Max', ' 522 Sum', '  26965 Ratio', '   0.24%)']", ,[' 99259   '],[' 4014    '],[' 98859   '],[' 56370   '],"[' 169106   (Atom=Atom', ' 53354 Body=Body', ' 29464 Other', ' 86288)']",[' Yes'],"[' 4614     (Eliminated', '    0 Frozen', ' 4614)']","[' 184      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.98098'],[' 0'], ,[' 217.278'],[' 0'],[' 3.9387'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.44553e+07'],[' 2.65138e+07'],[' 0'],[' 2.63064e+10'],[' 0'],[' 0'],[' 527 '],[' 1127 '],[' 1693 '],[' 2298 '],[' 2645 '],[' 3429 '],[' 3858 '],[' 4377 ']
Solving...,TA62, , ,[' 1373'],[' 695'],"[' 293.644s (Solving', ' 289.63s 1st Model', ' 2.20s Unsat', ' 41.90s)']",[' 293.000s'], ,[' 17667521'],"[' 9653582  (Analyzed', ' 9610874)']","[' 19866    (Average', ' 483.79 Last', ' 122595)']",[' 1935.3  '],"[' 695      (Average Length', ' 336.23 Splits', ' 0)']","[' 9610874  (Deleted', ' 9461842)']","[' 55       (Ratio', '   0.00%)']","[' 2766     (Ratio', '   0.03%)']","[' 9610874  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9610874  (Average', '  1.69 Max', ' 2667 Sum', ' 16281756)']","[' 9610637  (Average', '  1.69 Max', ' 2667 Sum', ' 16241102 Ratio', '  99.75%)']","[' 237      (Average', ' 171.54 Max', ' 534 Sum', '  40654 Ratio', '   0.25%)']", ,[' 100742  '],[' 4100    '],[' 100415  '],[' 56819   '],"[' 170453   (Atom=Atom', ' 53717 Body=Body', ' 29550 Other', ' 87186)']",[' Yes'],"[' 4773     (Eliminated', '    0 Frozen', ' 4773)']","[' 357      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09871'],[' 0'], ,[' 224.106'],[' 0'],[' 4.62722'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.04057e+07'],[' 3.76057e+07'],[' 0'],[' 2.5964e+10'],[' 0'],[' 0'],[' 662 '],[' 1111 '],[' 1696 '],[' 2038 '],[' 2691 '],[' 3126 '],[' 3702 '],[' 4182 ']
Solving...,TA63, , ,[' 1203'],[' 610'],"[' 204.333s (Solving', ' 201.03s 1st Model', ' 3.46s Unsat', ' 12.96s)']",[' 203.906s'], ,[' 15341610'],"[' 9601816  (Analyzed', ' 9579809)']","[' 20111    (Average', ' 476.35 Last', ' 12665)']",[' 2040.0  '],"[' 610      (Average Length', ' 297.74 Splits', ' 0)']","[' 9579809  (Deleted', ' 9432507)']","[' 76       (Ratio', '   0.00%)']","[' 2194     (Ratio', '   0.02%)']","[' 9579809  (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9579809  (Average', '  1.46 Max', ' 2701 Sum', ' 14005353)']","[' 9579610  (Average', '  1.46 Max', ' 2701 Sum', ' 13984223 Ratio', '  99.85%)']","[' 199      (Average', ' 106.18 Max', ' 384 Sum', '  21130 Ratio', '   0.15%)']", ,[' 99145   '],[' 4010    '],[' 98738   '],[' 56134   '],"[' 168398   (Atom=Atom', ' 53122 Body=Body', ' 29460 Other', ' 85816)']",[' Yes'],"[' 4603     (Eliminated', '    0 Frozen', ' 4603)']","[' 156      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.942289'],[' 0'], ,[' 146.178'],[' 0'],[' 2.95433'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.24343e+07'],[' 2.99178e+07'],[' 0'],[' 1.86759e+10'],[' 0'],[' 0'],[' 678 '],[' 1233 '],[' 1803 '],[' 2204 '],[' 2710 '],[' 3200 '],[' 3644 '],[' 4207 ']
Solving...,TA64, , ,[' 1327'],[' 672'],"[' 198.262s (Solving', ' 194.50s 1st Model', ' 2.01s Unsat', ' 7.89s)']",[' 197.672s'], ,[' 13807730'],"[' 8740532  (Analyzed', ' 8710697)']","[' 18049    (Average', ' 482.61 Last', ' 13404)']",[' 2038.2  '],"[' 672      (Average Length', ' 325.94 Splits', ' 0)']","[' 8710697  (Deleted', ' 8575540)']","[' 53       (Ratio', '   0.00%)']","[' 1779     (Ratio', '   0.02%)']","[' 8710697  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8710697  (Average', '  1.43 Max', ' 2679 Sum', ' 12419104)']","[' 8710533  (Average', '  1.42 Max', ' 2679 Sum', ' 12400303 Ratio', '  99.85%)']","[' 164      (Average', ' 114.64 Max', ' 433 Sum', '  18801 Ratio', '   0.15%)']", ,[' 99469   '],[' 4024    '],[' 99118   '],[' 56626   '],"[' 169874   (Atom=Atom', ' 53600 Body=Body', ' 29474 Other', ' 86800)']",[' Yes'],"[' 4673     (Eliminated', '    0 Frozen', ' 4673)']","[' 179      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.970585'],[' 0'], ,[' 143.147'],[' 0'],[' 3.33727'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.80072e+07'],[' 2.73614e+07'],[' 0'],[' 1.64938e+10'],[' 0'],[' 0'],[' 718 '],[' 1244 '],[' 1622 '],[' 2083 '],[' 2593 '],[' 3089 '],[' 3671 '],[' 4082 ']
Solving...,TA65, , ,[' 1389'],[' 703'],"[' 269.540s (Solving', ' 264.93s 1st Model', ' 2.34s Unsat', ' 76.11s)']",[' 267.672s'], ,[' 7196352 '],"[' 3684467  (Analyzed', ' 3520133)']","[' 8999     (Average', ' 391.17 Last', ' 7256)']",[' 1942.4  '],"[' 703      (Average Length', ' 337.37 Splits', ' 0)']","[' 3520133  (Deleted', ' 3443903)']","[' 68       (Ratio', '   0.00%)']","[' 1917     (Ratio', '   0.05%)']","[' 3520133  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3520133  (Average', '  1.67 Max', ' 2820 Sum', ' 5864252)']","[' 3519942  (Average', '  1.65 Max', ' 2820 Sum', ' 5811708 Ratio', '  99.10%)']","[' 191      (Average', ' 275.10 Max', ' 577 Sum', '  52544 Ratio', '   0.90%)']", ,[' 99403   '],[' 4104    '],[' 99074   '],[' 57509   '],"[' 172523   (Atom=Atom', ' 54403 Body=Body', ' 29554 Other', ' 88566)']",[' Yes'],"[' 4775     (Eliminated', '    0 Frozen', ' 4775)']","[' 186      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.14358'],[' 0'], ,[' 231.848'],[' 0'],[' 3.8235'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.98373e+07'],[' 2.11384e+07'],[' 0'],[' 2.9588e+10'],[' 0'],[' 0'],[' 499 '],[' 1075 '],[' 1475 '],[' 2157 '],[' 2636 '],[' 3209 '],[' 3734 '],[' 4150 ']
Solving...,TA66, , ,[' 1259'],[' 638'],"[' 374.444s (Solving', ' 370.21s 1st Model', ' 1.95s Unsat', ' 62.85s)']",[' 371.828s'], ,[' 12821262'],"[' 7610281  (Analyzed', ' 7533088)']","[' 16933    (Average', ' 444.88 Last', ' 43703)']",[' 1903.5  '],"[' 638      (Average Length', ' 309.61 Splits', ' 0)']","[' 7533088  (Deleted', ' 7406037)']","[' 30       (Ratio', '   0.00%)']","[' 2436     (Ratio', '   0.03%)']","[' 7533088  (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7533088  (Average', '  1.54 Max', ' 2628 Sum', ' 11565783)']","[' 7532883  (Average', '  1.53 Max', ' 2628 Sum', ' 11515555 Ratio', '  99.57%)']","[' 205      (Average', ' 245.01 Max', ' 512 Sum', '  50228 Ratio', '   0.43%)']", ,[' 99988   '],[' 4064    '],[' 99608   '],[' 56706   '],"[' 170114   (Atom=Atom', ' 53640 Body=Body', ' 29514 Other', ' 86960)']",[' Yes'],"[' 4684     (Eliminated', '    0 Frozen', ' 4684)']","[' 285      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03845'],[' 0'], ,[' 306.895'],[' 0'],[' 4.96579'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.46438e+07'],[' 2.69409e+07'],[' 0'],[' 3.88183e+10'],[' 0'],[' 0'],[' 588 '],[' 1179 '],[' 1618 '],[' 2140 '],[' 2654 '],[' 3205 '],[' 3687 '],[' 4318 ']
Solving...,TA67, ,[' 1'],[' 1111+'],[' 564'],"[' 273.143s (Solving', ' 269.06s 1st Model', ' 2.36s Unsat', ' 21.31s)']",[' 271.391s'], ,[' 13565815'],"[' 8558099  (Analyzed', ' 8530178)']","[' 18421    (Average', ' 463.07 Last', ' 54512)']",[' 1924.9  '],"[' 564      (Average Length', ' 272.81 Splits', ' 0)']","[' 8530178  (Deleted', ' 8389884)']","[' 47       (Ratio', '   0.00%)']","[' 2251     (Ratio', '   0.03%)']","[' 8530178  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8530178  (Average', '  1.45 Max', ' 2683 Sum', ' 12374196)']","[' 8529967  (Average', '  1.45 Max', ' 2683 Sum', ' 12348500 Ratio', '  99.79%)']","[' 211      (Average', ' 121.78 Max', ' 446 Sum', '  25696 Ratio', '   0.21%)']", ,[' 99515   '],[' 4071    '],[' 99059   '],[' 56355   '],"[' 169061   (Atom=Atom', ' 53282 Body=Body', ' 29521 Other', ' 86258)']",[' Yes'],"[' 4615     (Eliminated', '    0 Frozen', ' 4615)']","[' 212      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.0803'],[' 0'], ,[' 212.754'],[' 0'],[' 3.80032'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.56262e+07'],[' 2.59938e+07'],[' 0'],[' 2.5911e+10'],[' 0'],[' 0'],[' 683 '],[' 1237 '],[' 1847 '],[' 2375 '],[' 2952 '],[' 3458 '],[' 3966 '],[' 4506 ']
Solving...,TA68, , ,[' 1333'],[' 675'],"[' 198.799s (Solving', ' 194.14s 1st Model', ' 2.60s Unsat', ' 65.05s)']",[' 197.656s'], ,[' 8573636 '],"[' 4644596  (Analyzed', ' 4631692)']","[' 10632    (Average', ' 435.64 Last', ' 10806)']",[' 2052.4  '],"[' 675      (Average Length', ' 328.98 Splits', ' 0)']","[' 4631692  (Deleted', ' 4553041)']","[' 69       (Ratio', '   0.00%)']","[' 1553     (Ratio', '   0.03%)']","[' 4631692  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4631692  (Average', '  1.58 Max', ' 2816 Sum', ' 7312474)']","[' 4631557  (Average', '  1.57 Max', ' 2816 Sum', ' 7288374 Ratio', '  99.67%)']","[' 135      (Average', ' 178.52 Max', ' 533 Sum', '  24100 Ratio', '   0.33%)']", ,[' 99096   '],[' 4021    '],[' 98747   '],[' 56668   '],"[' 170000   (Atom=Atom', ' 53645 Body=Body', ' 29471 Other', ' 86884)']",[' Yes'],"[' 4672     (Eliminated', '    0 Frozen', ' 4672)']","[' 77       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26345'],[' 0'], ,[' 152.945'],[' 0'],[' 2.96321'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.43794e+07'],[' 2.33197e+07'],[' 0'],[' 1.61772e+10'],[' 0'],[' 0'],[' 432 '],[' 1071 '],[' 1650 '],[' 2197 '],[' 2576 '],[' 3094 '],[' 3512 '],[' 4005 ']
Solving...,TA69, ,[' 1'],[' 1469+'],[' 743'],"[' 236.322s (Solving', ' 232.03s 1st Model', ' 1.99s Unsat', ' 104.77s)']",[' 235.453s'], ,[' 12800445'],"[' 8120351  (Analyzed', ' 8092433)']","[' 17082    (Average', ' 473.74 Last', ' 14890)']",[' 1980.5  '],"[' 743      (Average Length', ' 354.67 Splits', ' 0)']","[' 8092433  (Deleted', ' 7959671)']","[' 82       (Ratio', '   0.00%)']","[' 1866     (Ratio', '   0.02%)']","[' 8092433  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8092433  (Average', '  1.41 Max', ' 2734 Sum', ' 11415930)']","[' 8092222  (Average', '  1.41 Max', ' 2734 Sum', ' 11375689 Ratio', '  99.65%)']","[' 211      (Average', ' 190.72 Max', ' 578 Sum', '  40241 Ratio', '   0.35%)']", ,[' 99666   '],[' 4023    '],[' 99368   '],[' 56148   '],"[' 168440   (Atom=Atom', ' 53123 Body=Body', ' 29473 Other', ' 85844)']",[' Yes'],"[' 4725     (Eliminated', '    0 Frozen', ' 4725)']","[' 87       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08748'],[' 0'], ,[' 179.336'],[' 0'],[' 3.16305'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.69011e+07'],[' 2.80305e+07'],[' 0'],[' 2.4772e+10'],[' 0'],[' 0'],[' 622 '],[' 1214 '],[' 1629 '],[' 2125 '],[' 2646 '],[' 3031 '],[' 3652 '],[' 4250 ']
Solving...,TA70, ,[' 1'],[' 1269+'],[' 643'],"[' 240.729s (Solving', ' 237.04s 1st Model', ' 1.61s Unsat', ' 50.50s)']",[' 240.484s'], ,[' 6240729 '],"[' 3051500  (Analyzed', ' 2899046)']","[' 7553     (Average', ' 383.83 Last', ' 24824)']",[' 1891.9  '],"[' 643      (Average Length', ' 308.01 Splits', ' 0)']","[' 2899046  (Deleted', ' 2841163)']","[' 57       (Ratio', '   0.00%)']","[' 1934     (Ratio', '   0.07%)']","[' 2899046  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2899046  (Average', '  1.73 Max', ' 2758 Sum', ' 5024438)']","[' 2898886  (Average', '  1.72 Max', ' 2758 Sum', ' 4985566 Ratio', '  99.23%)']","[' 160      (Average', ' 242.95 Max', ' 478 Sum', '  38872 Ratio', '   0.77%)']", ,[' 100096  '],[' 4070    '],[' 99712   '],[' 56945   '],"[' 170831   (Atom=Atom', ' 53873 Body=Body', ' 29520 Other', ' 87438)']",[' Yes'],"[' 4686     (Eliminated', '    0 Frozen', ' 4686)']","[' 140      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.872371'],[' 0'], ,[' 215.091'],[' 0'],[' 3.29343'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.71764e+07'],[' 1.98495e+07'],[' 0'],[' 3.62762e+10'],[' 0'],[' 0'],[' 523 '],[' 983 '],[' 1562 '],[' 2232 '],[' 2618 '],[' 3202 '],[' 3665 '],[' 4313 ']
