Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 
Solving...,swv11, , ,[' 217'],[' 119'],"[' 484.484s (Solving', ' 483.45s 1st Model', ' 0.41s Unsat', ' 2.32s)']",[' 482.094s'], ,[' 33993839'],"[' 25800542 (Analyzed', ' 25796147)']","[' 52970    (Average', ' 487.00 Last', ' 3999)']",[' 1282.8  '],"[' 119      (Average Length', ' 53.08 Splits', ' 0)']","[' 25796147 (Deleted', ' 25441401)']","[' 35       (Ratio', '   0.00%)']","[' 2913     (Ratio', '   0.01%)']","[' 25796147 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25796147 (Average', '  1.28 Max', ' 1622 Sum', ' 33057695)']","[' 25795993 (Average', '  1.28 Max', ' 1622 Sum', ' 33053002 Ratio', '  99.99%)']","[' 154      (Average', ' 30.47 Max', '  78 Sum', '   4693 Ratio', '   0.01%)']", ,[' 67007   '],[' 2516    '],[' 66615   '],[' 36617   '],"[' 109847   (Atom=Atom', ' 34599 Body=Body', ' 15216 Other', ' 60032)']",[' Yes'],"[' 2624     (Eliminated', '    0 Frozen', ' 2624)']","[' 179      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.265559'],[' 0'], ,[' 336.415'],[' 0'],[' 5.47278'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.27368e+07'],[' 3.53587e+07'],[' 0'],[' 4.77705e+10'],[' 0'],[' 0'],[' 802 '],[' 1259 '],[' 1736 '],[' 2168 '],[' 2497 '],[' 2990 '],[' 3502 '],[' 3992 '],[' 4643 '],[' 5299 ']
Solving...,swv12, ,[' 1'],[' 167+'],[' 94'],"[' 482.144s (Solving', ' 481.28s 1st Model', ' 0.23s Unsat', ' 0.58s)']",[' 481.125s'], ,[' 32298116'],"[' 22887402 (Analyzed', ' 22882057)']","[' 46342    (Average', ' 493.76 Last', ' 155451)']",[' 1152.7  '],"[' 94       (Average Length', ' 41.02 Splits', ' 0)']","[' 22882057 (Deleted', ' 22578196)']","[' 25       (Ratio', '   0.00%)']","[' 3927     (Ratio', '   0.02%)']","[' 22882057 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22882057 (Average', '  1.37 Max', ' 1630 Sum', ' 31386086)']","[' 22881868 (Average', '  1.37 Max', ' 1630 Sum', ' 31379720 Ratio', '  99.98%)']","[' 189      (Average', ' 33.68 Max', '  58 Sum', '   6366 Ratio', '   0.02%)']", ,[' 67371   '],[' 2550    '],[' 66954   '],[' 36788   '],"[' 110360   (Atom=Atom', ' 34736 Body=Body', ' 15250 Other', ' 60374)']",[' Yes'],"[' 2633     (Eliminated', '    0 Frozen', ' 2633)']","[' 296      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.213157'],[' 0'], ,[' 353.668'],[' 0'],[' 5.97003'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.69101e+07'],[' 3.56769e+07'],[' 0'],[' 6.03721e+10'],[' 0'],[' 0'],[' 711 '],[' 1175 '],[' 1873 '],[' 2664 '],[' 3098 '],[' 3307 '],[' 3854 '],[' 4480 '],[' 5237 '],[' 5800 ']
Solving...,swv13, ,[' 1'],[' 235+'],[' 128'],"[' 482.126s (Solving', ' 481.09s 1st Model', ' 0.33s Unsat', ' 0.18s)']",[' 480.766s'], ,[' 35079458'],"[' 24826563 (Analyzed', ' 24821462)']","[' 50079    (Average', ' 495.65 Last', ' 81269)']",[' 1264.0  '],"[' 128      (Average Length', ' 57.78 Splits', ' 0)']","[' 24821462 (Deleted', ' 24512763)']","[' 25       (Ratio', '   0.00%)']","[' 3567     (Ratio', '   0.01%)']","[' 24821462 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24821462 (Average', '  1.37 Max', ' 1717 Sum', ' 34068241)']","[' 24821323 (Average', '  1.37 Max', ' 1717 Sum', ' 34062350 Ratio', '  99.98%)']","[' 139      (Average', ' 42.38 Max', '  92 Sum', '   5891 Ratio', '   0.02%)']", ,[' 68213   '],[' 2593    '],[' 67830   '],[' 37693   '],"[' 113075   (Atom=Atom', ' 35598 Body=Body', ' 15293 Other', ' 62184)']",[' Yes'],"[' 2710     (Eliminated', '    0 Frozen', ' 2710)']","[' 303      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.24465'],[' 0'], ,[' 354.494'],[' 0'],[' 5.92217'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.51172e+07'],[' 3.91975e+07'],[' 0'],[' 5.92609e+10'],[' 0'],[' 0'],[' 492 '],[' 1281 '],[' 1914 '],[' 2816 '],[' 3132 '],[' 3429 '],[' 3852 '],[' 4509 '],[' 5181 '],[' 5989 ']
Solving...,swv14, ,[' 1'],[' 213+'],[' 117'],"[' 483.768s (Solving', ' 482.73s 1st Model', ' 0.18s Unsat', ' 1.95s)']",[' 482.250s'], ,[' 38982383'],"[' 26520929 (Analyzed', ' 26513006)']","[' 52674    (Average', ' 503.34 Last', ' 130051)']",[' 1167.8  '],"[' 117      (Average Length', ' 52.67 Splits', ' 0)']","[' 26513006 (Deleted', ' 26186696)']","[' 34       (Ratio', '   0.00%)']","[' 4462     (Ratio', '   0.02%)']","[' 26513006 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26513006 (Average', '  1.43 Max', ' 1725 Sum', ' 37932593)']","[' 26512863 (Average', '  1.43 Max', ' 1725 Sum', ' 37927637 Ratio', '  99.99%)']","[' 143      (Average', ' 34.66 Max', '  68 Sum', '   4956 Ratio', '   0.01%)']", ,[' 67580   '],[' 2588    '],[' 67186   '],[' 37327   '],"[' 111977   (Atom=Atom', ' 35237 Body=Body', ' 15288 Other', ' 61452)']",[' Yes'],"[' 2694     (Eliminated', '    0 Frozen', ' 2694)']","[' 205      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.225057'],[' 0'], ,[' 346.227'],[' 0'],[' 5.71432'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08883e+08'],[' 4.95028e+07'],[' 0'],[' 5.52463e+10'],[' 0'],[' 0'],[' 616 '],[' 1261 '],[' 2008 '],[' 2579 '],[' 3086 '],[' 3358 '],[' 4000 '],[' 4597 '],[' 5233 '],[' 6054 ']
Solving...,swv15, ,[' 1'],[' 205+'],[' 113'],"[' 481.998s (Solving', ' 481.07s 1st Model', ' 0.35s Unsat', ' 0.06s)']",[' 480.328s'], ,[' 37340944'],"[' 22634459 (Analyzed', ' 22629016)']","[' 43763    (Average', ' 517.08 Last', ' 106264)']",[' 1170.2  '],"[' 113      (Average Length', ' 50.37 Splits', ' 0)']","[' 22629016 (Deleted', ' 22375807)']","[' 31       (Ratio', '   0.00%)']","[' 5241     (Ratio', '   0.02%)']","[' 22629016 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22629016 (Average', '  1.60 Max', ' 1637 Sum', ' 36292687)']","[' 22628856 (Average', '  1.60 Max', ' 1637 Sum', ' 36287146 Ratio', '  99.98%)']","[' 160      (Average', ' 34.63 Max', '  69 Sum', '   5541 Ratio', '   0.02%)']", ,[' 68833   '],[' 2656    '],[' 68435   '],[' 38249   '],"[' 114743   (Atom=Atom', ' 36091 Body=Body', ' 15356 Other', ' 63296)']",[' Yes'],"[' 2758     (Eliminated', '    0 Frozen', ' 2758)']","[' 322      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.233469'],[' 0'], ,[' 367.21'],[' 0'],[' 6.20522'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02556e+08'],[' 5.08706e+07'],[' 0'],[' 6.25763e+10'],[' 0'],[' 0'],[' 914 '],[' 1407 '],[' 2291 '],[' 2707 '],[' 3036 '],[' 3401 '],[' 3965 '],[' 4579 '],[' 5098 '],[' 5796 ']
Solving...,swv16, , ,[' 173'],[' 97'],"[' 47.572s (Solving', ' 46.95s 1st Model', ' 0.14s Unsat', ' 46.48s)']",[' 47.422s'], ,[' 4551525 '],"[' 3610946  (Analyzed', ' 3609131)']","[' 8301     (Average', ' 434.78 Last', ' 87875)']",[' 808.4   '],"[' 97       (Average Length', ' 42.39 Splits', ' 0)']","[' 3609131  (Deleted', ' 3551296)']","[' 113      (Ratio', '   0.00%)']","[' 1302     (Ratio', '   0.04%)']","[' 3609131  (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3609131  (Average', '  1.22 Max', ' 952 Sum', ' 4408741)']","[' 3609001  (Average', '  1.22 Max', ' 952 Sum', ' 4408370 Ratio', '  99.99%)']","[' 130      (Average', '  2.85 Max', '  46 Sum', '    371 Ratio', '   0.01%)']", ,[' 48357   '],[' 1688    '],[' 47943   '],[' 27627   '],"[' 82877    (Atom=Atom', ' 26437 Body=Body', ' 14388 Other', ' 42052)']",[' Yes'],"[' 1774     (Eliminated', '    0 Frozen', ' 1774)']","[' 56       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.146825'],[' 0'], ,[' 27.9837'],[' 0'],[' 0.779287'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28856e+07'],[' 4.84961e+06'],[' 0'],[' 3.47965e+09'],[' 0'],[' 0'],[' 499 '],[' 896 '],[' 1513 '],[' 1591 '],[' 1936 '],[' 2366 '],[' 2765 '],[' 2934 '],[' 3248 '],[' 3511 ']
Solving...,swv17, , ,[' 103'],[' 62'],"[' 97.723s (Solving', ' 97.18s 1st Model', ' 0.07s Unsat', ' 36.89s)']",[' 97.563s'], ,[' 7136817 '],"[' 5653569  (Analyzed', ' 5652420)']","[' 12978    (Average', ' 435.54 Last', ' 49461)']",[' 854.5   '],"[' 62       (Average Length', ' 24.29 Splits', ' 0)']","[' 5652420  (Deleted', ' 5555167)']","[' 110      (Ratio', '   0.00%)']","[' 1465     (Ratio', '   0.03%)']","[' 5652420  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5652420  (Average', '  1.23 Max', ' 1062 Sum', ' 6954474)']","[' 5652275  (Average', '  1.23 Max', ' 1062 Sum', ' 6953875 Ratio', '  99.99%)']","[' 145      (Average', '  4.13 Max', '  29 Sum', '    599 Ratio', '   0.01%)']", ,[' 48157   '],[' 1698    '],[' 47708   '],[' 27364   '],"[' 82088    (Atom=Atom', ' 26164 Body=Body', ' 14398 Other', ' 41526)']",[' Yes'],"[' 1749     (Eliminated', '    0 Frozen', ' 1749)']","[' 49       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.128049'],[' 0'], ,[' 66.6509'],[' 0'],[' 1.3679'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.97844e+07'],[' 7.2555e+06'],[' 0'],[' 1.06884e+10'],[' 0'],[' 0'],[' 478 '],[' 777 '],[' 1223 '],[' 1549 '],[' 1840 '],[' 2308 '],[' 2610 '],[' 2896 '],[' 3346 '],[' 3695 ']
Solving...,swv18, , ,[' 157'],[' 89'],"[' 251.616s (Solving', ' 250.95s 1st Model', ' 0.14s Unsat', ' 10.41s)']",[' 250.922s'], ,[' 14000619'],"[' 10766358 (Analyzed', ' 10764214)']","[' 23826    (Average', ' 451.78 Last', ' 8837)']",[' 854.9   '],"[' 89       (Average Length', ' 37.91 Splits', ' 0)']","[' 10764214 (Deleted', ' 10603836)']","[' 47       (Ratio', '   0.00%)']","[' 1889     (Ratio', '   0.02%)']","[' 10764214 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10764214 (Average', '  1.26 Max', ' 985 Sum', ' 13589617)']","[' 10764127 (Average', '  1.26 Max', ' 985 Sum', ' 13588733 Ratio', '  99.99%)']","[' 87       (Average', ' 10.16 Max', '  59 Sum', '    884 Ratio', '   0.01%)']", ,[' 49463   '],[' 1784    '],[' 49041   '],[' 28235   '],"[' 84701    (Atom=Atom', ' 26949 Body=Body', ' 14484 Other', ' 43268)']",[' Yes'],"[' 1862     (Eliminated', '    0 Frozen', ' 1862)']","[' 132      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.148865'],[' 0'], ,[' 192.935'],[' 0'],[' 4.79309'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.7727e+07'],[' 1.39422e+07'],[' 0'],[' 3.08877e+10'],[' 0'],[' 0'],[' 497 '],[' 837 '],[' 1197 '],[' 1638 '],[' 2074 '],[' 2214 '],[' 2665 '],[' 2935 '],[' 3204 '],[' 3572 ']
Solving...,swv19, , ,[' 117'],[' 69'],"[' 184.250s (Solving', ' 183.74s 1st Model', ' 0.08s Unsat', ' 3.42s)']",[' 183.594s'], ,[' 13544574'],"[' 10694504 (Analyzed', ' 10693266)']","[' 21817    (Average', ' 490.13 Last', ' 7347)']",[' 660.6   '],"[' 69       (Average Length', ' 29.35 Splits', ' 0)']","[' 10693266 (Deleted', ' 10557470)']","[' 85       (Ratio', '   0.00%)']","[' 1287     (Ratio', '   0.01%)']","[' 10693266 (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10693266 (Average', '  1.24 Max', ' 1083 Sum', ' 13229744)']","[' 10693166 (Average', '  1.24 Max', ' 1083 Sum', ' 13229402 Ratio', ' 100.00%)']","[' 100      (Average', '  3.42 Max', '  44 Sum', '    342 Ratio', '   0.00%)']", ,[' 49018   '],[' 1717    '],[' 48576   '],[' 27674   '],"[' 83018    (Atom=Atom', ' 26455 Body=Body', ' 14417 Other', ' 42146)']",[' Yes'],"[' 1775     (Eliminated', '    0 Frozen', ' 1775)']","[' 93       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.119708'],[' 0'], ,[' 126.857'],[' 0'],[' 2.63804'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.50615e+07'],[' 1.1547e+07'],[' 0'],[' 2.0845e+10'],[' 0'],[' 0'],[' 626 '],[' 1058 '],[' 1318 '],[' 1731 '],[' 2296 '],[' 2501 '],[' 2792 '],[' 3222 '],[' 3610 '],[' 3962 ']
Solving...,swv20, , ,[' 167'],[' 94'],"[' 80.756s (Solving', ' 80.20s 1st Model', ' 0.08s Unsat', ' 19.71s)']",[' 80.406s'], ,[' 4506782 '],"[' 3468182  (Analyzed', ' 3466059)']","[' 7698     (Average', ' 450.25 Last', ' 21114)']",[' 738.4   '],"[' 94       (Average Length', ' 41.03 Splits', ' 0)']","[' 3466059  (Deleted', ' 3399457)']","[' 88       (Ratio', '   0.00%)']","[' 1098     (Ratio', '   0.03%)']","[' 3466059  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3466059  (Average', '  1.26 Max', ' 1056 Sum', ' 4363454)']","[' 3465959  (Average', '  1.26 Max', ' 1056 Sum', ' 4362924 Ratio', '  99.99%)']","[' 100      (Average', '  5.30 Max', '  58 Sum', '    530 Ratio', '   0.01%)']", ,[' 48304   '],[' 1696    '],[' 47886   '],[' 27540   '],"[' 82616    (Atom=Atom', ' 26342 Body=Body', ' 14396 Other', ' 41878)']",[' Yes'],"[' 1778     (Eliminated', '    0 Frozen', ' 1778)']","[' 48       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.145439'],[' 0'], ,[' 61.2444'],[' 0'],[' 1.25838'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27341e+07'],[' 5.05249e+06'],[' 0'],[' 1.12564e+10'],[' 0'],[' 0'],[' 432 '],[' 841 '],[' 1223 '],[' 1419 '],[' 1690 '],[' 2032 '],[' 2402 '],[' 2673 '],[' 3116 '],[' 3350 ']
