Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 8585+'],[' 4299'],"[' 1021.139s (Solving', ' 929.83s 1st Model', ' 506.29s Unsat', ' 0.00s)']",[' 1017.047s'], ,[' 351363779'],"[' 6036584  (Analyzed', ' 5299524)']","[' 12531    (Average', ' 422.91 Last', ' 87154)']",[' 8043.9  '],"[' 4299     (Average Length', ' 1877.67 Splits', ' 0)']","[' 5299524  (Deleted', ' 5171905)']","[' 655      (Ratio', '   0.01%)']","[' 67836    (Ratio', '   1.28%)']","[' 5299524  (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5299524  (Average', ' 61.84 Max', ' 10833 Sum', ' 327705268)']","[' 5297367  (Average', ' 61.05 Max', ' 10833 Sum', ' 323545636 Ratio', '  98.73%)']","[' 2157     (Average', ' 1928.43 Max', ' 3541 Sum', ' 4159632 Ratio', '   1.27%)']", ,[' 401523  '],[' 20808   '],[' 403070  '],[' 241135  '],"[' 723401   (Atom=Atom', ' 222325 Body=Body', ' 121708 Other', ' 379368)']",[' Yes'],"[' 24353    (Eliminated', '    0 Frozen', ' 24353)']","[' 12096    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.6014'],[' 0'], ,[' 545.759'],[' 0'],[' 25.7458'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27048e+09'],[' 1.16113e+09'],[' 0'],[' 3.68366e+10'],[' 0'],[' 0'],[' 1358 '],[' 2446 '],[' 3417 '],[' 4386 '],[' 5345 '],[' 6160 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 9743+'],[' 4878'],"[' 1023.557s (Solving', ' 920.70s 1st Model', ' 506.17s Unsat', ' 0.00s)']",[' 1020.609s'], ,[' 339338674'],"[' 4443979  (Analyzed', ' 3697700)']","[' 10578    (Average', ' 349.57 Last', ' 76547)']",[' 7955.3  '],"[' 4878     (Average Length', ' 2116.54 Splits', ' 0)']","[' 3697700  (Deleted', ' 3581371)']","[' 638      (Ratio', '   0.02%)']","[' 66012    (Ratio', '   1.79%)']","[' 3697700  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3697700  (Average', ' 85.21 Max', ' 9484 Sum', ' 315065147)']","[' 3695337  (Average', ' 83.76 Max', ' 9484 Sum', ' 309701993 Ratio', '  98.30%)']","[' 2363     (Average', ' 2269.64 Max', ' 3877 Sum', ' 5363154 Ratio', '   1.70%)']", ,[' 399905  '],[' 20687   '],[' 401797  '],[' 239893  '],"[' 719675   (Atom=Atom', ' 221204 Body=Body', ' 121587 Other', ' 376884)']",[' Yes'],"[' 24577    (Eliminated', '    0 Frozen', ' 24577)']","[' 12180    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.3765'],[' 0'], ,[' 526.691'],[' 0'],[' 25.4334'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2812e+09'],[' 1.17298e+09'],[' 0'],[' 3.3318e+10'],[' 0'],[' 0'],[' 1122 '],[' 2057 '],[' 2949 '],[' 3885 '],[' 4796 '],[' 5626 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 7703+'],[' 3858'],"[' 1018.309s (Solving', ' 942.14s 1st Model', ' 342.16s Unsat', ' 0.00s)']",[' 1014.297s'], ,[' 322816126'],"[' 5765471  (Analyzed', ' 5100310)']","[' 11914    (Average', ' 428.09 Last', ' 86955)']",[' 7797.3  '],"[' 3858     (Average Length', ' 1715.17 Splits', ' 0)']","[' 5100310  (Deleted', ' 4978054)']","[' 738      (Ratio', '   0.01%)']","[' 61283    (Ratio', '   1.20%)']","[' 5100310  (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5100310  (Average', ' 59.40 Max', ' 10063 Sum', ' 302944613)']","[' 5097694  (Average', ' 58.45 Max', ' 10063 Sum', ' 298129424 Ratio', '  98.41%)']","[' 2616     (Average', ' 1840.67 Max', ' 3257 Sum', ' 4815189 Ratio', '   1.59%)']", ,[' 399397  '],[' 20770   '],[' 400696  '],[' 238024  '],"[' 714068   (Atom=Atom', ' 219252 Body=Body', ' 121670 Other', ' 373146)']",[' Yes'],"[' 24026    (Eliminated', '    0 Frozen', ' 24026)']","[' 10686    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.1106'],[' 0'], ,[' 605.431'],[' 0'],[' 23.714'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20299e+09'],[' 1.10808e+09'],[' 0'],[' 4.87557e+10'],[' 0'],[' 0'],[' 1399 '],[' 2384 '],[' 3290 '],[' 4433 '],[' 5511 '],[' 6316 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 9569+'],[' 4791'],"[' 1023.534s (Solving', ' 919.42s 1st Model', ' 361.63s Unsat', ' 0.00s)']",[' 1020.328s'], ,[' 316224831'],"[' 4869865  (Analyzed', ' 4322489)']","[' 11046    (Average', ' 391.32 Last', ' 79169)']",[' 8396.3  '],"[' 4791     (Average Length', ' 2103.60 Splits', ' 0)']","[' 4322489  (Deleted', ' 4201730)']","[' 773      (Ratio', '   0.02%)']","[' 58027    (Ratio', '   1.34%)']","[' 4322489  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4322489  (Average', ' 67.19 Max', ' 9934 Sum', ' 290433162)']","[' 4319961  (Average', ' 65.97 Max', ' 9934 Sum', ' 285163348 Ratio', '  98.19%)']","[' 2528     (Average', ' 2084.58 Max', ' 3962 Sum', ' 5269814 Ratio', '   1.81%)']", ,[' 399590  '],[' 20705   '],[' 401555  '],[' 239022  '],"[' 717062   (Atom=Atom', ' 220315 Body=Body', ' 121605 Other', ' 375142)']",[' Yes'],"[' 24666    (Eliminated', '    0 Frozen', ' 24666)']","[' 10497    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.74'],[' 0'], ,[' 568.745'],[' 0'],[' 24.4292'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22218e+09'],[' 1.12642e+09'],[' 0'],[' 3.86901e+10'],[' 0'],[' 0'],[' 1224 '],[' 2151 '],[' 3137 '],[' 4093 '],[' 5048 '],[' 5861 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 9411+'],[' 4712'],"[' 1024.473s (Solving', ' 916.47s 1st Model', ' 558.77s Unsat', ' 0.00s)']",[' 1019.313s'], ,[' 340849507'],"[' 2927677  (Analyzed', ' 2451462)']","[' 7911     (Average', ' 309.88 Last', ' 86083)']",[' 8153.8  '],"[' 4712     (Average Length', ' 2083.40 Splits', ' 0)']","[' 2451462  (Deleted', ' 2345692)']","[' 763      (Ratio', '   0.03%)']","[' 66287    (Ratio', '   2.70%)']","[' 2451462  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2451462  (Average', ' 129.25 Max', ' 10567 Sum', ' 316843447)']","[' 2448994  (Average', ' 127.05 Max', ' 10567 Sum', ' 311452815 Ratio', '  98.30%)']","[' 2468     (Average', ' 2184.21 Max', ' 3823 Sum', ' 5390632 Ratio', '   1.70%)']", ,[' 401386  '],[' 20894   '],[' 403228  '],[' 241014  '],"[' 723038   (Atom=Atom', ' 222118 Body=Body', ' 121794 Other', ' 379126)']",[' Yes'],"[' 24725    (Eliminated', '    0 Frozen', ' 24725)']","[' 12084    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.4207'],[' 0'], ,[' 499.194'],[' 0'],[' 26.3516'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31336e+09'],[' 1.20645e+09'],[' 0'],[' 2.86565e+10'],[' 0'],[' 0'],[' 1246 '],[' 2225 '],[' 3150 '],[' 4148 '],[' 5062 '],[' 5842 '],[' 6 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 8331+'],[' 4172'],"[' 1021.681s (Solving', ' 924.50s 1st Model', ' 472.70s Unsat', ' 0.00s)']",[' 1016.547s'], ,[' 327206009'],"[' 5998474  (Analyzed', ' 5339228)']","[' 13280    (Average', ' 402.05 Last', ' 82579)']",[' 8033.8  '],"[' 4172     (Average Length', ' 1840.60 Splits', ' 0)']","[' 5339228  (Deleted', ' 5216895)']","[' 519      (Ratio', '   0.01%)']","[' 61462    (Ratio', '   1.15%)']","[' 5339228  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5339228  (Average', ' 57.04 Max', ' 9834 Sum', ' 304558129)']","[' 5336817  (Average', ' 56.22 Max', ' 9834 Sum', ' 300184085 Ratio', '  98.56%)']","[' 2411     (Average', ' 1814.20 Max', ' 3452 Sum', ' 4374044 Ratio', '   1.44%)']", ,[' 399330  '],[' 20655   '],[' 400783  '],[' 238473  '],"[' 715415   (Atom=Atom', ' 219816 Body=Body', ' 121555 Other', ' 374044)']",[' Yes'],"[' 24108    (Eliminated', '    0 Frozen', ' 24108)']","[' 11253    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.6711'],[' 0'], ,[' 552.851'],[' 0'],[' 25.8798'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19982e+09'],[' 1.09356e+09'],[' 0'],[' 3.52937e+10'],[' 0'],[' 0'],[' 1144 '],[' 2164 '],[' 3111 '],[' 4086 '],[' 4976 '],[' 5854 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 8847+'],[' 4430'],"[' 1023.995s (Solving', ' 914.28s 1st Model', ' 461.23s Unsat', ' 0.00s)']",[' 1018.969s'], ,[' 319341577'],"[' 6211974  (Analyzed', ' 5435825)']","[' 12774    (Average', ' 425.54 Last', ' 58098)']",[' 8414.9  '],"[' 4430     (Average Length', ' 1912.30 Splits', ' 0)']","[' 5435825  (Deleted', ' 5308358)']","[' 505      (Ratio', '   0.01%)']","[' 57100    (Ratio', '   1.05%)']","[' 5435825  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5435825  (Average', ' 54.08 Max', ' 10155 Sum', ' 293967167)']","[' 5433390  (Average', ' 53.22 Max', ' 10155 Sum', ' 289290814 Ratio', '  98.41%)']","[' 2435     (Average', ' 1920.47 Max', ' 3594 Sum', ' 4676353 Ratio', '   1.59%)']", ,[' 400103  '],[' 20679   '],[' 401698  '],[' 240255  '],"[' 720761   (Atom=Atom', ' 221574 Body=Body', ' 121579 Other', ' 377608)']",[' Yes'],"[' 24274    (Eliminated', '    0 Frozen', ' 24274)']","[' 10353    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.5882'],[' 0'], ,[' 544.825'],[' 0'],[' 25.7367'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13572e+09'],[' 1.04095e+09'],[' 0'],[' 3.26479e+10'],[' 0'],[' 0'],[' 1374 '],[' 2263 '],[' 3204 '],[' 4197 '],[' 5199 '],[' 5997 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 8993+'],[' 4503'],"[' 1022.078s (Solving', ' 925.29s 1st Model', ' 407.09s Unsat', ' 0.00s)']",[' 1017.125s'], ,[' 316067395'],"[' 5029550  (Analyzed', ' 4672049)']","[' 11649    (Average', ' 401.07 Last', ' 89606)']",[' 8363.5  '],"[' 4503     (Average Length', ' 1990.89 Splits', ' 0)']","[' 4672049  (Deleted', ' 4552502)']","[' 754      (Ratio', '   0.02%)']","[' 61361    (Ratio', '   1.31%)']","[' 4672049  (Average Length', '   20.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4672049  (Average', ' 62.32 Max', ' 10051 Sum', ' 291183465)']","[' 4669723  (Average', ' 61.35 Max', ' 10051 Sum', ' 286631709 Ratio', '  98.44%)']","[' 2326     (Average', ' 1956.90 Max', ' 3684 Sum', ' 4551756 Ratio', '   1.56%)']", ,[' 400879  '],[' 20816   '],[' 402567  '],[' 240525  '],"[' 721571   (Atom=Atom', ' 221707 Body=Body', ' 121716 Other', ' 378148)']",[' Yes'],"[' 24501    (Eliminated', '    0 Frozen', ' 24501)']","[' 10618    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.6061'],[' 0'], ,[' 568.108'],[' 0'],[' 24.4848'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19274e+09'],[' 1.09815e+09'],[' 0'],[' 4.03595e+10'],[' 0'],[' 0'],[' 1306 '],[' 2226 '],[' 3179 '],[' 4256 '],[' 5123 '],[' 5961 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 9109+'],[' 4561'],"[' 1021.369s (Solving', ' 924.53s 1st Model', ' 558.98s Unsat', ' 0.00s)']",[' 1017.813s'], ,[' 356921508'],"[' 4272799  (Analyzed', ' 3963025)']","[' 10067    (Average', ' 393.66 Last', ' 85078)']",[' 7973.5  '],"[' 4561     (Average Length', ' 1988.31 Splits', ' 0)']","[' 3963025  (Deleted', ' 3840286)']","[' 804      (Ratio', '   0.02%)']","[' 70664    (Ratio', '   1.78%)']","[' 3963025  (Average Length', '   19.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3963025  (Average', ' 84.22 Max', ' 10606 Sum', ' 333760547)']","[' 3960588  (Average', ' 83.00 Max', ' 10606 Sum', ' 328943705 Ratio', '  98.56%)']","[' 2437     (Average', ' 1976.55 Max', ' 3711 Sum', ' 4816842 Ratio', '   1.44%)']", ,[' 401384  '],[' 20868   '],[' 403095  '],[' 239827  '],"[' 719477   (Atom=Atom', ' 220957 Body=Body', ' 121768 Other', ' 376752)']",[' Yes'],"[' 24579    (Eliminated', '    0 Frozen', ' 24579)']","[' 12914    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.8309'],[' 0'], ,[' 525.431'],[' 0'],[' 25.9664'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36e+09'],[' 1.24753e+09'],[' 0'],[' 3.44015e+10'],[' 0'],[' 0'],[' 1217 '],[' 2085 '],[' 3055 '],[' 3979 '],[' 4926 '],[' 5777 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 8631+'],[' 4322'],"[' 1022.040s (Solving', ' 920.79s 1st Model', ' 370.87s Unsat', ' 0.00s)']",[' 1018.250s'], ,[' 300488288'],"[' 3887719  (Analyzed', ' 3554945)']","[' 9197     (Average', ' 386.53 Last', ' 40210)']",[' 8802.9  '],"[' 4322     (Average Length', ' 1896.35 Splits', ' 0)']","[' 3554945  (Deleted', ' 3453867)']","[' 681      (Ratio', '   0.02%)']","[' 54034    (Ratio', '   1.52%)']","[' 3554945  (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3554945  (Average', ' 77.19 Max', ' 10688 Sum', ' 274388734)']","[' 3552600  (Average', ' 75.94 Max', ' 10688 Sum', ' 269971832 Ratio', '  98.39%)']","[' 2345     (Average', ' 1883.54 Max', ' 3519 Sum', ' 4416902 Ratio', '   1.61%)']", ,[' 402061  '],[' 20862   '],[' 403637  '],[' 242184  '],"[' 726548   (Atom=Atom', ' 223320 Body=Body', ' 121762 Other', ' 381466)']",[' Yes'],"[' 24387    (Eliminated', '    0 Frozen', ' 24387)']","[' 9309     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.2809'],[' 0'], ,[' 578.486'],[' 0'],[' 24.5879'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12497e+09'],[' 1.03964e+09'],[' 0'],[' 3.63832e+10'],[' 0'],[' 0'],[' 1214 '],[' 2366 '],[' 3274 '],[' 4170 '],[' 5124 '],[' 5898 '],[' 6 '],[' 0 ']
