Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 4403+'],[' 2206'],"[' 1003.278s (Solving', ' 979.61s 1st Model', ' 541.86s Unsat', ' 0.00s)']",[' 972.906s'], ,[' 200778445'],"[' 12869952 (Analyzed', ' 12716129)']","[' 27269    (Average', ' 466.32 Last', ' 566533)']",[' 3484.3  '],"[' 2206     (Average Length', ' 1030.18 Splits', ' 0)']","[' 12716129 (Deleted', ' 12560531)']","[' 919      (Ratio', '   0.01%)']","[' 33439    (Ratio', '   0.26%)']","[' 12716129 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12716129 (Average', ' 15.35 Max', ' 3824 Sum', ' 195202265)']","[' 12715512 (Average', ' 15.30 Max', ' 3413 Sum', ' 194580597 Ratio', '  99.68%)']","[' 617      (Average', ' 1007.57 Max', ' 1953 Sum', ' 621668 Ratio', '   0.32%)']", ,[' 92293   '],[' 7257    '],[' 93504   '],[' 56878   '],"[' 170630   (Atom=Atom', ' 50369 Body=Body', ' 26332 Other', ' 93929)']",[' Yes'],"[' 9218     (Eliminated', '    0 Frozen', ' 9218)']","[' 4232     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.39177'],[' 0'], ,[' 611.825'],[' 0'],[' 20.7454'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.9407e+08'],[' 6.70876e+08'],[' 0'],[' 3.6065e+10'],[' 0'],[' 0'],[' 948 '],[' 1620 '],[' 2365 '],[' 2973 '],[' 4 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 4263+'],[' 2136'],"[' 1003.597s (Solving', ' 980.02s 1st Model', ' 138.39s Unsat', ' 0.00s)']",[' 970.797s'], ,[' 197066433'],"[' 11822472 (Analyzed', ' 11651070)']","[' 21551    (Average', ' 540.63 Last', ' 62373)']",[' 3509.0  '],"[' 2136     (Average Length', ' 1007.13 Splits', ' 0)']","[' 11651070 (Deleted', ' 11508863)']","[' 843      (Ratio', '   0.01%)']","[' 34516    (Ratio', '   0.30%)']","[' 11651070 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11651070 (Average', ' 16.43 Max', ' 3365 Sum', ' 191416274)']","[' 11650561 (Average', ' 16.39 Max', ' 3365 Sum', ' 190922353 Ratio', '  99.74%)']","[' 509      (Average', ' 970.38 Max', ' 1929 Sum', ' 493921 Ratio', '   0.26%)']", ,[' 92541   '],[' 7328    '],[' 93789   '],[' 57279   '],"[' 171833   (Atom=Atom', ' 50699 Body=Body', ' 26403 Other', ' 94731)']",[' Yes'],"[' 9256     (Eliminated', '    0 Frozen', ' 9256)']","[' 4549     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.3508'],[' 0'], ,[' 629.551'],[' 0'],[' 19.8812'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.56334e+08'],[' 6.34867e+08'],[' 0'],[' 3.83806e+10'],[' 0'],[' 0'],[' 921 '],[' 1793 '],[' 2510 '],[' 3122 '],[' 4 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 4609+'],[' 2309'],"[' 1003.764s (Solving', ' 977.79s 1st Model', ' 456.20s Unsat', ' 0.00s)']",[' 969.250s'], ,[' 165855847'],"[' 14932089 (Analyzed', ' 14670653)']","[' 28915    (Average', ' 507.37 Last', ' 298442)']",[' 3639.9  '],"[' 2309     (Average Length', ' 1070.47 Splits', ' 0)']","[' 14670653 (Deleted', ' 14448738)']","[' 700      (Ratio', '   0.00%)']","[' 29611    (Ratio', '   0.20%)']","[' 14670653 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14670653 (Average', ' 10.88 Max', ' 3510 Sum', ' 159636162)']","[' 14670106 (Average', ' 10.84 Max', ' 3510 Sum', ' 159067793 Ratio', '  99.64%)']","[' 547      (Average', ' 1039.07 Max', ' 2022 Sum', ' 568369 Ratio', '   0.36%)']", ,[' 92670   '],[' 7255    '],[' 93941   '],[' 57165   '],"[' 171491   (Atom=Atom', ' 50658 Body=Body', ' 26330 Other', ' 94503)']",[' Yes'],"[' 9276     (Eliminated', '    0 Frozen', ' 9276)']","[' 4176     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.89742'],[' 0'], ,[' 626.703'],[' 0'],[' 20.2099'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.99284e+08'],[' 4.96766e+08'],[' 0'],[' 3.26088e+10'],[' 0'],[' 0'],[' 870 '],[' 1515 '],[' 2227 '],[' 2845 '],[' 4 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 4751+'],[' 2380'],"[' 1004.139s (Solving', ' 979.71s 1st Model', ' 252.54s Unsat', ' 0.00s)']",[' 969.625s'], ,[' 180492953'],"[' 14175999 (Analyzed', ' 13975760)']","[' 26364    (Average', ' 530.11 Last', ' 105534)']",[' 3563.9  '],"[' 2380     (Average Length', ' 1100.81 Splits', ' 0)']","[' 13975760 (Deleted', ' 13769411)']","[' 907      (Ratio', '   0.01%)']","[' 33255    (Ratio', '   0.24%)']","[' 13975760 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13975760 (Average', ' 12.48 Max', ' 4883 Sum', ' 174450860)']","[' 13975159 (Average', ' 12.44 Max', ' 4883 Sum', ' 173797659 Ratio', '  99.63%)']","[' 601      (Average', ' 1086.86 Max', ' 2072 Sum', ' 653201 Ratio', '   0.37%)']", ,[' 92689   '],[' 7279    '],[' 94018   '],[' 57188   '],"[' 171560   (Atom=Atom', ' 50657 Body=Body', ' 26354 Other', ' 94549)']",[' Yes'],"[' 9350     (Eliminated', '    0 Frozen', ' 9350)']","[' 4643     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.47856'],[' 0'], ,[' 601.9'],[' 0'],[' 20.3303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.98136e+08'],[' 5.90613e+08'],[' 0'],[' 3.09098e+10'],[' 0'],[' 0'],[' 971 '],[' 1650 '],[' 2282 '],[' 2913 '],[' 4 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 4303+'],[' 2156'],"[' 1003.106s (Solving', ' 982.26s 1st Model', ' 586.23s Unsat', ' 0.00s)']",[' 969.594s'], ,[' 204906399'],"[' 9633011  (Analyzed', ' 9503093)']","[' 19699    (Average', ' 482.41 Last', ' 605786)']",[' 3315.5  '],"[' 2156     (Average Length', ' 1008.50 Splits', ' 0)']","[' 9503093  (Deleted', ' 9388570)']","[' 852      (Ratio', '   0.01%)']","[' 34813    (Ratio', '   0.37%)']","[' 9503093  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9503093  (Average', ' 21.02 Max', ' 3398 Sum', ' 199795043)']","[' 9502520  (Average', ' 20.96 Max', ' 3398 Sum', ' 199209511 Ratio', '  99.71%)']","[' 573      (Average', ' 1021.87 Max', ' 1908 Sum', ' 585532 Ratio', '   0.29%)']", ,[' 92156   '],[' 7242    '],[' 93314   '],[' 56813   '],"[' 170435   (Atom=Atom', ' 50319 Body=Body', ' 26317 Other', ' 93799)']",[' Yes'],"[' 9150     (Eliminated', '    0 Frozen', ' 9150)']","[' 4976     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.74321'],[' 0'], ,[' 583.986'],[' 0'],[' 21.7197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.41889e+08'],[' 7.1018e+08'],[' 0'],[' 2.86895e+10'],[' 0'],[' 0'],[' 849 '],[' 1512 '],[' 2282 '],[' 2872 '],[' 4 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 4073+'],[' 2041'],"[' 1003.144s (Solving', ' 981.94s 1st Model', ' 208.08s Unsat', ' 0.00s)']",[' 968.984s'], ,[' 141266286'],"[' 15374865 (Analyzed', ' 15212200)']","[' 29497    (Average', ' 515.72 Last', ' 180473)']",[' 3707.8  '],"[' 2041     (Average Length', ' 950.18 Splits', ' 0)']","[' 15212200 (Deleted', ' 15012257)']","[' 732      (Ratio', '   0.00%)']","[' 25456    (Ratio', '   0.17%)']","[' 15212200 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15212200 (Average', '  8.90 Max', ' 3960 Sum', ' 135394571)']","[' 15211619 (Average', '  8.87 Max', ' 3960 Sum', ' 134863158 Ratio', '  99.61%)']","[' 581      (Average', ' 914.65 Max', ' 1802 Sum', ' 531413 Ratio', '   0.39%)']", ,[' 92256   '],[' 7247    '],[' 93323   '],[' 56843   '],"[' 170525   (Atom=Atom', ' 50344 Body=Body', ' 26322 Other', ' 93859)']",[' Yes'],"[' 9048     (Eliminated', '    0 Frozen', ' 9048)']","[' 2810     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.96185'],[' 0'], ,[' 690.387'],[' 0'],[' 18.1621'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.69419e+08'],[' 3.84412e+08'],[' 0'],[' 3.87317e+10'],[' 0'],[' 0'],[' 951 '],[' 1788 '],[' 2450 '],[' 3067 '],[' 4 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 3815+'],[' 1912'],"[' 1005.692s (Solving', ' 970.60s 1st Model', ' 385.10s Unsat', ' 0.00s)']",[' 965.063s'], ,[' 115110876'],"[' 12570892 (Analyzed', ' 12481596)']","[' 22305    (Average', ' 559.59 Last', ' 191746)']",[' 3441.5  '],"[' 1912     (Average Length', ' 903.42 Splits', ' 0)']","[' 12481596 (Deleted', ' 12322287)']","[' 675      (Ratio', '   0.01%)']","[' 25500    (Ratio', '   0.20%)']","[' 12481596 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12481596 (Average', '  8.83 Max', ' 3767 Sum', ' 110260493)']","[' 12480973 (Average', '  8.79 Max', ' 3767 Sum', ' 109689316 Ratio', '  99.48%)']","[' 623      (Average', ' 916.82 Max', ' 2576 Sum', ' 571177 Ratio', '   0.52%)']", ,[' 92104   '],[' 7274    '],[' 93087   '],[' 56489   '],"[' 169463   (Atom=Atom', ' 49963 Body=Body', ' 26349 Other', ' 93151)']",[' Yes'],"[' 9006     (Eliminated', '    0 Frozen', ' 9006)']","[' 3432     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.49205'],[' 0'], ,[' 618.09'],[' 0'],[' 20.7356'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.64249e+08'],[' 2.93054e+08'],[' 0'],[' 1.85631e+10'],[' 0'],[' 0'],[' 1052 '],[' 1806 '],[' 2528 '],[' 3144 '],[' 4 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 4371+'],[' 2190'],"[' 1008.372s (Solving', ' 970.04s 1st Model', ' 180.59s Unsat', ' 0.00s)']",[' 956.172s'], ,[' 107247943'],"[' 4759201  (Analyzed', ' 4490751)']","[' 9953     (Average', ' 451.20 Last', ' 183742)']",[' 3579.2  '],"[' 2190     (Average Length', ' 1016.72 Splits', ' 0)']","[' 4490751  (Deleted', ' 4402514)']","[' 730      (Ratio', '   0.02%)']","[' 26690    (Ratio', '   0.59%)']","[' 4490751  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4490751  (Average', ' 22.68 Max', ' 4626 Sum', ' 101833910)']","[' 4490077  (Average', ' 22.51 Max', ' 4626 Sum', ' 101086429 Ratio', '  99.27%)']","[' 674      (Average', ' 1109.02 Max', ' 1926 Sum', ' 747481 Ratio', '   0.73%)']", ,[' 92596   '],[' 7287    '],[' 93781   '],[' 57106   '],"[' 171314   (Atom=Atom', ' 50567 Body=Body', ' 26362 Other', ' 94385)']",[' Yes'],"[' 9212     (Eliminated', '    0 Frozen', ' 9212)']","[' 2755     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.05806'],[' 0'], ,[' 609.584'],[' 0'],[' 20.7844'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.64145e+08'],[' 3.16964e+08'],[' 0'],[' 2.46571e+10'],[' 0'],[' 0'],[' 960 '],[' 1668 '],[' 2552 '],[' 3201 '],[' 4 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 3777+'],[' 1893'],"[' 1002.971s (Solving', ' 990.23s 1st Model', ' 375.27s Unsat', ' 0.00s)']",[' 995.500s'], ,[' 179628185'],"[' 17690484 (Analyzed', ' 17553431)']","[' 33984    (Average', ' 516.52 Last', ' 403143)']",[' 3083.0  '],"[' 1893     (Average Length', ' 883.26 Splits', ' 0)']","[' 17553431 (Deleted', ' 17335398)']","[' 671      (Ratio', '   0.00%)']","[' 26446    (Ratio', '   0.15%)']","[' 17553431 (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17553431 (Average', '  9.96 Max', ' 3164 Sum', ' 174900467)']","[' 17552963 (Average', '  9.94 Max', ' 3164 Sum', ' 174440617 Ratio', '  99.74%)']","[' 468      (Average', ' 982.59 Max', ' 1417 Sum', ' 459850 Ratio', '   0.26%)']", ,[' 91952   '],[' 7199    '],[' 92911   '],[' 56557   '],"[' 169667   (Atom=Atom', ' 50106 Body=Body', ' 26274 Other', ' 93287)']",[' Yes'],"[' 8908     (Eliminated', '    0 Frozen', ' 8908)']","[' 4419     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.7909'],[' 0'], ,[' 648.292'],[' 0'],[' 18.1125'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.93479e+08'],[' 5.643e+08'],[' 0'],[' 4.11726e+10'],[' 0'],[' 0'],[' 819 '],[' 1441 '],[' 2225 '],[' 4239 '],[' 4 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 4285+'],[' 2147'],"[' 1003.529s (Solving', ' 987.42s 1st Model', ' 418.29s Unsat', ' 0.00s)']",[' 997.641s'], ,[' 220428913'],"[' 14293526 (Analyzed', ' 14172911)']","[' 28981    (Average', ' 489.04 Last', ' 342848)']",[' 3498.6  '],"[' 2147     (Average Length', ' 1007.92 Splits', ' 0)']","[' 14172911 (Deleted', ' 14017977)']","[' 725      (Ratio', '   0.01%)']","[' 34769    (Ratio', '   0.25%)']","[' 14172911 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14172911 (Average', ' 15.15 Max', ' 3804 Sum', ' 214761548)']","[' 14172323 (Average', ' 15.11 Max', ' 3804 Sum', ' 214155156 Ratio', '  99.72%)']","[' 588      (Average', ' 1031.28 Max', ' 1919 Sum', ' 606392 Ratio', '   0.28%)']", ,[' 92651   '],[' 7280    '],[' 93822   '],[' 57296   '],"[' 171884   (Atom=Atom', ' 50764 Body=Body', ' 26355 Other', ' 94765)']",[' Yes'],"[' 9198     (Eliminated', '    0 Frozen', ' 9198)']","[' 4661     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.62834'],[' 0'], ,[' 624.35'],[' 0'],[' 20.5533'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.44864e+08'],[' 7.02685e+08'],[' 0'],[' 3.86244e+10'],[' 0'],[' 0'],[' 887 '],[' 1635 '],[' 2351 '],[' 2938 '],[' 4 '],[' 0 ']
