Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 5507+'],[' 2756'],"[' 1007.863s (Solving', ' 981.18s 1st Model', ' 672.93s Unsat', ' 0.00s)']",[' 996.859s'], ,[' 462262667'],"[' 2089770  (Analyzed', ' 1901025)']","[' 5864     (Average', ' 324.19 Last', ' 103049)']",[' 8251.4  '],"[' 2756     (Average Length', ' 1356.34 Splits', ' 0)']","[' 1901025  (Deleted', ' 1815340)']","[' 666      (Ratio', '   0.04%)']","[' 73254    (Ratio', '   3.85%)']","[' 1901025  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1901025  (Average', ' 233.17 Max', ' 9701 Sum', ' 443264822)']","[' 1900653  (Average', ' 232.92 Max', ' 9701 Sum', ' 442781519 Ratio', '  99.89%)']","[' 372      (Average', ' 1299.20 Max', ' 2615 Sum', ' 483303 Ratio', '   0.11%)']", ,[' 97825   '],[' 13701   '],[' 99723   '],[' 65143   '],"[' 195425   (Atom=Atom', ' 52190 Body=Body', ' 32776 Other', ' 110459)']",[' Yes'],"[' 16349    (Eliminated', '    0 Frozen', ' 16349)']","[' 6628     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.04502'],[' 0'], ,[' 325.175'],[' 0'],[' 30.3969'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.82734e+09'],[' 1.69282e+09'],[' 0'],[' 8.84729e+09'],[' 0'],[' 0'],[' 1687 '],[' 3391 '],[' 2 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 5023+'],[' 2514'],"[' 1006.490s (Solving', ' 982.13s 1st Model', ' 515.72s Unsat', ' 0.00s)']",[' 1004.031s'], ,[' 461390284'],"[' 3735127  (Analyzed', ' 3391726)']","[' 7736     (Average', ' 438.43 Last', ' 204703)']",[' 8869.4  '],"[' 2514     (Average Length', ' 1234.59 Splits', ' 0)']","[' 3391726  (Deleted', ' 3300114)']","[' 842      (Ratio', '   0.02%)']","[' 72262    (Ratio', '   2.13%)']","[' 3391726  (Average Length', '   28.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3391726  (Average', ' 130.29 Max', ' 9887 Sum', ' 441919964)']","[' 3391323  (Average', ' 130.17 Max', ' 9530 Sum', ' 441497760 Ratio', '  99.90%)']","[' 403      (Average', ' 1047.65 Max', ' 7704 Sum', ' 422204 Ratio', '   0.10%)']", ,[' 97691   '],[' 13747   '],[' 99354   '],[' 65055   '],"[' 195161   (Atom=Atom', ' 52056 Body=Body', ' 32822 Other', ' 110283)']",[' Yes'],"[' 16160    (Eliminated', '    0 Frozen', ' 16160)']","[' 5494     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.63184'],[' 0'], ,[' 369.121'],[' 0'],[' 30.6302'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59607e+09'],[' 1.45108e+09'],[' 0'],[' 1.22302e+10'],[' 0'],[' 0'],[' 1867 '],[' 3393 '],[' 2 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 6287+'],[' 3146'],"[' 1007.309s (Solving', ' 978.55s 1st Model', ' 822.13s Unsat', ' 0.00s)']",[' 1004.625s'], ,[' 449138845'],"[' 2418419  (Analyzed', ' 1978956)']","[' 7332     (Average', ' 269.91 Last', ' 194190)']",[' 8896.7  '],"[' 3146     (Average Length', ' 1553.26 Splits', ' 0)']","[' 1978956  (Deleted', ' 1902018)']","[' 500      (Ratio', '   0.03%)']","[' 65738    (Ratio', '   3.32%)']","[' 1978956  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1978956  (Average', ' 215.15 Max', ' 10638 Sum', ' 425772564)']","[' 1978571  (Average', ' 214.89 Max', ' 10638 Sum', ' 425263883 Ratio', '  99.88%)']","[' 385      (Average', ' 1321.25 Max', ' 10636 Sum', ' 508681 Ratio', '   0.12%)']", ,[' 97872   '],[' 13540   '],[' 100134  '],[' 65029   '],"[' 195083   (Atom=Atom', ' 52237 Body=Body', ' 32615 Other', ' 110231)']",[' Yes'],"[' 16552    (Eliminated', '    0 Frozen', ' 16552)']","[' 5724     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.63816'],[' 0'], ,[' 334.6'],[' 0'],[' 30.7642'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73094e+09'],[' 1.58893e+09'],[' 0'],[' 8.75646e+09'],[' 0'],[' 0'],[' 1498 '],[' 3231 '],[' 2 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 5911+'],[' 2958'],"[' 1007.744s (Solving', ' 979.54s 1st Model', ' 919.06s Unsat', ' 0.00s)']",[' 1003.203s'], ,[' 434461114'],"[' 2350319  (Analyzed', ' 1656472)']","[' 6467     (Average', ' 256.14 Last', ' 209401)']",[' 8755.5  '],"[' 2958     (Average Length', ' 1462.46 Splits', ' 0)']","[' 1656472  (Deleted', ' 1575481)']","[' 474      (Ratio', '   0.03%)']","[' 69839    (Ratio', '   4.22%)']","[' 1656472  (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1656472  (Average', ' 248.92 Max', ' 10766 Sum', ' 412332836)']","[' 1656108  (Average', ' 248.64 Max', ' 10766 Sum', ' 411863116 Ratio', '  99.89%)']","[' 364      (Average', ' 1290.44 Max', ' 8160 Sum', ' 469720 Ratio', '   0.11%)']", ,[' 97978   '],[' 13702   '],[' 100099  '],[' 65297   '],"[' 195887   (Atom=Atom', ' 52343 Body=Body', ' 32777 Other', ' 110767)']",[' Yes'],"[' 16573    (Eliminated', '    0 Frozen', ' 16573)']","[' 6066     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.34304'],[' 0'], ,[' 331.772'],[' 0'],[' 30.6321'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65e+09'],[' 1.52648e+09'],[' 0'],[' 8.25675e+09'],[' 0'],[' 0'],[' 1609 '],[' 3275 '],[' 2 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 5933+'],[' 2969'],"[' 1008.157s (Solving', ' 979.14s 1st Model', ' 496.93s Unsat', ' 0.00s)']",[' 1004.297s'], ,[' 425939544'],"[' 2453178  (Analyzed', ' 2088169)']","[' 6282     (Average', ' 332.41 Last', ' 90641)']",[' 8863.3  '],"[' 2969     (Average Length', ' 1463.89 Splits', ' 0)']","[' 2088169  (Deleted', ' 2004514)']","[' 790      (Ratio', '   0.04%)']","[' 69666    (Ratio', '   3.34%)']","[' 2088169  (Average Length', '   25.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2088169  (Average', ' 193.41 Max', ' 9742 Sum', ' 403863492)']","[' 2087767  (Average', ' 193.15 Max', ' 9742 Sum', ' 403328785 Ratio', '  99.87%)']","[' 402      (Average', ' 1330.12 Max', ' 2832 Sum', ' 534707 Ratio', '   0.13%)']", ,[' 98003   '],[' 13702   '],[' 100095  '],[' 65322   '],"[' 195962   (Atom=Atom', ' 52368 Body=Body', ' 32777 Other', ' 110817)']",[' Yes'],"[' 16544    (Eliminated', '    0 Frozen', ' 16544)']","[' 6719     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.45253'],[' 0'], ,[' 339.79'],[' 0'],[' 30.4732'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55727e+09'],[' 1.4311e+09'],[' 0'],[' 8.62544e+09'],[' 0'],[' 0'],[' 1762 '],[' 3361 '],[' 2 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 5981+'],[' 2993'],"[' 1008.041s (Solving', ' 974.98s 1st Model', ' 359.74s Unsat', ' 0.00s)']",[' 1002.609s'], ,[' 384615097'],"[' 3496486  (Analyzed', ' 3247204)']","[' 7204     (Average', ' 450.75 Last', ' 142374)']",[' 9047.3  '],"[' 2993     (Average Length', ' 1468.15 Splits', ' 0)']","[' 3247204  (Deleted', ' 3160972)']","[' 819      (Ratio', '   0.03%)']","[' 60751    (Ratio', '   1.87%)']","[' 3247204  (Average Length', '   25.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3247204  (Average', ' 111.42 Max', ' 11233 Sum', ' 361816039)']","[' 3246849  (Average', ' 111.29 Max', ' 9608 Sum', ' 361370691 Ratio', '  99.88%)']","[' 355      (Average', ' 1254.50 Max', ' 2829 Sum', ' 445348 Ratio', '   0.12%)']", ,[' 97791   '],[' 13590   '],[' 99869   '],[' 64998   '],"[' 194990   (Atom=Atom', ' 52156 Body=Body', ' 32665 Other', ' 110169)']",[' Yes'],"[' 16418    (Eliminated', '    0 Frozen', ' 16418)']","[' 5461     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.18513'],[' 0'], ,[' 374.656'],[' 0'],[' 30.6135'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20931e+09'],[' 1.09797e+09'],[' 0'],[' 9.68879e+09'],[' 0'],[' 0'],[' 1903 '],[' 3368 '],[' 2 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 5311+'],[' 2658'],"[' 1008.439s (Solving', ' 975.25s 1st Model', ' 478.52s Unsat', ' 0.00s)']",[' 1001.000s'], ,[' 357460729'],"[' 2204887  (Analyzed', ' 1849604)']","[' 5488     (Average', ' 337.03 Last', ' 86087)']",[' 8902.7  '],"[' 2658     (Average Length', ' 1308.93 Splits', ' 0)']","[' 1849604  (Deleted', ' 1772349)']","[' 731      (Ratio', '   0.04%)']","[' 60458    (Ratio', '   3.27%)']","[' 1849604  (Average Length', '   27.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1849604  (Average', ' 182.26 Max', ' 11054 Sum', ' 337117375)']","[' 1849203  (Average', ' 182.04 Max', ' 9382 Sum', ' 336692870 Ratio', '  99.87%)']","[' 401      (Average', ' 1058.62 Max', ' 9865 Sum', ' 424505 Ratio', '   0.13%)']", ,[' 97589   '],[' 13627   '],[' 99402   '],[' 64833   '],"[' 194495   (Atom=Atom', ' 51954 Body=Body', ' 32702 Other', ' 109839)']",[' Yes'],"[' 16190    (Eliminated', '    0 Frozen', ' 16190)']","[' 5896     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.14924'],[' 0'], ,[' 354.211'],[' 0'],[' 31.292'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13732e+09'],[' 1.04612e+09'],[' 0'],[' 6.9964e+09'],[' 0'],[' 0'],[' 1981 '],[' 3588 '],[' 2 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 6033+'],[' 3019'],"[' 1008.173s (Solving', ' 974.34s 1st Model', ' 479.15s Unsat', ' 0.01s)']",[' 1000.281s'], ,[' 369306144'],"[' 1915146  (Analyzed', ' 1533212)']","[' 5361     (Average', ' 285.99 Last', ' 211914)']",[' 8808.4  '],"[' 3019     (Average Length', ' 1490.22 Splits', ' 0)']","[' 1533212  (Deleted', ' 1454834)']","[' 644      (Ratio', '   0.04%)']","[' 61171    (Ratio', '   3.99%)']","[' 1533212  (Average Length', '   26.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1533212  (Average', ' 226.42 Max', ' 10248 Sum', ' 347152432)']","[' 1532790  (Average', ' 226.07 Max', ' 9664 Sum', ' 346614341 Ratio', '  99.84%)']","[' 422      (Average', ' 1275.10 Max', ' 2863 Sum', ' 538091 Ratio', '   0.16%)']", ,[' 98088   '],[' 13677   '],[' 100221  '],[' 65382   '],"[' 196142   (Atom=Atom', ' 52453 Body=Body', ' 32752 Other', ' 110937)']",[' Yes'],"[' 16560    (Eliminated', '    0 Frozen', ' 16560)']","[' 5904     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.38619'],[' 0'], ,[' 343.646'],[' 0'],[' 31.148'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20045e+09'],[' 1.10452e+09'],[' 0'],[' 6.46495e+09'],[' 0'],[' 0'],[' 1830 '],[' 3518 '],[' 2 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 5715+'],[' 2860'],"[' 1008.016s (Solving', ' 975.77s 1st Model', ' 674.71s Unsat', ' 0.00s)']",[' 1002.109s'], ,[' 400288701'],"[' 1791159  (Analyzed', ' 1540281)']","[' 5080     (Average', ' 303.20 Last', ' 104712)']",[' 8760.3  '],"[' 2860     (Average Length', ' 1404.98 Splits', ' 0)']","[' 1540281  (Deleted', ' 1460942)']","[' 627      (Ratio', '   0.04%)']","[' 66915    (Ratio', '   4.34%)']","[' 1540281  (Average Length', '   25.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1540281  (Average', ' 246.22 Max', ' 9400 Sum', ' 379250552)']","[' 1539919  (Average', ' 245.92 Max', ' 9400 Sum', ' 378779455 Ratio', '  99.88%)']","[' 362      (Average', ' 1301.37 Max', ' 2686 Sum', ' 471097 Ratio', '   0.12%)']", ,[' 97782   '],[' 13678   '],[' 99746   '],[' 65077   '],"[' 195227   (Atom=Atom', ' 52147 Body=Body', ' 32753 Other', ' 110327)']",[' Yes'],"[' 16392    (Eliminated', '    0 Frozen', ' 16392)']","[' 5726     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.08045'],[' 0'], ,[' 335.246'],[' 0'],[' 30.5478'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37433e+09'],[' 1.27173e+09'],[' 0'],[' 7.29849e+09'],[' 0'],[' 0'],[' 1642 '],[' 3288 '],[' 2 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 5215+'],[' 2610'],"[' 1006.393s (Solving', ' 984.04s 1st Model', ' 788.82s Unsat', ' 0.00s)']",[' 1003.531s'], ,[' 456960213'],"[' 2407658  (Analyzed', ' 1980392)']","[' 6529     (Average', ' 303.32 Last', ' 723915)']",[' 8218.7  '],"[' 2610     (Average Length', ' 1288.69 Splits', ' 0)']","[' 1980392  (Deleted', ' 1900715)']","[' 740      (Ratio', '   0.04%)']","[' 70082    (Ratio', '   3.54%)']","[' 1980392  (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1980392  (Average', ' 221.52 Max', ' 9589 Sum', ' 438692951)']","[' 1979955  (Average', ' 221.23 Max', ' 9543 Sum', ' 438124656 Ratio', '  99.87%)']","[' 437      (Average', ' 1300.45 Max', ' 2497 Sum', ' 568295 Ratio', '   0.13%)']", ,[' 97450   '],[' 13612   '],[' 99200   '],[' 64679   '],"[' 194033   (Atom=Atom', ' 51815 Body=Body', ' 32687 Other', ' 109531)']",[' Yes'],"[' 16112    (Eliminated', '    0 Frozen', ' 16112)']","[' 6519     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.2552'],[' 0'], ,[' 335.545'],[' 0'],[' 30.7751'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78733e+09'],[' 1.64685e+09'],[' 0'],[' 9.15722e+09'],[' 0'],[' 0'],[' 1618 '],[' 3226 '],[' 2 '],[' 0 ']
