Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 8723+'],[' 4368'],"[' 900.348s (Solving', ' 789.75s 1st Model', ' 528.37s Unsat', ' 0.00s)']",[' 888.625s'], ,[' 439613006'],"[' 4335912  (Analyzed', ' 4073989)']","[' 9191     (Average', ' 443.26 Last', ' 28520)']",[' 19410.5 '],"[' 4367     (Average Length', ' 2126.99 Splits', ' 0)']","[' 4073989  (Deleted', ' 4002752)']","[' 2089     (Ratio', '   0.05%)']","[' 25846    (Ratio', '   0.63%)']","[' 4073989  (Average Length', '   30.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4073989  (Average', ' 89.22 Max', ' 37261 Sum', ' 363495745)']","[' 4073989  (Average', ' 89.22 Max', ' 37261 Sum', ' 363495745 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 423342  '],[' 46330   '],[' 425586  '],[' 290642  '],"[' 871922   (Atom=Atom', ' 246310 Body=Body', ' 147230 Other', ' 478382)']",[' Yes'],"[' 50574    (Eliminated', '    0 Frozen', ' 50574)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.2667'],[' 0'], ,[' 369.194'],[' 0'],[' 34.4521'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.94056e+08'],[' 8.29977e+08'],[' 0'],[' 1.15098e+10'],[' 0'],[' 0'],[' 1516 '],[' 2678 '],[' 9594 '],[' 16670 '],[' 23642 '],[' 28325 '],[' 6 '],[' 0 ']
Solving...,TA72, , ,[' 12915+'],[' 6463'],"[' 1049.476s (Solving', ' 872.10s 1st Model', ' 532.60s Unsat', ' 0.00s)']",[' 1036.844s'], ,[' 457218752'],"[' 6120168  (Analyzed', ' 5605569)']","[' 12967    (Average', ' 432.29 Last', ' 14246)']",[' 23731.9 '],"[' 6464     (Average Length', ' 3014.68 Splits', ' 0)']","[' 5605569  (Deleted', ' 5532491)']","[' 2075     (Ratio', '   0.04%)']","[' 21275    (Ratio', '   0.38%)']","[' 5605569  (Average Length', '   20.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5605569  (Average', ' 57.53 Max', ' 39231 Sum', ' 322501375)']","[' 5605568  (Average', ' 57.53 Max', ' 39231 Sum', ' 322501187 Ratio', ' 100.00%)']","[' 1        (Average', ' 188.00 Max', ' 188 Sum', '    188 Ratio', '   0.00%)']", ,[' 422936  '],[' 45875   '],[' 426794  '],[' 290488  '],"[' 871460   (Atom=Atom', ' 246611 Body=Body', ' 146775 Other', ' 478074)']",[' Yes'],"[' 51733    (Eliminated', '    0 Frozen', ' 51733)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.1222'],[' 0'], ,[' 402.463'],[' 0'],[' 36.8015'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.68192e+08'],[' 8.98795e+08'],[' 0'],[' 1.1127e+10'],[' 0'],[' 0'],[' 1283 '],[' 2232 '],[' 3384 '],[' 13149 '],[' 13127 '],[' 16281 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 12515+'],[' 6263'],"[' 1041.367s (Solving', ' 896.46s 1st Model', ' 512.29s Unsat', ' 0.00s)']",[' 1033.563s'], ,[' 514718654'],"[' 5889783  (Analyzed', ' 5405563)']","[' 12424    (Average', ' 435.09 Last', ' 20020)']",[' 21429.0 '],"[' 6263     (Average Length', ' 2941.57 Splits', ' 0)']","[' 5405563  (Deleted', ' 5340613)']","[' 2119     (Ratio', '   0.04%)']","[' 25475    (Ratio', '   0.47%)']","[' 5405563  (Average Length', '   31.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5405563  (Average', ' 73.63 Max', ' 38747 Sum', ' 398019539)']","[' 5405563  (Average', ' 73.63 Max', ' 38747 Sum', ' 398019539 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 425625  '],[' 46408   '],[' 429404  '],[' 292706  '],"[' 878114   (Atom=Atom', ' 248296 Body=Body', ' 147308 Other', ' 482510)']",[' Yes'],"[' 52187    (Eliminated', '    0 Frozen', ' 52187)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.3646'],[' 0'], ,[' 431.373'],[' 0'],[' 36.4745'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04345e+09'],[' 9.67134e+08'],[' 0'],[' 1.66015e+10'],[' 0'],[' 0'],[' 1570 '],[' 2544 '],[' 6435 '],[' 9551 '],[' 21925 '],[' 25296 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 13701+'],[' 6856'],"[' 1044.261s (Solving', ' 890.52s 1st Model', ' 567.05s Unsat', ' 0.00s)']",[' 1036.734s'], ,[' 532303892'],"[' 4632613  (Analyzed', ' 4079675)']","[' 10731    (Average', ' 380.18 Last', ' 50255)']",[' 20454.2 '],"[' 6856     (Average Length', ' 3195.37 Splits', ' 0)']","[' 4079675  (Deleted', ' 4007859)']","[' 1620     (Ratio', '   0.04%)']","[' 32672    (Ratio', '   0.80%)']","[' 4079675  (Average Length', '   26.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4079675  (Average', ' 101.24 Max', ' 36270 Sum', ' 413010111)']","[' 4079674  (Average', ' 101.23 Max', ' 36270 Sum', ' 413001293 Ratio', ' 100.00%)']","[' 1        (Average', ' 8818.00 Max', ' 8818 Sum', '   8818 Ratio', '   0.00%)']", ,[' 423364  '],[' 45600   '],[' 427600  '],[' 290181  '],"[' 870539   (Atom=Atom', ' 246579 Body=Body', ' 146500 Other', ' 477460)']",[' Yes'],"[' 51836    (Eliminated', '    0 Frozen', ' 51836)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.5376'],[' 0'], ,[' 395.982'],[' 0'],[' 35.9986'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23471e+09'],[' 1.13776e+09'],[' 0'],[' 1.28377e+10'],[' 0'],[' 0'],[' 1108 '],[' 2181 '],[' 10073 '],[' 8617 '],[' 18522 '],[' 24068 '],[' 6 '],[' 0 ']
Solving...,TA75, , ,[' 13349+'],[' 6681'],"[' 1044.710s (Solving', ' 889.28s 1st Model', ' 598.79s Unsat', ' 0.00s)']",[' 1036.063s'], ,[' 532500205'],"[' 6420606  (Analyzed', ' 5925863)']","[' 12969    (Average', ' 456.93 Last', ' 7018)']",[' 21586.3 '],"[' 6682     (Average Length', ' 3141.18 Splits', ' 0)']","[' 5925863  (Deleted', ' 5852282)']","[' 1896     (Ratio', '   0.03%)']","[' 25880    (Ratio', '   0.44%)']","[' 5925863  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5925863  (Average', ' 68.91 Max', ' 37164 Sum', ' 408352126)']","[' 5925863  (Average', ' 68.91 Max', ' 37164 Sum', ' 408352126 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 425291  '],[' 46007   '],[' 429477  '],[' 292213  '],"[' 876635   (Atom=Atom', ' 248204 Body=Body', ' 146907 Other', ' 481524)']",[' Yes'],"[' 52193    (Eliminated', '    0 Frozen', ' 52193)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.6282'],[' 0'], ,[' 402.565'],[' 0'],[' 36.8823'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14552e+09'],[' 1.0648e+09'],[' 0'],[' 1.31497e+10'],[' 0'],[' 0'],[' 1261 '],[' 2345 '],[' 9247 '],[' 6189 '],[' 17345 '],[' 20860 '],[' 6 '],[' 0 ']
Solving...,TA76, , ,[' 11791+'],[' 5900'],"[' 1049.042s (Solving', ' 890.38s 1st Model', ' 574.98s Unsat', ' 0.00s)']",[' 1034.125s'], ,[' 454483204'],"[' 5202919  (Analyzed', ' 4871643)']","[' 10643    (Average', ' 457.73 Last', ' 149166)']",[' 21081.2 '],"[' 5901     (Average Length', ' 2840.26 Splits', ' 0)']","[' 4871643  (Deleted', ' 4802297)']","[' 1857     (Ratio', '   0.04%)']","[' 22973    (Ratio', '   0.47%)']","[' 4871643  (Average Length', '   22.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4871643  (Average', ' 71.06 Max', ' 36938 Sum', ' 346175659)']","[' 4871643  (Average', ' 71.06 Max', ' 36938 Sum', ' 346175659 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 423495  '],[' 45779   '],[' 427152  '],[' 290852  '],"[' 872552   (Atom=Atom', ' 247071 Body=Body', ' 146679 Other', ' 478802)']",[' Yes'],"[' 51436    (Eliminated', '    0 Frozen', ' 51436)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.7328'],[' 0'], ,[' 416.673'],[' 0'],[' 36.7797'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.83255e+08'],[' 9.14275e+08'],[' 0'],[' 1.20258e+10'],[' 0'],[' 0'],[' 1287 '],[' 2315 '],[' 10482 '],[' 19410 '],[' 26735 '],[' 28342 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 13317+'],[' 6664'],"[' 1048.603s (Solving', ' 888.59s 1st Model', ' 552.72s Unsat', ' 0.00s)']",[' 1040.188s'], ,[' 485575901'],"[' 5672064  (Analyzed', ' 5180936)']","[' 11288    (Average', ' 458.98 Last', ' 199874)']",[' 20924.4 '],"[' 6664     (Average Length', ' 3194.71 Splits', ' 0)']","[' 5180936  (Deleted', ' 5106894)']","[' 1934     (Ratio', '   0.04%)']","[' 19488    (Ratio', '   0.38%)']","[' 5180936  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5180936  (Average', ' 70.77 Max', ' 37263 Sum', ' 366652630)']","[' 5180936  (Average', ' 70.77 Max', ' 37263 Sum', ' 366652630 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 423366  '],[' 45622   '],[' 427672  '],[' 290403  '],"[' 871205   (Atom=Atom', ' 246779 Body=Body', ' 146522 Other', ' 477904)']",[' Yes'],"[' 51928    (Eliminated', '    0 Frozen', ' 51928)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.6533'],[' 0'], ,[' 415.148'],[' 0'],[' 38.2982'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.82583e+08'],[' 9.17049e+08'],[' 0'],[' 1.2535e+10'],[' 0'],[' 0'],[' 1332 '],[' 2491 '],[' 8762 '],[' 14861 '],[' 19170 '],[' 23601 '],[' 6 '],[' 0 ']
Solving...,TA78, , ,[' 15253+'],[' 7632'],"[' 1058.011s (Solving', ' 856.82s 1st Model', ' 520.72s Unsat', ' 0.00s)']",[' 1047.031s'], ,[' 455173666'],"[' 7017796  (Analyzed', ' 6420355)']","[' 14476    (Average', ' 443.52 Last', ' 10102)']",[' 23923.6 '],"[' 7633     (Average Length', ' 3457.62 Splits', ' 0)']","[' 6420355  (Deleted', ' 6330444)']","[' 2188     (Ratio', '   0.03%)']","[' 22739    (Ratio', '   0.35%)']","[' 6420355  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6420355  (Average', ' 46.42 Max', ' 38165 Sum', ' 298028281)']","[' 6420355  (Average', ' 46.42 Max', ' 38165 Sum', ' 298028281 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 424170  '],[' 45986   '],[' 428574  '],[' 291988  '],"[' 875960   (Atom=Atom', ' 248000 Body=Body', ' 146886 Other', ' 481074)']",[' Yes'],"[' 52390    (Eliminated', '    0 Frozen', ' 52390)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 32.2459'],[' 0'], ,[' 400.158'],[' 0'],[' 34.2071'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.85677e+08'],[' 9.14176e+08'],[' 0'],[' 1.22929e+10'],[' 0'],[' 0'],[' 1324 '],[' 2328 '],[' 9919 '],[' 9533 '],[' 11605 '],[' 13015 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 11815+'],[' 5913'],"[' 1039.050s (Solving', ' 899.94s 1st Model', ' 582.11s Unsat', ' 0.00s)']",[' 1029.688s'], ,[' 507307426'],"[' 3517829  (Analyzed', ' 3173592)']","[' 7791     (Average', ' 407.34 Last', ' 5142)']",[' 19725.9 '],"[' 5913     (Average Length', ' 2776.62 Splits', ' 0)']","[' 3173592  (Deleted', ' 3105799)']","[' 1998     (Ratio', '   0.06%)']","[' 35741    (Ratio', '   1.13%)']","[' 3173592  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3173592  (Average', ' 128.08 Max', ' 35793 Sum', ' 406463719)']","[' 3173591  (Average', ' 128.08 Max', ' 35793 Sum', ' 406463679 Ratio', ' 100.00%)']","[' 1        (Average', ' 40.00 Max', '  40 Sum', '     40 Ratio', '   0.00%)']", ,[' 423526  '],[' 46101   '],[' 427047  '],[' 290563  '],"[' 871685   (Atom=Atom', ' 246460 Body=Body', ' 147001 Other', ' 478224)']",[' Yes'],"[' 51622    (Eliminated', '    0 Frozen', ' 51622)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.1265'],[' 0'], ,[' 380.459'],[' 0'],[' 37.1822'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23426e+09'],[' 1.14324e+09'],[' 0'],[' 1.0042e+10'],[' 0'],[' 0'],[' 1089 '],[' 2241 '],[' 3668 '],[' 11633 '],[' 22298 '],[' 25355 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 13263+'],[' 6638'],"[' 1045.098s (Solving', ' 878.06s 1st Model', ' 550.17s Unsat', ' 0.00s)']",[' 1036.516s'], ,[' 496960868'],"[' 4281981  (Analyzed', ' 3797150)']","[' 9423     (Average', ' 402.97 Last', ' 17386)']",[' 22512.5 '],"[' 6638     (Average Length', ' 3057.47 Splits', ' 0)']","[' 3797150  (Deleted', ' 3730107)']","[' 2064     (Ratio', '   0.05%)']","[' 31280    (Ratio', '   0.82%)']","[' 3797150  (Average Length', '   29.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3797150  (Average', ' 96.66 Max', ' 37234 Sum', ' 367020031)']","[' 3797150  (Average', ' 96.66 Max', ' 37234 Sum', ' 367020031 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 424708  '],[' 46076   '],[' 428604  '],[' 291710  '],"[' 875126   (Atom=Atom', ' 247632 Body=Body', ' 146976 Other', ' 480518)']",[' Yes'],"[' 51972    (Eliminated', '    0 Frozen', ' 51972)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.2001'],[' 0'], ,[' 387.153'],[' 0'],[' 36.5237'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10869e+09'],[' 1.02829e+09'],[' 0'],[' 1.09602e+10'],[' 0'],[' 0'],[' 1440 '],[' 2379 '],[' 4424 '],[' 6344 '],[' 13636 '],[' 15263 '],[' 6 '],[' 0 ']
