Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 6975+'],[' 3490'],"[' 1010.992s (Solving', ' 956.03s 1st Model', ' 804.32s Unsat', ' 0.00s)']",[' 998.156s'], ,[' 283538498'],"[' 4124977  (Analyzed', ' 811247)']","[' 4756     (Average', ' 170.57 Last', ' 88335)']",[' 8852.2  '],"[' 3490     (Average Length', ' 1709.00 Splits', ' 0)']","[' 811247   (Deleted', ' 759082)']","[' 170      (Ratio', '   0.02%)']","[' 42802    (Ratio', '   5.28%)']","[' 811247   (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 811247   (Average', ' 315.51 Max', ' 9438 Sum', ' 255956566)']","[' 810643   (Average', ' 314.15 Max', ' 8437 Sum', ' 254855474 Ratio', '  99.57%)']","[' 604      (Average', ' 1823.00 Max', ' 1823 Sum', ' 1101092 Ratio', '   0.43%)']", ,[' 126640  '],[' 13054   '],[' 128946  '],[' 78154   '],"[' 234458   (Atom=Atom', ' 66098 Body=Body', ' 38504 Other', ' 129856)']",[' Yes'],"[' 16360    (Eliminated', '    0 Frozen', ' 16360)']","[' 5047     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0378'],[' 0'], ,[' 425.23'],[' 0'],[' 30.7139'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.25881e+08'],[' 6.53486e+08'],[' 0'],[' 1.05562e+10'],[' 0'],[' 0'],[' 1831 '],[' 3536 '],[' 2 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 6937+'],[' 3471'],"[' 1011.154s (Solving', ' 954.37s 1st Model', ' 731.54s Unsat', ' 0.00s)']",[' 995.781s'], ,[' 328141118'],"[' 5202039  (Analyzed', ' 939045)']","[' 5141     (Average', ' 182.66 Last', ' 140371)']",[' 9042.8  '],"[' 3471     (Average Length', ' 1691.13 Splits', ' 0)']","[' 939045   (Deleted', ' 881900)']","[' 178      (Ratio', '   0.02%)']","[' 49217    (Ratio', '   5.24%)']","[' 939045   (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 939045   (Average', ' 318.43 Max', ' 9330 Sum', ' 299023682)']","[' 938410   (Average', ' 317.36 Max', ' 8350 Sum', ' 298018477 Ratio', '  99.66%)']","[' 635      (Average', ' 1583.00 Max', ' 1583 Sum', ' 1005205 Ratio', '   0.34%)']", ,[' 127005  '],[' 13182   '],[' 129269  '],[' 78647   '],"[' 235937   (Atom=Atom', ' 66463 Body=Body', ' 38632 Other', ' 130842)']",[' Yes'],"[' 16446    (Eliminated', '    0 Frozen', ' 16446)']","[' 5185     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7101'],[' 0'], ,[' 427.877'],[' 0'],[' 29.6148'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.85347e+08'],[' 8.00682e+08'],[' 0'],[' 1.49652e+10'],[' 0'],[' 0'],[' 1915 '],[' 3684 '],[' 2 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 6801+'],[' 3403'],"[' 1006.172s (Solving', ' 975.41s 1st Model', ' 853.09s Unsat', ' 0.00s)']",[' 999.891s'], ,[' 450246375'],"[' 4569915  (Analyzed', ' 1792936)']","[' 7332     (Average', ' 244.54 Last', ' 191477)']",[' 8476.7  '],"[' 3403     (Average Length', ' 1668.03 Splits', ' 0)']","[' 1792936  (Deleted', ' 1719945)']","[' 347      (Ratio', '   0.02%)']","[' 59270    (Ratio', '   3.31%)']","[' 1792936  (Average Length', '   22.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1792936  (Average', ' 237.06 Max', ' 9261 Sum', ' 425039727)']","[' 1792345  (Average', ' 236.43 Max', ' 8718 Sum', ' 423903825 Ratio', '  99.73%)']","[' 591      (Average', ' 1922.00 Max', ' 1922 Sum', ' 1135902 Ratio', '   0.27%)']", ,[' 126571  '],[' 13060   '],[' 128815  '],[' 78091   '],"[' 234269   (Atom=Atom', ' 66029 Body=Body', ' 38510 Other', ' 129730)']",[' Yes'],"[' 16304    (Eliminated', '    0 Frozen', ' 16304)']","[' 6896     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.08721'],[' 0'], ,[' 414.477'],[' 0'],[' 30.103'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41809e+09'],[' 1.27525e+09'],[' 0'],[' 1.75585e+10'],[' 0'],[' 0'],[' 1751 '],[' 3441 '],[' 2 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 6957+'],[' 3481'],"[' 1012.627s (Solving', ' 935.30s 1st Model', ' 485.31s Unsat', ' 0.00s)']",[' 990.797s'], ,[' 220817552'],"[' 5159927  (Analyzed', ' 511639)']","[' 4080     (Average', ' 125.40 Last', ' 35884)']",[' 9021.1  '],"[' 3481     (Average Length', ' 1690.05 Splits', ' 0)']","[' 511639   (Deleted', ' 472747)']","[' 121      (Ratio', '   0.02%)']","[' 33427    (Ratio', '   6.53%)']","[' 511639   (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 511639   (Average', ' 374.47 Max', ' 10112 Sum', ' 191591119)']","[' 510890   (Average', ' 372.04 Max', ' 8663 Sum', ' 190350775 Ratio', '  99.35%)']","[' 749      (Average', ' 1656.00 Max', ' 1656 Sum', ' 1240344 Ratio', '   0.65%)']", ,[' 126853  '],[' 13128   '],[' 129121  '],[' 78441   '],"[' 235319   (Atom=Atom', ' 66311 Body=Body', ' 38578 Other', ' 130430)']",[' Yes'],"[' 16396    (Eliminated', '    0 Frozen', ' 16396)']","[' 4748     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.3525'],[' 0'], ,[' 428.833'],[' 0'],[' 31.4632'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.9214e+08'],[' 4.41335e+08'],[' 0'],[' 9.74105e+09'],[' 0'],[' 0'],[' 1768 '],[' 3368 '],[' 2 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 6593+'],[' 3299'],"[' 1006.563s (Solving', ' 976.13s 1st Model', ' 825.71s Unsat', ' 0.00s)']",[' 1003.953s'], ,[' 478910840'],"[' 5148524  (Analyzed', ' 1894940)']","[' 7671     (Average', ' 247.03 Last', ' 213979)']",[' 8818.1  '],"[' 3299     (Average Length', ' 1615.74 Splits', ' 0)']","[' 1894940  (Deleted', ' 1822710)']","[' 300      (Ratio', '   0.02%)']","[' 62720    (Ratio', '   3.31%)']","[' 1894940  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1894940  (Average', ' 238.56 Max', ' 9123 Sum', ' 452065760)']","[' 1894322  (Average', ' 238.10 Max', ' 7847 Sum', ' 451189436 Ratio', '  99.81%)']","[' 618      (Average', ' 1418.00 Max', ' 1418 Sum', ' 876324 Ratio', '   0.19%)']", ,[' 126605  '],[' 13106   '],[' 128772  '],[' 78171   '],"[' 234509   (Atom=Atom', ' 66063 Body=Body', ' 38556 Other', ' 129890)']",[' Yes'],"[' 16273    (Eliminated', '    0 Frozen', ' 16273)']","[' 7336     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.05057'],[' 0'], ,[' 414.652'],[' 0'],[' 29.1639'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63258e+09'],[' 1.47839e+09'],[' 0'],[' 1.99867e+10'],[' 0'],[' 0'],[' 1654 '],[' 3342 '],[' 2 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 7213+'],[' 3609'],"[' 1006.890s (Solving', ' 975.38s 1st Model', ' 857.18s Unsat', ' 0.00s)']",[' 1004.234s'], ,[' 488348545'],"[' 4865193  (Analyzed', ' 1898523)']","[' 8222     (Average', ' 230.91 Last', ' 193653)']",[' 8814.0  '],"[' 3609     (Average Length', ' 1769.43 Splits', ' 0)']","[' 1898523  (Deleted', ' 1826841)']","[' 335      (Ratio', '   0.02%)']","[' 62254    (Ratio', '   3.28%)']","[' 1898523  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1898523  (Average', ' 242.50 Max', ' 9880 Sum', ' 460385042)']","[' 1897934  (Average', ' 241.96 Max', ' 8512 Sum', ' 459366072 Ratio', '  99.78%)']","[' 589      (Average', ' 1730.00 Max', ' 1730 Sum', ' 1018970 Ratio', '   0.22%)']", ,[' 127137  '],[' 13180   '],[' 129530  '],[' 78777   '],"[' 236327   (Atom=Atom', ' 66595 Body=Body', ' 38630 Other', ' 131102)']",[' Yes'],"[' 16573    (Eliminated', '    0 Frozen', ' 16573)']","[' 7157     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.53941'],[' 0'], ,[' 404.815'],[' 0'],[' 29.2306'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63973e+09'],[' 1.48295e+09'],[' 0'],[' 1.92947e+10'],[' 0'],[' 0'],[' 1713 '],[' 3456 '],[' 2 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 6981+'],[' 3493'],"[' 1006.656s (Solving', ' 974.78s 1st Model', ' 836.18s Unsat', ' 0.00s)']",[' 1004.156s'], ,[' 482738410'],"[' 4888313  (Analyzed', ' 1908061)']","[' 7920     (Average', ' 240.92 Last', ' 172074)']",[' 8828.1  '],"[' 3493     (Average Length', ' 1698.33 Splits', ' 0)']","[' 1908061  (Deleted', ' 1836633)']","[' 365      (Ratio', '   0.02%)']","[' 62003    (Ratio', '   3.25%)']","[' 1908061  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1908061  (Average', ' 238.55 Max', ' 9254 Sum', ' 455172790)']","[' 1907462  (Average', ' 238.08 Max', ' 7741 Sum', ' 454266503 Ratio', '  99.80%)']","[' 599      (Average', ' 1513.00 Max', ' 1513 Sum', ' 906287 Ratio', '   0.20%)']", ,[' 126817  '],[' 13112   '],[' 129102  '],[' 78389   '],"[' 235163   (Atom=Atom', ' 66275 Body=Body', ' 38562 Other', ' 130326)']",[' Yes'],"[' 16397    (Eliminated', '    0 Frozen', ' 16397)']","[' 7072     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.3618'],[' 0'], ,[' 410.675'],[' 0'],[' 29.3094'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5784e+09'],[' 1.42565e+09'],[' 0'],[' 2.00781e+10'],[' 0'],[' 0'],[' 1855 '],[' 3501 '],[' 2 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 7007+'],[' 3506'],"[' 1007.355s (Solving', ' 977.32s 1st Model', ' 887.95s Unsat', ' 0.00s)']",[' 1004.031s'], ,[' 499196804'],"[' 4962343  (Analyzed', ' 2010375)']","[' 7987     (Average', ' 251.71 Last', ' 299935)']",[' 8598.3  '],"[' 3506     (Average Length', ' 1720.95 Splits', ' 0)']","[' 2010375  (Deleted', ' 1937442)']","[' 345      (Ratio', '   0.02%)']","[' 61452    (Ratio', '   3.06%)']","[' 2010375  (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2010375  (Average', ' 235.14 Max', ' 9415 Sum', ' 472723974)']","[' 2009763  (Average', ' 234.59 Max', ' 7653 Sum', ' 471609522 Ratio', '  99.76%)']","[' 612      (Average', ' 1821.00 Max', ' 1821 Sum', ' 1114452 Ratio', '   0.24%)']", ,[' 126686  '],[' 13064   '],[' 128981  '],[' 78210   '],"[' 234626   (Atom=Atom', ' 66144 Body=Body', ' 38514 Other', ' 129968)']",[' Yes'],"[' 16359    (Eliminated', '    0 Frozen', ' 16359)']","[' 7159     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.95136'],[' 0'], ,[' 410.604'],[' 0'],[' 29.9375'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62838e+09'],[' 1.46922e+09'],[' 0'],[' 1.9745e+10'],[' 0'],[' 0'],[' 1719 '],[' 3412 '],[' 2 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 6777+'],[' 3391'],"[' 1006.819s (Solving', ' 975.97s 1st Model', ' 865.16s Unsat', ' 0.00s)']",[' 1004.266s'], ,[' 486705260'],"[' 4611960  (Analyzed', ' 1930030)']","[' 7859     (Average', ' 245.58 Last', ' 220572)']",[' 8706.2  '],"[' 3391     (Average Length', ' 1650.63 Splits', ' 0)']","[' 1930030  (Deleted', ' 1852494)']","[' 375      (Ratio', '   0.02%)']","[' 65434    (Ratio', '   3.39%)']","[' 1930030  (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1930030  (Average', ' 238.61 Max', ' 9555 Sum', ' 460515673)']","[' 1929366  (Average', ' 238.08 Max', ' 8269 Sum', ' 459492449 Ratio', '  99.78%)']","[' 664      (Average', ' 1541.00 Max', ' 1541 Sum', ' 1023224 Ratio', '   0.22%)']", ,[' 126793  '],[' 13138   '],[' 129000  '],[' 78391   '],"[' 235169   (Atom=Atom', ' 66251 Body=Body', ' 38588 Other', ' 130330)']",[' Yes'],"[' 16345    (Eliminated', '    0 Frozen', ' 16345)']","[' 7837     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.0948'],[' 0'], ,[' 405.051'],[' 0'],[' 29.4095'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6397e+09'],[' 1.48848e+09'],[' 0'],[' 1.95367e+10'],[' 0'],[' 0'],[' 1901 '],[' 3607 '],[' 2 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 7103+'],[' 3554'],"[' 1007.263s (Solving', ' 975.31s 1st Model', ' 862.83s Unsat', ' 0.00s)']",[' 1004.641s'], ,[' 476251575'],"[' 5139686  (Analyzed', ' 1939693)']","[' 8283     (Average', ' 234.18 Last', ' 187361)']",[' 8732.2  '],"[' 3554     (Average Length', ' 1737.40 Splits', ' 0)']","[' 1939693  (Deleted', ' 1866935)']","[' 386      (Ratio', '   0.02%)']","[' 62681    (Ratio', '   3.23%)']","[' 1939693  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1939693  (Average', ' 231.31 Max', ' 9171 Sum', ' 448669615)']","[' 1939048  (Average', ' 230.74 Max', ' 8801 Sum', ' 447570535 Ratio', '  99.76%)']","[' 645      (Average', ' 1704.00 Max', ' 1704 Sum', ' 1099080 Ratio', '   0.24%)']", ,[' 126956  '],[' 13138   '],[' 129315  '],[' 78554   '],"[' 235658   (Atom=Atom', ' 66414 Body=Body', ' 38588 Other', ' 130656)']",[' Yes'],"[' 16497    (Eliminated', '    0 Frozen', ' 16497)']","[' 7591     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.28541'],[' 0'], ,[' 417.883'],[' 0'],[' 28.9984'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5793e+09'],[' 1.4289e+09'],[' 0'],[' 2.06807e+10'],[' 0'],[' 0'],[' 1895 '],[' 3651 '],[' 2 '],[' 0 ']
