Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 9681+'],[' 4845'],"[' 1027.758s (Solving', ' 912.10s 1st Model', ' 718.21s Unsat', ' 0.00s)']",[' 1022.391s'], ,[' 523976198'],"[' 2254466  (Analyzed', ' 789871)']","[' 4639     (Average', ' 170.27 Last', ' 144299)']",[' 11866.0 '],"[' 4845     (Average Length', ' 2242.06 Splits', ' 0)']","[' 789871   (Deleted', ' 697578)']","[' 96       (Ratio', '   0.01%)']","[' 70546    (Ratio', '   8.93%)']","[' 789871   (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 789871   (Average', ' 611.11 Max', ' 13747 Sum', ' 482696242)']","[' 786778   (Average', ' 602.16 Max', ' 13747 Sum', ' 475625797 Ratio', '  98.54%)']","[' 3093     (Average', ' 2285.95 Max', ' 3111 Sum', ' 7070445 Ratio', '   1.46%)']", ,[' 411682  '],[' 26519   '],[' 413929  '],[' 246368  '],"[' 739100   (Atom=Atom', ' 221847 Body=Body', ' 127419 Other', ' 389834)']",[' Yes'],"[' 30766    (Eliminated', '    0 Frozen', ' 30766)']","[' 13679    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.9017'],[' 0'], ,[' 390.065'],[' 0'],[' 34.084'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59001e+09'],[' 1.49671e+09'],[' 0'],[' 1.73996e+10'],[' 0'],[' 0'],[' 1652 '],[' 3360 '],[' 4905 '],[' 6449 '],[' 4 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 9955+'],[' 4982'],"[' 1024.485s (Solving', ' 907.11s 1st Model', ' 605.63s Unsat', ' 0.00s)']",[' 1020.063s'], ,[' 496524410'],"[' 2564972  (Analyzed', ' 801369)']","[' 4638     (Average', ' 172.78 Last', ' 58524)']",[' 11963.6 '],"[' 4982     (Average Length', ' 2282.22 Splits', ' 0)']","[' 801369   (Deleted', ' 714573)']","[' 86       (Ratio', '   0.01%)']","[' 67248    (Ratio', '   8.39%)']","[' 801369   (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 801369   (Average', ' 565.19 Max', ' 13983 Sum', ' 452922113)']","[' 798409   (Average', ' 556.91 Max', ' 13983 Sum', ' 446292325 Ratio', '  98.54%)']","[' 2960     (Average', ' 2239.79 Max', ' 3154 Sum', ' 6629788 Ratio', '   1.46%)']", ,[' 409786  '],[' 26219   '],[' 412131  '],[' 244673  '],"[' 734015   (Atom=Atom', ' 220452 Body=Body', ' 127119 Other', ' 386444)']",[' Yes'],"[' 30564    (Eliminated', '    0 Frozen', ' 30564)']","[' 13094    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.8332'],[' 0'], ,[' 394.914'],[' 0'],[' 33.1449'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5282e+09'],[' 1.43329e+09'],[' 0'],[' 1.75341e+10'],[' 0'],[' 0'],[' 1429 '],[' 3097 '],[' 4502 '],[' 6049 '],[' 4 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 10337+'],[' 5173'],"[' 1027.521s (Solving', ' 910.59s 1st Model', ' 552.19s Unsat', ' 0.00s)']",[' 1023.234s'], ,[' 512621393'],"[' 3753413  (Analyzed', ' 1155277)']","[' 5407     (Average', ' 213.66 Last', ' 40621)']",[' 12008.1 '],"[' 5173     (Average Length', ' 2343.82 Splits', ' 0)']","[' 1155277  (Deleted', ' 1059108)']","[' 107      (Ratio', '   0.01%)']","[' 70825    (Ratio', '   6.13%)']","[' 1155277  (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1155277  (Average', ' 404.34 Max', ' 14040 Sum', ' 467120895)']","[' 1152215  (Average', ' 397.77 Max', ' 14040 Sum', ' 459534978 Ratio', '  98.38%)']","[' 3062     (Average', ' 2477.44 Max', ' 3333 Sum', ' 7585917 Ratio', '   1.62%)']", ,[' 411664  '],[' 26419   '],[' 414057  '],[' 246414  '],"[' 739238   (Atom=Atom', ' 221993 Body=Body', ' 127319 Other', ' 389926)']",[' Yes'],"[' 30812    (Eliminated', '    0 Frozen', ' 30812)']","[' 13687    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.1916'],[' 0'], ,[' 407.85'],[' 0'],[' 33.4459'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52766e+09'],[' 1.42858e+09'],[' 0'],[' 1.97888e+10'],[' 0'],[' 0'],[' 1858 '],[' 3485 '],[' 5061 '],[' 6603 '],[' 4 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 9397+'],[' 4703'],"[' 1025.038s (Solving', ' 911.75s 1st Model', ' 702.07s Unsat', ' 0.00s)']",[' 1020.859s'], ,[' 508861908'],"[' 2706144  (Analyzed', ' 822084)']","[' 4631     (Average', ' 177.52 Last', ' 83779)']",[' 11556.2 '],"[' 4703     (Average Length', ' 2147.89 Splits', ' 0)']","[' 822084   (Deleted', ' 732978)']","[' 96       (Ratio', '   0.01%)']","[' 71174    (Ratio', '   8.66%)']","[' 822084   (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 822084   (Average', ' 570.67 Max', ' 13643 Sum', ' 469136581)']","[' 819090   (Average', ' 562.57 Max', ' 13643 Sum', ' 462482458 Ratio', '  98.58%)']","[' 2994     (Average', ' 2222.49 Max', ' 3026 Sum', ' 6654123 Ratio', '   1.42%)']", ,[' 409708  '],[' 26278   '],[' 411771  '],[' 244553  '],"[' 733655   (Atom=Atom', ' 220273 Body=Body', ' 127178 Other', ' 386204)']",[' Yes'],"[' 30341    (Eliminated', '    0 Frozen', ' 30341)']","[' 13362    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.3302'],[' 0'], ,[' 397.109'],[' 0'],[' 33.3092'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54694e+09'],[' 1.45006e+09'],[' 0'],[' 1.84175e+10'],[' 0'],[' 0'],[' 1567 '],[' 3132 '],[' 4685 '],[' 6202 '],[' 4 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 9849+'],[' 4929'],"[' 1026.446s (Solving', ' 911.87s 1st Model', ' 699.77s Unsat', ' 0.00s)']",[' 1022.000s'], ,[' 519189264'],"[' 2394973  (Analyzed', ' 864283)']","[' 4924     (Average', ' 175.52 Last', ' 68048)']",[' 11674.0 '],"[' 4929     (Average Length', ' 2259.09 Splits', ' 0)']","[' 864283   (Deleted', ' 764913)']","[' 121      (Ratio', '   0.01%)']","[' 73694    (Ratio', '   8.53%)']","[' 864283   (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 864283   (Average', ' 553.38 Max', ' 13356 Sum', ' 478273899)']","[' 861077   (Average', ' 544.96 Max', ' 13356 Sum', ' 471000111 Ratio', '  98.48%)']","[' 3206     (Average', ' 2268.80 Max', ' 3116 Sum', ' 7273788 Ratio', '   1.52%)']", ,[' 411344  '],[' 26500   '],[' 413623  '],[' 245343  '],"[' 736025   (Atom=Atom', ' 220841 Body=Body', ' 127400 Other', ' 387784)']",[' Yes'],"[' 30779    (Eliminated', '    0 Frozen', ' 30779)']","[' 13751    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.9046'],[' 0'], ,[' 396.966'],[' 0'],[' 33.2052'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61524e+09'],[' 1.51853e+09'],[' 0'],[' 1.89786e+10'],[' 0'],[' 0'],[' 1630 '],[' 3264 '],[' 4828 '],[' 6370 '],[' 4 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 9813+'],[' 4911'],"[' 1024.310s (Solving', ' 915.46s 1st Model', ' 716.04s Unsat', ' 0.00s)']",[' 1021.250s'], ,[' 521361549'],"[' 2517162  (Analyzed', ' 842499)']","[' 4980     (Average', ' 169.18 Last', ' 51824)']",[' 11417.0 '],"[' 4911     (Average Length', ' 2239.50 Splits', ' 0)']","[' 842499   (Deleted', ' 750109)']","[' 101      (Ratio', '   0.01%)']","[' 72950    (Ratio', '   8.66%)']","[' 842499   (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 842499   (Average', ' 571.55 Max', ' 13364 Sum', ' 481528039)']","[' 839460   (Average', ' 562.97 Max', ' 13364 Sum', ' 474300289 Ratio', '  98.50%)']","[' 3039     (Average', ' 2378.33 Max', ' 3097 Sum', ' 7227750 Ratio', '   1.50%)']", ,[' 409650  '],[' 26209   '],[' 411910  '],[' 244234  '],"[' 732698   (Atom=Atom', ' 220023 Body=Body', ' 127109 Other', ' 385566)']",[' Yes'],"[' 30469    (Eliminated', '    0 Frozen', ' 30469)']","[' 14074    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.1033'],[' 0'], ,[' 398.646'],[' 0'],[' 33.228'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60584e+09'],[' 1.50698e+09'],[' 0'],[' 1.92205e+10'],[' 0'],[' 0'],[' 1615 '],[' 3208 '],[' 4733 '],[' 6319 '],[' 4 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 9505+'],[' 4757'],"[' 1024.962s (Solving', ' 911.62s 1st Model', ' 734.16s Unsat', ' 0.00s)']",[' 1020.688s'], ,[' 482423819'],"[' 2427089  (Analyzed', ' 765042)']","[' 4650     (Average', ' 164.53 Last', ' 123681)']",[' 11754.0 '],"[' 4757     (Average Length', ' 2184.92 Splits', ' 0)']","[' 765042   (Deleted', ' 683006)']","[' 59       (Ratio', '   0.01%)']","[' 65771    (Ratio', '   8.60%)']","[' 765042   (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 765042   (Average', ' 577.19 Max', ' 14073 Sum', ' 441573594)']","[' 762166   (Average', ' 568.62 Max', ' 14073 Sum', ' 435015772 Ratio', '  98.51%)']","[' 2876     (Average', ' 2280.19 Max', ' 3131 Sum', ' 6557822 Ratio', '   1.49%)']", ,[' 410118  '],[' 26234   '],[' 412251  '],[' 245013  '],"[' 735035   (Atom=Atom', ' 220777 Body=Body', ' 127134 Other', ' 387124)']",[' Yes'],"[' 30367    (Eliminated', '    0 Frozen', ' 30367)']","[' 12439    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.8945'],[' 0'], ,[' 400.915'],[' 0'],[' 33.6178'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45302e+09'],[' 1.36432e+09'],[' 0'],[' 1.67899e+10'],[' 0'],[' 0'],[' 1523 '],[' 3105 '],[' 4666 '],[' 6263 '],[' 4 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 9821+'],[' 4915'],"[' 1027.779s (Solving', ' 910.78s 1st Model', ' 588.48s Unsat', ' 0.00s)']",[' 1023.984s'], ,[' 488347542'],"[' 3056353  (Analyzed', ' 844374)']","[' 4941     (Average', ' 170.89 Last', ' 39670)']",[' 12188.8 '],"[' 4915     (Average Length', ' 2254.07 Splits', ' 0)']","[' 844374   (Deleted', ' 755706)']","[' 88       (Ratio', '   0.01%)']","[' 69358    (Ratio', '   8.21%)']","[' 844374   (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 844374   (Average', ' 525.08 Max', ' 14217 Sum', ' 443363202)']","[' 841445   (Average', ' 517.62 Max', ' 14217 Sum', ' 437063021 Ratio', '  98.58%)']","[' 2929     (Average', ' 2150.97 Max', ' 2963 Sum', ' 6300181 Ratio', '   1.42%)']", ,[' 411531  '],[' 26474   '],[' 413843  '],[' 245889  '],"[' 737663   (Atom=Atom', ' 221413 Body=Body', ' 127374 Other', ' 388876)']",[' Yes'],"[' 30786    (Eliminated', '    0 Frozen', ' 30786)']","[' 13446    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.2197'],[' 0'], ,[' 410.014'],[' 0'],[' 32.1972'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.53786e+09'],[' 1.44627e+09'],[' 0'],[' 2.07911e+10'],[' 0'],[' 0'],[' 1641 '],[' 3158 '],[' 4861 '],[' 6458 '],[' 4 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 10153+'],[' 5081'],"[' 1029.099s (Solving', ' 909.62s 1st Model', ' 582.47s Unsat', ' 0.00s)']",[' 1025.672s'], ,[' 524947970'],"[' 2411996  (Analyzed', ' 820702)']","[' 4842     (Average', ' 169.50 Last', ' 45005)']",[' 11884.0 '],"[' 5081     (Average Length', ' 2317.17 Splits', ' 0)']","[' 820702   (Deleted', ' 724658)']","[' 79       (Ratio', '   0.01%)']","[' 73575    (Ratio', '   8.96%)']","[' 820702   (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 820702   (Average', ' 586.29 Max', ' 13573 Sum', ' 481166687)']","[' 817721   (Average', ' 578.06 Max', ' 13573 Sum', ' 474411524 Ratio', '  98.60%)']","[' 2981     (Average', ' 2266.07 Max', ' 3232 Sum', ' 6755163 Ratio', '   1.40%)']", ,[' 411656  '],[' 26472   '],[' 413995  '],[' 246263  '],"[' 738785   (Atom=Atom', ' 221789 Body=Body', ' 127372 Other', ' 389624)']",[' Yes'],"[' 30811    (Eliminated', '    0 Frozen', ' 30811)']","[' 14548    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.4921'],[' 0'], ,[' 392.714'],[' 0'],[' 33.2745'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6339e+09'],[' 1.53718e+09'],[' 0'],[' 1.81394e+10'],[' 0'],[' 0'],[' 1639 '],[' 3133 '],[' 4764 '],[' 6273 '],[' 4 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 9849+'],[' 4929'],"[' 1024.756s (Solving', ' 913.50s 1st Model', ' 695.71s Unsat', ' 0.00s)']",[' 1021.219s'], ,[' 521853210'],"[' 3306967  (Analyzed', ' 861914)']","[' 4954     (Average', ' 173.98 Last', ' 104234)']",[' 11890.6 '],"[' 4929     (Average Length', ' 2241.99 Splits', ' 0)']","[' 861914   (Deleted', ' 769608)']","[' 80       (Ratio', '   0.01%)']","[' 73814    (Ratio', '   8.56%)']","[' 861914   (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 861914   (Average', ' 554.51 Max', ' 13833 Sum', ' 477941909)']","[' 859015   (Average', ' 547.05 Max', ' 13833 Sum', ' 471511875 Ratio', '  98.65%)']","[' 2899     (Average', ' 2218.02 Max', ' 3000 Sum', ' 6430034 Ratio', '   1.35%)']", ,[' 411291  '],[' 26464   '],[' 413526  '],[' 246087  '],"[' 738257   (Atom=Atom', ' 221621 Body=Body', ' 127364 Other', ' 389272)']",[' Yes'],"[' 30699    (Eliminated', '    0 Frozen', ' 30699)']","[' 14204    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.611'],[' 0'], ,[' 399.457'],[' 0'],[' 33.1069'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6113e+09'],[' 1.51298e+09'],[' 0'],[' 1.9628e+10'],[' 0'],[' 0'],[' 1608 '],[' 3141 '],[' 4582 '],[' 6118 '],[' 4 '],[' 0 ']
