Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 4187'],[' 2098'],"[' 786.168s (Solving', ' 770.87s 1st Model', ' 232.88s Unsat', ' 0.26s)']",[' 783.656s'], ,[' 111009070'],"[' 14051290 (Analyzed', ' 13697299)']","[' 27281    (Average', ' 502.08 Last', ' 448952)']",[' 3488.7  '],"[' 2098     (Average Length', ' 978.29 Splits', ' 0)']","[' 13697299 (Deleted', ' 13503117)']","[' 148      (Ratio', '   0.00%)']","[' 15748    (Ratio', '   0.11%)']","[' 13697299 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13697299 (Average', '  7.70 Max', ' 3642 Sum', ' 105518034)']","[' 13696580 (Average', '  7.65 Max', ' 3642 Sum', ' 104835891 Ratio', '  99.35%)']","[' 719      (Average', ' 948.74 Max', ' 3262 Sum', ' 682143 Ratio', '   0.65%)']", ,[' 109090  '],[' 6914    '],[' 109954  '],[' 62180   '],"[' 186536   (Atom=Atom', ' 56264 Body=Body', ' 32364 Other', ' 97908)']",[' Yes'],"[' 8778     (Eliminated', '    0 Frozen', ' 8778)']","[' 2982     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.93564'],[' 0'], ,[' 579.786'],[' 0'],[' 14.0114'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.42059e+08'],[' 2.65163e+08'],[' 0'],[' 4.57932e+10'],[' 0'],[' 0'],[' 936 '],[' 1669 '],[' 2547 '],[' 3303 '],[' 3 '],[' 1 ']
Solving...,TA62, , ,[' 4157'],[' 2083'],"[' 775.629s (Solving', ' 760.38s 1st Model', ' 191.47s Unsat', ' 0.00s)']",[' 770.234s'], ,[' 168555486'],"[' 11469824 (Analyzed', ' 11203262)']","[' 21802    (Average', ' 513.86 Last', ' 200417)']",[' 3345.3  '],"[' 2083     (Average Length', ' 968.44 Splits', ' 0)']","[' 11203262 (Deleted', ' 11067998)']","[' 218      (Ratio', '   0.00%)']","[' 21282    (Ratio', '   0.19%)']","[' 11203262 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11203262 (Average', ' 14.59 Max', ' 3265 Sum', ' 163421464)']","[' 11202568 (Average', ' 14.53 Max', ' 3265 Sum', ' 162793408 Ratio', '  99.62%)']","[' 694      (Average', ' 904.98 Max', ' 1345 Sum', ' 628056 Ratio', '   0.38%)']", ,[' 109234  '],[' 6956    '],[' 110097  '],[' 62159   '],"[' 186473   (Atom=Atom', ' 56201 Body=Body', ' 32406 Other', ' 97866)']",[' Yes'],"[' 8819     (Eliminated', '    0 Frozen', ' 8819)']","[' 4107     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.93969'],[' 0'], ,[' 513.942'],[' 0'],[' 15.7512'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.36894e+08'],[' 4.26918e+08'],[' 0'],[' 3.6534e+10'],[' 0'],[' 0'],[' 942 '],[' 1817 '],[' 2565 '],[' 3504 '],[' 3 '],[' 1 ']
Solving...,TA63, ,[' 1'],[' 4135+'],[' 2072'],"[' 1003.682s (Solving', ' 988.45s 1st Model', ' 210.46s Unsat', ' 0.00s)']",[' 998.156s'], ,[' 177605294'],"[' 13685010 (Analyzed', ' 13400078)']","[' 27086    (Average', ' 494.72 Last', ' 184415)']",[' 3384.6  '],"[' 2072     (Average Length', ' 955.26 Splits', ' 0)']","[' 13400078 (Deleted', ' 13224629)']","[' 297      (Ratio', '   0.00%)']","[' 23236    (Ratio', '   0.17%)']","[' 13400078 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13400078 (Average', ' 12.86 Max', ' 3430 Sum', ' 172291363)']","[' 13399441 (Average', ' 12.82 Max', ' 3430 Sum', ' 171727316 Ratio', '  99.67%)']","[' 637      (Average', ' 885.47 Max', ' 1724 Sum', ' 564047 Ratio', '   0.33%)']", ,[' 109131  '],[' 6903    '],[' 109937  '],[' 62177   '],"[' 186527   (Atom=Atom', ' 56272 Body=Body', ' 32353 Other', ' 97902)']",[' Yes'],"[' 8709     (Eliminated', '    0 Frozen', ' 8709)']","[' 3580     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.70135'],[' 0'], ,[' 732.824'],[' 0'],[' 18.2842'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.72257e+08'],[' 4.57402e+08'],[' 0'],[' 6.39766e+10'],[' 0'],[' 0'],[' 885 '],[' 1570 '],[' 2461 '],[' 3158 '],[' 4 '],[' 0 ']
Solving...,TA64, , ,[' 4181'],[' 2095'],"[' 923.061s (Solving', ' 906.83s 1st Model', ' 200.53s Unsat', ' 69.67s)']",[' 919.734s'], ,[' 140168687'],"[' 17705176 (Analyzed', ' 17316858)']","[' 31862    (Average', ' 543.50 Last', ' 466430)']",[' 3565.8  '],"[' 2095     (Average Length', ' 966.27 Splits', ' 0)']","[' 17316858 (Deleted', ' 17095676)']","[' 260      (Ratio', '   0.00%)']","[' 21444    (Ratio', '   0.12%)']","[' 17316858 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17316858 (Average', '  7.75 Max', ' 3520 Sum', ' 134194983)']","[' 17316127 (Average', '  7.71 Max', ' 3520 Sum', ' 133590617 Ratio', '  99.55%)']","[' 731      (Average', ' 826.77 Max', ' 1768 Sum', ' 604366 Ratio', '   0.45%)']", ,[' 109562  '],[' 6944    '],[' 110398  '],[' 62617   '],"[' 187847   (Atom=Atom', ' 56671 Body=Body', ' 32394 Other', ' 98782)']",[' Yes'],"[' 8780     (Eliminated', '    0 Frozen', ' 8780)']","[' 3419     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.8641'],[' 0'], ,[' 669.737'],[' 0'],[' 15.5649'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.38146e+08'],[' 3.39057e+08'],[' 0'],[' 5.70364e+10'],[' 0'],[' 0'],[' 998 '],[' 1740 '],[' 2458 '],[' 3165 '],[' 3 '],[' 1 ']
Solving...,TA65, , ,[' 4163'],[' 2086'],"[' 847.985s (Solving', ' 832.66s 1st Model', ' 213.78s Unsat', ' 3.33s)']",[' 846.016s'], ,[' 165398300'],"[' 10621609 (Analyzed', ' 10339593)']","[' 21880    (Average', ' 472.56 Last', ' 345163)']",[' 3260.3  '],"[' 2086     (Average Length', ' 966.71 Splits', ' 0)']","[' 10339593 (Deleted', ' 10194336)']","[' 482      (Ratio', '   0.00%)']","[' 23625    (Ratio', '   0.23%)']","[' 10339593 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10339593 (Average', ' 15.52 Max', ' 3262 Sum', ' 160506674)']","[' 10338679 (Average', ' 15.45 Max', ' 3262 Sum', ' 159790403 Ratio', '  99.55%)']","[' 914      (Average', ' 783.67 Max', ' 1760 Sum', ' 716271 Ratio', '   0.45%)']", ,[' 109143  '],[' 6902    '],[' 109982  '],[' 62050   '],"[' 186146   (Atom=Atom', ' 56146 Body=Body', ' 32352 Other', ' 97648)']",[' Yes'],"[' 8741     (Eliminated', '    0 Frozen', ' 8741)']","[' 3827     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.72071'],[' 0'], ,[' 598.666'],[' 0'],[' 16.813'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.28273e+08'],[' 4.23414e+08'],[' 0'],[' 5.13023e+10'],[' 0'],[' 0'],[' 820 '],[' 1550 '],[' 2385 '],[' 3143 '],[' 3 '],[' 1 ']
Solving...,TA66, , ,[' 4337'],[' 2173'],"[' 779.869s (Solving', ' 764.33s 1st Model', ' 281.94s Unsat', ' 0.00s)']",[' 776.000s'], ,[' 179710762'],"[' 8698866  (Analyzed', ' 8491549)']","[' 18335    (Average', ' 463.13 Last', ' 711437)']",[' 3223.1  '],"[' 2173     (Average Length', ' 1005.92 Splits', ' 0)']","[' 8491549  (Deleted', ' 8393846)']","[' 287      (Ratio', '   0.00%)']","[' 21271    (Ratio', '   0.25%)']","[' 8491549  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8491549  (Average', ' 20.60 Max', ' 3251 Sum', ' 174919034)']","[' 8490807  (Average', ' 20.51 Max', ' 3251 Sum', ' 174180130 Ratio', '  99.58%)']","[' 742      (Average', ' 995.83 Max', ' 1758 Sum', ' 738904 Ratio', '   0.42%)']", ,[' 109554  '],[' 6949    '],[' 110450  '],[' 62464   '],"[' 187388   (Atom=Atom', ' 56513 Body=Body', ' 32399 Other', ' 98476)']",[' Yes'],"[' 8845     (Eliminated', '    0 Frozen', ' 8845)']","[' 3955     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.68837'],[' 0'], ,[' 506.892'],[' 0'],[' 16.0516'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.30211e+08'],[' 5.09132e+08'],[' 0'],[' 3.89398e+10'],[' 0'],[' 0'],[' 827 '],[' 1557 '],[' 2401 '],[' 3270 '],[' 3 '],[' 1 ']
Solving...,TA67, ,[' 1'],[' 3859+'],[' 1934'],"[' 1003.042s (Solving', ' 988.95s 1st Model', ' 212.48s Unsat', ' 0.00s)']",[' 998.719s'], ,[' 143034314'],"[' 15217824 (Analyzed', ' 14962534)']","[' 29940    (Average', ' 499.75 Last', ' 199924)']",[' 3454.9  '],"[' 1934     (Average Length', ' 904.87 Splits', ' 0)']","[' 14962534 (Deleted', ' 14789503)']","[' 296      (Ratio', '   0.00%)']","[' 20225    (Ratio', '   0.14%)']","[' 14962534 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14962534 (Average', '  9.21 Max', ' 3635 Sum', ' 137789603)']","[' 14961737 (Average', '  9.17 Max', ' 3635 Sum', ' 137159939 Ratio', '  99.54%)']","[' 797      (Average', ' 790.04 Max', ' 1646 Sum', ' 629664 Ratio', '   0.46%)']", ,[' 109283  '],[' 6963    '],[' 110005  '],[' 62291   '],"[' 186869   (Atom=Atom', ' 56326 Body=Body', ' 32413 Other', ' 98130)']",[' Yes'],"[' 8685     (Eliminated', '    0 Frozen', ' 8685)']","[' 3279     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.55929'],[' 0'], ,[' 766.504'],[' 0'],[' 16.397'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.48766e+08'],[' 3.50117e+08'],[' 0'],[' 7.08282e+10'],[' 0'],[' 0'],[' 967 '],[' 1696 '],[' 2612 '],[' 3312 '],[' 4 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 4145+'],[' 2077'],"[' 1002.841s (Solving', ' 988.11s 1st Model', ' 461.73s Unsat', ' 0.00s)']",[' 1000.422s'], ,[' 135307154'],"[' 17247550 (Analyzed', ' 16825443)']","[' 31473    (Average', ' 534.60 Last', ' 570226)']",[' 3573.2  '],"[' 2077     (Average Length', ' 961.38 Splits', ' 0)']","[' 16825443 (Deleted', ' 16597896)']","[' 174      (Ratio', '   0.00%)']","[' 19027    (Ratio', '   0.11%)']","[' 16825443 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16825443 (Average', '  7.69 Max', ' 3537 Sum', ' 129430499)']","[' 16824746 (Average', '  7.66 Max', ' 3537 Sum', ' 128813864 Ratio', '  99.52%)']","[' 697      (Average', ' 884.70 Max', ' 1355 Sum', ' 616635 Ratio', '   0.48%)']", ,[' 109098  '],[' 6885    '],[' 109906  '],[' 62164   '],"[' 186488   (Atom=Atom', ' 56277 Body=Body', ' 32335 Other', ' 97876)']",[' Yes'],"[' 8693     (Eliminated', '    0 Frozen', ' 8693)']","[' 3142     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.78662'],[' 0'], ,[' 761.518'],[' 0'],[' 16.6252'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.18729e+08'],[' 3.27379e+08'],[' 0'],[' 6.6177e+10'],[' 0'],[' 0'],[' 865 '],[' 1687 '],[' 2400 '],[' 3169 '],[' 4 '],[' 0 ']
Solving...,TA69, , ,[' 4139'],[' 2074'],"[' 932.139s (Solving', ' 916.93s 1st Model', ' 172.93s Unsat', ' 36.27s)']",[' 930.078s'], ,[' 123416324'],"[' 15382574 (Analyzed', ' 15042711)']","[' 29603    (Average', ' 508.15 Last', ' 196416)']",[' 3497.3  '],"[' 2074     (Average Length', ' 961.45 Splits', ' 0)']","[' 15042711 (Deleted', ' 14851189)']","[' 287      (Ratio', '   0.00%)']","[' 20547    (Ratio', '   0.14%)']","[' 15042711 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15042711 (Average', '  7.83 Max', ' 3458 Sum', ' 117772999)']","[' 15041947 (Average', '  7.79 Max', ' 3458 Sum', ' 117143519 Ratio', '  99.47%)']","[' 764      (Average', ' 823.93 Max', ' 1374 Sum', ' 629480 Ratio', '   0.53%)']", ,[' 109240  '],[' 6907    '],[' 110048  '],[' 61983   '],"[' 185945   (Atom=Atom', ' 56074 Body=Body', ' 32357 Other', ' 97514)']",[' Yes'],"[' 8715     (Eliminated', '    0 Frozen', ' 8715)']","[' 3339     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.76793'],[' 0'], ,[' 720.387'],[' 0'],[' 15.3866'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.71114e+08'],[' 2.87668e+08'],[' 0'],[' 6.47813e+10'],[' 0'],[' 0'],[' 1048 '],[' 1847 '],[' 2645 '],[' 3448 '],[' 3 '],[' 1 ']
Solving...,TA70, , ,[' 3999'],[' 2004'],"[' 785.438s (Solving', ' 769.95s 1st Model', ' 36.12s Unsat', ' 2.40s)']",[' 782.391s'], ,[' 139237779'],"[' 12190418 (Analyzed', ' 11900823)']","[' 22379    (Average', ' 531.79 Last', ' 58420)']",[' 3475.9  '],"[' 2004     (Average Length', ' 930.48 Splits', ' 0)']","[' 11900823 (Deleted', ' 11753435)']","[' 294      (Ratio', '   0.00%)']","[' 19137    (Ratio', '   0.16%)']","[' 11900823 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11900823 (Average', ' 11.25 Max', ' 3604 Sum', ' 133860483)']","[' 11900155 (Average', ' 11.20 Max', ' 3604 Sum', ' 133286457 Ratio', '  99.57%)']","[' 668      (Average', ' 859.32 Max', ' 1273 Sum', ' 574026 Ratio', '   0.43%)']", ,[' 109650  '],[' 7049    '],[' 110437  '],[' 62703   '],"[' 188105   (Atom=Atom', ' 56652 Body=Body', ' 32499 Other', ' 98954)']",[' Yes'],"[' 8836     (Eliminated', '    0 Frozen', ' 8836)']","[' 3543     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.76322'],[' 0'], ,[' 562.915'],[' 0'],[' 14.5946'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.32287e+08'],[' 3.42014e+08'],[' 0'],[' 4.41663e+10'],[' 0'],[' 0'],[' 1039 '],[' 1928 '],[' 2812 '],[' 3623 '],[' 3 '],[' 1 ']
