Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 2479'],[' 1246'],"[' 370.561s (Solving', ' 362.86s 1st Model', ' 5.92s Unsat', ' 20.73s)']",[' 369.984s'], ,[' 19086964'],"[' 6530032  (Analyzed', ' 6395707)']","[' 13995    (Average', ' 457.00 Last', ' 125155)']",[' 2643.3  '],"[' 1246     (Average Length', ' 587.53 Splits', ' 0)']","[' 6395707  (Deleted', ' 6279483)']","[' 48       (Ratio', '   0.00%)']","[' 2760     (Ratio', '   0.04%)']","[' 6395707  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6395707  (Average', '  2.56 Max', ' 3304 Sum', ' 16341689)']","[' 6395433  (Average', '  2.53 Max', ' 3304 Sum', ' 16205550 Ratio', '  99.17%)']","[' 274      (Average', ' 496.86 Max', ' 731 Sum', ' 136139 Ratio', '   0.83%)']", ,[' 102081  '],[' 4867    '],[' 102234  '],[' 57811   '],"[' 173429   (Atom=Atom', ' 53942 Body=Body', ' 30317 Other', ' 89170)']",[' Yes'],"[' 6020     (Eliminated', '    0 Frozen', ' 6020)']","[' 370      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.88075'],[' 0'], ,[' 310.744'],[' 0'],[' 5.05715'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.01196e+07'],[' 5.26386e+07'],[' 0'],[' 4.02075e+10'],[' 0'],[' 0'],[' 676 '],[' 1165 '],[' 1767 '],[' 2396 '],[' 2852 '],[' 3489 '],[' 2 '],[' 4 ']
Solving...,TA62, , ,[' 2593'],[' 1303'],"[' 367.695s (Solving', ' 359.41s 1st Model', ' 6.02s Unsat', ' 179.43s)']",[' 366.828s'], ,[' 16484007'],"[' 7051559  (Analyzed', ' 6909775)']","[' 14946    (Average', ' 462.32 Last', ' 7927)']",[' 2633.0  '],"[' 1303     (Average Length', ' 602.97 Splits', ' 0)']","[' 6909775  (Deleted', ' 6801240)']","[' 65       (Ratio', '   0.00%)']","[' 2540     (Ratio', '   0.04%)']","[' 6909775  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6909775  (Average', '  1.99 Max', ' 3180 Sum', ' 13744002)']","[' 6909347  (Average', '  1.96 Max', ' 3180 Sum', ' 13530721 Ratio', '  98.45%)']","[' 428      (Average', ' 498.32 Max', ' 956 Sum', ' 213281 Ratio', '   1.55%)']", ,[' 102424  '],[' 4899    '],[' 102610  '],[' 57488   '],"[' 172460   (Atom=Atom', ' 53587 Body=Body', ' 30349 Other', ' 88524)']",[' Yes'],"[' 6085     (Eliminated', '    0 Frozen', ' 6085)']","[' 275      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.07935'],[' 0'], ,[' 304.223'],[' 0'],[' 5.04617'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.39445e+07'],[' 4.60995e+07'],[' 0'],[' 3.45482e+10'],[' 0'],[' 0'],[' 641 '],[' 1174 '],[' 1762 '],[' 2344 '],[' 2863 '],[' 3504 '],[' 1 '],[' 5 ']
Solving...,TA63, , ,[' 2537'],[' 1275'],"[' 263.448s (Solving', ' 255.77s 1st Model', ' 4.92s Unsat', ' 77.55s)']",[' 262.516s'], ,[' 18893589'],"[' 7121247  (Analyzed', ' 7003806)']","[' 14539    (Average', ' 481.73 Last', ' 1304)']",[' 2515.2  '],"[' 1275     (Average Length', ' 589.01 Splits', ' 0)']","[' 7003806  (Deleted', ' 6865697)']","[' 58       (Ratio', '   0.00%)']","[' 2344     (Ratio', '   0.03%)']","[' 7003806  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7003806  (Average', '  2.33 Max', ' 3208 Sum', ' 16320118)']","[' 7003399  (Average', '  2.31 Max', ' 3208 Sum', ' 16150829 Ratio', '  98.96%)']","[' 407      (Average', ' 415.94 Max', ' 930 Sum', ' 169289 Ratio', '   1.04%)']", ,[' 101717  '],[' 4879    '],[' 101868  '],[' 56780   '],"[' 170336   (Atom=Atom', ' 52899 Body=Body', ' 30329 Other', ' 87108)']",[' Yes'],"[' 6030     (Eliminated', '    0 Frozen', ' 6030)']","[' 380      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.9297'],[' 0'], ,[' 201.947'],[' 0'],[' 3.68137'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.82167e+07'],[' 4.94493e+07'],[' 0'],[' 2.40904e+10'],[' 0'],[' 0'],[' 680 '],[' 1208 '],[' 1742 '],[' 2314 '],[' 2833 '],[' 3421 '],[' 1 '],[' 5 ']
Solving...,TA64, , ,[' 2755'],[' 1384'],"[' 213.525s (Solving', ' 204.36s 1st Model', ' 6.80s Unsat', ' 22.68s)']",[' 212.641s'], ,[' 15361009'],"[' 5224310  (Analyzed', ' 5064311)']","[' 10707    (Average', ' 472.99 Last', ' 65190)']",[' 2730.4  '],"[' 1384     (Average Length', ' 640.99 Splits', ' 0)']","[' 5064311  (Deleted', ' 4985173)']","[' 63       (Ratio', '   0.00%)']","[' 2224     (Ratio', '   0.04%)']","[' 5064311  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5064311  (Average', '  2.43 Max', ' 3344 Sum', ' 12324722)']","[' 5064013  (Average', '  2.41 Max', ' 3344 Sum', ' 12192886 Ratio', '  98.93%)']","[' 298      (Average', ' 442.40 Max', ' 1024 Sum', ' 131836 Ratio', '   1.07%)']", ,[' 102461  '],[' 4876    '],[' 102716  '],[' 57716   '],"[' 173144   (Atom=Atom', ' 53838 Body=Body', ' 30326 Other', ' 88980)']",[' Yes'],"[' 6131     (Eliminated', '    0 Frozen', ' 6131)']","[' 236      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.23067'],[' 0'], ,[' 163.483'],[' 0'],[' 2.83759'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.91954e+07'],[' 4.56004e+07'],[' 0'],[' 2.06167e+10'],[' 0'],[' 0'],[' 686 '],[' 1201 '],[' 1732 '],[' 2197 '],[' 2661 '],[' 3255 '],[' 1 '],[' 5 ']
Solving...,TA65, , ,[' 2577'],[' 1295'],"[' 238.166s (Solving', ' 228.81s 1st Model', ' 10.04s Unsat', ' 44.41s)']",[' 236.969s'], ,[' 13509635'],"[' 3701307  (Analyzed', ' 3569586)']","[' 8173     (Average', ' 436.75 Last', ' 10005)']",[' 2420.8  '],"[' 1295     (Average Length', ' 597.69 Splits', ' 0)']","[' 3569586  (Deleted', ' 3495948)']","[' 92       (Ratio', '   0.00%)']","[' 3529     (Ratio', '   0.10%)']","[' 3569586  (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3569586  (Average', '  3.13 Max', ' 3002 Sum', ' 11165130)']","[' 3569091  (Average', '  3.06 Max', ' 3002 Sum', ' 10915528 Ratio', '  97.76%)']","[' 495      (Average', ' 504.25 Max', ' 1020 Sum', ' 249602 Ratio', '   2.24%)']", ,[' 101851  '],[' 4878    '],[' 102025  '],[' 57105   '],"[' 171311   (Atom=Atom', ' 53225 Body=Body', ' 30328 Other', ' 87758)']",[' Yes'],"[' 6052     (Eliminated', '    0 Frozen', ' 6052)']","[' 516      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.18276'],[' 0'], ,[' 191.122'],[' 0'],[' 3.37103'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.97484e+07'],[' 3.90235e+07'],[' 0'],[' 2.18453e+10'],[' 0'],[' 0'],[' 608 '],[' 1070 '],[' 1625 '],[' 2109 '],[' 2649 '],[' 3536 '],[' 1 '],[' 5 ']
Solving...,TA66, , ,[' 2609'],[' 1311'],"[' 377.068s (Solving', ' 368.29s 1st Model', ' 7.14s Unsat', ' 19.79s)']",[' 374.969s'], ,[' 30964536'],"[' 13965029 (Analyzed', ' 13830765)']","[' 25013    (Average', ' 552.94 Last', ' 8272)']",[' 2621.0  '],"[' 1311     (Average Length', ' 608.74 Splits', ' 0)']","[' 13830765 (Deleted', ' 13636050)']","[' 54       (Ratio', '   0.00%)']","[' 2524     (Ratio', '   0.02%)']","[' 13830765 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13830765 (Average', '  2.03 Max', ' 3232 Sum', ' 28020646)']","[' 13830333 (Average', '  2.01 Max', ' 3232 Sum', ' 27825342 Ratio', '  99.30%)']","[' 432      (Average', ' 452.09 Max', ' 973 Sum', ' 195304 Ratio', '   0.70%)']", ,[' 102354  '],[' 4922    '],[' 102558  '],[' 57541   '],"[' 172619   (Atom=Atom', ' 53617 Body=Body', ' 30372 Other', ' 88630)']",[' Yes'],"[' 6126     (Eliminated', '    0 Frozen', ' 6126)']","[' 403      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.29194'],[' 0'], ,[' 265.803'],[' 0'],[' 5.70546'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.73993e+07'],[' 6.34808e+07'],[' 0'],[' 2.59119e+10'],[' 0'],[' 0'],[' 740 '],[' 1235 '],[' 1856 '],[' 2413 '],[' 2939 '],[' 3665 '],[' 2 '],[' 4 ']
Solving...,TA67, , ,[' 2725'],[' 1369'],"[' 358.961s (Solving', ' 350.16s 1st Model', ' 5.38s Unsat', ' 3.61s)']",[' 358.063s'], ,[' 31540344'],"[' 16365040 (Analyzed', ' 16280028)']","[' 29490    (Average', ' 552.05 Last', ' 77953)']",[' 2504.1  '],"[' 1369     (Average Length', ' 640.82 Splits', ' 0)']","[' 16280028 (Deleted', ' 16021057)']","[' 35       (Ratio', '   0.00%)']","[' 2541     (Ratio', '   0.02%)']","[' 16280028 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16280028 (Average', '  1.77 Max', ' 3016 Sum', ' 28796998)']","[' 16279471 (Average', '  1.75 Max', ' 3016 Sum', ' 28508245 Ratio', '  99.00%)']","[' 557      (Average', ' 518.41 Max', ' 1025 Sum', ' 288753 Ratio', '   1.00%)']", ,[' 101856  '],[' 4913    '],[' 102114  '],[' 56754   '],"[' 170258   (Atom=Atom', ' 52839 Body=Body', ' 30363 Other', ' 87056)']",[' Yes'],"[' 6171     (Eliminated', '    0 Frozen', ' 6171)']","[' 491      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.18747'],[' 0'], ,[' 237.491'],[' 0'],[' 5.34747'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03654e+08'],[' 6.41814e+07'],[' 0'],[' 1.94654e+10'],[' 0'],[' 0'],[' 712 '],[' 1350 '],[' 1779 '],[' 2366 '],[' 2843 '],[' 3561 '],[' 2 '],[' 4 ']
Solving...,TA68, , ,[' 2385'],[' 1199'],"[' 213.739s (Solving', ' 206.18s 1st Model', ' 10.57s Unsat', ' 20.20s)']",[' 213.172s'], ,[' 24487590'],"[' 12207619 (Analyzed', ' 12110777)']","[' 22226    (Average', ' 544.89 Last', ' 30366)']",[' 2581.5  '],"[' 1199     (Average Length', ' 557.00 Splits', ' 0)']","[' 12110777 (Deleted', ' 11939176)']","[' 62       (Ratio', '   0.00%)']","[' 2155     (Ratio', '   0.02%)']","[' 12110777 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12110777 (Average', '  1.79 Max', ' 3361 Sum', ' 21698062)']","[' 12110548 (Average', '  1.79 Max', ' 3361 Sum', ' 21648215 Ratio', '  99.77%)']","[' 229      (Average', ' 217.67 Max', ' 721 Sum', '  49847 Ratio', '   0.23%)']", ,[' 101730  '],[' 4863    '],[' 101819  '],[' 57184   '],"[' 171548   (Atom=Atom', ' 53319 Body=Body', ' 30313 Other', ' 87916)']",[' Yes'],"[' 5952     (Eliminated', '    0 Frozen', ' 5952)']","[' 155      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.91012'],[' 0'], ,[' 126.215'],[' 0'],[' 3.91758'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.78169e+07'],[' 4.90678e+07'],[' 0'],[' 9.36438e+09'],[' 0'],[' 0'],[' 601 '],[' 1120 '],[' 1668 '],[' 2161 '],[' 2698 '],[' 3335 '],[' 1 '],[' 5 ']
Solving...,TA69, , ,[' 2339'],[' 1176'],"[' 517.139s (Solving', ' 508.80s 1st Model', ' 5.39s Unsat', ' 0.02s)']",[' 513.094s'], ,[' 33082603'],"[' 16150717 (Analyzed', ' 16046141)']","[' 29676    (Average', ' 540.71 Last', ' 32981)']",[' 2551.3  '],"[' 1176     (Average Length', ' 550.60 Splits', ' 0)']","[' 16046141 (Deleted', ' 15832742)']","[' 47       (Ratio', '   0.00%)']","[' 2411     (Ratio', '   0.02%)']","[' 16046141 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16046141 (Average', '  1.89 Max', ' 3257 Sum', ' 30344117)']","[' 16045754 (Average', '  1.88 Max', ' 3257 Sum', ' 30192090 Ratio', '  99.50%)']","[' 387      (Average', ' 392.83 Max', ' 1473 Sum', ' 152027 Ratio', '   0.50%)']", ,[' 102062  '],[' 4942    '],[' 102152  '],[' 57428   '],"[' 172280   (Atom=Atom', ' 53484 Body=Body', ' 30392 Other', ' 88404)']",[' Yes'],"[' 6032     (Eliminated', '    0 Frozen', ' 6032)']","[' 505      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.1005'],[' 0'], ,[' 390.59'],[' 0'],[' 8.53079'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06673e+08'],[' 6.62543e+07'],[' 0'],[' 3.74017e+10'],[' 0'],[' 0'],[' 915 '],[' 1469 '],[' 2045 '],[' 2667 '],[' 3196 '],[' 4144 '],[' 3 '],[' 3 ']
Solving...,TA70, , ,[' 2919'],[' 1466'],"[' 363.191s (Solving', ' 353.35s 1st Model', ' 9.08s Unsat', ' 2.56s)']",[' 360.031s'], ,[' 30875675'],"[' 12484937 (Analyzed', ' 12383645)']","[' 23791    (Average', ' 520.52 Last', ' 26321)']",[' 2520.8  '],"[' 1466     (Average Length', ' 668.41 Splits', ' 0)']","[' 12383645 (Deleted', ' 12192831)']","[' 74       (Ratio', '   0.00%)']","[' 3193     (Ratio', '   0.03%)']","[' 12383645 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12383645 (Average', '  2.26 Max', ' 3062 Sum', ' 27965385)']","[' 12383175 (Average', '  2.24 Max', ' 3062 Sum', ' 27759045 Ratio', '  99.26%)']","[' 470      (Average', ' 439.02 Max', ' 1109 Sum', ' 206340 Ratio', '   0.74%)']", ,[' 102149  '],[' 4943    '],[' 102458  '],[' 57151   '],"[' 171449   (Atom=Atom', ' 53206 Body=Body', ' 30393 Other', ' 87850)']",[' Yes'],"[' 6252     (Eliminated', '    0 Frozen', ' 6252)']","[' 550      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.42345'],[' 0'], ,[' 244.156'],[' 0'],[' 5.78489'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03771e+08'],[' 6.92235e+07'],[' 0'],[' 1.73395e+10'],[' 0'],[' 0'],[' 774 '],[' 1444 '],[' 1953 '],[' 2585 '],[' 3112 '],[' 3933 '],[' 2 '],[' 4 ']
