Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1475'],[' 745'],"[' 161.059s (Solving', ' 157.14s 1st Model', ' 2.42s Unsat', ' 7.79s)']",[' 160.453s'], ,[' 20389789'],"[' 12184753 (Analyzed', ' 12148530)']","[' 22362    (Average', ' 543.27 Last', ' 473)']",[' 1838.8  '],"[' 745      (Average Length', ' 360.29 Splits', ' 0)']","[' 12148530 (Deleted', ' 11962698)']","[' 68       (Ratio', '   0.00%)']","[' 1062     (Ratio', '   0.01%)']","[' 12148530 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12148530 (Average', '  1.56 Max', ' 2273 Sum', ' 18977517)']","[' 12148428 (Average', '  1.56 Max', ' 2273 Sum', ' 18972650 Ratio', '  99.97%)']","[' 102      (Average', ' 47.72 Max', ' 375 Sum', '   4867 Ratio', '   0.03%)']", ,[' 74600   '],[' 3186    '],[' 74559   '],[' 42293   '],"[' 126875   (Atom=Atom', ' 39855 Body=Body', ' 22261 Other', ' 64759)']",[' Yes'],"[' 3895     (Eliminated', '    0 Frozen', ' 3895)']","[' 67       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.983281'],[' 0'], ,[' 79.0913'],[' 0'],[' 2.60232'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.39421e+07'],[' 3.48039e+07'],[' 0'],[' 5.83007e+09'],[' 0'],[' 0'],[' 620 '],[' 1018 '],[' 1466 '],[' 1999 '],[' 2438 '],[' 2871 '],[' 3392 '],[' 1 '],[' 6 ']
Solving...,TA52, , ,[' 1441'],[' 728'],"[' 162.336s (Solving', ' 158.30s 1st Model', ' 1.79s Unsat', ' 9.51s)']",[' 161.891s'], ,[' 20356728'],"[' 12742528 (Analyzed', ' 12713369)']","[' 23746    (Average', ' 535.39 Last', ' 68335)']",[' 1741.1  '],"[' 728      (Average Length', ' 353.45 Splits', ' 0)']","[' 12713369 (Deleted', ' 12511085)']","[' 74       (Ratio', '   0.00%)']","[' 1256     (Ratio', '   0.01%)']","[' 12713369 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12713369 (Average', '  1.50 Max', ' 2187 Sum', ' 19030851)']","[' 12713232 (Average', '  1.50 Max', ' 2187 Sum', ' 19024799 Ratio', '  99.97%)']","[' 137      (Average', ' 44.18 Max', ' 131 Sum', '   6052 Ratio', '   0.03%)']", ,[' 74355   '],[' 3160    '],[' 74311   '],[' 41662   '],"[' 124982   (Atom=Atom', ' 39250 Body=Body', ' 22235 Other', ' 63497)']",[' Yes'],"[' 3866     (Eliminated', '    0 Frozen', ' 3866)']","[' 93       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.970259'],[' 0'], ,[' 76.1345'],[' 0'],[' 2.60859'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.45552e+07'],[' 3.56845e+07'],[' 0'],[' 5.13493e+09'],[' 0'],[' 0'],[' 584 '],[' 1011 '],[' 1475 '],[' 1913 '],[' 2417 '],[' 2860 '],[' 3421 '],[' 1 '],[' 6 ']
Solving...,TA53, , ,[' 1365'],[' 690'],"[' 151.190s (Solving', ' 147.69s 1st Model', ' 1.93s Unsat', ' 0.78s)']",[' 151.063s'], ,[' 4762820 '],"[' 1624585  (Analyzed', ' 1588843)']","[' 3603     (Average', ' 440.98 Last', ' 2688)']",[' 1724.6  '],"[' 690      (Average Length', ' 331.40 Splits', ' 0)']","[' 1588843  (Deleted', ' 1560313)']","[' 49       (Ratio', '   0.00%)']","[' 978      (Ratio', '   0.06%)']","[' 1588843  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1588843  (Average', '  2.37 Max', ' 2206 Sum', ' 3758278)']","[' 1588693  (Average', '  2.34 Max', ' 2206 Sum', ' 3722844 Ratio', '  99.06%)']","[' 150      (Average', ' 236.23 Max', ' 1455 Sum', '  35434 Ratio', '   0.94%)']", ,[' 75104   '],[' 3223    '],[' 75017   '],[' 42587   '],"[' 127757   (Atom=Atom', ' 40112 Body=Body', ' 22298 Other', ' 65347)']",[' Yes'],"[' 3886     (Eliminated', '    0 Frozen', ' 3886)']","[' 105      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.861729'],[' 0'], ,[' 133.995'],[' 0'],[' 1.88048'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.04757e+07'],[' 1.60218e+07'],[' 0'],[' 2.30133e+10'],[' 0'],[' 0'],[' 606 '],[' 992 '],[' 1463 '],[' 1853 '],[' 2315 '],[' 2765 '],[' 3431 '],[' 1 '],[' 6 ']
Solving...,TA54, , ,[' 1441'],[' 728'],"[' 170.520s (Solving', ' 167.13s 1st Model', ' 1.70s Unsat', ' 17.44s)']",[' 170.047s'], ,[' 6144732 '],"[' 3492171  (Analyzed', ' 3004758)']","[' 7409     (Average', ' 405.56 Last', ' 19768)']",[' 1763.8  '],"[' 728      (Average Length', ' 343.78 Splits', ' 0)']","[' 3004758  (Deleted', ' 2945933)']","[' 54       (Ratio', '   0.00%)']","[' 1148     (Ratio', '   0.04%)']","[' 3004758  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3004758  (Average', '  1.52 Max', ' 2346 Sum', ' 4570606)']","[' 3004666  (Average', '  1.51 Max', ' 2346 Sum', ' 4552004 Ratio', '  99.59%)']","[' 92       (Average', ' 202.20 Max', ' 573 Sum', '  18602 Ratio', '   0.41%)']", ,[' 75535   '],[' 3262    '],[' 75470   '],[' 43524   '],"[' 130568   (Atom=Atom', ' 41010 Body=Body', ' 22337 Other', ' 67221)']",[' Yes'],"[' 3947     (Eliminated', '    0 Frozen', ' 3947)']","[' 72       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.876495'],[' 0'], ,[' 143.394'],[' 0'],[' 2.54234'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.41242e+07'],[' 1.61459e+07'],[' 0'],[' 2.29476e+10'],[' 0'],[' 0'],[' 629 '],[' 922 '],[' 1389 '],[' 1776 '],[' 2267 '],[' 2768 '],[' 3368 '],[' 1 '],[' 6 ']
Solving...,TA55, , ,[' 1357'],[' 686'],"[' 187.400s (Solving', ' 183.69s 1st Model', ' 2.00s Unsat', ' 35.05s)']",[' 186.938s'], ,[' 24627835'],"[' 12846286 (Analyzed', ' 12819126)']","[' 23296    (Average', ' 550.27 Last', ' 10296)']",[' 1664.7  '],"[' 686      (Average Length', ' 328.36 Splits', ' 0)']","[' 12819126 (Deleted', ' 12574694)']","[' 69       (Ratio', '   0.00%)']","[' 1435     (Ratio', '   0.01%)']","[' 12819126 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12819126 (Average', '  1.83 Max', ' 2166 Sum', ' 23404868)']","[' 12818904 (Average', '  1.82 Max', ' 2166 Sum', ' 23377607 Ratio', '  99.88%)']","[' 222      (Average', ' 122.80 Max', ' 421 Sum', '  27261 Ratio', '   0.12%)']", ,[' 74473   '],[' 3229    '],[' 74379   '],[' 41729   '],"[' 125183   (Atom=Atom', ' 39248 Body=Body', ' 22304 Other', ' 63631)']",[' Yes'],"[' 3885     (Eliminated', '    0 Frozen', ' 3885)']","[' 120      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.861181'],[' 0'], ,[' 103.784'],[' 0'],[' 3.28812'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.36554e+07'],[' 4.40095e+07'],[' 0'],[' 8.58835e+09'],[' 0'],[' 0'],[' 536 '],[' 976 '],[' 1456 '],[' 1848 '],[' 2326 '],[' 2809 '],[' 3568 '],[' 1 '],[' 6 ']
Solving...,TA56, , ,[' 1113'],[' 564'],"[' 312.849s (Solving', ' 309.73s 1st Model', ' 1.52s Unsat', ' 21.00s)']",[' 311.813s'], ,[' 14362530'],"[' 8175760  (Analyzed', ' 8143010)']","[' 16825    (Average', ' 483.98 Last', ' 1977)']",[' 1724.7  '],"[' 564      (Average Length', ' 275.49 Splits', ' 0)']","[' 8143010  (Deleted', ' 8017332)']","[' 78       (Ratio', '   0.00%)']","[' 1920     (Ratio', '   0.02%)']","[' 8143010  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8143010  (Average', '  1.64 Max', ' 2172 Sum', ' 13315584)']","[' 8142816  (Average', '  1.63 Max', ' 2172 Sum', ' 13285301 Ratio', '  99.77%)']","[' 194      (Average', ' 156.10 Max', ' 415 Sum', '  30283 Ratio', '   0.23%)']", ,[' 74537   '],[' 3251    '],[' 74334   '],[' 42409   '],"[' 127223   (Atom=Atom', ' 39906 Body=Body', ' 22326 Other', ' 64991)']",[' Yes'],"[' 3798     (Eliminated', '    0 Frozen', ' 3798)']","[' 134      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.769609'],[' 0'], ,[' 257.352'],[' 0'],[' 4.76517'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.57553e+07'],[' 2.67777e+07'],[' 0'],[' 3.52232e+10'],[' 0'],[' 0'],[' 575 '],[' 1148 '],[' 1619 '],[' 2047 '],[' 2542 '],[' 3032 '],[' 3492 '],[' 2 '],[' 5 ']
Solving...,TA57, , ,[' 1269'],[' 642'],"[' 293.899s (Solving', ' 290.53s 1st Model', ' 1.77s Unsat', ' 0.26s)']",[' 293.266s'], ,[' 23456146'],"[' 16142763 (Analyzed', ' 16111315)']","[' 30888    (Average', ' 521.60 Last', ' 98035)']",[' 1651.6  '],"[' 642      (Average Length', ' 309.74 Splits', ' 0)']","[' 16111315 (Deleted', ' 15861744)']","[' 50       (Ratio', '   0.00%)']","[' 1091     (Ratio', '   0.01%)']","[' 16111315 (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16111315 (Average', '  1.38 Max', ' 2131 Sum', ' 22232145)']","[' 16111071 (Average', '  1.38 Max', ' 2131 Sum', ' 22187852 Ratio', '  99.80%)']","[' 244      (Average', ' 181.53 Max', ' 397 Sum', '  44293 Ratio', '   0.20%)']", ,[' 74610   '],[' 3237    '],[' 74480   '],[' 41797   '],"[' 125387   (Atom=Atom', ' 39308 Body=Body', ' 22312 Other', ' 63767)']",[' Yes'],"[' 3857     (Eliminated', '    0 Frozen', ' 3857)']","[' 169      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.824872'],[' 0'], ,[' 191.477'],[' 0'],[' 4.55281'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.91923e+07'],[' 3.33819e+07'],[' 0'],[' 1.97786e+10'],[' 0'],[' 0'],[' 751 '],[' 1117 '],[' 1613 '],[' 2072 '],[' 2474 '],[' 2944 '],[' 3544 '],[' 2 '],[' 5 ']
Solving...,TA58, , ,[' 1327'],[' 671'],"[' 153.686s (Solving', ' 150.36s 1st Model', ' 1.70s Unsat', ' 2.19s)']",[' 153.391s'], ,[' 18342326'],"[' 11942750 (Analyzed', ' 11910522)']","[' 21845    (Average', ' 545.23 Last', ' 39483)']",[' 1680.5  '],"[' 671      (Average Length', ' 321.44 Splits', ' 0)']","[' 11910522 (Deleted', ' 11752549)']","[' 54       (Ratio', '   0.00%)']","[' 1009     (Ratio', '   0.01%)']","[' 11910522 (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11910522 (Average', '  1.44 Max', ' 2182 Sum', ' 17144127)']","[' 11910366 (Average', '  1.44 Max', ' 2182 Sum', ' 17128776 Ratio', '  99.91%)']","[' 156      (Average', ' 98.40 Max', ' 440 Sum', '  15351 Ratio', '   0.09%)']", ,[' 74491   '],[' 3196    '],[' 74383   '],[' 41817   '],"[' 125447   (Atom=Atom', ' 39369 Body=Body', ' 22271 Other', ' 63807)']",[' Yes'],"[' 3838     (Eliminated', '    0 Frozen', ' 3838)']","[' 73       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.831997'],[' 0'], ,[' 72.5079'],[' 0'],[' 2.36392'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.87521e+07'],[' 3.04333e+07'],[' 0'],[' 4.62473e+09'],[' 0'],[' 0'],[' 613 '],[' 988 '],[' 1447 '],[' 1924 '],[' 2375 '],[' 2902 '],[' 3637 '],[' 1 '],[' 6 ']
Solving...,TA59, , ,[' 1183'],[' 599'],"[' 224.801s (Solving', ' 221.46s 1st Model', ' 1.55s Unsat', ' 75.06s)']",[' 224.547s'], ,[' 12696530'],"[' 7256462  (Analyzed', ' 7229031)']","[' 14584    (Average', ' 495.68 Last', ' 10935)']",[' 1653.4  '],"[' 599      (Average Length', ' 292.32 Splits', ' 0)']","[' 7229031  (Deleted', ' 7116241)']","[' 75       (Ratio', '   0.00%)']","[' 1664     (Ratio', '   0.02%)']","[' 7229031  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7229031  (Average', '  1.62 Max', ' 2157 Sum', ' 11713323)']","[' 7228829  (Average', '  1.62 Max', ' 2157 Sum', ' 11684092 Ratio', '  99.75%)']","[' 202      (Average', ' 144.71 Max', ' 455 Sum', '  29231 Ratio', '   0.25%)']", ,[' 74559   '],[' 3235    '],[' 74393   '],[' 42028   '],"[' 126080   (Atom=Atom', ' 39541 Body=Body', ' 22310 Other', ' 64229)']",[' Yes'],"[' 3819     (Eliminated', '    0 Frozen', ' 3819)']","[' 148      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.77596'],[' 0'], ,[' 175.506'],[' 0'],[' 3.09318'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.95777e+07'],[' 2.26417e+07'],[' 0'],[' 2.63447e+10'],[' 0'],[' 0'],[' 476 '],[' 856 '],[' 1290 '],[' 1774 '],[' 2240 '],[' 2759 '],[' 3355 '],[' 1 '],[' 6 ']
Solving...,TA60, , ,[' 1407'],[' 711'],"[' 14.627s (Solving', ' 11.09s 1st Model', ' 2.00s Unsat', ' 5.18s)']",[' 14.547s'], ,[' 2243561 '],"[' 202786   (Analyzed', ' 163474)']","[' 735      (Average', ' 222.41 Last', ' 771)']",[' 1722.7  '],"[' 711      (Average Length', ' 338.81 Splits', ' 0)']","[' 163474   (Deleted', ' 154132)']","[' 71       (Ratio', '   0.04%)']","[' 1036     (Ratio', '   0.63%)']","[' 163474   (Average Length', '    8.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 163474   (Average', '  7.56 Max', ' 2251 Sum', ' 1235841)']","[' 163367   (Average', '  7.50 Max', ' 2251 Sum', ' 1225724 Ratio', '  99.18%)']","[' 107      (Average', ' 94.55 Max', ' 435 Sum', '  10117 Ratio', '   0.82%)']", ,[' 74687   '],[' 3192    '],[' 74616   '],[' 42357   '],"[' 127067   (Atom=Atom', ' 39913 Body=Body', ' 22267 Other', ' 64887)']",[' Yes'],"[' 3871     (Eliminated', '    0 Frozen', ' 3871)']","[' 7        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.872048'],[' 0'], ,[' 6.38073'],[' 0'],[' 0.181725'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3667e+07'],[' 1.27001e+07'],[' 0'],[' 7.49714e+08'],[' 0'],[' 0'],[' 574 '],[' 868 '],[' 1354 '],[' 1842 '],[' 2215 '],[' 2636 '],[' 3113 '],[' 0 '],[' 7 ']
