Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 4721+'],[' 2369'],"[' 1014.088s (Solving', ' 952.78s 1st Model', ' 233.76s Unsat', ' 0.00s)']",[' 1008.438s'], ,[' 97872515'],"[' 7802658  (Analyzed', ' 7430716)']","[' 16612    (Average', ' 447.31 Last', ' 51721)']",[' 6694.9  '],"[' 2369     (Average Length', ' 1115.59 Splits', ' 0)']","[' 7430716  (Deleted', ' 7310228)']","[' 48       (Ratio', '   0.00%)']","[' 19509    (Ratio', '   0.26%)']","[' 7430716  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7430716  (Average', ' 11.48 Max', ' 8326 Sum', ' 85279765)']","[' 7429027  (Average', ' 11.29 Max', ' 8326 Sum', ' 83913234 Ratio', '  98.40%)']","[' 1689     (Average', ' 809.08 Max', ' 1672 Sum', ' 1366531 Ratio', '   1.60%)']", ,[' 365330  '],[' 14107   '],[' 365541  '],[' 213802  '],"[' 641402   (Atom=Atom', ' 201693 Body=Body', ' 115007 Other', ' 324702)']",[' Yes'],"[' 16318    (Eliminated', '    0 Frozen', ' 16318)']","[' 3184     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6431'],[' 0'], ,[' 793.672'],[' 0'],[' 15.2065'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.39284e+08'],[' 4.03861e+08'],[' 0'],[' 7.36924e+10'],[' 0'],[' 0'],[' 1040 '],[' 1882 '],[' 2641 '],[' 3798 '],[' 4428 '],[' 5127 '],[' 5847 '],[' 6634 '],[' 8 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 4571+'],[' 2294'],"[' 1012.968s (Solving', ' 956.70s 1st Model', ' 139.33s Unsat', ' 0.00s)']",[' 1010.094s'], ,[' 78159675'],"[' 8602696  (Analyzed', ' 8295119)']","[' 17357    (Average', ' 477.91 Last', ' 206775)']",[' 6068.1  '],"[' 2294     (Average Length', ' 1070.54 Splits', ' 0)']","[' 8295119  (Deleted', ' 8160598)']","[' 29       (Ratio', '   0.00%)']","[' 13515    (Ratio', '   0.16%)']","[' 8295119  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8295119  (Average', '  8.23 Max', ' 8002 Sum', ' 68227817)']","[' 8292793  (Average', '  7.96 Max', ' 8002 Sum', ' 66051839 Ratio', '  96.81%)']","[' 2326     (Average', ' 935.50 Max', ' 1709 Sum', ' 2175978 Ratio', '   3.19%)']", ,[' 361308  '],[' 13881   '],[' 361434  '],[' 208055  '],"[' 624161   (Atom=Atom', ' 196172 Body=Body', ' 114781 Other', ' 313208)']",[' Yes'],"[' 16007    (Eliminated', '    0 Frozen', ' 16007)']","[' 2413     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4251'],[' 0'], ,[' 813.046'],[' 0'],[' 14.052'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.65146e+08'],[' 3.32771e+08'],[' 0'],[' 7.86892e+10'],[' 0'],[' 0'],[' 779 '],[' 1548 '],[' 2234 '],[' 3075 '],[' 3803 '],[' 4481 '],[' 5179 '],[' 5863 '],[' 8 '],[' 0 ']
Solving...,TA73, , ,[' 4841'],[' 2429'],"[' 959.120s (Solving', ' 893.45s 1st Model', ' 98.74s Unsat', ' 3.03s)']",[' 954.469s'], ,[' 73221994'],"[' 7696079  (Analyzed', ' 7332305)']","[' 16693    (Average', ' 439.24 Last', ' 26848)']",[' 6525.5  '],"[' 2429     (Average Length', ' 1142.43 Splits', ' 0)']","[' 7332305  (Deleted', ' 7209711)']","[' 43       (Ratio', '   0.00%)']","[' 12055    (Ratio', '   0.16%)']","[' 7332305  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7332305  (Average', '  8.33 Max', ' 8374 Sum', ' 61077490)']","[' 7330296  (Average', '  8.10 Max', ' 8374 Sum', ' 59426362 Ratio', '  97.30%)']","[' 2009     (Average', ' 821.87 Max', ' 1831 Sum', ' 1651128 Ratio', '   2.70%)']", ,[' 363254  '],[' 13934   '],[' 363506  '],[' 209383  '],"[' 628145   (Atom=Atom', ' 197447 Body=Body', ' 114834 Other', ' 315864)']",[' Yes'],"[' 16186    (Eliminated', '    0 Frozen', ' 16186)']","[' 2474     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.9307'],[' 0'], ,[' 757.517'],[' 0'],[' 12.7093'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.55731e+08'],[' 3.25486e+08'],[' 0'],[' 7.01136e+10'],[' 0'],[' 0'],[' 1089 '],[' 1728 '],[' 2533 '],[' 3465 '],[' 4436 '],[' 5266 '],[' 5949 '],[' 6786 '],[' 7 '],[' 1 ']
Solving...,TA74, ,[' 1'],[' 5155+'],[' 2586'],"[' 1013.611s (Solving', ' 957.47s 1st Model', ' 161.59s Unsat', ' 0.00s)']",[' 1010.656s'], ,[' 91436048'],"[' 8917215  (Analyzed', ' 8542098)']","[' 18580    (Average', ' 459.75 Last', ' 64481)']",[' 6279.1  '],"[' 2586     (Average Length', ' 1187.24 Splits', ' 0)']","[' 8542098  (Deleted', ' 8388865)']","[' 82       (Ratio', '   0.00%)']","[' 16036    (Ratio', '   0.19%)']","[' 8542098  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8542098  (Average', '  9.33 Max', ' 7952 Sum', ' 79655433)']","[' 8540009  (Average', '  9.08 Max', ' 7952 Sum', ' 77570927 Ratio', '  97.38%)']","[' 2089     (Average', ' 997.85 Max', ' 1924 Sum', ' 2084506 Ratio', '   2.62%)']", ,[' 362496  '],[' 13835   '],[' 362845  '],[' 209447  '],"[' 628337   (Atom=Atom', ' 197610 Body=Body', ' 114735 Other', ' 315992)']",[' Yes'],"[' 16184    (Eliminated', '    0 Frozen', ' 16184)']","[' 2803     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4173'],[' 0'], ,[' 807.433'],[' 0'],[' 13.8164'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.32153e+08'],[' 3.96238e+08'],[' 0'],[' 8.74287e+10'],[' 0'],[' 0'],[' 928 '],[' 1544 '],[' 2285 '],[' 3036 '],[' 3730 '],[' 4482 '],[' 5168 '],[' 5834 '],[' 8 '],[' 0 ']
Solving...,TA75, , ,[' 5223'],[' 2620'],"[' 931.159s (Solving', ' 876.99s 1st Model', ' 86.21s Unsat', ' 0.65s)']",[' 928.969s'], ,[' 105306330'],"[' 8598181  (Analyzed', ' 8345662)']","[' 17488    (Average', ' 477.22 Last', ' 312119)']",[' 5845.2  '],"[' 2620     (Average Length', ' 1200.16 Splits', ' 0)']","[' 8345662  (Deleted', ' 8209421)']","[' 79       (Ratio', '   0.00%)']","[' 22140    (Ratio', '   0.27%)']","[' 8345662  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8345662  (Average', ' 11.25 Max', ' 7747 Sum', ' 93855229)']","[' 8343975  (Average', ' 11.08 Max', ' 7747 Sum', ' 92438145 Ratio', '  98.49%)']","[' 1687     (Average', ' 840.00 Max', ' 1932 Sum', ' 1417084 Ratio', '   1.51%)']", ,[' 363469  '],[' 14012   '],[' 363848  '],[' 210400  '],"[' 631196   (Atom=Atom', ' 198386 Body=Body', ' 114912 Other', ' 317898)']",[' Yes'],"[' 16391    (Eliminated', '    0 Frozen', ' 16391)']","[' 4445     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.1843'],[' 0'], ,[' 729.471'],[' 0'],[' 13.3908'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.59884e+08'],[' 4.14654e+08'],[' 0'],[' 8.23501e+10'],[' 0'],[' 0'],[' 996 '],[' 1696 '],[' 2484 '],[' 3139 '],[' 3862 '],[' 4546 '],[' 5372 '],[' 6182 '],[' 7 '],[' 1 ']
Solving...,TA76, ,[' 1'],[' 5219+'],[' 2618'],"[' 1012.412s (Solving', ' 949.55s 1st Model', ' 146.75s Unsat', ' 0.00s)']",[' 997.797s'], ,[' 89233705'],"[' 8980341  (Analyzed', ' 8667963)']","[' 18079    (Average', ' 479.45 Last', ' 251444)']",[' 5978.8  '],"[' 2618     (Average Length', ' 1208.92 Splits', ' 0)']","[' 8667963  (Deleted', ' 8532882)']","[' 66       (Ratio', '   0.00%)']","[' 18663    (Ratio', '   0.22%)']","[' 8667963  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8667963  (Average', '  8.99 Max', ' 7838 Sum', ' 77946317)']","[' 8665955  (Average', '  8.77 Max', ' 7838 Sum', ' 76013317 Ratio', '  97.52%)']","[' 2008     (Average', ' 962.65 Max', ' 1856 Sum', ' 1933000 Ratio', '   2.48%)']", ,[' 361750  '],[' 13874   '],[' 362148  '],[' 207358  '],"[' 622070   (Atom=Atom', ' 195482 Body=Body', ' 114774 Other', ' 311814)']",[' Yes'],"[' 16272    (Eliminated', '    0 Frozen', ' 16272)']","[' 3300     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.9221'],[' 0'], ,[' 803.788'],[' 0'],[' 13.5418'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.17658e+08'],[' 3.76748e+08'],[' 0'],[' 9.24839e+10'],[' 0'],[' 0'],[' 905 '],[' 1681 '],[' 2432 '],[' 3312 '],[' 4013 '],[' 4712 '],[' 5399 '],[' 6106 '],[' 8 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 4317+'],[' 2167'],"[' 1010.420s (Solving', ' 969.00s 1st Model', ' 72.54s Unsat', ' 0.00s)']",[' 1008.156s'], ,[' 91049743'],"[' 12006842 (Analyzed', ' 11650310)']","[' 24001    (Average', ' 485.41 Last', ' 69986)']",[' 6176.1  '],"[' 2167     (Average Length', ' 1018.43 Splits', ' 0)']","[' 11650310 (Deleted', ' 11485677)']","[' 32       (Ratio', '   0.00%)']","[' 14428    (Ratio', '   0.12%)']","[' 11650310 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11650310 (Average', '  6.91 Max', ' 8539 Sum', ' 80487789)']","[' 11648521 (Average', '  6.78 Max', ' 8539 Sum', ' 79030261 Ratio', '  98.19%)']","[' 1789     (Average', ' 814.72 Max', ' 1566 Sum', ' 1457528 Ratio', '   1.81%)']", ,[' 361966  '],[' 13848   '],[' 361998  '],[' 209053  '],"[' 627155   (Atom=Atom', ' 197203 Body=Body', ' 114748 Other', ' 315204)']",[' Yes'],"[' 15880    (Eliminated', '    0 Frozen', ' 15880)']","[' 2528     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.01446'],[' 0'], ,[' 840.616'],[' 0'],[' 13.0215'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.89349e+08'],[' 3.46805e+08'],[' 0'],[' 1.15774e+11'],[' 0'],[' 0'],[' 878 '],[' 1614 '],[' 2421 '],[' 3123 '],[' 3885 '],[' 4649 '],[' 5441 '],[' 6145 '],[' 8 '],[' 0 ']
Solving...,TA78, , ,[' 4577'],[' 2297'],"[' 931.794s (Solving', ' 879.19s 1st Model', ' 44.82s Unsat', ' 0.00s)']",[' 929.859s'], ,[' 95485814'],"[' 13011149 (Analyzed', ' 12823468)']","[' 24850    (Average', ' 516.03 Last', ' 10815)']",[' 6338.4  '],"[' 2297     (Average Length', ' 1076.29 Splits', ' 0)']","[' 12823468 (Deleted', ' 12660595)']","[' 39       (Ratio', '   0.00%)']","[' 12852    (Ratio', '   0.10%)']","[' 12823468 (Average Length', '   18.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12823468 (Average', '  6.57 Max', ' 8373 Sum', ' 84295470)']","[' 12821335 (Average', '  6.44 Max', ' 8373 Sum', ' 82626921 Ratio', '  98.02%)']","[' 2133     (Average', ' 782.25 Max', ' 1694 Sum', ' 1668549 Ratio', '   1.98%)']", ,[' 362829  '],[' 13994   '],[' 362962  '],[' 208681  '],"[' 626039   (Atom=Atom', ' 196685 Body=Body', ' 114894 Other', ' 314460)']",[' Yes'],"[' 16127    (Eliminated', '    0 Frozen', ' 16127)']","[' 2567     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.0166'],[' 0'], ,[' 743.397'],[' 0'],[' 12.0762'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.90988e+08'],[' 3.43648e+08'],[' 0'],[' 9.88935e+10'],[' 0'],[' 0'],[' 1022 '],[' 1760 '],[' 2521 '],[' 3187 '],[' 4073 '],[' 4749 '],[' 5518 '],[' 6365 '],[' 7 '],[' 1 ']
Solving...,TA79, ,[' 1'],[' 5117+'],[' 2567'],"[' 1011.870s (Solving', ' 963.30s 1st Model', ' 99.90s Unsat', ' 0.00s)']",[' 1009.156s'], ,[' 95389485'],"[' 11141027 (Analyzed', ' 10719321)']","[' 22065    (Average', ' 485.81 Last', ' 61641)']",[' 6282.7  '],"[' 2567     (Average Length', ' 1187.48 Splits', ' 0)']","[' 10719321 (Deleted', ' 10559264)']","[' 27       (Ratio', '   0.00%)']","[' 15900    (Ratio', '   0.15%)']","[' 10719321 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10719321 (Average', '  7.78 Max', ' 8348 Sum', ' 83394426)']","[' 10717326 (Average', '  7.60 Max', ' 8348 Sum', ' 81441202 Ratio', '  97.66%)']","[' 1995     (Average', ' 979.06 Max', ' 1915 Sum', ' 1953224 Ratio', '   2.34%)']", ,[' 363771  '],[' 13989   '],[' 364094  '],[' 210540  '],"[' 631616   (Atom=Atom', ' 198549 Body=Body', ' 114889 Other', ' 318178)']",[' Yes'],"[' 16312    (Eliminated', '    0 Frozen', ' 16312)']","[' 2775     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.5846'],[' 0'], ,[' 829.923'],[' 0'],[' 13.0796'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.21896e+08'],[' 3.80056e+08'],[' 0'],[' 1.11722e+11'],[' 0'],[' 0'],[' 952 '],[' 1556 '],[' 2291 '],[' 3122 '],[' 3812 '],[' 4609 '],[' 5302 '],[' 5974 '],[' 8 '],[' 0 ']
Solving...,TA80, , ,[' 4275'],[' 2146'],"[' 924.007s (Solving', ' 879.46s 1st Model', ' 39.14s Unsat', ' 0.00s)']",[' 921.984s'], ,[' 77888308'],"[' 10690917 (Analyzed', ' 10468051)']","[' 20998    (Average', ' 498.53 Last', ' 16343)']",[' 6613.5  '],"[' 2146     (Average Length', ' 1021.50 Splits', ' 0)']","[' 10468051 (Deleted', ' 10323413)']","[' 33       (Ratio', '   0.00%)']","[' 11566    (Ratio', '   0.11%)']","[' 10468051 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10468051 (Average', '  6.38 Max', ' 8814 Sum', ' 66769165)']","[' 10466178 (Average', '  6.23 Max', ' 8814 Sum', ' 65194354 Ratio', '  97.64%)']","[' 1873     (Average', ' 840.80 Max', ' 1606 Sum', ' 1574811 Ratio', '   2.36%)']", ,[' 365362  '],[' 14068   '],[' 365380  '],[' 212626  '],"[' 637874   (Atom=Atom', ' 200556 Body=Body', ' 114968 Other', ' 322350)']",[' Yes'],"[' 16086    (Eliminated', '    0 Frozen', ' 16086)']","[' 2459     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.39604'],[' 0'], ,[' 762.584'],[' 0'],[' 11.747'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.48268e+08'],[' 3.09831e+08'],[' 0'],[' 1.03043e+11'],[' 0'],[' 0'],[' 887 '],[' 1714 '],[' 2548 '],[' 3263 '],[' 4011 '],[' 5062 '],[' 5689 '],[' 6510 '],[' 7 '],[' 1 ']
