Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1853'],[' 935'],"[' 141.161s (Solving', ' 135.17s 1st Model', ' 3.02s Unsat', ' 1.29s)']",[' 140.859s'], ,[' 5724135 '],"[' 1854021  (Analyzed', ' 1793306)']","[' 4353     (Average', ' 411.97 Last', ' 2125)']",[' 2041.4  '],"[' 935      (Average Length', ' 449.75 Splits', ' 0)']","[' 1793306  (Deleted', ' 1756582)']","[' 74       (Ratio', '   0.00%)']","[' 1115     (Ratio', '   0.06%)']","[' 1793306  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1793306  (Average', '  2.34 Max', ' 2635 Sum', ' 4190127)']","[' 1793140  (Average', '  2.31 Max', ' 2635 Sum', ' 4144048 Ratio', '  98.90%)']","[' 166      (Average', ' 277.58 Max', ' 1873 Sum', '  46079 Ratio', '   1.10%)']", ,[' 98001   '],[' 3874    '],[' 97901   '],[' 55685   '],"[' 167051   (Atom=Atom', ' 52809 Body=Body', ' 29324 Other', ' 84918)']",[' Yes'],"[' 4774     (Eliminated', '    0 Frozen', ' 4774)']","[' 107      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.45643'],[' 0'], ,[' 117.051'],[' 0'],[' 1.89443'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.00017e+07'],[' 2.4675e+07'],[' 0'],[' 1.84903e+10'],[' 0'],[' 0'],[' 524 '],[' 923 '],[' 1332 '],[' 1827 '],[' 2330 '],[' 2794 '],[' 3192 '],[' 3764 '],[' 1 '],[' 7 ']
Solving...,TA62, , ,[' 2047'],[' 1032'],"[' 19.639s (Solving', ' 13.09s 1st Model', ' 3.17s Unsat', ' 2.95s)']",[' 19.563s'], ,[' 3243552 '],"[' 213228   (Analyzed', ' 123421)']","[' 741      (Average', ' 166.56 Last', ' 3673)']",[' 2032.1  '],"[' 1032     (Average Length', ' 481.22 Splits', ' 0)']","[' 123421   (Deleted', ' 113888)']","[' 65       (Ratio', '   0.05%)']","[' 1072     (Ratio', '   0.87%)']","[' 123421   (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 123421   (Average', ' 13.06 Max', ' 2625 Sum', ' 1611999)']","[' 123279   (Average', ' 12.66 Max', ' 2625 Sum', ' 1562005 Ratio', '  96.90%)']","[' 142      (Average', ' 352.07 Max', ' 800 Sum', '  49994 Ratio', '   3.10%)']", ,[' 98333   '],[' 3850    '],[' 98289   '],[' 55928   '],"[' 167780   (Atom=Atom', ' 53076 Body=Body', ' 29300 Other', ' 85404)']",[' Yes'],"[' 4806     (Eliminated', '    0 Frozen', ' 4806)']","[' 22       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.52863'],[' 0'], ,[' 5.96341'],[' 0'],[' 0.222339'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.32783e+07'],[' 2.19491e+07'],[' 0'],[' 4.38378e+08'],[' 0'],[' 0'],[' 515 '],[' 879 '],[' 1362 '],[' 1825 '],[' 2164 '],[' 2518 '],[' 3023 '],[' 3797 '],[' 0 '],[' 8 ']
Solving...,TA63, , ,[' 1841'],[' 929'],"[' 14.459s (Solving', ' 8.85s 1st Model', ' 2.28s Unsat', ' 0.52s)']",[' 14.453s'], ,[' 2466054 '],"[' 70929    (Analyzed', ' 28554)']","[' 255      (Average', ' 111.98 Last', ' 247)']",[' 1888.2  '],"[' 929      (Average Length', ' 437.20 Splits', ' 0)']","[' 28554    (Deleted', ' 21430)']","[' 46       (Ratio', '   0.16%)']","[' 566      (Ratio', '   1.98%)']","[' 28554    (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28554    (Average', ' 38.46 Max', ' 2647 Sum', ' 1098191)']","[' 28453    (Average', ' 38.04 Max', ' 2647 Sum', ' 1086298 Ratio', '  98.92%)']","[' 101      (Average', ' 117.75 Max', ' 749 Sum', '  11893 Ratio', '   1.08%)']", ,[' 97610   '],[' 3792    '],[' 97482   '],[' 54907   '],"[' 164717   (Atom=Atom', ' 52113 Body=Body', ' 29242 Other', ' 83362)']",[' Yes'],"[' 4664     (Eliminated', '    0 Frozen', ' 4664)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32467'],[' 0'], ,[' 3.13431'],[' 0'],[' 0.139843'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84878e+07'],[' 1.75709e+07'],[' 0'],[' 1.27301e+08'],[' 0'],[' 0'],[' 553 '],[' 934 '],[' 1320 '],[' 1761 '],[' 2162 '],[' 2627 '],[' 3025 '],[' 3756 '],[' 0 '],[' 8 ']
Solving...,TA64, , ,[' 1759'],[' 888'],"[' 274.211s (Solving', ' 268.48s 1st Model', ' 2.61s Unsat', ' 12.06s)']",[' 273.859s'], ,[' 15756126'],"[' 7488804  (Analyzed', ' 7453681)']","[' 14343    (Average', ' 519.67 Last', ' 5643)']",[' 1961.0  '],"[' 888      (Average Length', ' 420.84 Splits', ' 0)']","[' 7453681  (Deleted', ' 7327074)']","[' 77       (Ratio', '   0.00%)']","[' 1908     (Ratio', '   0.03%)']","[' 7453681  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7453681  (Average', '  1.92 Max', ' 2464 Sum', ' 14291378)']","[' 7453441  (Average', '  1.91 Max', ' 2464 Sum', ' 14229854 Ratio', '  99.57%)']","[' 240      (Average', ' 256.35 Max', ' 1252 Sum', '  61524 Ratio', '   0.43%)']", ,[' 97851   '],[' 3860    '],[' 97691   '],[' 54812   '],"[' 164432   (Atom=Atom', ' 51950 Body=Body', ' 29310 Other', ' 83172)']",[' Yes'],"[' 4700     (Eliminated', '    0 Frozen', ' 4700)']","[' 188      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.45562'],[' 0'], ,[' 215.292'],[' 0'],[' 3.83274'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.55931e+07'],[' 3.57816e+07'],[' 0'],[' 2.7995e+10'],[' 0'],[' 0'],[' 606 '],[' 1010 '],[' 1551 '],[' 1888 '],[' 2211 '],[' 2634 '],[' 3053 '],[' 3623 '],[' 2 '],[' 6 ']
Solving...,TA65, , ,[' 1623'],[' 820'],"[' 14.742s (Solving', ' 9.91s 1st Model', ' 2.31s Unsat', ' 1.64s)']",[' 14.641s'], ,[' 2475638 '],"[' 135831   (Analyzed', ' 58529)']","[' 515      (Average', ' 113.65 Last', ' 304)']",[' 1936.4  '],"[' 820      (Average Length', ' 383.92 Splits', ' 0)']","[' 58529    (Deleted', ' 49739)']","[' 82       (Ratio', '   0.14%)']","[' 890      (Ratio', '   1.52%)']","[' 58529    (Average Length', '    8.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 58529    (Average', ' 19.54 Max', ' 2647 Sum', ' 1143371)']","[' 58418    (Average', ' 19.41 Max', ' 2647 Sum', ' 1135854 Ratio', '  99.34%)']","[' 111      (Average', ' 67.72 Max', ' 198 Sum', '   7517 Ratio', '   0.66%)']", ,[' 97734   '],[' 3826    '],[' 97495   '],[' 55472   '],"[' 166412   (Atom=Atom', ' 52644 Body=Body', ' 29276 Other', ' 84492)']",[' Yes'],"[' 4587     (Eliminated', '    0 Frozen', ' 4587)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23867'],[' 0'], ,[' 4.32564'],[' 0'],[' 0.160018'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80446e+07'],[' 1.7088e+07'],[' 0'],[' 3.2785e+08'],[' 0'],[' 0'],[' 522 '],[' 853 '],[' 1305 '],[' 1683 '],[' 2117 '],[' 2564 '],[' 2891 '],[' 3635 '],[' 0 '],[' 8 ']
Solving...,TA66, , ,[' 1787'],[' 902'],"[' 23.170s (Solving', ' 18.19s 1st Model', ' 2.78s Unsat', ' 9.17s)']",[' 22.969s'], ,[' 3650304 '],"[' 808489   (Analyzed', ' 755628)']","[' 2144     (Average', ' 352.44 Last', ' 1924)']",[' 1987.5  '],"[' 902      (Average Length', ' 428.13 Splits', ' 0)']","[' 755628   (Deleted', ' 737074)']","[' 87       (Ratio', '   0.01%)']","[' 980      (Ratio', '   0.13%)']","[' 755628   (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 755628   (Average', '  2.92 Max', ' 2720 Sum', ' 2203708)']","[' 755505   (Average', '  2.89 Max', ' 2720 Sum', ' 2186421 Ratio', '  99.22%)']","[' 123      (Average', ' 140.54 Max', ' 636 Sum', '  17287 Ratio', '   0.78%)']", ,[' 98460   '],[' 3886    '],[' 98307   '],[' 56460   '],"[' 169376   (Atom=Atom', ' 53572 Body=Body', ' 29336 Other', ' 86468)']",[' Yes'],"[' 4733     (Eliminated', '    0 Frozen', ' 4733)']","[' 7        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.35602'],[' 0'], ,[' 8.17821'],[' 0'],[' 0.315328'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.21306e+07'],[' 1.95351e+07'],[' 0'],[' 4.58904e+08'],[' 0'],[' 0'],[' 594 '],[' 975 '],[' 1436 '],[' 1893 '],[' 2293 '],[' 2673 '],[' 3114 '],[' 3768 '],[' 0 '],[' 8 ']
Solving...,TA67, , ,[' 1833'],[' 925'],"[' 132.118s (Solving', ' 127.34s 1st Model', ' 2.33s Unsat', ' 1.04s)']",[' 139.391s'], ,[' 16772676'],"[' 10185368 (Analyzed', ' 10145568)']","[' 17172    (Average', ' 590.82 Last', ' 402)']",[' 1801.1  '],"[' 925      (Average Length', ' 431.70 Splits', ' 0)']","[' 10145568 (Deleted', ' 10008546)']","[' 56       (Ratio', '   0.00%)']","[' 1206     (Ratio', '   0.01%)']","[' 10145568 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10145568 (Average', '  1.51 Max', ' 2595 Sum', ' 15291359)']","[' 10145377 (Average', '  1.50 Max', ' 2595 Sum', ' 15264040 Ratio', '  99.82%)']","[' 191      (Average', ' 143.03 Max', ' 783 Sum', '  27319 Ratio', '   0.18%)']", ,[' 98166   '],[' 3908    '],[' 98019   '],[' 55027   '],"[' 165077   (Atom=Atom', ' 52117 Body=Body', ' 29358 Other', ' 83602)']",[' Yes'],"[' 4761     (Eliminated', '    0 Frozen', ' 4761)']","[' 136      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.288'],[' 0'], ,[' 68.5714'],[' 0'],[' 2.41283'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.8363e+07'],[' 3.39454e+07'],[' 0'],[' 4.77345e+09'],[' 0'],[' 0'],[' 542 '],[' 1015 '],[' 1412 '],[' 1837 '],[' 2204 '],[' 2641 '],[' 3037 '],[' 4022 '],[' 1 '],[' 7 ']
Solving...,TA68, , ,[' 1791'],[' 904'],"[' 18.553s (Solving', ' 12.37s 1st Model', ' 2.70s Unsat', ' 1.13s)']",[' 19.531s'], ,[' 3088519 '],"[' 304461   (Analyzed', ' 23389)']","[' 527      (Average', ' 44.38 Last', ' 1063)']",[' 2082.6  '],"[' 904      (Average Length', ' 434.98 Splits', ' 0)']","[' 23389    (Deleted', ' 17656)']","[' 90       (Ratio', '   0.38%)']","[' 790      (Ratio', '   3.38%)']","[' 23389    (Average Length', '    7.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23389    (Average', ' 58.26 Max', ' 2647 Sum', ' 1362650)']","[' 23222    (Average', ' 56.90 Max', ' 2647 Sum', ' 1330875 Ratio', '  97.67%)']","[' 167      (Average', ' 190.27 Max', ' 613 Sum', '  31775 Ratio', '   2.33%)']", ,[' 97826   '],[' 3828    '],[' 97694   '],[' 55428   '],"[' 166280   (Atom=Atom', ' 52598 Body=Body', ' 29278 Other', ' 84404)']",[' Yes'],"[' 4696     (Eliminated', '    0 Frozen', ' 4696)']","[' 15       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.53218'],[' 0'], ,[' 6.36144'],[' 0'],[' 0.204483'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.2669e+07'],[' 2.14484e+07'],[' 0'],[' 5.01572e+08'],[' 0'],[' 0'],[' 534 '],[' 841 '],[' 1288 '],[' 1655 '],[' 2113 '],[' 2450 '],[' 2957 '],[' 3471 '],[' 0 '],[' 8 ']
Solving...,TA69, , ,[' 1999'],[' 1008'],"[' 152.605s (Solving', ' 146.09s 1st Model', ' 2.82s Unsat', ' 19.25s)']",[' 160.109s'], ,[' 16823988'],"[' 10387461 (Analyzed', ' 10337322)']","[' 19433    (Average', ' 531.95 Last', ' 2518)']",[' 2008.2  '],"[' 1008     (Average Length', ' 470.05 Splits', ' 0)']","[' 10337322 (Deleted', ' 10173154)']","[' 70       (Ratio', '   0.00%)']","[' 1453     (Ratio', '   0.01%)']","[' 10337322 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10337322 (Average', '  1.45 Max', ' 2553 Sum', ' 15030860)']","[' 10337095 (Average', '  1.45 Max', ' 2553 Sum', ' 14975343 Ratio', '  99.63%)']","[' 227      (Average', ' 244.57 Max', ' 681 Sum', '  55517 Ratio', '   0.37%)']", ,[' 98553   '],[' 3903    '],[' 98491   '],[' 55689   '],"[' 167063   (Atom=Atom', ' 52784 Body=Body', ' 29353 Other', ' 84926)']",[' Yes'],"[' 4841     (Eliminated', '    0 Frozen', ' 4841)']","[' 120      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.56174'],[' 0'], ,[' 85.9041'],[' 0'],[' 2.53737'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.23312e+07'],[' 3.71935e+07'],[' 0'],[' 6.20346e+09'],[' 0'],[' 0'],[' 739 '],[' 1122 '],[' 1633 '],[' 2137 '],[' 2616 '],[' 2967 '],[' 3447 '],[' 4163 '],[' 1 '],[' 7 ']
Solving...,TA70, , ,[' 2213'],[' 1115'],"[' 33.781s (Solving', ' 26.88s 1st Model', ' 3.45s Unsat', ' 16.37s)']",[' 33.672s'], ,[' 5615703 '],"[' 1317483  (Analyzed', ' 1249556)']","[' 2995     (Average', ' 417.21 Last', ' 832)']",[' 2050.2  '],"[' 1115     (Average Length', ' 525.83 Splits', ' 0)']","[' 1249556  (Deleted', ' 1217400)']","[' 94       (Ratio', '   0.01%)']","[' 1118     (Ratio', '   0.09%)']","[' 1249556  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1249556  (Average', '  3.08 Max', ' 2726 Sum', ' 3845862)']","[' 1249405  (Average', '  3.06 Max', ' 2726 Sum', ' 3829218 Ratio', '  99.57%)']","[' 151      (Average', ' 110.23 Max', ' 818 Sum', '  16644 Ratio', '   0.43%)']", ,[' 99502   '],[' 3939    '],[' 99541   '],[' 56964   '],"[' 170888   (Atom=Atom', ' 54023 Body=Body', ' 29389 Other', ' 87476)']",[' Yes'],"[' 4978     (Eliminated', '    0 Frozen', ' 4978)']","[' 28       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.56173'],[' 0'], ,[' 12.9389'],[' 0'],[' 0.491155'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.89296e+07'],[' 2.50218e+07'],[' 0'],[' 7.3631e+08'],[' 0'],[' 0'],[' 636 '],[' 1017 '],[' 1479 '],[' 1996 '],[' 2491 '],[' 3095 '],[' 3653 '],[' 4403 '],[' 0 '],[' 8 ']
