Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1001'],[' 510'],"[' 17.492s (Solving', ' 13.75s 1st Model', ' 1.50s Unsat', ' 7.83s)']",[' 17.406s'], ,[' 1592863 '],"[' 498055   (Analyzed', ' 441314)']","[' 1489     (Average', ' 296.38 Last', ' 7096)']",[' 1367.3  '],"[' 510      (Average Length', ' 247.50 Splits', ' 0)']","[' 441314   (Deleted', ' 425112)']","[' 73       (Ratio', '   0.02%)']","[' 756      (Ratio', '   0.17%)']","[' 441314   (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 441314   (Average', '  2.20 Max', ' 1737 Sum', ' 969366)']","[' 441205   (Average', '  2.19 Max', ' 1737 Sum', ' 964867 Ratio', '  99.54%)']","[' 109      (Average', ' 41.28 Max', ' 245 Sum', '   4499 Ratio', '   0.46%)']", ,[' 71955   '],[' 2606    '],[' 71702   '],[' 40680   '],"[' 122036   (Atom=Atom', ' 38822 Body=Body', ' 21681 Other', ' 61533)']",[' Yes'],"[' 3103     (Eliminated', '    0 Frozen', ' 3103)']","[' 16       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.953658'],[' 0'], ,[' 6.70484'],[' 0'],[' 0.212343'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10457e+07'],[' 9.62471e+06'],[' 0'],[' 3.85486e+08'],[' 0'],[' 0'],[' 508 '],[' 805 '],[' 1229 '],[' 1625 '],[' 1955 '],[' 2406 '],[' 2726 '],[' 3122 '],[' 3560 '],[' 0 '],[' 9 ']
Solving...,TA52, , ,[' 977'],[' 498'],"[' 122.246s (Solving', ' 118.03s 1st Model', ' 1.60s Unsat', ' 1.14s)']",[' 121.609s'], ,[' 11336661'],"[' 7538202  (Analyzed', ' 7520112)']","[' 14937    (Average', ' 503.46 Last', ' 637)']",[' 1370.4  '],"[' 498      (Average Length', ' 240.02 Splits', ' 0)']","[' 7520112  (Deleted', ' 7397411)']","[' 81       (Ratio', '   0.00%)']","[' 872      (Ratio', '   0.01%)']","[' 7520112  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7520112  (Average', '  1.41 Max', ' 1803 Sum', ' 10576136)']","[' 7519994  (Average', '  1.41 Max', ' 1803 Sum', ' 10570357 Ratio', '  99.95%)']","[' 118      (Average', ' 48.97 Max', ' 267 Sum', '   5779 Ratio', '   0.05%)']", ,[' 72743   '],[' 2663    '],[' 72473   '],[' 41397   '],"[' 124187   (Atom=Atom', ' 39482 Body=Body', ' 21738 Other', ' 62967)']",[' Yes'],"[' 3143     (Eliminated', '    0 Frozen', ' 3143)']","[' 30       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.927669'],[' 0'], ,[' 53.0155'],[' 0'],[' 1.86713'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.94187e+07'],[' 2.13461e+07'],[' 0'],[' 2.33707e+09'],[' 0'],[' 0'],[' 559 '],[' 784 '],[' 1162 '],[' 1515 '],[' 1872 '],[' 2257 '],[' 2625 '],[' 2955 '],[' 3424 '],[' 1 '],[' 8 ']
Solving...,TA53, , ,[' 967'],[' 493'],"[' 8.399s (Solving', ' 5.10s 1st Model', ' 1.09s Unsat', ' 0.25s)']",[' 8.266s'], ,[' 995161  '],"[' 40330    (Analyzed', ' 22116)']","[' 170      (Average', ' 130.09 Last', ' 96)']",[' 1292.9  '],"[' 493      (Average Length', ' 234.95 Splits', ' 0)']","[' 22116    (Deleted', ' 15844)']","[' 63       (Ratio', '   0.28%)']","[' 453      (Ratio', '   2.05%)']","[' 22116    (Average Length', '    7.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22116    (Average', ' 21.10 Max', ' 1806 Sum', ' 466566)']","[' 22033    (Average', ' 21.01 Max', ' 1806 Sum', ' 464587 Ratio', '  99.58%)']","[' 83       (Average', ' 23.84 Max', ' 342 Sum', '   1979 Ratio', '   0.42%)']", ,[' 73030   '],[' 2634    '],[' 72752   '],[' 41325   '],"[' 123971   (Atom=Atom', ' 39439 Body=Body', ' 21709 Other', ' 62823)']",[' Yes'],"[' 3106     (Eliminated', '    0 Frozen', ' 3106)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.809206'],[' 0'], ,[' 1.67413'],[' 0'],[' 0.0777664'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.22738e+06'],[' 7.83474e+06'],[' 0'],[' 3.84336e+07'],[' 0'],[' 0'],[' 502 '],[' 785 '],[' 1103 '],[' 1495 '],[' 1770 '],[' 2136 '],[' 2464 '],[' 2882 '],[' 3507 '],[' 0 '],[' 9 ']
Solving...,TA54, , ,[' 1095'],[' 557'],"[' 11.410s (Solving', ' 7.94s 1st Model', ' 1.23s Unsat', ' 0.31s)']",[' 11.266s'], ,[' 1165465 '],"[' 255121   (Analyzed', ' 20507)']","[' 463      (Average', ' 44.29 Last', ' 82)']",[' 1379.9  '],"[' 557      (Average Length', ' 266.47 Splits', ' 0)']","[' 20507    (Deleted', ' 13672)']","[' 58       (Ratio', '   0.28%)']","[' 458      (Ratio', '   2.23%)']","[' 20507    (Average Length', '    7.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20507    (Average', ' 15.71 Max', ' 1842 Sum', ' 322223)']","[' 20445    (Average', ' 15.63 Max', ' 1842 Sum', ' 320552 Ratio', '  99.48%)']","[' 62       (Average', ' 26.95 Max', ' 321 Sum', '   1671 Ratio', '   0.52%)']", ,[' 73466   '],[' 2667    '],[' 73250   '],[' 41944   '],"[' 125828   (Atom=Atom', ' 40025 Body=Body', ' 21742 Other', ' 64061)']",[' Yes'],"[' 3201     (Eliminated', '    0 Frozen', ' 3201)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.912774'],[' 0'], ,[' 3.85447'],[' 0'],[' 0.0959937'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.90556e+06'],[' 9.26329e+06'],[' 0'],[' 2.31e+08'],[' 0'],[' 0'],[' 546 '],[' 854 '],[' 1227 '],[' 1505 '],[' 1818 '],[' 2205 '],[' 2555 '],[' 2996 '],[' 3619 '],[' 0 '],[' 9 ']
Solving...,TA55, , ,[' 1075'],[' 547'],"[' 70.320s (Solving', ' 67.01s 1st Model', ' 1.42s Unsat', ' 61.81s)']",[' 70.250s'], ,[' 8280280 '],"[' 4322721  (Analyzed', ' 4310864)']","[' 8256     (Average', ' 522.15 Last', ' 81273)']",[' 1286.4  '],"[' 547      (Average Length', ' 262.81 Splits', ' 0)']","[' 4310864  (Deleted', ' 4213018)']","[' 72       (Ratio', '   0.00%)']","[' 705      (Ratio', '   0.02%)']","[' 4310864  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4310864  (Average', '  1.77 Max', ' 1786 Sum', ' 7629042)']","[' 4310778  (Average', '  1.77 Max', ' 1786 Sum', ' 7626323 Ratio', '  99.96%)']","[' 86       (Average', ' 31.62 Max', ' 278 Sum', '   2719 Ratio', '   0.04%)']", ,[' 72675   '],[' 2634    '],[' 72451   '],[' 41269   '],"[' 123803   (Atom=Atom', ' 39383 Body=Body', ' 21709 Other', ' 62711)']",[' Yes'],"[' 3160     (Eliminated', '    0 Frozen', ' 3160)']","[' 11       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.848417'],[' 0'], ,[' 31.6447'],[' 0'],[' 1.17228'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74925e+07'],[' 1.76205e+07'],[' 0'],[' 1.39752e+09'],[' 0'],[' 0'],[' 463 '],[' 782 '],[' 1105 '],[' 1490 '],[' 1824 '],[' 2181 '],[' 2570 '],[' 3025 '],[' 3720 '],[' 0 '],[' 9 ']
Solving...,TA56, , ,[' 709'],[' 364'],"[' 14.725s (Solving', ' 11.38s 1st Model', ' 0.59s Unsat', ' 5.05s)']",[' 14.578s'], ,[' 983455  '],"[' 364585   (Analyzed', ' 129786)']","[' 797      (Average', ' 162.84 Last', ' 5994)']",[' 1300.0  '],"[' 364      (Average Length', ' 175.09 Splits', ' 0)']","[' 129786   (Deleted', ' 120777)']","[' 96       (Ratio', '   0.07%)']","[' 920      (Ratio', '   0.71%)']","[' 129786   (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 129786   (Average', '  2.66 Max', ' 814 Sum', ' 344864)']","[' 129681   (Average', '  2.64 Max', ' 814 Sum', ' 343073 Ratio', '  99.48%)']","[' 105      (Average', ' 17.06 Max', ' 196 Sum', '   1791 Ratio', '   0.52%)']", ,[' 72037   '],[' 2619    '],[' 71638   '],[' 40879   '],"[' 122633   (Atom=Atom', ' 39008 Body=Body', ' 21694 Other', ' 61931)']",[' Yes'],"[' 2970     (Eliminated', '    0 Frozen', ' 2970)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.661216'],[' 0'], ,[' 7.96479'],[' 0'],[' 0.148166'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.62732e+06'],[' 6.83474e+06'],[' 0'],[' 6.9391e+08'],[' 0'],[' 0'],[' 571 '],[' 855 '],[' 1100 '],[' 1594 '],[' 1911 '],[' 2264 '],[' 2583 '],[' 2961 '],[' 3432 '],[' 0 '],[' 9 ']
Solving...,TA57, , ,[' 855'],[' 437'],"[' 8.327s (Solving', ' 5.16s 1st Model', ' 1.13s Unsat', ' 0.66s)']",[' 8.203s'], ,[' 937368  '],"[' 68760    (Analyzed', ' 33926)']","[' 295      (Average', ' 115.00 Last', ' 337)']",[' 1368.1  '],"[' 437      (Average Length', ' 212.85 Splits', ' 0)']","[' 33926    (Deleted', ' 28044)']","[' 55       (Ratio', '   0.16%)']","[' 416      (Ratio', '   1.23%)']","[' 33926    (Average Length', '    7.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33926    (Average', ' 12.04 Max', ' 1776 Sum', ' 408406)']","[' 33862    (Average', ' 12.02 Max', ' 1776 Sum', ' 407724 Ratio', '  99.83%)']","[' 64       (Average', ' 10.66 Max', '  97 Sum', '    682 Ratio', '   0.17%)']", ,[' 72321   '],[' 2599    '],[' 71996   '],[' 40820   '],"[' 122456   (Atom=Atom', ' 38969 Body=Body', ' 21674 Other', ' 61813)']",[' Yes'],"[' 3024     (Eliminated', '    0 Frozen', ' 3024)']","[' 4        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.798518'],[' 0'], ,[' 2.07324'],[' 0'],[' 0.0781348'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.26002e+06'],[' 7.84107e+06'],[' 0'],[' 8.74292e+07'],[' 0'],[' 0'],[' 609 '],[' 905 '],[' 1346 '],[' 1652 '],[' 2058 '],[' 2357 '],[' 2686 '],[' 3141 '],[' 3702 '],[' 0 '],[' 9 ']
Solving...,TA58, , ,[' 953'],[' 486'],"[' 119.653s (Solving', ' 116.63s 1st Model', ' 1.26s Unsat', ' 0.88s)']",[' 119.313s'], ,[' 10616707'],"[' 7564566  (Analyzed', ' 7545947)']","[' 15071    (Average', ' 500.69 Last', ' 362)']",[' 1261.0  '],"[' 486      (Average Length', ' 234.03 Splits', ' 0)']","[' 7545947  (Deleted', ' 7435428)']","[' 62       (Ratio', '   0.00%)']","[' 846      (Ratio', '   0.01%)']","[' 7545947  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7545947  (Average', '  1.32 Max', ' 1787 Sum', ' 9942445)']","[' 7545872  (Average', '  1.32 Max', ' 1787 Sum', ' 9941287 Ratio', '  99.99%)']","[' 75       (Average', ' 15.44 Max', ' 341 Sum', '   1158 Ratio', '   0.01%)']", ,[' 72802   '],[' 2650    '],[' 72518   '],[' 41592   '],"[' 124772   (Atom=Atom', ' 39690 Body=Body', ' 21725 Other', ' 63357)']",[' Yes'],"[' 3116     (Eliminated', '    0 Frozen', ' 3116)']","[' 23       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.749958'],[' 0'], ,[' 51.9722'],[' 0'],[' 1.75063'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38779e+07'],[' 1.65857e+07'],[' 0'],[' 2.24896e+09'],[' 0'],[' 0'],[' 533 '],[' 803 '],[' 1245 '],[' 1569 '],[' 1963 '],[' 2373 '],[' 2814 '],[' 3183 '],[' 3959 '],[' 1 '],[' 8 ']
Solving...,TA59, , ,[' 977'],[' 498'],"[' 15.045s (Solving', ' 11.73s 1st Model', ' 1.47s Unsat', ' 5.97s)']",[' 15.031s'], ,[' 1281026 '],"[' 201480   (Analyzed', ' 139542)']","[' 647      (Average', ' 215.68 Last', ' 284)']",[' 1392.2  '],"[' 498      (Average Length', ' 239.46 Splits', ' 0)']","[' 139542   (Deleted', ' 127206)']","[' 95       (Ratio', '   0.07%)']","[' 912      (Ratio', '   0.65%)']","[' 139542   (Average Length', '    8.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 139542   (Average', '  4.68 Max', ' 1782 Sum', ' 653582)']","[' 139444   (Average', '  4.68 Max', ' 1782 Sum', ' 652784 Ratio', '  99.88%)']","[' 98       (Average', '  8.14 Max', ' 351 Sum', '    798 Ratio', '   0.12%)']", ,[' 72289   '],[' 2634    '],[' 72015   '],[' 41268   '],"[' 123800   (Atom=Atom', ' 39382 Body=Body', ' 21709 Other', ' 62709)']",[' Yes'],"[' 3110     (Eliminated', '    0 Frozen', ' 3110)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.870812'],[' 0'], ,[' 6.90362'],[' 0'],[' 0.181201'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.83576e+06'],[' 9.10115e+06'],[' 0'],[' 6.04476e+08'],[' 0'],[' 0'],[' 415 '],[' 670 '],[' 1138 '],[' 1497 '],[' 1797 '],[' 2229 '],[' 2617 '],[' 3083 '],[' 3666 '],[' 0 '],[' 9 ']
Solving...,TA60, , ,[' 863'],[' 441'],"[' 12.774s (Solving', ' 9.76s 1st Model', ' 1.13s Unsat', ' 0.94s)']",[' 12.688s'], ,[' 952858  '],"[' 335569   (Analyzed', ' 23943)']","[' 523      (Average', ' 45.78 Last', ' 199)']",[' 1275.8  '],"[' 441      (Average Length', ' 212.80 Splits', ' 0)']","[' 23943    (Deleted', ' 16735)']","[' 80       (Ratio', '   0.33%)']","[' 538      (Ratio', '   2.25%)']","[' 23943    (Average Length', '    7.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23943    (Average', '  7.74 Max', ' 554 Sum', ' 185322)']","[' 23845    (Average', '  7.53 Max', ' 554 Sum', ' 180392 Ratio', '  97.34%)']","[' 98       (Average', ' 50.31 Max', ' 351 Sum', '   4930 Ratio', '   2.66%)']", ,[' 72222   '],[' 2618    '],[' 71898   '],[' 41023   '],"[' 123065   (Atom=Atom', ' 39153 Body=Body', ' 21693 Other', ' 62219)']",[' Yes'],"[' 3044     (Eliminated', '    0 Frozen', ' 3044)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.80904'],[' 0'], ,[' 6.44158'],[' 0'],[' 0.107622'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.17596e+06'],[' 7.52378e+06'],[' 0'],[' 4.66231e+08'],[' 0'],[' 0'],[' 518 '],[' 721 '],[' 1142 '],[' 1480 '],[' 1867 '],[' 2207 '],[' 2503 '],[' 2862 '],[' 3307 '],[' 0 '],[' 9 ']
