Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 4137'],[' 2079'],"[' 757.204s (Solving', ' 702.19s 1st Model', ' 55.52s Unsat', ' 34.16s)']",[' 751.906s'], ,[' 55055292'],"[' 10070591 (Analyzed', ' 9916895)']","[' 20286    (Average', ' 488.85 Last', ' 36441)']",[' 5869.1  '],"[' 2079     (Average Length', ' 991.98 Splits', ' 0)']","[' 9916895  (Deleted', ' 9776721)']","[' 61       (Ratio', '   0.00%)']","[' 8141     (Ratio', '   0.08%)']","[' 9916895  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9916895  (Average', '  4.56 Max', ' 7482 Sum', ' 45174305)']","[' 9915659  (Average', '  4.48 Max', ' 7482 Sum', ' 44378485 Ratio', '  98.24%)']","[' 1236     (Average', ' 643.87 Max', ' 1528 Sum', ' 795820 Ratio', '   1.76%)']", ,[' 355215  '],[' 11608   '],[' 355174  '],[' 208625  '],"[' 625871   (Atom=Atom', ' 199015 Body=Body', ' 112508 Other', ' 314348)']",[' Yes'],"[' 13567    (Eliminated', '    0 Frozen', ' 13567)']","[' 1441     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6587'],[' 0'], ,[' 581.793'],[' 0'],[' 9.86843'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.02643e+08'],[' 2.71492e+08'],[' 0'],[' 6.31443e+10'],[' 0'],[' 0'],[' 906 '],[' 1634 '],[' 2257 '],[' 2805 '],[' 3517 '],[' 4054 '],[' 4852 '],[' 5453 '],[' 6091 '],[' 6742 '],[' 6 '],[' 4 ']
Solving...,TA72, , ,[' 3665'],[' 1843'],"[' 960.617s (Solving', ' 902.15s 1st Model', ' 56.33s Unsat', ' 1.00s)']",[' 951.375s'], ,[' 42618089'],"[' 9471505  (Analyzed', ' 9252645)']","[' 20401    (Average', ' 453.54 Last', ' 8586)']",[' 5888.8  '],"[' 1843     (Average Length', ' 883.18 Splits', ' 0)']","[' 9252645  (Deleted', ' 9099866)']","[' 31       (Ratio', '   0.00%)']","[' 5939     (Ratio', '   0.06%)']","[' 9252645  (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9252645  (Average', '  3.62 Max', ' 7758 Sum', ' 33462047)']","[' 9251711  (Average', '  3.55 Max', ' 7758 Sum', ' 32882354 Ratio', '  98.27%)']","[' 934      (Average', ' 620.66 Max', ' 1429 Sum', ' 579693 Ratio', '   1.73%)']", ,[' 354459  '],[' 11411   '],[' 354211  '],[' 209196  '],"[' 627584   (Atom=Atom', ' 199783 Body=Body', ' 112311 Other', ' 315490)']",[' Yes'],"[' 13163    (Eliminated', '    0 Frozen', ' 13163)']","[' 1153     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.4677'],[' 0'], ,[' 779.636'],[' 0'],[' 12.1128'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.53543e+08'],[' 2.26485e+08'],[' 0'],[' 7.36636e+10'],[' 0'],[' 0'],[' 682 '],[' 1199 '],[' 1947 '],[' 2525 '],[' 3242 '],[' 3825 '],[' 4380 '],[' 4849 '],[' 5422 '],[' 6060 '],[' 9 '],[' 1 ']
Solving...,TA73, , ,[' 3939'],[' 1980'],"[' 897.877s (Solving', ' 843.61s 1st Model', ' 89.15s Unsat', ' 15.36s)']",[' 887.234s'], ,[' 44828167'],"[' 10957130 (Analyzed', ' 10769010)']","[' 23655    (Average', ' 455.25 Last', ' 100768)']",[' 5626.8  '],"[' 1980     (Average Length', ' 944.02 Splits', ' 0)']","[' 10769010 (Deleted', ' 10584194)']","[' 39       (Ratio', '   0.00%)']","[' 6499     (Ratio', '   0.06%)']","[' 10769010 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10769010 (Average', '  3.33 Max', ' 7462 Sum', ' 35812114)']","[' 10767852 (Average', '  3.25 Max', ' 7462 Sum', ' 35014809 Ratio', '  97.77%)']","[' 1158     (Average', ' 688.52 Max', ' 1567 Sum', ' 797305 Ratio', '   2.23%)']", ,[' 355038  '],[' 11507   '],[' 354910  '],[' 208151  '],"[' 624449   (Atom=Atom', ' 198642 Body=Body', ' 112407 Other', ' 313400)']",[' Yes'],"[' 13379    (Eliminated', '    0 Frozen', ' 13379)']","[' 1316     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.3352'],[' 0'], ,[' 692.275'],[' 0'],[' 10.746'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.60014e+08'],[' 2.29004e+08'],[' 0'],[' 6.4291e+10'],[' 0'],[' 0'],[' 925 '],[' 1365 '],[' 2155 '],[' 2705 '],[' 3389 '],[' 4000 '],[' 4574 '],[' 5216 '],[' 5810 '],[' 6536 '],[' 8 '],[' 2 ']
Solving...,TA74, , ,[' 3437'],[' 1729'],"[' 946.225s (Solving', ' 897.77s 1st Model', ' 41.07s Unsat', ' 0.00s)']",[' 939.391s'], ,[' 42690429'],"[' 9959694  (Analyzed', ' 9800625)']","[' 21897    (Average', ' 447.58 Last', ' 26845)']",[' 5700.5  '],"[' 1729     (Average Length', ' 830.33 Splits', ' 0)']","[' 9800625  (Deleted', ' 9633886)']","[' 21       (Ratio', '   0.00%)']","[' 5901     (Ratio', '   0.06%)']","[' 9800625  (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9800625  (Average', '  3.50 Max', ' 7733 Sum', ' 34322733)']","[' 9799661  (Average', '  3.44 Max', ' 7733 Sum', ' 33756890 Ratio', '  98.35%)']","[' 964      (Average', ' 586.97 Max', ' 1351 Sum', ' 565843 Ratio', '   1.65%)']", ,[' 355220  '],[' 11538   '],[' 354863  '],[' 210051  '],"[' 630149   (Atom=Atom', ' 200511 Body=Body', ' 112438 Other', ' 317200)']",[' Yes'],"[' 13181    (Eliminated', '    0 Frozen', ' 13181)']","[' 1169     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.7066'],[' 0'], ,[' 770.617'],[' 0'],[' 11.4019'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36109e+08'],[' 2.08344e+08'],[' 0'],[' 7.71338e+10'],[' 0'],[' 0'],[' 761 '],[' 1268 '],[' 1880 '],[' 2417 '],[' 3033 '],[' 3835 '],[' 4380 '],[' 4987 '],[' 5586 '],[' 6224 '],[' 9 '],[' 1 ']
Solving...,TA75, , ,[' 3931'],[' 1976'],"[' 938.827s (Solving', ' 895.47s 1st Model', ' 33.10s Unsat', ' 0.00s)']",[' 937.156s'], ,[' 56901564'],"[' 13578252 (Analyzed', ' 13371236)']","[' 26720    (Average', ' 500.42 Last', ' 19816)']",[' 5052.1  '],"[' 1976     (Average Length', ' 919.72 Splits', ' 0)']","[' 13371236 (Deleted', ' 13179719)']","[' 28       (Ratio', '   0.00%)']","[' 9040     (Ratio', '   0.07%)']","[' 13371236 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13371236 (Average', '  3.67 Max', ' 7135 Sum', ' 49121575)']","[' 13369833 (Average', '  3.59 Max', ' 7135 Sum', ' 48059488 Ratio', '  97.84%)']","[' 1403     (Average', ' 757.01 Max', ' 1574 Sum', ' 1062087 Ratio', '   2.16%)']", ,[' 354790  '],[' 11650   '],[' 354635  '],[' 207036  '],"[' 621104   (Atom=Atom', ' 197384 Body=Body', ' 112550 Other', ' 311170)']",[' Yes'],"[' 13495    (Eliminated', '    0 Frozen', ' 13495)']","[' 1977     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.17134'],[' 0'], ,[' 772.028'],[' 0'],[' 11.1529'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.80979e+08'],[' 2.41587e+08'],[' 0'],[' 1.03258e+11'],[' 0'],[' 0'],[' 915 '],[' 1409 '],[' 2064 '],[' 2717 '],[' 3320 '],[' 3971 '],[' 4644 '],[' 5329 '],[' 5912 '],[' 7064 '],[' 9 '],[' 1 ']
Solving...,TA76, , ,[' 3963'],[' 1992'],"[' 757.378s (Solving', ' 717.57s 1st Model', ' 30.60s Unsat', ' 9.74s)']",[' 755.547s'], ,[' 45904246'],"[' 11914414 (Analyzed', ' 11663616)']","[' 23668    (Average', ' 492.80 Last', ' 16924)']",[' 5961.8  '],"[' 1992     (Average Length', ' 944.95 Splits', ' 0)']","[' 11663616 (Deleted', ' 11501681)']","[' 24       (Ratio', '   0.00%)']","[' 4672     (Ratio', '   0.04%)']","[' 11663616 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11663616 (Average', '  3.09 Max', ' 7916 Sum', ' 35987685)']","[' 11662751 (Average', '  3.03 Max', ' 7916 Sum', ' 35297475 Ratio', '  98.08%)']","[' 865      (Average', ' 797.93 Max', ' 1563 Sum', ' 690210 Ratio', '   1.92%)']", ,[' 356094  '],[' 11384   '],[' 355967  '],[' 211180  '],"[' 633536   (Atom=Atom', ' 201794 Body=Body', ' 112284 Other', ' 319458)']",[' Yes'],"[' 13257    (Eliminated', '    0 Frozen', ' 13257)']","[' 852      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.02023'],[' 0'], ,[' 614.424'],[' 0'],[' 9.08123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.60434e+08'],[' 2.28546e+08'],[' 0'],[' 8.28088e+10'],[' 0'],[' 0'],[' 809 '],[' 1303 '],[' 1988 '],[' 2690 '],[' 3296 '],[' 3818 '],[' 4444 '],[' 5078 '],[' 5628 '],[' 6354 '],[' 7 '],[' 3 ']
Solving...,TA77, , ,[' 3485'],[' 1753'],"[' 932.156s (Solving', ' 897.50s 1st Model', ' 24.85s Unsat', ' 0.00s)']",[' 930.313s'], ,[' 40971921'],"[' 11667119 (Analyzed', ' 11478053)']","[' 24565    (Average', ' 467.25 Last', ' 29427)']",[' 5635.7  '],"[' 1753     (Average Length', ' 838.43 Splits', ' 0)']","[' 11478053 (Deleted', ' 11300327)']","[' 14       (Ratio', '   0.00%)']","[' 4839     (Ratio', '   0.04%)']","[' 11478053 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11478053 (Average', '  2.84 Max', ' 7789 Sum', ' 32633434)']","[' 11477151 (Average', '  2.79 Max', ' 7789 Sum', ' 32026382 Ratio', '  98.14%)']","[' 902      (Average', ' 673.01 Max', ' 1391 Sum', ' 607052 Ratio', '   1.86%)']", ,[' 354592  '],[' 11414   '],[' 354257  '],[' 209347  '],"[' 628037   (Atom=Atom', ' 199931 Body=Body', ' 112314 Other', ' 315792)']",[' Yes'],"[' 13079    (Eliminated', '    0 Frozen', ' 13079)']","[' 954      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.74436'],[' 0'], ,[' 794.938'],[' 0'],[' 11.1691'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.32484e+08'],[' 2.02012e+08'],[' 0'],[' 1.09808e+11'],[' 0'],[' 0'],[' 746 '],[' 1296 '],[' 2115 '],[' 2749 '],[' 3379 '],[' 4008 '],[' 4686 '],[' 5395 '],[' 5990 '],[' 6755 '],[' 9 '],[' 1 ']
Solving...,TA78, , ,[' 3491'],[' 1756'],"[' 880.899s (Solving', ' 839.15s 1st Model', ' 27.95s Unsat', ' 38.26s)']",[' 878.906s'], ,[' 44691715'],"[' 9773896  (Analyzed', ' 9620508)']","[' 19706    (Average', ' 488.20 Last', ' 23474)']",[' 5619.4  '],"[' 1756     (Average Length', ' 842.73 Splits', ' 0)']","[' 9620508  (Deleted', ' 9477713)']","[' 50       (Ratio', '   0.00%)']","[' 6089     (Ratio', '   0.06%)']","[' 9620508  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9620508  (Average', '  3.77 Max', ' 7785 Sum', ' 36265444)']","[' 9619541  (Average', '  3.72 Max', ' 7785 Sum', ' 35807522 Ratio', '  98.74%)']","[' 967      (Average', ' 473.55 Max', ' 1380 Sum', ' 457922 Ratio', '   1.26%)']", ,[' 355546  '],[' 11434   '],[' 355214  '],[' 207992  '],"[' 623972   (Atom=Atom', ' 198556 Body=Body', ' 112334 Other', ' 313082)']",[' Yes'],"[' 13102    (Eliminated', '    0 Frozen', ' 13102)']","[' 1127     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.94668'],[' 0'], ,[' 746.865'],[' 0'],[' 10.3056'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.34961e+08'],[' 2.05967e+08'],[' 0'],[' 1.06341e+11'],[' 0'],[' 0'],[' 946 '],[' 1430 '],[' 2007 '],[' 2614 '],[' 3286 '],[' 3792 '],[' 4388 '],[' 5031 '],[' 5750 '],[' 6387 '],[' 8 '],[' 2 ']
Solving...,TA79, , ,[' 3579'],[' 1800'],"[' 795.439s (Solving', ' 755.27s 1st Model', ' 46.26s Unsat', ' 19.13s)']",[' 791.000s'], ,[' 44778188'],"[' 10485772 (Analyzed', ' 10189306)']","[' 21831    (Average', ' 466.74 Last', ' 61059)']",[' 5793.1  '],"[' 1800     (Average Length', ' 849.69 Splits', ' 0)']","[' 10189306 (Deleted', ' 10039849)']","[' 60       (Ratio', '   0.00%)']","[' 5471     (Ratio', '   0.05%)']","[' 10189306 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10189306 (Average', '  3.49 Max', ' 8250 Sum', ' 35586389)']","[' 10188603 (Average', '  3.46 Max', ' 8250 Sum', ' 35241749 Ratio', '  99.03%)']","[' 703      (Average', ' 490.24 Max', ' 1361 Sum', ' 344640 Ratio', '   0.97%)']", ,[' 358033  '],[' 11550   '],[' 357730  '],[' 212780  '],"[' 638336   (Atom=Atom', ' 203228 Body=Body', ' 112450 Other', ' 322658)']",[' Yes'],"[' 13247    (Eliminated', '    0 Frozen', ' 13247)']","[' 766      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.00725'],[' 0'], ,[' 653.142'],[' 0'],[' 10.6178'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.4468e+08'],[' 2.16028e+08'],[' 0'],[' 7.74747e+10'],[' 0'],[' 0'],[' 824 '],[' 1326 '],[' 1933 '],[' 2483 '],[' 3017 '],[' 3820 '],[' 4567 '],[' 5124 '],[' 5646 '],[' 6218 '],[' 7 '],[' 3 ']
Solving...,TA80, , ,[' 3055'],[' 1538'],"[' 943.920s (Solving', ' 907.98s 1st Model', ' 32.67s Unsat', ' 0.72s)']",[' 934.938s'], ,[' 42816330'],"[' 10960200 (Analyzed', ' 10784186)']","[' 22820    (Average', ' 472.58 Last', ' 13640)']",[' 5617.2  '],"[' 1538     (Average Length', ' 744.49 Splits', ' 0)']","[' 10784186 (Deleted', ' 10607443)']","[' 43       (Ratio', '   0.00%)']","[' 6368     (Ratio', '   0.06%)']","[' 10784186 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10784186 (Average', '  3.30 Max', ' 7562 Sum', ' 35534278)']","[' 10782950 (Average', '  3.23 Max', ' 7562 Sum', ' 34782544 Ratio', '  97.88%)']","[' 1236     (Average', ' 608.20 Max', ' 1169 Sum', ' 751734 Ratio', '   2.12%)']", ,[' 356889  '],[' 11700   '],[' 356367  '],[' 210898  '],"[' 632690   (Atom=Atom', ' 201196 Body=Body', ' 112600 Other', ' 318894)']",[' Yes'],"[' 13178    (Eliminated', '    0 Frozen', ' 13178)']","[' 1222     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.08793'],[' 0'], ,[' 797.489'],[' 0'],[' 11.3123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.3779e+08'],[' 2.08724e+08'],[' 0'],[' 9.67504e+10'],[' 0'],[' 0'],[' 789 '],[' 1274 '],[' 1783 '],[' 2595 '],[' 3409 '],[' 4383 '],[' 5393 '],[' 6111 '],[' 6661 '],[' 7308 '],[' 9 '],[' 1 ']
