Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of interrupted calls ,Number of non-interrupted calls 
Solving...,TA71, , ,[' 1'],[' 14483+'],[' 7247'],"[' 1065.438s (Solving', ' 889.43s 1st Model', ' 568.01s Unsat', ' 0.00s)']",[' 1059.531s'], ,[' 531851459'],"[' 6700907  (Analyzed', ' 6328374)']","[' 13795    (Average', ' 458.74 Last', ' 40159)']",[' 18650.8 '],"[' 7247     (Average Length', ' 3296.53 Splits', ' 0)']","[' 6328374  (Deleted', ' 6210262)']","[' 2166     (Ratio', '   0.03%)']","[' 35386    (Ratio', '   0.56%)']","[' 6328374  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6328374  (Average', ' 66.34 Max', ' 30469 Sum', ' 419803649)']","[' 6328374  (Average', ' 66.34 Max', ' 30469 Sum', ' 419803649 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 393191  '],[' 40133   '],[' 397682  '],[' 268416  '],"[' 805244   (Atom=Atom', ' 230281 Body=Body', ' 141033 Other', ' 433930)']",[' Yes'],"[' 46624    (Eliminated', '    0 Frozen', ' 46624)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.5257'],[' 0'], ,[' 389.503'],[' 0'],[' 34.919'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37637e+09'],[' 1.2829e+09'],[' 0'],[' 1.44583e+10'],[' 0'],[' 0'],[' 1093 '],[' 1930 '],[' 2881 '],[' 9610 '],[' 6366 '],[' 17929 '],[' 19021 '],[' 7 '],[' 0 ']
Solving...,TA72, , , ,[' 15841+'],[' 7927'],"[' 1060.364s (Solving', ' 875.32s 1st Model', ' 526.79s Unsat', ' 0.00s)']",[' 1052.469s'], ,[' 461182977'],"[' 7247521  (Analyzed', ' 6859306)']","[' 15478    (Average', ' 443.16 Last', ' 94049)']",[' 19092.9 '],"[' 7928     (Average Length', ' 3599.74 Splits', ' 0)']","[' 6859306  (Deleted', ' 6755619)']","[' 2062     (Ratio', '   0.03%)']","[' 33510    (Ratio', '   0.49%)']","[' 6859306  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6859306  (Average', ' 49.21 Max', ' 32314 Sum', ' 337525720)']","[' 6859306  (Average', ' 49.21 Max', ' 32314 Sum', ' 337525720 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 391236  '],[' 39925   '],[' 396271  '],[' 268245  '],"[' 804731   (Atom=Atom', ' 230318 Body=Body', ' 140825 Other', ' 433588)']",[' Yes'],"[' 46960    (Eliminated', '    0 Frozen', ' 46960)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 29.0254'],[' 0'], ,[' 419.685'],[' 0'],[' 31.749'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18169e+09'],[' 1.09384e+09'],[' 0'],[' 1.80064e+10'],[' 0'],[' 0'],[' 918 '],[' 1771 '],[' 2855 '],[' 11152 '],[' 7527 '],[' 12356 '],[' 20181 '],[' 7 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 14178+'],[' 7096'],"[' 1045.728s (Solving', ' 892.28s 1st Model', ' 549.33s Unsat', ' 0.00s)']",[' 1037.078s'], ,[' 528181675'],"[' 6348973  (Analyzed', ' 6029920)']","[' 12868    (Average', ' 468.60 Last', ' 15450)']",[' 18495.6 '],"[' 7096     (Average Length', ' 3300.52 Splits', ' 0)']","[' 6029920  (Deleted', ' 5928107)']","[' 1979     (Ratio', '   0.03%)']","[' 34019    (Ratio', '   0.56%)']","[' 6029920  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6029920  (Average', ' 69.60 Max', ' 30960 Sum', ' 419666574)']","[' 6029920  (Average', ' 69.60 Max', ' 30960 Sum', ' 419666574 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 392586  '],[' 40101   '],[' 397194  '],[' 268122  '],"[' 804362   (Atom=Atom', ' 230019 Body=Body', ' 141001 Other', ' 433342)']",[' Yes'],"[' 46709    (Eliminated', '    0 Frozen', ' 46709)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.1334'],[' 0'], ,[' 386.492'],[' 0'],[' 34.9714'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34706e+09'],[' 1.25415e+09'],[' 0'],[' 1.36054e+10'],[' 0'],[' 0'],[' 1192 '],[' 2004 '],[' 3110 '],[' 9736 '],[' 12840 '],[' 14959 '],[' 20139 '],[' 7 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 8435+'],[' 4225'],"[' 1030.920s (Solving', ' 930.25s 1st Model', ' 323.61s Unsat', ' 0.00s)']",[' 1024.500s'], ,[' 317280099'],"[' 8761471  (Analyzed', ' 8575919)']","[' 18147    (Average', ' 472.58 Last', ' 59029)']",[' 19945.0 '],"[' 4225     (Average Length', ' 2073.92 Splits', ' 0)']","[' 8575919  (Deleted', ' 8442461)']","[' 2125     (Ratio', '   0.02%)']","[' 27446    (Ratio', '   0.32%)']","[' 8575919  (Average Length', '   50.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8575919  (Average', ' 28.05 Max', ' 32333 Sum', ' 240516329)']","[' 8575919  (Average', ' 28.05 Max', ' 32333 Sum', ' 240516329 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 389136  '],[' 39983   '],[' 391255  '],[' 264775  '],"[' 794321   (Atom=Atom', ' 226790 Body=Body', ' 140883 Other', ' 426648)']",[' Yes'],"[' 44102    (Eliminated', '    0 Frozen', ' 44102)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.7521'],[' 0'], ,[' 625.413'],[' 0'],[' 24.2353'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.76008e+08'],[' 7.05094e+08'],[' 0'],[' 3.97075e+10'],[' 0'],[' 0'],[' 1052 '],[' 1852 '],[' 10156 '],[' 17420 '],[' 25934 '],[' 25670 '],[' 30280 '],[' 7 '],[' 0 ']
Solving...,TA75, , , ,[' 12717+'],[' 6364'],"[' 1055.249s (Solving', ' 901.81s 1st Model', ' 632.78s Unsat', ' 0.00s)']",[' 1049.391s'], ,[' 531751232'],"[' 5408204  (Analyzed', ' 5162393)']","[' 10738    (Average', ' 480.76 Last', ' 255730)']",[' 18174.2 '],"[' 6365     (Average Length', ' 2986.15 Splits', ' 0)']","[' 5162393  (Deleted', ' 5077097)']","[' 2301     (Ratio', '   0.04%)']","[' 40912    (Ratio', '   0.79%)']","[' 5162393  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5162393  (Average', ' 84.16 Max', ' 30477 Sum', ' 434445009)']","[' 5162393  (Average', ' 84.16 Max', ' 30477 Sum', ' 434445009 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 392053  '],[' 40076   '],[' 396040  '],[' 267480  '],"[' 802436   (Atom=Atom', ' 229402 Body=Body', ' 140976 Other', ' 432058)']",[' Yes'],"[' 46063    (Eliminated', '    0 Frozen', ' 46063)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.8335'],[' 0'], ,[' 385.277'],[' 0'],[' 34.2413'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47003e+09'],[' 1.36492e+09'],[' 0'],[' 1.36615e+10'],[' 0'],[' 0'],[' 1123 '],[' 1949 '],[' 2968 '],[' 8556 '],[' 12192 '],[' 17076 '],[' 18814 '],[' 7 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 15241+'],[' 7626'],"[' 1074.335s (Solving', ' 877.00s 1st Model', ' 563.37s Unsat', ' 0.00s)']",[' 1067.234s'], ,[' 479265921'],"[' 7543043  (Analyzed', ' 7154274)']","[' 15716    (Average', ' 455.22 Last', ' 531320)']",[' 19565.7 '],"[' 7626     (Average Length', ' 3557.16 Splits', ' 0)']","[' 7154274  (Deleted', ' 7013310)']","[' 2132     (Ratio', '   0.03%)']","[' 32575    (Ratio', '   0.46%)']","[' 7154274  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7154274  (Average', ' 49.81 Max', ' 30668 Sum', ' 356354091)']","[' 7154274  (Average', ' 49.81 Max', ' 30668 Sum', ' 356354091 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 392447  '],[' 40021   '],[' 397440  '],[' 268334  '],"[' 804998   (Atom=Atom', ' 230311 Body=Body', ' 140921 Other', ' 433766)']",[' Yes'],"[' 47014    (Eliminated', '    0 Frozen', ' 47014)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 29.1459'],[' 0'], ,[' 409.029'],[' 0'],[' 32.557'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23805e+09'],[' 1.1474e+09'],[' 0'],[' 1.65045e+10'],[' 0'],[' 0'],[' 1030 '],[' 1967 '],[' 3151 '],[' 11099 '],[' 8058 '],[' 16251 '],[' 17514 '],[' 7 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 12641+'],[' 6327'],"[' 1047.066s (Solving', ' 904.08s 1st Model', ' 470.71s Unsat', ' 0.00s)']",[' 1042.094s'], ,[' 434667550'],"[' 8553173  (Analyzed', ' 8208670)']","[' 17983    (Average', ' 456.47 Last', ' 28444)']",[' 19265.1 '],"[' 6327     (Average Length', ' 3012.69 Splits', ' 0)']","[' 8208670  (Deleted', ' 8084036)']","[' 1993     (Ratio', '   0.02%)']","[' 28797    (Ratio', '   0.35%)']","[' 8208670  (Average Length', '   33.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8208670  (Average', ' 40.29 Max', ' 31715 Sum', ' 330701365)']","[' 8208670  (Average', ' 40.29 Max', ' 31715 Sum', ' 330701365 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 390913  '],[' 39968   '],[' 394809  '],[' 266838  '],"[' 800510   (Atom=Atom', ' 228868 Body=Body', ' 140868 Other', ' 430774)']",[' Yes'],"[' 45864    (Eliminated', '    0 Frozen', ' 45864)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.0101'],[' 0'], ,[' 517.1'],[' 0'],[' 29.748'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.93333e+08'],[' 9.1364e+08'],[' 0'],[' 2.69446e+10'],[' 0'],[' 0'],[' 963 '],[' 1833 '],[' 11158 '],[' 7314 '],[' 12709 '],[' 15760 '],[' 25541 '],[' 7 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 12229+'],[' 6122'],"[' 1038.056s (Solving', ' 914.26s 1st Model', ' 564.54s Unsat', ' 0.00s)']",[' 1031.609s'], ,[' 503050657'],"[' 6258815  (Analyzed', ' 5899296)']","[' 12444    (Average', ' 474.07 Last', ' 61351)']",[' 17279.0 '],"[' 6122     (Average Length', ' 2873.38 Splits', ' 0)']","[' 5899296  (Deleted', ' 5810851)']","[' 2238     (Ratio', '   0.04%)']","[' 36115    (Ratio', '   0.61%)']","[' 5899296  (Average Length', '   35.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5899296  (Average', ' 70.17 Max', ' 31981 Sum', ' 413940659)']","[' 5899296  (Average', ' 70.17 Max', ' 31981 Sum', ' 413940659 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 391816  '],[' 40160   '],[' 395600  '],[' 267482  '],"[' 802442   (Atom=Atom', ' 229320 Body=Body', ' 141060 Other', ' 432062)']",[' Yes'],"[' 45944    (Eliminated', '    0 Frozen', ' 45944)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.6648'],[' 0'], ,[' 453.567'],[' 0'],[' 32.8449'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27165e+09'],[' 1.18143e+09'],[' 0'],[' 2.0887e+10'],[' 0'],[' 0'],[' 1157 '],[' 1858 '],[' 2862 '],[' 11607 '],[' 17566 '],[' 19499 '],[' 29826 '],[' 7 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 12261+'],[' 6138'],"[' 1040.688s (Solving', ' 907.42s 1st Model', ' 577.63s Unsat', ' 0.00s)']",[' 1034.219s'], ,[' 488907283'],"[' 6649157  (Analyzed', ' 6395131)']","[' 13565    (Average', ' 471.44 Last', ' 207408)']",[' 18415.7 '],"[' 6138     (Average Length', ' 2971.79 Splits', ' 0)']","[' 6395131  (Deleted', ' 6304817)']","[' 2443     (Ratio', '   0.04%)']","[' 32621    (Ratio', '   0.51%)']","[' 6395131  (Average Length', '   32.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6395131  (Average', ' 61.49 Max', ' 32307 Sum', ' 393244844)']","[' 6395131  (Average', ' 61.49 Max', ' 32307 Sum', ' 393244844 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 392481  '],[' 40293   '],[' 396255  '],[' 268115  '],"[' 804341   (Atom=Atom', ' 229820 Body=Body', ' 141193 Other', ' 433328)']",[' Yes'],"[' 46067    (Eliminated', '    0 Frozen', ' 46067)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.119'],[' 0'], ,[' 455.642'],[' 0'],[' 32.9353'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25075e+09'],[' 1.15955e+09'],[' 0'],[' 2.01564e+10'],[' 0'],[' 0'],[' 1022 '],[' 1853 '],[' 9297 '],[' 12724 '],[' 16674 '],[' 13036 '],[' 22975 '],[' 7 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 13845+'],[' 6929'],"[' 1061.201s (Solving', ' 894.59s 1st Model', ' 622.20s Unsat', ' 0.00s)']",[' 1053.672s'], ,[' 497121885'],"[' 5978177  (Analyzed', ' 5665318)']","[' 12196    (Average', ' 464.52 Last', ' 230448)']",[' 18509.7 '],"[' 6929     (Average Length', ' 3232.18 Splits', ' 0)']","[' 5665318  (Deleted', ' 5575189)']","[' 2393     (Ratio', '   0.04%)']","[' 37128    (Ratio', '   0.66%)']","[' 5665318  (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5665318  (Average', ' 68.93 Max', ' 30901 Sum', ' 390524819)']","[' 5665318  (Average', ' 68.93 Max', ' 30901 Sum', ' 390524819 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 392929  '],[' 40205   '],[' 397178  '],[' 268539  '],"[' 805613   (Atom=Atom', ' 230332 Body=Body', ' 141105 Other', ' 434176)']",[' Yes'],"[' 46454    (Eliminated', '    0 Frozen', ' 46454)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.8847'],[' 0'], ,[' 404.909'],[' 0'],[' 32.4466'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37121e+09'],[' 1.26928e+09'],[' 0'],[' 1.54522e+10'],[' 0'],[' 0'],[' 1055 '],[' 1859 '],[' 5994 '],[' 10610 '],[' 12419 '],[' 14509 '],[' 14741 '],[' 7 '],[' 0 ']
