Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 6199+'],[' 3106'],"[' 1013.409s (Solving', ' 956.86s 1st Model', ' 106.20s Unsat', ' 0.00s)']",[' 1010.703s'], ,[' 241686055'],"[' 5976671  (Analyzed', ' 5405644)']","[' 11618    (Average', ' 465.28 Last', ' 58497)']",[' 7365.5  '],"[' 3106     (Average Length', ' 1439.19 Splits', ' 0)']","[' 5405644  (Deleted', ' 5296324)']","[' 111      (Ratio', '   0.00%)']","[' 45442    (Ratio', '   0.84%)']","[' 5405644  (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5405644  (Average', ' 41.74 Max', ' 9791 Sum', ' 225655449)']","[' 5403196  (Average', ' 41.10 Max', ' 9791 Sum', ' 222159613 Ratio', '  98.45%)']","[' 2448     (Average', ' 1428.04 Max', ' 2371 Sum', ' 3495836 Ratio', '   1.55%)']", ,[' 386246  '],[' 18776   '],[' 387020  '],[' 225326  '],"[' 675974   (Atom=Atom', ' 208548 Body=Body', ' 119676 Other', ' 347750)']",[' Yes'],"[' 21550    (Eliminated', '    0 Frozen', ' 21550)']","[' 8915     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.8022'],[' 0'], ,[' 714.147'],[' 0'],[' 18.9062'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.87272e+08'],[' 8.1611e+08'],[' 0'],[' 7.60273e+10'],[' 0'],[' 0'],[' 1559 '],[' 2972 '],[' 4046 '],[' 5544 '],[' 6547 '],[' 7699 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 6231+'],[' 3122'],"[' 1013.911s (Solving', ' 956.64s 1st Model', ' 76.71s Unsat', ' 0.00s)']",[' 1011.922s'], ,[' 208500747'],"[' 5705805  (Analyzed', ' 5195968)']","[' 11467    (Average', ' 453.12 Last', ' 234613)']",[' 7646.5  '],"[' 3122     (Average Length', ' 1439.69 Splits', ' 0)']","[' 5195968  (Deleted', ' 5094286)']","[' 94       (Ratio', '   0.00%)']","[' 34641    (Ratio', '   0.67%)']","[' 5195968  (Average Length', '   19.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5195968  (Average', ' 36.95 Max', ' 10375 Sum', ' 191995219)']","[' 5193364  (Average', ' 36.20 Max', ' 10375 Sum', ' 188098058 Ratio', '  97.97%)']","[' 2604     (Average', ' 1496.61 Max', ' 2357 Sum', ' 3897161 Ratio', '   2.03%)']", ,[' 382210  '],[' 18423   '],[' 382996  '],[' 222741  '],"[' 668219   (Atom=Atom', ' 206316 Body=Body', ' 119323 Other', ' 342580)']",[' Yes'],"[' 21209    (Eliminated', '    0 Frozen', ' 21209)']","[' 6475     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.7292'],[' 0'], ,[' 745.585'],[' 0'],[' 16.9505'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.89628e+08'],[' 7.18196e+08'],[' 0'],[' 8.62678e+10'],[' 0'],[' 0'],[' 1144 '],[' 2319 '],[' 3575 '],[' 4823 '],[' 5965 '],[' 7040 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 5259+'],[' 2636'],"[' 1011.259s (Solving', ' 965.26s 1st Model', ' 68.78s Unsat', ' 0.00s)']",[' 1008.609s'], ,[' 218005363'],"[' 9195913  (Analyzed', ' 8117268)']","[' 15721    (Average', ' 516.33 Last', ' 13630)']",[' 7825.6  '],"[' 2636     (Average Length', ' 1234.62 Splits', ' 0)']","[' 8117268  (Deleted', ' 8001581)']","[' 53       (Ratio', '   0.00%)']","[' 29078    (Ratio', '   0.36%)']","[' 8117268  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8117268  (Average', ' 24.94 Max', ' 11361 Sum', ' 202450791)']","[' 8114781  (Average', ' 24.52 Max', ' 11361 Sum', ' 199019794 Ratio', '  98.31%)']","[' 2487     (Average', ' 1379.57 Max', ' 2146 Sum', ' 3430997 Ratio', '   1.69%)']", ,[' 384328  '],[' 18552   '],[' 384723  '],[' 226100  '],"[' 678296   (Atom=Atom', ' 209546 Body=Body', ' 119452 Other', ' 349298)']",[' Yes'],"[' 20947    (Eliminated', '    0 Frozen', ' 20947)']","[' 5635     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.60166'],[' 0'], ,[' 756.97'],[' 0'],[' 17.9438'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.03002e+08'],[' 6.35648e+08'],[' 0'],[' 8.78574e+10'],[' 0'],[' 0'],[' 1749 '],[' 2817 '],[' 4090 '],[' 5385 '],[' 6553 '],[' 8080 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 6449+'],[' 3231'],"[' 1014.993s (Solving', ' 955.96s 1st Model', ' 77.26s Unsat', ' 0.00s)']",[' 1012.578s'], ,[' 203341287'],"[' 8322481  (Analyzed', ' 7825969)']","[' 15646    (Average', ' 500.19 Last', ' 5430)']",[' 7579.9  '],"[' 3231     (Average Length', ' 1479.85 Splits', ' 0)']","[' 7825969  (Deleted', ' 7705553)']","[' 74       (Ratio', '   0.00%)']","[' 31101    (Ratio', '   0.40%)']","[' 7825969  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7825969  (Average', ' 23.96 Max', ' 10064 Sum', ' 187477719)']","[' 7822992  (Average', ' 23.34 Max', ' 10064 Sum', ' 182677178 Ratio', '  97.44%)']","[' 2977     (Average', ' 1612.54 Max', ' 2450 Sum', ' 4800541 Ratio', '   2.56%)']", ,[' 382330  '],[' 18524   '],[' 383189  '],[' 224121  '],"[' 672359   (Atom=Atom', ' 207595 Body=Body', ' 119424 Other', ' 345340)']",[' Yes'],"[' 21383    (Eliminated', '    0 Frozen', ' 21383)']","[' 6357     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9913'],[' 0'], ,[' 758.255'],[' 0'],[' 17.1008'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.28613e+08'],[' 6.67962e+08'],[' 0'],[' 7.41341e+10'],[' 0'],[' 0'],[' 1264 '],[' 2677 '],[' 3765 '],[' 4902 '],[' 6078 '],[' 7118 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 5727+'],[' 2870'],"[' 1012.586s (Solving', ' 962.42s 1st Model', ' 65.52s Unsat', ' 0.00s)']",[' 1009.969s'], ,[' 186159710'],"[' 8721328  (Analyzed', ' 7962456)']","[' 15632    (Average', ' 509.37 Last', ' 180839)']",[' 7807.5  '],"[' 2870     (Average Length', ' 1326.65 Splits', ' 0)']","[' 7962456  (Deleted', ' 7845583)']","[' 49       (Ratio', '   0.00%)']","[' 25285    (Ratio', '   0.32%)']","[' 7962456  (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7962456  (Average', ' 21.40 Max', ' 11080 Sum', ' 170434897)']","[' 7959567  (Average', ' 20.88 Max', ' 11080 Sum', ' 166257867 Ratio', '  97.55%)']","[' 2889     (Average', ' 1445.84 Max', ' 2234 Sum', ' 4177030 Ratio', '   2.45%)']", ,[' 383329  '],[' 18643   '],[' 383889  '],[' 225357  '],"[' 676067   (Atom=Atom', ' 208712 Body=Body', ' 119543 Other', ' 347812)']",[' Yes'],"[' 21203    (Eliminated', '    0 Frozen', ' 21203)']","[' 4856     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3307'],[' 0'], ,[' 771.645'],[' 0'],[' 16.4503'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.29686e+08'],[' 5.80063e+08'],[' 0'],[' 8.99699e+10'],[' 0'],[' 0'],[' 1576 '],[' 2900 '],[' 4172 '],[' 5245 '],[' 6682 '],[' 7703 '],[' 6 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 5579+'],[' 2796'],"[' 1013.002s (Solving', ' 958.03s 1st Model', ' 60.59s Unsat', ' 0.00s)']",[' 1010.859s'], ,[' 174612097'],"[' 8321904  (Analyzed', ' 7852322)']","[' 16044    (Average', ' 489.42 Last', ' 37178)']",[' 7950.2  '],"[' 2796     (Average Length', ' 1283.87 Splits', ' 0)']","[' 7852322  (Deleted', ' 7734517)']","[' 71       (Ratio', '   0.00%)']","[' 25350    (Ratio', '   0.32%)']","[' 7852322  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7852322  (Average', ' 20.23 Max', ' 10830 Sum', ' 158890481)']","[' 7849423  (Average', ' 19.74 Max', ' 10830 Sum', ' 155015769 Ratio', '  97.56%)']","[' 2899     (Average', ' 1336.57 Max', ' 2032 Sum', ' 3874712 Ratio', '   2.44%)']", ,[' 382075  '],[' 18452   '],[' 382559  '],[' 223476  '],"[' 670424   (Atom=Atom', ' 207022 Body=Body', ' 119352 Other', ' 344050)']",[' Yes'],"[' 20936    (Eliminated', '    0 Frozen', ' 20936)']","[' 5207     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.4366'],[' 0'], ,[' 780.603'],[' 0'],[' 16.0675'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.17927e+08'],[' 5.63631e+08'],[' 0'],[' 8.63434e+10'],[' 0'],[' 0'],[' 1286 '],[' 2584 '],[' 3744 '],[' 4936 '],[' 6248 '],[' 7270 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 5755+'],[' 2884'],"[' 1013.205s (Solving', ' 959.78s 1st Model', ' 74.02s Unsat', ' 0.00s)']",[' 1010.844s'], ,[' 169433782'],"[' 9557193  (Analyzed', ' 8565760)']","[' 16578    (Average', ' 516.69 Last', ' 8860)']",[' 8476.0  '],"[' 2884     (Average Length', ' 1335.98 Splits', ' 0)']","[' 8565760  (Deleted', ' 8454949)']","[' 34       (Ratio', '   0.00%)']","[' 17969    (Ratio', '   0.21%)']","[' 8565760  (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8565760  (Average', ' 17.51 Max', ' 12501 Sum', ' 149974839)']","[' 8563629  (Average', ' 17.20 Max', ' 12501 Sum', ' 147358428 Ratio', '  98.26%)']","[' 2131     (Average', ' 1227.79 Max', ' 2242 Sum', ' 2616411 Ratio', '   1.74%)']", ,[' 383597  '],[' 18659   '],[' 384187  '],[' 226937  '],"[' 680807   (Atom=Atom', ' 210276 Body=Body', ' 119559 Other', ' 350972)']",[' Yes'],"[' 21249    (Eliminated', '    0 Frozen', ' 21249)']","[' 3597     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9855'],[' 0'], ,[' 784.101'],[' 0'],[' 15.9757'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.3879e+08'],[' 4.89901e+08'],[' 0'],[' 8.78313e+10'],[' 0'],[' 0'],[' 1575 '],[' 2679 '],[' 3991 '],[' 5378 '],[' 6763 '],[' 7906 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 6403+'],[' 3208'],"[' 1013.433s (Solving', ' 957.13s 1st Model', ' 71.24s Unsat', ' 0.00s)']",[' 1011.359s'], ,[' 204092937'],"[' 7573848  (Analyzed', ' 6995351)']","[' 15135    (Average', ' 462.20 Last', ' 11179)']",[' 7017.1  '],"[' 3208     (Average Length', ' 1451.12 Splits', ' 0)']","[' 6995351  (Deleted', ' 6877182)']","[' 73       (Ratio', '   0.00%)']","[' 32990    (Ratio', '   0.47%)']","[' 6995351  (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6995351  (Average', ' 27.13 Max', ' 10119 Sum', ' 189761446)']","[' 6992622  (Average', ' 26.46 Max', ' 10119 Sum', ' 185073390 Ratio', '  97.53%)']","[' 2729     (Average', ' 1717.87 Max', ' 6277 Sum', ' 4688056 Ratio', '   2.47%)']", ,[' 382391  '],[' 18479   '],[' 383195  '],[' 224319  '],"[' 672953   (Atom=Atom', ' 207838 Body=Body', ' 119379 Other', ' 345736)']",[' Yes'],"[' 21283    (Eliminated', '    0 Frozen', ' 21283)']","[' 6777     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.4824'],[' 0'], ,[' 748.144'],[' 0'],[' 17.1521'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.20092e+08'],[' 6.53088e+08'],[' 0'],[' 8.34799e+10'],[' 0'],[' 0'],[' 1294 '],[' 2433 '],[' 3431 '],[' 4527 '],[' 5960 '],[' 7111 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 6103+'],[' 3058'],"[' 1013.884s (Solving', ' 956.63s 1st Model', ' 61.21s Unsat', ' 0.00s)']",[' 1011.938s'], ,[' 196484935'],"[' 7934509  (Analyzed', ' 7240605)']","[' 15114    (Average', ' 479.07 Last', ' 234265)']",[' 7288.2  '],"[' 3058     (Average Length', ' 1416.48 Splits', ' 0)']","[' 7240605  (Deleted', ' 7116479)']","[' 79       (Ratio', '   0.00%)']","[' 35539    (Ratio', '   0.49%)']","[' 7240605  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7240605  (Average', ' 25.05 Max', ' 10300 Sum', ' 181375658)']","[' 7237847  (Average', ' 24.47 Max', ' 10300 Sum', ' 177194780 Ratio', '  97.69%)']","[' 2758     (Average', ' 1515.91 Max', ' 2320 Sum', ' 4180878 Ratio', '   2.31%)']", ,[' 383233  '],[' 18563   '],[' 383991  '],[' 223069  '],"[' 669203   (Atom=Atom', ' 206504 Body=Body', ' 119463 Other', ' 343236)']",[' Yes'],"[' 21321    (Eliminated', '    0 Frozen', ' 21321)']","[' 7086     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5014'],[' 0'], ,[' 744.389'],[' 0'],[' 16.9877'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.30167e+08'],[' 6.63683e+08'],[' 0'],[' 8.11838e+10'],[' 0'],[' 0'],[' 1252 '],[' 2340 '],[' 4012 '],[' 5122 '],[' 6358 '],[' 7565 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 6163+'],[' 3088'],"[' 1014.018s (Solving', ' 953.05s 1st Model', ' 80.22s Unsat', ' 0.00s)']",[' 1011.469s'], ,[' 253223226'],"[' 8716631  (Analyzed', ' 8065865)']","[' 16434    (Average', ' 490.80 Last', ' 79590)']",[' 7799.3  '],"[' 3088     (Average Length', ' 1420.24 Splits', ' 0)']","[' 8065865  (Deleted', ' 7937966)']","[' 73       (Ratio', '   0.00%)']","[' 38351    (Ratio', '   0.48%)']","[' 8065865  (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8065865  (Average', ' 29.30 Max', ' 9770 Sum', ' 236317957)']","[' 8062821  (Average', ' 28.78 Max', ' 9770 Sum', ' 232143760 Ratio', '  98.23%)']","[' 3044     (Average', ' 1371.29 Max', ' 2313 Sum', ' 4174197 Ratio', '   1.77%)']", ,[' 382456  '],[' 18671   '],[' 383178  '],[' 223233  '],"[' 669695   (Atom=Atom', ' 206560 Body=Body', ' 119571 Other', ' 343564)']",[' Yes'],"[' 21393    (Eliminated', '    0 Frozen', ' 21393)']","[' 7173     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5201'],[' 0'], ,[' 713.955'],[' 0'],[' 19.1614'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.26401e+08'],[' 7.55556e+08'],[' 0'],[' 7.53436e+10'],[' 0'],[' 0'],[' 1597 '],[' 2991 '],[' 4222 '],[' 5218 '],[' 6305 '],[' 7388 '],[' 6 '],[' 0 ']
