Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1809'],[' 912'],"[' 606.715s (Solving', ' 601.45s 1st Model', ' 2.95s Unsat', ' 166.50s)']",[' 605.672s'], ,[' 39624927'],"[' 19939526 (Analyzed', ' 19892204)']","[' 36756    (Average', ' 541.20 Last', ' 10349)']",[' 2137.1  '],"[' 912      (Average Length', ' 440.33 Splits', ' 0)']","[' 19892204 (Deleted', ' 19581269)']","[' 56       (Ratio', '   0.00%)']","[' 2525     (Ratio', '   0.01%)']","[' 19892204 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19892204 (Average', '  1.89 Max', ' 2906 Sum', ' 37667788)']","[' 19891874 (Average', '  1.89 Max', ' 2906 Sum', ' 37547986 Ratio', '  99.68%)']","[' 330      (Average', ' 363.04 Max', ' 755 Sum', ' 119802 Ratio', '   0.32%)']", ,[' 101028  '],[' 4470    '],[' 100891  '],[' 57113   '],"[' 171335   (Atom=Atom', ' 53641 Body=Body', ' 29920 Other', ' 87774)']",[' Yes'],"[' 5333     (Eliminated', '    0 Frozen', ' 5333)']","[' 445      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.34759'],[' 0'], ,[' 467.16'],[' 0'],[' 8.9266'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20623e+08'],[' 7.02753e+07'],[' 0'],[' 5.91397e+10'],[' 0'],[' 0'],[' 699 '],[' 1399 '],[' 1985 '],[' 2735 '],[' 3198 '],[' 3811 '],[' 4248 '],[' 3 '],[' 4 ']
Solving...,TA62, , ,[' 2227'],[' 1121'],"[' 433.703s (Solving', ' 427.12s 1st Model', ' 3.31s Unsat', ' 135.80s)']",[' 432.656s'], ,[' 14884600'],"[' 6987066  (Analyzed', ' 6900396)']","[' 15224    (Average', ' 453.26 Last', ' 75919)']",[' 2232.6  '],"[' 1121     (Average Length', ' 533.76 Splits', ' 0)']","[' 6900396  (Deleted', ' 6759850)']","[' 69       (Ratio', '   0.00%)']","[' 2717     (Ratio', '   0.04%)']","[' 6900396  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6900396  (Average', '  1.87 Max', ' 2874 Sum', ' 12915275)']","[' 6900024  (Average', '  1.84 Max', ' 2874 Sum', ' 12717731 Ratio', '  98.47%)']","[' 372      (Average', ' 531.03 Max', ' 912 Sum', ' 197544 Ratio', '   1.53%)']", ,[' 101398  '],[' 4454    '],[' 101437  '],[' 57330   '],"[' 171986   (Atom=Atom', ' 53874 Body=Body', ' 29904 Other', ' 88208)']",[' Yes'],"[' 5493     (Eliminated', '    0 Frozen', ' 5493)']","[' 333      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.62018'],[' 0'], ,[' 375.494'],[' 0'],[' 5.47173'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.73522e+07'],[' 4.00502e+07'],[' 0'],[' 5.51408e+10'],[' 0'],[' 0'],[' 732 '],[' 1393 '],[' 1925 '],[' 2576 '],[' 3124 '],[' 3723 '],[' 4219 '],[' 2 '],[' 5 ']
Solving...,TA63, ,[' 1'],[' 2071+'],[' 1043'],"[' 315.095s (Solving', ' 309.09s 1st Model', ' 8.02s Unsat', ' 19.71s)']",[' 314.594s'], ,[' 8391029 '],"[' 3292482  (Analyzed', ' 3206801)']","[' 7709     (Average', ' 415.98 Last', ' 38363)']",[' 2182.7  '],"[' 1043     (Average Length', ' 484.83 Splits', ' 0)']","[' 3206801  (Deleted', ' 3144512)']","[' 61       (Ratio', '   0.00%)']","[' 2177     (Ratio', '   0.07%)']","[' 3206801  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3206801  (Average', '  2.03 Max', ' 3011 Sum', ' 6515842)']","[' 3206605  (Average', '  2.01 Max', ' 3011 Sum', ' 6453285 Ratio', '  99.04%)']","[' 196      (Average', ' 319.17 Max', ' 826 Sum', '  62557 Ratio', '   0.96%)']", ,[' 100880  '],[' 4438    '],[' 100832  '],[' 57496   '],"[' 172484   (Atom=Atom', ' 54056 Body=Body', ' 29888 Other', ' 88540)']",[' Yes'],"[' 5390     (Eliminated', '    0 Frozen', ' 5390)']","[' 87       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.48147'],[' 0'], ,[' 281.138'],[' 0'],[' 3.79814'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.62794e+07'],[' 2.79006e+07'],[' 0'],[' 4.78861e+10'],[' 0'],[' 0'],[' 811 '],[' 1279 '],[' 1824 '],[' 2333 '],[' 2821 '],[' 3373 '],[' 3797 '],[' 2 '],[' 5 ']
Solving...,TA64, ,[' 1'],[' 2059+'],[' 1037'],"[' 580.933s (Solving', ' 574.93s 1st Model', ' 3.42s Unsat', ' 2.32s)']",[' 579.656s'], ,[' 31629515'],"[' 15355677 (Analyzed', ' 15288063)']","[' 28169    (Average', ' 542.73 Last', ' 48241)']",[' 2280.2  '],"[' 1037     (Average Length', ' 490.12 Splits', ' 0)']","[' 15288063 (Deleted', ' 15040586)']","[' 51       (Ratio', '   0.00%)']","[' 2546     (Ratio', '   0.02%)']","[' 15288063 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15288063 (Average', '  1.92 Max', ' 3041 Sum', ' 29398203)']","[' 15287829 (Average', '  1.92 Max', ' 3041 Sum', ' 29325165 Ratio', '  99.75%)']","[' 234      (Average', ' 312.13 Max', ' 839 Sum', '  73038 Ratio', '   0.25%)']", ,[' 101139  '],[' 4484    '],[' 101095  '],[' 57484   '],"[' 172448   (Atom=Atom', ' 53998 Body=Body', ' 29934 Other', ' 88516)']",[' Yes'],"[' 5440     (Eliminated', '    0 Frozen', ' 5440)']","[' 356      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.54831'],[' 0'], ,[' 467.509'],[' 0'],[' 7.5144'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.09682e+08'],[' 6.81684e+07'],[' 0'],[' 6.95344e+10'],[' 0'],[' 0'],[' 890 '],[' 1497 '],[' 2043 '],[' 2662 '],[' 3264 '],[' 3848 '],[' 4347 '],[' 4 '],[' 3 ']
Solving...,TA65, ,[' 1'],[' 2069+'],[' 1042'],"[' 735.132s (Solving', ' 729.19s 1st Model', ' 3.22s Unsat', ' 17.16s)']",[' 734.109s'], ,[' 22987414'],"[' 11279647 (Analyzed', ' 11206503)']","[' 22855    (Average', ' 490.33 Last', ' 145719)']",[' 2165.0  '],"[' 1042     (Average Length', ' 498.88 Splits', ' 0)']","[' 11206503 (Deleted', ' 11019507)']","[' 33       (Ratio', '   0.00%)']","[' 3280     (Ratio', '   0.03%)']","[' 11206503 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11206503 (Average', '  1.88 Max', ' 2890 Sum', ' 21032528)']","[' 11206166 (Average', '  1.86 Max', ' 2890 Sum', ' 20865279 Ratio', '  99.20%)']","[' 337      (Average', ' 496.29 Max', ' 868 Sum', ' 167249 Ratio', '   0.80%)']", ,[' 102230  '],[' 4546    '],[' 102204  '],[' 57891   '],"[' 173669   (Atom=Atom', ' 54343 Body=Body', ' 29996 Other', ' 89330)']",[' Yes'],"[' 5520     (Eliminated', '    0 Frozen', ' 5520)']","[' 478      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.45312'],[' 0'], ,[' 650.682'],[' 0'],[' 9.44773'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.7443e+07'],[' 4.94798e+07'],[' 0'],[' 9.55766e+10'],[' 0'],[' 0'],[' 657 '],[' 1322 '],[' 1940 '],[' 2655 '],[' 3296 '],[' 3951 '],[' 4401 '],[' 5 '],[' 2 ']
Solving...,TA66, , ,[' 1897'],[' 956'],"[' 376.029s (Solving', ' 370.18s 1st Model', ' 3.88s Unsat', ' 78.67s)']",[' 375.047s'], ,[' 19655256'],"[' 10018812 (Analyzed', ' 9968867)']","[' 20497    (Average', ' 486.36 Last', ' 27661)']",[' 2114.8  '],"[' 956      (Average Length', ' 455.68 Splits', ' 0)']","[' 9968867  (Deleted', ' 9803816)']","[' 64       (Ratio', '   0.00%)']","[' 2716     (Ratio', '   0.03%)']","[' 9968867  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9968867  (Average', '  1.79 Max', ' 2906 Sum', ' 17851115)']","[' 9968530  (Average', '  1.78 Max', ' 2906 Sum', ' 17755459 Ratio', '  99.46%)']","[' 337      (Average', ' 283.85 Max', ' 790 Sum', '  95656 Ratio', '   0.54%)']", ,[' 100440  '],[' 4468    '],[' 100335  '],[' 56663   '],"[' 169985   (Atom=Atom', ' 53193 Body=Body', ' 29918 Other', ' 86874)']",[' Yes'],"[' 5363     (Eliminated', '    0 Frozen', ' 5363)']","[' 309      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.40594'],[' 0'], ,[' 304.954'],[' 0'],[' 4.90263'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.52097e+07'],[' 4.12444e+07'],[' 0'],[' 3.95991e+10'],[' 0'],[' 0'],[' 662 '],[' 1267 '],[' 1861 '],[' 2398 '],[' 2903 '],[' 3538 '],[' 4114 '],[' 2 '],[' 5 ']
Solving...,TA67, , ,[' 2029'],[' 1022'],"[' 819.163s (Solving', ' 812.90s 1st Model', ' 3.33s Unsat', ' 97.55s)']",[' 818.016s'], ,[' 41373571'],"[' 22778702 (Analyzed', ' 22710224)']","[' 42262    (Average', ' 537.37 Last', ' 49110)']",[' 2110.0  '],"[' 1022     (Average Length', ' 486.75 Splits', ' 0)']","[' 22710224 (Deleted', ' 22361080)']","[' 43       (Ratio', '   0.00%)']","[' 3264     (Ratio', '   0.01%)']","[' 22710224 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22710224 (Average', '  1.73 Max', ' 2810 Sum', ' 39202066)']","[' 22709881 (Average', '  1.72 Max', ' 2810 Sum', ' 39070956 Ratio', '  99.67%)']","[' 343      (Average', ' 382.24 Max', ' 823 Sum', ' 131110 Ratio', '   0.33%)']", ,[' 100738  '],[' 4462    '],[' 100704  '],[' 56449   '],"[' 169343   (Atom=Atom', ' 52985 Body=Body', ' 29912 Other', ' 86446)']",[' Yes'],"[' 5428     (Eliminated', '    0 Frozen', ' 5428)']","[' 463      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.49931'],[' 0'], ,[' 665.683'],[' 0'],[' 11.3041'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26427e+08'],[' 7.14154e+07'],[' 0'],[' 8.60883e+10'],[' 0'],[' 0'],[' 885 '],[' 1532 '],[' 2043 '],[' 2666 '],[' 3392 '],[' 3978 '],[' 4437 '],[' 5 '],[' 2 ']
Solving...,TA68, ,[' 1'],[' 2257+'],[' 1136'],"[' 417.270s (Solving', ' 411.23s 1st Model', ' 3.24s Unsat', ' 119.74s)']",[' 416.578s'], ,[' 21733954'],"[' 12700853 (Analyzed', ' 12598320)']","[' 24295    (Average', ' 518.56 Last', ' 52352)']",[' 2142.4  '],"[' 1136     (Average Length', ' 532.46 Splits', ' 0)']","[' 12598320 (Deleted', ' 12409645)']","[' 64       (Ratio', '   0.00%)']","[' 1747     (Ratio', '   0.01%)']","[' 12598320 (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12598320 (Average', '  1.56 Max', ' 2926 Sum', ' 19645712)']","[' 12598018 (Average', '  1.55 Max', ' 2926 Sum', ' 19518388 Ratio', '  99.35%)']","[' 302      (Average', ' 421.60 Max', ' 937 Sum', ' 127324 Ratio', '   0.65%)']", ,[' 100359  '],[' 4360    '],[' 100407  '],[' 56621   '],"[' 169859   (Atom=Atom', ' 53259 Body=Body', ' 29810 Other', ' 86790)']",[' Yes'],"[' 5408     (Eliminated', '    0 Frozen', ' 5408)']","[' 199      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.53455'],[' 0'], ,[' 324.027'],[' 0'],[' 5.26005'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.51317e+07'],[' 4.5396e+07'],[' 0'],[' 4.53635e+10'],[' 0'],[' 0'],[' 714 '],[' 1186 '],[' 1684 '],[' 2350 '],[' 2821 '],[' 3354 '],[' 3909 '],[' 2 '],[' 5 ']
Solving...,TA69, , ,[' 2033'],[' 1024'],"[' 368.072s (Solving', ' 362.07s 1st Model', ' 3.27s Unsat', ' 71.59s)']",[' 367.516s'], ,[' 15450661'],"[' 7585727  (Analyzed', ' 7512488)']","[' 16206    (Average', ' 463.56 Last', ' 30637)']",[' 2135.9  '],"[' 1024     (Average Length', ' 486.69 Splits', ' 0)']","[' 7512488  (Deleted', ' 7386406)']","[' 68       (Ratio', '   0.00%)']","[' 2698     (Ratio', '   0.04%)']","[' 7512488  (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7512488  (Average', '  1.81 Max', ' 2978 Sum', ' 13589087)']","[' 7512222  (Average', '  1.80 Max', ' 2978 Sum', ' 13492381 Ratio', '  99.29%)']","[' 266      (Average', ' 363.56 Max', ' 753 Sum', '  96706 Ratio', '   0.71%)']", ,[' 101524  '],[' 4447    '],[' 101479  '],[' 57242   '],"[' 171722   (Atom=Atom', ' 53793 Body=Body', ' 29897 Other', ' 88032)']",[' Yes'],"[' 5402     (Eliminated', '    0 Frozen', ' 5402)']","[' 226      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.41537'],[' 0'], ,[' 308.898'],[' 0'],[' 4.83896'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.5057e+07'],[' 3.6256e+07'],[' 0'],[' 4.37998e+10'],[' 0'],[' 0'],[' 781 '],[' 1298 '],[' 1914 '],[' 2473 '],[' 3120 '],[' 3662 '],[' 4217 '],[' 2 '],[' 5 ']
Solving...,TA70, ,[' 1'],[' 1901+'],[' 958'],"[' 762.282s (Solving', ' 756.71s 1st Model', ' 3.88s Unsat', ' 44.55s)']",[' 760.891s'], ,[' 23614175'],"[' 10936695 (Analyzed', ' 10769355)']","[' 23027    (Average', ' 467.68 Last', ' 62013)']",[' 2193.8  '],"[' 958      (Average Length', ' 462.43 Splits', ' 0)']","[' 10769355 (Deleted', ' 10575446)']","[' 43       (Ratio', '   0.00%)']","[' 3351     (Ratio', '   0.03%)']","[' 10769355 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10769355 (Average', '  2.01 Max', ' 2950 Sum', ' 21656421)']","[' 10769020 (Average', '  1.99 Max', ' 2950 Sum', ' 21478664 Ratio', '  99.18%)']","[' 335      (Average', ' 530.62 Max', ' 811 Sum', ' 177757 Ratio', '   0.82%)']", ,[' 102684  '],[' 4578    '],[' 102599  '],[' 58135   '],"[' 174401   (Atom=Atom', ' 54555 Body=Body', ' 30028 Other', ' 89818)']",[' Yes'],"[' 5493     (Eliminated', '    0 Frozen', ' 5493)']","[' 567      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39656'],[' 0'], ,[' 677.907'],[' 0'],[' 9.46025'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.12314e+07'],[' 5.42016e+07'],[' 0'],[' 1.01076e+11'],[' 0'],[' 0'],[' 581 '],[' 1236 '],[' 2018 '],[' 2783 '],[' 3328 '],[' 4092 '],[' 4680 '],[' 5 '],[' 2 ']
