Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 869+'],[' 444'],"[' 348.254s (Solving', ' 346.38s 1st Model', ' 0.83s Unsat', ' 11.17s)']",[' 347.578s'], ,[' 11104743'],"[' 7002390  (Analyzed', ' 6971595)']","[' 14678    (Average', ' 474.97 Last', ' 73408)']",[' 1118.1  '],"[' 444      (Average Length', ' 209.17 Splits', ' 0)']","[' 6971595  (Deleted', ' 6852529)']","[' 67       (Ratio', '   0.00%)']","[' 2041     (Ratio', '   0.03%)']","[' 6971595  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6971595  (Average', '  1.51 Max', ' 1841 Sum', ' 10496031)']","[' 6971460  (Average', '  1.50 Max', ' 1841 Sum', ' 10479591 Ratio', '  99.84%)']","[' 135      (Average', ' 121.78 Max', ' 415 Sum', '  16440 Ratio', '   0.16%)']", ,[' 75010   '],[' 2857    '],[' 74677   '],[' 42919   '],"[' 128753   (Atom=Atom', ' 40810 Body=Body', ' 21932 Other', ' 66011)']",[' Yes'],"[' 3274     (Eliminated', '    0 Frozen', ' 3274)']","[' 138      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.464356'],[' 0'], ,[' 303.691'],[' 0'],[' 4.71127'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.43112e+07'],[' 1.8626e+07'],[' 0'],[' 5.306e+10'],[' 0'],[' 0'],[' 609 '],[' 1060 '],[' 1663 '],[' 2063 '],[' 2596 '],[' 2914 '],[' 3413 '],[' 3927 '],[' 4461 '],[' 3 '],[' 6 ']
Solving...,TA52, , ,[' 911'],[' 465'],"[' 504.402s (Solving', ' 502.32s 1st Model', ' 0.94s Unsat', ' 57.01s)']",[' 503.891s'], ,[' 14814853'],"[' 8585071  (Analyzed', ' 8488471)']","[' 18723    (Average', ' 453.37 Last', ' 78465)']",[' 1181.6  '],"[' 465      (Average Length', ' 224.75 Splits', ' 0)']","[' 8488471  (Deleted', ' 8344546)']","[' 56       (Ratio', '   0.00%)']","[' 2957     (Ratio', '   0.03%)']","[' 8488471  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8488471  (Average', '  1.65 Max', ' 1774 Sum', ' 14044275)']","[' 8488322  (Average', '  1.65 Max', ' 1774 Sum', ' 14012363 Ratio', '  99.77%)']","[' 149      (Average', ' 214.17 Max', ' 417 Sum', '  31912 Ratio', '   0.23%)']", ,[' 76062   '],[' 2887    '],[' 75759   '],[' 43116   '],"[' 129344   (Atom=Atom', ' 40977 Body=Body', ' 21962 Other', ' 66405)']",[' Yes'],"[' 3334     (Eliminated', '    0 Frozen', ' 3334)']","[' 294      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.524552'],[' 0'], ,[' 447.959'],[' 0'],[' 6.99775'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.88712e+07'],[' 2.92686e+07'],[' 0'],[' 8.02406e+10'],[' 0'],[' 0'],[' 520 '],[' 1045 '],[' 1480 '],[' 2075 '],[' 2584 '],[' 3066 '],[' 3708 '],[' 4443 '],[' 4685 '],[' 4 '],[' 5 ']
Solving...,TA53, ,[' 1'],[' 973+'],[' 496'],"[' 536.882s (Solving', ' 534.49s 1st Model', ' 1.05s Unsat', ' 89.14s)']",[' 536.141s'], ,[' 15464439'],"[' 10053953 (Analyzed', ' 9983484)']","[' 21073    (Average', ' 473.76 Last', ' 196912)']",[' 1266.4  '],"[' 496      (Average Length', ' 237.23 Splits', ' 0)']","[' 9983484  (Deleted', ' 9797238)']","[' 66       (Ratio', '   0.00%)']","[' 2167     (Ratio', '   0.02%)']","[' 9983484  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9983484  (Average', '  1.47 Max', ' 1766 Sum', ' 14680563)']","[' 9983322  (Average', '  1.47 Max', ' 1766 Sum', ' 14653723 Ratio', '  99.82%)']","[' 162      (Average', ' 165.68 Max', ' 412 Sum', '  26840 Ratio', '   0.18%)']", ,[' 74127   '],[' 2832    '],[' 73851   '],[' 42306   '],"[' 126914   (Atom=Atom', ' 40222 Body=Body', ' 21907 Other', ' 64785)']",[' Yes'],"[' 3306     (Eliminated', '    0 Frozen', ' 3306)']","[' 165      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.586999'],[' 0'], ,[' 468.227'],[' 0'],[' 7.50279'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.84347e+07'],[' 2.4895e+07'],[' 0'],[' 8.17837e+10'],[' 0'],[' 0'],[' 596 '],[' 959 '],[' 1566 '],[' 1974 '],[' 2493 '],[' 2934 '],[' 3470 '],[' 3889 '],[' 4300 '],[' 4 '],[' 5 ']
Solving...,TA54, , ,[' 845'],[' 432'],"[' 356.764s (Solving', ' 354.55s 1st Model', ' 0.83s Unsat', ' 130.21s)']",[' 356.109s'], ,[' 12621013'],"[' 8402516  (Analyzed', ' 8388551)']","[' 18169    (Average', ' 461.70 Last', ' 1575)']",[' 1150.0  '],"[' 432      (Average Length', ' 207.69 Splits', ' 0)']","[' 8388551  (Deleted', ' 8246187)']","[' 109      (Ratio', '   0.00%)']","[' 2615     (Ratio', '   0.03%)']","[' 8388551  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8388551  (Average', '  1.43 Max', ' 1624 Sum', ' 12030744)']","[' 8388273  (Average', '  1.43 Max', ' 1624 Sum', ' 11988460 Ratio', '  99.65%)']","[' 278      (Average', ' 152.10 Max', ' 360 Sum', '  42284 Ratio', '   0.35%)']", ,[' 74530   '],[' 2814    '],[' 74195   '],[' 41886   '],"[' 125654   (Atom=Atom', ' 39820 Body=Body', ' 21889 Other', ' 63945)']",[' Yes'],"[' 3229     (Eliminated', '    0 Frozen', ' 3229)']","[' 255      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.520528'],[' 0'], ,[' 302.689'],[' 0'],[' 4.99633'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.01208e+07'],[' 2.06943e+07'],[' 0'],[' 4.91914e+10'],[' 0'],[' 0'],[' 533 '],[' 957 '],[' 1493 '],[' 1885 '],[' 2346 '],[' 2782 '],[' 3364 '],[' 3831 '],[' 4137 '],[' 2 '],[' 7 ']
Solving...,TA55, , ,[' 835'],[' 427'],"[' 486.226s (Solving', ' 483.89s 1st Model', ' 1.56s Unsat', ' 147.80s)']",[' 484.922s'], ,[' 21649323'],"[' 13762912 (Analyzed', ' 13735902)']","[' 28850    (Average', ' 476.11 Last', ' 42807)']",[' 1174.8  '],"[' 427      (Average Length', ' 208.67 Splits', ' 0)']","[' 13735902 (Deleted', ' 13542028)']","[' 70       (Ratio', '   0.00%)']","[' 3227     (Ratio', '   0.02%)']","[' 13735902 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13735902 (Average', '  1.52 Max', ' 1659 Sum', ' 20851444)']","[' 13735671 (Average', '  1.52 Max', ' 1659 Sum', ' 20816841 Ratio', '  99.83%)']","[' 231      (Average', ' 149.80 Max', ' 274 Sum', '  34603 Ratio', '   0.17%)']", ,[' 74416   '],[' 2846    '],[' 74079   '],[' 41791   '],"[' 125369   (Atom=Atom', ' 39693 Body=Body', ' 21921 Other', ' 63755)']",[' Yes'],"[' 3259     (Eliminated', '    0 Frozen', ' 3259)']","[' 441      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.55044'],[' 0'], ,[' 403.143'],[' 0'],[' 6.45142'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.52249e+07'],[' 3.3303e+07'],[' 0'],[' 6.54603e+10'],[' 0'],[' 0'],[' 513 '],[' 967 '],[' 1525 '],[' 2250 '],[' 2762 '],[' 3457 '],[' 4067 '],[' 4396 '],[' 4746 '],[' 3 '],[' 6 ']
Solving...,TA56, ,[' 1'],[' 867+'],[' 443'],"[' 447.080s (Solving', ' 444.86s 1st Model', ' 0.79s Unsat', ' 109.83s)']",[' 446.703s'], ,[' 18690235'],"[' 12684771 (Analyzed', ' 12668333)']","[' 26656    (Average', ' 475.25 Last', ' 79541)']",[' 1167.9  '],"[' 443      (Average Length', ' 213.25 Splits', ' 0)']","[' 12668333 (Deleted', ' 12461321)']","[' 94       (Ratio', '   0.00%)']","[' 2623     (Ratio', '   0.02%)']","[' 12668333 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12668333 (Average', '  1.42 Max', ' 1708 Sum', ' 17947022)']","[' 12668136 (Average', '  1.41 Max', ' 1708 Sum', ' 17925272 Ratio', '  99.88%)']","[' 197      (Average', ' 110.41 Max', ' 409 Sum', '  21750 Ratio', '   0.12%)']", ,[' 74102   '],[' 2814    '],[' 73773   '],[' 41911   '],"[' 125729   (Atom=Atom', ' 39845 Body=Body', ' 21889 Other', ' 63995)']",[' Yes'],"[' 3235     (Eliminated', '    0 Frozen', ' 3235)']","[' 155      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.533497'],[' 0'], ,[' 369.186'],[' 0'],[' 5.46367'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.83656e+07'],[' 2.9172e+07'],[' 0'],[' 5.81207e+10'],[' 0'],[' 0'],[' 693 '],[' 1207 '],[' 1840 '],[' 2325 '],[' 2878 '],[' 3360 '],[' 3720 '],[' 4359 '],[' 4899 '],[' 3 '],[' 6 ']
Solving...,TA57, , ,[' 919'],[' 469'],"[' 279.793s (Solving', ' 277.46s 1st Model', ' 1.09s Unsat', ' 52.28s)']",[' 279.297s'], ,[' 8940994 '],"[' 5436406  (Analyzed', ' 5329195)']","[' 12202    (Average', ' 436.75 Last', ' 18034)']",[' 1241.0  '],"[' 469      (Average Length', ' 225.26 Splits', ' 0)']","[' 5329195  (Deleted', ' 5234084)']","[' 70       (Ratio', '   0.00%)']","[' 2257     (Ratio', '   0.04%)']","[' 5329195  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5329195  (Average', '  1.55 Max', ' 1767 Sum', ' 8239065)']","[' 5329055  (Average', '  1.54 Max', ' 1767 Sum', ' 8219608 Ratio', '  99.76%)']","[' 140      (Average', ' 138.98 Max', ' 408 Sum', '  19457 Ratio', '   0.24%)']", ,[' 74211   '],[' 2820    '],[' 73908   '],[' 42639   '],"[' 127913   (Atom=Atom', ' 40567 Body=Body', ' 21895 Other', ' 65451)']",[' Yes'],"[' 3267     (Eliminated', '    0 Frozen', ' 3267)']","[' 167      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.586274'],[' 0'], ,[' 236.862'],[' 0'],[' 3.96638'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.21045e+07'],[' 1.81238e+07'],[' 0'],[' 3.661e+10'],[' 0'],[' 0'],[' 603 '],[' 1116 '],[' 1661 '],[' 2158 '],[' 2689 '],[' 3051 '],[' 3537 '],[' 4219 '],[' 4569 '],[' 2 '],[' 7 ']
Solving...,TA58, , ,[' 827'],[' 423'],"[' 455.724s (Solving', ' 453.53s 1st Model', ' 1.01s Unsat', ' 7.39s)']",[' 454.750s'], ,[' 17578034'],"[' 12232792 (Analyzed', ' 12199856)']","[' 24994    (Average', ' 488.11 Last', ' 40490)']",[' 1212.0  '],"[' 423      (Average Length', ' 206.43 Splits', ' 0)']","[' 12199856 (Deleted', ' 12008063)']","[' 58       (Ratio', '   0.00%)']","[' 2237     (Ratio', '   0.02%)']","[' 12199856 (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12199856 (Average', '  1.38 Max', ' 1818 Sum', ' 16817445)']","[' 12199728 (Average', '  1.38 Max', ' 1818 Sum', ' 16801617 Ratio', '  99.91%)']","[' 128      (Average', ' 123.66 Max', ' 334 Sum', '  15828 Ratio', '   0.09%)']", ,[' 75101   '],[' 2860    '],[' 74762   '],[' 42879   '],"[' 128633   (Atom=Atom', ' 40767 Body=Body', ' 21935 Other', ' 65931)']",[' Yes'],"[' 3271     (Eliminated', '    0 Frozen', ' 3271)']","[' 225      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.512166'],[' 0'], ,[' 378.446'],[' 0'],[' 6.54481'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.498e+07'],[' 2.65066e+07'],[' 0'],[' 6.02952e+10'],[' 0'],[' 0'],[' 546 '],[' 1155 '],[' 1713 '],[' 2098 '],[' 2706 '],[' 3319 '],[' 3826 '],[' 4484 '],[' 4743 '],[' 4 '],[' 5 ']
Solving...,TA59, , ,[' 883'],[' 451'],"[' 156.740s (Solving', ' 154.58s 1st Model', ' 0.85s Unsat', ' 41.21s)']",[' 156.516s'], ,[' 8624035 '],"[' 5467704  (Analyzed', ' 5388490)']","[' 10944    (Average', ' 492.37 Last', ' 11237)']",[' 1119.1  '],"[' 451      (Average Length', ' 219.98 Splits', ' 0)']","[' 5388490  (Deleted', ' 5291334)']","[' 94       (Ratio', '   0.00%)']","[' 1923     (Ratio', '   0.04%)']","[' 5388490  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5388490  (Average', '  1.49 Max', ' 1821 Sum', ' 8038938)']","[' 5388343  (Average', '  1.49 Max', ' 1821 Sum', ' 8025903 Ratio', '  99.84%)']","[' 147      (Average', ' 88.67 Max', ' 386 Sum', '  13035 Ratio', '   0.16%)']", ,[' 74400   '],[' 2791    '],[' 74085   '],[' 42400   '],"[' 127196   (Atom=Atom', ' 40357 Body=Body', ' 21866 Other', ' 64973)']",[' Yes'],"[' 3226     (Eliminated', '    0 Frozen', ' 3226)']","[' 77       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.480393'],[' 0'], ,[' 121.565'],[' 0'],[' 2.34788'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74246e+07'],[' 1.48182e+07'],[' 0'],[' 1.66634e+10'],[' 0'],[' 0'],[' 493 '],[' 1004 '],[' 1468 '],[' 1994 '],[' 2435 '],[' 2767 '],[' 3197 '],[' 3672 '],[' 4172 '],[' 1 '],[' 8 ']
Solving...,TA60, ,[' 1'],[' 815+'],[' 417'],"[' 733.331s (Solving', ' 731.28s 1st Model', ' 0.86s Unsat', ' 64.74s)']",[' 731.391s'], ,[' 38913222'],"[' 26076612 (Analyzed', ' 26064341)']","[' 50807    (Average', ' 513.01 Last', ' 69886)']",[' 1183.2  '],"[' 417      (Average Length', ' 202.41 Splits', ' 0)']","[' 26064341 (Deleted', ' 25680048)']","[' 35       (Ratio', '   0.00%)']","[' 3030     (Ratio', '   0.01%)']","[' 26064341 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26064341 (Average', '  1.45 Max', ' 1732 Sum', ' 37795572)']","[' 26064169 (Average', '  1.45 Max', ' 1732 Sum', ' 37771457 Ratio', '  99.94%)']","[' 172      (Average', ' 140.20 Max', ' 356 Sum', '  24115 Ratio', '   0.06%)']", ,[' 74653   '],[' 2882    '],[' 74304   '],[' 42365   '],"[' 127091   (Atom=Atom', ' 40231 Body=Body', ' 21957 Other', ' 64903)']",[' Yes'],"[' 3283     (Eliminated', '    0 Frozen', ' 3283)']","[' 313      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.530967'],[' 0'], ,[' 578.277'],[' 0'],[' 9.84107'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12796e+08'],[' 5.27109e+07'],[' 0'],[' 8.75826e+10'],[' 0'],[' 0'],[' 555 '],[' 908 '],[' 1548 '],[' 2065 '],[' 2595 '],[' 3030 '],[' 3645 '],[' 4263 '],[' 4616 '],[' 6 '],[' 3 ']
