Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 7945+'],[' 3975'],"[' 1012.476s (Solving', ' 959.39s 1st Model', ' 852.76s Unsat', ' 0.00s)']",[' 1007.313s'], ,[' 525106961'],"[' 1716075  (Analyzed', ' 1354410)']","[' 5763     (Average', ' 235.02 Last', ' 311386)']",[' 12833.1 '],"[' 3975     (Average Length', ' 1941.81 Splits', ' 0)']","[' 1354410  (Deleted', ' 1296636)']","[' 414      (Ratio', '   0.03%)']","[' 51259    (Ratio', '   3.78%)']","[' 1354410  (Average Length', '   23.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1354410  (Average', ' 355.68 Max', ' 15197 Sum', ' 481740130)']","[' 1354149  (Average', ' 355.30 Max', ' 15197 Sum', ' 481223906 Ratio', '  99.89%)']","[' 261      (Average', ' 1977.87 Max', ' 3712 Sum', ' 516224 Ratio', '   0.11%)']", ,[' 137619  '],[' 20569   '],[' 140396  '],[' 96445   '],"[' 289331   (Atom=Atom', ' 76874 Body=Body', ' 46019 Other', ' 166438)']",[' Yes'],"[' 24346    (Eliminated', '    0 Frozen', ' 24346)']","[' 3553     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.1918'],[' 0'], ,[' 328.159'],[' 0'],[' 36.0641'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4677e+09'],[' 1.34467e+09'],[' 0'],[' 6.2564e+09'],[' 0'],[' 0'],[' 1816 '],[' 3680 '],[' 2 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 9611+'],[' 4808'],"[' 1013.951s (Solving', ' 956.07s 1st Model', ' 815.97s Unsat', ' 0.00s)']",[' 1009.297s'], ,[' 537817745'],"[' 1977449  (Analyzed', ' 1277953)']","[' 6286     (Average', ' 203.30 Last', ' 243909)']",[' 13796.3 '],"[' 4808     (Average Length', ' 2363.38 Splits', ' 0)']","[' 1277953  (Deleted', ' 1218687)']","[' 498      (Ratio', '   0.04%)']","[' 52662    (Ratio', '   4.12%)']","[' 1277953  (Average Length', '   24.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1277953  (Average', ' 377.60 Max', ' 16183 Sum', ' 482559234)']","[' 1277646  (Average', ' 377.09 Max', ' 15870 Sum', ' 481908312 Ratio', '  99.87%)']","[' 307      (Average', ' 2120.27 Max', ' 4534 Sum', ' 650922 Ratio', '   0.13%)']", ,[' 138677  '],[' 20672   '],[' 142210  '],[' 97606   '],"[' 292814   (Atom=Atom', ' 77932 Body=Body', ' 46122 Other', ' 168760)']",[' Yes'],"[' 25205    (Eliminated', '    0 Frozen', ' 25205)']","[' 3883     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9332'],[' 0'], ,[' 326.001'],[' 0'],[' 35.4741'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51424e+09'],[' 1.39216e+09'],[' 0'],[' 6.46289e+09'],[' 0'],[' 0'],[' 1852 '],[' 3791 '],[' 2 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 10717+'],[' 5361'],"[' 1017.884s (Solving', ' 949.67s 1st Model', ' 787.57s Unsat', ' 0.00s)']",[' 1010.969s'], ,[' 529181114'],"[' 1967440  (Analyzed', ' 1266993)']","[' 6741     (Average', ' 187.95 Last', ' 165151)']",[' 13897.7 '],"[' 5361     (Average Length', ' 2610.86 Splits', ' 0)']","[' 1266993  (Deleted', ' 1207667)']","[' 436      (Ratio', '   0.03%)']","[' 51830    (Ratio', '   4.09%)']","[' 1266993  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1266993  (Average', ' 369.72 Max', ' 17701 Sum', ' 468436942)']","[' 1266725  (Average', ' 369.18 Max', ' 17701 Sum', ' 467742972 Ratio', '  99.85%)']","[' 268      (Average', ' 2589.44 Max', ' 4986 Sum', ' 693970 Ratio', '   0.15%)']", ,[' 138869  '],[' 20505   '],[' 142854  '],[' 97631   '],"[' 292889   (Atom=Atom', ' 78124 Body=Body', ' 45955 Other', ' 168810)']",[' Yes'],"[' 25490    (Eliminated', '    0 Frozen', ' 25490)']","[' 3624     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.525'],[' 0'], ,[' 322.742'],[' 0'],[' 35.309'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46696e+09'],[' 1.34753e+09'],[' 0'],[' 6.25038e+09'],[' 0'],[' 0'],[' 1770 '],[' 3583 '],[' 2 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 9775+'],[' 4890'],"[' 1015.090s (Solving', ' 953.19s 1st Model', ' 854.63s Unsat', ' 0.00s)']",[' 1009.453s'], ,[' 579233095'],"[' 2589265  (Analyzed', ' 1534513)']","[' 7423     (Average', ' 206.72 Last', ' 134388)']",[' 14698.0 '],"[' 4890     (Average Length', ' 2387.60 Splits', ' 0)']","[' 1534513  (Deleted', ' 1469834)']","[' 440      (Ratio', '   0.03%)']","[' 56332    (Ratio', '   3.67%)']","[' 1534513  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1534513  (Average', ' 337.74 Max', ' 16432 Sum', ' 518272459)']","[' 1534181  (Average', ' 337.38 Max', ' 16432 Sum', ' 517719351 Ratio', '  99.89%)']","[' 332      (Average', ' 1665.99 Max', ' 4604 Sum', ' 553108 Ratio', '   0.11%)']", ,[' 138681  '],[' 20590   '],[' 142329  '],[' 97528   '],"[' 292580   (Atom=Atom', ' 77936 Body=Body', ' 46040 Other', ' 168604)']",[' Yes'],"[' 25238    (Eliminated', '    0 Frozen', ' 25238)']","[' 3901     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5015'],[' 0'], ,[' 328.414'],[' 0'],[' 35.1674'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67726e+09'],[' 1.54022e+09'],[' 0'],[' 7.29161e+09'],[' 0'],[' 0'],[' 1812 '],[' 3574 '],[' 2 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 8943+'],[' 4474'],"[' 1012.960s (Solving', ' 959.54s 1st Model', ' 742.66s Unsat', ' 0.00s)']",[' 1007.266s'], ,[' 587645818'],"[' 2331587  (Analyzed', ' 1478396)']","[' 6893     (Average', ' 214.48 Last', ' 185773)']",[' 13975.7 '],"[' 4474     (Average Length', ' 2191.37 Splits', ' 0)']","[' 1478396  (Deleted', ' 1412852)']","[' 447      (Ratio', '   0.03%)']","[' 57092    (Ratio', '   3.86%)']","[' 1478396  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1478396  (Average', ' 361.44 Max', ' 15938 Sum', ' 534347888)']","[' 1478092  (Average', ' 361.07 Max', ' 15308 Sum', ' 533805027 Ratio', '  99.90%)']","[' 304      (Average', ' 1785.73 Max', ' 4151 Sum', ' 542861 Ratio', '   0.10%)']", ,[' 138072  '],[' 20537   '],[' 141332  '],[' 96866   '],"[' 290594   (Atom=Atom', ' 77327 Body=Body', ' 45987 Other', ' 167280)']",[' Yes'],"[' 24797    (Eliminated', '    0 Frozen', ' 24797)']","[' 3752     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.056'],[' 0'], ,[' 326.626'],[' 0'],[' 35.1812'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.77026e+09'],[' 1.63e+09'],[' 0'],[' 7.2337e+09'],[' 0'],[' 0'],[' 1710 '],[' 3667 '],[' 2 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 8969+'],[' 4487'],"[' 1012.266s (Solving', ' 962.28s 1st Model', ' 866.95s Unsat', ' 0.00s)']",[' 1007.563s'], ,[' 595745902'],"[' 2222867  (Analyzed', ' 1520186)']","[' 7104     (Average', ' 213.99 Last', ' 97553)']",[' 13440.6 '],"[' 4487     (Average Length', ' 2205.74 Splits', ' 0)']","[' 1520186  (Deleted', ' 1456028)']","[' 393      (Ratio', '   0.03%)']","[' 57737    (Ratio', '   3.80%)']","[' 1520186  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1520186  (Average', ' 358.42 Max', ' 15878 Sum', ' 544863407)']","[' 1519935  (Average', ' 358.08 Max', ' 15878 Sum', ' 544353765 Ratio', '  99.91%)']","[' 251      (Average', ' 2030.45 Max', ' 4262 Sum', ' 509642 Ratio', '   0.09%)']", ,[' 138203  '],[' 20597   '],[' 141464  '],[' 97057   '],"[' 291167   (Atom=Atom', ' 77458 Body=Body', ' 46047 Other', ' 167662)']",[' Yes'],"[' 24858    (Eliminated', '    0 Frozen', ' 24858)']","[' 3792     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.37753'],[' 0'], ,[' 326.87'],[' 0'],[' 35.0747'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80059e+09'],[' 1.65628e+09'],[' 0'],[' 7.57941e+09'],[' 0'],[' 0'],[' 1750 '],[' 3678 '],[' 2 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 9185+'],[' 4595'],"[' 1014.674s (Solving', ' 957.22s 1st Model', ' 833.86s Unsat', ' 0.00s)']",[' 1010.313s'], ,[' 595347299'],"[' 2653458  (Analyzed', ' 1562223)']","[' 7332     (Average', ' 213.07 Last', ' 193781)']",[' 14674.9 '],"[' 4595     (Average Length', ' 2260.58 Splits', ' 0)']","[' 1562223  (Deleted', ' 1498386)']","[' 530      (Ratio', '   0.03%)']","[' 55608    (Ratio', '   3.56%)']","[' 1562223  (Average Length', '   24.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1562223  (Average', ' 344.00 Max', ' 15480 Sum', ' 537408813)']","[' 1561920  (Average', ' 343.70 Max', ' 15480 Sum', ' 536931592 Ratio', '  99.91%)']","[' 303      (Average', ' 1574.99 Max', ' 4416 Sum', ' 477221 Ratio', '   0.09%)']", ,[' 138193  '],[' 20587   '],[' 141608  '],[' 97037   '],"[' 291107   (Atom=Atom', ' 77448 Body=Body', ' 46037 Other', ' 167622)']",[' Yes'],"[' 25002    (Eliminated', '    0 Frozen', ' 25002)']","[' 3981     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.6965'],[' 0'], ,[' 328.282'],[' 0'],[' 35.2756'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73907e+09'],[' 1.59628e+09'],[' 0'],[' 7.64514e+09'],[' 0'],[' 0'],[' 1858 '],[' 3665 '],[' 2 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 9295+'],[' 4650'],"[' 1012.605s (Solving', ' 957.12s 1st Model', ' 756.13s Unsat', ' 0.00s)']",[' 1006.297s'], ,[' 599792045'],"[' 2829458  (Analyzed', ' 1650608)']","[' 7028     (Average', ' 234.86 Last', ' 336982)']",[' 14493.6 '],"[' 4650     (Average Length', ' 2288.00 Splits', ' 0)']","[' 1650608  (Deleted', ' 1586203)']","[' 481      (Ratio', '   0.03%)']","[' 56034    (Ratio', '   3.39%)']","[' 1650608  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1650608  (Average', ' 328.45 Max', ' 16189 Sum', ' 542135942)']","[' 1650297  (Average', ' 328.12 Max', ' 16189 Sum', ' 541601909 Ratio', '  99.90%)']","[' 311      (Average', ' 1717.15 Max', ' 4413 Sum', ' 534033 Ratio', '   0.10%)']", ,[' 138257  '],[' 20560   '],[' 141669  '],[' 97074   '],"[' 291218   (Atom=Atom', ' 77512 Body=Body', ' 46010 Other', ' 167696)']",[' Yes'],"[' 24972    (Eliminated', '    0 Frozen', ' 24972)']","[' 3923     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9033'],[' 0'], ,[' 329.894'],[' 0'],[' 35.041'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78822e+09'],[' 1.64031e+09'],[' 0'],[' 7.79806e+09'],[' 0'],[' 0'],[' 1752 '],[' 3568 '],[' 2 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 10451+'],[' 5228'],"[' 1017.675s (Solving', ' 945.49s 1st Model', ' 818.87s Unsat', ' 0.00s)']",[' 1009.609s'], ,[' 537017053'],"[' 2440312  (Analyzed', ' 1323544)']","[' 7034     (Average', ' 188.16 Last', ' 199230)']",[' 14690.9 '],"[' 5228     (Average Length', ' 2557.55 Splits', ' 0)']","[' 1323544  (Deleted', ' 1264562)']","[' 684      (Ratio', '   0.05%)']","[' 52199    (Ratio', '   3.94%)']","[' 1323544  (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1323544  (Average', ' 357.22 Max', ' 17549 Sum', ' 472796472)']","[' 1323251  (Average', ' 356.79 Max', ' 17549 Sum', ' 472233783 Ratio', '  99.88%)']","[' 293      (Average', ' 1920.44 Max', ' 4893 Sum', ' 562689 Ratio', '   0.12%)']", ,[' 138920  '],[' 20553   '],[' 142826  '],[' 97730   '],"[' 293186   (Atom=Atom', ' 78175 Body=Body', ' 46003 Other', ' 169008)']",[' Yes'],"[' 25459    (Eliminated', '    0 Frozen', ' 25459)']","[' 3802     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1582'],[' 0'], ,[' 327.706'],[' 0'],[' 34.8672'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51076e+09'],[' 1.38826e+09'],[' 0'],[' 6.63445e+09'],[' 0'],[' 0'],[' 1902 '],[' 3967 '],[' 2 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 9761+'],[' 4883'],"[' 1014.838s (Solving', ' 954.47s 1st Model', ' 459.11s Unsat', ' 0.00s)']",[' 1010.063s'], ,[' 571046568'],"[' 2874525  (Analyzed', ' 1731553)']","[' 6329     (Average', ' 273.59 Last', ' 65262)']",[' 14315.7 '],"[' 4883     (Average Length', ' 2378.46 Splits', ' 0)']","[' 1731553  (Deleted', ' 1660025)']","[' 558      (Ratio', '   0.03%)']","[' 60146    (Ratio', '   3.47%)']","[' 1731553  (Average Length', '   27.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1731553  (Average', ' 295.65 Max', ' 15645 Sum', ' 511934898)']","[' 1731270  (Average', ' 295.34 Max', ' 15097 Sum', ' 511394015 Ratio', '  99.89%)']","[' 283      (Average', ' 1911.25 Max', ' 4586 Sum', ' 540883 Ratio', '   0.11%)']", ,[' 138762  '],[' 20578   '],[' 142361  '],[' 97597   '],"[' 292787   (Atom=Atom', ' 78017 Body=Body', ' 46028 Other', ' 168742)']",[' Yes'],"[' 25177    (Eliminated', '    0 Frozen', ' 25177)']","[' 4649     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.3104'],[' 0'], ,[' 333.609'],[' 0'],[' 34.5114'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62692e+09'],[' 1.49726e+09'],[' 0'],[' 7.86274e+09'],[' 0'],[' 0'],[' 2054 '],[' 4029 '],[' 2 '],[' 0 ']
