Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of interrupted calls ,Number of non-interrupted calls 
Solving...,TA71, , ,[' 1'],[' 9053+'],[' 4531'],"[' 1026.587s (Solving', ' 914.24s 1st Model', ' 399.46s Unsat', ' 0.00s)']",[' 1006.672s'], ,[' 464336240'],"[' 4026424  (Analyzed', ' 865775)']","[' 4483     (Average', ' 193.12 Last', ' 35359)']",[' 13352.4 '],"[' 4531     (Average Length', ' 2089.33 Splits', ' 0)']","[' 865775   (Deleted', ' 787350)']","[' 102      (Ratio', '   0.01%)']","[' 57049    (Ratio', '   6.59%)']","[' 865775   (Average Length', '   30.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 865775   (Average', ' 479.78 Max', ' 15860 Sum', ' 415384350)']","[' 862742   (Average', ' 472.68 Max', ' 15860 Sum', ' 409237847 Ratio', '  98.52%)']","[' 3033     (Average', ' 2026.54 Max', ' 2882 Sum', ' 6146503 Ratio', '   1.48%)']", ,[' 308579  '],[' 27291   '],[' 310515  '],[' 183300  '],"[' 549896   (Atom=Atom', ' 158007 Body=Body', ' 128191 Other', ' 263698)']",[' Yes'],"[' 31227    (Eliminated', '    0 Frozen', ' 31227)']","[' 10484    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.5801'],[' 0'], ,[' 401.127'],[' 0'],[' 32.8033'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.00785e+08'],[' 8.25658e+08'],[' 0'],[' 1.41096e+10'],[' 0'],[' 0'],[' 2286 '],[' 4058 '],[' 5736 '],[' 7407 '],[' 4 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 8687+'],[' 4348'],"[' 1024.616s (Solving', ' 934.84s 1st Model', ' 333.42s Unsat', ' 0.00s)']",[' 1017.063s'], ,[' 533169389'],"[' 3990179  (Analyzed', ' 2063160)']","[' 6217     (Average', ' 331.86 Last', ' 39913)']",[' 12949.5 '],"[' 4348     (Average Length', ' 2029.20 Splits', ' 0)']","[' 2063160  (Deleted', ' 1968096)']","[' 117      (Ratio', '   0.01%)']","[' 65358    (Ratio', '   3.17%)']","[' 2063160  (Average Length', '   28.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2063160  (Average', ' 237.05 Max', ' 15223 Sum', ' 489081369)']","[' 2060071  (Average', ' 234.22 Max', ' 15223 Sum', ' 483235526 Ratio', '  98.80%)']","[' 3089     (Average', ' 1892.47 Max', ' 2827 Sum', ' 5845843 Ratio', '   1.20%)']", ,[' 306433  '],[' 26758   '],[' 308268  '],[' 181518  '],"[' 544550   (Atom=Atom', ' 156758 Body=Body', ' 127658 Other', ' 260134)']",[' Yes'],"[' 30593    (Eliminated', '    0 Frozen', ' 30593)']","[' 11585    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.6145'],[' 0'], ,[' 464.827'],[' 0'],[' 33.3314'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02813e+09'],[' 9.34465e+08'],[' 0'],[' 2.38229e+10'],[' 0'],[' 0'],[' 1934 '],[' 3892 '],[' 5484 '],[' 7033 '],[' 4 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 9557+'],[' 4783'],"[' 1022.676s (Solving', ' 935.28s 1st Model', ' 498.64s Unsat', ' 0.00s)']",[' 1016.797s'], ,[' 559411707'],"[' 5445555  (Analyzed', ' 2385306)']","[' 7367     (Average', ' 323.78 Last', ' 64041)']",[' 12155.0 '],"[' 4783     (Average Length', ' 2190.28 Splits', ' 0)']","[' 2385306  (Deleted', ' 2289399)']","[' 111      (Ratio', '   0.00%)']","[' 69466    (Ratio', '   2.91%)']","[' 2385306  (Average Length', '   29.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2385306  (Average', ' 215.90 Max', ' 14637 Sum', ' 514983111)']","[' 2382392  (Average', ' 212.98 Max', ' 14637 Sum', ' 508022675 Ratio', '  98.65%)']","[' 2914     (Average', ' 2388.62 Max', ' 3354 Sum', ' 6960436 Ratio', '   1.35%)']", ,[' 307506  '],[' 26763   '],[' 309564  '],[' 181968  '],"[' 545900   (Atom=Atom', ' 157203 Body=Body', ' 127663 Other', ' 261034)']",[' Yes'],"[' 30821    (Eliminated', '    0 Frozen', ' 30821)']","[' 12645    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.0975'],[' 0'], ,[' 446.691'],[' 0'],[' 34.1853'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07983e+09'],[' 9.75971e+08'],[' 0'],[' 2.19214e+10'],[' 0'],[' 0'],[' 2247 '],[' 3888 '],[' 5508 '],[' 7120 '],[' 4 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 7299+'],[' 3654'],"[' 778.840s (Solving', ' 704.39s 1st Model', ' 371.71s Unsat', ' 0.00s)']",[' 761.188s'], ,[' 363838205'],"[' 2629968  (Analyzed', ' 670612)']","[' 4156     (Average', ' 161.36 Last', ' 42590)']",[' 12563.9 '],"[' 3653     (Average Length', ' 1762.43 Splits', ' 0)']","[' 670612   (Deleted', ' 608070)']","[' 65       (Ratio', '   0.01%)']","[' 47034    (Ratio', '   7.01%)']","[' 670612   (Average Length', '   25.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 670612   (Average', ' 486.06 Max', ' 17963 Sum', ' 325958135)']","[' 668513   (Average', ' 480.43 Max', ' 17963 Sum', ' 322182096 Ratio', '  98.84%)']","[' 2099     (Average', ' 1798.97 Max', ' 2190 Sum', ' 3776039 Ratio', '   1.16%)']", ,[' 305961  '],[' 26778   '],[' 307478  '],[' 180884  '],"[' 542648   (Atom=Atom', ' 156104 Body=Body', ' 127678 Other', ' 258866)']",[' Yes'],"[' 30295    (Eliminated', '    0 Frozen', ' 30295)']","[' 7788     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.0804'],[' 0'], ,[' 322.245'],[' 0'],[' 25.2262'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.29487e+08'],[' 6.67271e+08'],[' 0'],[' 1.2687e+10'],[' 0'],[' 0'],[' 1692 '],[' 3605 '],[' 11214 '],[' 12641 '],[' 4 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 9007+'],[' 4508'],"[' 1019.293s (Solving', ' 932.34s 1st Model', ' 383.38s Unsat', ' 0.00s)']",[' 1015.313s'], ,[' 502933593'],"[' 3257972  (Analyzed', ' 1120446)']","[' 5081     (Average', ' 220.52 Last', ' 40125)']",[' 12250.6 '],"[' 4508     (Average Length', ' 2069.56 Splits', ' 0)']","[' 1120446  (Deleted', ' 1030251)']","[' 92       (Ratio', '   0.01%)']","[' 67101    (Ratio', '   5.99%)']","[' 1120446  (Average Length', '   26.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1120446  (Average', ' 410.89 Max', ' 15610 Sum', ' 460375586)']","[' 1117730  (Average', ' 405.57 Max', ' 15610 Sum', ' 454416528 Ratio', '  98.71%)']","[' 2716     (Average', ' 2194.06 Max', ' 2969 Sum', ' 5959058 Ratio', '   1.29%)']", ,[' 307946  '],[' 26935   '],[' 309814  '],[' 182209  '],"[' 546623   (Atom=Atom', ' 157272 Body=Body', ' 127835 Other', ' 261516)']",[' Yes'],"[' 30803    (Eliminated', '    0 Frozen', ' 30803)']","[' 11866    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.3113'],[' 0'], ,[' 440.62'],[' 0'],[' 31.8116'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08436e+09'],[' 9.9407e+08'],[' 0'],[' 2.17258e+10'],[' 0'],[' 0'],[' 1920 '],[' 3506 '],[' 5457 '],[' 7040 '],[' 4 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 9645+'],[' 4827'],"[' 1021.037s (Solving', ' 933.80s 1st Model', ' 597.62s Unsat', ' 0.00s)']",[' 1017.781s'], ,[' 545433415'],"[' 2810834  (Analyzed', ' 1069259)']","[' 5233     (Average', ' 204.33 Last', ' 123523)']",[' 11863.3 '],"[' 4827     (Average Length', ' 2240.22 Splits', ' 0)']","[' 1069259  (Deleted', ' 970171)']","[' 114      (Ratio', '   0.01%)']","[' 75179    (Ratio', '   7.03%)']","[' 1069259  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1069259  (Average', ' 471.02 Max', ' 14217 Sum', ' 503638027)']","[' 1066484  (Average', ' 464.78 Max', ' 14217 Sum', ' 496967461 Ratio', '  98.68%)']","[' 2775     (Average', ' 2403.81 Max', ' 3404 Sum', ' 6670566 Ratio', '   1.32%)']", ,[' 307481  '],[' 26890   '],[' 309682  '],[' 182393  '],"[' 547175   (Atom=Atom', ' 157501 Body=Body', ' 127790 Other', ' 261884)']",[' Yes'],"[' 31091    (Eliminated', '    0 Frozen', ' 31091)']","[' 14467    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.3768'],[' 0'], ,[' 421.872'],[' 0'],[' 32.0735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2282e+09'],[' 1.12578e+09'],[' 0'],[' 2.19578e+10'],[' 0'],[' 0'],[' 1786 '],[' 3462 '],[' 5034 '],[' 6752 '],[' 4 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 8493+'],[' 4251'],"[' 1019.454s (Solving', ' 943.36s 1st Model', ' 378.36s Unsat', ' 0.00s)']",[' 1015.578s'], ,[' 543898261'],"[' 4450603  (Analyzed', ' 2072996)']","[' 6637     (Average', ' 312.34 Last', ' 89153)']",[' 11718.8 '],"[' 4251     (Average Length', ' 1967.25 Splits', ' 0)']","[' 2072996  (Deleted', ' 1973654)']","[' 143      (Ratio', '   0.01%)']","[' 74925    (Ratio', '   3.61%)']","[' 2072996  (Average Length', '   28.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2072996  (Average', ' 243.78 Max', ' 14226 Sum', ' 505361326)']","[' 2070132  (Average', ' 240.95 Max', ' 14226 Sum', ' 499494574 Ratio', '  98.84%)']","[' 2864     (Average', ' 2048.45 Max', ' 2963 Sum', ' 5866752 Ratio', '   1.16%)']", ,[' 306542  '],[' 26742   '],[' 308286  '],[' 181373  '],"[' 544115   (Atom=Atom', ' 156629 Body=Body', ' 127642 Other', ' 259844)']",[' Yes'],"[' 30486    (Eliminated', '    0 Frozen', ' 30486)']","[' 14019    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.967'],[' 0'], ,[' 473.462'],[' 0'],[' 31.5673'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13698e+09'],[' 1.02607e+09'],[' 0'],[' 2.83014e+10'],[' 0'],[' 0'],[' 2052 '],[' 3675 '],[' 5386 '],[' 7229 '],[' 4 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 9055+'],[' 4532'],"[' 1020.415s (Solving', ' 936.19s 1st Model', ' 352.91s Unsat', ' 0.00s)']",[' 1015.547s'], ,[' 551650759'],"[' 3161094  (Analyzed', ' 1297031)']","[' 5549     (Average', ' 233.74 Last', ' 81710)']",[' 11844.4 '],"[' 4532     (Average Length', ' 2096.06 Splits', ' 0)']","[' 1297031  (Deleted', ' 1198029)']","[' 114      (Ratio', '   0.01%)']","[' 77148    (Ratio', '   5.95%)']","[' 1297031  (Average Length', '   24.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1297031  (Average', ' 394.15 Max', ' 14280 Sum', ' 511221274)']","[' 1294280  (Average', ' 389.55 Max', ' 14280 Sum', ' 505252096 Ratio', '  98.83%)']","[' 2751     (Average', ' 2169.82 Max', ' 3036 Sum', ' 5969178 Ratio', '   1.17%)']", ,[' 306836  '],[' 26699   '],[' 308773  '],[' 181525  '],"[' 544571   (Atom=Atom', ' 156824 Body=Body', ' 127599 Other', ' 260148)']",[' Yes'],"[' 30636    (Eliminated', '    0 Frozen', ' 30636)']","[' 14583    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7716'],[' 0'], ,[' 426.948'],[' 0'],[' 32.2253'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23935e+09'],[' 1.13033e+09'],[' 0'],[' 2.23754e+10'],[' 0'],[' 0'],[' 1841 '],[' 3504 '],[' 5158 '],[' 6808 '],[' 4 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 8569+'],[' 4289'],"[' 1020.659s (Solving', ' 937.93s 1st Model', ' 659.81s Unsat', ' 0.00s)']",[' 1012.484s'], ,[' 592974464'],"[' 2763198  (Analyzed', ' 960154)']","[' 5012     (Average', ' 191.57 Last', ' 98072)']",[' 11620.0 '],"[' 4289     (Average Length', ' 1982.90 Splits', ' 0)']","[' 960154   (Deleted', ' 857126)']","[' 77       (Ratio', '   0.01%)']","[' 82802    (Ratio', '   8.62%)']","[' 960154   (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 960154   (Average', ' 578.30 Max', ' 13799 Sum', ' 555253962)']","[' 957223   (Average', ' 572.40 Max', ' 13799 Sum', ' 549596437 Ratio', '  98.98%)']","[' 2931     (Average', ' 1930.24 Max', ' 2791 Sum', ' 5657525 Ratio', '   1.02%)']", ,[' 307139  '],[' 26862   '],[' 308874  '],[' 181771  '],"[' 545309   (Atom=Atom', ' 156907 Body=Body', ' 127762 Other', ' 260640)']",[' Yes'],"[' 30597    (Eliminated', '    0 Frozen', ' 30597)']","[' 14701    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.1714'],[' 0'], ,[' 396.063'],[' 0'],[' 33.9933'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34336e+09'],[' 1.23435e+09'],[' 0'],[' 1.80091e+10'],[' 0'],[' 0'],[' 1637 '],[' 3219 '],[' 4896 '],[' 6471 '],[' 4 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 9387+'],[' 4698'],"[' 1021.374s (Solving', ' 935.35s 1st Model', ' 461.04s Unsat', ' 0.00s)']",[' 1015.156s'], ,[' 556135377'],"[' 4081332  (Analyzed', ' 1258028)']","[' 5302     (Average', ' 237.27 Last', ' 92768)']",[' 11835.4 '],"[' 4698     (Average Length', ' 2151.29 Splits', ' 0)']","[' 1258028  (Deleted', ' 1159105)']","[' 107      (Ratio', '   0.01%)']","[' 76519    (Ratio', '   6.08%)']","[' 1258028  (Average Length', '   28.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1258028  (Average', ' 408.44 Max', ' 14722 Sum', ' 513824991)']","[' 1255335  (Average', ' 403.42 Max', ' 14722 Sum', ' 507517691 Ratio', '  98.77%)']","[' 2693     (Average', ' 2342.11 Max', ' 3307 Sum', ' 6307300 Ratio', '   1.23%)']", ,[' 307312  '],[' 26876   '],[' 309286  '],[' 182222  '],"[' 546662   (Atom=Atom', ' 157344 Body=Body', ' 127776 Other', ' 261542)']",[' Yes'],"[' 30850    (Eliminated', '    0 Frozen', ' 30850)']","[' 13360    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7723'],[' 0'], ,[' 416.626'],[' 0'],[' 33.0899'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20302e+09'],[' 1.09911e+09'],[' 0'],[' 2.03391e+10'],[' 0'],[' 0'],[' 2062 '],[' 3534 '],[' 5228 '],[' 6765 '],[' 4 '],[' 0 ']
