Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 13475+'],[' 6741'],"[' 1040.244s (Solving', ' 868.05s 1st Model', ' 589.56s Unsat', ' 0.00s)']",[' 1034.484s'], ,[' 586869079'],"[' 3180102  (Analyzed', ' 295815)']","[' 4738     (Average', ' 62.43 Last', ' 46292)']",[' 21920.1 '],"[' 6741     (Average Length', ' 3170.80 Splits', ' 0)']","[' 295815   (Deleted', ' 237953)']","[' 566      (Ratio', '   0.19%)']","[' 36708    (Ratio', '  12.41%)']","[' 295815   (Average Length', '   34.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 295815   (Average', ' 1587.91 Max', ' 27710 Sum', ' 469726371)']","[' 292050   (Average', ' 1546.06 Max', ' 27710 Sum', ' 457349144 Ratio', '  97.37%)']","[' 3765     (Average', ' 3287.44 Max', ' 4298 Sum', ' 12377227 Ratio', '   2.63%)']", ,[' 450914  '],[' 39171   '],[' 454927  '],[' 286189  '],"[' 858563   (Atom=Atom', ' 249016 Body=Body', ' 140071 Other', ' 469476)']",[' Yes'],"[' 45175    (Eliminated', '    0 Frozen', ' 45175)']","[' 7289     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 30.9349'],[' 0'], ,[' 355.529'],[' 0'],[' 37.4156'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35346e+09'],[' 1.28364e+09'],[' 0'],[' 1.02266e+10'],[' 0'],[' 0'],[' 2599 '],[' 4896 '],[' 7786 '],[' 3 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 13155+'],[' 6581'],"[' 1039.691s (Solving', ' 874.65s 1st Model', ' 645.21s Unsat', ' 0.00s)']",[' 1035.672s'], ,[' 621499090'],"[' 1855839  (Analyzed', ' 362887)']","[' 4364     (Average', ' 83.15 Last', ' 144376)']",[' 21144.0 '],"[' 6581     (Average Length', ' 3098.45 Splits', ' 0)']","[' 362887   (Deleted', ' 300168)']","[' 711      (Ratio', '   0.20%)']","[' 44091    (Ratio', '  12.15%)']","[' 362887   (Average Length', '   31.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 362887   (Average', ' 1399.47 Max', ' 27875 Sum', ' 507850186)']","[' 360591   (Average', ' 1380.90 Max', ' 27875 Sum', ' 501110745 Ratio', '  98.67%)']","[' 2296     (Average', ' 2935.30 Max', ' 5416 Sum', ' 6739441 Ratio', '   1.33%)']", ,[' 449465  '],[' 38863   '],[' 453343  '],[' 285217  '],"[' 855647   (Atom=Atom', ' 248352 Body=Body', ' 139763 Other', ' 467532)']",[' Yes'],"[' 44741    (Eliminated', '    0 Frozen', ' 44741)']","[' 7760     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 29.5939'],[' 0'], ,[' 329.194'],[' 0'],[' 39.0868'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46031e+09'],[' 1.38326e+09'],[' 0'],[' 6.85688e+09'],[' 0'],[' 0'],[' 2256 '],[' 4397 '],[' 8527 '],[' 3 '],[' 0 ']
Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 12257+'],[' 6132'],"[' 1037.147s (Solving', ' 885.23s 1st Model', ' 551.15s Unsat', ' 0.00s)']",[' 1033.406s'], ,[' 640793249'],"[' 7110990  (Analyzed', ' 374387)']","[' 4732     (Average', ' 79.12 Last', ' 46292)']",[' 19395.1 '],"[' 6132     (Average Length', ' 2879.69 Splits', ' 0)']","[' 374387   (Deleted', ' 312632)']","[' 103      (Ratio', '   0.03%)']","[' 45920    (Ratio', '  12.27%)']","[' 374387   (Average Length', '   32.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 374387   (Average', ' 1449.60 Max', ' 23173 Sum', ' 542713083)']","[' 370721   (Average', ' 1421.15 Max', ' 23173 Sum', ' 532058797 Ratio', '  98.04%)']","[' 3666     (Average', ' 2906.24 Max', ' 3783 Sum', ' 10654286 Ratio', '   1.96%)']", ,[' 438319  '],[' 34813   '],[' 441699  '],[' 267896  '],"[' 803684   (Atom=Atom', ' 235081 Body=Body', ' 135713 Other', ' 432890)']",[' Yes'],"[' 40193    (Eliminated', '    0 Frozen', ' 40193)']","[' 9158     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.7464'],[' 0'], ,[' 385.299'],[' 0'],[' 36.1519'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52138e+09'],[' 1.43961e+09'],[' 0'],[' 1.78776e+10'],[' 0'],[' 0'],[' 2599 '],[' 4829 '],[' 7022 '],[' 3 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 12331+'],[' 6169'],"[' 1036.679s (Solving', ' 891.54s 1st Model', ' 644.78s Unsat', ' 0.00s)']",[' 1031.531s'], ,[' 634763269'],"[' 7394881  (Analyzed', ' 411730)']","[' 4626     (Average', ' 89.00 Last', ' 144376)']",[' 19158.1 '],"[' 6169     (Average Length', ' 2895.16 Splits', ' 0)']","[' 411730   (Deleted', ' 350813)']","[' 79       (Ratio', '   0.02%)']","[' 47966    (Ratio', '  11.65%)']","[' 411730   (Average Length', '   30.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 411730   (Average', ' 1298.26 Max', ' 23452 Sum', ' 534533033)']","[' 409084   (Average', ' 1279.55 Max', ' 23452 Sum', ' 526830177 Ratio', '  98.56%)']","[' 2646     (Average', ' 2911.13 Max', ' 3855 Sum', ' 7702856 Ratio', '   1.44%)']", ,[' 436835  '],[' 34500   '],[' 440212  '],[' 267308  '],"[' 801920   (Atom=Atom', ' 234806 Body=Body', ' 135400 Other', ' 431714)']",[' Yes'],"[' 39877    (Eliminated', '    0 Frozen', ' 39877)']","[' 8625     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.9111'],[' 0'], ,[' 387.281'],[' 0'],[' 35.5932'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52722e+09'],[' 1.44109e+09'],[' 0'],[' 1.85475e+10'],[' 0'],[' 0'],[' 2247 '],[' 4486 '],[' 6638 '],[' 3 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 11077+'],[' 5542'],"[' 1035.103s (Solving', ' 894.40s 1st Model', ' 640.27s Unsat', ' 0.00s)']",[' 1031.297s'], ,[' 646826684'],"[' 6964839  (Analyzed', ' 432715)']","[' 4297     (Average', ' 100.70 Last', ' 106212)']",[' 19306.1 '],"[' 5542     (Average Length', ' 2634.09 Splits', ' 0)']","[' 432715   (Deleted', ' 367071)']","[' 103      (Ratio', '   0.02%)']","[' 51518    (Ratio', '  11.91%)']","[' 432715   (Average Length', '   30.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 432715   (Average', ' 1285.48 Max', ' 22672 Sum', ' 556246978)']","[' 429245   (Average', ' 1264.69 Max', ' 22672 Sum', ' 547250562 Ratio', '  98.38%)']","[' 3470     (Average', ' 2592.63 Max', ' 3226 Sum', ' 8996416 Ratio', '   1.62%)']", ,[' 437204  '],[' 34641   '],[' 440232  '],[' 267694  '],"[' 803078   (Atom=Atom', ' 235051 Body=Body', ' 135541 Other', ' 432486)']",[' Yes'],"[' 39669    (Eliminated', '    0 Frozen', ' 39669)']","[' 9724     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.9643'],[' 0'], ,[' 384.328'],[' 0'],[' 36.2716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56796e+09'],[' 1.47939e+09'],[' 0'],[' 1.79923e+10'],[' 0'],[' 0'],[' 2436 '],[' 4838 '],[' 6973 '],[' 3 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 12455+'],[' 6231'],"[' 1035.942s (Solving', ' 878.38s 1st Model', ' 601.18s Unsat', ' 0.00s)']",[' 1032.125s'], ,[' 625110243'],"[' 7138473  (Analyzed', ' 389169)']","[' 4629     (Average', ' 84.07 Last', ' 143120)']",[' 20006.4 '],"[' 6231     (Average Length', ' 2958.09 Splits', ' 0)']","[' 389169   (Deleted', ' 327164)']","[' 74       (Ratio', '   0.02%)']","[' 44166    (Ratio', '  11.35%)']","[' 389169   (Average Length', '   30.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 389169   (Average', ' 1336.87 Max', ' 23442 Sum', ' 520266472)']","[' 385890   (Average', ' 1314.04 Max', ' 23442 Sum', ' 511383043 Ratio', '  98.29%)']","[' 3279     (Average', ' 2709.19 Max', ' 3731 Sum', ' 8883429 Ratio', '   1.71%)']", ,[' 437190  '],[' 34638   '],[' 440783  '],[' 267536  '],"[' 802604   (Atom=Atom', ' 234896 Body=Body', ' 135538 Other', ' 432170)']",[' Yes'],"[' 40231    (Eliminated', '    0 Frozen', ' 40231)']","[' 8806     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 30.8272'],[' 0'], ,[' 381.867'],[' 0'],[' 35.2389'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54203e+09'],[' 1.45788e+09'],[' 0'],[' 1.67157e+10'],[' 0'],[' 0'],[' 2276 '],[' 4595 '],[' 6894 '],[' 3 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 11517+'],[' 5762'],"[' 1035.108s (Solving', ' 897.03s 1st Model', ' 414.58s Unsat', ' 0.00s)']",[' 1028.938s'], ,[' 624229129'],"[' 6826950  (Analyzed', ' 401836)']","[' 4342     (Average', ' 92.55 Last', ' 12616)']",[' 18993.0 '],"[' 5762     (Average Length', ' 2706.35 Splits', ' 0)']","[' 401836   (Deleted', ' 344237)']","[' 74       (Ratio', '   0.02%)']","[' 47361    (Ratio', '  11.79%)']","[' 401836   (Average Length', '   32.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 401836   (Average', ' 1325.34 Max', ' 23446 Sum', ' 532567890)']","[' 398583   (Average', ' 1302.21 Max', ' 23446 Sum', ' 523273135 Ratio', '  98.25%)']","[' 3253     (Average', ' 2857.29 Max', ' 6170 Sum', ' 9294755 Ratio', '   1.75%)']", ,[' 437804  '],[' 34862   '],[' 440848  '],[' 268245  '],"[' 804731   (Atom=Atom', ' 235381 Body=Body', ' 135762 Other', ' 433588)']",[' Yes'],"[' 39906    (Eliminated', '    0 Frozen', ' 39906)']","[' 8892     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.861'],[' 0'], ,[' 392.991'],[' 0'],[' 36.4445'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47566e+09'],[' 1.39492e+09'],[' 0'],[' 1.80442e+10'],[' 0'],[' 0'],[' 2446 '],[' 4944 '],[' 6959 '],[' 3 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 12219+'],[' 6113'],"[' 1036.766s (Solving', ' 889.85s 1st Model', ' 611.90s Unsat', ' 0.00s)']",[' 1031.094s'], ,[' 636692524'],"[' 5915004  (Analyzed', ' 391720)']","[' 4628     (Average', ' 84.64 Last', ' 39066)']",[' 18761.3 '],"[' 6113     (Average Length', ' 2880.04 Splits', ' 0)']","[' 391720   (Deleted', ' 331984)']","[' 70       (Ratio', '   0.02%)']","[' 46892    (Ratio', '  11.97%)']","[' 391720   (Average Length', '   31.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 391720   (Average', ' 1391.89 Max', ' 22579 Sum', ' 545232558)']","[' 387899   (Average', ' 1361.29 Max', ' 22579 Sum', ' 533245296 Ratio', '  97.80%)']","[' 3821     (Average', ' 3137.21 Max', ' 3886 Sum', ' 11987262 Ratio', '   2.20%)']", ,[' 437059  '],[' 34661   '],[' 440447  '],[' 267073  '],"[' 801215   (Atom=Atom', ' 234410 Body=Body', ' 135561 Other', ' 431244)']",[' Yes'],"[' 40049    (Eliminated', '    0 Frozen', ' 40049)']","[' 8952     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.6399'],[' 0'], ,[' 383.32'],[' 0'],[' 36.6258'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4897e+09'],[' 1.40963e+09'],[' 0'],[' 1.66412e+10'],[' 0'],[' 0'],[' 2330 '],[' 4571 '],[' 6747 '],[' 3 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 12237+'],[' 6122'],"[' 1034.314s (Solving', ' 886.15s 1st Model', ' 638.08s Unsat', ' 0.00s)']",[' 1027.453s'], ,[' 623148537'],"[' 6448947  (Analyzed', ' 386815)']","[' 4450     (Average', ' 86.92 Last', ' 42428)']",[' 18652.5 '],"[' 6122     (Average Length', ' 2867.38 Splits', ' 0)']","[' 386815   (Deleted', ' 325276)']","[' 77       (Ratio', '   0.02%)']","[' 46845    (Ratio', '  12.11%)']","[' 386815   (Average Length', '   30.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 386815   (Average', ' 1373.88 Max', ' 22738 Sum', ' 531435488)']","[' 383283   (Average', ' 1343.85 Max', ' 22738 Sum', ' 519822560 Ratio', '  97.81%)']","[' 3532     (Average', ' 3287.92 Max', ' 3855 Sum', ' 11612928 Ratio', '   2.19%)']", ,[' 437466  '],[' 34598   '],[' 440847  '],[' 268179  '],"[' 804533   (Atom=Atom', ' 235579 Body=Body', ' 135498 Other', ' 433456)']",[' Yes'],"[' 39979    (Eliminated', '    0 Frozen', ' 39979)']","[' 8954     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 29.0665'],[' 0'], ,[' 379.883'],[' 0'],[' 36.4863'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46865e+09'],[' 1.38749e+09'],[' 0'],[' 1.62309e+10'],[' 0'],[' 0'],[' 2306 '],[' 4615 '],[' 6782 '],[' 3 '],[' 0 ']
