Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1943'],[' 978'],"[' 345.847s (Solving', ' 340.88s 1st Model', ' 3.25s Unsat', ' 0.86s)']",[' 344.297s'], ,[' 36013808'],"[' 16641169 (Analyzed', ' 16578949)']","[' 29563    (Average', ' 560.80 Last', ' 7924)']",[' 2042.2  '],"[' 978      (Average Length', ' 472.11 Splits', ' 0)']","[' 16578949 (Deleted', ' 16304652)']","[' 61       (Ratio', '   0.00%)']","[' 2088     (Ratio', '   0.01%)']","[' 16578949 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16578949 (Average', '  2.05 Max', ' 2489 Sum', ' 34064090)']","[' 16578756 (Average', '  2.05 Max', ' 2489 Sum', ' 34017604 Ratio', '  99.86%)']","[' 193      (Average', ' 240.86 Max', ' 409 Sum', '  46486 Ratio', '   0.14%)']", ,[' 76710   '],[' 3665    '],[' 76875   '],[' 43328   '],"[' 129980   (Atom=Atom', ' 40411 Body=Body', ' 22740 Other', ' 66829)']",[' Yes'],"[' 4580     (Eliminated', '    0 Frozen', ' 4580)']","[' 329      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23436'],[' 0'], ,[' 228.538'],[' 0'],[' 5.2844'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03206e+08'],[' 5.59046e+07'],[' 0'],[' 2.29364e+10'],[' 0'],[' 0'],[' 761 '],[' 1434 '],[' 2087 '],[' 2632 '],[' 3172 '],[' 3543 '],[' 2 '],[' 4 ']
Solving...,TA52, ,[' 1'],[' 1891+'],[' 952'],"[' 517.926s (Solving', ' 513.27s 1st Model', ' 3.83s Unsat', ' 8.57s)']",[' 516.656s'], ,[' 35130977'],"[' 17692345 (Analyzed', ' 17622513)']","[' 32085    (Average', ' 549.24 Last', ' 43878)']",[' 1871.5  '],"[' 952      (Average Length', ' 455.69 Splits', ' 0)']","[' 17622513 (Deleted', ' 17367177)']","[' 54       (Ratio', '   0.00%)']","[' 3292     (Ratio', '   0.02%)']","[' 17622513 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17622513 (Average', '  1.89 Max', ' 2295 Sum', ' 33350591)']","[' 17622209 (Average', '  1.89 Max', ' 2295 Sum', ' 33232975 Ratio', '  99.65%)']","[' 304      (Average', ' 386.89 Max', ' 1566 Sum', ' 117616 Ratio', '   0.35%)']", ,[' 76363   '],[' 3685    '],[' 76504   '],[' 42804   '],"[' 128408   (Atom=Atom', ' 39867 Body=Body', ' 22760 Other', ' 65781)']",[' Yes'],"[' 4576     (Eliminated', '    0 Frozen', ' 4576)']","[' 543      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12641'],[' 0'], ,[' 398.014'],[' 0'],[' 7.61603'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04486e+08'],[' 5.97167e+07'],[' 0'],[' 5.26413e+10'],[' 0'],[' 0'],[' 758 '],[' 1287 '],[' 2110 '],[' 2665 '],[' 3223 '],[' 3602 '],[' 3 '],[' 3 ']
Solving...,TA53, , ,[' 2059'],[' 1036'],"[' 15.494s (Solving', ' 10.92s 1st Model', ' 4.28s Unsat', ' 1.30s)']",[' 15.094s'], ,[' 3750486 '],"[' 161230   (Analyzed', ' 69013)']","[' 555      (Average', ' 124.35 Last', ' 2312)']",[' 1954.5  '],"[' 1036     (Average Length', ' 484.74 Splits', ' 0)']","[' 69013    (Deleted', ' 55484)']","[' 49       (Ratio', '   0.07%)']","[' 1254     (Ratio', '   1.82%)']","[' 69013    (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 69013    (Average', ' 31.32 Max', ' 2617 Sum', ' 2161810)']","[' 68918    (Average', ' 30.98 Max', ' 2617 Sum', ' 2138132 Ratio', '  98.90%)']","[' 95       (Average', ' 249.24 Max', ' 843 Sum', '  23678 Ratio', '   1.10%)']", ,[' 77079   '],[' 3641    '],[' 77271   '],[' 43886   '],"[' 131654   (Atom=Atom', ' 40993 Body=Body', ' 22716 Other', ' 67945)']",[' Yes'],"[' 4583     (Eliminated', '    0 Frozen', ' 4583)']","[' 45       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12636'],[' 0'], ,[' 4.72083'],[' 0'],[' 0.213564'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75571e+07'],[' 1.63069e+07'],[' 0'],[' 3.33671e+08'],[' 0'],[' 0'],[' 644 '],[' 1167 '],[' 1631 '],[' 2156 '],[' 2675 '],[' 3079 '],[' 0 '],[' 6 ']
Solving...,TA54, , ,[' 2071'],[' 1042'],"[' 188.505s (Solving', ' 183.17s 1st Model', ' 4.34s Unsat', ' 8.29s)']",[' 187.625s'], ,[' 10889711'],"[' 2979107  (Analyzed', ' 2845435)']","[' 6054     (Average', ' 470.01 Last', ' 22540)']",[' 2021.1  '],"[' 1042     (Average Length', ' 487.09 Splits', ' 0)']","[' 2845435  (Deleted', ' 2779180)']","[' 69       (Ratio', '   0.00%)']","[' 2369     (Ratio', '   0.08%)']","[' 2845435  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2845435  (Average', '  3.23 Max', ' 2457 Sum', ' 9185942)']","[' 2845200  (Average', '  3.19 Max', ' 2457 Sum', ' 9086357 Ratio', '  98.92%)']","[' 235      (Average', ' 423.77 Max', ' 647 Sum', '  99585 Ratio', '   1.08%)']", ,[' 77320   '],[' 3706    '],[' 77519   '],[' 43987   '],"[' 131957   (Atom=Atom', ' 41029 Body=Body', ' 22781 Other', ' 68147)']",[' Yes'],"[' 4655     (Eliminated', '    0 Frozen', ' 4655)']","[' 325      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.25991'],[' 0'], ,[' 156.09'],[' 0'],[' 2.74436'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.01216e+07'],[' 3.05803e+07'],[' 0'],[' 2.21591e+10'],[' 0'],[' 0'],[' 729 '],[' 1253 '],[' 1784 '],[' 2311 '],[' 2892 '],[' 3305 '],[' 1 '],[' 5 ']
Solving...,TA55, , ,[' 1867'],[' 940'],"[' 323.768s (Solving', ' 319.34s 1st Model', ' 4.66s Unsat', ' 143.77s)']",[' 321.906s'], ,[' 30121876'],"[' 14319861 (Analyzed', ' 14252675)']","[' 26697    (Average', ' 533.87 Last', ' 14638)']",[' 1811.6  '],"[' 940      (Average Length', ' 440.78 Splits', ' 0)']","[' 14252675 (Deleted', ' 13995096)']","[' 59       (Ratio', '   0.00%)']","[' 2410     (Ratio', '   0.02%)']","[' 14252675 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14252675 (Average', '  1.99 Max', ' 2443 Sum', ' 28428741)']","[' 14252491 (Average', '  1.99 Max', ' 2443 Sum', ' 28395814 Ratio', '  99.88%)']","[' 184      (Average', ' 178.95 Max', ' 758 Sum', '  32927 Ratio', '   0.12%)']", ,[' 75826   '],[' 3613    '],[' 75942   '],[' 42506   '],"[' 127514   (Atom=Atom', ' 39641 Body=Body', ' 22688 Other', ' 65185)']",[' Yes'],"[' 4479     (Eliminated', '    0 Frozen', ' 4479)']","[' 245      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.06818'],[' 0'], ,[' 222.955'],[' 0'],[' 5.27486'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.2373e+07'],[' 4.8908e+07'],[' 0'],[' 2.73965e+10'],[' 0'],[' 0'],[' 657 '],[' 1137 '],[' 1681 '],[' 2172 '],[' 2784 '],[' 3163 '],[' 1 '],[' 5 ']
Solving...,TA56, ,[' 1'],[' 1885+'],[' 949'],"[' 490.979s (Solving', ' 486.19s 1st Model', ' 2.70s Unsat', ' 150.61s)']",[' 490.078s'], ,[' 15133630'],"[' 8349513  (Analyzed', ' 8270577)']","[' 18345    (Average', ' 450.84 Last', ' 60409)']",[' 1926.2  '],"[' 949      (Average Length', ' 445.68 Splits', ' 0)']","[' 8270577  (Deleted', ' 8129421)']","[' 57       (Ratio', '   0.00%)']","[' 2428     (Ratio', '   0.03%)']","[' 8270577  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8270577  (Average', '  1.64 Max', ' 2430 Sum', ' 13556699)']","[' 8270309  (Average', '  1.63 Max', ' 2430 Sum', ' 13452942 Ratio', '  99.23%)']","[' 268      (Average', ' 387.15 Max', ' 741 Sum', ' 103757 Ratio', '   0.77%)']", ,[' 76469   '],[' 3623    '],[' 76586   '],[' 43029   '],"[' 129083   (Atom=Atom', ' 40154 Body=Body', ' 22698 Other', ' 66231)']",[' Yes'],"[' 4490     (Eliminated', '    0 Frozen', ' 4490)']","[' 209      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12348'],[' 0'], ,[' 423.97'],[' 0'],[' 5.51235'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.27084e+07'],[' 3.24873e+07'],[' 0'],[' 6.35813e+10'],[' 0'],[' 0'],[' 708 '],[' 1213 '],[' 1800 '],[' 2322 '],[' 2857 '],[' 3280 '],[' 2 '],[' 4 ']
Solving...,TA57, , ,[' 1925'],[' 969'],"[' 232.744s (Solving', ' 227.81s 1st Model', ' 3.45s Unsat', ' 55.13s)']",[' 232.266s'], ,[' 9245800 '],"[' 3970519  (Analyzed', ' 3882009)']","[' 9514     (Average', ' 408.03 Last', ' 6308)']",[' 2015.9  '],"[' 969      (Average Length', ' 455.04 Splits', ' 0)']","[' 3882009  (Deleted', ' 3806858)']","[' 83       (Ratio', '   0.00%)']","[' 2162     (Ratio', '   0.06%)']","[' 3882009  (Average Length', '   10.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3882009  (Average', '  1.97 Max', ' 2457 Sum', ' 7661777)']","[' 3881733  (Average', '  1.95 Max', ' 2457 Sum', ' 7556862 Ratio', '  98.63%)']","[' 276      (Average', ' 380.13 Max', ' 737 Sum', ' 104915 Ratio', '   1.37%)']", ,[' 76533   '],[' 3657    '],[' 76663   '],[' 43369   '],"[' 130103   (Atom=Atom', ' 40460 Body=Body', ' 22732 Other', ' 66911)']",[' Yes'],"[' 4537     (Eliminated', '    0 Frozen', ' 4537)']","[' 154      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20753'],[' 0'], ,[' 196.329'],[' 0'],[' 2.92795'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.43449e+07'],[' 2.40533e+07'],[' 0'],[' 2.98977e+10'],[' 0'],[' 0'],[' 765 '],[' 1354 '],[' 1969 '],[' 2548 '],[' 3056 '],[' 3454 '],[' 1 '],[' 5 ']
Solving...,TA58, ,[' 1'],[' 1799+'],[' 906'],"[' 508.829s (Solving', ' 504.07s 1st Model', ' 3.49s Unsat', ' 0.36s)']",[' 506.672s'], ,[' 33639163'],"[' 18914730 (Analyzed', ' 18864311)']","[' 32135    (Average', ' 587.03 Last', ' 88208)']",[' 1903.3  '],"[' 906      (Average Length', ' 426.29 Splits', ' 0)']","[' 18864311 (Deleted', ' 18604187)']","[' 30       (Ratio', '   0.00%)']","[' 2127     (Ratio', '   0.01%)']","[' 18864311 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18864311 (Average', '  1.69 Max', ' 2458 Sum', ' 31896458)']","[' 18864066 (Average', '  1.69 Max', ' 2458 Sum', ' 31837448 Ratio', '  99.81%)']","[' 245      (Average', ' 240.86 Max', ' 696 Sum', '  59010 Ratio', '   0.19%)']", ,[' 76296   '],[' 3664    '],[' 76367   '],[' 42627   '],"[' 127877   (Atom=Atom', ' 39711 Body=Body', ' 22739 Other', ' 65427)']",[' Yes'],"[' 4485     (Eliminated', '    0 Frozen', ' 4485)']","[' 268      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.16516'],[' 0'], ,[' 371.539'],[' 0'],[' 6.90008'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05131e+08'],[' 5.88085e+07'],[' 0'],[' 4.32337e+10'],[' 0'],[' 0'],[' 645 '],[' 1354 '],[' 1863 '],[' 2415 '],[' 2907 '],[' 3330 '],[' 3 '],[' 3 ']
Solving...,TA59, , ,[' 1763'],[' 888'],"[' 282.701s (Solving', ' 278.26s 1st Model', ' 4.96s Unsat', ' 102.63s)']",[' 281.203s'], ,[' 24785813'],"[' 12528949 (Analyzed', ' 12483555)']","[' 22762    (Average', ' 548.44 Last', ' 13449)']",[' 1694.6  '],"[' 888      (Average Length', ' 425.60 Splits', ' 0)']","[' 12483555 (Deleted', ' 12302048)']","[' 74       (Ratio', '   0.00%)']","[' 3419     (Ratio', '   0.03%)']","[' 12483555 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12483555 (Average', '  1.88 Max', ' 2077 Sum', ' 23484113)']","[' 12483154 (Average', '  1.87 Max', ' 2077 Sum', ' 23340693 Ratio', '  99.39%)']","[' 401      (Average', ' 357.66 Max', ' 1104 Sum', ' 143420 Ratio', '   0.61%)']", ,[' 75848   '],[' 3636    '],[' 75932   '],[' 42057   '],"[' 126167   (Atom=Atom', ' 39169 Body=Body', ' 22711 Other', ' 64287)']",[' Yes'],"[' 4470     (Eliminated', '    0 Frozen', ' 4470)']","[' 644      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08243'],[' 0'], ,[' 192.453'],[' 0'],[' 3.96864'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.86046e+07'],[' 4.5898e+07'],[' 0'],[' 1.6686e+10'],[' 0'],[' 0'],[' 614 '],[' 1267 '],[' 1851 '],[' 2387 '],[' 2907 '],[' 3335 '],[' 1 '],[' 5 ']
Solving...,TA60, , ,[' 1993'],[' 1003'],"[' 221.807s (Solving', ' 216.95s 1st Model', ' 6.12s Unsat', ' 42.15s)']",[' 220.672s'], ,[' 14725720'],"[' 3988814  (Analyzed', ' 3912484)']","[' 7939     (Average', ' 492.82 Last', ' 87467)']",[' 1909.9  '],"[' 1003     (Average Length', ' 480.37 Splits', ' 0)']","[' 3912484  (Deleted', ' 3854593)']","[' 64       (Ratio', '   0.00%)']","[' 3469     (Ratio', '   0.09%)']","[' 3912484  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3912484  (Average', '  3.37 Max', ' 2345 Sum', ' 13169656)']","[' 3912191  (Average', '  3.34 Max', ' 2345 Sum', ' 13060052 Ratio', '  99.17%)']","[' 293      (Average', ' 374.08 Max', ' 765 Sum', ' 109604 Ratio', '   0.83%)']", ,[' 76817   '],[' 3699    '],[' 77005   '],[' 43401   '],"[' 130199   (Atom=Atom', ' 40450 Body=Body', ' 22774 Other', ' 66975)']",[' Yes'],"[' 4637     (Eliminated', '    0 Frozen', ' 4637)']","[' 523      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20314'],[' 0'], ,[' 183.195'],[' 0'],[' 3.08907'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.02844e+07'],[' 3.75665e+07'],[' 0'],[' 2.33521e+10'],[' 0'],[' 0'],[' 683 '],[' 1218 '],[' 2019 '],[' 2555 '],[' 3051 '],[' 3459 '],[' 1 '],[' 5 ']
