Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1745'],[' 882'],"[' 15.918s (Solving', ' 10.16s 1st Model', ' 2.17s Unsat', ' 0.39s)']",[' 15.781s'], ,[' 2179598 '],"[' 279085   (Analyzed', ' 19572)']","[' 517      (Average', ' 37.86 Last', ' 417)']",[' 1703.4  '],"[' 882      (Average Length', ' 416.13 Splits', ' 0)']","[' 19572    (Deleted', ' 12165)']","[' 109      (Ratio', '   0.56%)']","[' 830      (Ratio', '   4.24%)']","[' 19572    (Average Length', '    6.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19572    (Average', ' 41.57 Max', ' 2351 Sum', ' 813564)']","[' 19421    (Average', ' 40.64 Max', ' 2351 Sum', ' 795427 Ratio', '  97.77%)']","[' 151      (Average', ' 120.11 Max', ' 592 Sum', '  18137 Ratio', '   2.23%)']", ,[' 96633   '],[' 3493    '],[' 96453   '],[' 54652   '],"[' 163952   (Atom=Atom', ' 52157 Body=Body', ' 28943 Other', ' 82852)']",[' Yes'],"[' 4313     (Eliminated', '    0 Frozen', ' 4313)']","[' 16       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.33174'],[' 0'], ,[' 4.57485'],[' 0'],[' 0.138686'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75167e+07'],[' 1.64754e+07'],[' 0'],[' 3.02707e+08'],[' 0'],[' 0'],[' 542 '],[' 905 '],[' 1386 '],[' 1949 '],[' 2402 '],[' 2800 '],[' 3195 '],[' 3596 '],[' 3872 '],[' 0 '],[' 9 ']
Solving...,TA62, , ,[' 1863'],[' 941'],"[' 36.306s (Solving', ' 31.13s 1st Model', ' 2.71s Unsat', ' 21.71s)']",[' 36.063s'], ,[' 2900687 '],"[' 456246   (Analyzed', ' 441851)']","[' 1111     (Average', ' 397.71 Last', ' 511)']",[' 1733.0  '],"[' 941      (Average Length', ' 444.02 Splits', ' 0)']","[' 441851   (Deleted', ' 423897)']","[' 108      (Ratio', '   0.02%)']","[' 946      (Ratio', '   0.21%)']","[' 441851   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 441851   (Average', '  3.86 Max', ' 2345 Sum', ' 1707412)']","[' 441697   (Average', '  3.79 Max', ' 2345 Sum', ' 1675714 Ratio', '  98.14%)']","[' 154      (Average', ' 205.83 Max', ' 791 Sum', '  31698 Ratio', '   1.86%)']", ,[' 97143   '],[' 3512    '],[' 97008   '],[' 54778   '],"[' 164330   (Atom=Atom', ' 52264 Body=Body', ' 28962 Other', ' 83104)']",[' Yes'],"[' 4377     (Eliminated', '    0 Frozen', ' 4377)']","[' 21       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.40457'],[' 0'], ,[' 21.8179'],[' 0'],[' 0.476919'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.081e+07'],[' 1.8873e+07'],[' 0'],[' 2.58021e+09'],[' 0'],[' 0'],[' 584 '],[' 978 '],[' 1508 '],[' 2015 '],[' 2365 '],[' 2818 '],[' 3168 '],[' 3576 '],[' 3860 '],[' 0 '],[' 9 ']
Solving...,TA63, , ,[' 1911'],[' 965'],"[' 126.098s (Solving', ' 120.28s 1st Model', ' 4.60s Unsat', ' 0.16s)']",[' 125.625s'], ,[' 4810995 '],"[' 1340831  (Analyzed', ' 1247403)']","[' 2733     (Average', ' 456.42 Last', ' 18309)']",[' 1831.7  '],"[' 965      (Average Length', ' 450.03 Splits', ' 0)']","[' 1247403  (Deleted', ' 1218329)']","[' 71       (Ratio', '   0.01%)']","[' 1123     (Ratio', '   0.09%)']","[' 1247403  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1247403  (Average', '  2.72 Max', ' 2334 Sum', ' 3392259)']","[' 1247276  (Average', '  2.69 Max', ' 2334 Sum', ' 3357417 Ratio', '  98.97%)']","[' 127      (Average', ' 274.35 Max', ' 659 Sum', '  34842 Ratio', '   1.03%)']", ,[' 96893   '],[' 3529    '],[' 96779   '],[' 54917   '],"[' 164747   (Atom=Atom', ' 52386 Body=Body', ' 28979 Other', ' 83382)']",[' Yes'],"[' 4415     (Eliminated', '    0 Frozen', ' 4415)']","[' 121      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5639'],[' 0'], ,[' 104.951'],[' 0'],[' 1.66336'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.82062e+07'],[' 2.42992e+07'],[' 0'],[' 1.54291e+10'],[' 0'],[' 0'],[' 614 '],[' 1020 '],[' 1478 '],[' 1843 '],[' 2355 '],[' 2822 '],[' 3191 '],[' 3527 '],[' 3834 '],[' 1 '],[' 8 ']
Solving...,TA64, , ,[' 1797'],[' 908'],"[' 55.737s (Solving', ' 50.31s 1st Model', ' 2.65s Unsat', ' 38.84s)']",[' 55.578s'], ,[' 3408922 '],"[' 913799   (Analyzed', ' 581171)']","[' 1779     (Average', ' 326.68 Last', ' 367)']",[' 1778.0  '],"[' 908      (Average Length', ' 430.17 Splits', ' 0)']","[' 581171   (Deleted', ' 561032)']","[' 109      (Ratio', '   0.02%)']","[' 1062     (Ratio', '   0.18%)']","[' 581171   (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 581171   (Average', '  3.23 Max', ' 2351 Sum', ' 1874633)']","[' 581014   (Average', '  3.18 Max', ' 2351 Sum', ' 1848904 Ratio', '  98.63%)']","[' 157      (Average', ' 163.88 Max', ' 666 Sum', '  25729 Ratio', '   1.37%)']", ,[' 97047   '],[' 3516    '],[' 96892   '],[' 54961   '],"[' 164879   (Atom=Atom', ' 52443 Body=Body', ' 28966 Other', ' 83470)']",[' Yes'],"[' 4361     (Eliminated', '    0 Frozen', ' 4361)']","[' 51       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.40032'],[' 0'], ,[' 40.1128'],[' 0'],[' 0.708927'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.25588e+07'],[' 1.96939e+07'],[' 0'],[' 5.21274e+09'],[' 0'],[' 0'],[' 515 '],[' 987 '],[' 1446 '],[' 1799 '],[' 2246 '],[' 2619 '],[' 2969 '],[' 3288 '],[' 3530 '],[' 0 '],[' 9 ']
Solving...,TA65, , ,[' 1893'],[' 956'],"[' 22.229s (Solving', ' 16.67s 1st Model', ' 1.70s Unsat', ' 0.05s)']",[' 22.000s'], ,[' 2293549 '],"[' 626444   (Analyzed', ' 6200)']","[' 609      (Average', ' 10.18 Last', ' 142)']",[' 1723.7  '],"[' 956      (Average Length', ' 446.69 Splits', ' 0)']","[' 6200     (Deleted', ' 0)']","[' 80       (Ratio', '   1.29%)']","[' 401      (Ratio', '   6.47%)']","[' 6200     (Average Length', '    7.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6200     (Average', ' 75.14 Max', ' 1158 Sum', ' 465899)']","[' 6122     (Average', ' 74.67 Max', ' 1158 Sum', ' 462954 Ratio', '  99.37%)']","[' 78       (Average', ' 37.76 Max', ' 228 Sum', '   2945 Ratio', '   0.63%)']", ,[' 97297   '],[' 3510    '],[' 97183   '],[' 55225   '],"[' 165671   (Atom=Atom', ' 52713 Body=Body', ' 28960 Other', ' 83998)']",[' Yes'],"[' 4396     (Eliminated', '    0 Frozen', ' 4396)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.37588'],[' 0'], ,[' 10.6627'],[' 0'],[' 0.156157'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.8665e+07'],[' 1.72717e+07'],[' 0'],[' 9.31761e+08'],[' 0'],[' 0'],[' 489 '],[' 936 '],[' 1354 '],[' 1736 '],[' 2160 '],[' 2596 '],[' 3100 '],[' 3480 '],[' 3821 '],[' 0 '],[' 9 ']
Solving...,TA66, , ,[' 2017'],[' 1018'],"[' 16.369s (Solving', ' 10.63s 1st Model', ' 2.97s Unsat', ' 0.11s)']",[' 16.219s'], ,[' 2388017 '],"[' 21364    (Analyzed', ' 8392)']","[' 58       (Average', ' 144.69 Last', ' 219)']",[' 1760.0  '],"[' 1018     (Average Length', ' 466.94 Splits', ' 0)']","[' 8392     (Deleted', ' 0)']","[' 105      (Ratio', '   1.25%)']","[' 487      (Ratio', '   5.80%)']","[' 8392     (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8392     (Average', ' 129.01 Max', ' 2349 Sum', ' 1082638)']","[' 8241     (Average', ' 127.51 Max', ' 2349 Sum', ' 1070057 Ratio', '  98.84%)']","[' 151      (Average', ' 83.32 Max', ' 521 Sum', '  12581 Ratio', '   1.16%)']", ,[' 97237   '],[' 3498    '],[' 97159   '],[' 54613   '],"[' 163835   (Atom=Atom', ' 52113 Body=Body', ' 28948 Other', ' 82774)']",[' Yes'],"[' 4420     (Eliminated', '    0 Frozen', ' 4420)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5024'],[' 0'], ,[' 3.17753'],[' 0'],[' 0.140252'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.00608e+07'],[' 1.92018e+07'],[' 0'],[' 9.00365e+07'],[' 0'],[' 0'],[' 600 '],[' 963 '],[' 1389 '],[' 1768 '],[' 2218 '],[' 2620 '],[' 3050 '],[' 3426 '],[' 3714 '],[' 0 '],[' 9 ']
Solving...,TA67, , ,[' 1867'],[' 943'],"[' 20.092s (Solving', ' 15.00s 1st Model', ' 2.47s Unsat', ' 5.99s)']",[' 20.000s'], ,[' 2261309 '],"[' 153015   (Analyzed', ' 111294)']","[' 546      (Average', ' 203.84 Last', ' 1106)']",[' 1663.0  '],"[' 943      (Average Length', ' 438.93 Splits', ' 0)']","[' 111294   (Deleted', ' 102807)']","[' 122      (Ratio', '   0.11%)']","[' 905      (Ratio', '   0.81%)']","[' 111294   (Average Length', '    8.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 111294   (Average', '  9.81 Max', ' 2340 Sum', ' 1091754)']","[' 111115   (Average', '  9.64 Max', ' 2340 Sum', ' 1072729 Ratio', '  98.26%)']","[' 179      (Average', ' 106.28 Max', ' 770 Sum', '  19025 Ratio', '   1.74%)']", ,[' 97007   '],[' 3493    '],[' 96877   '],[' 54411   '],"[' 163229   (Atom=Atom', ' 51916 Body=Body', ' 28943 Other', ' 82370)']",[' Yes'],"[' 4363     (Eliminated', '    0 Frozen', ' 4363)']","[' 15       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39878'],[' 0'], ,[' 8.27251'],[' 0'],[' 0.208989'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.79642e+07'],[' 1.69166e+07'],[' 0'],[' 9.24954e+08'],[' 0'],[' 0'],[' 541 '],[' 999 '],[' 1462 '],[' 1850 '],[' 2287 '],[' 2693 '],[' 3237 '],[' 3606 '],[' 3881 '],[' 0 '],[' 9 ']
Solving...,TA68, , ,[' 1807'],[' 913'],"[' 24.810s (Solving', ' 18.02s 1st Model', ' 2.28s Unsat', ' 0.13s)']",[' 24.484s'], ,[' 2452605 '],"[' 718580   (Analyzed', ' 11991)']","[' 799      (Average', ' 15.01 Last', ' 139)']",[' 1829.2  '],"[' 913      (Average Length', ' 438.64 Splits', ' 0)']","[' 11991    (Deleted', ' 10617)']","[' 89       (Ratio', '   0.74%)']","[' 533      (Ratio', '   4.45%)']","[' 11991    (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11991    (Average', ' 40.92 Max', ' 1298 Sum', ' 490650)']","[' 11901    (Average', ' 40.76 Max', ' 1298 Sum', ' 488729 Ratio', '  99.61%)']","[' 90       (Average', ' 21.34 Max', ' 562 Sum', '   1921 Ratio', '   0.39%)']", ,[' 96942   '],[' 3470    '],[' 96797   '],[' 54956   '],"[' 164864   (Atom=Atom', ' 52484 Body=Body', ' 28920 Other', ' 83460)']",[' Yes'],"[' 4325     (Eliminated', '    0 Frozen', ' 4325)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.44465'],[' 0'], ,[' 11.509'],[' 0'],[' 0.168303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.07838e+07'],[' 1.92863e+07'],[' 0'],[' 1.04066e+09'],[' 0'],[' 0'],[' 519 '],[' 1063 '],[' 1469 '],[' 1954 '],[' 2374 '],[' 2732 '],[' 3114 '],[' 3486 '],[' 3798 '],[' 0 '],[' 9 ']
Solving...,TA69, , ,[' 1861'],[' 940'],"[' 18.370s (Solving', ' 12.77s 1st Model', ' 2.45s Unsat', ' 3.57s)']",[' 18.125s'], ,[' 2616436 '],"[' 408143   (Analyzed', ' 326079)']","[' 1258     (Average', ' 259.20 Last', ' 5042)']",[' 1748.7  '],"[' 940      (Average Length', ' 441.44 Splits', ' 0)']","[' 326079   (Deleted', ' 309690)']","[' 74       (Ratio', '   0.02%)']","[' 663      (Ratio', '   0.20%)']","[' 326079   (Average Length', '    9.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 326079   (Average', '  4.05 Max', ' 2408 Sum', ' 1320064)']","[' 325974   (Average', '  4.01 Max', ' 2408 Sum', ' 1308739 Ratio', '  99.14%)']","[' 105      (Average', ' 107.86 Max', ' 512 Sum', '  11325 Ratio', '   0.86%)']", ,[' 97717   '],[' 3546    '],[' 97584   '],[' 55385   '],"[' 166151   (Atom=Atom', ' 52837 Body=Body', ' 28996 Other', ' 84318)']",[' Yes'],"[' 4413     (Eliminated', '    0 Frozen', ' 4413)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.41544'],[' 0'], ,[' 4.90841'],[' 0'],[' 0.189823'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9306e+07'],[' 1.76775e+07'],[' 0'],[' 2.1055e+08'],[' 0'],[' 0'],[' 690 '],[' 1121 '],[' 1575 '],[' 2096 '],[' 2490 '],[' 2961 '],[' 3400 '],[' 3864 '],[' 4136 '],[' 0 '],[' 9 ']
Solving...,TA70, , ,[' 1859'],[' 939'],"[' 27.158s (Solving', ' 21.06s 1st Model', ' 2.39s Unsat', ' 0.24s)']",[' 26.875s'], ,[' 2594110 '],"[' 800159   (Analyzed', ' 18945)']","[' 933      (Average', ' 20.31 Last', ' 70)']",[' 1843.8  '],"[' 939      (Average Length', ' 449.16 Splits', ' 0)']","[' 18945    (Deleted', ' 9091)']","[' 93       (Ratio', '   0.49%)']","[' 608      (Ratio', '   3.21%)']","[' 18945    (Average Length', '    7.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18945    (Average', ' 27.21 Max', ' 936 Sum', ' 515530)']","[' 18851    (Average', ' 27.16 Max', ' 936 Sum', ' 514532 Ratio', '  99.81%)']","[' 94       (Average', ' 10.62 Max', ' 347 Sum', '    998 Ratio', '   0.19%)']", ,[' 97651   '],[' 3562    '],[' 97534   '],[' 55724   '],"[' 167168   (Atom=Atom', ' 53160 Body=Body', ' 29012 Other', ' 84996)']",[' Yes'],"[' 4445     (Eliminated', '    0 Frozen', ' 4445)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6018'],[' 0'], ,[' 13.6457'],[' 0'],[' 0.198681'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.09728e+07'],[' 1.93735e+07'],[' 0'],[' 1.13516e+09'],[' 0'],[' 0'],[' 623 '],[' 1163 '],[' 1710 '],[' 2241 '],[' 2851 '],[' 3311 '],[' 3801 '],[' 4230 '],[' 4603 '],[' 0 '],[' 9 ']
