Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1729'],[' 875'],"[' 13.863s (Solving', ' 8.42s 1st Model', ' 2.01s Unsat', ' 0.09s)']",[' 13.641s'], ,[' 1729555 '],"[' 17127    (Analyzed', ' 6734)']","[' 52       (Average', ' 129.50 Last', ' 458)']",[' 1571.5  '],"[' 875      (Average Length', ' 413.94 Splits', ' 0)']","[' 6734     (Deleted', ' 0)']","[' 84       (Ratio', '   1.25%)']","[' 442      (Ratio', '   6.56%)']","[' 6734     (Average Length', '    6.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6734     (Average', ' 107.20 Max', ' 2129 Sum', ' 721894)']","[' 6639     (Average', ' 106.55 Max', ' 2129 Sum', ' 717514 Ratio', '  99.39%)']","[' 95       (Average', ' 46.11 Max', ' 220 Sum', '   4380 Ratio', '   0.61%)']", ,[' 95568   '],[' 3216    '],[' 95383   '],[' 53871   '],"[' 161609   (Atom=Atom', ' 51653 Body=Body', ' 28666 Other', ' 81290)']",[' Yes'],"[' 4031     (Eliminated', '    0 Frozen', ' 4031)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39661'],[' 0'], ,[' 2.77729'],[' 0'],[' 0.11383'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62382e+07'],[' 1.5554e+07'],[' 0'],[' 7.12795e+07'],[' 0'],[' 0'],[' 542 '],[' 922 '],[' 1261 '],[' 1726 '],[' 2212 '],[' 2589 '],[' 3139 '],[' 3643 '],[' 4023 '],[' 4325 '],[' 0 '],[' 10 ']
Solving...,TA62, , ,[' 1381'],[' 701'],"[' 48.716s (Solving', ' 42.40s 1st Model', ' 1.20s Unsat', ' 27.34s)']",[' 48.109s'], ,[' 2158277 '],"[' 955259   (Analyzed', ' 414932)']","[' 1539     (Average', ' 269.61 Last', ' 10922)']",[' 1515.4  '],"[' 701      (Average Length', ' 336.19 Splits', ' 0)']","[' 414932   (Deleted', ' 402844)']","[' 101      (Ratio', '   0.02%)']","[' 766      (Ratio', '   0.18%)']","[' 414932   (Average Length', '    9.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 414932   (Average', '  1.90 Max', ' 869 Sum', ' 789129)']","[' 414834   (Average', '  1.90 Max', ' 869 Sum', ' 788812 Ratio', '  99.96%)']","[' 98       (Average', '  3.23 Max', ' 128 Sum', '    317 Ratio', '   0.04%)']", ,[' 95653   '],[' 3213    '],[' 95315   '],[' 53918   '],"[' 161750   (Atom=Atom', ' 51703 Body=Body', ' 28663 Other', ' 81384)']",[' Yes'],"[' 3875     (Eliminated', '    0 Frozen', ' 3875)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1952'],[' 0'], ,[' 34.128'],[' 0'],[' 0.53927'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67818e+07'],[' 1.46893e+07'],[' 0'],[' 3.86799e+09'],[' 0'],[' 0'],[' 583 '],[' 977 '],[' 1450 '],[' 1996 '],[' 2527 '],[' 2889 '],[' 3421 '],[' 3768 '],[' 4172 '],[' 4386 '],[' 0 '],[' 10 ']
Solving...,TA63, , ,[' 1613'],[' 817'],"[' 113.686s (Solving', ' 108.13s 1st Model', ' 2.05s Unsat', ' 0.86s)']",[' 113.219s'], ,[' 3203705 '],"[' 1025424  (Analyzed', ' 1015547)']","[' 2358     (Average', ' 430.68 Last', ' 7275)']",[' 1588.1  '],"[' 817      (Average Length', ' 387.48 Splits', ' 0)']","[' 1015547  (Deleted', ' 991444)']","[' 77       (Ratio', '   0.01%)']","[' 661      (Ratio', '   0.07%)']","[' 1015547  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1015547  (Average', '  2.18 Max', ' 2133 Sum', ' 2215504)']","[' 1015438  (Average', '  2.16 Max', ' 2133 Sum', ' 2195516 Ratio', '  99.10%)']","[' 109      (Average', ' 183.38 Max', ' 696 Sum', '  19988 Ratio', '   0.90%)']", ,[' 95721   '],[' 3268    '],[' 95485   '],[' 54407   '],"[' 163217   (Atom=Atom', ' 52137 Body=Body', ' 28718 Other', ' 82362)']",[' Yes'],"[' 4032     (Eliminated', '    0 Frozen', ' 4032)']","[' 54       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3666'],[' 0'], ,[' 93.846'],[' 0'],[' 1.52919'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.04246e+07'],[' 1.73871e+07'],[' 0'],[' 1.36986e+10'],[' 0'],[' 0'],[' 602 '],[' 955 '],[' 1353 '],[' 1778 '],[' 2189 '],[' 2609 '],[' 3167 '],[' 3485 '],[' 3954 '],[' 4191 '],[' 1 '],[' 9 ']
Solving...,TA64, , ,[' 1693'],[' 857'],"[' 13.830s (Solving', ' 8.50s 1st Model', ' 2.18s Unsat', ' 0.11s)']",[' 13.703s'], ,[' 1710388 '],"[' 17150    (Analyzed', ' 7926)']","[' 47       (Average', ' 168.64 Last', ' 437)']",[' 1566.8  '],"[' 857      (Average Length', ' 408.25 Splits', ' 0)']","[' 7926     (Deleted', ' 0)']","[' 80       (Ratio', '   1.01%)']","[' 479      (Ratio', '   6.04%)']","[' 7926     (Average Length', '    6.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7926     (Average', ' 91.51 Max', ' 2144 Sum', ' 725274)']","[' 7820     (Average', ' 90.79 Max', ' 2144 Sum', ' 719637 Ratio', '  99.22%)']","[' 106      (Average', ' 53.18 Max', ' 272 Sum', '   5637 Ratio', '   0.78%)']", ,[' 95677   '],[' 3241    '],[' 95486   '],[' 54118   '],"[' 162350   (Atom=Atom', ' 51875 Body=Body', ' 28691 Other', ' 81784)']",[' Yes'],"[' 4050     (Eliminated', '    0 Frozen', ' 4050)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.36599'],[' 0'], ,[' 2.75696'],[' 0'],[' 0.117594'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5825e+07'],[' 1.51422e+07'],[' 0'],[' 6.64649e+07'],[' 0'],[' 0'],[' 515 '],[' 946 '],[' 1503 '],[' 1936 '],[' 2314 '],[' 2631 '],[' 3015 '],[' 3398 '],[' 3724 '],[' 4125 '],[' 0 '],[' 10 ']
Solving...,TA65, , ,[' 1619'],[' 820'],"[' 15.057s (Solving', ' 9.86s 1st Model', ' 2.04s Unsat', ' 0.25s)']",[' 14.859s'], ,[' 1731324 '],"[' 193185   (Analyzed', ' 9641)']","[' 289      (Average', ' 33.36 Last', ' 317)']",[' 1555.5  '],"[' 820      (Average Length', ' 386.96 Splits', ' 0)']","[' 9641     (Deleted', ' 2844)']","[' 98       (Ratio', '   1.02%)']","[' 473      (Ratio', '   4.91%)']","[' 9641     (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9641     (Average', ' 62.86 Max', ' 2139 Sum', ' 606002)']","[' 9537     (Average', ' 62.32 Max', ' 2139 Sum', ' 600863 Ratio', '  99.15%)']","[' 104      (Average', ' 49.41 Max', ' 407 Sum', '   5139 Ratio', '   0.85%)']", ,[' 95712   '],[' 3214    '],[' 95472   '],[' 54138   '],"[' 162410   (Atom=Atom', ' 51922 Body=Body', ' 28664 Other', ' 81824)']",[' Yes'],"[' 3974     (Eliminated', '    0 Frozen', ' 3974)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3521'],[' 0'], ,[' 4.1804'],[' 0'],[' 0.122747'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59137e+07'],[' 1.50834e+07'],[' 0'],[' 2.35027e+08'],[' 0'],[' 0'],[' 463 '],[' 833 '],[' 1269 '],[' 1621 '],[' 2125 '],[' 2579 '],[' 2929 '],[' 3260 '],[' 3613 '],[' 3819 '],[' 0 '],[' 10 ']
Solving...,TA66, , ,[' 1683'],[' 852'],"[' 22.316s (Solving', ' 17.29s 1st Model', ' 1.81s Unsat', ' 0.28s)']",[' 22.141s'], ,[' 1958772 '],"[' 589611   (Analyzed', ' 9123)']","[' 454      (Average', ' 20.09 Last', ' 88)']",[' 1613.6  '],"[' 852      (Average Length', ' 407.13 Splits', ' 0)']","[' 9123     (Deleted', ' 4030)']","[' 87       (Ratio', '   0.95%)']","[' 456      (Ratio', '   5.00%)']","[' 9123     (Average Length', '    6.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9123     (Average', ' 39.79 Max', ' 1073 Sum', ' 362971)']","[' 9038     (Average', ' 39.72 Max', ' 1073 Sum', ' 362338 Ratio', '  99.83%)']","[' 85       (Average', '  7.45 Max', ' 139 Sum', '    633 Ratio', '   0.17%)']", ,[' 96094   '],[' 3247    '],[' 95898   '],[' 54515   '],"[' 163541   (Atom=Atom', ' 52266 Body=Body', ' 28697 Other', ' 82578)']",[' Yes'],"[' 4051     (Eliminated', '    0 Frozen', ' 4051)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.34018'],[' 0'], ,[' 11.3548'],[' 0'],[' 0.148352'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.88397e+07'],[' 1.75965e+07'],[' 0'],[' 9.82374e+08'],[' 0'],[' 0'],[' 554 '],[' 980 '],[' 1381 '],[' 1722 '],[' 2218 '],[' 2594 '],[' 3011 '],[' 3477 '],[' 3804 '],[' 4077 '],[' 0 '],[' 10 ']
Solving...,TA67, , ,[' 1625'],[' 823'],"[' 19.936s (Solving', ' 15.41s 1st Model', ' 1.89s Unsat', ' 1.00s)']",[' 19.828s'], ,[' 1969623 '],"[' 612946   (Analyzed', ' 93981)']","[' 997      (Average', ' 94.26 Last', ' 300)']",[' 1573.2  '],"[' 823      (Average Length', ' 389.54 Splits', ' 0)']","[' 93981    (Deleted', ' 82134)']","[' 106      (Ratio', '   0.11%)']","[' 608      (Ratio', '   0.65%)']","[' 93981    (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 93981    (Average', '  5.19 Max', ' 977 Sum', ' 487397)']","[' 93868    (Average', '  5.17 Max', ' 977 Sum', ' 486029 Ratio', '  99.72%)']","[' 113      (Average', ' 12.11 Max', ' 188 Sum', '   1368 Ratio', '   0.28%)']", ,[' 95958   '],[' 3247    '],[' 95727   '],[' 54338   '],"[' 163010   (Atom=Atom', ' 52089 Body=Body', ' 28697 Other', ' 82224)']",[' Yes'],"[' 4016     (Eliminated', '    0 Frozen', ' 4016)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24734'],[' 0'], ,[' 9.1387'],[' 0'],[' 0.140991'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.77544e+07'],[' 1.6398e+07'],[' 0'],[' 7.86813e+08'],[' 0'],[' 0'],[' 541 '],[' 936 '],[' 1362 '],[' 1740 '],[' 2199 '],[' 2605 '],[' 2971 '],[' 3372 '],[' 3700 '],[' 3960 '],[' 0 '],[' 10 ']
Solving...,TA68, , ,[' 1363'],[' 692'],"[' 16.642s (Solving', ' 12.56s 1st Model', ' 1.42s Unsat', ' 0.42s)']",[' 16.484s'], ,[' 1567287 '],"[' 454918   (Analyzed', ' 22684)']","[' 661      (Average', ' 34.32 Last', ' 188)']",[' 1542.2  '],"[' 692      (Average Length', ' 332.91 Splits', ' 0)']","[' 22684    (Deleted', ' 16318)']","[' 74       (Ratio', '   0.33%)']","[' 389      (Ratio', '   1.71%)']","[' 22684    (Average Length', '    7.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22684    (Average', ' 13.80 Max', ' 1278 Sum', ' 312992)']","[' 22605    (Average', ' 13.64 Max', ' 1278 Sum', ' 309323 Ratio', '  98.83%)']","[' 79       (Average', ' 46.44 Max', ' 531 Sum', '   3669 Ratio', '   1.17%)']", ,[' 95937   '],[' 3201    '],[' 95596   '],[' 54045   '],"[' 162131   (Atom=Atom', ' 51842 Body=Body', ' 28651 Other', ' 81638)']",[' Yes'],"[' 3860     (Eliminated', '    0 Frozen', ' 3860)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08897'],[' 0'], ,[' 7.7269'],[' 0'],[' 0.110818'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47615e+07'],[' 1.37473e+07'],[' 0'],[' 6.7546e+08'],[' 0'],[' 0'],[' 450 '],[' 1082 '],[' 1473 '],[' 1902 '],[' 2348 '],[' 2658 '],[' 3021 '],[' 3360 '],[' 3743 '],[' 4016 '],[' 0 '],[' 10 ']
Solving...,TA69, , ,[' 1637'],[' 829'],"[' 18.796s (Solving', ' 13.65s 1st Model', ' 1.95s Unsat', ' 1.68s)']",[' 18.531s'], ,[' 1957086 '],"[' 502924   (Analyzed', ' 60087)']","[' 851      (Average', ' 70.61 Last', ' 912)']",[' 1628.6  '],"[' 829      (Average Length', ' 390.32 Splits', ' 0)']","[' 60087    (Deleted', ' 50667)']","[' 98       (Ratio', '   0.16%)']","[' 768      (Ratio', '   1.28%)']","[' 60087    (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 60087    (Average', '  8.30 Max', ' 2161 Sum', ' 498657)']","[' 59988    (Average', '  8.23 Max', ' 2161 Sum', ' 494417 Ratio', '  99.15%)']","[' 99       (Average', ' 42.83 Max', ' 570 Sum', '   4240 Ratio', '   0.85%)']", ,[' 96812   '],[' 3290    '],[' 96578   '],[' 54957   '],"[' 164867   (Atom=Atom', ' 52665 Body=Body', ' 28740 Other', ' 83462)']",[' Yes'],"[' 4056     (Eliminated', '    0 Frozen', ' 4056)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.28789'],[' 0'], ,[' 7.93408'],[' 0'],[' 0.147029'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76897e+07'],[' 1.64527e+07'],[' 0'],[' 7.13279e+08'],[' 0'],[' 0'],[' 662 '],[' 1050 '],[' 1703 '],[' 2181 '],[' 2576 '],[' 3121 '],[' 3538 '],[' 3923 '],[' 4262 '],[' 4529 '],[' 0 '],[' 10 ']
Solving...,TA70, , ,[' 1695'],[' 858'],"[' 21.300s (Solving', ' 16.72s 1st Model', ' 1.95s Unsat', ' 0.30s)']",[' 21.188s'], ,[' 1964371 '],"[' 674204   (Analyzed', ' 20079)']","[' 885      (Average', ' 22.69 Last', ' 286)']",[' 1588.0  '],"[' 858      (Average Length', ' 407.34 Splits', ' 0)']","[' 20079    (Deleted', ' 8903)']","[' 125      (Ratio', '   0.62%)']","[' 712      (Ratio', '   3.55%)']","[' 20079    (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20079    (Average', ' 15.51 Max', ' 823 Sum', ' 311485)']","[' 19956    (Average', ' 15.36 Max', ' 823 Sum', ' 308314 Ratio', '  98.98%)']","[' 123      (Average', ' 25.78 Max', ' 591 Sum', '   3171 Ratio', '   1.02%)']", ,[' 96338   '],[' 3241    '],[' 96142   '],[' 54731   '],"[' 164189   (Atom=Atom', ' 52488 Body=Body', ' 28691 Other', ' 83010)']",[' Yes'],"[' 4045     (Eliminated', '    0 Frozen', ' 4045)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.42847'],[' 0'], ,[' 10.6268'],[' 0'],[' 0.142641'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.77721e+07'],[' 1.64207e+07'],[' 0'],[' 9.56745e+08'],[' 0'],[' 0'],[' 623 '],[' 995 '],[' 1580 '],[' 2055 '],[' 2537 '],[' 3038 '],[' 3466 '],[' 3914 '],[' 4271 '],[' 4487 '],[' 0 '],[' 10 ']
